{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' Yes': -0.0077167097, 'Yes': -5.248586, '\n': -6.854867, ' yes': -7.1858535, ' ': -7.6128283}
{' Yes': -0.008104256, 'Yes': -5.412899, '\n': -6.545274, ' yes': -6.8777227, ' ': -7.291211}
{' Yes': -0.02485761, 'Yes': -4.044324, '\n': -5.4558897, ' ': -6.415424, ' yes': -7.0872364}
{' Yes': -0.02570971, 'Yes': -4.06678, '\n': -5.2890167, ' ': -6.6046796, ' yes': -7.0225415}
{' Yes': -0.031960778, 'Yes': -3.7679894, '\n': -5.3650274, ' ': -6.1769757, ' yes': -6.739762}
{' Yes': -0.025942497, 'Yes': -3.9937577, '\n': -5.7039933, ' ': -6.4181314, ' yes': -6.793713}
{' Yes': -0.0070765493, 'Yes': -5.5912194, '\n': -6.5026855, ' ': -6.593628, ' yes': -7.8389}
{' Yes': -0.011925077, 'Yes': -5.148943, '\n': -5.553059, ' ': -6.503332, ' yes': -7.4989038}
{' Yes': -0.033565357, 'Yes': -3.6043792, '\n': -5.7446604, ' ': -6.470968, ' yes': -7.0647826}
{' Yes': -0.029336626, 'Yes': -3.7322462, '\n': -6.387653, ' ': -6.4723845, ' yes': -6.6498466}
{' Yes': -0.02054818, 'Yes': -4.47151, ' yes': -5.2117004, '\n': -6.4801807, ' ': -6.50326}
{' Yes': -0.024425393, 'Yes': -4.2657127, ' yes': -4.9892445, '\n': -6.60505, ' ': -6.714251}
{' No': -0.08496583, ' Generally': -3.1355429, 'No': -3.9693592, ' Yes': -4.875615, ' It': -5.4866095}
{' No': -0.09625831, ' Generally': -3.0323658, 'No': -3.6012802, ' Ant': -5.365301, ' On': -5.958259}
{' No': -0.10740799, 'No': -2.54017, ' Generally': -4.2469687, ' Yes': -6.2795444, ' It': -6.4041185}
{' No': -0.0833774, 'No': -2.5923, ' Generally': -6.0046587, ' Ant': -6.6019397, ' ': -7.6946235}
{' No': -0.092064455, 'No': -2.5183702, ' Generally': -6.127512, ' An': -6.705094, ' ': -6.866558}
{' No': -0.10870101, 'No': -2.3412297, ' Ant': -6.287135, ' Generally': -6.555642, ' ': -6.665593}
{' No': -0.039470684, 'No': -3.7414854, ' Generally': -4.440922, ' An': -6.866228, ' On': -7.9999557}
{' No': -0.08326487, 'No': -2.8191657, ' Generally': -4.64083, ' Ant': -4.9607825, ' On': -7.1954637}
{' No': -0.17486985, 'No': -2.0474646, ' Generally': -4.6704865, '\n': -4.8048344, ' ': -5.4992666}
{' No': -0.16779833, 'No': -2.0388367, ' Ant': -5.184719, '\n': -5.3880863, ' ': -5.397312}
{' No': -0.12401072, 'No': -2.722163, ' Generally': -3.5669653, ' An': -5.080261, ' Yes': -5.306934}
{' No': -0.121233515, 'No': -2.4140935, ' Ant': -4.502766, ' Generally': -4.8202252, ' ': -6.541217}
{' No': -0.0064118425, 'No': -5.260879, ' ': -7.3437543, '\n': -8.026982, ' Generally': -9.086141}
{' No': -0.011794192, 'No': -4.7057004, '\n': -6.8409243, ' ': -7.257666, ' Generally': -7.505887}
{' No': -0.08090329, 'No': -2.6275017, '\n': -6.3780656, ' ': -6.479474, ' Generally': -6.966523}
{' No': -0.055553243, 'No': -3.0005796, ' ': -6.659623, ' Ant': -6.8219213, ' Generally': -7.120812}
{' No': -0.13318467, 'No': -2.3881571, '\n': -3.6337245, ' ': -5.2732754, ' An': -7.399704}
{' No': -0.18777396, 'No': -2.5295172, '\n': -2.6195595, ' ': -4.5654306, ' Ant': -5.26931}
{' No': -0.01638183, 'No': -4.1717105, ' ': -7.380676, '\n': -9.299307, ' An': -10.265844}
{' No': -0.016035806, 'No': -4.2052755, ' Ant': -7.90596, ' ': -8.013172, ' Generally': -9.095791}
{' No': -0.29806218, 'No': -1.4404173, '\n': -4.603795, ' ': -4.8423553, ' An': -6.631812}
{' No': -0.28046748, 'No': -1.4995703, '\n': -4.4632616, ' ': -4.9846277, ' Ant': -6.3142734}
{' No': -0.05226206, 'No': -3.203978, ' An': -5.862709, ' ': -5.900141, ' Generally': -6.500135}
{' No': -0.07611016, 'No': -2.7917225, ' Ant': -5.408528, ' ': -5.7418656, ' Generally': -6.715839}
{' No': -0.17243464, 'No': -1.9445962, ' An': -5.3620124, ' Generally': -5.606178, ' ': -6.7824006}
{' No': -0.16954127, 'No': -2.164218, ' Ant': -3.9701314, ' Generally': -5.151317, ' It': -5.8402514}
{' No': -0.17425103, 'No': -1.8430264, ' Generally': -7.5050383, ' ': -7.9892797, ' It': -8.612937}
{' No': -0.21635717, 'No': -1.6589575, ' Generally': -6.042109, ' Ant': -7.327896, ' ': -7.9786634}
{' No': -0.21838, 'No': -1.650135, ' ': -6.91335, ' Generally': -7.033108, ' Yes': -7.6087112}
{' No': -0.2086599, 'No': -1.7156217, ' Generally': -5.8589478, ' Ant': -6.0373583, ' ': -7.1152663}
{' No': -0.06062368, 'No': -2.8607183, ' Generally': -7.4801517, ' Yes': -8.107476, ' ': -8.157998}
{' No': -0.06886373, 'No': -2.8149116, ' Ant': -5.7497487, ' Generally': -6.1217523, ' ': -8.179029}
{' No': -0.60786235, 'No': -0.8389149, ' Generally': -5.148634, ' Ant': -5.414226, ' It': -5.7262063}
{' No': -0.6331318, 'No': -0.83860856, ' Ant': -4.020766, ' Generally': -4.7919784, '\n': -6.176064}
{' No': -0.1191943, 'No': -2.225855, ' Generally': -6.6903725, ' An': -7.33139, ' ': -7.3884783}
{' No': -0.30784512, 'No': -1.9555655, ' Ant': -2.8729122, ' Generally': -3.5144243, ' Yes': -4.2935457}
{' No': -0.031053195, 'No': -4.098396, ' no': -4.7661033, ' ': -5.603051, '\n': -6.6898274}
{' No': -0.026968675, 'No': -3.8772838, ' no': -6.0279293, ' ': -6.1254296, '\n': -7.301341}
{' No': -0.13902779, 'No': -2.0921433, ' ': -6.088478, '\n': -6.13729, ' Generally': -7.315302}
{' No': -0.13127209, 'No': -2.163514, '\n': -5.492068, ' ': -6.024632, ' Generally': -7.678942}
{' No': -0.24495585, 'No': -1.7301376, '\n': -3.4085546, ' ': -5.2540803, ' no': -7.6691017}
{' No': -0.3096968, 'No': -1.6051623, '\n': -2.9148257, ' ': -4.9609666, ' Ant': -5.985572}
{' No': -0.043174725, 'No': -3.2287235, ' ': -6.845353, '\n': -7.189674, ' no': -8.125165}
{' No': -0.04834439, 'No': -3.0979486, '\n': -7.2394395, ' ': -7.289845, ' no': -7.8289285}
{' No': -0.42043948, 'No': -1.1801366, '\n': -3.558623, ' ': -5.3403134, ' no': -6.7480288}
{' No': -0.3636993, 'No': -1.2898123, '\n': -3.9289827, ' ': -5.187402, ' no': -6.0474415}
{' No': -0.1044448, 'No': -2.7502406, ' no': -4.0538955, '\n': -5.194725, ' ': -5.3565493}
{' No': -0.15400995, 'No': -2.373628, ' no': -3.76065, '\n': -4.525115, ' ': -5.1315165}
{' No': -0.018509006, 'No': -4.434469, '\n': -5.538809, ' ': -6.343414, ' Generally': -7.9512644}
{' No': -0.019388653, 'No': -4.4301896, '\n': -5.4265428, ' ': -6.3620296, ' Ant': -7.626195}
{' No': -0.081578135, 'No': -2.712102, '\n': -4.813439, ' ': -5.8571973, ' Generally': -7.994098}
{' No': -0.09252792, 'No': -2.906657, '\n': -3.5782475, ' ': -5.53978, ' Ant': -6.9936566}
{' No': -0.0756502, 'No': -2.9478137, '\n': -4.2151957, ' ': -5.4820466, ' An': -7.1442866}
{' No': -0.073189154, 'No': -3.0650845, '\n': -4.1033173, ' ': -5.5265007, ' Ant': -6.0773005}
{' No': -0.019849526, 'No': -4.299215, ' ': -5.818534, '\n': -5.94267, ' An': -8.451232}
{' No': -0.03291996, 'No': -3.8988883, '\n': -4.8413286, ' ': -5.822947, ' Ant': -7.210456}
{' No': -0.06914511, 'No': -2.854736, '\n': -5.2291317, ' ': -5.7434344, ' An': -8.090056}
{' No': -0.062136836, 'No': -2.976264, '\n': -5.429801, ' ': -5.5671644, ' Ant': -7.2255516}
{' No': -0.049592074, 'No': -3.395234, ' ': -5.303108, '\n': -5.3750277, ' An': -5.8367667}
{' No': -0.059778135, 'No': -3.164028, '\n': -5.29248, ' ': -5.466163, ' Ant': -5.5664105}
{' Yes': -0.0055542607, 'Yes': -5.692772, ' Generally': -6.266079, ' yes': -9.149425, ' It': -10.264715}
{' Yes': -0.01429846, ' Generally': -4.5884295, 'Yes': -5.989964, ' On': -7.5610604, ' In': -8.086457}
{' Yes': -0.012840549, 'Yes': -4.587902, ' Generally': -6.3930335, ' yes': -8.093561, ' A': -8.805092}
{' Yes': -0.01207408, 'Yes': -4.6573243, ' Generally': -6.377552, ' yes': -8.101622, ' Rats': -9.257942}
{' Yes': -0.01386957, 'Yes': -4.381997, ' ': -7.9256444, ' yes': -7.967145, '\n': -8.28778}
{' Yes': -0.018526312, 'Yes': -4.141091, ' Generally': -7.367512, ' ': -7.8203435, ' yes': -7.9523373}
{' Yes': -0.0042671612, 'Yes': -6.2273793, ' Generally': -6.2889066, ' yes': -8.832237, ' A': -9.124901}
{' Yes': -0.01301825, ' Generally': -5.007935, 'Yes': -5.421469, ' yes': -7.778429, ' On': -7.799347}
{' Yes': -0.021897651, 'Yes': -4.078708, '\n': -6.34901, ' ': -6.6611285, ' Generally': -7.313469}
{' Yes': -0.02795153, 'Yes': -3.7237713, ' ': -6.9308553, '\n': -7.1012506, ' Generally': -7.261951}
{' Yes': -0.011530183, 'Yes': -4.7185783, ' Generally': -6.7209334, ' yes': -7.36461, ' ': -8.518817}
{' Yes': -0.020540025, 'Yes': -4.0973887, ' yes': -6.6128488, ' Generally': -6.719299, ' ': -7.9070024}
{' Yes': -0.0028241999, 'Yes': -6.189002, ' yes': -8.208423, ' ': -8.383351, '\n': -8.540589}
{' Yes': -0.0055028945, 'Yes': -5.982736, ' Generally': -6.763891, ' yes': -7.3554344, '\n': -7.557958}
{' Yes': -0.0137328105, 'Yes': -4.5442233, '\n': -7.00629, ' yes': -7.3443956, ' ': -7.417562}
{' Yes': -0.012412159, 'Yes': -4.674384, ' yes': -6.9024224, ' Generally': -7.2306767, ' ': -7.510578}
{' Yes': -0.056717534, 'Yes': -3.6718128, '\n': -3.8881116, ' ': -4.9628754, ' yes': -6.758397}
{' Yes': -0.061903708, '\n': -3.612979, 'Yes': -3.801581, ' ': -4.838309, ' yes': -6.507658}
{' Yes': -0.0022406206, 'Yes': -6.294862, ' yes': -8.486367, ' ': -8.997594, '\n': -10.236482}
{' Yes': -0.0029965402, 'Yes': -6.1206665, ' yes': -7.707796, ' ': -8.777599, ' Generally': -9.251852}
{' Yes': -0.08424782, 'Yes': -2.698189, '\n': -5.2231526, ' ': -5.416868, ' yes': -5.9191246}
{' Yes': -0.09355777, 'Yes': -2.5995047, '\n': -5.309681, ' ': -5.483719, ' yes': -5.502327}
{' Yes': -0.013982533, 'Yes': -4.891923, ' yes': -5.3405986, ' ': -7.156713, '\n': -8.1081505}
{' Yes': -0.020664698, 'Yes': -4.517323, ' yes': -4.9299836, ' ': -6.8616276, '\n': -8.064635}
{' Yes': -0.057104625, 'Yes': -3.3113425, ' yes': -4.177756, ' Generally': -6.9215174, ' A': -6.933305}
{' Yes': -0.072048314, 'Yes': -3.123064, ' yes': -3.9423578, ' Generally': -6.298223, ' Rats': -7.029647}
{' Yes': -0.022428742, 'Yes': -3.9964638, ' No': -6.3181453, ' yes': -6.9399734, ' Generally': -7.7383366}
{' Yes': -0.039920356, 'Yes': -3.3655694, ' Generally': -6.05323, ' yes': -7.095939, ' No': -7.360854}
{' Yes': -0.03166791, 'Yes': -3.5221672, ' yes': -6.9416485, ' ': -8.000607, ' Generally': -9.372201}
{' Yes': -0.0398662, 'Yes': -3.2910295, ' yes': -7.093628, ' Generally': -8.280391, ' ': -8.397539}
{' Yes': -0.0073282775, 'Yes': -5.057293, ' yes': -7.429212, ' Generally': -9.180689, ' ': -9.215292}
{' Yes': -0.013460615, 'Yes': -4.4969177, ' Generally': -6.9676914, ' yes': -7.391012, ' No': -8.441836}
{' Yes': -0.085184276, 'Yes': -2.6047173, ' Generally': -5.98447, ' yes': -6.6640124, ' Rats': -6.752157}
{' Yes': -0.08644923, 'Yes': -2.5532079, ' Generally': -6.372519, ' yes': -6.7102942, ' Rats': -7.374974}
{' Yes': -0.024405602, 'Yes': -3.9792602, ' yes': -5.4965944, ' Generally': -7.7164197, ' ': -7.850068}
{' Yes': -0.038090605, 'Yes': -3.4785755, ' yes': -5.504805, ' Generally': -6.848765, ' Rats': -7.7126412}
{' Yes': -0.05209615, ' yes': -3.1609066, 'Yes': -5.124081, ' ': -6.8141274, '\n': -7.279999}
{' Yes': -0.05412056, ' yes': -3.1302845, 'Yes': -5.0790033, ' ': -6.7382417, '\n': -7.1781793}
{' Yes': -0.028843813, 'Yes': -3.889983, ' yes': -5.2760553, '\n': -6.580445, ' ': -6.8741155}
{' Yes': -0.029231856, 'Yes': -3.8842046, ' yes': -5.1526294, '\n': -6.899879, ' ': -7.095075}
{' Yes': -0.07880641, 'Yes': -3.0452561, '\n': -4.050574, ' yes': -5.1759033, ' ': -5.4788017}
{' Yes': -0.075766124, 'Yes': -3.036387, '\n': -4.2321134, ' yes': -5.0404453, ' ': -5.795569}
{' Yes': -0.011507391, 'Yes': -4.806118, ' yes': -5.918917, '\n': -8.353235, ' ': -8.479748}
{' Yes': -0.010631209, 'Yes': -4.88899, ' yes': -5.978778, '\n': -8.769427, ' ': -9.034238}
{' Yes': -0.13140273, 'Yes': -2.3701093, '\n': -4.093929, ' yes': -4.8228526, ' ': -5.6406794}
{' Yes': -0.137935, 'Yes': -2.325824, ' yes': -4.294284, '\n': -4.4364843, ' ': -5.8531346}
{' Yes': -0.08700275, ' yes': -2.7775657, 'Yes': -4.249982, '\n': -5.74818, ' ': -6.109596}
{' Yes': -0.11506215, ' yes': -2.4716144, 'Yes': -4.017036, 'yes': -6.126679, '\n': -6.1455398}
{' Yes': -0.0050070044, 'Yes': -5.732851, '\n': -7.216406, ' yes': -7.605154, ' ': -7.7708507}
{' Yes': -0.008280873, 'Yes': -5.9379835, '\n': -6.121852, ' ': -6.749154, ' Generally': -6.7660856}
{' Yes': -0.01831861, 'Yes': -4.408629, '\n': -5.654409, ' ': -6.4578376, ' yes': -7.35334}
{' Yes': -0.02250244, 'Yes': -4.41179, '\n': -5.215629, ' ': -6.159721, ' Generally': -6.7236624}
{' Yes': -0.026276056, 'Yes': -4.2327733, '\n': -4.975594, ' ': -5.80608, ' yes': -7.038997}
{' Yes': -0.023706404, 'Yes': -4.2167606, '\n': -5.447122, ' ': -5.991599, ' yes': -6.82258}
{' Yes': -0.005890021, 'Yes': -5.8947673, '\n': -6.5373154, ' ': -6.635433, ' yes': -8.128515}
{' Yes': -0.010432551, 'Yes': -5.478572, '\n': -5.746898, ' ': -6.1919127, ' yes': -7.5366507}
{' Yes': -0.02431222, 'Yes': -4.014924, '\n': -5.7096105, ' ': -6.3296456, ' yes': -7.2741857}
{' Yes': -0.020083025, 'Yes': -4.122065, ' ': -6.6949987, '\n': -6.9073687, ' yes': -6.9824743}
{' Yes': -0.013107324, 'Yes': -5.159626, ' yes': -5.508953, ' ': -6.453321, '\n': -6.643539}
{' Yes': -0.01934818, 'Yes': -4.6425414, ' yes': -5.158233, ' ': -6.2884855, '\n': -6.620289}
{' Yes': -0.6857275, ' No': -0.8088868, ' Generally': -3.3075955, 'No': -4.9090605, ' A': -5.924518}
{' No': -0.80518556, ' Yes': -1.0045435, ' Generally': -1.806946, 'No': -4.764462, ' On': -5.4294243}
{' No': -0.0669203, 'No': -2.7899253, ' Generally': -6.8263288, ' Yes': -7.0570397, ' A': -7.3773656}
{' No': -0.075391084, 'No': -2.717788, ' Generally': -5.8315954, ' Rats': -6.457125, ' Yes': -7.0229807}
{' No': -0.07263165, 'No': -2.7051198, ' ': -6.925075, ' A': -7.1856184, '\n': -7.5137987}
{' No': -0.08045688, 'No': -2.7233326, ' Rats': -5.1764097, ' ': -6.455232, ' Generally': -6.6309724}
{' No': -0.030282177, 'No': -4.05153, ' Generally': -4.7554197, ' A': -6.3638024, ' Yes': -7.003213}
{' No': -0.039812263, 'No': -3.523924, ' Generally': -5.0766964, ' Rats': -6.3343945, ' On': -7.7870607}
{' No': -0.11600772, 'No': -2.2964904, '\n': -5.55585, ' ': -6.1043134, ' Generally': -6.900616}
{' No': -0.1226526, 'No': -2.348414, ' Rats': -5.009402, '\n': -5.431231, ' ': -5.698715}
{' No': -0.07065004, 'No': -2.9278257, ' Generally': -5.174192, ' A': -5.861978, ' Yes': -5.895505}
{' No': -0.114411876, 'No': -2.3826804, ' Rats': -5.028396, ' Generally': -5.5122504, ' ': -6.4807124}
{' No': -0.00559184, 'No': -5.505473, ' ': -7.0369105, '\n': -7.8539267, ' A': -8.978744}
{' No': -0.0101958765, 'No': -4.967099, ' Generally': -6.950177, ' ': -6.96362, '\n': -6.986491}
{' No': -0.050141986, 'No': -3.1069102, '\n': -6.307824, ' ': -6.5090556, ' A': -7.370399}
{' No': -0.049472827, 'No': -3.156206, ' ': -6.256708, ' Rats': -6.5784187, '\n': -6.581579}
{' No': -0.11952723, 'No': -2.6934254, '\n': -3.3225548, ' ': -4.938834, ' A': -6.650643}
{' No': -0.16093253, 'No': -2.6004562, '\n': -2.7811277, ' ': -4.664242, ' Rats': -6.191213}
{' No': -0.011100786, 'No': -4.5769615, ' ': -7.4292216, '\n': -9.276367, ' A': -10.335136}
{' No': -0.013841223, 'No': -4.32287, ' ': -8.070184, '\n': -9.339931, ' Rats': -10.143205}
{' No': -0.2227934, 'No': -1.7265719, '\n': -4.414554, ' ': -4.8560925, ' A': -6.7685924}
{' No': -0.22123317, 'No': -1.7460591, '\n': -4.405153, ' ': -4.928946, ' Rats': -5.6708417}
{' No': -0.03998177, 'No': -3.5403898, ' ': -5.556066, ' A': -5.6382594, '\n': -6.799372}
{' No': -0.070703454, 'No': -2.9794996, ' Rats': -4.8176327, ' ': -5.4160905, '\n': -6.366754}
{' No': -0.10800833, 'No': -2.3646915, ' A': -5.8129945, ' no': -6.4516697, ' ': -6.827436}
{' No': -0.13213834, 'No': -2.194644, ' Rats': -5.630299, ' no': -6.288594, ' Generally': -6.314018}
{' No': -0.09411648, 'No': -2.4170802, ' ': -7.880726, ' no': -9.556019, ' Generally': -9.643287}
{' No': -0.17158692, 'No': -1.8664359, ' Generally': -6.4234257, ' Rats': -7.7847705, ' ': -8.14211}
{' No': -0.13806781, 'No': -2.0611024, ' ': -6.885298, ' Yes': -8.873834, '\n': -8.93874}
{' No': -0.17044617, 'No': -1.8782765, ' Rats': -6.867364, ' ': -7.23427, ' Yes': -7.3612585}
{' No': -0.028855039, 'No': -3.5831456, ' ': -8.154639, ' no': -9.493863, ' Yes': -9.577528}
{' No': -0.042813957, 'No': -3.2300522, ' Generally': -7.0741534, ' Rats': -7.413889, ' Yes': -8.036188}
{' No': -0.51134187, 'No': -0.9333104, ' Rats': -6.014298, ' Generally': -6.626614, ' ': -6.8666234}
{' No': -0.48478752, 'No': -1.0086808, ' Rats': -4.5977902, ' Generally': -5.561692, '\n': -6.231146}
{' No': -0.08981658, 'No': -2.479076, ' ': -7.3940806, ' Generally': -7.955007, ' A': -8.157692}
{' No': -0.23372391, 'No': -1.9808286, ' Yes': -3.7453225, ' Rats': -3.8780756, ' Generally': -4.0275564}
{' No': -0.020693664, 'No': -4.6057134, ' ': -5.4372773, ' no': -5.493853, '\n': -6.426878}
{' No': -0.022549504, 'No': -4.191138, ' ': -5.739105, ' no': -6.0332623, '\n': -6.8257604}
{' No': -0.09299662, 'No': -2.5229034, '\n': -5.525856, ' ': -5.7444286, ' A': -7.5256486}
{' No': -0.10348379, 'No': -2.4475198, '\n': -5.05778, ' ': -5.7109914, ' Rats': -7.226168}
{' No': -0.22675723, 'No': -2.0441096, '\n': -2.744467, ' ': -4.9176884, ' A': -6.921957}
{' No': -0.28457823, 'No': -1.9415683, '\n': -2.3742428, ' ': -4.7756877, ' Rats': -6.522647}
{' No': -0.025286226, 'No': -3.773968, ' ': -6.8654423, '\n': -7.454672, ' no': -8.413315}
{' No': -0.033791285, 'No': -3.4619775, ' ': -7.215761, '\n': -7.3584275, ' no': -8.608197}
{' No': -0.34552586, 'No': -1.4256555, '\n': -3.1347637, ' ': -5.0648975, ' no': -6.9252653}
{' No': -0.29887295, 'No': -1.5266255, '\n': -3.4936702, ' ': -5.0152354, ' no': -6.106773}
{' No': -0.07694922, 'No': -3.0090535, ' no': -4.6715736, '\n': -4.849786, ' ': -5.2335024}
{' No': -0.11936018, 'No': -2.58445, '\n': -4.33494, ' no': -4.5581846, ' ': -5.124758}
{' No': -0.01218636, 'No': -4.780426, '\n': -6.284357, ' ': -6.469855, ' A': -8.862097}
{' No': -0.01857592, 'No': -4.440487, '\n': -5.5789394, ' ': -6.3226705, ' Generally': -7.263941}
{' No': -0.056500368, 'No': -3.2277668, '\n': -4.4770913, ' ': -5.675196, ' A': -8.071974}
{' No': -0.08354042, 'No': -2.9311662, '\n': -3.8217432, ' ': -5.651013, ' Rats': -7.15761}
{' No': -0.062086035, 'No': -3.2874525, '\n': -4.054622, ' ': -5.400623, ' A': -7.2656074}
{' No': -0.07408223, 'No': -3.114348, '\n': -3.8992088, ' ': -5.3638444, ' Rats': -6.553106}
{' No': -0.015260218, 'No': -4.5829954, ' ': -5.925468, '\n': -6.177959, ' A': -9.167476}
{' No': -0.030375747, 'No': -3.8971777, '\n': -5.102149, ' ': -5.7387204, ' Generally': -8.847808}
{' No': -0.051743813, 'No': -3.2134447, '\n': -4.9742537, ' ': -5.822863, ' A': -8.510066}
{' No': -0.053654183, 'No': -3.1383955, '\n': -5.2966003, ' ': -5.778093, ' Rats': -7.4876204}
{' No': -0.034773964, 'No': -3.908715, ' ': -5.115571, '\n': -5.2920465, ' A': -6.26141}
{' No': -0.05081291, 'No': -3.2667916, '\n': -5.313425, ' ': -5.4962683, ' Rats': -6.699231}
