{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' ': -10.373965, ' Yes': -0.016732885, ' yes': -6.9756756, 'Yes': -4.1631846, 'yes': -10.030854}
{' ': -10.139605, ' Yes': -0.0016557111, ' yes': -7.3968596, 'Yes': -6.921673, 'yes': -11.890236}
{' ': -9.4027405, ' Yes': -0.008653924, ' yes': -7.404491, 'Yes': -4.844855, 'yes': -10.525215}
{' ': -9.09229, ' Yes': -0.0074438653, ' yes': -8.218352, 'Yes': -4.9620314, 'yes': -11.260445}
{' No': -10.048686, ' ': -9.569657, ' Yes': -0.0024042572, ' yes': -7.8337774, 'Yes': -6.280209}
{'\n': -10.386262, ' ': -8.317567, ' Yes': -0.0060536563, ' yes': -7.9009986, 'Yes': -5.231487}
{'\n': -9.48966, ' ': -8.118803, ' Yes': -0.009706984, ' yes': -5.6014867, 'Yes': -5.2044797}
{' No': -11.39403, ' ': -10.584654, ' Yes': -0.00062456593, ' yes': -9.855272, 'Yes': -7.547047}
{' No': -9.2956085, ' ': -9.611639, ' Yes': -0.0040134485, ' yes': -9.497353, 'Yes': -5.583685}
{' No': -9.459233, '\n': -9.608575, ' ': -8.862669, ' Yes': -0.004928472, 'Yes': -5.3912616}
{' No': -7.889304, ' ': -9.493848, ' Yes': -0.0013187422, ' yes': -9.802868, 'Yes': -7.1268663}
{'\n': -9.573576, ' ': -8.148024, ' Yes': -0.007893304, ' yes': -9.661692, 'Yes': -4.9082646}
{' No': -11.361584, ' ': -9.473831, ' Yes': -0.0015139843, ' yes': -9.270165, 'Yes': -6.6346908}
{' No': -0.0049646515, ' ': -11.205497, 'No': -5.311176, ' no': -14.247778, ' NO': -13.9232855}
{' No': -0.02332227, ' ': -10.265506, 'No': -3.7718534, ' no': -13.125027, ' NO': -12.55923}
{' No': -0.038053516, ' ': -10.003305, 'No': -3.289131, ' no': -13.619152, ' NO': -12.748731}
{' No': -0.009684416, ' ': -11.365907, 'No': -4.6435266, ' no': -14.154232, ' NO': -13.855674}
{' No': -0.03872077, '\n': -12.099239, ' ': -9.21379, 'No': -3.2738984, ' Yes': -12.328752}
{' No': -0.024055269, ' ': -9.010151, 'No': -3.7455614, ' no': -12.053737, ' NO': -12.358394}
{' No': -0.0011081991, '\n': -12.66842, ' ': -10.362731, 'No': -6.840053, ' no': -13.572865}
{' No': -0.009337027, '\n': -12.738775, ' ': -9.870348, 'No': -4.6848493, ' no': -13.295088}
{' No': -0.009246548, '\xa0': -12.710262, '\n': -10.209719, ' ': -8.890214, 'No': -4.7082286}
{' No': -0.0022351237, '\n': -13.424227, ' ': -10.585065, 'No': -6.1177325, ' NO': -13.76653}
{' No': -0.0081458995, '\xa0': -12.808946, '\n': -9.780153, ' ': -8.358792, 'No': -4.8519316}
{' No': -0.008726975, '\n': -10.087813, ' ': -8.83517, 'No': -4.769072, ' no': -11.907698}
{' No': -0.015807495, ' ': -10.249087, 'No': -4.1588507, ' no': -11.402985, ' NO': -12.361067}
{' No': -0.031838138, ' ': -11.559956, 'No': -3.463448, 'no': -13.531486, ' no': -13.140549}
{' No': -0.057229325, '\n': -11.472488, ' ': -9.350448, 'No': -2.8913262, ' no': -12.076938}
{' No': -0.0069639436, ' ': -10.530318, 'No': -4.9758015, ' no': -12.161099, ' NO': -13.011109}
{' No': -0.07237704, '\n': -10.703996, ' ': -8.802022, 'No': -2.6656065, ' Yes': -9.747095}
{' No': -0.058388907, '\n': -10.145527, ' ': -8.595889, 'No': -2.8778489, ' Yes': -8.897777}
{' No': -0.0016450246, '\n': -11.601967, ' ': -9.164656, 'No': -6.4901395, ' no': -11.667545}
{' No': -0.014681507, '\n': -12.284639, ' ': -8.736101, 'No': -4.241385, ' no': -11.243611}
{' No': -0.012180083, '\n': -9.609988, ' ': -8.350852, 'No': -4.4403853, ' no': -12.3904505}
{' No': -0.003766918, '\n': -12.040277, ' ': -8.871458, 'No': -5.6269393, ' no': -11.571119}
{' No': -0.009230005, '\n': -9.291056, ' ': -8.028278, 'No': -4.7389016, ' no': -11.342881}
{' No': -0.012996816, '\n': -8.536455, ' ': -7.5800877, 'No': -4.416649, ' no': -9.096479}
{' No': -0.0009361238, '\n': -11.772193, ' ': -9.996118, 'No': -7.035602, ' NO': -13.6827545}
{' No': -0.0066209813, '\n': -11.769394, ' ': -9.56825, 'No': -5.0332093, ' NO': -13.337931}
{' No': -0.0079512205, '\n': -8.733922, ' ': -8.56277, 'No': -4.8846984, ' NO': -13.193212}
{' No': -0.0017069989, '\n': -12.28436, ' ': -9.521808, 'No': -6.423017, ' NO': -13.20459}
{' No': -0.010580909, '\n': -9.215209, ' ': -8.005619, 'No': -4.596835, ' NO': -12.904725}
{' No': -0.0028820026, '\n': -11.317201, ' ': -9.018765, 'No': -5.8999267, ' no': -12.916434}
{' No': -0.005033181, ' ': -11.855985, 'No': -5.375463, ' Yes': -7.873068, 'Yes': -13.271089}
{' No': -0.02748072, ' ': -10.372974, 'No': -3.6299033, ' Yes': -7.519475, 'Yes': -11.66178}
{' No': -0.05354765, ' ': -9.889782, 'No': -2.9585903, ' Yes': -8.61363, 'Yes': -11.9364605}
{' No': -0.009017249, ' ': -11.716205, 'No': -4.7696695, ' Yes': -7.6399794, 'Yes': -12.688903}
{' No': -0.04674407, ' ': -9.020564, 'No': -3.3328385, ' Yes': -4.639441, 'Yes': -8.697533}
{' No': -0.0970269, ' ': -8.398453, 'No': -4.067339, ' Yes': -2.5964146, 'Yes': -7.5330925}
{' No': -0.017083814, ' ': -9.964556, 'No': -6.9187145, ' Yes': -4.143186, 'Yes': -10.902064}
{' No': -0.011352204, ' ': -9.859408, 'No': -4.874997, ' Yes': -5.6356177, 'Yes': -10.618087}
{' No': -0.023700237, ' ': -8.936887, 'No': -5.055637, ' Yes': -4.087772, 'Yes': -9.244102}
{' No': -0.00247536, '\n': -13.075637, ' ': -10.497094, 'No': -6.3874617, ' Yes': -7.1871805}
{' No': -0.02565962, ' ': -7.729315, 'No': -4.621534, ' Yes': -4.2103667, 'Yes': -8.900568}
{' No': -0.25866804, ' ': -7.386317, 'No': -4.8873835, ' Yes': -1.5226871, 'Yes': -6.6291}
{' No': -0.02145008, ' ': -10.362839, 'No': -4.1312103, ' Yes': -5.2871647, 'Yes': -9.850363}
{' No': -0.10870626, ' ': -10.641435, 'No': -3.7335153, ' Yes': -2.5547645, 'Yes': -6.6092553}
{' No': -0.9537046, 'No': -4.1950946, ' Yes': -0.52878743, ' yes': -8.706749, 'Yes': -4.6111465}
{' No': -0.013711056, ' ': -10.614242, 'No': -4.769429, ' Yes': -5.286916, 'Yes': -10.083241}
{' No': -2.8262937, 'No': -5.7238083, ' Yes': -0.08399956, ' yes': -8.135135, 'Yes': -4.0407767}
{' No': -4.129999, 'No': -7.028642, ' Yes': -0.032301087, ' yes': -6.922502, 'Yes': -4.2940807}
{' No': -0.0042960127, ' ': -8.777, 'No': -6.7186127, ' Yes': -5.845742, ' no': -11.289692}
{' No': -0.0134891905, ' ': -8.769758, 'No': -4.4789205, ' Yes': -6.2874455, 'Yes': -10.8727}
{' No': -0.019387802, ' ': -8.257522, 'No': -4.79375, ' Yes': -4.5529246, 'Yes': -9.404338}
{' No': -0.0032117867, ' ': -9.153342, 'No': -5.914821, ' Yes': -7.8533835, ' no': -12.23932}
{' No': -0.024462039, ' ': -7.4486403, 'No': -4.524946, ' Yes': -4.380142, 'Yes': -9.016281}
{' No': -0.028900133, '\n': -8.191345, ' ': -6.8724666, 'No': -4.3902016, ' Yes': -4.2350307}
{' No': -0.0062461062, '\n': -10.861336, ' ': -9.349978, 'No': -7.126837, ' Yes': -5.2386713}
{' No': -0.0055966945, '\n': -11.66597, ' ': -9.522129, 'No': -5.3686566, ' Yes': -7.0943413}
{' No': -0.009889847, '\n': -8.692713, ' ': -8.386938, 'No': -5.057661, ' Yes': -5.7892895}
{' No': -0.0018762215, '\n': -11.874549, ' ': -9.358003, 'No': -6.9048967, ' Yes': -7.16402}
{' No': -0.032336604, '\n': -8.051692, ' ': -7.310149, 'No': -4.762389, ' Yes': -3.8121846}
{' No': -0.008624646, '\n': -9.883052, ' ': -8.500577, 'No': -6.207876, ' Yes': -5.066833}
{' YES': -12.223292, ' ': -12.10427, ' Yes': -0.0026860728, ' yes': -10.220596, 'Yes': -5.9393616}
{' YES': -11.824628, ' ': -11.13049, ' Yes': -0.009639818, ' yes': -9.462393, 'Yes': -4.6577964}
{' YES': -11.138827, ' ': -11.215962, ' Yes': -0.02031609, ' yes': -9.419712, 'Yes': -3.9124537}
{' YES': -12.410427, ' ': -12.257353, ' Yes': -0.004450887, ' yes': -10.268943, 'Yes': -5.427232}
{' ': -11.181837, ' Yes': -0.0144050615, ' yes': -9.641529, 'Yes': -4.2543116, 'yes': -11.519787}
{' YES': -11.823261, ' ': -10.490063, ' Yes': -0.007548117, ' yes': -9.248669, 'Yes': -4.9089017}
{' YES': -11.910094, ' ': -11.267978, ' Yes': -0.0009492508, ' yes': -9.699178, 'Yes': -7.055291}
{' YES': -11.764103, ' ': -10.542298, ' Yes': -0.0047144145, ' yes': -9.441699, 'Yes': -5.3859644}
{'\n': -10.712062, ' ': -10.266928, ' Yes': -0.0045276443, ' yes': -9.581965, 'Yes': -5.4307246}
{' YES': -12.567694, ' ': -11.680156, ' Yes': -0.0011227585, ' yes': -10.23993, 'Yes': -6.8391447}
{'\n': -10.3576565, ' ': -9.054989, ' Yes': -0.007834266, ' yes': -9.493786, 'Yes': -4.884644}
{'\n': -9.6536, ' ': -9.170341, ' Yes': -0.0065167667, ' yes': -8.148948, 'Yes': -5.114946}
{' ': -11.36308, ' Yes': -0.007959392, ' yes': -8.375745, 'Yes': -4.8718243, 'yes': -11.144807}
{' YES': -13.092608, ' Yes': -0.015427512, ' yes': -9.912985, 'Yes': -4.1831465, 'yes': -12.068765}
{' ': -10.868363, ' Yes': -0.026645228, ' yes': -8.623111, 'Yes': -3.6477065, 'yes': -10.643842}
{' ': -11.89772, ' Yes': -0.007718211, ' yes': -8.812464, 'Yes': -4.8904347, 'yes': -11.631766}
{' ': -10.735016, ' Yes': -0.022289589, ' yes': -8.709747, 'Yes': -3.8253005, 'yes': -10.404419}
{' ': -10.492677, ' Yes': -0.023539, ' yes': -7.483893, 'Yes': -3.790148, 'yes': -9.809326}
{' YES': -11.73629, ' ': -10.271779, ' Yes': -0.0014920771, ' yes': -8.1132345, 'Yes': -6.7779617}
{' ': -9.682931, ' Yes': -0.008781933, ' yes': -7.935307, 'Yes': -4.7935643, 'yes': -10.757254}
{'\n': -11.383342, ' ': -9.897823, ' Yes': -0.006073266, ' yes': -9.01561, 'Yes': -5.139992}
{' ': -10.150086, ' Yes': -0.0025156946, ' yes': -8.514985, 'Yes': -6.0953383, 'yes': -11.71062}
{'\n': -10.461411, ' ': -9.076282, ' Yes': -0.009825617, ' yes': -8.728431, 'Yes': -4.6622415}
{'\n': -8.512221, ' ': -8.118611, ' Yes': -0.013492332, ' yes': -5.9142566, 'Yes': -4.595737}
{'\n': -11.04697, ' ': -10.466467, ' Yes': -0.00087395794, ' yes': -10.237886, 'Yes': -7.1515217}
{'\n': -10.929317, ' ': -9.926974, ' Yes': -0.004268837, ' yes': -9.644783, 'Yes': -5.4934406}
{'\n': -9.098447, ' ': -9.340619, ' Yes': -0.004807364, ' yes': -9.710792, 'Yes': -5.398619}
{'\n': -11.757773, ' ': -10.273543, ' Yes': -0.0010327185, ' yes': -10.294383, 'Yes': -6.9621572}
{'\n': -9.773887, ' ': -9.164491, ' Yes': -0.0075377277, ' yes': -9.93525, 'Yes': -4.9215107}
{'\n': -10.342284, ' ': -9.8104105, ' Yes': -0.0018059964, ' yes': -9.8254595, 'Yes': -6.4029765}
{' No': -9.567228, ' ': -11.958735, ' Yes': -0.0021144003, ' yes': -10.083165, 'Yes': -6.2197847}
{' No': -9.7172365, ' ': -10.605434, ' Yes': -0.01032601, ' yes': -8.84612, 'Yes': -4.6028414}
{' No': -9.234027, ' ': -10.242083, ' Yes': -0.02015838, ' yes': -9.219132, 'Yes': -3.9272628}
{' No': -10.2515135, ' ': -11.452293, ' Yes': -0.004104893, ' yes': -10.0931015, 'Yes': -5.5204964}
{' No': -9.594699, ' ': -9.704143, ' Yes': -0.0137244705, ' yes': -9.120532, 'Yes': -4.315158}
{' No': -10.458402, ' ': -9.884116, ' Yes': -0.0077489647, ' yes': -8.664222, 'Yes': -4.899537}
{' YES': -12.409337, ' ': -10.821951, ' Yes': -0.0007957505, ' yes': -9.221886, 'Yes': -7.3120804}
{' No': -11.67865, ' ': -10.356233, ' Yes': -0.0049110404, ' yes': -9.116444, 'Yes': -5.352809}
{' No': -10.907344, ' ': -9.6680765, ' Yes': -0.00599609, ' yes': -9.074929, 'Yes': -5.157552}
{' No': -11.786219, ' ': -10.874072, ' Yes': -0.0012483763, ' yes': -9.646983, 'Yes': -6.768424}
{'\n': -9.962347, ' ': -8.521616, ' Yes': -0.006359354, ' yes': -9.0765, 'Yes': -5.123602}
{'\n': -10.274328, ' ': -9.07659, ' Yes': -0.005540952, ' yes': -7.602361, 'Yes': -5.331844}
{' No': -9.072296, ' ': -10.708559, ' Yes': -0.008484214, ' yes': -7.8411746, 'Yes': -4.8427086}
{' No': -12.230997, ' Yes': -0.011993061, ' yes': -9.439322, 'Yes': -4.437492, 'yes': -11.93961}
{' ': -10.287628, ' Yes': -0.017530892, ' yes': -8.260981, 'Yes': -4.071558, 'yes': -10.927214}
{' No': -9.785795, ' ': -11.322622, ' Yes': -0.0044634617, ' yes': -8.73551, 'Yes': -5.4696064}
{' ': -10.011053, ' Yes': -0.024656782, ' yes': -8.101882, 'Yes': -3.7318673, 'yes': -10.226599}
{' ': -10.015263, ' Yes': -0.017412918, ' yes': -6.8737297, 'Yes': -4.128596, 'yes': -9.944444}
{' ': -9.863519, ' Yes': -0.0017753046, ' yes': -7.462306, 'Yes': -6.7867327, 'yes': -11.823389}
{' ': -9.238434, ' Yes': -0.008911282, ' yes': -7.482574, 'Yes': -4.808777, 'yes': -10.484019}
{'\n': -11.044929, ' ': -9.142848, ' Yes': -0.008685491, ' yes': -8.184808, 'Yes': -4.800889}
{' No': -10.488917, ' ': -9.346908, ' Yes': -0.002991938, ' yes': -7.604644, 'Yes': -6.0545034}
{'\n': -9.932905, ' ': -8.195068, ' Yes': -0.008009681, ' yes': -8.222597, 'Yes': -4.9135327}
{'\n': -8.866439, ' ': -7.924299, ' Yes': -0.013228719, ' yes': -5.4245176, 'Yes': -4.81747}
{'\n': -11.369499, ' ': -10.143106, ' Yes': -0.00082850276, ' yes': -9.616825, 'Yes': -7.267201}
{' No': -9.766921, ' ': -9.147599, ' Yes': -0.0038026953, ' yes': -9.357253, 'Yes': -5.649316}
{' No': -9.515337, '\n': -9.219606, ' ': -8.63571, ' Yes': -0.004755019, 'Yes': -5.445665}
{' No': -9.005736, ' ': -9.421331, ' Yes': -0.0011293235, ' yes': -9.631161, 'Yes': -7.074501}
{'\n': -8.628707, ' ': -7.999822, ' Yes': -0.007665714, ' yes': -9.5161295, 'Yes': -4.963276}
{'\n': -10.590521, ' ': -9.311262, ' Yes': -0.0018882251, ' yes': -9.079507, 'Yes': -6.4102664}
{' No': -0.006119442, ' ': -10.957623, 'No': -5.1027436, ' no': -14.001057, ' NO': -13.7350645}
{' No': -0.034017395, ' ': -10.051251, 'No': -3.39949, ' no': -12.956439, ' NO': -12.25589}
{' No': -0.052632418, '\n': -13.336043, ' ': -9.617315, 'No': -2.972169, ' NO': -12.180312}
{' No': -0.012019063, ' ': -11.083742, 'No': -4.4288397, ' no': -13.922197, ' NO': -13.488265}
{' No': -0.040192716, '\n': -11.163931, ' ': -8.704155, 'No': -3.239192, ' NO': -12.2558365}
{' No': -0.02733388, ' ': -8.925733, 'No': -3.619104, ' no': -12.060366, ' NO': -12.214637}
{' No': -0.0014590676, '\n': -11.937058, ' ': -10.055117, 'No': -6.5680485, ' no': -13.297732}
{' No': -0.010097187, '\n': -12.110306, ' ': -9.584807, 'No': -4.6084857, ' NO': -13.264122}
{' No': -0.011997525, '\xa0': -12.472724, '\n': -9.854427, ' ': -8.6923065, 'No': -4.4486275}
{' No': -0.002523523, '\n': -13.024221, ' ': -10.294306, 'No': -5.9989924, ' NO': -13.510751}
{' No': -0.008818194, '\xa0': -12.6644535, '\n': -9.468277, ' ': -8.274384, 'No': -4.7751966}
{' No': -0.010852323, '\n': -9.526571, ' ': -8.560086, 'No': -4.5556765, ' no': -11.4564}
{' No': -0.01966593, ' ': -9.786191, 'No': -3.9430401, ' no': -11.193726, ' NO': -12.239281}
{' No': -0.0323725, ' ': -11.152414, 'No': -3.4472187, 'no': -13.345196, ' no': -13.084289}
{' No': -0.06046296, '\n': -10.947056, ' ': -9.086629, 'No': -2.8385203, ' no': -11.813532}
{' No': -0.008281714, ' ': -10.4439335, 'No': -4.802873, ' no': -12.056527, ' NO': -12.8351145}
{' No': -0.07176997, '\n': -10.501739, ' ': -8.690219, 'No': -2.6733115, ' no': -11.616026}
{' No': -0.072722666, '\n': -9.712707, ' ': -8.455336, 'No': -2.663585, ' Yes': -9.524717}
{' No': -0.0019695028, '\n': -10.815867, ' ': -8.578387, 'No': -6.3519297, ' no': -11.380923}
{' No': -0.01611219, '\n': -11.4311695, ' ': -8.522929, 'No': -4.1505423, ' no': -11.542149}
{' No': -0.014470131, '\n': -9.184979, ' ': -8.211106, 'No': -4.2702456, ' no': -12.328833}
{' No': -0.004843179, '\n': -11.723057, ' ': -8.747484, 'No': -5.371367, ' no': -11.439262}
{' No': -0.011635948, '\n': -8.638867, ' ': -7.749888, 'No': -4.515359, ' no': -11.560919}
{' No': -0.015585391, '\n': -8.262918, ' ': -7.44224, 'No': -4.2354875, ' no': -9.014675}
{' No': -0.0011484785, '\n': -10.929646, ' ': -9.60223, 'No': -6.851063, ' NO': -13.115107}
{' No': -0.007253827, '\n': -11.370278, ' ': -9.329569, 'No': -4.9445243, ' NO': -12.905336}
{' No': -0.009090748, '\n': -8.332764, ' ': -8.214954, 'No': -4.7643986, ' NO': -12.543193}
{' No': -0.0018764609, '\n': -11.831059, ' ': -9.262622, 'No': -6.3386087, ' NO': -12.759242}
{' No': -0.01152735, '\n': -8.538268, ' ': -8.001363, 'No': -4.5170755, ' NO': -12.67505}
{' No': -0.0035792473, '\n': -10.342525, ' ': -8.943246, 'No': -5.6826196, ' no': -13.048047}
{' No': -0.005375365, ' ': -11.121886, 'No': -5.240172, ' Yes': -10.037203, ' NO': -13.823746}
{' No': -0.031586826, ' ': -10.256844, 'No': -3.484626, ' Yes': -7.882691, 'Yes': -11.743386}
{' No': -0.042038966, ' ': -9.6550865, 'No': -3.2058878, ' Yes': -7.493972, 'Yes': -11.0743}
{' No': -0.009499065, ' ': -11.344303, 'No': -4.6820526, ' Yes': -8.631954, ' NO': -13.49835}
{' No': -0.029809965, ' ': -9.103948, 'No': -3.653364, ' Yes': -5.718162, 'Yes': -9.98014}
{' No': -0.043684684, ' ': -8.581669, 'No': -4.112675, ' Yes': -3.6503377, 'Yes': -8.575975}
{' No': -0.006444296, '\n': -11.976119, ' ': -9.746129, 'No': -6.903666, ' Yes': -5.231797}
{' No': -0.010300176, ' ': -9.526348, 'No': -4.9878807, ' Yes': -5.7070694, 'Yes': -10.7966385}
{' No': -0.008076375, '\n': -9.956011, ' ': -8.9627495, 'No': -4.9755616, ' Yes': -6.9594727}
{' No': -0.0019533203, '\n': -12.823083, ' ': -10.322527, 'No': -6.343937, ' Yes': -8.769132}
{' No': -0.007874018, '\n': -9.52602, ' ': -8.214998, 'No': -4.993988, ' Yes': -7.2522373}
{' No': -0.026116237, '\n': -8.859502, ' ': -7.7355165, 'No': -4.7374578, ' Yes': -4.116168}
{' No': -0.0191363, ' ': -9.658001, 'No': -4.017738, ' Yes': -7.0583305, ' no': -11.275339}
{' No': -0.035267673, ' ': -10.932418, 'No': -3.8676746, ' Yes': -4.301131, 'Yes': -8.680357}
{' No': -0.076269485, ' ': -8.985502, 'No': -3.3797476, ' Yes': -3.2589705, 'Yes': -7.1462154}
{' No': -0.011491714, ' ': -10.384819, 'No': -4.932073, ' Yes': -5.485433, 'Yes': -10.446436}
{' No': -0.47767612, ' ': -8.4526415, 'No': -3.7766795, ' Yes': -1.0479867, 'Yes': -5.1425548}
{' No': -1.7221776, 'No': -4.519068, ' Yes': -0.22692691, ' yes': -7.448328, 'Yes': -4.3792706}
{' No': -0.0016674724, ' ': -8.98904, 'No': -6.77326, ' Yes': -7.890316, ' no': -11.522461}
{' No': -0.010932283, ' ': -8.696713, 'No': -4.5798006, ' Yes': -7.7681246, ' no': -11.446162}
{' No': -0.008008839, '\n': -10.547042, ' ': -8.618547, 'No': -4.9967704, ' Yes': -6.9120207}
{' No': -0.0030068834, '\n': -12.070773, ' ': -9.1338005, 'No': -5.8843803, ' Yes': -9.241821}
{' No': -0.00695416, '\n': -9.720877, ' ': -8.242208, 'No': -5.0513835, ' Yes': -8.537685}
{' No': -0.0143117625, '\n': -8.265652, ' ': -7.093627, 'No': -4.582419, ' Yes': -5.9012737}
{' No': -0.0010066447, '\n': -10.778922, ' ': -9.432208, 'No': -7.206315, ' Yes': -8.744521}
{' No': -0.0038280652, '\n': -11.559736, ' ': -9.420382, 'No': -5.6449986, ' Yes': -8.570958}
{' No': -0.007299757, '\n': -8.127111, ' ': -8.135447, 'No': -5.1751766, ' Yes': -6.8906074}
{' No': -0.001285496, '\n': -11.639645, ' ': -9.197157, 'No': -6.8515697, ' Yes': -9.093604}
{' No': -0.007578026, '\n': -8.697656, ' ': -7.963096, 'No': -5.051302, ' Yes': -7.3824177}
{' No': -0.007359858, '\n': -9.772042, ' ': -8.09443, 'No': -6.0101533, ' Yes': -5.403489}
{' YES': -12.379831, ' ': -12.23196, ' Yes': -0.0024089194, ' yes': -10.632931, 'Yes': -6.0443606}
{' YES': -11.6936245, ' ': -11.413086, ' Yes': -0.010285422, ' yes': -9.429393, 'Yes': -4.59278}
{' YES': -11.43159, ' ': -11.307578, ' Yes': -0.016546099, ' yes': -9.6280575, 'Yes': -4.115829}
{' YES': -12.27298, ' ': -12.409938, ' Yes': -0.004948718, ' yes': -10.495927, 'Yes': -5.3189707}
{' ': -11.030184, ' Yes': -0.0142646, ' yes': -9.701053, 'Yes': -4.2640224, 'yes': -11.569505}
{' YES': -11.59864, ' ': -10.310188, ' Yes': -0.008543424, ' yes': -9.175587, 'Yes': -4.785263}
{' YES': -12.046945, ' ': -11.274373, ' Yes': -0.0007551294, ' yes': -9.957685, 'Yes': -7.288259}
{'\n': -11.648448, ' ': -10.439246, ' Yes': -0.0047236974, ' yes': -9.55544, 'Yes': -5.3839145}
{'\n': -9.945179, ' ': -9.817825, ' Yes': -0.004629261, ' yes': -9.5044365, 'Yes': -5.4201636}
{' YES': -12.325966, ' ': -11.374592, ' Yes': -0.0010946554, ' yes': -10.282884, 'Yes': -6.8697963}
{'\n': -9.729074, ' ': -8.994893, ' Yes': -0.0056353556, ' yes': -9.582223, 'Yes': -5.2305264}
{'\n': -9.131573, ' ': -8.975898, ' Yes': -0.0067558116, ' yes': -8.1234865, 'Yes': -5.0891776}
{' ': -11.430868, ' Yes': -0.008343081, ' yes': -8.4860935, 'Yes': -4.820162, 'yes': -11.210675}
{' YES': -13.207336, ' Yes': -0.012047476, ' yes': -10.01194, 'Yes': -4.4294057, 'yes': -12.145429}
{' ': -10.803602, ' Yes': -0.02352759, ' yes': -8.629872, 'Yes': -3.77171, 'yes': -10.677925}
{' ': -12.139506, ' Yes': -0.00642828, ' yes': -9.294958, 'Yes': -5.067194, 'yes': -12.057102}
{' ': -10.680067, ' Yes': -0.022973776, ' yes': -8.798168, 'Yes': -3.7944922, 'yes': -10.374989}
{' ': -10.352365, ' Yes': -0.018929629, ' yes': -7.64775, 'Yes': -4.007741, 'yes': -10.081334}
{'\n': -11.36106, ' ': -10.16513, ' Yes': -0.001513865, ' yes': -8.257011, 'Yes': -6.7333617}
{' ': -9.51306, ' Yes': -0.008327454, ' yes': -7.881507, 'Yes': -4.854412, 'yes': -10.6723995}
{'\n': -10.69096, ' ': -9.667881, ' Yes': -0.0063081877, ' yes': -9.049456, 'Yes': -5.104588}
{' ': -10.054023, ' Yes': -0.0029783682, ' yes': -8.4237795, 'Yes': -5.9211125, 'yes': -11.345438}
{'\n': -9.843952, ' ': -9.055223, ' Yes': -0.006866534, ' yes': -9.06135, 'Yes': -5.0305347}
{'\n': -8.228022, ' ': -8.158017, ' Yes': -0.011713862, ' yes': -6.0940027, 'Yes': -4.740208}
{'\n': -10.58515, ' ': -10.381481, ' Yes': -0.00078620727, ' yes': -10.413687, 'Yes': -7.284609}
{'\n': -10.576645, ' ': -9.773298, ' Yes': -0.0039216448, ' yes': -9.8341255, 'Yes': -5.582723}
{'\n': -8.714277, ' ': -9.244854, ' Yes': -0.004665906, ' yes': -9.872465, 'Yes': -5.4424005}
{'\n': -11.086327, ' ': -10.159542, ' Yes': -0.0012478994, ' yes': -10.090893, 'Yes': -6.7762375}
{'\n': -9.522833, ' ': -9.154863, ' Yes': -0.006941376, ' yes': -9.939913, 'Yes': -5.0091667}
{'\n': -9.842694, ' ': -9.685613, ' Yes': -0.00205718, ' yes': -10.000459, 'Yes': -6.2726336}
{' No': -9.1344795, ' ': -11.969905, ' Yes': -0.0024132815, ' yes': -10.031776, 'Yes': -6.0981445}
{' No': -10.405263, ' ': -10.92405, ' Yes': -0.0089908475, ' yes': -9.083643, 'Yes': -4.7359233}
{' No': -9.221226, ' ': -10.443993, ' Yes': -0.01766265, ' yes': -9.329859, 'Yes': -4.058897}
