{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -0.4343434, '\n': -4.5999994, 'No': -3.0548017, ' Yes': -1.4361324, ' yes': -3.8027534}
{' No': -6.2351966, '\n': -7.939794, ' ': -7.8075523, ' Yes': -0.006034827, 'Yes': -5.9578567}
{' No': -0.006864072, '\n': -6.5721884, ' ': -7.271544, 'No': -5.5882134, ' Yes': -6.972829}
{' No': -0.57672447, '\n': -3.5140412, 'No': -3.2902997, ' Yes': -1.0811324, 'Yes': -4.783006}
{' No': -0.06803665, '\n': -3.4971747, ' ': -5.5296645, 'No': -3.4828162, ' Yes': -7.838926}
{' No': -0.12813291, '\n': -4.380351, 'No': -2.9317026, ' A': -4.395108, ' Yes': -3.3955412}
{' No': -0.049154285, '\n': -4.325317, ' ': -5.659366, 'No': -3.5047662, ' Sn': -7.0415998}
{' No': -0.49025843, '\n': -4.9938517, ' ': -4.9482245, 'No': -4.403287, ' Yes': -1.039363}
{' No': -0.01791384, '\n': -5.9785175, ' ': -6.4282513, 'No': -4.3072605, ' Sn': -9.922149}
{' No': -0.08015616, '\n': -5.538774, ' ': -5.663751, 'No': -2.6932373, ' A': -7.0087504}
{' No': -0.03160817, '\n': -6.597114, ' ': -6.3839836, 'No': -3.5785897, ' Sn': -9.779961}
{' No': -4.2969904, ' ': -5.5967364, ' A': -5.5646887, ' Yes': -0.039975315, 'Yes': -4.855815}
{' No': -0.12833782, '\n': -5.174694, ' ': -5.085014, 'No': -3.8965738, ' Yes': -2.4738789}
{' No': -9.234405, ' Generally': -9.299509, ' Yes': -0.0039152433, ' yes': -9.307591, 'Yes': -5.6555142}
{' No': -3.668813, ' Generally': -7.237274, ' Yes': -0.03793681, 'Yes': -4.937978, ' Sn': -5.911369}
{' No': -6.230025, ' Generally': -6.294413, ' A': -7.660977, ' Yes': -0.018545616, 'Yes': -4.307196}
{' No': -5.6714625, ' Generally': -7.075475, ' Yes': -0.019249253, 'Yes': -4.327364, ' Sn': -7.282253}
{' No': -4.7462716, '\n': -6.7118325, ' ': -6.797084, ' Yes': -0.03160565, 'Yes': -4.015692}
{' No': -2.2335615, 'No': -5.515147, ' Yes': -0.14481266, 'Yes': -4.2168436, ' Sn': -5.8581815}
{' No': -7.4266853, ' Generally': -8.05019, ' A': -7.110155, ' Yes': -0.009644393, 'Yes': -4.8765764}
{' No': -4.457279, ' Generally': -8.051302, ' Yes': -0.028692419, 'Yes': -4.62307, ' Sn': -5.1704693}
{' No': -0.18667649, '\n': -4.803967, ' Generally': -5.1050763, 'No': -2.256329, ' Yes': -3.2633653}
{' No': -1.9266787, 'No': -3.9400258, ' Yes': -0.25127685, 'Yes': -3.3277214, ' Sn': -5.1740484}
{' No': -7.701253, ' Generally': -6.4788833, ' Yes': -0.027110562, ' yes': -7.924669, 'Yes': -3.7547944}
{' No': -4.9702215, ' Generally': -6.3109016, ' Yes': -0.03692516, 'Yes': -3.7673879, ' Sn': -6.693846}
{'\n': -8.538007, ' ': -8.297518, ' Yes': -0.0036221389, ' yes': -7.5124297, 'Yes': -6.035978}
{' No': -4.2786384, '\n': -7.6248827, ' Yes': -0.017279856, ' yes': -8.111634, 'Yes': -6.17899}
{' No': -3.5648518, '\n': -5.3067813, ' A': -5.544775, ' Yes': -0.059335735, 'Yes': -4.1997657}
{' No': -4.243754, '\n': -6.3416023, ' Yes': -0.03821222, 'Yes': -4.145384, ' Sn': -5.756462}
{' No': -3.527417, '\n': -2.4373655, ' ': -4.321709, ' Yes': -0.17153631, 'Yes': -3.9057245}
{' No': -1.0662367, '\n': -1.8296186, 'No': -4.2495403, ' Yes': -0.82539004, 'Yes': -4.2397137}
{' No': -6.9424343, ' ': -8.138924, ' A': -7.9721146, ' Yes': -0.003681423, 'Yes': -6.3264294}
{' No': -2.5386178, ' ': -7.7026043, ' Yes': -0.08704534, 'Yes': -6.0983157, ' Sn': -7.093836}
{' No': -0.32080418, '\n': -3.5828967, 'No': -2.1752164, ' A': -4.0645423, ' Yes': -2.3467612}
{' No': -0.60154, 'No': -2.7400954, ' Yes': -1.2582859, 'Yes': -3.5517447, ' Sn': -3.4020238}
{' ': -7.0448084, ' A': -7.1286097, ' Yes': -0.016165674, ' yes': -5.703591, 'Yes': -4.6261206}
{' No': -7.177696, ' ': -6.8307776, ' Yes': -0.019660583, ' yes': -5.5863566, 'Yes': -4.409681}
{' No': -4.9831862, ' A': -6.043996, ' Yes': -0.036708593, ' yes': -6.8466806, 'Yes': -3.743917}
{' No': -2.1898477, 'No': -4.064895, ' Yes': -0.20272623, 'Yes': -3.1863322, ' Sn': -5.2206416}
{' No': -1.3626013, ' ': -7.1940103, 'No': -3.6637144, ' Yes': -0.37716764, 'Yes': -3.4746046}
{' No': -0.2723421, 'No': -2.0538304, ' Yes': -2.3289711, 'Yes': -4.778224, ' Sn': -5.7209063}
{' No': -0.60755914, ' ': -7.32723, 'No': -3.2374096, ' Yes': -0.9086837, 'Yes': -4.4494686}
{' No': -0.86304706, 'No': -2.6758428, ' Yes': -0.7621351, 'Yes': -3.2712579, ' Sn': -5.945608}
{' No': -3.4320955, 'No': -7.4043813, ' Yes': -0.04356682, ' yes': -7.438402, 'Yes': -4.77575}
{' No': -0.4450748, ' ': -8.338483, 'No': -3.7408547, ' Yes': -1.1174171, 'Yes': -4.8743787}
{' No': -0.2348329, '\n': -7.0771427, ' ': -7.516764, 'No': -1.5806028, ' Yes': -7.5148554}
{' No': -0.5168114, 'No': -1.033846, ' Yes': -4.2653446, 'Yes': -5.705831, ' Sn': -3.761404}
{' No': -0.9599302, 'No': -2.6066568, ' A': -5.1768074, ' Yes': -0.6997183, 'Yes': -3.415626}
{' No': -0.18566884, 'No': -2.4059427, ' Yes': -3.1245553, 'Yes': -5.7754536, ' Sn': -3.5046327}
{'\n': -8.456095, ' ': -7.2127504, ' Yes': -0.039485626, ' yes': -3.3502288, 'Yes': -6.007203}
{' No': -8.490572, ' ': -8.153265, ' Yes': -0.016075723, ' yes': -4.319418, 'Yes': -6.3138103}
{' No': -4.411623, '\n': -6.4297748, ' Yes': -0.041916072, ' yes': -5.358967, 'Yes': -3.9084399}
{' No': -4.1453424, '\n': -7.076603, ' Yes': -0.042433415, ' yes': -5.3027806, 'Yes': -3.9924836}
{' No': -4.0383353, '\n': -2.8935637, ' ': -4.8384223, ' Yes': -0.1379792, 'Yes': -3.236692}
{' No': -3.2959857, '\n': -2.8243191, ' Yes': -0.16278577, ' yes': -5.10217, 'Yes': -3.2854128}
{' No': -7.393371, ' A': -7.715015, ' Yes': -0.007419486, ' yes': -6.649019, 'Yes': -5.4058414}
{' No': -3.1678636, ' Yes': -0.05310423, ' yes': -6.5451097, 'Yes': -5.0733047, ' Sn': -7.3799086}
{' No': -0.2020841, '\n': -3.8584483, ' ': -5.555552, 'No': -1.9248507, ' Yes': -4.701709}
{' No': -1.6514106, '\n': -3.3659472, 'No': -3.4018779, ' Yes': -0.4414057, 'Yes': -2.6191096}
{'\n': -7.480759, ' Yes': -0.13470179, ' yes': -2.1579332, 'Yes': -4.762826, 'yes': -7.15881}
{'\n': -7.1381216, ' Yes': -0.12853436, ' yes': -2.2783241, 'Yes': -4.172081, 'yes': -6.695537}
{'\n': -6.8766136, ' ': -7.4704604, ' Yes': -0.0054097, ' yes': -7.1021004, 'Yes': -5.9200687}
{' No': -3.2315016, '\n': -4.7849383, ' ': -6.4595933, ' Yes': -0.055270623, 'Yes': -5.704732}
{'\n': -3.2787082, ' ': -5.2740407, ' A': -6.506699, ' Yes': -0.06481229, 'Yes': -4.1377473}
{' No': -1.0009936, '\n': -1.6474149, 'No': -3.9864192, ' Yes': -0.9905527, ' Sn': -3.6596274}
{'\n': -3.1397982, ' ': -4.6345906, ' A': -5.0234175, ' Yes': -0.08894269, 'Yes': -3.959836}
{' No': -0.43752012, '\n': -2.5593998, 'No': -4.0818815, ' Yes': -1.5545379, ' Sn': -3.5452948}
{'\n': -4.9355745, ' ': -5.53399, ' A': -5.8728547, ' Yes': -0.019940732, 'Yes': -5.637065}
{' No': -1.5897115, '\n': -2.98907, ' ': -4.6322203, ' Yes': -0.31876117, 'Yes': -5.4155035}
{' No': -0.78882563, '\n': -4.237613, 'No': -3.7922225, ' Yes': -0.7368484, 'Yes': -4.2344985}
{' No': -0.13038492, '\n': -5.1902485, 'No': -3.818453, ' Yes': -2.4880242, ' Sn': -5.096298}
{'\n': -5.273818, ' ': -5.7731347, ' Yes': -0.027093172, ' yes': -5.2943106, 'Yes': -4.4418936}
{' No': -5.012828, '\n': -6.5125704, ' Yes': -0.027970657, ' yes': -5.2745523, 'Yes': -4.4071608}
{' No': -0.03820795, ' Generally': -5.3319473, 'No': -3.4728222, ' A': -8.032299, ' It': -7.639189}
{' No': -0.033463098, '\n': -9.443644, ' ': -9.225377, ' Generally': -8.5148945, 'No': -3.4293046}
{' No': -0.06511575, ' ': -8.097491, ' Generally': -7.2137895, 'No': -2.7883725, ' A': -8.683367}
{' No': -0.08454452, '\n': -10.328114, ' ': -8.588714, 'No': -2.5159676, ' Sn': -10.410185}
{' No': -0.09419533, '\n': -7.1853127, ' ': -7.1818304, ' Generally': -8.083381, 'No': -2.4377315}
{' No': -0.12150621, '\n': -7.2641373, ' ': -7.0720253, 'No': -2.1864798, ' Sn': -7.933029}
{' No': -0.045622732, ' Generally': -6.0162644, 'No': -3.1879563, ' A': -8.024403, ' It': -8.887996}
{' No': -0.03708276, ' ': -9.383347, ' Generally': -9.671427, 'No': -3.3226318, ' Sn': -8.72086}
{' No': -0.15402712, '\n': -6.2092543, ' ': -6.524527, ' Generally': -7.107189, 'No': -1.988225}
{' No': -0.11720205, '\n': -6.342576, ' ': -6.25883, 'No': -2.2585614, ' Sn': -6.3531346}
{' No': -0.08472051, ' ': -7.6493793, ' Generally': -5.7235675, 'No': -2.5882146, ' A': -6.858753}
{' No': -0.10197057, ' ': -7.468455, ' Generally': -9.220298, 'No': -2.3507783, ' Sn': -7.298501}
{' No': -0.008519802, '\n': -8.052686, ' ': -7.583478, 'No': -4.887283, ' A': -9.627146}
{' No': -0.004669501, '\n': -8.213706, ' ': -7.741316, 'No': -5.5377374, ' no': -11.612021}
{' No': -0.073252, '\n': -6.601953, ' ': -6.772716, 'No': -2.694586, ' A': -8.057951}
{' No': -0.044454902, '\n': -7.2460084, ' ': -6.9453015, 'No': -3.176947, ' Sn': -9.989441}
{' No': -0.13091126, '\n': -4.0312843, ' ': -5.5942645, 'No': -2.301737, ' A': -7.118517}
{' No': -0.15407155, '\n': -2.7803912, ' ': -4.9468665, 'No': -2.6159015, ' Sn': -8.355588}
{' No': -0.0135336565, '\n': -10.497026, ' ': -7.921071, 'No': -4.3443213, ' A': -10.022974}
{' No': -0.0062747793, '\n': -10.856957, ' ': -8.762254, 'No': -5.1054797, ' no': -11.948744}
{' No': -0.255852, '\n': -5.284645, ' ': -5.397167, 'No': -1.540951, ' A': -6.6566286}
{' No': -0.1848841, '\n': -5.0996733, ' ': -5.5293603, 'No': -1.8439416, ' Sn': -8.488312}
{' No': -0.04771486, ' ': -6.4932327, ' Generally': -7.903157, 'No': -3.2230442, ' A': -5.647314}
{' No': -0.04076411, '\n': -7.441196, ' ': -6.2444086, 'No': -3.3055766, ' no': -7.8163223}
{' No': -0.14353307, ' ': -7.2428102, 'No': -2.0416787, ' A': -6.734289, ' no': -6.934078}
{' No': -0.12933715, ' ': -6.889838, 'No': -2.1356752, ' Sn': -7.620291, ' no': -7.0906024}
{' No': -0.13714218, ' ': -7.7337356, 'No': -2.0602913, 'no': -9.901436, ' no': -8.837085}
{' No': -0.17081456, '\n': -11.203543, ' ': -8.811043, 'No': -1.853363, ' Sn': -9.323467}
{' No': -0.23871192, '\n': -9.033145, ' ': -7.545526, 'No': -1.5542675, ' A': -9.081205}
{' No': -0.15655668, '\n': -9.035754, ' ': -7.701366, 'No': -1.9398416, ' Sn': -7.7321887}
{' No': -0.033124365, ' ': -8.591361, 'No': -3.435405, ' A': -9.967903, ' no': -9.881042}
{' No': -0.03254847, ' ': -8.692903, 'No': -3.4529276, ' Sn': -9.029017, ' no': -10.265566}
{' No': -0.82678795, '\n': -7.099958, ' ': -7.1594973, 'No': -0.5840207, ' Sn': -6.1978374}
{' No': -0.5843464, '\n': -7.2564316, ' ': -7.230753, 'No': -0.8267247, ' Sn': -5.8464766}
{' No': -0.11656901, ' ': -7.749605, 'No': -2.2337832, ' A': -7.7583323, ' Sn': -6.932078}
{' No': -0.16712886, '\n': -8.825365, ' ': -7.722264, 'No': -1.8921748, ' Sn': -6.157502}
{' No': -0.024125423, '\n': -7.726453, ' ': -5.678193, 'No': -4.29708, ' no': -5.11547}
{' No': -0.0144457, '\n': -7.688739, ' ': -6.117172, 'No': -4.6679244, ' no': -6.1277995}
{' No': -0.11931216, '\n': -6.2873797, ' ': -6.1919894, 'No': -2.2305067, ' no': -7.380585}
{' No': -0.079680845, '\n': -5.9736934, ' ': -6.0586786, 'No': -2.6397586, ' no': -8.335384}
{' No': -0.25040868, '\n': -3.8405232, ' ': -5.6393323, 'No': -1.6332135, ' A': -7.614819}
{' No': -0.21347326, '\n': -3.1238775, ' ': -5.0423346, 'No': -1.9597251, ' no': -7.7097178}
{' No': -0.035133388, '\n': -8.331362, ' ': -6.950741, 'No': -3.4133563, ' no': -8.204963}
{' No': -0.023390297, '\n': -8.694912, ' ': -7.390347, 'No': -3.8095992, ' no': -8.857761}
{' No': -0.38088676, '\n': -3.889853, ' ': -5.427263, 'No': -1.2405307, ' no': -6.519448}
{' No': -0.37942708, '\n': -3.9155188, ' ': -5.1428537, 'No': -1.2467635, ' no': -6.610728}
{' No': -0.08474276, '\n': -6.035129, ' ': -5.794679, 'No': -2.7784624, ' no': -4.6396894}
{' No': -0.10140171, '\n': -5.165729, ' ': -5.695057, 'No': -2.5714142, ' no': -4.640207}
{' No': -0.007231131, '\n': -7.231314, ' ': -7.33458, 'No': -5.1763215, ' A': -9.18921}
{' No': -0.0076105776, '\n': -6.391964, ' ': -7.347336, 'No': -5.2552457, ' no': -10.832925}
{' No': -0.07436578, '\n': -4.221472, ' ': -5.684913, 'No': -2.9338493, ' A': -8.601352}
{' No': -0.066463076, '\n': -3.410869, ' ': -5.5138316, 'No': -3.6066928, ' Sn': -10.088518}
{' No': -0.06433304, '\n': -4.872467, ' ': -5.8347373, 'No': -2.9817119, ' A': -7.206762}
{' No': -0.05689178, '\n': -4.035234, ' ': -5.4776373, 'No': -3.4093752, ' Sn': -8.322625}
{' No': -0.018759621, '\n': -6.9481893, ' ': -6.4335546, 'No': -4.1470513, ' A': -8.981011}
{' No': -0.012284046, '\n': -6.916772, ' ': -6.8222394, 'No': -4.596265, ' no': -11.309111}
{' No': -0.047811016, '\n': -5.9861975, ' ': -5.969182, 'No': -3.1928437, ' A': -7.8120327}
{' No': -0.027947117, '\n': -6.647455, ' ': -6.3107605, 'No': -3.7170377, ' Sn': -9.819952}
{' No': -0.035100915, '\n': -5.93016, ' ': -5.889613, 'No': -3.6406708, ' A': -6.324184}
{' No': -0.032426305, '\n': -6.000018, ' ': -5.9723577, 'No': -3.6342213, ' Sn': -8.656022}
{' No': -0.014436871, ' ': -9.669909, ' Generally': -9.311527, 'No': -4.2758884, ' A': -8.701514}
{' No': -0.019547401, '\n': -8.784937, ' ': -9.555826, 'No': -3.9626203, ' Sn': -9.669601}
{' No': -0.0406089, ' ': -8.734214, ' Generally': -8.118724, 'No': -3.2418702, ' A': -9.222655}
{' No': -0.04115737, '\n': -9.191176, ' ': -8.142645, 'No': -3.2302976, ' Sn': -8.821666}
{' No': -0.045489047, '\n': -6.543276, ' ': -7.0942554, 'No': -3.1754272, ' A': -8.717114}
{' No': -0.039730206, '\n': -7.1199584, ' ': -7.043054, 'No': -3.3066807, ' Sn': -7.907209}
{' No': -0.02331751, ' ': -10.154846, ' Generally': -9.780716, 'No': -3.7863312, ' A': -8.350374}
{' No': -0.027684756, '\n': -10.608641, ' ': -9.611789, 'No': -3.6069083, ' Sn': -9.919177}
{' No': -0.11094202, '\n': -5.947945, ' ': -6.545899, ' Generally': -8.062029, 'No': -2.3037214}
{' No': -0.08919686, '\n': -6.492303, ' ': -6.631898, 'No': -2.510185, ' Sn': -7.684204}
{' No': -0.11001249, ' ': -7.623529, ' Generally': -6.712143, 'No': -2.290547, ' A': -7.4444647}
{' No': -0.0763196, '\n': -7.8491535, ' ': -6.9376926, ' Generally': -8.334441, 'No': -2.6396265}
{' No': -0.004537404, '\n': -7.80784, ' ': -7.781015, 'No': -5.661382, ' A': -8.712457}
{' No': -0.0041982043, '\n': -7.1722407, ' ': -8.419977, 'No': -5.765604, ' Sn': -10.466029}
{' No': -0.053649776, '\n': -5.6711345, ' ': -6.459947, 'No': -3.066263, ' A': -7.632833}
{' No': -0.028831787, '\n': -6.0089, ' ': -7.006663, 'No': -3.6976075, ' Sn': -8.720937}
{' No': -0.08386608, '\n': -3.1959953, ' ': -5.4082127, 'No': -3.3738782, ' A': -7.52173}
{' No': -0.1308514, '\n': -2.4702506, ' ': -5.178119, 'No': -3.4506507, ' Sn': -8.406145}
{' No': -0.004028289, '\n': -10.076258, ' ': -8.134049, 'No': -5.679849, ' A': -8.292309}
{' No': -0.005024436, '\n': -9.517256, ' ': -8.804104, 'No': -5.355669, ' Sn': -10.012985}
{' No': -0.13423876, '\n': -4.772407, ' ': -5.6770964, 'No': -2.1830764, ' A': -7.240749}
{' No': -0.09671163, '\n': -4.6974673, ' ': -5.7354617, 'No': -2.5427985, ' Sn': -7.3460183}
{' No': -0.029367313, '\n': -7.4966455, ' ': -6.6923347, 'No': -3.6570392, ' A': -6.8710327}
{' No': -0.024984531, '\n': -7.0048246, ' ': -6.4340706, 'No': -3.835886, ' Sn': -8.22353}
{' No': -0.070410065, '\n': -8.477995, ' ': -7.934265, 'No': -2.7141383, ' A': -7.113329}
{' No': -0.12078071, '\n': -7.13915, ' ': -7.5065045, 'No': -2.192268, ' no': -8.699853}
{' No': -0.101577125, '\n': -10.730786, ' ': -8.548642, 'No': -2.3401885, ' no': -10.302897}
{' No': -0.106644705, '\n': -11.0383415, ' ': -9.089747, 'No': -2.2949228, ' Sn': -8.621467}
{' No': -0.06589247, '\n': -8.197637, ' ': -8.22633, 'No': -2.7625074, ' no': -10.297592}
{' No': -0.14449994, '\n': -8.699141, ' ': -8.01497, 'No': -2.0132992, ' Sn': -8.041558}
{' No': -0.021933595, ' ': -8.444409, 'No': -3.8450155, ' A': -11.15995, ' no': -10.216122}
{' No': -0.036149155, '\n': -11.304809, ' ': -9.0321245, 'No': -3.3436844, ' no': -10.822034}
{' No': -0.26852742, '\n': -7.3568773, ' ': -7.6754413, 'No': -1.4519686, ' Sn': -9.37045}
{' No': -0.385071, '\n': -7.0043044, ' ': -7.3547764, 'No': -1.1566489, ' Sn': -5.924577}
{' No': -0.14474748, '\n': -5.8667455, ' ': -7.5178056, 'No': -2.0399404, ' A': -7.128035}
{' No': -0.07878048, '\n': -8.989192, ' ': -8.801882, 'No': -2.6019354, ' Sn': -6.7155166}
{' No': -0.007851911, '\n': -8.309857, ' ': -6.132039, 'No': -5.75846, ' no': -6.1671553}
{' No': -0.0040567736, '\n': -8.255251, ' ': -7.616756, 'No': -6.0456495, ' no': -7.1427}
{' No': -0.054376107, '\n': -7.072388, ' ': -7.157809, 'No': -2.9794724, ' no': -8.140304}
{' No': -0.04220272, '\n': -7.025292, ' ': -7.558507, 'No': -3.227824, ' no': -8.463974}
{' No': -0.088681996, '\n': -3.6771448, ' ': -5.8386474, 'No': -2.88471, ' no': -7.9945707}
{' No': -0.091691226, '\n': -3.3560402, ' ': -5.8509917, 'No': -3.01896, ' no': -7.76906}
{' No': -0.0101294005, '\n': -8.084083, ' ': -7.4963307, 'No': -4.7166553, ' no': -8.751546}
{' No': -0.013016863, '\n': -8.013058, ' ': -8.091414, 'No': -4.40833, ' no': -9.359977}
{' No': -0.24858238, '\n': -3.8153622, ' ': -5.641672, 'No': -1.6480478, ' no': -6.712723}
{' No': -0.16218714, '\n': -3.9736247, ' ': -5.832045, 'No': -2.074182, ' no': -6.488371}
{' No': -0.034903757, '\n': -6.6893544, ' ': -6.467015, 'No': -3.875495, ' no': -4.6087103}
{' No': -0.035291936, '\n': -6.304511, ' ': -6.839536, 'No': -3.698248, ' no': -5.0186214}
{' No': -0.008521542, '\n': -6.021167, ' ': -6.7558336, 'No': -5.470449, ' A': -7.4611063}
{' No': -0.012636686, '\n': -4.99075, ' ': -6.750239, 'No': -5.407822, ' Sn': -10.052648}
{' No': -0.105817065, '\n': -2.902175, ' ': -5.242898, 'No': -3.232726, ' A': -7.499771}
{' No': -0.11537469, '\n': -2.6237307, ' ': -5.5344477, 'No': -3.436917, ' Sn': -8.766092}
{' No': -0.06923058, '\n': -3.5207114, ' ': -5.241397, 'No': -3.4887252, ' A': -6.715767}
{' No': -0.053649653, '\n': -3.6129184, ' ': -5.4815574, 'No': -3.9021294, ' Sn': -7.411544}
{' No': -0.012883841, '\n': -6.009662, ' ': -5.9526267, 'No': -5.011049, ' A': -6.9180083}
{' No': -0.021293588, '\n': -4.7865787, ' ': -5.8982334, 'No': -4.6204753, ' Sn': -9.764714}
{' No': -0.03592009, '\n': -5.7395487, ' ': -6.7204213, 'No': -3.4970863, ' A': -7.748354}
{' No': -0.020811843, '\n': -5.723622, ' ': -6.25012, 'No': -4.2010007, ' Sn': -8.275314}
{' No': -0.033436477, '\n': -5.1916394, ' ': -5.391619, 'No': -3.883362, ' A': -6.394724}
{' No': -0.030909272, '\n': -5.9953732, ' ': -6.136875, 'No': -3.68652, ' Sn': -8.367678}
{' Generally': -5.9535427, ' A': -8.829599, ' Yes': -0.008646469, ' yes': -8.80335, 'Yes': -5.221943}
{' No': -7.3354683, ' Ravens': -6.9352045, ' Generally': -5.858528, ' Yes': -0.012052662, 'Yes': -5.0485992}
{' No': -4.557007, ' Generally': -5.4846244, 'No': -6.9689236, ' Yes': -0.03560825, 'Yes': -4.095325}
{' No': -4.9604053, ' Ravens': -5.8139515, 'No': -7.2242217, ' Yes': -0.03057103, 'Yes': -4.026146}
{' No': -3.3500664, '\n': -6.777585, 'No': -5.9052997, ' Yes': -0.06422181, 'Yes': -3.9574387}
