{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' Yes': -0.0029524812, ' No': -6.317383, 'Yes': -6.8333774, ' yes': -10.311435, ' The': -11.307431}
{' Yes': -0.0044037714, 'Yes': -6.0804453, ' No': -6.374804, ' The': -8.082631, ' yes': -9.893725}
{' Yes': -0.0026306708, 'Yes': -6.2997494, ' No': -7.4186153, ' The': -8.841028, ' yes': -10.382788}
{' No': -0.0029049583, 'No': -5.8950286, '\n': -9.858002, ' ': -10.352938, ' Not': -10.903981}
{' No': -0.015562685, 'No': -4.217198, ' Unfortunately': -7.5698757, ' Not': -9.555532, ' Yes': -10.265165}
{' Unt': -0.35635027, ' Un': -1.6827129, 'Unt': -2.593197, ' False': -4.119171, ' ': -4.1450405}
{' No': -0.0013126532, 'No': -7.1409206, ' Yes': -7.615129, ' ': -11.437699, ' False': -12.152827}
{' Yes': -0.0016180993, 'Yes': -6.488863, ' No': -10.026186, ' yes': -10.570154, ' The': -10.857712}
{' Yes': -0.0011980102, 'Yes': -6.903719, ' The': -9.396553, ' No': -9.72748, ' yes': -10.501629}
{' Yes': -0.23779324, ' No': -1.5917475, ' Spice': -5.446518, 'Yes': -6.041876, 'No': -7.6126}
{' Yes': -0.0038391347, ' No': -6.1748285, 'Yes': -6.3960943, ' ': -10.733897, ' yes': -11.188847}
{' Yes': -0.0009984109, 'Yes': -6.9412923, ' yes': -10.992407, ' ': -11.693482, ' YES': -12.702532}
{' Yes': -0.002924805, 'Yes': -5.871233, ' yes': -10.110549, ' ': -10.6994705, '\n': -11.038549}
{' Yes': -0.0031352502, ' No': -6.1618505, 'Yes': -6.995681, ' yes': -10.411981, ' The': -10.496855}
{' Yes': -0.04329516, ' No': -3.1896667, 'Yes': -7.020893, 'No': -9.605776, ' ': -9.754606}
{' Yes': -0.0059431433, 'Yes': -5.7596197, ' No': -6.2499456, '\n': -8.032901, ' The': -8.579203}
{' Yes': -0.0048668995, 'Yes': -5.8288064, ' No': -6.402005, ' The': -9.162728, ' yes': -10.110339}
{' Yes': -0.0010515723, 'Yes': -7.076229, ' No': -8.764748, ' The': -10.744373, ' yes': -11.049473}
{' Yes': -0.00078525353, 'Yes': -7.224341, ' yes': -10.711114, ' The': -11.063428, ' No': -11.232868}
{' Yes': -0.028536078, ' Early': -4.5278454, 'Yes': -4.592354, ' No': -5.21418, ' Earl': -7.9369826}
{' Yes': -0.0017250894, 'Yes': -6.3960996, ' yes': -10.522631, ' The': -10.742975, ' YES': -13.44391}
{' Yes': -0.0025271086, 'Yes': -6.158263, ' No': -7.883953, ' yes': -11.539268, '\n': -11.687552}
{' Yes': -0.0014714812, 'Yes': -6.605565, ' No': -9.238318, ' yes': -11.540275, '\n': -12.333505}
{' Yes': -0.0031761501, ' No': -6.4835434, 'Yes': -6.8167567, ' The': -7.9148903, ' Ocean': -8.935583}
{' No': -0.029724, ' Yes': -3.766998, 'No': -5.2047153, ' Ocean': -8.073367, ' Not': -9.206767}
{' No': -0.010420387, 'No': -4.9857907, ' Yes': -5.69512, ' The': -9.8245735, ' Not': -9.953543}
{' Yes': -0.005840379, ' No': -5.7185326, 'Yes': -6.2322636, ' The': -7.6902328, ' yes': -10.242405}
{' Yes': -0.0070679053, 'Yes': -5.1351614, ' No': -6.9001665, ' Gross': -9.93591, '\n': -9.950189}
{' Yes': -0.0014705256, 'Yes': -6.5859275, ' The': -10.202127, ' No': -10.697896, ' yes': -11.06113}
{' Yes': -0.0014590676, 'Yes': -6.6488357, ' The': -9.396278, ' No': -9.906336, ' yes': -11.042519}
{' Yes': -0.0012604914, 'Yes': -6.6928225, ' yes': -11.549392, ' No': -12.987976, ' The': -13.239286}
{' Yes': -0.0015975006, 'Yes': -7.091456, ' No': -7.5161715, ' The': -9.027621, ' Guard': -10.03485}
{' Yes': -0.0038716854, ' No': -5.899665, 'Yes': -6.942724, ' The': -9.556547, ' yes': -10.178215}
{' Yes': -0.0022136185, 'Yes': -6.1710234, ' Sweet': -9.744664, ' No': -10.90768, ' yes': -11.13512}
{' Yes': -0.0027870217, 'Yes': -5.897558, ' yes': -10.715616, '\n': -12.399154, ' No': -12.576363}
{' Yes': -0.001122998, 'Yes': -6.822937, ' yes': -11.295119, ' No': -11.613805, ' Grass': -11.976917}
{' Yes': -0.054446973, ' No': -2.9968467, 'Yes': -5.920316, 'No': -8.22055, ' The': -10.286539}
{' Yes': -0.002112249, 'Yes': -6.2231927, ' No': -9.415091, ' yes': -10.44635, ' The': -11.7638855}
{' Yes': -0.13478042, ' No': -2.0906692, 'Yes': -6.356721, 'No': -7.8273363, ' The': -8.488896}
{' Yes': -0.53284717, ' No': -0.89443654, 'No': -6.3765435, 'Yes': -6.57631, ' Not': -7.706515}
{' Yes': -0.19023542, ' No': -1.7642767, 'Yes': -6.567871, 'No': -7.786415, ' The': -10.54546}
{' Yes': -0.0035732053, 'Yes': -5.7748647, ' No': -8.029305, ' The': -9.605332, ' yes': -10.562653}
{' Yes': -0.0019199955, 'Yes': -6.289725, ' No': -10.601167, ' yes': -10.9450445, ' The': -11.762658}
{' Yes': -0.0047851433, ' No': -5.7739224, 'Yes': -6.4734373, ' The': -9.595824, ' yes': -10.336131}
{' Yes': -0.010407737, ' No': -4.7312746, 'Yes': -6.739423, ' The': -8.202365, ' yes': -9.9796}
{' Yes': -0.06469636, ' No': -2.796195, 'Yes': -6.5889997, 'No': -9.084323, ' The': -9.395623}
{' Yes': -0.0016459792, 'Yes': -6.434421, ' yes': -10.984079, ' The': -11.511727, ' No': -11.923147}
{' Yes': -0.001173242, 'Yes': -6.856117, ' The': -9.588284, ' No': -10.683505, ' yes': -10.740672}
{' Yes': -0.0018497066, 'Yes': -6.3187423, ' yes': -10.801586, ' The': -11.550176, '\n': -12.005093}
{' No': -0.65738004, ' Yes': -0.7353029, 'No': -6.6801457, 'Yes': -6.9085736, ' The': -9.429679}
{' Yes': -0.0010376136, 'Yes': -7.140502, ' The': -8.815751, ' No': -9.520895, ' yes': -11.254124}
{' Yes': -0.0011870298, 'Yes': -6.7612953, ' yes': -11.189266, ' The': -11.7039175, ' ': -12.971858}
{' Yes': -0.0012040964, 'Yes': -6.9361057, ' The': -8.529894, ' yes': -11.036547, ' No': -11.545372}
{' Yes': -0.1503557, ' Rough': -1.978698, 'Yes': -6.871255, ' ': -9.255565, ' No': -9.666818}
{' Yes': -0.044213217, ' Rough': -3.8906887, ' No': -4.45119, 'Yes': -4.7174883, '\n': -6.5460873}
{' Yes': -0.0048389267, 'Yes': -5.3457527, ' yes': -10.211603, '\n': -11.875137, ' YES': -12.073037}
{' Yes': -0.0023448106, 'Yes': -6.1800866, ' No': -8.288943, ' yes': -11.211545, '\n': -13.154637}
{' Yes': -0.001011536, 'Yes': -6.9248357, ' yes': -10.710304, ' YES': -13.154118, ' The': -13.559173}
{' Yes': -0.0044589695, 'Yes': -6.0554667, ' No': -6.2062373, ' yes': -10.2073145, ' The': -10.403768}
{' Yes': -0.004236631, 'Yes': -6.130343, ' No': -6.642281, ' The': -7.2964387, ' yes': -10.31645}
{' Yes': -0.0068307663, 'Yes': -5.680197, ' No': -5.788033, ' The': -8.26741, ' yes': -10.232483}
{' Yes': -0.0024826496, 'Yes': -6.019543, ' yes': -10.937236, ' The': -11.267209, ' ': -12.210814}
{' Yes': -0.0010123714, 'Yes': -6.9395003, ' The': -10.726253, ' yes': -11.359988, '\n': -12.670812}
{' Yes': -0.001161306, 'Yes': -6.8327227, ' The': -10.214328, ' yes': -10.511752, ' Break': -12.347779}
{' Yes': -0.0013988401, 'Yes': -6.6008043, ' yes': -11.060086, ' No': -11.338389, ' The': -11.983518}
{' Yes': -0.044337075, ' No': -3.1687436, 'Yes': -6.8113065, 'No': -9.509464, ' The': -9.731233}
{' Yes': -0.0016594122, 'Yes': -6.62026, ' No': -8.481787, ' The': -9.723751, ' Parts': -10.360172}
{' Yes': -0.0020543144, 'Yes': -6.2592387, ' The': -9.271202, ' yes': -10.703195, ' No': -10.990556}
{' Yes': -0.042721573, ' No': -3.2934272, 'Yes': -5.4687314, ' The': -8.609555, 'No': -8.642748}
{' Yes': -0.0069646644, 'Yes': -5.1689, ' Sy': -7.4780855, ' No': -7.5537834, ' ': -9.268417}
{' Yes': -0.0043514473, ' No': -5.9797654, 'Yes': -6.3545556, ' yes': -10.275579, ' The': -11.405726}
{' Yes': -0.00082850276, 'Yes': -7.130564, ' yes': -10.885055, ' The': -12.702594, ' YES': -12.842184}
{' Yes': -0.00064848276, 'Yes': -7.393648, ' yes': -10.56271, ' YES': -13.070365, ' ': -13.138911}
{' Yes': -0.0016503363, 'Yes': -6.4738145, ' No': -9.613968, ' yes': -10.679901, ' The': -11.307663}
{' Yes': -0.001652607, 'Yes': -6.4790716, ' No': -9.93007, ' yes': -10.390388, ' The': -10.51683}
{' Yes': -0.0020252839, 'Yes': -6.2283583, ' No': -10.222602, ' yes': -11.680102, ' The': -12.9277}
{' Yes': -0.002077544, 'Yes': -6.3060875, ' No': -8.453032, ' The': -10.983046, ' yes': -11.257494}
{' Yes': -0.0014846739, 'Yes': -6.5730267, ' No': -9.888038, ' yes': -11.050134, ' The': -11.354417}
{' Yes': -0.0031048162, 'Yes': -5.802903, ' The': -10.456, ' yes': -10.801, ' No': -11.411246}
{' Yes': -0.003930922, ' No': -5.9974837, 'Yes': -6.790071, ' The': -8.246496, ' yes': -10.816745}
{' Yes': -0.0045498577, ' No': -5.7627993, 'Yes': -6.7441697, ' The': -8.877938, ' yes': -10.039516}
{' Yes': -0.0014690933, 'Yes': -6.5531178, ' yes': -10.51236, ' The': -11.892022, ' ': -12.980539}
{' Yes': -0.0006259955, 'Yes': -7.4213986, ' yes': -11.405819, ' No': -11.939712, ' The': -12.254618}
{' Yes': -0.0028485886, 'Yes': -5.903744, ' The': -10.023236, ' Heart': -10.465803, ' yes': -10.89401}
{' Yes': -0.0031374027, 'Yes': -5.9254317, ' Heart': -8.157076, ' The': -9.140423, ' yes': -10.171681}
{' Yes': -0.0009817638, 'Yes': -6.9851904, ' The': -10.624234, ' No': -11.0324545, ' yes': -11.637753}
{' Yes': -0.0010983546, 'Yes': -6.8359256, ' Sure': -12.269955, ' ': -12.38705, ' yes': -12.494723}
{' No': -0.024857795, ' Yes': -4.2620325, 'No': -4.617507, ' Not': -8.770413, ' The': -8.966872}
{' Yes': -0.08746139, ' No': -2.5460415, 'Yes': -5.5031714, 'No': -7.357895, ' The': -7.96272}
{' Yes': -0.1552745, ' No': -2.0391397, 'Yes': -4.584115, 'No': -5.8973756, ' Pizza': -7.8180075}
{' Yes': -0.30415717, ' No': -1.4240456, 'Yes': -4.3382225, 'No': -4.8079987, ' ': -9.532109}
{' Yes': -0.0031091222, 'Yes': -5.809719, ' yes': -10.082347, ' The': -10.130499, ' No': -11.411399}
{' Yes': -0.0073963087, 'Yes': -4.9279947, ' yes': -9.921787, ' No': -10.204961, ' ': -11.296528}
{' Yes': -0.21350631, ' No': -1.9585605, ' Laugh': -3.3275714, 'Yes': -4.6560397, 'No': -5.8890567}
{' Yes': -0.0019600056, 'Yes': -6.3108683, ' yes': -9.575622, ' No': -10.393172, ' The': -10.89789}
{' Yes': -0.024978055, ' No': -3.9458134, 'Yes': -5.284412, 'No': -8.777226, ' yes': -10.187982}
{' Yes': -0.33155698, ' No': -1.3141563, 'Yes': -5.016354, 'No': -5.2257085, ' Queen': -6.6497517}
{' No': -0.18214254, ' Yes': -1.8420757, 'No': -4.9678516, 'Yes': -7.199241, ' The': -8.710488}
{' Yes': -0.024800234, ' No': -3.91054, 'Yes': -5.563847, ' The': -8.054011, 'No': -8.788879}
{' Yes': -0.006267641, 'Yes': -5.231928, ' No': -7.1942515, ' The': -9.502462, ' yes': -10.40744}
{' Yes': -0.00684277, 'Yes': -5.0082483, ' No': -9.786445, ' yes': -10.225699, ' The': -11.109962}
{' Yes': -0.048283517, ' No': -3.18587, 'Yes': -5.4307604, ' Found': -7.371615, 'No': -7.8292437}
{' Yes': -0.0267504, ' No': -3.8302207, 'Yes': -5.7611027, ' The': -6.9608626, ' Found': -8.466428}
{' Yes': -0.004686329, 'Yes': -5.463403, ' Uncle': -7.939621, ' yes': -10.094667, ' ': -10.975302}
{' Yes': -0.5782956, ' No': -0.849347, 'No': -5.1008425, 'Yes': -5.6468163, ' ': -7.0504785}
{' No': -0.051145285, ' Yes': -3.326383, 'No': -4.318336, 'Yes': -8.232433, ' The': -8.664632}
{' No': -0.39142117, ' Yes': -1.1790742, 'No': -4.398503, 'Yes': -5.7780595, ' Stamp': -7.857388}
{' Yes': -0.0076625296, 'Yes': -5.3926682, ' No': -5.8251386, ' yes': -10.0473385, ' The': -10.384941}
{' Yes': -0.0063638543, 'Yes': -5.0985365, ' yes': -9.416553, ' No': -9.538289, ' The': -10.460282}
{' No': -0.5373046, ' Yes': -0.89299846, 'No': -5.554457, 'Yes': -6.2077775, ' The': -8.27506}
{' Yes': -0.03925871, ' No': -3.330545, 'Yes': -6.0585036, ' The': -8.649884, 'No': -8.989577}
{' Yes': -0.030783685, ' No': -4.0384946, 'Yes': -4.4227834, 'No': -8.078678, ' The': -8.5211935}
{' Yes': -0.044387728, ' No': -3.3031595, 'Yes': -5.233377, ' The': -7.2758384, 'No': -7.8248}
{' No': -0.067085885, ' Yes': -2.9604383, 'No': -4.386693, 'Yes': -7.8135605, ' Not': -8.965257}
{' Yes': -0.00583966, 'Yes': -5.2158313, ' No': -8.190516, ' yes': -10.119401, '\n': -10.35225}
{' Yes': -0.022854246, 'Yes': -3.9942513, ' No': -5.7135053, ' ': -8.16173, ' Drunk': -8.400053}
{' Yes': -0.028590048, 'Yes': -4.179045, ' No': -4.405028, 'No': -8.284691, ' yes': -8.871865}
{' No': -0.38222903, ' Yes': -1.1664811, 'No': -5.3825397, 'Yes': -6.6808887, ' The': -8.682231}
{' No': -0.18155323, ' Yes': -1.829962, 'No': -5.364502, 'Yes': -7.398094, ' The': -9.147821}
{' Yes': -0.003398791, 'Yes': -5.7111616, ' yes': -10.434847, ' The': -10.718453, ' No': -10.777583}
{' Yes': -0.004403412, 'Yes': -5.4417753, ' yes': -10.077905, ' ': -12.222169, ' The': -12.451235}
{' Yes': -0.0027658616, ' No': -6.56266, 'Yes': -6.6691666, ' yes': -9.925287, ' The': -11.433371}
{' No': -0.014524194, 'No': -4.6174426, ' Yes': -5.451183, ' ': -9.321282, ' Not': -10.008599}
