{' 44': -1.8824675, ' 42': -1.9807838, ' 43': -2.015179, ' 40': -2.171719, ' 39': -2.5566866}
{' 35': -1.2930514, ' 37': -1.8018727, ' 36': -1.9244294, ' 40': -2.522881, ' 38': -2.7258365}
{' 33': -1.9310714, ' 28': -2.1624367, ' 30': -2.2973185, ' 29': -2.3268785, ' 32': -2.4620612}
{' 39': -2.0903149, ' 43': -2.1586342, ' 40': -2.2642558, ' 41': -2.3004875, ' 37': -2.3465617}
{' 33': -1.6799439, ' 32': -2.4064484, ' 34': -2.438511, ' 30': -2.572978, ' 35': -2.6964061}
{' 43': -1.8117641, ' 41': -1.9976659, ' 39': -2.0082784, ' 40': -2.2726483, ' 45': -2.4778922}
{' 33': -1.9849362, ' 37': -2.2300954, ' 34': -2.4105048, ' 35': -2.4548328, ' 36': -2.6618097}
{' 37': -1.6635581, ' 38': -2.0478432, ' 39': -2.073108, ' 36': -2.1071367, ' 40': -2.199115}
{' 36': -2.0333652, ' 33': -2.2535174, ' 32': -2.3473084, ' 34': -2.4310963, ' 37': -2.5341978}
{' 37': -1.8040183, ' 39': -1.8095765, ' 41': -2.2276938, ' 43': -2.3524022, ' 40': -2.4056325}
{' 33': -2.2150855, ' 37': -2.2625968, ' 35': -2.5418315, ' 34': -2.6033704, ' 36': -2.6337574}
{' 37': -1.6912124, ' 39': -1.8952187, ' 35': -2.1908462, ' 38': -2.4310272, ' 36': -2.4630346}
{' 33': -1.813157, ' 28': -2.4681432, ' 32': -2.4909189, ' 30': -2.5064688, ' 34': -2.5863438}
{' 37': -1.873643, ' 36': -2.135669, ' 38': -2.1869576, ' 39': -2.2820885, ' 35': -2.3728516}
{' 43': -2.3082042, ' 41': -2.5084894, ' 44': -2.5402026, ' 42': -2.6710067, ' 37': -2.7365441}
{' 37': -1.799243, ' 39': -2.182248, ' 36': -2.3995447, ' 38': -2.4030018, ' 35': -2.4068975}
{' 33': -1.6516771, ' 34': -2.2220354, ' 32': -2.2511778, ' 30': -2.613618, ' 35': -2.7336013}
{' 39': -2.0393648, ' 37': -2.0568879, ' 40': -2.2908547, ' 38': -2.2969544, ' 41': -2.401639}
{' 33': -1.9171046, ' 34': -2.5141857, ' 37': -2.5575273, ' 35': -2.5853796, ' 32': -2.6100245}
{' 37': -1.8989483, ' 39': -1.9032588, ' 38': -2.3397386, ' 40': -2.4048553, ' 36': -2.468905}
{' 33': -1.9359312, ' 37': -2.2200124, ' 34': -2.396534, ' 35': -2.47048, ' 36': -2.6409988}
{' 43': -1.594646, ' 45': -2.0738425, ' 44': -2.1481564, ' 41': -2.2284045, ' 39': -2.3888927}
{' 33': -1.7357985, ' 37': -2.2147965, ' 34': -2.423798, ' 35': -2.4996305, ' 36': -2.639649}
{' 43': -1.7653288, ' 44': -1.7710166, ' 45': -1.9870143, ' 42': -2.2948298, ' 46': -2.4932055}
{' 44': -2.0679762, ' 43': -2.4113505, ' 45': -2.4562056, ' 42': -2.5907748, ' 46': -2.601515}
{' 44': -1.8284774, ' 43': -1.9319623, ' 42': -2.2150931, ' 40': -2.2759087, ' 45': -2.3388057}
{' 28': -2.0450575, ' 33': -2.1301787, ' 29': -2.2507002, ' 30': -2.2891352, ' 27': -2.5440066}
{' 37': -1.7981222, ' 39': -1.9729459, ' 38': -2.0271661, ' 40': -2.2472627, ' 36': -2.3908937}
{' 43': -2.271607, ' 42': -2.3410964, ' 45': -2.3671498, ' 44': -2.5678284, ' 39': -2.7307637}
{' 43': -1.9386196, ' 39': -1.9407731, ' 41': -2.0611, ' 42': -2.3180885, ' 40': -2.4001904}
{' 33': -1.7153484, ' 34': -2.2614498, ' 32': -2.4528913, ' 37': -2.5479717, ' 35': -2.5589955}
{' 44': -1.7706639, ' 43': -1.7862164, ' 45': -2.16612, ' 42': -2.2198675, ' 41': -2.6041124}
{' 33': -1.9414086, ' 34': -2.302708, ' 37': -2.4506602, ' 32': -2.4864926, ' 35': -2.6754174}
{' 43': -1.9163446, ' 39': -2.2835379, ' 44': -2.3076105, ' 42': -2.3097372, ' 41': -2.3680696}
{' 33': -2.019806, ' 34': -2.3803146, ' 32': -2.4515457, ' 37': -2.5271757, ' 35': -2.6718366}
{' 39': -2.0175314, ' 41': -2.1419442, ' 40': -2.1465962, ' 37': -2.1814852, ' 43': -2.2887528}
{' 37': -2.1429226, ' 33': -2.3876193, ' 35': -2.4530928, ' 39': -2.5752413, ' 34': -2.6550963}
{' 37': -1.6063802, ' 35': -1.8025624, ' 33': -2.257282, ' 39': -2.297651, ' 36': -2.4730203}
{' 43': -2.0924463, ' 44': -2.4400892, ' 41': -2.4719353, ' 45': -2.5027876, ' 42': -2.651124}
{' 43': -1.6449441, ' 45': -1.919923, ' 39': -2.234006, ' 41': -2.3231363, ' 44': -2.4606717}
{' 43': -2.3323965, ' 37': -2.3882952, ' 39': -2.5251646, ' 40': -2.5555372, ' 41': -2.5783844}
{' 39': -2.008016, ' 40': -2.0115545, ' 43': -2.3211744, ' 38': -2.3918588, ' 37': -2.4175813}
{' 43': -2.536909, ' 37': -2.6860971, ' 44': -2.7377415, ' 40': -2.7409258, ' 42': -2.7724457}
{' 37': -1.9958503, ' 39': -1.9962204, ' 41': -2.2413814, ' 43': -2.3162658, ' 40': -2.4311664}
{' 43': -2.2373068, ' 42': -2.4752743, ' 44': -2.5153573, ' 37': -2.5760405, ' 41': -2.617616}
{' 39': -1.6558659, ' 43': -1.909795, ' 41': -2.0781302, ' 37': -2.1381752, ' 40': -2.532041}
{' 37': -2.2575178, ' 40': -2.4381351, ' 39': -2.6202621, ' 33': -2.6354287, ' 43': -2.6544545}
{' 40': -1.8180621, ' 44': -1.84651, ' 42': -2.215523, ' 43': -2.2528555, ' 45': -2.283541}
{' 33': -1.8329816, ' 30': -2.2457147, ' 28': -2.399836, ' 32': -2.4271457, ' 29': -2.4763112}
{' 42': -1.9601614, ' 40': -1.9900345, ' 44': -2.199755, ' 36': -2.2667754, ' 38': -2.3988926}
{' 37': -2.167533, ' 33': -2.332317, ' 35': -2.5289516, ' 34': -2.5986786, ' 39': -2.6405554}
{' 40': -1.9570616, ' 43': -1.9642638, ' 41': -2.1404572, ' 39': -2.1618042, ' 45': -2.261768}
{' 33': -1.7962767, ' 32': -2.419173, ' 28': -2.4251678, ' 29': -2.4973876, ' 30': -2.4998653}
{' 45': -1.6864864, ' 43': -2.033557, ' 39': -2.332137, ' 40': -2.3965206, ' 41': -2.7286243}
{' 37': -2.1220295, ' 39': -2.5414248, ' 36': -2.5481856, ' 34': -2.6447365, ' 38': -2.665293}
{' 43': -1.7811103, ' 44': -1.9731898, ' 45': -2.2661607, ' 42': -2.2793536, ' 41': -2.3640933}
{' 44': -2.252281, ' 42': -2.3469934, ' 43': -2.367523, ' 40': -2.5221126, ' 45': -2.6449542}
{' 39': -1.8661134, ' 37': -2.0629213, ' 40': -2.1997964, ' 43': -2.2544725, ' 41': -2.2566507}
{' 44': -2.327459, ' 43': -2.337504, ' 42': -2.6123052, ' 40': -2.6281123, ' 41': -2.6776109}
{' 43': -1.6117449, ' 39': -1.9463168, ' 45': -2.2244139, ' 41': -2.2328978, ' 42': -2.3465512}
{' 33': -1.9197577, ' 37': -2.4030263, ' 34': -2.4090729, ' 32': -2.5989864, ' 35': -2.6217813}
{' 44': -1.6713403, ' 43': -1.9576715, ' 42': -1.9700253, ' 40': -2.3281167, ' 45': -2.4593365}
{' 43': -2.2718186, ' 41': -2.507531, ' 44': -2.5373857, ' 42': -2.5662467, ' 45': -2.5743482}
{' 44': -1.7799754, ' 43': -1.8096614, ' 45': -2.1313872, ' 42': -2.3395152, ' 46': -2.4499793}
{' 37': -2.2551832, ' 33': -2.4923868, ' 43': -2.6518526, ' 34': -2.6697845, ' 41': -2.6901293}
{' 44': -1.7128782, ' 43': -1.773446, ' 42': -2.1735506, ' 45': -2.1998587, ' 41': -2.4723349}
{' 43': -2.2082672, ' 44': -2.430129, ' 41': -2.5281858, ' 42': -2.5829086, ' 37': -2.6460474}
{' 43': -1.5801684, ' 44': -2.1313844, ' 45': -2.175431, ' 41': -2.454888, ' 42': -2.51166}
{' 33': -1.919184, ' 37': -2.3116553, ' 34': -2.3857212, ' 35': -2.5615122, ' 36': -2.578453}
{' 44': -2.0113492, ' 45': -2.0609615, ' 43': -2.0672271, ' 42': -2.3607566, ' 48': -2.5776775}
{' 44': -1.7465252, ' 42': -2.3539822, ' 43': -2.5066493, ' 46': -2.5125659, ' 45': -2.556248}
{' 43': -1.8102099, ' 44': -1.9071641, ' 45': -2.1340187, ' 42': -2.3514695, ' 46': -2.5351624}
{' 43': -2.2534747, ' 45': -2.4200482, ' 41': -2.568729, ' 37': -2.6211486, ' 44': -2.6655805}
{' 44': -1.4468298, ' 42': -1.9908819, ' 43': -2.0511827, ' 45': -2.4322844, ' 46': -2.4430876}
{' 37': -2.1747148, ' 43': -2.347246, ' 39': -2.4089658, ' 41': -2.4345024, ' 40': -2.6957135}
{' 39': -2.0710914, ' 40': -2.1870868, ' 43': -2.1955879, ' 37': -2.2047565, ' 41': -2.2573287}
{' 43': -2.2075694, ' 41': -2.4724488, ' 44': -2.5823007, ' 42': -2.5935452, ' 39': -2.601308}
{' 45': -1.9314779, ' 43': -2.0475917, ' 40': -2.1182628, ' 44': -2.446382, ' 41': -2.4728901}
{' 44': -1.6094365, ' 48': -1.8336351, ' 42': -2.3090942, ' 45': -2.6384542, ' 46': -2.6844544}
{' 43': -1.7837418, ' 44': -2.042985, ' 42': -2.2502127, ' 41': -2.3442202, ' 45': -2.35295}
{' 45': -2.2421274, ' 43': -2.2550297, ' 44': -2.2802935, ' 46': -2.4809885, ' 48': -2.5704556}
{' 43': -1.9941939, ' 39': -2.176344, ' 40': -2.2016656, ' 41': -2.297161, ' 42': -2.3044796}
{' 43': -2.2158442, ' 41': -2.4731686, ' 44': -2.5109618, ' 37': -2.623771, ' 42': -2.7287836}
{' 43': -1.7375145, ' 45': -1.8004264, ' 44': -2.088501, ' 42': -2.377821, ' 46': -2.5960102}
{' 33': -1.8646643, ' 34': -2.3707907, ' 37': -2.4111826, ' 35': -2.5625393, ' 36': -2.5661452}
{' 39': -1.9487733, ' 40': -2.1071346, ' 43': -2.1743402, ' 41': -2.237439, ' 42': -2.2588317}
{' 43': -2.2073698, ' 41': -2.4930706, ' 44': -2.5397024, ' 45': -2.5703907, ' 37': -2.615558}
{' 43': -1.8444273, ' 40': -2.1173346, ' 44': -2.1458342, ' 42': -2.216879, ' 41': -2.2356322}
{' 33': -1.7938352, ' 34': -2.411406, ' 32': -2.4430032, ' 37': -2.7070613, ' 30': -2.7415118}
{' 39': -2.135419, ' 43': -2.1711855, ' 40': -2.313754, ' 37': -2.36881, ' 41': -2.4041605}
{' 33': -1.7378751, ' 37': -2.3284512, ' 34': -2.366237, ' 35': -2.5235379, ' 32': -2.6256144}
{' 43': -1.564358, ' 45': -1.9424384, ' 44': -2.2501185, ' 41': -2.4760058, ' 47': -2.591238}
{' 43': -2.3605402, ' 44': -2.512388, ' 37': -2.5292022, ' 39': -2.6097028, ' 41': -2.6693857}
{' 43': -1.6414803, ' 45': -1.7408265, ' 44': -2.0730505, ' 41': -2.492612, ' 42': -2.5370512}
{' 33': -2.0844061, ' 37': -2.0888388, ' 34': -2.4630978, ' 35': -2.4801733, ' 36': -2.630309}
{' 43': -1.7940656, ' 44': -1.9014074, ' 42': -2.1677153, ' 45': -2.1888008, ' 41': -2.511225}
{' 37': -2.2282932, ' 33': -2.4289865, ' 34': -2.6761653, ' 39': -2.681592, ' 36': -2.702111}
{' 37': -1.8239095, ' 39': -1.8768138, ' 36': -2.2792127, ' 38': -2.3350677, ' 35': -2.5377293}
{' 45': -2.2110033, ' 43': -2.3090763, ' 44': -2.3534782, ' 48': -2.671354, ' 42': -2.6730812}
{' 40': -1.5039921, ' 44': -2.2770214, ' 42': -2.3374481, ' 43': -2.3713703, ' 41': -2.3886013}
{' 33': -1.916351, ' 34': -2.2053332, ' 32': -2.3161883, ' 36': -2.4631066, ' 30': -2.743029}
{' 48': -2.0199032, ' 45': -2.138899, ' 46': -2.2588065, ' 47': -2.286898, ' 50': -2.3716261}
{' 33': -2.1377766, ' 37': -2.362368, ' 34': -2.5946724, ' 32': -2.6767287, ' 35': -2.689464}
{' 43': -2.0142686, ' 42': -2.160461, ' 39': -2.272514, ' 44': -2.28717, ' 40': -2.3305354}
{' 33': -1.8427176, ' 32': -2.3661199, ' 34': -2.4600444, ' 28': -2.709084, ' 37': -2.714601}
{' 43': -1.7770799, ' 45': -1.867885, ' 44': -1.9630787, ' 42': -2.3705382, ' 46': -2.5982242}
{' 44': -2.1712677, ' 43': -2.2719767, ' 42': -2.4748404, ' 40': -2.541732, ' 41': -2.5916252}
{' 39': -1.8485035, ' 37': -1.8618511, ' 43': -2.0554032, ' 41': -2.231642, ' 38': -2.6278117}
{' 44': -2.1688833, ' 43': -2.253605, ' 45': -2.4376364, ' 42': -2.5882263, ' 46': -2.6605825}
{' 43': -1.7396158, ' 44': -1.7806201, ' 45': -1.8642421, ' 42': -2.416719, ' 46': -2.4630656}
{' 44': -2.3511164, ' 43': -2.399296, ' 40': -2.5380983, ' 42': -2.5771334, ' 37': -2.6688874}
{' 45': -1.6078959, ' 48': -1.8170978, ' 44': -1.9660674, ' 43': -2.3339722, ' 46': -2.3841412}
{' 44': -2.1824725, ' 43': -2.1987548, ' 42': -2.544434, ' 45': -2.584145, ' 41': -2.6258025}
{' 43': -2.0133054, ' 39': -2.0850654, ' 40': -2.1314657, ' 41': -2.2166364, ' 42': -2.3223531}
{' 45': -2.1671748, ' 48': -2.1709104, ' 44': -2.2200694, ' 46': -2.360187, ' 50': -2.5053735}
{' 40': -1.8387903, ' 44': -1.8733952, ' 43': -2.1403537, ' 42': -2.1413188, ' 45': -2.6385055}
{' 43': -2.1069393, ' 41': -2.4749975, ' 37': -2.5198088, ' 42': -2.5441027, ' 39': -2.5821822}
{' 45': -1.4432298, ' 48': -1.6994934, ' 44': -2.0881617, ' 43': -2.3867226, ' 47': -2.565779}
{' 33': -1.5789348, ' 34': -2.4816134, ' 32': -2.4893906, ' 35': -2.5874379, ' 37': -2.5997317}
{' 43': -1.7796416, ' 44': -2.2036986, ' 45': -2.2041733, ' 41': -2.324491, ' 39': -2.4055474}
{' 37': -2.354877, ' 33': -2.3610342, ' 34': -2.6279702, ' 35': -2.6723619, ' 39': -2.763125}
{' 44': -1.661414, ' 45': -1.8953844, ' 43': -2.0089138, ' 42': -2.3492897, ' 40': -2.4639692}
{' 33': -1.9209291, ' 32': -2.347639, ' 34': -2.4331572, ' 30': -2.587724, ' 35': -2.6227}
{' 45': -1.6499693, ' 43': -1.8078482, ' 44': -1.8325541, ' 46': -2.407675, ' 42': -2.4077475}
{' 43': -2.44803, ' 45': -2.5401645, ' 37': -2.5904744, ' 42': -2.593472, ' 41': -2.5964777}
{' 43': -1.8034189, ' 44': -1.8145388, ' 45': -1.9197671, ' 46': -2.3554246, ' 42': -2.4525049}
{' 43': -2.2443416, ' 44': -2.2666013, ' 45': -2.278054, ' 48': -2.422796, ' 46': -2.630798}
{' 45': -1.708934, ' 44': -1.8044121, ' 43': -2.1009283, ' 48': -2.5190156, ' 46': -2.558122}
{' 33': -2.157139, ' 34': -2.2502024, ' 37': -2.2958233, ' 36': -2.52644, ' 35': -2.6314347}
{' 43': -1.5392735, ' 45': -1.8628112, ' 44': -2.1441262, ' 41': -2.5161145, ' 47': -2.647529}
{' 33': -1.6780049, ' 34': -2.3027866, ' 32': -2.3546748, ' 37': -2.4208324, ' 35': -2.577812}
{' 42': -2.0032387, ' 40': -2.168764, ' 44': -2.2563422, ' 43': -2.3525925, ' 39': -2.3667812}
{' 43': -2.3246968, ' 37': -2.4598, ' 41': -2.5256035, ' 39': -2.5568843, ' 40': -2.713573}
{' 43': -1.7691172, ' 44': -1.9883021, ' 45': -2.0982893, ' 42': -2.1799638, ' 41': -2.417692}
{' 45': -2.35083, ' 40': -2.3948262, ' 43': -2.424098, ' 37': -2.671936, ' 41': -2.680774}
{' 43': -1.8512406, ' 45': -1.9692712, ' 44': -2.2255273, ' 41': -2.3822007, ' 39': -2.3862045}
{' 37': -2.2194285, ' 33': -2.4285626, ' 36': -2.4307685, ' 34': -2.511926, ' 38': -2.6433003}
{' 44': -1.645406, ' 43': -1.9535972, ' 45': -1.994258, ' 42': -2.3683693, ' 46': -2.5280964}
{' 33': -1.7225049, ' 34': -2.2988083, ' 32': -2.40352, ' 37': -2.5688825, ' 35': -2.6542618}
{' 43': -2.204427, ' 40': -2.2286427, ' 42': -2.249267, ' 44': -2.2827373, ' 39': -2.3364823}
{' 37': -2.2678201, ' 33': -2.321593, ' 39': -2.5822237, ' 34': -2.6386547, ' 35': -2.687349}
{' 43': -1.6110399, ' 45': -1.9269637, ' 44': -2.0943909, ' 42': -2.5922565, ' 46': -2.641243}
{' 33': -2.161028, ' 37': -2.2628558, ' 34': -2.390423, ' 35': -2.6385777, ' 36': -2.6449025}
{' 40': -2.0865746, ' 43': -2.1000292, ' 39': -2.127369, ' 41': -2.2453024, ' 42': -2.3207762}
{' 37': -2.1058726, ' 33': -2.4121668, ' 39': -2.4874883, ' 43': -2.643024, ' 38': -2.6633782}
{' 43': -2.033156, ' 45': -2.066483, ' 44': -2.207684, ' 47': -2.3472009, ' 46': -2.4025903}
{' 44': -2.08497, ' 46': -2.3102794, ' 48': -2.3975751, ' 45': -2.417541, ' 43': -2.4979968}
{' 37': -1.7797458, ' 39': -2.1068199, ' 38': -2.114123, ' 36': -2.3066413, ' 40': -2.346339}
{' 45': -2.081462, ' 43': -2.4723806, ' 48': -2.5230675, ' 44': -2.5856762, ' 47': -2.7455873}
{' 45': -2.0186534, ' 44': -2.1376204, ' 46': -2.207073, ' 48': -2.215177, ' 47': -2.3137758}
{' 37': -2.4292762, ' 43': -2.4772973, ' 39': -2.5494742, ' 41': -2.6500528, ' 40': -2.7277906}
{' 43': -1.5754625, ' 41': -2.133877, ' 39': -2.1807442, ' 45': -2.3787003, ' 42': -2.3940544}
{' 43': -2.099516, ' 45': -2.1624508, ' 44': -2.1710901, ' 42': -2.4715624, ' 46': -2.5297413}
{' 43': -1.8742588, ' 44': -2.1773746, ' 39': -2.341767, ' 45': -2.378955, ' 42': -2.417531}
{' 45': -2.2033048, ' 44': -2.2339578, ' 43': -2.3423736, ' 48': -2.5237374, ' 42': -2.7098842}
{' 44': -1.8224802, ' 45': -1.8607798, ' 43': -2.1164007, ' 46': -2.2548914, ' 47': -2.3471727}
{' 44': -2.2914038, ' 45': -2.2992926, ' 48': -2.3613806, ' 46': -2.4636793, ' 47': -2.499051}
{' 45': -1.8117032, ' 44': -2.2106462, ' 43': -2.227856, ' 46': -2.3104196, ' 47': -2.3661237}
{' 33': -2.1326838, ' 34': -2.1859818, ' 37': -2.2238798, ' 36': -2.3700933, ' 38': -2.5714397}
{' 40': -1.9325773, ' 42': -2.1949654, ' 44': -2.2086127, ' 43': -2.3893185, ' 39': -2.4696314}
{' 37': -2.2307281, ' 43': -2.526229, ' 41': -2.6025667, ' 39': -2.6029406, ' 40': -2.618783}
{' 43': -1.7128091, ' 39': -2.207665, ' 41': -2.2553678, ' 45': -2.3484635, ' 44': -2.4858406}
{' 44': -2.1859488, ' 43': -2.2000768, ' 45': -2.3097103, ' 46': -2.552527, ' 48': -2.6423984}
{' 43': -1.6097358, ' 45': -1.8414654, ' 44': -1.8995327, ' 47': -2.4907622, ' 46': -2.5646577}
{' 37': -2.2617602, ' 33': -2.4601588, ' 39': -2.5474982, ' 43': -2.5899444, ' 36': -2.7064767}
{' 39': -2.0053375, ' 45': -2.194123, ' 42': -2.2547252, ' 43': -2.293862, ' 40': -2.4288795}
{' 43': -2.4458497, ' 44': -2.4773285, ' 42': -2.6158717, ' 37': -2.659076, ' 40': -2.6614869}
{' 48': -2.0413003, ' 45': -2.1628213, ' 44': -2.2267482, ' 46': -2.3563313, ' 47': -2.407359}
{' 45': -2.2142825, ' 43': -2.2297695, ' 44': -2.3977468, ' 48': -2.5364006, ' 46': -2.637797}
{' 45': -1.80217, ' 44': -1.9348758, ' 43': -1.9596465, ' 42': -2.359627, ' 40': -2.4421275}
{' 44': -2.2074325, ' 43': -2.523195, ' 45': -2.5741155, ' 48': -2.7583768, ' 46': -2.8387325}
{' 44': -1.7275385, ' 45': -1.9551061, ' 48': -1.991218, ' 42': -1.9924922, ' 43': -2.4486463}
{' 37': -2.3244174, ' 43': -2.420546, ' 41': -2.55265, ' 39': -2.6594281, ' 42': -2.815578}
{' 43': -2.0758424, ' 39': -2.0973113, ' 41': -2.209599, ' 40': -2.2530444, ' 42': -2.364365}
{' 45': -2.328798, ' 43': -2.3582199, ' 44': -2.3618896, ' 48': -2.6597736, ' 46': -2.7261074}
{' 40': -2.1640034, ' 43': -2.175375, ' 39': -2.2385197, ' 41': -2.3808842, ' 42': -2.3854027}
{' 40': -2.0979204, ' 42': -2.1707697, ' 44': -2.2277515, ' 43': -2.6919975, ' 38': -2.7202559}
{' 43': -1.7974463, ' 44': -1.9391891, ' 45': -2.0692072, ' 42': -2.2706022, ' 41': -2.5798044}
{' 37': -2.4404244, ' 43': -2.4607902, ' 39': -2.5084891, ' 40': -2.5649219, ' 41': -2.5780404}
{' 44': -1.7417146, ' 48': -2.0651798, ' 45': -2.1472359, ' 43': -2.1943302, ' 46': -2.364607}
{' 33': -1.9460475, ' 37': -2.0831068, ' 35': -2.4034965, ' 34': -2.4701784, ' 36': -2.6824472}
{' 43': -1.7651995, ' 41': -2.185627, ' 39': -2.2064934, ' 44': -2.331785, ' 45': -2.4270914}
{' 48': -1.6245482, ' 44': -1.821562, ' 42': -2.2558882, ' 45': -2.4909594, ' 46': -2.7076123}
{' 44': -1.6991402, ' 43': -2.154716, ' 42': -2.226301, ' 45': -2.2966058, ' 46': -2.5095823}
{' 33': -1.723099, ' 34': -2.2628863, ' 37': -2.3586829, ' 35': -2.5254188, ' 32': -2.582907}
{' 48': -2.053991, ' 45': -2.0660646, ' 44': -2.1847875, ' 46': -2.2806032, ' 50': -2.296314}
{' 43': -2.155701, ' 44': -2.361276, ' 41': -2.520241, ' 42': -2.5594828, ' 45': -2.5622256}
{' 48': -2.0877755, ' 45': -2.1656773, ' 46': -2.2367127, ' 47': -2.2506726, ' 44': -2.3411763}
{' 45': -1.8241917, ' 40': -2.1042724, ' 43': -2.3740442, ' 41': -2.7554526, ' 44': -2.7908082}
{' 45': -2.0453398, ' 48': -2.0603163, ' 44': -2.191204, ' 46': -2.1959956, ' 47': -2.329674}
{' 43': -2.108073, ' 41': -2.4306545, ' 44': -2.5411692, ' 45': -2.5724583, ' 42': -2.6273115}
{' 43': -1.9533051, ' 44': -1.9594698, ' 45': -2.1832857, ' 46': -2.3676252, ' 42': -2.4804306}
{' 43': -2.0907052, ' 44': -2.225094, ' 45': -2.4236567, ' 41': -2.6030715, ' 42': -2.6131833}
{' 43': -1.8188715, ' 44': -1.8314885, ' 45': -2.0922422, ' 46': -2.4004393, ' 42': -2.408084}
{' 43': -2.0006738, ' 44': -2.4158072, ' 41': -2.4630113, ' 45': -2.4662948, ' 42': -2.49402}
{' 43': -1.7294574, ' 45': -2.0203414, ' 44': -2.0802054, ' 46': -2.5607047, ' 41': -2.5846992}
{' 33': -2.0182166, ' 37': -2.1872592, ' 34': -2.4109356, ' 35': -2.5971503, ' 32': -2.6966777}
{' 48': -2.0069764, ' 50': -2.2601886, ' 47': -2.304147, ' 46': -2.4801898, ' 49': -2.4809718}
{' 43': -2.185532, ' 42': -2.4972491, ' 41': -2.524135, ' 45': -2.5277238, ' 44': -2.58423}
{' 45': -1.6811486, ' 40': -1.910967, ' 44': -1.9356021, ' 43': -1.9827309, ' 42': -2.4165459}
{' 43': -2.120645, ' 44': -2.260224, ' 42': -2.4577146, ' 41': -2.5103738, ' 45': -2.5191543}
{' 45': -2.1109192, ' 48': -2.2299685, ' 46': -2.240287, ' 44': -2.2600532, ' 47': -2.312553}
{' 43': -2.1340063, ' 44': -2.3056865, ' 45': -2.3566146, ' 46': -2.6113858, ' 47': -2.7595983}
{' 43': -1.9111664, ' 45': -1.9647515, ' 44': -2.0139287, ' 46': -2.3799489, ' 47': -2.381265}
{' 43': -2.1627593, ' 44': -2.411997, ' 41': -2.513717, ' 42': -2.5703864, ' 40': -2.6187358}
{' 44': -1.9781821, ' 45': -2.015509, ' 43': -2.0519145, ' 46': -2.2843096, ' 48': -2.3809686}
{' 43': -1.8964148, ' 41': -2.303935, ' 45': -2.5132275, ' 44': -2.5293226, ' 42': -2.6179793}
{' 45': -1.8386055, ' 44': -1.8786733, ' 48': -2.0359702, ' 46': -2.3005843, ' 43': -2.4377344}
{' 45': -2.3955884, ' 48': -2.4332147, ' 44': -2.5548587, ' 50': -2.6122737, ' 47': -2.6326222}
{' 43': -1.8366644, ' 44': -1.8674986, ' 45': -2.0853045, ' 42': -2.4166338, ' 46': -2.422293}
{' 44': -1.8849788, ' 45': -2.2009654, ' 42': -2.2296882, ' 43': -2.2570682, ' 46': -2.5105586}
{' 43': -2.1221583, ' 40': -2.2094004, ' 44': -2.2365553, ' 42': -2.2801287, ' 45': -2.4804747}
{' 43': -2.0509944, ' 44': -2.3816488, ' 41': -2.4469755, ' 42': -2.4717834, ' 45': -2.5172715}
