{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' Up': -0.23212133, ' up': -1.6249511, 'Up': -5.2006116, 'up': -5.4492574, ' UP': -8.269674}
{' Down': -0.44968155, ' down': -1.078807, 'down': -4.2384562, 'Down': -4.8788233, ' "': -9.681071}
{' Up': -0.21148883, ' up': -1.6627237, ' UP': -7.1652527, 'Up': -9.34977, 'up': -9.392462}
{' down': -0.46928248, ' Down': -0.98461765, 'down': -7.4301057, 'Down': -8.3514595, ' "': -9.638361}
{' Up': -0.15063637, ' up': -1.9706475, ' UP': -8.08424, ' "': -9.853082, 'Up': -10.12926}
{' Down': -0.35254344, ' down': -1.2148958, 'down': -8.745638, 'Down': -9.2348585, ' Up': -10.3208275}
{' Up': -0.82076293, ' Down': -1.0989841, ' down': -1.9921381, ' up': -2.4388413, 'down': -7.007971}
{' Down': -0.68698245, ' down': -0.72113156, ' Up': -5.2169204, ' up': -6.0088034, 'down': -6.4215937}
{' Up': -0.18236756, ' up': -2.0992641, ' Down': -3.4139442, ' down': -4.554987, ' UP': -8.435465}
{' Down': -0.31122285, ' down': -1.3416108, ' Up': -5.5458093, ' up': -6.959693, 'down': -7.3501687}
{' Up': -0.7158328, ' Down': -1.2154131, ' down': -2.059291, ' up': -2.5057974, 'down': -6.411973}
{' Down': -0.6344918, ' down': -0.7751645, ' Up': -5.4496126, 'down': -5.9783635, ' up': -6.6717076}
{' Up': -0.8048035, ' Down': -1.5011727, ' down': -1.6299608, ' up': -2.0352857, ' "': -6.6885467}
{' Down': -0.54949284, ' down': -1.0596552, ' Up': -2.8958578, ' up': -4.0388994, 'down': -6.2144823}
{' Up': -0.49694782, ' up': -0.9405457, ' UP': -7.8796034, ' down': -8.278914, ' Down': -8.626954}
{' down': -0.3134723, ' Down': -1.3148683, 'down': -8.121774, ' "': -8.808518, 'Down': -9.199355}
{' Up': -0.41533443, ' up': -1.0834978, ' UP': -7.072627, ' "': -8.309474, 'Up': -8.733705}
{' down': -0.624219, ' Down': -0.76956856, 'down': -7.4254155, 'Down': -8.279336, ' "': -9.109885}
{' Down': -0.48575908, ' down': -1.3311703, ' Up': -2.3143818, ' up': -4.130725, 'Down': -5.961173}
{' Down': -0.55529046, ' down': -1.1426374, ' Up': -2.4456904, ' up': -4.1917057, 'down': -6.042417}
{' Down': -0.43371215, ' down': -1.2245809, ' Up': -3.0430925, ' up': -4.9216805, 'down': -6.5798907}
{' Up': -0.7726659, ' Down': -0.81454766, ' down': -2.8079975, ' up': -3.400132, 'Down': -7.4602838}
{' Up': -0.045132175, ' up': -3.1976283, ' Down': -5.953087, ' UP': -8.163084, ' down': -8.70808}
{' Down': -0.2944127, ' down': -1.3728924, 'down': -7.4498787, ' Up': -7.465372, 'Down': -8.428612}
{' Up': -0.047225285, ' up': -3.093427, ' UP': -7.988805, ' Down': -8.491912, ' "': -8.947913}
{' Down': -0.21386148, ' down': -1.6513958, 'down': -7.8325686, 'Down': -8.645099, ' Up': -9.565855}
{' Up': -0.27067482, ' up': -1.4653864, 'up': -6.1155443, 'Up': -6.2504587, ' Down': -6.8713517}
{' down': -0.4988438, ' Down': -0.9565866, 'down': -5.0696845, 'Down': -6.316369, ' "': -8.269828}
{' Up': -0.3022905, ' up': -1.3587651, 'Up': -6.78706, 'up': -6.934668, ' Down': -7.3470597}
{' Down': -0.5381834, ' down': -0.89904433, 'down': -5.1834946, 'Down': -6.0762343, ' Up': -7.2397423}
{' Up': -0.5491534, ' up': -0.86324984, ' UP': -7.5062146, ' "': -9.0200815, 'Up': -9.732185}
{' Down': -0.41625786, ' down': -1.0782204, 'down': -9.005196, 'Down': -9.138106, ' "': -10.272857}
{' Up': -0.1096228, ' up': -2.2679536, ' UP': -8.2639675, 'Up': -10.385303, 'up': -11.359324}
{' Down': -0.50332254, ' down': -0.928173, 'down': -9.046619, 'Down': -9.680504, ' "': -11.217567}
{' Up': -0.038746234, ' up': -3.2824748, ' UP': -8.294909, 'Up': -8.794254, 'up': -10.249062}
{' Down': -0.06551877, ' down': -2.7646382, 'Down': -8.264113, 'down': -9.051694, ' DOWN': -10.537196}
{' Up': -0.02986376, ' up': -3.537224, ' UP': -8.537651, 'Up': -9.237251, 'up': -10.601366}
{' Down': -0.19857378, ' down': -1.7170446, 'down': -8.243712, 'Down': -8.486119, ' "': -10.773503}
{' Up': -0.030821119, ' up': -3.5153315, ' UP': -7.9205775, 'Up': -8.755156, ' "': -9.843512}
{' Down': -0.07787641, ' down': -2.6012528, 'Down': -7.7310762, 'down': -8.264737, ' DOWN': -10.75747}
{' Up': -0.015282735, ' up': -4.2205014, ' UP': -8.077474, 'Up': -9.010718, ' "': -10.9483385}
{' Down': -0.21999519, ' down': -1.6273437, 'Down': -7.666164, 'down': -7.6760345, ' "': -10.116889}
{' up': -0.31547064, ' Up': -1.3110455, ' UP': -7.2559667, ' "': -9.1059065, 'up': -9.174333}
{' down': -0.41301152, ' Down': -1.0850277, 'down': -8.288022, 'Down': -9.090967, ' "': -10.015044}
{' up': -0.47613022, ' Up': -0.97203696, ' UP': -8.057071, 'up': -9.337962, 'Up': -9.685315}
{' down': -0.18576178, ' Down': -1.7771485, 'down': -8.118833, 'Down': -9.729365, ' "': -10.343274}
{' Up': -0.18710975, ' up': -1.7791601, 'Up': -7.1750493, ' UP': -7.2306623, 'up': -8.218422}
{' Down': -0.24940725, ' down': -1.5206285, 'Down': -6.7510285, 'down': -7.1039853, ' DOWN': -9.463846}
{' Up': -0.043565575, ' up': -3.1796167, 'Up': -7.5801525, ' UP': -7.8458166, 'up': -9.300754}
{' Down': -0.3575959, ' down': -1.2071861, 'Down': -7.090925, 'down': -7.258995, ' DOWN': -10.627537}
{' Up': -0.07550839, ' up': -2.6346724, ' UP': -7.1394424, 'Up': -9.170679, ' "': -9.949562}
{' Down': -0.06928551, ' down': -2.7098455, 'Down': -8.480569, 'down': -8.952371, ' DOWN': -10.508476}
{' Up': -0.039200567, ' up': -3.2726808, ' UP': -7.87484, 'Up': -9.297142, 'up': -10.360651}
{' Down': -0.15844297, ' down': -1.9234996, 'down': -8.524331, 'Down': -8.756663, ' "': -10.127648}
{' up': -0.62594914, ' Up': -0.7860979, 'Up': -5.4734793, 'up': -5.5984373, ' UP': -6.458585}
{' Down': -0.5785704, ' down': -0.86160195, 'down': -4.57565, 'Down': -5.0521173, ' DOWN': -9.65264}
{' Up': -0.13446994, ' up': -2.1262379, 'Up': -5.3846145, 'up': -6.7391615, ' UP': -7.309921}
{' down': -0.45417458, ' Down': -1.0568223, 'down': -4.4152246, 'Down': -5.2466073, ' DOWN': -9.777362}
{' Up': -0.21042167, ' up': -1.6649848, ' UP': -8.091344, 'up': -8.9939165, 'Up': -9.08526}
{' Down': -0.51552975, ' down': -0.91037375, 'down': -8.401807, 'Down': -8.563282, ' DOWN': -11.125089}
{' Up': -0.2843337, ' up': -1.3988166, ' UP': -7.9548464, ' "': -8.828029, 'Up': -9.781343}
{' Down': -0.5467637, ' down': -0.86549306, 'down': -8.628251, 'Down': -9.092242, ' "': -10.5608835}
{' Up': -0.037197202, ' up': -3.320404, 'Up': -8.675198, 'up': -9.021799, ' UP': -9.899147}
{' Down': -0.12534116, ' down': -2.1454523, 'Down': -7.7820086, 'down': -8.019259, ' "': -10.404803}
{' Up': -0.06687212, ' up': -2.747023, ' UP': -8.30551, 'Up': -8.369598, 'up': -9.875282}
{' Down': -0.055175327, ' down': -2.936187, 'Down': -7.91709, 'down': -8.634681, ' "': -10.27299}
{' Up': -0.021180162, ' up': -3.8932889, 'Up': -8.212317, 'up': -9.033852, ' UP': -9.189273}
{' Down': -0.08482905, ' down': -2.5270135, 'Down': -6.960344, 'down': -7.806115, ' "': -9.991819}
{' Up': -0.040905546, ' up': -3.232899, ' UP': -8.115683, 'Up': -8.381847, ' "': -9.69054}
{' Down': -0.0499278, ' down': -3.045762, 'Down': -7.2124186, 'down': -8.082269, ' DOWN': -9.949409}
{' Up': -0.6110989, ' up': -0.7836415, 'up': -8.331182, ' UP': -9.122813, 'Up': -9.226901}
{' down': -0.2406701, ' Down': -1.5452163, 'down': -7.729805, 'Down': -8.840392, ' "': -10.448478}
{' up': -0.4954596, ' Up': -0.9423857, ' UP': -7.5189614, 'up': -8.653899, 'Up': -8.788596}
{' down': -0.65238947, ' Down': -0.737419, 'down': -7.663486, 'Down': -8.234465, ' "': -9.461069}
{' Up': -0.0469016, ' up': -3.1135006, 'Up': -7.2396083, 'up': -7.847387, ' UP': -8.384187}
{' Down': -0.18227944, ' down': -1.8061903, 'Down': -6.3936987, 'down': -7.3901243, ' DOWN': -10.168731}
{' Up': -0.07760487, ' up': -2.6246343, ' UP': -6.5941734, 'Up': -7.295135, 'up': -9.100452}
{' Down': -0.086419724, ' down': -2.5219302, 'Down': -6.340293, 'down': -7.532733, ' DOWN': -8.797927}
{' Up': -0.015998317, ' up': -4.155645, 'Up': -9.475163, ' UP': -9.793273, 'up': -10.0378275}
{' Down': -0.059387855, ' down': -2.8615136, 'Down': -8.176395, 'down': -8.75173, ' "': -10.72937}
{' Up': -0.021057922, ' up': -3.9001012, ' UP': -7.666903, 'Up': -9.368182, ' "': -10.431236}
{' Down': -0.021299738, ' down': -3.8735182, 'Down': -8.642342, 'down': -9.642027, ' "': -10.616634}
{' Up': -0.107267186, ' up': -2.3629072, 'Up': -5.2489543, 'up': -6.1789947, ' UP': -8.706852}
{' Down': -0.22514862, ' down': -1.7132372, 'Down': -4.250453, 'down': -4.965326, ' ': -9.9762945}
{' Up': -0.44060495, ' up': -1.0620668, 'Up': -5.101932, 'up': -5.717939, ' UP': -6.8996005}
{' Down': -0.34434652, ' down': -1.3148912, 'down': -4.381492, 'Down': -4.592521, ' DOWN': -9.485822}
{' down': -0.39898092, ' Down': -1.5289687, ' up': -2.850963, ' Up': -3.0348203, ' "': -5.4720154}
{' down': -0.3083746, ' Down': -1.4299089, ' up': -4.4218616, ' Up': -4.6674314, 'down': -5.8622794}
{' down': -0.67437476, ' up': -1.0430061, ' Up': -2.5106308, ' Down': -2.9036703, 'down': -7.028515}
{' down': -0.12706088, ' Down': -2.1694095, 'down': -6.2764554, ' "': -6.475022, ' up': -6.99425}
{' Down': -0.68157554, ' down': -1.2395724, ' Up': -1.8910617, ' up': -3.2530549, ' "': -4.483545}
{' Down': -0.6205108, ' down': -0.8216809, ' Up': -4.609244, ' up': -5.494824, 'down': -5.628558}
{' Down': -0.44318703, ' down': -1.088834, ' Up': -4.362771, ' up': -5.5671306, ' "': -6.2059827}
{' Down': -0.4774973, ' down': -1.1409667, ' Up': -3.1715696, ' up': -4.69347, ' "': -4.9646893}
{' Down': -0.54131126, ' down': -0.9894467, ' Up': -3.5791545, ' up': -4.8296027, 'down': -5.3769336}
{' Down': -0.6732105, ' down': -0.77680624, ' Up': -4.1588345, ' up': -4.970892, 'down': -5.4695473}
{' down': -0.6721094, ' Down': -0.73411155, ' Up': -5.8605933, 'down': -5.9762225, ' up': -6.1950545}
{' Down': -0.5061011, ' down': -1.403478, ' Up': -2.087932, ' up': -3.8938513, ' "': -5.4635406}
{' down': -0.3455079, ' Down': -1.6502812, ' up': -3.0236714, ' Up': -3.1453125, ' "': -4.927499}
{' down': -0.34156245, ' Down': -1.4195044, ' up': -3.7360897, ' Up': -3.9533403, ' "': -5.888975}
{' down': -0.82539403, ' up': -1.2208006, ' Up': -1.9918426, ' Down': -2.0658572, ' "': -5.9588833}
{' down': -0.24438992, ' Down': -1.5436682, 'down': -6.743213, ' "': -6.832034, ' up': -7.7454386}
{' Down': -0.6878517, ' down': -1.1713704, ' Up': -1.9384581, ' up': -3.7917163, ' "': -4.380305}
{' Down': -0.47861376, ' down': -1.0183324, 'down': -4.9083524, 'Down': -5.4345, ' Up': -5.7172766}
{' down': -0.64786726, ' Down': -0.78189653, 'down': -4.970413, 'Down': -5.661091, ' Up': -5.667246}
{' down': -0.6802047, ' Down': -1.1767849, ' Up': -2.1800253, ' up': -3.0670683, ' "': -4.0230355}
{' Down': -0.6496992, ' down': -0.7613192, ' "': -5.4887705, ' Up': -5.7772207, 'down': -6.250642}
{' Down': -0.7471222, ' down': -0.9407734, ' Up': -2.4272294, ' up': -3.2372344, ' "': -5.255057}
{' Down': -0.6995624, ' down': -1.3217204, ' Up': -1.7209399, ' up': -2.9509337, ' "': -5.785818}
{' Down': -0.5236316, ' down': -0.9237266, ' Up': -5.50868, ' "': -5.616838, 'down': -6.5810347}
{' down': -0.5097125, ' Down': -1.1387638, ' Up': -3.741812, 'down': -3.97695, ' up': -4.112499}
{' down': -0.5177544, ' Down': -1.0180463, 'down': -3.8621757, 'Down': -5.080155, ' Up': -5.09302}
{' down': -0.42624813, ' Down': -1.2090316, 'down': -3.6653779, 'Down': -4.9414515, ' up': -5.1826205}
{' down': -0.5444179, ' Down': -1.0000186, 'down': -4.0674186, ' Up': -4.270721, ' up': -4.890886}
{' Down': -0.5261451, ' down': -0.8947651, 'down': -8.26681, 'Down': -8.951224, ' "': -11.218272}
{' Up': -0.33697006, ' up': -1.2526901, ' UP': -8.750934, 'Up': -9.672933, ' "': -9.722857}
{' down': -0.53125834, ' Down': -0.8871486, 'down': -8.439259, 'Down': -9.489855, ' DOWN': -11.686752}
{' Up': -0.51455116, ' up': -0.91161925, ' UP': -8.155425, 'up': -10.271879, 'Up': -10.36529}
{' Down': -0.06516098, ' down': -2.7735348, 'Down': -7.899183, 'down': -8.337256, ' DOWN': -10.974623}
{' Up': -0.066397145, ' up': -2.7507632, 'Up': -8.666576, ' UP': -9.1049595, 'up': -9.884928}
{' Down': -0.13634221, ' down': -2.0642579, 'Down': -8.234391, 'down': -8.26258, ' "': -11.685374}
{' Up': -0.044383623, ' up': -3.1422842, 'Up': -9.105451, ' UP': -9.470187, 'up': -10.251315}
{' Down': -0.029883903, ' down': -3.55195, 'Down': -7.51476, 'down': -8.53226, ' DOWN': -11.193901}
{' Up': -0.027463445, ' up': -3.6240475, 'Up': -8.454889, ' UP': -9.070333, ' "': -10.000423}
{' Down': -0.07832998, ' down': -2.5958908, 'Down': -7.6737924, 'down': -8.21126, ' DOWN': -11.550193}
{' Up': -0.013261094, ' up': -4.3522005, 'Up': -8.815982, ' UP': -9.060761, 'up': -10.772937}
{' down': -0.408795, ' Down': -1.0940442, 'down': -7.7097006, 'Down': -8.591132, ' "': -10.47721}
{' up': -0.50202954, ' Up': -0.9310723, ' UP': -8.669491, 'up': -8.831797, ' "': -8.936691}
{' down': -0.22597426, ' Down': -1.6008524, 'down': -7.782651, 'Down': -9.256986, ' "': -11.635253}
{' up': -0.25447425, ' Up': -1.4950043, 'up': -8.67837, ' UP': -8.7284155, 'Up': -9.473493}
{' Down': -0.12899688, ' down': -2.13663, 'Down': -6.3220015, 'down': -6.864327, ' DOWN': -9.370573}
{' Up': -0.10134683, ' up': -2.3552663, 'Up': -7.2809863, ' UP': -7.605726, 'up': -8.493659}
{' Down': -0.18290795, ' down': -1.7996681, 'Down': -6.7405763, 'down': -7.454016, ' DOWN': -10.857803}
{' Up': -0.048220158, ' up': -3.0784533, 'Up': -7.521506, ' UP': -7.9706173, 'up': -8.979727}
{' Down': -0.026726032, ' down': -3.6470702, 'Down': -8.6931, 'down': -9.087847, ' DOWN': -11.220576}
{' Up': -0.010923306, ' up': -4.5450535, ' UP': -8.781812, 'Up': -9.687892, ' "': -10.975285}
{' Down': -0.058919773, ' down': -2.8665385, 'Down': -8.725039, 'down': -8.889793, ' DOWN': -11.819391}
{' Up': -0.015670454, ' up': -4.180921, ' UP': -8.681867, 'Up': -9.668926, 'up': -10.809064}
{' Down': -0.21277015, ' down': -1.7198694, 'Down': -4.953193, 'down': -5.218345, ' DOWN': -10.112027}
{' Up': -0.40014717, ' up': -1.1298721, 'Up': -5.6277394, 'up': -6.181217, ' UP': -7.120117}
{' Down': -0.3546569, ' down': -1.2666212, 'down': -4.753493, 'Down': -4.818398, ' ': -9.7101755}
{' Up': -0.184492, ' up': -1.8249204, 'Up': -5.4928374, 'up': -6.229541, ' UP': -6.9449644}
{' Down': -0.14866978, ' down': -1.9825531, 'Down': -8.282084, 'down': -8.737433, ' DOWN': -11.594123}
{' Up': -0.10913122, ' up': -2.2752879, ' UP': -7.6877904, 'Up': -9.021011, 'up': -10.347368}
{' Down': -0.09566763, ' down': -2.398238, 'Down': -8.460255, 'down': -9.266037, ' DOWN': -10.225775}
{' Up': -0.1748402, ' up': -1.8406612, ' UP': -6.493951, 'Up': -9.028821, 'up': -10.24755}
{' Down': -0.16820912, ' down': -1.8736438, 'Down': -7.4318047, 'down': -7.449296, ' "': -9.63789}
{' Up': -0.023924801, ' up': -3.7558048, 'Up': -8.884432, ' UP': -9.392368, 'up': -10.643264}
{' Down': -0.05572136, ' down': -2.9318826, 'Down': -7.4104896, 'down': -8.300482, ' DOWN': -10.437928}
{' Up': -0.06679189, ' up': -2.747204, 'Up': -8.331572, ' UP': -8.650942, 'up': -9.610901}
{' Down': -0.13597341, ' down': -2.082974, 'Down': -6.5151715, 'down': -6.929384, ' "': -9.745073}
{' Up': -0.018452113, ' up': -4.0382404, ' UP': -8.123508, 'Up': -8.130639, 'up': -10.19521}
{' Down': -0.062183015, ' down': -2.8380082, 'Down': -6.7536073, 'down': -7.758918, ' "': -9.394942}
{' Up': -0.061880752, ' up': -2.8256958, ' UP': -7.9107423, 'Up': -8.223797, 'up': -9.880991}
{' down': -0.35005304, ' Down': -1.222398, 'down': -7.596846, 'Down': -8.450263, ' "': -9.285836}
{' Up': -0.5658583, ' up': -0.84019804, ' UP': -8.550391, 'Up': -8.889869, 'up': -9.152753}
{' Down': -0.5634075, ' down': -0.8453308, 'down': -7.405372, 'Down': -7.4654956, ' "': -9.644512}
{' Up': -0.5417857, ' up': -0.8747362, ' UP': -7.2049894, 'Up': -8.237675, 'up': -8.413058}
{' Down': -0.15967406, ' down': -1.9482713, 'Down': -5.8373227, 'down': -6.2001233, ' DOWN': -9.471321}
{' Up': -0.03954174, ' up': -3.3214667, ' UP': -6.480282, 'Up': -6.988603, 'up': -8.667868}
{' Down': -0.0804512, ' down': -2.6218617, 'Down': -5.6988096, 'down': -6.886973, ' DOWN': -8.45012}
{' Up': -0.09765805, ' up': -2.4144552, ' UP': -6.206626, 'Up': -6.6904845, 'up': -8.182438}
{' Down': -0.08836264, ' down': -2.479779, 'Down': -7.8032193, 'down': -7.993708, ' "': -10.034334}
{' Up': -0.01299458, ' up': -4.388202, ' UP': -7.9898043, 'Up': -9.13382, 'up': -10.900904}
{' Down': -0.023938663, ' down': -3.7732594, 'Down': -7.7089205, 'down': -8.725341, ' DOWN': -10.212834}
{' Up': -0.028015155, ' up': -3.6485746, ' UP': -6.6616726, 'Up': -8.369954, 'up': -9.993476}
{' Down': -0.43973324, ' down': -1.1039808, 'down': -4.403213, 'Down': -4.4553027, ' ': -8.475394}
{' Up': -0.12924644, ' up': -2.1683261, 'Up': -5.578079, ' UP': -6.4385586, 'up': -6.6672883}
{' Down': -0.26226017, ' down': -1.5755726, 'Down': -4.3331504, 'down': -4.593452, ' DOWN': -7.9748983}
{' Up': -0.18803863, ' up': -1.852, 'Up': -4.7394223, ' UP': -5.8779683, 'up': -6.0985804}
{' Down': -0.5737896, ' down': -0.911274, ' Up': -4.0384593, ' up': -4.140175, 'down': -7.669691}
{' up': -0.6455476, ' Up': -0.8094938, ' down': -4.134874, ' Down': -4.284244, ' UP': -8.472264}
{' down': -0.24044298, ' Down': -1.5879542, ' up': -5.177914, ' Up': -5.924664, 'down': -7.388596}
{' up': -0.5784079, ' Up': -1.090718, ' down': -2.8264873, ' Down': -3.140578, ' UP': -8.356119}
{' Down': -0.08144925, ' down': -2.5670583, 'Down': -7.5758047, 'down': -7.604894, ' Up': -8.066922}
{' Up': -0.066962555, ' up': -2.9024534, ' Down': -4.7711515, ' down': -7.468721, ' "': -8.014974}
{' Down': -0.17661226, ' down': -1.8330072, ' Up': -7.2803583, 'down': -7.490443, 'Down': -7.8330927}
{' Up': -0.4250321, ' Down': -1.3330121, ' up': -2.8488638, ' down': -3.7420733, ' "': -8.016136}
{' Down': -0.060905155, ' down': -2.876491, 'Down': -6.906659, 'down': -7.0927057, ' Up': -7.3475695}
{' Up': -0.18410258, ' Down': -2.0514138, ' up': -3.5261223, ' down': -4.8173766, ' "': -6.83116}
{' Down': -0.10389908, ' down': -2.3502712, ' Up': -6.597044, 'down': -7.0748196, 'Down': -7.288534}
{' Up': -0.22270761, ' Down': -1.8955611, ' up': -3.234924, ' down': -4.765863, ' "': -7.4247446}
{' down': -0.41117564, ' Down': -1.1108522, ' up': -5.436639, ' Up': -6.231276, 'down': -6.9367833}
{' up': -0.5442595, ' Up': -0.9399275, ' down': -4.053626, ' Down': -4.587268, ' "': -7.013995}
{' down': -0.22548485, ' Down': -1.6567765, ' up': -5.002304, ' Up': -5.876856, 'down': -7.148868}
{' up': -0.38438663, ' Up': -1.2709147, ' down': -3.6635194, ' Down': -4.419453, ' "': -7.954418}
{' Down': -0.28157118, ' down': -1.454707, 'down': -5.199187, 'Down': -5.806891, ' Up': -6.2271776}
{' Up': -0.3519573, ' Down': -2.0114727, ' up': -2.0974808, ' down': -3.3723943, 'up': -6.5889926}
{' Down': -0.38675767, ' down': -1.182309, ' Up': -4.9018693, 'down': -5.7886796, ' up': -6.4355335}
{' Up': -0.6467232, ' Down': -1.3622841, ' up': -2.013783, ' down': -2.5001512, 'up': -6.7203717}
{' Down': -0.055257775, ' down': -2.93618, 'down': -8.22462, ' Up': -8.630052, 'Down': -8.645368}
{' Up': -0.029764831, ' up': -3.673922, ' Down': -5.6883373, ' down': -8.773354, ' UP': -8.800884}
{' Down': -0.1463637, ' down': -2.000253, 'down': -7.961961, ' Up': -8.476409, 'Down': -8.779202}
{' Up': -0.06452808, ' up': -2.9424117, ' Down': -4.7360635, ' down': -7.32415, ' UP': -9.046259}
{' down': -0.55585104, ' Down': -1.0208799, ' up': -3.6986542, ' Up': -3.9042528, 'down': -4.174856}
{' down': -0.38024867, ' Down': -1.4563843, ' up': -3.2645676, ' Up': -3.5815003, 'down': -4.391025}
{' down': -0.5761469, ' Down': -0.92753583, ' Up': -4.2432117, 'down': -4.3313828, ' up': -4.554779}
{' Down': -0.6942582, ' down': -0.7988247, ' Up': -4.0859075, ' up': -4.2149243, 'down': -4.3824525}
{' Up': -0.4391817, ' up': -1.0403838, ' down': -7.266658, ' "': -7.411708, ' Down': -7.5206137}
{' down': -0.38494095, ' Down': -1.1438826, 'down': -7.6513615, ' up': -8.689075, ' Up': -9.137425}
{' up': -0.2900242, ' Up': -1.381945, 'up': -8.174778, ' down': -8.68751, ' UP': -9.206221}
{' down': -0.1322193, ' Down': -2.092554, 'down': -7.877559, ' "': -9.726635, 'Down': -10.412285}
{' Up': -0.034327872, ' up': -3.435544, ' Down': -7.444278, ' "': -7.6530275, 'Up': -8.397531}
{' Down': -0.111711785, ' down': -2.2592034, 'down': -7.522267, 'Down': -7.559101, ' Up': -9.347319}
{' Up': -0.107564606, ' up': -2.2892623, 'up': -8.526337, 'Up': -8.561785, ' UP': -8.988319}
{' Down': -0.311991, ' down': -1.3228133, 'down': -6.7807903, 'Down': -7.766411, ' "': -10.159195}
{' Up': -0.023667647, ' up': -3.9567957, ' Down': -5.9278626, ' "': -7.095305, ' down': -8.239413}
{' Down': -0.05450318, ' down': -2.9681554, 'Down': -6.9683824, 'down': -7.6109376, ' "': -8.942125}
{' Up': -0.028320892, ' up': -3.6104681, 'Up': -8.189148, ' Down': -8.619401, ' "': -8.839251}
{' Down': -0.10740454, ' down': -2.3022306, 'Down': -7.0374937, 'down': -7.107952, ' "': -9.597573}
{' Up': -0.5249462, ' up': -0.9102937, ' down': -6.0243964, ' "': -6.4026675, ' Down': -6.584768}
{' down': -0.6408242, ' Down': -0.7545155, 'down': -7.1610513, ' Up': -7.245021, ' up': -7.4298525}
{' up': -0.35223466, ' Up': -1.2167538, 'up': -7.908944, ' UP': -8.844527, 'Up': -9.181941}
{' down': -0.20187101, ' Down': -1.7052011, 'down': -7.0911856, 'Down': -8.925088, ' "': -9.437779}
{' Up': -0.018401906, ' up': -4.318105, ' Down': -6.1300144, ' "': -6.3981543, 'Up': -7.5228205}
{' Down': -0.05030156, ' down': -3.0794706, 'Down': -6.2968335, 'down': -7.1156187, ' "': -7.9892144}
{' Up': -0.018618302, ' up': -4.0870385, ' Down': -7.2001524, 'Up': -7.5567365, 'up': -8.861954}
{' Down': -0.09348178, ' down': -2.4506996, 'Down': -6.4492536, 'down': -6.801957, ' Up': -8.5957365}
{' Up': -0.015557179, ' up': -4.232768, ' "': -7.566666, ' Down': -8.470405, ' UP': -9.275634}
{' Down': -0.04283088, ' down': -3.1845465, 'Down': -8.588416, 'down': -8.763709, ' "': -8.873179}
