{' Yes': -0.023977548, ' No': -3.916216, 'Yes': -5.6816344, ' The': -8.715471, 'No': -9.452027}
{' Yes': -0.0051214285, ' No': -5.7452254, 'Yes': -6.303768, ' yes': -10.172022, ' The': -11.417325}
{' Yes': -0.003229607, 'Yes': -6.3007164, ' No': -6.674345, ' The': -9.619276, ' yes': -10.4933605}
{' No': -0.091155745, ' Yes': -2.5175586, 'No': -5.333694, ' Not': -7.356935, ' The': -8.025697}
{' Yes': -0.002456479, 'Yes': -6.170339, ' The': -8.533554, ' No': -9.283619, ' yes': -9.822353}
{' No': -0.055764217, ' Yes': -2.9991522, 'No': -5.5829206, ' Not': -7.904845, 'Yes': -8.83743}
{' False': -0.010184975, 'False': -5.0980544, ' No': -5.548738, 'No': -9.110701, ' ': -10.959931}
{' No': -0.010205872, 'No': -4.600204, ' Yes': -9.5820265, ' ': -11.496183, ' Not': -11.611217}
{' Yes': -0.007695146, 'Yes': -5.694823, ' Rain': -6.0216856, ' No': -6.5595922, ' The': -8.392371}
{' Yes': -0.09342322, ' No': -2.4797337, 'Yes': -5.497651, 'No': -6.9866166, ' Rain': -8.738202}
{' No': -0.0045414167, 'No': -5.5547194, ' Yes': -7.9057446, ' ': -9.420555, ' Not': -9.423561}
{' No': -0.0048237154, 'No': -5.34271, ' Unfortunately': -11.590289, ' ': -11.635277, ' Not': -12.213569}
{' No': -0.13902786, ' Yes': -2.083627, 'No': -5.5376315, ' Not': -7.5334797, 'Yes': -7.690376}
{' Yes': -0.19613028, ' No': -1.7368636, 'Yes': -6.5716486, 'No': -7.9036136, ' The': -9.375332}
{' No': -0.50477606, ' Yes': -0.93330574, 'No': -6.4479594, 'Yes': -7.2957187, ' The': -7.643058}
{' No': -0.35072953, ' Yes': -1.2296091, 'No': -6.1995625, 'Yes': -7.4038644, ' The': -7.621123}
{' Yes': -0.038890243, ' No': -3.327676, 'Yes': -6.237296, 'No': -8.912774, ' The': -9.1139555}
{' Yes': -0.0013384961, 'Yes': -7.1097503, ' No': -7.7240477, ' The': -10.16203, ' yes': -10.764346}
{' Yes': -0.4882809, ' No': -0.9609449, 'Yes': -6.4097075, 'No': -6.552772, ' Not': -7.9113455}
{' No': -0.62304026, ' Yes': -0.7756148, 'No': -6.67697, 'Yes': -7.1110373, ' Not': -7.543147}
{' Yes': -0.0012737405, 'Yes': -6.71453, ' yes': -10.262609, ' The': -11.57063, ' No': -12.42633}
{' Yes': -0.015962766, ' No': -4.363762, 'Yes': -5.8755226, ' The': -9.475449, ' Land': -9.711866}
{' Yes': -0.0037338908, ' No': -6.588132, ' The': -6.7199273, 'Yes': -6.894299, ' yes': -9.642743}
{' Yes': -0.003745437, ' No': -6.106788, 'Yes': -6.68872, ' The': -8.595062, ' yes': -10.3929405}
{' No': -0.0036938668, 'No': -5.743325, ' Yes': -7.8916945, ' Not': -9.402791, ' ': -11.174766}
{' Yes': -0.065016516, ' No': -2.8185298, 'Yes': -6.036806, ' The': -8.073642, 'No': -8.166912}
{' Yes': -0.0061831945, ' No': -5.7663946, 'Yes': -6.1970315, ' Tw': -8.229901, ' Not': -8.540533}
{' Yes': -0.0017905312, 'Yes': -6.4993024, ' No': -9.286632, ' yes': -9.826852, ' Sure': -10.329064}
{' Yes': -0.0041757575, 'Yes': -6.1407475, ' No': -6.2535353, ' The': -10.14344, ' yes': -10.453756}
{' Yes': -0.03940204, ' No': -3.2877786, 'Yes': -6.7348995, 'No': -9.578169, ' yes': -10.601702}
{' Yes': -0.0057800673, ' No': -5.5495973, 'Yes': -6.349282, ' yes': -10.17089, ' The': -10.2242985}
{' Yes': -0.0017155951, 'Yes': -6.4644423, ' No': -9.302333, ' yes': -10.51087, ' The': -10.689371}
{' Yes': -0.0028219882, ' No': -6.4294844, 'Yes': -6.785985, ' The': -10.351249, ' yes': -10.439065}
{' Yes': -0.030026449, ' No': -3.5942447, 'Yes': -6.4049463, ' The': -8.13366, 'No': -9.545907}
{' Yes': -0.20573509, ' No': -1.6933507, 'Yes': -6.616516, 'No': -7.771246, ' The': -8.6352825}
{' Yes': -0.27393752, ' No': -1.4402928, 'Yes': -6.362431, 'No': -7.248322, ' Not': -9.201637}
{' Yes': -0.005432713, ' No': -5.731207, 'Yes': -6.1967316, ' The': -9.724226, ' Not': -10.795364}
{' Yes': -0.0022284933, 'Yes': -6.187167, ' No': -9.142057, ' yes': -10.480093, '\n': -11.384036}
{' No': -0.21183598, ' Yes': -1.6840707, 'No': -5.8975277, ' Unfortunately': -7.0582976, ' Not': -7.251449}
{' Yes': -0.3800011, ' No': -1.166525, 'Yes': -6.152376, 'No': -6.487392, ' Not': -7.4096007}
{' Yes': -0.0024821737, 'Yes': -6.5602784, ' No': -6.975522, ' The': -9.249661, ' yes': -11.310877}
{' Yes': -0.005840259, 'Yes': -5.286361, ' No': -7.2715335, ' The': -10.666749, ' ': -11.129098}
{' Yes': -0.55588263, ' No': -0.85810953, 'Yes': -6.766597, 'No': -6.8183465, ' The': -9.698892}
{' No': -0.24283455, ' Yes': -1.5435089, 'No': -6.5635304, 'Yes': -8.107569, ' Not': -8.892044}
{' Yes': -0.2885266, ' No': -1.3972187, 'Yes': -6.6085973, ' Lion': -6.8217697, 'No': -7.120233}
{' Yes': -0.14696199, ' No': -2.0054615, 'Yes': -6.4835076, 'No': -7.9121666, ' The': -8.889915}
{' Yes': -0.018943539, ' No': -4.1912494, 'Yes': -5.893989, ' The': -7.4003863, 'No': -9.672806}
{' Yes': -0.0057189185, ' No': -5.57009, 'Yes': -6.362858, ' The': -9.715012, ' yes': -9.7540455}
{' Yes': -0.0031767478, 'Yes': -5.804993, ' The': -9.120481, ' No': -10.979487, ' yes': -11.061867}
{' Yes': -0.0027247411, 'Yes': -6.42525, ' No': -7.0160837, ' The': -9.423148, ' Want': -9.583529}
{' Yes': -0.0115136625, ' No': -4.673526, 'Yes': -6.2313843, 'No': -10.254191, ' The': -10.298177}
{' Yes': -0.08961133, ' No': -2.5136054, 'Yes': -5.688063, 'No': -7.3903484, ' Wind': -7.437656}
{' Yes': -0.17400849, ' No': -1.8533813, 'Yes': -6.2284493, 'No': -7.2741127, ' The': -8.661712}
{' Yes': -0.0012021872, 'Yes': -6.892964, ' No': -9.190264, ' The': -10.175196, ' yes': -10.439146}
{' No': -0.029738367, 'No': -3.7871082, ' Yes': -5.111827, ' Hate': -8.735131, 'Yes': -8.948583}
{' Yes': -0.4599239, ' No': -1.0069591, 'Yes': -6.4885774, 'No': -6.660542, ' The': -8.370561}
{' No': -0.018802134, ' Yes': -4.128837, 'No': -6.0451365, 'Yes': -10.049531, ' Not': -10.183274}
{' Yes': -0.047808327, ' No': -3.0970654, 'Yes': -6.64004, 'No': -9.219471, ' The': -10.300682}
{' Yes': -0.0017684392, 'Yes': -6.5407047, ' No': -8.56464, ' The': -9.461288, ' yes': -10.427134}
{' Yes': -0.03157975, ' No': -3.5291686, 'Yes': -6.457832, 'No': -8.973432, ' yes': -10.801769}
{' Yes': -0.0099407155, ' No': -4.8874373, 'Yes': -6.101228, 'No': -10.42498, ' The': -10.514983}
{' Yes': -0.012644473, ' No': -4.441254, 'Yes': -7.306475, ' yes': -10.047932, 'No': -10.751707}
{' Yes': -0.0018360324, 'Yes': -6.345599, ' The': -10.172303, ' yes': -11.047715, ' No': -11.548754}
{' No': -0.6877175, ' Yes': -0.70512205, 'No': -6.5409527, 'Yes': -6.943266, ' The': -8.100113}
{' Yes': -0.015635034, ' No': -4.493796, 'Yes': -5.622053, ' The': -7.60812, 'No': -9.578297}
{' Yes': -0.0048476723, 'Yes': -6.0055685, ' No': -6.124766, ' The': -9.577062, ' yes': -10.079837}
{' Yes': -0.014378276, ' No': -4.3147874, 'Yes': -7.1473665, ' The': -9.831567, 'No': -11.13052}
{' Yes': -0.08288935, ' No': -2.558193, 'Yes': -6.3400226, 'No': -8.707254, ' Not': -9.817405}
{' No': -0.04907721, ' Yes': -3.097703, 'No': -6.0263395, 'Yes': -9.1988735, ' The': -9.206331}
{' Yes': -0.60346085, ' No': -0.81772095, 'No': -5.5530934, 'Yes': -5.6778355, ' So': -5.7023873}
{' Yes': -0.06454846, ' No': -2.804878, 'Yes': -6.383947, 'No': -8.573397, ' The': -10.29755}
{' Yes': -0.0023269453, 'Yes': -6.135103, ' No': -9.5196, ' The': -9.829953, ' yes': -11.089897}
{' No': -0.006796921, 'No': -5.196824, ' Yes': -6.7133894, ' Not': -11.410712, 'Yes': -11.992621}
{' Yes': -0.10714716, ' No': -2.328632, 'Yes': -5.640518, 'No': -7.7109313, ' The': -9.528758}
{' No': -0.1608051, ' Yes': -1.9303135, 'No': -5.9246297, 'Yes': -7.834301, ' The': -8.379032}
{' Yes': -0.003165566, 'Yes': -6.1348276, ' No': -7.0043683, ' The': -10.271678, ' yes': -10.629294}
{' Yes': -0.016661001, ' No': -4.2860317, 'Yes': -5.948353, ' The': -9.905354, 'No': -9.982706}
{' Yes': -0.031942375, ' No': -3.5072842, 'Yes': -6.6110797, 'No': -10.049068, ' The': -10.597785}
{' No': -0.36099035, ' Yes': -1.2047211, 'No': -6.204393, 'Yes': -7.017778, ' Not': -8.9585285}
{' No': -0.19747235, ' Yes': -1.7392051, 'No': -5.9709854, 'Yes': -7.6356125, ' Not': -8.038875}
{' Yes': -0.0015440708, 'Yes': -6.861098, ' No': -7.6753197, ' yes': -11.074363, ' ': -12.216977}
{' Yes': -0.008873396, ' No': -4.909367, 'Yes': -6.6710453, ' The': -8.886465, ' yes': -10.637648}
{' Yes': -0.014921906, ' No': -4.366236, 'Yes': -6.2243505, 'No': -10.069883, ' yes': -10.625734}
{' Yes': -0.13846909, ' No': -2.0758374, 'Yes': -5.833411, 'No': -7.341088, ' The': -8.820256}
{' Yes': -0.015468373, ' No': -4.3227, 'Yes': -6.446264, ' The': -8.560739, ' Pain': -8.56397}
{' Yes': -0.06849511, ' No': -2.7391074, 'Yes': -6.7087455, 'No': -8.8252535, ' The': -9.153011}
{' Yes': -0.4053603, ' No': -1.1065513, 'Yes': -6.6678743, 'No': -7.114592, ' The': -8.201676}
{' No': -0.022230653, 'No': -3.8180943, ' ': -11.817864, ' Not': -12.302193, ' Nope': -13.321256}
{' Yes': -0.2246831, ' No': -1.642072, 'Yes': -5.6073084, ' The': -6.176223, 'No': -6.68966}
{' Yes': -0.592986, ' No': -0.8150376, 'Yes': -6.0186105, 'No': -6.2939725, ' Not': -8.355938}
{' Yes': -0.008084728, ' Dive': -5.302026, 'Yes': -6.1408606, ' No': -7.175391, ' yes': -9.706105}
{' No': -0.18409884, ' Yes': -1.8234286, 'No': -5.2879806, 'Yes': -6.6663027, ' Dive': -8.62927}
{' Yes': -0.0052249595, 'Yes': -5.273293, ' The': -10.807545, ' yes': -10.89, ' Sure': -11.162634}
{' Yes': -0.0018323312, 'Yes': -6.352164, ' No': -10.022117, ' yes': -10.634845, ' ': -11.682248}
{' Yes': -0.003547901, 'Yes': -5.6953716, ' No': -9.967455, ' Bush': -10.044855, ' yes': -10.324741}
{' Yes': -0.0026805159, 'Yes': -6.5040536, ' No': -6.9047832, ' Bush': -9.574283, ' The': -10.28877}
{' Yes': -0.14636207, ' No': -2.014383, 'Yes': -6.353463, 'No': -7.578556, ' The': -8.316816}
{' Yes': -0.014424473, ' No': -4.410989, 'Yes': -6.5309343, ' Near': -8.292477, ' The': -8.736276}
{' No': -0.053816136, ' Yes': -3.042883, 'No': -5.4662933, ' The': -8.707806, 'Yes': -8.707858}
{' Yes': -0.04157545, ' No': -3.2838488, 'Yes': -5.7890253, 'No': -9.2317, ' ': -10.242255}
{' Yes': -0.0020206855, 'Yes': -6.253039, ' No': -9.9411745, ' yes': -10.621134, ' The': -11.177563}
{' Yes': -0.0021023941, 'Yes': -6.2363625, ' No': -9.491232, ' The': -10.286322, ' yes': -10.84527}
{' No': -0.03747773, 'No': -3.3867455, ' Not': -5.8713818, ' Unfortunately': -9.155081, ' Nope': -11.363784}
{' No': -0.0072583305, 'No': -5.3436723, ' Unfortunately': -6.7040033, ' Yes': -7.1752787, ' Not': -8.251996}
{' No': -0.13850948, ' Yes': -2.0704954, 'No': -5.9361815, 'Yes': -8.233293, ' The': -8.882346}
{' No': -0.04724753, ' Yes': -3.1372933, 'No': -6.016777, 'Yes': -9.275047, ' Nope': -9.552666}
{' No': -0.00391644, 'No': -5.7062244, ' Yes': -8.282885, ' Unfortunately': -8.458759, ' Not': -9.984257}
{' No': -0.011416532, ' Yes': -5.1598787, 'No': -5.230403, ' Not': -9.218264, ' The': -9.85269}
{' Yes': -0.015367893, ' No': -4.35035, 'Yes': -6.116066, 'No': -9.853483, ' Milk': -10.756454}
{' Yes': -0.58498245, ' No': -0.8238474, 'No': -6.4272237, 'Yes': -6.5453196, ' The': -7.460202}
{' No': -0.6763203, ' Yes': -0.7206795, 'No': -5.960042, 'Yes': -6.4082403, ' Not': -7.656316}
{' Yes': -0.03779245, ' No': -3.3686693, 'Yes': -6.138006, ' The': -8.509287, 'No': -8.963915}
{' Yes': -0.0030523234, ' No': -6.4612637, 'Yes': -6.575777, ' The': -9.985533, ' yes': -10.642408}
{' Yes': -0.042214032, ' No': -3.2451708, 'Yes': -6.196158, 'No': -8.805414, ' The': -9.187969}
{' Yes': -0.0022531073, 'Yes': -6.1276765, ' No': -10.390795, ' yes': -10.828178, ' YES': -12.018683}
{' Yes': -0.002870108, 'Yes': -5.8723803, ' yes': -10.439151, ' YES': -11.583033, ' ': -12.350946}
{' Yes': -0.027800204, ' No': -3.6395175, 'Yes': -6.828747, 'No': -10.329548, ' yes': -10.833958}
{' Yes': -0.06818149, ' No': -2.749715, 'Yes': -6.470615, 'No': -8.709069, ' The': -9.333919}
{' Yes': -0.005140897, ' No': -5.9494457, 'Yes': -6.128845, ' The': -9.257998, ' yes': -9.267198}
{' Yes': -0.013396698, ' No': -4.608154, 'Yes': -6.5469103, ' The': -6.694286, ' Too': -7.730388}
{' No': -0.09029472, ' Yes': -2.4987857, 'No': -6.2202115, ' The': -6.8211956, ' Unfortunately': -7.7725816}
{' Yes': -0.017264938, ' No': -4.197643, 'Yes': -6.2447104, ' The': -9.676754, 'No': -10.258893}
{' Yes': -0.0022927136, 'Yes': -6.700451, ' No': -6.9272995, ' yes': -10.394831, ' The': -10.612335}
{' Yes': -0.0019228623, 'Yes': -6.3028827, ' yes': -10.103319, ' No': -10.891304, ' ': -11.29241}
{' No': -0.6864325, ' Yes': -0.70778143, 'No': -6.1786485, 'Yes': -6.5385475, ' Not': -8.647505}
{' Yes': -0.008171198, ' No': -5.4992905, 'Yes': -5.6121707, ' The': -8.477495, ' Last': -9.9123}
{' No': -0.007564093, ' Yes': -5.375585, 'No': -5.970531, ' Not': -8.774447, ' Door': -9.302215}
{' No': -0.008736296, 'No': -5.7023225, ' Yes': -5.8618894, ' Door': -6.0810533, ' ': -9.191962}
{' No': -0.36171988, ' Yes': -1.2053363, 'No': -6.302087, 'Yes': -6.5524797, ' The': -7.807988}
{' Yes': -0.675004, ' No': -0.71931744, 'Yes': -6.1720014, 'No': -6.8781857, ' The': -7.8894377}
{' Yes': -0.3911828, ' No': -1.135829, 'Yes': -6.5374436, 'No': -7.128865, ' The': -8.727518}
{' Yes': -0.06048993, ' No': -2.8971882, 'Yes': -5.857887, ' The': -8.301259, 'No': -8.456295}
{' Yes': -0.0073570367, ' No': -5.1820507, 'Yes': -6.4456897, ' yes': -10.124075, ' The': -10.363661}
{' Yes': -0.2542752, ' No': -1.5048398, 'Yes': -6.523049, 'No': -7.354752, ' The': -8.376502}
{' Yes': -0.0035443145, ' No': -6.147949, 'Yes': -6.608526, ' yes': -11.038595, ' Not': -11.056633}
{' Yes': -0.0023970287, ' No': -6.604345, 'Yes': -6.927734, ' yes': -10.993329, ' The': -11.200719}
{' Yes': -0.69754153, ' No': -0.69864196, ' Most': -6.139306, 'No': -6.5092287, 'Yes': -6.898402}
{' Yes': -0.05337272, ' No': -3.3448744, ' Most': -4.218562, 'Yes': -6.3988614, ' The': -9.263348}
{' Yes': -0.005216332, ' No': -5.839205, 'Yes': -6.164882, ' The': -9.056191, ' yes': -10.603322}
{' Yes': -0.001580606, 'Yes': -7.099263, ' No': -7.2722964, ' yes': -10.09006, '\n': -12.1519375}
{' No': -0.5052665, ' Yes': -0.9343799, 'No': -6.257391, 'Yes': -6.8088317, ' Not': -8.204302}
{' Yes': -0.21529073, ' No': -1.6631628, 'Yes': -5.8731422, 'No': -7.1053925, ' The': -8.362068}
{' Yes': -0.008626269, ' No': -4.9137144, 'Yes': -6.8842664, ' The': -9.443191, ' Not': -9.664388}
{' Yes': -0.0026482414, 'Yes': -6.5705266, ' No': -6.7499895, ' yes': -10.773795, ' The': -10.836039}
{' No': -0.57430464, ' Yes': -0.8376275, 'No': -5.9306755, 'Yes': -6.6392403, ' Not': -9.760019}
{' Yes': -0.008983631, ' No': -5.1062846, 'Yes': -5.904569, ' The': -9.5536995, 'No': -10.435047}
{' No': -0.026711833, ' Yes': -3.8432305, 'No': -5.3753576, ' Not': -8.62244, 'Yes': -9.613364}
{' No': -0.30756184, ' Yes': -1.3510361, 'No': -5.6961555, ' Not': -6.616388, 'Yes': -7.312048}
{' Yes': -0.01664076, ' No': -4.297824, 'Yes': -5.885615, 'No': -9.98085, ' The': -10.0870905}
{' Yes': -0.0021314237, 'Yes': -6.179087, ' yes': -10.64465, ' No': -11.223172, ' The': -11.235516}
{' Yes': -0.16217509, ' No': -1.9323376, 'Yes': -6.0086064, ' The': -6.841109, 'No': -7.229283}
{' Yes': -0.010446705, ' No': -4.848549, 'Yes': -6.0388317, ' yes': -9.983849, 'No': -10.523676}
{' No': -0.06607381, ' Yes': -2.7677357, 'No': -6.896476, 'Yes': -9.443662, ' The': -10.899367}
{' Yes': -0.0053761424, ' No': -5.480735, 'Yes': -6.8244085, ' The': -9.566963, ' yes': -11.151638}
{' Yes': -0.00479263, 'Yes': -5.950074, ' No': -6.145919, ' yes': -11.310322, 'No': -11.493135}
{' Yes': -0.0065135276, 'Yes': -5.725034, ' No': -5.759424, ' yes': -10.455228, ' The': -10.799584}
{' No': -0.23356557, ' Yes': -1.5921317, 'No': -5.921859, ' The': -6.9341288, 'Yes': -7.1965213}
{' No': -0.3461008, ' Yes': -1.2470789, 'No': -5.5546675, 'Yes': -6.7019486, ' The': -10.361042}
{' Yes': -0.6474986, ' No': -0.7467476, 'No': -6.6183743, 'Yes': -6.7272468, ' Not': -9.500263}
{' No': -0.041178983, ' Yes': -3.4126537, 'No': -4.960384, 'Yes': -8.234408, ' Not': -9.79346}
{' No': -0.59623986, ' Yes': -0.80736434, 'No': -6.3293366, 'Yes': -6.9596562, ' The': -8.573249}
{' Yes': -0.6549191, ' No': -0.7404465, 'No': -6.2934856, 'Yes': -6.6298103, ' The': -8.272001}
{' No': -0.64196974, ' Yes': -0.7542611, 'No': -6.3904934, 'Yes': -6.4775143, ' The': -9.348484}
{' Yes': -0.6613114, ' No': -0.7397207, 'No': -5.891343, 'Yes': -6.178355, ' Unfortunately': -7.3982954}
{' Yes': -0.0037070895, 'Yes': -6.2653685, ' No': -6.3623385, ' The': -10.430804, ' yes': -11.045758}
{' Yes': -0.004061742, ' No': -5.937089, 'Yes': -6.8456774, ' The': -8.138754, ' yes': -10.835286}
{' Yes': -0.0013783661, 'Yes': -6.717992, ' The': -9.5646925, ' yes': -9.867593, ' No': -10.203792}
{' Yes': -0.0061683776, ' No': -5.564485, 'Yes': -6.1438975, ' yes': -9.203811, ' The': -10.795806}
{' No': -0.28620625, ' Yes': -1.42389, 'No': -5.1926203, 'Yes': -6.305001, ' The': -7.7943077}
{' Yes': -0.009106328, ' No': -5.3861203, 'Yes': -5.4534993, ' The': -9.552788, ' ': -10.057302}
{' No': -0.023364183, 'No': -4.00373, ' Yes': -5.3780007, ' The': -9.529643, 'Yes': -9.677748}
{' Yes': -0.342388, ' No': -1.25778, 'Yes': -5.81143, 'No': -6.235058, ' The': -7.822723}
{' No': -0.18274292, ' Yes': -2.154724, 'No': -3.101492, 'Yes': -5.267727, ' ': -7.964039}
{' Yes': -0.34054336, ' No': -1.2685124, 'Yes': -5.530908, 'No': -5.9518404, ' Not': -8.186137}
{' No': -0.019113699, 'No': -4.106333, ' Yes': -6.479833, ' Unfortunately': -7.426712, ' Not': -8.687765}
{' Yes': -0.5040927, ' No': -0.95135635, 'No': -5.309085, 'Yes': -5.469287, ' The': -7.9803796}
{' Yes': -0.4628445, ' No': -1.0626675, 'Yes': -4.3389716, 'No': -4.6328807, ' Wife': -6.3617525}
{' No': -0.028920012, ' Yes': -3.9306896, 'No': -4.7595544, 'Yes': -8.927101, ' ': -9.92967}
{' Yes': -0.03709241, ' No': -3.4573803, 'Yes': -5.435894, 'No': -8.239832, ' yes': -9.519873}
{' Yes': -0.41017836, ' No': -1.1060916, 'Yes': -5.8885026, 'No': -6.0785646, ' The': -8.366376}
{' No': -0.28906396, ' Yes': -1.8022876, 'No': -2.5983157, 'Yes': -4.589359, ' The': -7.5029554}
{' No': -0.56809694, ' Yes': -0.8757486, 'No': -4.4284024, 'Yes': -5.450864, ' Duck': -8.432388}
{' Yes': -0.031364653, ' No': -3.6150112, 'Yes': -5.625393, 'No': -8.416561, ' The': -9.952927}
{' No': -0.113850534, 'No': -2.2397947, ' Impossible': -8.13027, ' Yes': -8.679693, ' Not': -8.741857}
{' Yes': -0.06950369, ' No': -2.7462766, 'Yes': -5.9509788, 'No': -8.550411, ' yes': -9.54602}
{' Yes': -0.6978764, ' No': -0.71104866, 'No': -5.320095, 'Yes': -5.763218, ' Not': -6.089693}
{' Yes': -0.06094494, ' No': -2.9401906, 'Yes': -5.166446, 'No': -7.770667, ' The': -9.952567}
{' Yes': -0.029797744, ' No': -3.6568782, 'Yes': -5.738597, 'No': -9.124755, ' The': -9.189591}
{' No': -0.19314696, ' Yes': -1.7801259, 'No': -5.242938, 'Yes': -6.8952823, ' The': -7.952365}
{' No': -0.48840088, ' Yes': -0.9901004, 'No': -4.7435007, 'Yes': -5.2736464, ' The': -7.5525746}
{' No': -0.017458042, 'No': -4.112137, ' Yes': -7.3465614, ' Not': -9.08098, ' Unfortunately': -9.549393}
{' No': -0.023098994, 'No': -3.8588934, ' Yes': -6.411, ' ': -10.375483, 'Yes': -10.53902}
{' No': -0.09107806, ' Yes': -2.5090601, 'No': -5.348484, ' The': -8.026278, 'Yes': -8.397485}
{' No': -0.11298688, ' Yes': -2.3677723, 'No': -4.4254546, 'Yes': -7.088696, ' ': -9.09187}
{' Yes': -0.008295419, ' No': -5.4188714, 'Yes': -5.594834, 'No': -10.260117, ' yes': -10.480701}
{' No': -0.54006135, ' Yes': -0.89151704, 'No': -5.397933, 'Yes': -6.169011, ' The': -7.7731924}
{' Yes': -0.09847658, ' No': -2.401108, 'Yes': -5.939505, 'No': -8.094146, ' The': -8.954014}
{' Yes': -0.35062832, ' No': -1.2344059, 'Yes': -5.947292, 'No': -6.460125, ' The': -8.052838}
{' Yes': -0.15483789, 'Yes': -1.9546311, ' No': -6.4967284, 'No': -8.456542, ' yes': -10.535249}
{' Yes': -0.033970155, ' No': -3.5709631, 'Yes': -5.326483, 'No': -8.64324, ' The': -9.20183}
{' Yes': -0.004943267, 'Yes': -5.3775454, ' yes': -9.185647, ' No': -9.451663, ' The': -9.720085}
{' Yes': -0.27655488, ' No': -1.4510562, 'Yes': -5.2689424, 'No': -6.2316513, ' yes': -9.829682}
{' No': -0.24300796, ' Yes': -1.5750163, 'No': -4.913584, 'Yes': -6.9821396, ' The': -8.850174}
{' No': -0.042436644, ' Yes': -3.659973, 'No': -4.2183743, ' Not': -8.102406, 'Yes': -8.48884}
{' Yes': -0.015716894, ' No': -4.3718452, 'Yes': -5.994335, ' The': -8.172934, ' yes': -9.677591}
{' No': -0.5398585, ' Yes': -0.9329534, 'No': -4.072596, 'Yes': -5.210751, ' The': -7.301752}
