{' !': -0.0001226242, '!': -9.049479, ' @': -12.556361, ' ': -13.919071, '!.': -14.5979395}
{' @': -0.0065962034, ' #': -5.3885922, '@': -6.259079, ' ': -9.639789, '\n': -10.937968}
{' @': -0.0025605133, '@': -6.0321717, ' $': -9.426665, ' ': -9.994576, '\n': -10.715237}
{' @': -0.0029363981, '@': -5.917199, ' $': -8.695338, ' ': -10.215968, '\n': -10.550664}
{' #': -0.00029116275, ' !': -8.649037, '#': -9.147901, ' ': -11.899332, '\n': -14.047158}
{' #': -0.00033146844, ' !': -8.395591, '#': -9.26596, ' ': -11.876876, '\n': -13.517639}
{' #': -9.377476e-05, '#': -9.986102, ' @': -10.348415, ' ': -11.369703, '\n': -12.99527}
{' #': -0.00010307304, '#': -10.000864, ' @': -10.340821, ' ': -10.906717, '\n': -12.25635}
{' #': -8.852958e-05, '#': -9.8627825, ' $': -11.1758375, ' ': -11.313601, '\n': -12.097133}
{' #': -9.317965e-05, '#': -9.930684, ' $': -10.726533, ' ': -11.393742, '\n': -11.908403}
{' $': -0.016460903, ' !': -4.2493553, '$.': -6.314871, '$': -8.743027, ' $\\': -10.454651}
{' $': -0.01148912, ' !': -4.600873, '$.': -7.0192494, '$': -7.8161287, ' $\\': -10.382994}
{' $': -0.0013669662, '$.': -6.8239355, ' @': -9.2595005, '$': -9.66565, ' $\\': -9.68583}
{' $': -0.001099665, '$.': -7.5934873, ' @': -8.206791, '$': -8.871081, ' $\\': -9.202144}
{' $': -0.0021950414, ' #': -6.6439676, '$.': -7.2259154, '$': -9.343174, ' $\\': -10.403192}
{' $': -0.0030392285, ' #': -6.0131, '$.': -8.061129, '$': -8.571993, ' ': -10.232066}
{' @': -0.00684277, '@': -5.0036306, ' !': -9.846001, ' ': -10.21364, '\n': -11.755597}
{' @': -0.010259224, '@': -5.0741134, ' !': -5.5508966, ' ': -10.043033, '\n': -11.647746}
{' #': -0.0002588497, '#': -8.362355, ' ': -11.674549, '\n': -11.875156, ' !': -11.913584}
{' #': -0.00024144053, '#': -8.903882, ' !': -9.3369875, ' ': -11.503812, '\n': -12.429537}
{' $': -0.0049816044, '$': -5.3630366, ' $\\': -9.041999, '$.': -9.582256, ' !': -9.6251}
{' $': -0.0075104637, '$': -4.999406, ' !': -7.406445, ' $\\': -9.90517, '$.': -9.96571}
{' !': -0.0009346924, ' @': -7.5500984, '!': -7.824275, '@': -12.46273, '!.': -13.005227}
{' !': -0.0034274368, ' @': -5.822014, '!': -7.734071, '@': -10.950489, ' ': -12.994452}
{' #': -0.0020239688, ' @': -6.372747, '#': -8.213697, '\n': -10.889321, ' ': -11.34284}
{' #': -0.0033616507, ' @': -5.7608323, '#': -8.831598, ' ': -10.628436, '\n': -10.79007}
{' $': -0.0045904564, ' @': -5.7452383, '$': -6.687047, ' $\\': -10.061457, '@': -10.488643}
{' $': -0.007313267, ' @': -5.169155, '$': -6.5477104, '@': -9.932073, ' $\\': -10.157415}
{' !': -0.0039029205, ' #': -5.679272, '!': -7.660021, '#': -12.69214, ' ': -12.970116}
{' !': -0.010406835, ' #': -4.636904, '!': -7.3365517, '#': -11.612282, ' ': -13.024923}
{' @': -0.022097318, ' #': -4.0199857, '@': -5.575358, ' ': -9.64476, '\n': -10.796205}
{' @': -0.026825339, ' #': -3.7744238, '@': -5.6859665, ' ': -9.641898, '\n': -10.34694}
{' $': -0.013214041, ' #': -4.3825736, '$': -7.546218, ' $\\': -9.859923, ' $(': -10.888943}
{' $': -0.15354756, ' #': -1.9562685, '$': -7.187315, ' $\\': -9.988593, '#$': -10.124622}
{' !': -0.0013307382, '!': -6.6490717, ' $': -10.720313, '!.': -11.442275, ' ': -13.861665}
{' !': -0.001336586, '!': -6.86536, ' $': -8.17525, '!.': -11.892752, '$': -13.341657}
{' @': -0.002182199, '@': -6.3095207, ' $': -8.211178, ' ': -9.733348, '\n': -11.051584}
{' @': -0.0026144763, '@': -6.17234, ' $': -7.7683845, ' ': -9.736513, '\n': -10.669683}
{' #': -0.00014217819, ' $': -9.853765, '#': -9.8990755, ' ': -11.074088, ' \\': -11.479009}
{' #': -0.00021777152, ' $': -8.990448, '#': -9.762524, ' ': -11.094834, ' \\': -11.784266}
{' @': -0.008030829, '@': -4.9573884, ' !': -7.01771, ' ': -10.205902, '\n': -11.516682}
{' @': -0.013064266, ' !': -5.039288, '@': -5.050128, ' ': -10.109321, ' <@': -11.171403}
{' #': -0.0002773308, '#': -8.308095, ' ': -11.384614, '\n': -11.87528, ' !': -11.917879}
{' #': -0.00028233757, '#': -8.561403, ' !': -9.538858, ' ': -11.4714575, '\n': -12.218882}
{' $': -0.0056989565, '$': -5.2115645, ' $\\': -9.121737, '$.': -9.936046, ' !': -10.259508}
{' $': -0.008269216, '$': -4.9407206, ' !': -6.9643183, '$.': -9.781852, ' $\\': -10.057491}
{' !': -0.00051160867, '!': -7.7243505, ' @': -9.643669, ' ': -13.759051, ' <': -13.790312}
{' !': -0.0014317285, ' @': -6.918509, '!': -7.750754, '@': -11.980157, ' <': -13.391223}
{' #': -0.0010614177, ' @': -7.124089, '#': -8.382855, '\n': -11.38633, ' ': -11.653956}
{' #': -0.0052265166, ' @': -5.307095, '#': -8.484032, '\n': -11.004187, ' ': -11.062103}
{' $': -0.003559208, ' @': -6.0898933, '$': -6.7461185, ' $\\': -10.452872, '\n': -10.725675}
{' $': -0.012788387, ' @': -4.5179667, '$': -6.4448624, '@': -9.231851, '\n': -10.4806}
{' !': -0.0011788532, ' #': -7.188568, '!': -7.777014, ' ': -13.745213, '#': -14.179492}
{' !': -0.002197192, ' #': -6.4246325, '!': -7.4727626, ' ': -13.340727, '#': -13.364378}
{' @': -0.04597434, ' #': -3.1899712, '@': -5.62309, ' ': -9.4180355, '\n': -10.642748}
{' @': -0.043017037, ' #': -3.2385585, '@': -5.8920536, ' ': -9.742706, '\n': -10.50791}
{' $': -0.004997, ' #': -5.490295, '$': -7.170278, ' $\\': -10.109907, ' $(': -10.874787}
{' $': -0.03276622, ' #': -3.468143, '$': -6.9597692, ' $\\': -10.344748, ' $(': -10.696138}
{' !': -0.0007316303, '!': -7.234786, '!.': -11.976074, ' $': -12.66802, ' ': -14.515284}
{' !': -0.0008052355, '!': -7.1559052, ' $': -10.941715, '!.': -12.3614025, ' ': -13.513627}
{' @': -0.0035522087, '@': -5.741373, ' $': -8.324356, ' ': -9.849412, '\n': -10.684716}
{' @': -0.0031197034, '@': -6.212268, ' $': -6.899361, ' ': -9.876579, '\n': -10.6064205}
{' #': -0.00024859305, ' $': -9.025525, '#': -9.498254, ' \\': -10.777316, ' ': -11.217243}
{' #': -0.000311554, ' $': -8.413858, '#': -9.866917, ' ': -11.111446, ' \\': -11.568827}
{' !': -0.011822481, ' @': -4.4561715, '!': -8.98934, '@': -11.282101, ' ': -12.042601}
{' !': -0.0055492846, ' @': -5.224795, '!': -8.894099, '@': -11.633504, ' ': -12.773334}
{' !': -0.11702487, ' #': -2.2060082, '!': -8.558402, '#': -9.3380575, ' ': -11.52506}
{' !': -0.092050605, ' #': -2.4349098, '!': -8.448963, '#': -9.152584, ' ': -11.856624}
{' !': -0.09010548, ' $': -2.4717221, '$': -6.5991344, '!': -8.201662, ' $$': -10.435927}
{' !': -0.07987412, ' $': -2.5937119, '$': -6.4067264, '!': -8.260792, ' $$': -9.755722}
{' @': -0.015733361, ' !': -4.2265334, '@': -6.9868407, ' ': -10.079261, ' @@': -10.704081}
{' @': -0.02641399, ' !': -3.6872642, '@': -6.961928, ' @@': -10.454287, ' ': -10.505764}
{' @': -0.019345628, ' #': -4.011613, '@': -7.0152555, ' ': -9.715714, '@#': -10.217203}
{' @': -0.0287199, ' #': -3.6091604, '@': -6.9368157, ' @@': -9.409887, ' ': -9.594257}
{' @': -0.003152111, ' $': -6.3673563, '@': -6.777686, ' @@': -8.88174, ' $$': -9.380467}
{' @': -0.0068860995, ' $': -5.3305497, '@': -6.5921216, ' $$': -8.078071, ' @@': -8.314155}
{' #': -0.03052445, ' !': -3.5097954, '#': -8.942389, ' ': -11.182409, '!': -11.57059}
{' #': -0.016437331, ' !': -4.1273494, '#': -8.775289, ' ': -11.817896, '!': -11.954273}
{' #': -0.003473911, ' @': -5.69117, '#': -9.739918, ' ': -10.885869, '\n': -12.193196}
{' #': -0.008147161, ' @': -4.835397, '#': -9.411688, ' ': -9.978216, '\n': -11.1835575}
{' #': -0.0035780505, ' $': -5.69823, '#$': -9.44316, ' $$': -10.162709, '#': -10.227221}
{' #': -0.00219092, ' $': -6.2304792, '#$': -9.795215, ' $$': -10.107775, '#': -10.16648}
{' $': -0.534253, ' !': -0.8869294, '$.': -6.7697372, '$': -7.854312, '!': -8.339096}
{' $': -0.40163597, ' !': -1.111473, '$.': -6.9166045, '$': -7.9875493, '!': -8.885056}
{' $': -0.099269986, ' @': -2.389595, ' $$': -6.4982414, '$.': -7.1143894, ' $\\': -8.61442}
{' $': -0.1629878, ' @': -1.9318839, ' $$': -5.557267, '$.': -7.0076604, ' ': -8.3311205}
{' $': -0.11565542, ' #': -2.2282023, '$.': -7.0249376, ' $$': -8.505078, ' ': -8.533519}
{' $': -0.081654705, ' #': -2.5708916, '$.': -6.996894, ' $$': -7.5312295, ' ': -8.636152}
{' !': -0.004092145, ' @': -5.5403967, '!': -8.86668, ' ': -11.77848, '@': -12.032162}
{' !': -0.0026503936, ' @': -5.998738, '!': -8.792825, ' ': -12.269937, ' !!': -12.502074}
{' !': -0.051801313, ' #': -2.991012, '!': -8.590653, '#': -10.08162, ' ': -11.494369}
{' !': -0.019610554, ' #': -3.9585965, '!': -8.158347, '#': -10.704841, ' ': -11.460206}
{' !': -0.018664153, ' $': -4.0228887, '$': -8.155222, '!': -8.225758, ' ': -11.343955}
{' !': -0.013892956, ' $': -4.326694, '$': -8.172721, '!': -8.306621, ' $$': -10.631288}
{' @': -0.0076891393, ' !': -5.026222, '@': -6.910538, ' ': -9.838639, ' @@': -10.484894}
{' @': -0.008304556, ' !': -4.944856, '@': -6.895532, ' @@': -9.4794855, ' ': -10.175331}
{' @': -0.017580692, ' #': -4.114491, '@': -6.963669, ' ': -9.552832, '@#': -10.54022}
{' @': -0.013917678, ' #': -4.3788524, '@': -6.852466, ' ': -9.443346, ' @@': -9.552039}
{' @': -0.0034377854, '@': -6.4182534, ' $': -6.4770393, ' @@': -9.087345, ' $$': -9.673024}
{' @': -0.0038988518, ' $': -6.285454, '@': -6.544634, ' @@': -8.035336, ' $$': -8.675884}
{' #': -0.010735435, ' !': -4.5513196, '#': -9.210631, ' ': -11.116753, '!': -12.834853}
{' #': -0.0054519502, ' !': -5.243832, '#': -8.942495, ' ': -11.288646, ' !!': -12.192418}
{' #': -0.003384197, ' @': -5.7104645, '#': -10.228018, ' ': -10.855296, '\n': -12.46017}
{' #': -0.0027441066, ' @': -5.947528, '#': -9.845931, ' ': -10.11267, ' ##': -10.963441}
{' #': -0.0023900976, ' $': -6.1031566, '#$': -10.048547, '#': -10.237563, ' ': -10.809352}
{' #': -0.0009865378, ' $': -7.116383, ' ##': -10.100437, '#$': -10.3229065, '#': -10.405829}
{' $': -0.25003314, ' !': -1.5234038, '$.': -5.904961, '$': -8.310511, '!': -9.351529}
{' $': -0.21405208, ' !': -1.662979, '$.': -5.9926715, '$': -8.109372, ' $$': -9.240341}
{' $': -0.07631651, ' @': -2.6387763, ' $$': -7.1023073, '$.': -7.109811, ' ': -8.9212885}
{' $': -0.17156766, ' @': -1.8823239, '$.': -5.827087, ' $$': -6.274339, ' ': -8.5666}
{' $': -0.052231725, ' #': -3.0536487, '$.': -5.726845, ' $$': -8.586754, ' ': -9.143243}
{' $': -0.05877981, ' #': -2.9328432, '$.': -5.74903, ' $$': -8.338741, ' ': -8.765525}
{' @': -0.003155342, '@': -5.8140507, ' !': -9.48274, ' ': -10.053367, ' @@': -10.564307}
{' @': -0.0057592024, '@': -5.1978025, ' !': -9.192874, ' ': -9.753103, ' @@': -10.381984}
{' #': -8.864972e-05, '#': -9.660867, ' !': -11.421275, ' ': -11.892485, '\n': -13.030498}
{' #': -0.0001341912, '#': -9.130286, ' ': -11.629281, ' !': -11.714467, '\n': -12.545759}
{' $': -0.002067035, '$': -6.3747706, ' $\\': -8.49953, ' !': -9.774006, ' $$': -10.403096}
{' $': -0.0036591094, '$': -5.76508, ' $\\': -8.602448, ' !': -8.9004, ' $$': -9.329305}
{' !': -0.0060680485, ' @': -5.1708517, '!': -8.058222, ' !!': -10.228367, '@': -11.589633}
{' !': -0.0032574127, ' @': -5.8725944, '!': -7.7998533, ' !!': -11.174505, '@': -11.740343}
{' #': -0.0016618, ' @': -6.4507065, '#': -9.94881, ' ': -11.570665, ' ##': -11.6417265}
{' #': -0.0014547094, ' @': -6.5875463, '#': -10.056687, '\n': -11.436879, ' ': -11.466236}
{' $': -0.012377219, ' @': -4.5149236, '$': -7.2697945, ' $$': -7.7886577, ' $\\': -9.277417}
{' $': -0.011286436, ' @': -4.6225553, '$': -7.185257, ' $$': -7.859644, ' $\\': -9.418793}
{' !': -0.020313416, ' #': -3.9200878, '!': -8.303833, '#': -11.607436, ' !!': -12.064675}
{' !': -0.05823405, ' #': -2.8793228, '!': -7.962495, '#': -10.57366, ' !!': -11.162489}
{' @': -0.014462872, ' #': -4.35077, '@': -6.6873846, ' ': -9.655089, ' @@': -9.763913}
{' @': -0.02073352, ' #': -3.982779, '@': -6.4223638, ' ': -9.467413, ' @@': -9.582504}
{' $': -0.01664203, ' #': -4.168499, ' $$': -7.8929343, '$': -8.220327, ' $\\': -8.415564}
{' $': -0.15774105, ' #': -1.9317375, '$': -8.162913, ' $$': -8.256734, ' $\\': -8.410632}
{' !': -0.002133575, '!': -6.7324305, ' $': -7.09808, '!.': -9.228917, ' !!': -12.216992}
{' !': -0.0038323735, ' $': -5.9384766, '!': -6.814711, '!.': -9.756863, '$': -11.454558}
{' @': -0.0014927924, '@': -7.047269, ' $': -7.9257917, ' @@': -9.040519, ' ': -9.4790945}
{' @': -0.0030476593, ' $': -6.4416, '@': -7.075631, ' @@': -7.9513297, ' ': -9.288547}
{' #': -0.00010796247, ' $': -10.089986, '#': -10.77938, ' ': -10.959014, ' \\': -11.44861}
{' #': -0.00041888215, ' $': -8.103347, ' ': -10.413289, ' ##': -10.797952, '#': -10.945052}
{' @': -0.0045446493, '@': -5.419194, ' ': -9.8454, ' @@': -10.795905, '\n': -11.370379}
{' @': -0.006907825, '@': -4.9996195, ' ': -9.581033, ' @@': -10.458953, ' !': -11.056039}
{' #': -9.639735e-05, '#': -9.512702, ' ': -11.314125, '\n': -12.299743, ' "#': -13.210901}
{' #': -0.00014360964, '#': -9.021299, ' ': -11.401069, '\n': -12.196374, ' !': -13.172837}
{' $': -0.0028601247, '$': -5.9981904, ' $\\': -8.620236, ' $$': -9.9291725, ' !': -9.979124}
{' $': -0.004057133, '$': -5.6141376, ' $\\': -8.5714035, ' $$': -9.595293, ' $(': -9.688574}
{' !': -0.0017585262, ' @': -6.7945247, '!': -7.4480343, ' !!': -10.091632, ' ': -12.421846}
{' !': -0.0019434665, ' @': -6.725586, '!': -7.2610455, ' !!': -10.504625, '@': -12.292467}
{' #': -0.0027736917, ' @': -5.9247975, '#': -9.81217, ' ': -11.141736, '\n': -11.474235}
{' #': -0.0025124685, ' @': -6.039398, '#': -9.442303, '\n': -10.959159, ' ': -11.105113}
{' $': -0.007854734, ' @': -5.1038384, '$': -6.978534, ' $$': -7.510698, ' $\\': -9.242587}
{' $': -0.004319361, ' @': -5.877946, '$': -6.9065886, ' $$': -8.102443, ' $\\': -9.629659}
{' !': -0.012116492, ' #': -4.4462576, '!': -8.113099, ' !!': -11.804762, '#': -12.07187}
{' !': -0.0032180662, ' #': -5.8855743, '!': -7.778971, ' !!': -12.307117, '!.': -12.411403}
{' @': -0.009311762, ' #': -4.873867, '@': -6.5493464, ' ': -9.581863, ' @@': -10.049583}
{' @': -0.008337848, ' #': -5.153643, '@': -6.062426, ' ': -9.397682, ' @@': -10.093509}
{' $': -0.01700421, ' #': -4.13292, '$': -8.249956, ' $\\': -8.52378, ' $$': -8.753965}
{' $': -0.013471851, ' #': -4.387594, '$': -7.716596, ' $$': -8.669439, ' $\\': -8.704269}
{' !': -0.0011443024, '!': -6.833513, '!.': -10.093134, ' $': -10.939662, ' !!': -12.506131}
{' !': -0.0014927924, '!': -6.58168, ' $': -9.806912, '!.': -10.135354, ' !!': -12.319367}
{' @': -0.0022138578, '@': -6.322953, ' $': -8.624008, ' @@': -9.200386, ' ': -9.502028}
{' @': -0.002452534, '@': -6.3830924, ' $': -7.756681, ' @@': -8.593847, ' ': -9.424078}
{' #': -0.000139794, ' $': -10.14127, '#': -10.439817, ' ': -10.613318, ' \\': -10.725381}
{' #': -0.00022397317, ' $': -9.255934, ' \\': -10.081232, ' ': -10.495636, '#': -10.561845}
{' !': -8.459475e-05, '!': -9.414404, ' ': -12.958463, '\n': -14.889991, ' !!': -16.084274}
{' !': -6.790459e-05, '!': -9.631148, ' ': -13.238538, '\n': -15.382786, ' !!': -16.5045}
{' !': -0.00012643983, '!': -8.995697, ' ': -13.186588, '\n': -14.854969, ' !!': -16.011265}
{' !': -0.000104267005, '!': -9.186589, ' ': -13.405985, '\n': -15.246919, ' !!': -16.429539}
{' !': -9.794894e-05, '!': -9.246517, ' ': -13.723194, '\n': -15.537511, '!.': -16.53801}
{' !': -9.127325e-05, '!': -9.324074, ' ': -13.381436, '\n': -15.409542, '!.': -16.399635}
{' @': -0.00095127744, '@': -7.0777063, ' ': -9.404214, '\n': -11.122818, ' "@': -12.507037}
{' @': -0.0007560831, '@': -7.3159375, ' ': -9.57568, '\n': -11.180565, ' "@': -12.890885}
{' @': -0.000534095, '@': -7.626427, ' ': -10.439037, '\n': -12.184253, ' #': -12.200168}
{' @': -0.00056450826, '@': -7.6065555, ' ': -10.175844, ' #': -11.2248335, '\n': -11.6858635}
{' @': -0.0007312708, '@': -7.3641686, ' ': -9.972694, '\n': -10.365426, ' @@': -11.31547}
{' @': -0.0006722194, '@': -7.469296, ' ': -9.955214, '\n': -10.37101, ' @@': -11.179924}
{' #': -3.8935006e-05, '#': -10.656921, ' ': -11.404352, '\n': -13.203776, ' !': -13.961961}
{' #': -4.2153635e-05, '#': -10.464655, ' ': -11.663476, ' !': -13.129288, '\n': -13.173981}
{' #': -2.1171965e-05, '#': -11.597832, ' ': -11.700825, '\n': -12.805494, ' "#': -15.088132}
{' #': -2.319758e-05, '#': -11.484166, ' ': -11.583183, '\n': -12.847872, ' "#': -15.154321}
{' #': -3.7266083e-05, '#': -11.173819, ' ': -11.257252, '\n': -11.728998, ' ##': -14.233434}
{' #': -4.5374152e-05, ' ': -10.972175, '#': -11.063945, '\n': -11.538045, ' ##': -14.108992}
{' $': -0.0005161415, '$': -8.542044, '$.': -8.904209, ' $\\': -9.198343, ' ': -9.888107}
{' $': -0.0007746374, '$': -7.668688, ' $\\': -8.93819, '$.': -9.418492, ' ': -9.776087}
{' $': -0.0003816121, ' $\\': -8.904665, '$.': -9.489017, '$': -9.501495, ' ': -9.794997}
{' $': -0.0007080683, ' $\\': -7.9554753, '$': -8.649403, ' ': -9.462065, '$.': -9.98537}
{' $': -0.00026278265, '$': -9.330127, ' $\\': -9.683629, ' ': -10.254058, '$.': -10.267356}
{' $': -0.00029283168, '$': -9.053695, ' $\\': -9.418105, ' ': -10.19889, ' $$': -10.579496}
{' !': -8.173468e-05, '!': -9.449769, ' ': -12.916401, '\n': -15.371402, ' !!': -16.045254}
{' !': -6.516092e-05, '!': -9.666378, ' ': -13.4276285, '\n': -16.081314, ' !!': -16.252642}
{' !': -0.00013466804, '!': -8.932265, ' ': -13.125967, '\n': -15.145138, ' !!': -15.941618}
{' !': -0.0001015252, '!': -9.21475, ' ': -13.396204, '\n': -15.521769, ' !!': -16.124405}
{' !': -0.00011750104, '!': -9.066137, ' ': -13.376763, '\n': -15.415835, '!.': -15.98129}
{' !': -8.8410365e-05, '!': -9.363092, ' ': -13.225122, '\n': -14.974727, '!.': -16.336502}
{' @': -0.0008242085, '@': -7.2299933, ' ': -9.498609, '\n': -11.151596, ' "@': -12.558678}
{' @': -0.0010152343, '@': -7.018631, ' ': -9.36915, '\n': -10.645346, ' "@': -12.580907}
{' @': -0.00074844714, '@': -7.2821794, ' ': -10.147899, '\n': -11.732007, ' @@': -12.008331}
{' @': -0.0007597232, '@': -7.2884984, ' ': -10.0084505, '\n': -11.121137, ' @@': -11.929386}
{' @': -0.0009247286, '@': -7.1089015, ' ': -9.934055, '\n': -10.192029, ' @@': -11.21647}
{' @': -0.0008298151, '@': -7.257158, ' ': -9.867614, '\n': -9.926001, ' @@': -11.035966}
{' #': -3.5357807e-05, '#': -10.816502, ' ': -11.420742, '\n': -12.924019, ' "#': -14.195009}
{' #': -4.4181128e-05, '#': -10.591826, ' ': -11.231433, '\n': -12.50804, ' "#': -14.441954}
{' #': -2.4510746e-05, ' ': -11.480214, '#': -11.586463, '\n': -12.439907, ' "#': -15.196172}
{' #': -2.4866502e-05, ' ': -11.465895, '#': -11.583598, '\n': -12.446042, ' ##': -15.316654}
{' #': -4.5255874e-05, ' ': -10.955817, '\n': -11.18258, '#': -11.391883, ' ##': -13.950315}
{' #': -5.562516e-05, ' ': -10.789413, '#': -11.032427, '\n': -11.08774, ' ##': -13.529308}
{' $': -0.00045728518, '$': -8.721402, ' $\\': -9.141341, '$.': -9.301975, ' ': -9.627667}
{' $': -0.0006999565, '$': -7.890506, ' $\\': -8.986616, '$.': -9.337852, ' ': -9.468808}
{' $': -0.0005621213, ' $\\': -8.252883, '$': -8.697442, ' ': -9.698641, '$.': -10.307197}
{' $': -0.0005568742, ' $\\': -8.403219, '$': -8.824709, ' ': -9.309751, '$.': -9.817444}
{' $': -0.00021097568, ' $\\': -9.763999, '$': -9.772931, '$.': -10.184613, ' ': -10.529054}
{' $': -0.00028854018, '$': -9.215065, ' $\\': -9.240688, ' ': -9.930273, ' $$': -11.052634}
{' @': -0.0019570177, '@': -6.262943, ' ': -10.2773905, '\n': -12.038939, ' !': -12.363869}
{' @': -0.0020382458, '@': -6.2289057, ' ': -10.183167, ' !': -10.963946, '\n': -12.118234}
{' #': -0.00023690966, '#': -8.466656, ' ': -10.964151, '\n': -12.256831, ' "#': -13.516652}
{' #': -0.00014456424, '#': -9.02612, ' ': -11.061183, '\n': -12.513961, ' !': -13.161113}
{' $': -0.0031996493, '$': -5.7847714, ' $\\': -9.340049, ' !': -11.249441, ' ': -11.722589}
{' $': -0.0039222445, '$': -5.6176395, ' !': -8.702048, ' $\\': -9.362232, ' ': -11.239167}
{' !': -0.00029664824, '!': -8.131921, ' @': -13.483469, ' ': -14.071526, '!.': -15.535414}
{' !': -0.00035037097, '!': -7.9687037, ' @': -12.835373, ' ': -13.840341, '\n': -15.456376}
{' #': -0.0001033124, '#': -9.372173, ' ': -11.905836, '\n': -12.137068, ' @': -12.4172735}
{' #': -7.350647e-05, '#': -9.891402, ' ': -11.280184, '\n': -12.15432, ' @': -12.874024}
{' $': -0.0013120571, '$': -6.732049, ' $\\': -9.809696, ' $$': -10.899629, '\n': -10.979651}
{' $': -0.0012239657, '$': -6.8834023, ' $\\': -9.755441, ' $$': -10.101638, '\n': -10.242005}
{' !': -0.00028591757, '!': -8.179978, ' #': -12.3899, ' ': -13.681994, '!.': -15.734985}
{' !': -0.00035800316, '!': -7.953429, ' #': -12.241209, ' ': -13.633136, ' !!': -15.540486}
{' @': -0.0012131074, '@': -6.8094254, ' #': -9.613123, ' ': -10.630434, '\n': -11.582684}
{' @': -0.0012927782, '@': -6.9319754, ' #': -8.276841, ' ': -10.163373, '\n': -11.278404}
{' $': -0.0008286211, '$': -7.6817174, ' #': -8.104611, ' $\\': -10.304651, ' $$': -11.286368}
{' $': -0.0034219965, ' #': -5.960069, '$': -7.1902366, ' $\\': -10.2745075, ' $$': -11.020664}
{' !': -0.0011670357, '!': -6.7561717, '!.': -13.587639, ' ': -13.986658, ' $': -14.72642}
{' !': -0.0011848203, '!': -6.7415366, '!.': -13.662741, ' ': -13.940679, ' $': -14.110614}
{' @': -0.00088123814, '@': -7.1235385, ' ': -10.318953, '\n': -11.216328, ' @@': -11.237237}
{' @': -0.00077058055, '@': -7.2791877, ' ': -10.150144, '\n': -11.110399, ' $': -11.138962}
