{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Left': -0.05151887, ' left': -3.053079, 'Left': -6.098144, 'left': -7.3397245, ' ': -10.013833}
{' Right': -0.024129147, ' right': -3.858352, 'Right': -6.2472224, 'right': -7.494359, ' ': -9.538514}
{' Left': -0.04616539, ' left': -3.1933439, 'Left': -5.8232107, 'left': -6.993789, ' Right': -9.596722}
{' Right': -0.2493291, ' right': -1.5454793, ' Left': -5.6726246, ' left': -6.326281, 'Right': -6.8887625}
{' Left': -0.38169047, ' left': -1.8642058, ' Right': -1.98784, ' right': -3.7852678, 'Left': -7.229839}
{' Right': -0.12304322, ' right': -2.1850245, ' Left': -6.8276806, 'Right': -6.8691573, 'right': -7.534332}
{' Left': -0.22437474, ' left': -1.6143206, 'Left': -6.9203587, 'left': -7.3747096, ' Right': -8.463431}
{' Left': -0.17002733, ' left': -2.1164997, ' Right': -3.6160014, 'Left': -5.537787, ' right': -5.9740586}
{' Left': -0.7605249, ' Right': -0.7789651, ' left': -3.1349697, ' right': -3.7811413, 'Right': -5.8945637}
{' Left': -0.29723302, ' Right': -1.972196, ' left': -2.3046827, ' right': -4.4743395, 'Left': -5.641732}
{' Left': -0.13823533, ' left': -2.319338, ' Right': -3.78113, 'Left': -5.54472, ' right': -6.285691}
{' Left': -0.18150115, ' left': -2.3385808, ' Right': -2.8698153, 'Left': -5.2528453, ' right': -5.542972}
{' Right': -0.27145004, ' Left': -1.717039, ' right': -3.417507, ' left': -4.076557, 'Right': -5.286457}
{' Left': -0.1502085, ' left': -2.2399588, ' Right': -3.7941902, 'Left': -5.1594934, 'left': -6.0495205}
{' Right': -0.4693206, ' Left': -1.2222198, ' right': -3.259333, ' left': -3.4590628, 'Right': -5.3341827}
{' Right': -0.37159237, ' right': -1.2086036, 'Right': -5.595837, ' Left': -5.82042, 'right': -6.1084733}
{' Left': -0.4342034, ' left': -1.0816929, ' Right': -5.3096704, 'Left': -5.645953, ' right': -6.170771}
{' Right': -0.39980724, ' right': -1.141333, 'Right': -5.5823193, 'right': -6.0999265, ' Left': -6.365276}
{' Left': -0.40834838, ' left': -1.1091712, 'Left': -5.634577, 'left': -6.416643, ' ': -9.405189}
{' Left': -0.23772487, ' left': -2.3187299, ' Right': -2.394013, 'Left': -4.7808213, ' right': -4.847159}
{' Left': -0.53067744, ' Right': -1.1219364, ' left': -2.9152615, ' right': -3.9729912, 'Left': -5.2516093}
{' Left': -0.20818284, ' left': -1.8308634, ' Right': -4.462135, 'Left': -4.6765623, 'left': -5.513448}
{' Left': -0.43533295, ' Right': -1.3875959, ' left': -2.7041545, ' right': -3.8887994, 'Left': -4.9123325}
{' Right': -0.19035403, ' Left': -2.105828, ' right': -3.399508, ' left': -4.4233217, 'Right': -5.872548}
{' Left': -0.21134914, ' Right': -2.0412364, ' left': -3.0170434, ' right': -5.3220625, 'Left': -5.734029}
{' Right': -0.09418982, ' Left': -3.199195, ' right': -3.2467737, ' left': -5.4076567, 'Right': -5.6708975}
{' Left': -0.07210353, ' left': -2.728113, 'Left': -5.8562694, 'left': -6.897405, ' Right': -8.591305}
{' Right': -0.11024346, ' right': -2.269423, 'Right': -7.389509, 'right': -8.167181, '\n': -10.240367}
{' Left': -0.18713714, ' left': -1.7744421, 'Left': -7.3324785, 'left': -7.9017344, '\n': -10.109253}
{' Right': -0.35241574, ' right': -1.2178771, 'right': -7.52614, 'Right': -7.589665, ' ': -9.970611}
{' Left': -0.23832251, ' left': -1.555715, 'Left': -7.4640756, 'left': -7.896516, '\n': -10.244708}
{' Right': -0.044954102, ' right': -3.1857219, 'Right': -6.174766, 'right': -7.75007, ' ': -10.272992}
{' Left': -0.12523258, ' left': -2.1624067, 'Left': -6.282529, 'left': -7.1883955, ' ': -10.840444}
{' Right': -0.12756367, ' right': -2.1517813, 'Right': -6.0800667, 'right': -6.8134766, ' ': -9.89016}
{' Left': -0.14437474, ' left': -2.0318792, 'Left': -6.098434, 'left': -6.8604307, ' ': -10.474888}
{' Right': -0.062808365, ' right': -2.8643641, 'Right': -5.821855, 'right': -7.230296, ' ': -9.489451}
{' Left': -0.20509008, ' left': -1.7074531, 'Left': -5.8945503, 'left': -6.679222, ' ': -10.01057}
{' Right': -0.17636877, ' right': -1.8551599, 'Right': -5.732786, 'right': -6.2920933, ' ': -9.279483}
{' Left': -0.22953944, ' left': -1.6070571, 'Left': -5.771285, 'left': -6.5700502, ' ': -9.742093}
{' Right': -0.31525952, ' right': -1.3189484, 'Right': -6.372016, 'right': -6.8874407, ' ': -9.405205}
{' Left': -0.6710405, ' left': -0.7214727, 'Left': -6.589768, 'left': -6.692002, '\n': -9.232797}
{' Right': -0.5581721, ' right': -0.8573893, 'right': -6.383584, 'Right': -6.46083, ' ': -9.21337}
{' Left': -0.6892176, ' left': -0.7047893, 'Left': -6.1998835, 'left': -6.440009, '\n': -9.2581835}
{' Right': -0.10251915, ' right': -2.4082956, 'Right': -5.1099977, 'right': -6.7849145, ' ': -8.738823}
{' Left': -0.2474335, ' left': -1.5525118, 'Left': -5.177029, 'left': -6.391873, ' ': -9.2771225}
{' Right': -0.2766751, ' right': -1.4581097, 'Right': -5.08858, 'right': -5.9729357, ' ': -8.600689}
{' Left': -0.24850246, ' left': -1.570377, 'Left': -4.6727653, 'left': -5.985597, ' ': -9.055974}
{' Right': -0.0354021, ' right': -3.4254222, 'Right': -6.425979, 'right': -7.9033446, ' ': -9.264095}
{' Left': -0.08535973, ' left': -2.5280876, 'Left': -6.6383386, 'left': -7.50272, ' ': -9.557178}
{' Right': -0.101735555, ' right': -2.3598552, 'Right': -6.596738, 'right': -7.2310424, ' ': -9.070182}
{' Left': -0.11416083, ' left': -2.2540553, 'Left': -6.2699223, 'left': -7.047077, ' ': -9.567278}
{' Right': -0.14721076, ' right': -1.9992864, 'Right': -6.9150715, 'right': -8.058856, ' ': -9.893331}
{' Left': -0.16843982, ' left': -1.8721865, 'Left': -6.9990325, 'left': -8.244975, '\n': -10.398664}
{' Right': -0.10922143, ' right': -2.2763662, 'Right': -7.666465, 'right': -8.682792, ' Left': -9.776027}
{' Left': -0.20323415, ' left': -1.698294, 'Left': -7.4015045, 'left': -8.238354, ' ': -10.737206}
{' Right': -0.07887909, ' right': -2.6391323, 'Right': -5.6887703, 'right': -7.145024, ' ': -9.265798}
{' Left': -0.07896791, ' left': -2.6477547, 'Left': -5.490434, 'left': -6.975108, ' ': -10.198026}
{' Right': -0.06969239, ' right': -2.7582853, 'Right': -6.0214086, 'right': -7.4636726, ' Left': -7.49492}
{' Left': -0.110921174, ' left': -2.289037, 'Left': -5.894613, 'left': -7.1049542, ' ': -10.277296}
{' Right': -0.09253968, ' right': -2.5011165, 'Right': -5.338477, 'right': -6.6576295, ' ': -8.767501}
{' Left': -0.12845974, ' left': -2.1860938, 'Left': -5.0641017, 'left': -6.3519945, ' ': -9.389565}
{' Right': -0.091080986, ' right': -2.494861, 'Right': -5.741941, 'right': -7.023671, ' ': -8.784072}
{' Left': -0.22012962, ' left': -1.6467634, 'Left': -5.677922, 'left': -6.588845, ' ': -9.530893}
{' Right': -0.35222897, ' right': -1.2323998, 'Right': -5.734177, 'right': -6.478497, ' ': -8.498513}
{' Left': -0.3628655, ' left': -1.2084256, 'Left': -5.4972553, 'left': -6.578638, ' ': -9.424443}
{' Right': -0.39203656, ' right': -1.141884, 'Right': -5.992239, 'right': -6.5439014, ' Left': -8.016589}
{' Left': -0.6093132, ' left': -0.7937957, 'Left': -5.9732237, 'left': -6.5566874, '\n': -9.294623}
{' Right': -0.14931338, ' right': -2.0614054, 'Right': -4.6949353, 'right': -6.3302956, ' ': -8.074605}
{' Left': -0.29448593, ' left': -1.4241397, 'Left': -4.4955244, 'left': -5.8239393, ' ': -8.663785}
{' Right': -0.16758038, ' right': -1.9299781, 'Right': -5.0059214, 'right': -6.4960766, ' ': -8.08306}
{' Left': -0.35004494, ' left': -1.25582, 'Left': -4.883993, 'left': -5.8916187, ' ': -9.056907}
{' Right': -0.041460384, ' right': -3.2989216, 'Right': -6.026081, 'right': -7.5053463, ' Left': -8.018772}
{' Left': -0.06988617, ' left': -2.7578325, 'Left': -5.758916, 'left': -7.1680474, ' ': -9.327137}
{' Right': -0.04045311, ' right': -3.5751054, ' Left': -4.8371506, 'Right': -6.3374233, ' left': -6.9788437}
{' Left': -0.06678883, ' left': -2.7801826, 'Left': -6.2729235, 'left': -7.469178, ' ': -9.440319}
{' Right': -0.07410989, ' right': -2.6935174, ' Left': -6.5021033, 'Right': -6.58172, 'right': -7.7284784}
{' Left': -0.24388388, ' left': -1.8536955, ' Right': -2.9651113, ' right': -5.080867, 'Left': -6.9024224}
{' Right': -0.370259, ' Left': -1.8476778, ' right': -2.1769054, ' left': -3.3285434, 'Right': -6.7904224}
{' Right': -0.08692036, ' right': -2.5504518, ' Left': -5.834759, 'Right': -6.91305, ' left': -7.2415276}
{' Right': -0.61414623, ' Left': -0.9275142, ' left': -3.3616915, ' right': -3.8761337, 'Right': -5.629059}
{' Right': -0.41424888, ' Left': -1.4077429, ' right': -2.9912028, ' left': -3.316175, 'Right': -5.4231296}
{' Left': -0.09462243, ' left': -2.487374, 'Left': -5.31746, 'left': -6.664702, ' Right': -7.0647182}
{' Right': -0.04255226, ' right': -3.348983, 'Right': -5.458896, ' Left': -6.700526, 'right': -7.351711}
{' Right': -0.61784434, ' Left': -0.8664521, ' left': -3.843287, ' right': -4.6564107, 'Right': -5.423592}
{' Right': -0.06004165, ' right': -3.3029788, ' Left': -4.497118, 'Right': -4.9194837, 'right': -6.6326885}
{' Left': -0.07395104, ' left': -2.7671673, 'Left': -5.230611, ' Right': -6.3586493, 'left': -6.756358}
{' Right': -0.027537698, ' right': -3.8569937, 'Right': -5.276332, 'right': -7.3730497, ' Left': -9.2021}
{' Right': -0.16176902, ' right': -2.0424643, ' Left': -4.8267355, 'Right': -5.0134363, ' left': -5.9193425}
{' Left': -0.86316127, ' Right': -1.1768706, ' left': -1.7009546, ' right': -2.5298579, 'Left': -6.01894}
{' Left': -0.53414726, ' left': -1.6226424, ' Right': -1.7869986, ' right': -3.1678064, 'Left': -5.788835}
{' Right': -0.17994107, ' right': -1.8755261, 'Right': -5.1277313, ' Left': -6.190412, 'right': -6.2560997}
{' Left': -0.10212945, ' left': -2.671118, 'Left': -4.0394154, ' Right': -5.0228767, 'left': -5.835624}
{' Right': -0.093267605, ' right': -2.837925, 'Right': -4.3201947, ' Left': -4.4140224, 'right': -6.100544}
{' Left': -0.21199317, ' left': -2.2825193, ' Right': -2.7464705, 'Left': -4.288541, ' right': -5.21539}
{' Right': -0.10681494, ' right': -2.650724, 'Right': -4.397451, ' Left': -4.4172187, ' left': -5.8177257}
{' Right': -0.01615174, ' right': -4.5051517, 'Right': -5.819122, ' Left': -6.568457, 'right': -8.00693}
{' Right': -0.5048101, ' Left': -1.0422552, ' left': -3.7648292, ' right': -4.139665, 'Right': -6.2186537}
{' Left': -0.20534474, ' Right': -1.9465538, ' left': -3.3150804, ' right': -5.8221083, 'Left': -6.2520933}
{' Right': -0.018672714, ' right': -4.1761985, 'Right': -6.010682, 'right': -8.0071, ' Left': -8.685353}
{' Left': -0.31384122, ' left': -1.3163036, 'Left': -7.270973, 'left': -7.647602, '\n': -10.329839}
{' Right': -0.16887416, ' right': -1.8683084, 'Right': -7.4401765, 'right': -8.079167, ' ': -10.092767}
{' Left': -0.47360384, ' left': -0.9783646, 'Left': -7.3543315, 'left': -7.4180574, '\n': -10.320087}
{' Right': -0.36664134, ' right': -1.1855557, 'Right': -7.325404, 'right': -7.4037204, ' ': -10.091113}
{' Left': -0.14720345, ' left': -2.013689, 'Left': -6.05504, 'left': -6.9181876, ' ': -10.257216}
{' Right': -0.05002417, ' right': -3.0799196, 'Right': -6.07654, 'right': -7.736454, ' ': -9.926369}
{' Left': -0.21483812, ' left': -1.6760044, 'Left': -5.574911, 'left': -6.0629687, ' ': -9.777545}
{' Right': -0.11978708, ' right': -2.218271, 'Right': -5.844224, 'right': -6.8206882, ' ': -9.686149}
{' Left': -0.16450953, ' left': -1.9106034, 'Left': -5.952288, 'left': -6.9005346, ' ': -9.699417}
{' Right': -0.05358966, ' right': -3.0179546, 'Right': -5.928748, 'right': -7.6544657, ' ': -9.42359}
{' Left': -0.21820962, ' left': -1.6634209, 'Left': -5.419786, 'left': -6.2160807, ' ': -9.325158}
{' Right': -0.15149274, ' right': -2.005327, 'Right': -5.479654, 'right': -6.4384813, ' ': -9.040722}
{' Left': -0.6852557, ' left': -0.7087732, 'Left': -6.2108326, 'left': -6.4182425, ' ': -9.535347}
{' Right': -0.3120183, ' right': -1.3313453, 'Right': -5.9981046, 'right': -6.754114, ' ': -9.009285}
{' Left': -0.63871783, ' left': -0.76381516, 'Left': -5.702888, 'left': -5.9613185, '\n': -9.294658}
{' Right': -0.46561113, ' right': -1.0021541, 'Right': -5.8692117, 'right': -6.1788507, ' ': -9.015598}
{' Left': -0.4202165, ' left': -1.0945748, 'Left': -5.203498, 'left': -5.9028196, ' ': -8.954991}
{' Right': -0.13669764, ' right': -2.1182802, 'Right': -5.1053042, 'right': -6.7466025, ' ': -8.601777}
{' Left': -0.48747876, ' left': -0.98681873, 'Left': -4.7547097, 'left': -5.4601803, ' ': -8.938153}
{' Right': -0.2641153, ' right': -1.5111989, 'Right': -4.795626, 'right': -5.8430676, ' ': -8.619066}
{' Left': -0.051441994, ' left': -3.0364769, 'Left': -6.45987, 'left': -7.6098275, ' ': -9.988339}
{' Right': -0.028982345, ' right': -3.6494179, 'Right': -6.19795, 'right': -7.880892, ' ': -9.376942}
{' Left': -0.07805967, ' left': -2.6515365, 'Left': -5.7954087, 'left': -6.5891447, ' ': -9.60414}
{' Right': -0.042016957, ' right': -3.25864, 'Right': -6.2433434, 'right': -7.3846984, ' ': -9.408716}
{' Left': -0.21964395, ' left': -1.6321597, 'Left': -6.798448, 'left': -7.685624, '\n': -9.958827}
{' Right': -0.32557464, ' right': -1.286985, 'Right': -6.8704524, 'right': -7.385526, ' ': -9.774411}
{' Left': -0.31567305, ' left': -1.312873, 'Left': -6.9812975, 'left': -7.4263926, ' ': -9.6401415}
{' Right': -0.25705263, ' right': -1.4922554, 'Right': -6.9262457, 'right': -7.4862885, ' ': -9.325022}
{' Left': -0.15719937, ' left': -1.9871193, 'Left': -5.1165347, 'left': -6.089711, ' ': -9.541434}
{' Right': -0.17306913, ' right': -1.882593, 'Right': -5.3938828, 'right': -6.2041492, ' ': -9.268387}
{' Left': -0.18799081, ' left': -1.8020369, 'Left': -5.481077, 'left': -6.1419754, ' ': -9.533088}
{' Right': -0.12630671, ' right': -2.1892436, 'Right': -5.3345375, 'right': -6.4728637, ' ': -9.079961}
{' Left': -0.121572636, ' left': -2.2504826, 'Left': -4.9549274, 'left': -6.2546577, ' ': -9.286808}
{' Right': -0.13081811, ' right': -2.1695087, 'Right': -5.1034107, 'right': -6.171183, ' ': -8.983178}
{' Left': -0.19055435, ' left': -1.7900264, 'Left': -5.415959, 'left': -6.226912, ' ': -9.407296}
{' Right': -0.10714438, ' right': -2.3495378, 'Right': -5.379214, 'right': -6.716994, ' ': -8.778013}
{' Left': -0.46161455, ' left': -1.0159739, 'Left': -5.3026333, 'left': -6.03174, ' ': -8.892973}
{' Right': -0.5282712, ' right': -0.9101491, 'Right': -5.414824, 'right': -5.771687, ' ': -8.551733}
{' Left': -0.656095, ' left': -0.7447163, 'Left': -5.682943, 'left': -5.948171, ' ': -8.959542}
{' Right': -0.45743552, ' right': -1.0256118, 'Right': -5.3637805, 'right': -5.75942, ' ': -8.21111}
{' Left': -0.28539312, ' left': -1.4667494, 'Left': -4.3074436, 'left': -5.5640774, ' ': -8.386631}
{' Right': -0.2750238, ' right': -1.4871532, 'Right': -4.5762153, 'right': -5.599227, ' ': -8.158926}
{' Left': -0.34309277, ' left': -1.2842112, 'Left': -4.6941056, 'left': -5.4852223, ' ': -8.563595}
{' Right': -0.19623855, ' right': -1.796361, 'Right': -4.6855702, 'right': -6.0503683, ' ': -8.083444}
{' Left': -0.050285887, ' left': -3.15366, 'Left': -5.2518277, 'left': -6.923733, ' ': -9.68664}
{' Right': -0.058548033, ' right': -2.9401436, 'Right': -5.8096957, 'right': -7.1453395, ' ': -9.057289}
{' Left': -0.079910405, ' left': -2.6266425, 'Left': -5.708526, 'left': -6.8888416, ' ': -9.330194}
{' Right': -0.03533683, ' right': -3.4703743, 'Right': -5.8784113, 'right': -7.469779, ' ': -9.252043}
{' Left': -0.63352484, ' Right': -1.2352495, ' left': -1.9918888, ' right': -3.2217817, 'Left': -7.549029}
{' Right': -0.047467887, ' right': -3.103744, 'Right': -6.890014, 'right': -8.355501, ' Left': -9.263777}
{' Right': -0.04407399, ' right': -3.1675918, 'Right': -7.259885, 'right': -8.722758, ' RIGHT': -9.886176}
{' Left': -0.14077258, ' left': -2.0782306, ' Right': -5.448649, 'Left': -7.0939736, 'left': -7.6545153}
{' Left': -0.09520613, ' left': -2.4815814, 'Left': -5.698668, ' Right': -6.007487, 'left': -6.746018}
{' Right': -0.027284263, ' right': -3.8003953, 'Right': -5.5460043, 'right': -7.6972036, ' Left': -9.393385}
{' Right': -0.030094938, ' right': -3.6646428, 'Right': -5.816332, ' Left': -7.706618, 'right': -7.7854447}
{' Left': -0.16112521, ' left': -2.4054642, ' Right': -2.9873447, 'Left': -5.729849, ' right': -5.8194256}
{' Left': -0.3424496, ' Right': -1.568236, ' left': -2.719458, ' right': -4.6949253, 'Left': -5.764569}
{' Right': -0.017952496, ' right': -4.2825265, 'Right': -5.681715, 'right': -7.9737363, ' Left': -8.960804}
{' Right': -0.026381617, ' right': -3.8138402, 'Right': -5.7037244, 'right': -7.62486, ' RIGHT': -9.6370325}
{' Left': -0.07756815, ' left': -2.6956787, 'Left': -5.504219, ' Right': -6.339311, 'left': -6.7790375}
{' Left': -0.57055104, ' left': -1.5996915, ' Right': -1.7074683, ' right': -3.1287537, 'Left': -5.844459}
{' Right': -0.09952232, ' right': -2.426995, 'Right': -5.3325944, 'right': -6.8601513, ' Left': -8.41652}
{' Right': -0.13815403, ' right': -2.0933542, 'Right': -5.4690447, 'right': -6.7678037, ' RIGHT': -8.984022}
{' Left': -0.29075232, ' left': -1.4049492, 'Left': -5.6277595, 'left': -6.2614803, ' Right': -6.9138546}
{' Right': -0.74322855, ' Left': -0.94965905, ' left': -2.625057, ' right': -2.9457738, 'Right': -5.2252617}
{' Right': -0.06396442, ' right': -2.989793, 'Right': -4.62004, 'right': -6.6764154, ' Left': -8.211875}
{' Right': -0.055304825, ' right': -3.1134312, 'Right': -4.826888, 'right': -6.86805, ' RIGHT': -8.972244}
{' Left': -0.14971198, ' left': -2.0623174, 'Left': -4.7500877, 'left': -6.019516, ' Right': -7.429964}
{' Left': -0.037164353, ' left': -3.5984013, ' Right': -4.9742007, 'Left': -6.460784, 'left': -7.7421813}
{' Right': -0.009530837, ' right': -5.0052795, 'Right': -6.052585, 'right': -8.4392185, ' Left': -9.117326}
{' Right': -0.010356666, ' right': -4.80792, 'Right': -6.351798, 'right': -8.45786, ' Left': -9.552754}
{' Left': -0.029811133, ' left': -3.8661377, ' Right': -5.0997133, 'Left': -6.335112, 'left': -7.8451924}
{' Right': -0.0646673, ' right': -2.7948442, 'Right': -6.9393163, 'right': -7.984755, ' ': -9.739811}
{' Left': -0.1756485, ' left': -1.8361118, 'Left': -6.909056, 'left': -7.4783764, ' ': -10.141411}
{' Right': -0.1292491, ' right': -2.1249077, 'Right': -6.9699163, 'right': -7.221337, ' ': -9.828839}
{' Left': -0.1881364, ' left': -1.7729467, 'Left': -7.0019007, 'left': -7.39916, ' Right': -9.958529}
{' Right': -0.020361168, ' right': -4.1532826, 'Right': -5.571102, 'right': -7.6655674, ' ': -9.470115}
{' Left': -0.06553315, ' left': -2.832371, 'Left': -5.6413827, 'left': -6.959557, ' ': -9.999852}
{' Right': -0.028841177, ' right': -3.7288036, 'Right': -5.67362, 'right': -7.0417194, ' ': -9.722518}
{' Left': -0.066054195, ' left': -2.8769498, 'Left': -5.1415186, 'left': -6.384106, ' ': -10.058146}
{' Right': -0.03537376, ' right': -3.6025124, 'Right': -5.1159897, 'right': -6.9163322, ' ': -8.376825}
{' Left': -0.1243019, ' left': -2.2136707, 'Left': -5.2008896, 'left': -6.2734632, ' ': -8.958894}
{' Right': -0.06247299, ' right': -2.945175, 'Right': -5.171535, 'right': -6.196899, ' ': -8.802557}
{' Left': -0.11736424, ' left': -2.2993598, 'Left': -4.899806, 'left': -5.8875246, ' ': -9.216493}
{' Right': -0.16199474, ' right': -1.956417, 'Right': -5.15233, 'right': -6.2439, ' ': -8.742358}
{' Left': -0.4450269, ' left': -1.043387, 'Left': -5.4058614, 'left': -6.1206365, ' ': -9.05387}
{' Right': -0.20113672, ' right': -1.7502663, 'Right': -5.1830854, 'right': -5.9735093, ' ': -8.773879}
{' Left': -0.33438832, ' left': -1.2914215, 'Left': -4.9871516, 'left': -6.1079345, ' ': -9.098458}
{' Right': -0.05168701, ' right': -3.2670646, 'Right': -4.626449, 'right': -6.5492353, ' ': -7.5687647}
{' Left': -0.16433656, ' left': -1.9906229, 'Left': -4.4744825, 'left': -5.7395396, ' ': -8.392419}
{' Right': -0.072766446, ' right': -2.8591068, 'Right': -4.6239157, 'right': -6.0128217, ' ': -8.00891}
{' Left': -0.15854941, ' left': -2.0403376, 'Left': -4.378104, 'left': -5.595231, ' ': -8.310204}
{' Right': -0.019739121, ' right': -4.238535, 'Right': -5.4850535, 'right': -7.423848, ' ': -8.90664}
{' Left': -0.049897853, ' left': -3.1139235, 'Left': -5.716575, 'left': -7.092544, ' ': -9.566033}
{' Right': -0.020186417, ' right': -4.1009107, 'Right': -5.9291005, 'right': -7.4266725, ' ': -9.287539}
{' Left': -0.044120952, ' left': -3.2923965, 'Left': -5.356285, 'left': -6.799307, ' ': -9.517224}
{' Left': -0.48941553, ' left': -1.5757916, ' Right': -1.9053625, ' right': -3.5392888, 'left': -7.125794}
{' Right': -0.13302882, ' right': -2.2383354, ' Left': -4.4030614, ' left': -5.868017, 'Right': -6.5200596}
{' Right': -0.11700927, ' right': -2.374566, ' Left': -4.400941, ' left': -5.8526115, 'Right': -6.7557592}
{' Left': -0.43031904, ' Right': -1.7849008, ' left': -1.8916303, ' right': -3.5448534, 'left': -7.269331}
{' Left': -0.080494866, ' left': -2.7822313, ' Right': -4.7570314, 'Left': -5.4016123, 'left': -6.368754}
{' Right': -0.08389623, ' Left': -3.1974235, ' right': -3.5799327, 'Right': -5.0034633, ' left': -5.855842}
{' Left': -0.25772932, ' Right': -1.8456963, ' left': -2.9064813, ' right': -4.9148564, 'Left': -5.5520177}
{' Right': -0.5840383, ' Left': -0.93528044, ' left': -3.7521307, ' right': -3.933642, 'Right': -5.8016777}
{' Left': -0.1308463, ' left': -2.8321915, ' Right': -2.925192, 'Left': -5.2901325, ' right': -6.1664658}
{' Right': -0.19850138, ' Left': -2.0312116, ' right': -3.503061, ' left': -4.581325, 'Right': -5.202642}
{' Left': -0.20870984, ' Right': -2.2412071, ' left': -2.6932814, ' right': -5.148731, 'Left': -5.2815685}
{' Right': -0.41935176, ' Left': -1.2488768, ' right': -3.6326046, ' left': -3.9193404, 'Right': -5.3139877}
{' Left': -0.49050593, ' left': -1.0955722, ' Right': -3.4266667, ' right': -4.3748384, 'Left': -5.5362}
{' Right': -0.29366204, ' right': -1.588599, ' Left': -3.6265876, ' left': -4.418355, 'Right': -5.0428095}
{' Right': -0.3919447, ' right': -1.4101086, ' Left': -3.134134, ' left': -3.6630702, 'Right': -5.213577}
{' Left': -0.37879717, ' left': -1.2152077, ' Right': -4.771198, 'Left': -5.4843326, ' right': -5.8137903}
{' Left': -0.09085199, ' left': -2.7433786, 'Left': -4.64058, ' Right': -4.6468477, 'left': -6.161525}
{' Right': -0.38225138, ' Left': -1.3079621, ' right': -3.8134859, ' left': -4.127252, 'Right': -5.2463183}
{' Left': -0.091349296, ' left': -2.8682144, ' Right': -3.9949615, 'Left': -4.7652016, 'left': -6.216336}
{' Right': -0.34470668, ' Left': -1.4747745, ' right': -3.4263659, ' left': -4.1863737, 'Right': -4.682151}
{' Left': -0.08805002, ' left': -2.8021555, ' Right': -3.9638565, 'Left': -6.068842, 'left': -6.68125}
{' Right': -0.0365317, ' right': -3.8724136, ' Left': -4.695198, 'Right': -5.5370827, 'right': -6.978098}
{' Right': -0.16630188, ' Left': -2.2871704, ' right': -3.3252485, ' left': -4.734791, 'Right': -5.612726}
{' Left': -0.14060716, ' Right': -2.5396302, ' left': -3.091752, ' right': -5.9556403, 'Left': -6.058957}
{' Right': -0.08831583, ' right': -2.4847372, 'Right': -7.189377, 'right': -8.094242, ' ': -10.007347}
{' Left': -0.18789846, ' left': -1.7711104, 'Left': -7.263593, 'left': -7.8759875, '\n': -10.021746}
{' Right': -0.27107126, ' right': -1.4428948, 'Right': -7.5113792, 'right': -7.542487, ' ': -9.724904}
{' Left': -0.21953245, ' left': -1.6297249, 'Left': -7.2983117, 'left': -7.8812656, '\n': -10.247686}
{' Right': -0.029904844, ' right': -3.6322434, 'Right': -6.0087085, 'right': -7.730966, ' ': -9.895998}
{' Left': -0.09060301, ' left': -2.47921, 'Left': -6.2033997, 'left': -7.199848, ' ': -10.536877}
