{' Yes': -0.0029946903, ' No': -6.6307826, 'Yes': -6.8748684, ' The': -7.6930256, ' yes': -9.08091}
{' Yes': -0.43562946, ' No': -1.0677228, 'Yes': -5.488259, 'No': -5.5601063, '\n': -7.311581}
{' Yes': -0.0013771723, 'Yes': -6.64019, ' yes': -9.976453, ' No': -11.50426, '\n': -12.404983}
{' Yes': -0.013895313, ' No': -4.524233, 'Yes': -5.929575, ' The': -9.264124, 'No': -9.485352}
{' No': -0.010852925, 'No': -5.1210175, ' Yes': -5.395788, ' The': -9.262371, ' Not': -9.3858185}
{' Yes': -0.27572274, ' No': -1.4429649, 'Yes': -6.492452, ' The': -6.4993377, 'No': -7.0789566}
{' Yes': -0.0039236806, 'Yes': -6.1682105, ' No': -6.4253707, ' yes': -9.298488, ' The': -9.822956}
{' Yes': -0.3530583, ' No': -1.2264867, 'Yes': -6.600497, 'No': -6.8485, ' The': -7.1401734}
{' Yes': -0.008726134, ' No': -5.0281944, 'Yes': -6.343295, ' The': -8.625829, ' yes': -9.446261}
{' Yes': -0.0070249266, ' No': -5.233917, 'Yes': -6.7779427, ' The': -7.9195404, ' yes': -9.121891}
{' Yes': -0.0038965181, ' No': -6.202018, 'Yes': -6.401254, ' The': -9.290191, '\n': -10.0285425}
{' Yes': -0.3488246, ' No': -1.2363958, 'Yes': -6.489753, 'No': -6.642258, ' The': -7.352093}
{' No': -0.2753262, ' Yes': -1.4375156, 'No': -6.5674896, ' The': -6.8596435, 'Yes': -8.108755}
{' No': -0.09087699, ' Yes': -2.4894154, 'No': -5.718297, ' The': -8.269576, 'Yes': -8.470038}
{' Yes': -0.042919718, ' No': -3.226864, 'Yes': -6.3506103, 'No': -8.626921, ' yes': -8.847514}
{' Yes': -0.23011416, ' No': -1.5957872, 'Yes': -6.529881, 'No': -7.003723, ' The': -8.473204}
{' Yes': -0.22028346, ' No': -1.6451684, 'Yes': -6.1693892, ' Not': -6.498239, 'No': -7.2136817}
{' No': -0.13135298, ' Yes': -2.1216922, 'No': -6.3333163, ' The': -7.059289, ' Not': -8.452012}
{' Yes': -0.0015992925, 'Yes': -6.4967313, ' yes': -10.220489, ' No': -10.452413, ' The': -11.642342}
{' Yes': -0.005446619, ' No': -5.5968003, 'Yes': -6.4482064, ' yes': -9.916236, ' The': -10.411075}
{' Yes': -0.0033337213, 'Yes': -6.3357553, ' No': -6.548652, ' The': -10.043397, ' yes': -10.15352}
{' Yes': -0.092294134, ' No': -2.4537787, 'Yes': -6.6534724, ' The': -8.0633, 'No': -8.189582}
{' No': -0.03540982, ' Yes': -3.7906914, 'No': -4.5219398, ' The': -7.347818, ' Not': -7.8501754}
{' No': -0.012646586, 'No': -4.708552, ' Yes': -5.7457414, ' The': -9.1453, '\n': -9.352706}
{' No': -0.010942527, ' Yes': -5.115885, 'No': -5.4115124, '\n': -8.939688, ' The': -9.206129}
{' Yes': -0.53704864, ' No': -0.896439, 'Yes': -5.7093506, 'No': -5.729031, ' The': -7.712044}
{' Yes': -0.002158543, 'Yes': -6.271081, ' No': -8.858743, ' yes': -9.586116, ' The': -10.200339}
{' Yes': -0.110648096, ' No': -2.2868147, 'Yes': -6.335829, ' The': -7.5243073, 'No': -7.7768464}
{' Yes': -0.5539642, ' No': -0.8677307, 'No': -6.0586653, 'Yes': -6.475654, ' The': -7.085841}
{' No': -0.16482492, ' Yes': -1.9233584, 'No': -5.3406577, 'Yes': -7.5586543, ' The': -8.220197}
{' No': -0.6784648, ' Yes': -0.7165565, 'No': -6.1604953, 'Yes': -6.6274595, ' The': -7.681043}
{' Yes': -0.5543063, ' No': -0.8754066, ' The': -5.8492928, 'No': -5.9682927, 'Yes': -6.0727673}
{' No': -0.024325717, ' Yes': -4.1693106, 'No': -4.8610544, ' The': -8.411906, '\n': -8.52971}
{' No': -0.041229106, ' Yes': -3.4420907, 'No': -4.84692, 'Yes': -8.545076, ' The': -8.908938}
{' Yes': -0.50816983, ' No': -0.9407394, 'No': -5.9092903, 'Yes': -6.0248094, ' The': -6.8087254}
{' No': -0.22013475, ' Yes': -1.6428432, 'No': -5.9680037, ' The': -7.19531, 'Yes': -7.7131495}
{' Yes': -0.0065012276, ' No': -5.314194, 'Yes': -6.5415573, ' The': -9.926432, ' yes': -10.373053}
{' Yes': -0.056259792, ' No': -2.9918234, 'Yes': -5.5874085, 'No': -7.9431705, ' The': -8.203962}
{' Yes': -0.64391464, ' No': -0.7485633, 'No': -7.301543, 'Yes': -7.449199, ' Not': -8.920335}
{' No': -0.14747901, ' Yes': -2.0306995, 'No': -5.5412164, ' The': -7.043814, '\n': -7.841173}
{' Yes': -0.0028408777, 'Yes': -6.1824055, ' yes': -8.485749, '\n': -8.526858, ' No': -8.604793}
{' Yes': -0.0076309377, ' No': -5.220702, 'Yes': -6.2355742, ' The': -8.95931, ' yes': -10.173245}
{' Yes': -0.0827818, ' No': -2.554118, 'Yes': -6.6523123, 'No': -8.825271, ' yes': -9.386796}
{' No': -0.14496602, ' Yes': -2.0333211, 'No': -5.7440047, 'Yes': -7.9644012, ' The': -8.305986}
{' Yes': -0.01176054, ' No': -4.6950088, 'Yes': -6.0554156, '\n': -9.921582, ' yes': -9.962009}
{' Yes': -0.061645087, ' No': -2.8939948, 'Yes': -5.5892744, 'No': -7.6615953, ' The': -9.637252}
{' No': -0.34449568, ' Yes': -1.2443331, 'No': -6.1154895, 'Yes': -7.539142, ' The': -8.237187}
{' No': -0.11116602, ' Yes': -2.3406467, 'No': -4.8226337, 'Yes': -7.7677493, ' The': -8.543339}
{' No': -0.06312938, ' Yes': -2.9754598, 'No': -4.8369102, '\n': -7.1653705, ' The': -7.2292}
{' No': -0.14309655, ' Yes': -2.0518565, 'No': -5.7645817, ' The': -6.847855, 'Yes': -7.8929496}
{' No': -0.10675227, ' Yes': -2.3438795, 'No': -5.660648, ' The': -7.2945, '\n': -7.5351596}
{' No': -0.2511858, ' Yes': -1.5245908, 'No': -6.081105, ' The': -6.739495, 'Yes': -7.472464}
{' Yes': -0.21130967, ' No': -1.679869, 'Yes': -6.420193, ' The': -6.6173496, 'No': -7.1922517}
{' Yes': -0.4492098, ' No': -1.0329024, 'Yes': -6.229206, 'No': -6.232125, ' The': -6.793232}
{' Yes': -0.0022952245, 'Yes': -6.1138935, ' yes': -10.104271, ' No': -10.692051, ' The': -12.077046}
{' No': -0.12944718, ' Yes': -2.1727803, 'No': -5.137061, '\n': -7.59145, 'Yes': -7.699015}
{' Yes': -0.008800092, ' No': -5.3434424, 'Yes': -5.5637183, '\n': -10.127381, 'No': -10.172303}
{' No': -0.1279193, ' Yes': -2.155427, 'No': -5.66809, 'Yes': -8.1264105, '\n': -8.683047}
{' No': -0.49602234, ' Yes': -0.9498092, 'No': -5.9078016, 'Yes': -6.8322363, ' The': -8.601653}
{' Yes': -0.15313004, ' No': -1.9775337, 'Yes': -6.0595818, 'No': -7.2892594, ' The': -8.045628}
{' Yes': -0.01404086, ' No': -4.5106688, 'Yes': -5.937472, ' The': -8.973613, ' yes': -9.533969}
{' Yes': -0.009061097, ' No': -5.1215143, 'Yes': -5.910859, ' The': -8.644387, ' yes': -9.2767725}
{' No': -0.08808719, ' Yes': -2.5374873, 'No': -5.6734257, '\n': -7.4951243, ' The': -7.5212708}
{' No': -0.010105137, 'No': -4.756635, ' Yes': -6.7825904, ' Not': -9.061313, '\n': -9.257695}
{' No': -0.010303488, 'No': -4.923328, ' Yes': -5.8785276, ' The': -9.720531, '\n': -10.159475}
{' No': -0.011015144, 'No': -4.600809, ' Yes': -7.320387, ' The': -9.5600395, ' Not': -9.616434}
{' Yes': -0.025873251, ' No': -3.7972963, 'Yes': -6.0174313, '\n': -8.304245, 'No': -8.858749}
{' Yes': -0.08845999, ' No': -2.5057306, 'Yes': -6.3052855, '\n': -7.65339, 'No': -7.8446245}
{' Yes': -0.041847892, ' No': -3.2658162, 'Yes': -6.059748, 'No': -8.548447, ' The': -9.071806}
{' Yes': -0.031047292, ' No': -3.6049037, 'Yes': -5.9308786, ' The': -8.0693655, 'No': -8.826961}
{' No': -0.012266429, ' Yes': -4.7534256, 'No': -5.7056317, '\n': -9.494207, ' The': -9.571684}
{' No': -0.012067624, ' Yes': -4.8371387, 'No': -5.6073656, '\n': -8.536586, ' ': -9.094442}
{' No': -0.66087, ' Yes': -0.73321956, 'No': -6.4227343, 'Yes': -6.926045, ' The': -7.994494}
{' No': -0.06785081, ' Yes': -2.804083, 'No': -5.409657, ' The': -8.382483, 'Yes': -8.648863}
{' No': -0.015124844, ' Yes': -4.433351, 'No': -5.926351, ' The': -8.583241, '\n': -9.191819}
{' No': -0.0068865186, 'No': -5.0162077, ' Yes': -9.159468, ' The': -10.0594845, '\n': -10.48118}
{' Yes': -0.015115707, ' No': -4.2787876, 'Yes': -6.980518, ' The': -9.298482, ' yes': -9.822322}
{' Yes': -0.54214114, ' No': -0.8870183, 'No': -5.7022986, 'Yes': -5.815876, ' The': -9.134929}
{' Yes': -0.17783952, ' No': -1.8344156, 'Yes': -6.3001156, 'No': -7.26058, '\n': -8.486656}
{' Yes': -0.5571352, ' No': -0.8584639, 'No': -6.5151525, 'Yes': -6.7644444, ' The': -7.706383}
{' No': -0.03933205, ' Yes': -3.3882544, 'No': -5.533129, ' The': -8.138826, '\n': -8.592152}
{' No': -0.019212795, 'No': -4.658718, ' Yes': -4.7603035, '\n': -7.739748, ' The': -8.720485}
{' No': -0.028821914, ' Yes': -3.7190626, 'No': -5.6066017, ' Not': -8.6921835, '\n': -9.358199}
{' Yes': -0.24760328, ' No': -1.5268201, 'Yes': -6.8523297, 'No': -7.4815984, ' The': -8.8147545}
{' No': -0.17323554, ' Yes': -1.8971392, 'No': -4.8549414, 'Yes': -7.2442613, ' The': -8.106926}
{' No': -0.19574694, ' Yes': -1.7455076, 'No': -6.09802, ' The': -7.678245, 'Yes': -7.9474745}
{' Yes': -0.55586404, ' No': -0.86398077, 'No': -6.141317, 'Yes': -6.267686, ' The': -7.416513}
{' No': -0.38116336, ' Yes': -1.1605594, 'No': -6.309323, ' The': -6.824965, 'Yes': -7.42264}
{' No': -0.009958171, 'No': -5.0058246, ' Yes': -5.852966, ' The': -9.03106, '\n': -9.349925}
{' No': -0.034391906, ' Yes': -3.513804, 'No': -5.657435, ' Not': -8.587049, ' The': -8.791883}
{' No': -0.03161531, ' Yes': -3.6493084, 'No': -5.4590406, ' The': -7.6736608, ' Not': -8.64297}
{' No': -0.011706807, 'No': -4.8720813, ' Yes': -5.722308, '\n': -7.9210806, ' ': -8.832948}
{' No': -0.013742843, ' Yes': -4.9971123, 'No': -5.041048, ' The': -8.349209, '\n': -9.470295}
{' No': -0.008396991, 'No': -4.966309, ' Yes': -6.7931447, ' The': -9.20694, ' Not': -9.5781975}
{' No': -0.050098617, ' Yes': -3.2357428, 'No': -4.752092, '\n': -8.165073, 'Yes': -8.58749}
{' No': -0.05553862, ' Yes': -3.0027528, 'No': -5.6024265, ' The': -7.6827283, 'Yes': -9.213957}
{' No': -0.026575265, ' Yes': -3.825321, 'No': -5.661779, '\n': -7.877691, ' The': -8.08115}
{' No': -0.008989044, 'No': -4.846712, ' Yes': -7.1202693, ' The': -9.200458, '\n': -9.921311}
{' No': -0.22729209, ' Yes': -1.6178522, 'No': -5.9232883, ' The': -6.656813, 'Yes': -7.260756}
{' No': -0.04621733, ' Yes': -3.1742442, 'No': -5.948534, ' The': -7.6899524, 'Yes': -9.219931}
{' No': -0.5228133, ' Yes': -0.9130358, 'No': -5.708415, 'Yes': -6.74974, '\n': -7.007419}
{' Yes': -0.5015787, ' No': -0.95558304, 'No': -5.4930487, 'Yes': -5.8346415, '\n': -6.483093}
{' No': -0.12977755, ' Yes': -2.1440845, 'No': -5.532821, 'Yes': -8.01072, ' The': -9.659205}
{' No': -0.045579556, ' Yes': -3.1612484, 'No': -6.270665, ' The': -9.306115, 'Yes': -9.742806}
{' Yes': -0.0085007455, ' No': -5.0348067, 'Yes': -6.3401117, ' yes': -9.312285, ' The': -9.887008}
{' No': -0.48884547, ' Yes': -0.9698159, 'No': -5.3567653, 'Yes': -6.4851465, ' The': -7.3423095}
{' Yes': -0.01590808, ' No': -4.3681474, 'Yes': -6.1389055, ' The': -8.025152, '\n': -8.4683275}
{' Yes': -0.20171106, ' No': -1.7339051, 'Yes': -5.6976137, 'No': -6.6153646, ' The': -7.764041}
{' Yes': -0.026857052, ' No': -3.7715278, 'Yes': -5.744895, 'No': -8.648595, ' yes': -10.091628}
{' Yes': -0.02031737, ' No': -4.0060043, 'Yes': -6.416456, ' The': -9.132156, 'No': -9.542376}
{' No': -0.5368662, ' Yes': -0.8934337, 'No': -5.5373583, 'Yes': -6.364985, '\n': -8.657676}
{' Yes': -0.031113142, ' No': -3.564585, 'Yes': -6.247759, ' The': -8.9772835, ' yes': -9.199701}
{' Yes': -0.19872923, ' No': -1.7318751, 'Yes': -6.2082806, 'No': -6.905026, ' The': -9.3073845}
{' No': -0.58894056, ' Yes': -0.82703686, 'No': -5.261992, 'Yes': -6.0967007, ' Not': -9.292125}
{' No': -0.6724386, ' Yes': -0.72038746, 'No': -6.8120775, 'Yes': -7.295779, ' The': -7.510491}
{' No': -0.006148109, 'No': -5.6327477, ' Yes': -6.112129, ' The': -9.005297, '\n': -9.630827}
{' No': -0.059187748, ' Yes': -2.9624355, 'No': -5.298531, '\n': -8.335983, 'Yes': -8.582079}
{' No': -0.5232023, ' Yes': -0.90727925, 'No': -6.10028, 'Yes': -6.918193, ' The': -8.0835905}
{' Yes': -0.00691959, ' No': -5.5206656, 'Yes': -5.9362674, ' The': -9.221822, ' yes': -9.819545}
{' Yes': -0.08941656, ' No': -2.5005112, 'Yes': -6.1444416, ' The': -7.6645865, 'No': -7.8063393}
{' Yes': -0.5712449, ' No': -0.84244126, 'No': -6.1302695, 'Yes': -6.431026, ' The': -8.12048}
{' Yes': -0.0045690797, 'Yes': -6.1488185, ' No': -6.1648273, ' The': -8.592309, ' yes': -9.5451975}
{' No': -0.0075341254, 'No': -4.937498, ' Yes': -8.539106, ' The': -9.3601465, ' Not': -10.830229}
{' No': -0.009628327, 'No': -5.2004166, ' Yes': -5.735958, '\n': -7.6647716, ' The': -8.845116}
{' Yes': -0.35160503, ' No': -1.2228838, 'Yes': -6.9780006, 'No': -7.264452, ' The': -8.315834}
{' No': -0.008852467, 'No': -5.0069375, ' Yes': -6.3554854, ' The': -8.600161, '\n': -9.360893}
{' Yes': -0.018383814, ' No': -4.2040453, 'Yes': -5.819796, 'No': -8.80511, ' The': -9.635475}
{' Yes': -0.0029560686, 'Yes': -6.156592, ' No': -7.1860247, ' yes': -10.349917, ' The': -10.627053}
{' No': -0.11355335, ' Yes': -2.2903683, 'No': -5.2592325, 'Yes': -7.9898195, ' The': -8.002493}
{' Yes': -0.01880584, ' No': -4.1223693, 'Yes': -6.109122, 'No': -9.565131, ' The': -9.892388}
{' No': -0.20148619, ' Yes': -1.7316222, 'No': -5.6096473, ' Not': -7.4824076, 'Yes': -7.6435366}
{' No': -0.51878834, ' Yes': -0.91499805, 'No': -6.0570893, 'Yes': -6.618598, ' The': -8.269959}
{' No': -0.102868885, ' Yes': -2.3669908, 'No': -5.8646483, '\n': -7.41134, 'Yes': -8.416333}
{' No': -0.060165145, ' Yes': -3.0317988, 'No': -4.6727023, 'Yes': -8.079792, '\n': -8.312957}
{' No': -0.004885287, ' Yes': -5.9848924, 'No': -6.139794, ' The': -9.1757145, ' Not': -10.537556}
{' No': -0.0070830323, ' Yes': -5.302655, 'No': -6.2930365, ' The': -9.208821, '\n': -10.255125}
{' No': -0.028396318, 'No': -4.179189, ' Yes': -4.4372897, ' Not': -8.431774, ' The': -8.580424}
{' No': -0.17839389, ' Yes': -1.8544936, 'No': -5.2083387, 'Yes': -7.3238783, '\n': -8.140384}
{' Yes': -0.15163592, ' No': -1.9968029, 'Yes': -5.8284793, 'No': -6.6605144, '\n': -8.358879}
{' No': -0.0848345, ' Yes': -2.5709946, 'No': -5.4746757, ' The': -8.063659, 'Yes': -8.80598}
{' Yes': -0.0066800234, ' No': -5.288286, 'Yes': -6.512697, ' yes': -10.012098, ' The': -10.704222}
{' No': -0.068659864, ' Yes': -2.804759, 'No': -5.3876066, 'Yes': -8.016506, ' The': -8.046418}
{' No': -0.09850783, ' Yes': -2.4527922, 'No': -5.164336, ' The': -7.0697923, '\n': -7.7541037}
{' No': -0.098986715, ' Yes': -2.4060051, 'No': -5.710387, ' The': -8.195849, 'Yes': -8.408272}
{' Yes': -0.22341646, ' No': -1.6227429, 'Yes': -6.4655375, 'No': -7.1562657, ' The': -7.996244}
{' Yes': -0.6401412, ' No': -0.75789136, 'No': -6.1169972, 'Yes': -6.489775, ' The': -8.642705}
{' Yes': -0.017372645, ' No': -4.1470375, 'Yes': -6.9116254, ' The': -8.4287815, ' yes': -9.003483}
{' No': -0.21659935, ' Yes': -1.6741874, 'No': -5.186541, 'Yes': -7.2094564, ' The': -7.6017404}
{' No': -0.014346892, 'No': -4.9427752, ' Yes': -5.0215454, '\n': -8.48305, ' The': -8.760869}
{' No': -0.0214706, ' Yes': -4.1086555, 'No': -5.421001, ' The': -8.832727, ' Not': -9.445935}
{' No': -0.015676204, ' Yes': -4.5188766, 'No': -5.4788165, ' The': -8.350957, '\n': -9.132815}
{' No': -0.006523246, 'No': -5.3117237, ' Yes': -6.5739837, ' The': -9.198572, '\n': -10.523993}
{' No': -0.014858503, 'No': -4.6549993, ' Yes': -5.316061, ' The': -9.142807, '\n': -9.439711}
{' No': -0.012863373, 'No': -4.7565937, ' Yes': -5.563156, ' The': -9.174664, '\n': -9.230499}
{' No': -0.005398015, 'No': -5.326845, ' Not': -8.411552, ' Yes': -8.942686, ' The': -9.55229}
{' No': -0.2518022, ' Yes': -1.531923, 'No': -5.267671, 'Yes': -7.013849, ' The': -8.255128}
{' No': -0.30425316, ' Yes': -1.3508383, 'No': -6.237236, 'Yes': -7.6237736, ' The': -7.6837177}
{' No': -0.55207264, ' Yes': -0.87029475, 'No': -5.677166, 'Yes': -6.4393063, ' The': -8.5108185}
{' No': -0.1461713, ' Yes': -2.0369315, 'No': -5.425266, 'Yes': -7.6820426, ' The': -8.043635}
{' No': -0.25223896, ' Yes': -1.5213315, 'No': -6.2008295, ' The': -6.949053, ' Not': -7.269831}
{' Yes': -0.0045190253, 'Yes': -6.005398, ' No': -6.70534, '\n': -7.544607, ' yes': -9.33864}
{' Yes': -0.05574733, ' No': -2.9594793, 'Yes': -6.308074, 'No': -8.281205, ' The': -8.793889}
{' Yes': -0.015527273, ' No': -4.709506, 'Yes': -5.610242, ' The': -6.436666, '\n': -7.543702}
{' Yes': -0.020703278, ' No': -4.298655, 'Yes': -5.192946, ' yes': -7.822331, '\n': -7.9016504}
{' Yes': -0.04834476, ' No': -3.2664654, 'Yes': -4.9588003, '\n': -7.115025, 'No': -7.5900044}
{' Yes': -0.11056435, ' No': -2.3390837, 'Yes': -5.0455275, 'No': -6.784877, ' The': -8.311725}
{' No': -0.011947698, ' Yes': -5.189722, 'No': -5.2139645, ' The': -7.800083, '\n': -8.565302}
{' No': -0.04453093, 'No': -3.6365087, ' Yes': -4.188831, '\n': -7.3736095, ' Not': -7.693462}
{' No': -0.07638368, ' Yes': -2.8994675, 'No': -4.1643944, '\n': -6.8452854, ' The': -7.16292}
{' No': -0.029647186, 'No': -4.148713, ' Yes': -4.3769107, '\n': -8.185388, ' The': -8.315366}
{' No': -0.27313223, ' Yes': -1.5550957, 'No': -3.7520025, 'Yes': -5.805961, '\n': -7.583293}
{' No': -0.46089107, ' Yes': -1.0372804, 'No': -4.555747, 'Yes': -5.9530244, '\n': -7.018269}
{' No': -0.021104977, 'No': -3.8880844, ' The': -9.159887, ' Yes': -9.315595, '\n': -10.079949}
{' No': -0.047048215, ' Yes': -3.5536397, 'No': -4.1293426, 'Yes': -7.8579855, '\n': -7.894122}
{' No': -0.2508694, ' Yes': -1.5702053, 'No': -4.596723, 'Yes': -6.4979334, ' The': -6.6370215}
{' No': -0.032977436, ' Yes': -4.1401725, 'No': -4.2117286, ' The': -7.315856, '\n': -7.701995}
{' Yes': -0.48775217, ' No': -0.97123265, 'No': -5.710999, 'Yes': -5.8587046, ' The': -7.4336615}
{' Yes': -0.02930262, ' No': -3.7561376, 'Yes': -5.431936, ' The': -7.5753016, 'No': -8.289402}
{' No': -0.17229931, ' Yes': -1.923495, 'No': -4.6562886, 'Yes': -6.9349885, '\n': -7.2303457}
{' No': -0.097572036, ' Yes': -2.6583476, 'No': -4.0109878, '\n': -6.093633, 'Yes': -7.0336084}
{' No': -0.653154, ' Yes': -0.80799633, 'No': -3.7468047, 'Yes': -4.8858256, '\n': -6.603563}
{' No': -0.030902384, 'No': -3.5205514, ' Yes': -7.802867, '\n': -8.580367, ' ': -9.314996}
{' No': -0.28091565, ' Yes': -1.5273812, 'No': -3.9509308, '\n': -5.874578, 'Yes': -6.054275}
{' No': -0.04395614, 'No': -3.7092066, ' Yes': -4.191165, '\n': -6.3554254, ' The': -7.594207}
{' Yes': -0.008206414, 'Yes': -4.829156, ' yes': -9.259307, '\n': -9.905944, ' ': -10.963927}
{' Yes': -0.009397856, 'Yes': -4.6918697, ' yes': -9.339716, '\n': -10.326963, ' The': -10.906786}
{' Yes': -0.64056075, ' No': -0.7821051, 'No': -4.785073, 'Yes': -5.410027, ' The': -6.821318}
{' No': -0.06930384, ' Yes': -3.1742442, 'No': -3.7557108, ' The': -7.4701943, 'Yes': -7.621414}
{' No': -0.5628211, ' Yes': -0.87368846, 'No': -4.8855443, 'Yes': -5.4977136, ' The': -7.4033246}
{' Yes': -0.47695374, ' No': -1.0196003, 'Yes': -4.693718, 'No': -4.8358483, ' The': -7.2870336}
{' No': -0.028626665, ' Yes': -3.9966536, 'No': -4.7494, '\n': -7.6306767, ' The': -8.232571}
{' No': -0.3983922, ' Yes': -1.1543775, 'No': -4.863604, 'Yes': -6.0180097, '\n': -6.161078}
{' No': -0.03659322, 'No': -3.487164, ' Yes': -5.3457646, ' The': -8.712738, '\n': -8.958802}
{' No': -0.08509809, ' Yes': -2.8724647, 'No': -3.7564523, 'Yes': -7.190183, '\n': -7.7969203}
{' No': -0.39300308, ' Yes': -1.171495, 'No': -4.6940737, 'Yes': -5.9011927, ' The': -6.518014}
{' No': -0.032428462, ' Yes': -4.1018806, 'No': -4.25115, '\n': -7.70403, ' The': -8.103284}
{' Yes': -0.63375944, ' No': -0.8022737, 'Yes': -4.5961485, 'No': -4.816962, ' The': -6.4702687}
{' No': -0.04382355, ' Yes': -3.8603957, 'No': -3.8828967, 'Yes': -7.697651, ' The': -8.040234}
{' No': -0.26101267, ' Yes': -1.5472827, 'No': -4.345842, 'Yes': -6.3241396, ' The': -6.832214}
{' No': -0.090898335, ' Yes': -2.68667, 'No': -4.1029086, 'Yes': -7.261155, ' The': -7.3745394}
{' Yes': -0.06171387, ' No': -2.943256, 'Yes': -5.244308, 'No': -7.478128, ' The': -7.5169024}
{' No': -0.5851992, ' Yes': -0.8682363, 'No': -4.2266135, 'Yes': -5.1039996, '\n': -6.4588313}
{' Yes': -0.005006765, 'Yes': -5.367155, ' No': -8.602585, ' yes': -9.061962, ' ': -11.933373}
