{' 28': -2.1365736, ' 24': -2.2248552, ' 25': -2.3435724, ' 33': -2.6462429, ' 30': -2.6577365}
{' 33': -1.8156289, ' 34': -2.211399, ' 36': -2.3177052, ' 32': -2.3316298, ' 37': -2.7393198}
{' 33': -1.9927495, ' 34': -2.3763306, ' 32': -2.433163, ' 36': -2.5375826, ' 30': -2.7414305}
{' 33': -2.0108178, ' 34': -2.3952546, ' 32': -2.5817885, ' 36': -2.5893846, ' 37': -2.666038}
{' 33': -1.8203025, ' 32': -2.0776334, ' 34': -2.1655421, ' 30': -2.4227996, ' 28': -2.487329}
{' 33': -2.0897665, ' 34': -2.239692, ' 32': -2.313802, ' 36': -2.3567936, ' 37': -2.7248287}
{' 33': -1.835268, ' 32': -2.1359494, ' 30': -2.4230452, ' 28': -2.4585724, ' 34': -2.5008383}
{' 33': -2.3846138, ' 34': -2.4158893, ' 36': -2.5403583, ' 32': -2.7630403, ' 37': -2.7855906}
{' 33': -1.8093079, ' 32': -2.0163772, ' 34': -2.28222, ' 36': -2.6586301, ' 30': -2.7251022}
{' 33': -1.8751866, ' 32': -2.2875974, ' 34': -2.3190627, ' 36': -2.465507, ' 37': -2.7416453}
{' 33': -1.6576352, ' 32': -2.318852, ' 34': -2.3346963, ' 30': -2.4170785, ' 28': -2.7905564}
{' 33': -2.134331, ' 34': -2.2367404, ' 32': -2.4730523, ' 37': -2.5131466, ' 36': -2.593197}
{' 33': -1.7371345, ' 32': -2.245483, ' 34': -2.388763, ' 30': -2.6595664, ' 28': -2.6733801}
{' 33': -1.9784495, ' 34': -2.226072, ' 36': -2.3831785, ' 32': -2.4491413, ' 37': -2.6623743}
{' 33': -1.7686557, ' 32': -2.3070717, ' 34': -2.36065, ' 36': -2.4474316, ' 30': -2.6786804}
{' 36': -2.2124617, ' 34': -2.3272147, ' 33': -2.3575652, ' 32': -2.486191, ' 38': -2.7518723}
{' 33': -1.9546454, ' 32': -2.2836068, ' 34': -2.4126084, ' 36': -2.5586846, ' 30': -2.6434224}
{' 33': -2.1238635, ' 36': -2.1627095, ' 34': -2.164867, ' 37': -2.2578301, ' 38': -2.5589678}
{' 33': -1.7782894, ' 34': -2.284004, ' 32': -2.3733687, ' 36': -2.575111, ' 37': -2.6010137}
{' 33': -1.8961098, ' 34': -2.11574, ' 36': -2.3124897, ' 32': -2.3658354, ' 37': -2.3899443}
{' 33': -1.9507704, ' 32': -2.1587737, ' 30': -2.453329, ' 28': -2.4979649, ' 34': -2.526516}
{' 33': -1.7730397, ' 36': -1.9344215, ' 34': -2.22385, ' 32': -2.2708347, ' 30': -2.82921}
{' 33': -2.1036618, ' 36': -2.215937, ' 34': -2.3733134, ' 37': -2.6353037, ' 40': -2.6684031}
{' 34': -2.226057, ' 33': -2.2851086, ' 36': -2.2923412, ' 32': -2.5408106, ' 37': -2.6200666}
{' 33': -1.9520247, ' 34': -2.3086638, ' 32': -2.332904, ' 36': -2.498008, ' 30': -2.777056}
{' 33': -2.1679788, ' 37': -2.3342729, ' 34': -2.3654644, ' 36': -2.4235759, ' 32': -2.7284865}
{' 33': -1.8205777, ' 34': -2.2639115, ' 32': -2.3254263, ' 36': -2.3918285, ' 37': -2.7993119}
{' 33': -1.8078161, ' 32': -2.247153, ' 34': -2.3690448, ' 30': -2.654714, ' 28': -2.6712737}
{' 36': -2.1930218, ' 33': -2.331502, ' 34': -2.4390013, ' 37': -2.5027752, ' 40': -2.5345125}
{' 33': -1.760234, ' 34': -2.1678631, ' 36': -2.2973282, ' 32': -2.3633883, ' 37': -2.551839}
{' 33': -1.7170578, ' 32': -2.2549837, ' 34': -2.3407028, ' 36': -2.6523168, ' 37': -2.6915538}
{' 33': -1.828906, ' 34': -2.2442513, ' 32': -2.3900433, ' 36': -2.4780083, ' 37': -2.721173}
{' 33': -1.7365638, ' 32': -2.2347984, ' 34': -2.3809423, ' 30': -2.666854, ' 36': -2.6865559}
{' 33': -1.8603398, ' 34': -2.1788337, ' 36': -2.4755552, ' 32': -2.498739, ' 37': -2.639528}
{' 33': -2.1449351, ' 32': -2.3045726, ' 34': -2.4481475, ' 36': -2.5256164, ' 30': -2.749893}
{' 33': -2.0328274, ' 34': -2.3233633, ' 32': -2.4174407, ' 37': -2.6221714, ' 36': -2.6794815}
{' 33': -1.9544997, ' 32': -2.1188633, ' 28': -2.4496772, ' 34': -2.4926944, ' 30': -2.6749635}
{' 36': -2.2488365, ' 33': -2.277442, ' 34': -2.392146, ' 37': -2.5510006, ' 38': -2.6565037}
{' 33': -2.3099883, ' 36': -2.321996, ' 40': -2.3969796, ' 37': -2.5395844, ' 34': -2.574836}
{' 33': -1.9486308, ' 32': -2.1709456, ' 34': -2.3193028, ' 28': -2.5855145, ' 30': -2.7521815}
{' 33': -1.9195126, ' 32': -2.1054325, ' 34': -2.3366249, ' 30': -2.6910868, ' 36': -2.6920319}
{' 33': -1.8155844, ' 32': -2.255007, ' 34': -2.4613323, ' 36': -2.766802, ' 30': -2.9030857}
{' 33': -1.8231483, ' 32': -2.0364022, ' 34': -2.313848, ' 36': -2.6050754, ' 30': -2.7132497}
{' 33': -1.8056178, ' 32': -2.0528092, ' 34': -2.4380717, ' 28': -2.5486276, ' 30': -2.607201}
{' 33': -2.355173, ' 36': -2.4400682, ' 40': -2.4748793, ' 34': -2.5867624, ' 37': -2.6297596}
{' 33': -1.9279853, ' 34': -2.3564434, ' 37': -2.4674044, ' 36': -2.5039892, ' 32': -2.7091932}
{' 33': -2.0650873, ' 34': -2.3985443, ' 32': -2.4670687, ' 36': -2.5039604, ' 37': -2.7677507}
{' 33': -2.0176985, ' 34': -2.3033752, ' 32': -2.3989327, ' 36': -2.7037125, ' 37': -2.9041624}
{' 33': -1.9196995, ' 32': -2.1981993, ' 28': -2.3421907, ' 30': -2.3468015, ' 34': -2.5749366}
{' 36': -2.231468, ' 33': -2.2538507, ' 34': -2.4109905, ' 32': -2.6898696, ' 37': -2.8295467}
{' 33': -1.8210149, ' 32': -2.1875818, ' 34': -2.3127227, ' 30': -2.4693599, ' 36': -2.5500388}
{' 33': -2.173986, ' 36': -2.3082843, ' 34': -2.4887874, ' 40': -2.6007447, ' 37': -2.6082807}
{' 33': -1.7616152, ' 32': -2.027346, ' 34': -2.2783425, ' 30': -2.6765091, ' 36': -2.7380135}
{' 33': -1.8031145, ' 34': -2.272228, ' 32': -2.320048, ' 36': -2.3698108, ' 37': -2.5225217}
{' 33': -1.772882, ' 34': -2.189075, ' 32': -2.2304435, ' 36': -2.5238318, ' 37': -2.7428403}
{' 33': -2.3618221, ' 36': -2.5378306, ' 37': -2.6418905, ' 34': -2.6933546, ' 40': -2.775549}
{' 33': -1.7648913, ' 34': -2.2639816, ' 32': -2.424071, ' 36': -2.5063798, ' 37': -2.6125636}
{' 40': -2.385905, ' 36': -2.4314327, ' 33': -2.4652786, ' 34': -2.639206, ' 37': -2.692104}
{' 33': -1.8785279, ' 30': -2.2528164, ' 32': -2.257011, ' 28': -2.5387719, ' 34': -2.5433514}
{' 33': -2.0921204, ' 34': -2.2595274, ' 36': -2.3825743, ' 32': -2.534201, ' 37': -2.616668}
{' 33': -1.7268612, ' 32': -2.19123, ' 34': -2.4042494, ' 30': -2.5609906, ' 28': -2.6629643}
{' 33': -2.2374513, ' 36': -2.4687936, ' 34': -2.5073297, ' 40': -2.5520275, ' 32': -2.626744}
{' 33': -1.8459469, ' 32': -2.0855215, ' 34': -2.3794153, ' 28': -2.5434453, ' 30': -2.6788433}
{' 34': -2.3711467, ' 36': -2.4179263, ' 33': -2.4577746, ' 40': -2.489986, ' 37': -2.5398529}
{' 33': -1.6167555, ' 32': -2.149953, ' 34': -2.4013042, ' 30': -2.4927044, ' 28': -2.726554}
{' 33': -2.0330596, ' 34': -2.3639226, ' 37': -2.4198272, ' 36': -2.5154233, ' 32': -2.6134124}
{' 33': -1.8083347, ' 32': -2.2268946, ' 34': -2.4231198, ' 36': -2.6007206, ' 30': -2.8409045}
{' 33': -1.8339384, ' 32': -2.2425818, ' 34': -2.4437222, ' 28': -2.6581302, ' 30': -2.7539518}
{' 33': -1.8207132, ' 32': -2.371066, ' 28': -2.6427488, ' 34': -2.6525564, ' 30': -2.6925805}
{' 32': -2.0013685, ' 33': -2.042348, ' 36': -2.094121, ' 34': -2.2897348, ' 28': -2.6858978}
{' 33': -1.7899429, ' 32': -2.1599782, ' 34': -2.3147824, ' 30': -2.5365136, ' 28': -2.672513}
{' 33': -2.228977, ' 34': -2.46167, ' 36': -2.4668195, ' 32': -2.537155, ' 37': -2.6232376}
{' 33': -1.7896289, ' 32': -2.198037, ' 34': -2.2476432, ' 36': -2.5083141, ' 35': -2.7038257}
{' 33': -1.8061149, ' 32': -2.324001, ' 34': -2.420491, ' 30': -2.783201, ' 36': -2.8868518}
{' 33': -1.9877948, ' 36': -2.428437, ' 34': -2.4306183, ' 32': -2.54628, ' 37': -2.6771696}
{' 36': -2.05454, ' 33': -2.3609543, ' 34': -2.4977283, ' 40': -2.595189, ' 37': -2.6394243}
{' 33': -2.0325127, ' 34': -2.3644943, ' 36': -2.5447161, ' 32': -2.5636492, ' 37': -2.6432917}
{' 33': -1.9436401, ' 34': -2.2450929, ' 37': -2.4929621, ' 32': -2.5641577, ' 36': -2.572925}
{' 33': -2.3003926, ' 37': -2.3877177, ' 36': -2.4493003, ' 40': -2.463963, ' 34': -2.5625253}
{' 37': -2.4902406, ' 36': -2.5400243, ' 33': -2.5428386, ' 40': -2.5575452, ' 39': -2.563493}
{' 33': -2.301139, ' 40': -2.4848044, ' 37': -2.5177863, ' 34': -2.5842729, ' 36': -2.603164}
{' 33': -2.0821006, ' 34': -2.388292, ' 37': -2.4387605, ' 36': -2.5003994, ' 40': -2.6153257}
{' 40': -2.2232778, ' 33': -2.5625608, ' 36': -2.573981, ' 37': -2.6663215, ' 39': -2.7666814}
{' 33': -2.1121607, ' 32': -2.3073254, ' 34': -2.3123407, ' 36': -2.425294, ' 28': -2.6546876}
{' 33': -1.9466842, ' 32': -2.456464, ' 34': -2.466739, ' 36': -2.5297978, ' 37': -2.729521}
{' 33': -2.2823439, ' 37': -2.4590178, ' 36': -2.484026, ' 34': -2.5062761, ' 40': -2.6874914}
{' 33': -2.0704193, ' 34': -2.3919783, ' 32': -2.4747603, ' 36': -2.4902356, ' 37': -2.8034086}
{' 33': -1.9158393, ' 32': -2.3549683, ' 34': -2.4182198, ' 36': -2.464577, ' 37': -2.8049686}
{' 33': -1.8482188, ' 32': -2.2094316, ' 34': -2.4376402, ' 30': -2.5063343, ' 36': -2.7824755}
{' 33': -2.3891969, ' 36': -2.452249, ' 37': -2.5115237, ' 40': -2.533544, ' 34': -2.7196422}
{' 33': -1.8248792, ' 32': -2.1053004, ' 34': -2.124164, ' 36': -2.4746432, ' 37': -2.7767165}
{' 33': -2.027017, ' 36': -2.0726962, ' 32': -2.352696, ' 34': -2.414434, ' 37': -2.732123}
{' 40': -2.1142259, ' 45': -2.6408944, ' 43': -2.6545653, ' 44': -2.727448, ' 39': -2.7799745}
{' 33': -2.0487432, ' 32': -2.359873, ' 34': -2.380206, ' 36': -2.573192, ' 37': -2.719308}
{' 33': -1.7982831, ' 34': -2.2670007, ' 32': -2.308042, ' 36': -2.5244489, ' 37': -2.6527314}
{' 36': -2.0972595, ' 33': -2.2517567, ' 34': -2.448373, ' 32': -2.5924342, ' 37': -2.72102}
{' 33': -2.0895755, ' 36': -2.4414034, ' 34': -2.5628736, ' 32': -2.613247, ' 40': -2.6401584}
{' 37': -2.5340881, ' 33': -2.6328676, ' 36': -2.6389368, ' 40': -2.6725013, ' 39': -2.7019947}
{' 36': -2.2739842, ' 33': -2.3509488, ' 34': -2.6593127, ' 40': -2.6650834, ' 32': -2.7291102}
{' 33': -2.1013393, ' 34': -2.4258387, ' 36': -2.478321, ' 32': -2.5546865, ' 37': -2.6003942}
{' 33': -1.643085, ' 32': -2.2739854, ' 34': -2.4287028, ' 30': -2.7712734, ' 36': -2.8811584}
{' 33': -2.1095138, ' 37': -2.3420243, ' 34': -2.4114347, ' 36': -2.5049748, ' 40': -2.509274}
{' 36': -2.3029585, ' 33': -2.4101973, ' 37': -2.4940243, ' 40': -2.5276318, ' 34': -2.5316954}
{' 33': -2.0131772, ' 34': -2.3072896, ' 32': -2.3383162, ' 28': -2.7536025, ' 36': -2.8344023}
{' 33': -2.022834, ' 32': -2.310596, ' 34': -2.3266969, ' 36': -2.5883212, ' 37': -2.8920407}
{' 33': -2.205809, ' 36': -2.2444475, ' 32': -2.480926, ' 34': -2.5861917, ' 30': -2.5992486}
{' 33': -2.0325217, ' 34': -2.458124, ' 36': -2.5070188, ' 40': -2.535974, ' 32': -2.5394092}
{' 33': -2.2599998, ' 36': -2.4235854, ' 34': -2.436399, ' 37': -2.4909396, ' 39': -2.6600697}
{' 33': -2.0787065, ' 36': -2.3582942, ' 32': -2.40138, ' 34': -2.4270053, ' 40': -2.669562}
{' 40': -2.3719041, ' 39': -2.4374092, ' 37': -2.4848583, ' 45': -2.625599, ' 43': -2.6799057}
{' 33': -1.6828121, ' 32': -2.2900803, ' 34': -2.3550637, ' 30': -2.5188563, ' 36': -2.5834432}
{' 33': -2.2795253, ' 34': -2.3184524, ' 32': -2.3314872, ' 36': -2.4366508, ' 37': -2.8586297}
{' 33': -2.0123892, ' 34': -2.427043, ' 36': -2.4675875, ' 32': -2.5523205, ' 40': -2.7422912}
{' 33': -1.8480917, ' 34': -2.1093023, ' 32': -2.310252, ' 36': -2.3438842, ' 37': -2.5249443}
{' 33': -2.1868188, ' 34': -2.3792505, ' 36': -2.460779, ' 32': -2.520683, ' 40': -2.5687616}
{' 33': -1.7697786, ' 34': -2.2844186, ' 32': -2.3689425, ' 36': -2.677607, ' 37': -2.774111}
{' 40': -2.102032, ' 33': -2.6159985, ' 36': -2.71581, ' 45': -2.8022482, ' 37': -2.8101885}
{' 33': -2.0172243, ' 34': -2.33667, ' 37': -2.4885998, ' 36': -2.495942, ' 32': -2.5391073}
{' 33': -1.8938518, ' 34': -2.4271684, ' 32': -2.5691476, ' 36': -2.6310925, ' 37': -2.654407}
{' 36': -2.4293544, ' 33': -2.5304518, ' 40': -2.5550935, ' 34': -2.639942, ' 39': -2.6975248}
{' 33': -1.9776297, ' 32': -2.3059978, ' 34': -2.4356184, ' 30': -2.4573555, ' 36': -2.6451187}
{' 33': -2.2001243, ' 36': -2.3068845, ' 34': -2.3734233, ' 37': -2.6524272, ' 40': -2.6580625}
{' 33': -2.2154875, ' 34': -2.475173, ' 32': -2.6038246, ' 36': -2.6571667, ' 40': -2.773955}
{' 33': -2.2131677, ' 34': -2.4776015, ' 36': -2.5227132, ' 37': -2.56434, ' 32': -2.5872025}
{' 33': -1.9906815, ' 34': -2.3422604, ' 36': -2.4122314, ' 37': -2.4255285, ' 32': -2.619002}
{' 37': -2.2166038, ' 33': -2.2763114, ' 34': -2.536532, ' 36': -2.5772138, ' 39': -2.6691365}
{' 37': -2.4216049, ' 33': -2.5100203, ' 40': -2.537855, ' 36': -2.5916603, ' 39': -2.6273048}
{' 33': -2.1846101, ' 36': -2.2075756, ' 32': -2.2123964, ' 34': -2.4352024, ' 40': -2.6347406}
{' 33': -2.2378397, ' 36': -2.448267, ' 40': -2.4519072, ' 34': -2.5209036, ' 32': -2.628893}
{' 33': -2.0564485, ' 34': -2.3822522, ' 37': -2.4769998, ' 36': -2.5927567, ' 32': -2.6054263}
{' 33': -1.9792143, ' 34': -2.3941789, ' 32': -2.475347, ' 36': -2.709626, ' 30': -2.8591135}
{' 40': -2.2181463, ' 37': -2.5726442, ' 36': -2.646185, ' 39': -2.6983757, ' 38': -2.7130845}
{' 33': -1.8119944, ' 34': -2.2472417, ' 36': -2.3679988, ' 32': -2.3904543, ' 37': -2.7136514}
{' 33': -2.2553134, ' 37': -2.394437, ' 36': -2.4255936, ' 34': -2.5790436, ' 40': -2.5920537}
{' 33': -2.1021664, ' 37': -2.4111264, ' 34': -2.459499, ' 36': -2.5609639, ' 40': -2.642751}
{' 33': -2.2477598, ' 36': -2.4606218, ' 40': -2.5482664, ' 34': -2.6061432, ' 37': -2.755948}
{' 33': -2.1862073, ' 34': -2.314793, ' 36': -2.3578467, ' 37': -2.3666098, ' 38': -2.7788022}
{' 33': -1.8789325, ' 36': -2.1167884, ' 37': -2.3146234, ' 34': -2.3178296, ' 38': -2.6926637}
{' 33': -2.3357997, ' 34': -2.668262, ' 40': -2.7017283, ' 36': -2.7417064, ' 37': -2.7675824}
{' 40': -2.462829, ' 37': -2.4683986, ' 38': -2.6064003, ' 36': -2.6253438, ' 39': -2.651873}
{' 33': -2.3656533, ' 40': -2.5783503, ' 37': -2.6110032, ' 34': -2.6312096, ' 36': -2.6664507}
{' 37': -2.3155117, ' 36': -2.3701432, ' 33': -2.3712673, ' 40': -2.4271996, ' 34': -2.5307515}
{' 33': -2.3615227, ' 40': -2.4091444, ' 36': -2.4907484, ' 37': -2.5462961, ' 39': -2.6145506}
{' 43': -2.517216, ' 45': -2.5593848, ' 40': -2.5705733, ' 42': -2.768849, ' 44': -2.7728932}
{' 33': -1.8746651, ' 34': -2.3800943, ' 32': -2.5489206, ' 36': -2.564883, ' 37': -2.7152052}
{' 37': -2.478654, ' 36': -2.539277, ' 40': -2.5485842, ' 39': -2.565259, ' 38': -2.6355927}
{' 33': -1.6998018, ' 34': -2.2445853, ' 36': -2.405375, ' 32': -2.5005486, ' 37': -2.5606463}
{' 36': -2.482155, ' 33': -2.5488608, ' 37': -2.593775, ' 39': -2.6189177, ' 40': -2.6759245}
{' 33': -2.2351913, ' 37': -2.4839916, ' 36': -2.5166597, ' 40': -2.5465634, ' 34': -2.6805553}
{' 33': -2.2515101, ' 40': -2.4100766, ' 36': -2.4636588, ' 37': -2.5250669, ' 34': -2.5914474}
{' 33': -1.8553817, ' 34': -2.2144728, ' 36': -2.4201107, ' 32': -2.4795568, ' 37': -2.5052173}
{' 33': -2.0159035, ' 36': -2.3460436, ' 34': -2.4289694, ' 37': -2.435467, ' 39': -2.7067378}
{' 33': -2.4199297, ' 36': -2.5704565, ' 34': -2.6744578, ' 40': -2.6996596, ' 32': -2.8748095}
{' 37': -2.4223235, ' 39': -2.4525397, ' 43': -2.544243, ' 40': -2.5778992, ' 38': -2.6331236}
{' 33': -2.0418386, ' 36': -2.2752812, ' 34': -2.3824568, ' 37': -2.460808, ' 32': -2.5016844}
{' 33': -1.9740697, ' 32': -2.312724, ' 34': -2.3382282, ' 36': -2.4611511, ' 37': -2.6726437}
{' 33': -2.096227, ' 37': -2.4320834, ' 34': -2.5136282, ' 36': -2.5327637, ' 32': -2.5968344}
{' 33': -2.2482586, ' 39': -2.5426872, ' 37': -2.5467799, ' 34': -2.6141596, ' 36': -2.6542718}
{' 33': -2.2543693, ' 36': -2.4420278, ' 40': -2.5095174, ' 30': -2.5879247, ' 32': -2.604612}
{' 36': -2.3293447, ' 40': -2.339551, ' 33': -2.6341226, ' 37': -2.650321, ' 38': -2.6916502}
{' 36': -2.1116579, ' 40': -2.3856819, ' 33': -2.5665557, ' 38': -2.636818, ' 34': -2.6675498}
{' 33': -2.1527538, ' 36': -2.2779093, ' 34': -2.6029797, ' 37': -2.6600246, ' 40': -2.6826544}
{' 33': -1.9233367, ' 36': -2.3785684, ' 34': -2.5262487, ' 37': -2.6266823, ' 40': -2.7216995}
{' 36': -2.4965425, ' 33': -2.5013127, ' 40': -2.5161576, ' 34': -2.629995, ' 37': -2.6702936}
{' 33': -2.2195642, ' 36': -2.3721893, ' 37': -2.5287056, ' 34': -2.6027832, ' 40': -2.706355}
{' 33': -2.1303098, ' 36': -2.317952, ' 37': -2.3809621, ' 34': -2.5312107, ' 39': -2.688442}
{' 33': -2.3978288, ' 36': -2.423846, ' 40': -2.5246274, ' 34': -2.5622423, ' 37': -2.670492}
{' 33': -2.1017458, ' 34': -2.441883, ' 36': -2.4805489, ' 37': -2.5367355, ' 40': -2.60044}
{' 36': -2.2043424, ' 40': -2.3783205, ' 33': -2.469444, ' 34': -2.6604288, ' 32': -2.7749622}
{' 37': -2.4944758, ' 40': -2.5238059, ' 39': -2.6288579, ' 33': -2.6698747, ' 36': -2.7006688}
{' 40': -2.2627861, ' 36': -2.582412, ' 33': -2.6701539, ' 34': -2.7217467, ' 38': -2.790641}
{' 33': -2.4097445, ' 40': -2.6067622, ' 37': -2.615661, ' 36': -2.6274807, ' 34': -2.6538165}
{' 33': -2.2227054, ' 34': -2.492062, ' 36': -2.637201, ' 32': -2.6499763, ' 37': -2.6518445}
{' 33': -1.9927812, ' 36': -2.3584266, ' 34': -2.3827548, ' 37': -2.442348, ' 32': -2.708552}
{' 33': -2.2818754, ' 37': -2.461252, ' 36': -2.4685829, ' 40': -2.5342393, ' 34': -2.5770109}
{' 40': -2.5166225, ' 37': -2.566686, ' 39': -2.7032232, ' 33': -2.736766, ' 36': -2.7769518}
{' 33': -2.148961, ' 36': -2.3203812, ' 34': -2.4250927, ' 37': -2.4257479, ' 32': -2.651412}
{' 36': -2.4002135, ' 40': -2.5870373, ' 42': -2.7631304, ' 39': -2.848279, ' 45': -2.885339}
{' 40': -2.47515, ' 33': -2.5983362, ' 39': -2.6922083, ' 37': -2.7140453, ' 36': -2.7983606}
{' 33': -2.380814, ' 36': -2.4028697, ' 37': -2.4665291, ' 34': -2.4915538, ' 40': -2.6558843}
{' 36': -2.2147784, ' 33': -2.2940679, ' 32': -2.3541665, ' 34': -2.4445014, ' 40': -2.6731267}
{' 40': -2.5622237, ' 36': -2.6107717, ' 39': -2.617948, ' 37': -2.6336834, ' 38': -2.713528}
{' 33': -2.0579698, ' 36': -2.3591485, ' 34': -2.3664908, ' 32': -2.54909, ' 37': -2.8098884}
{' 33': -2.0601063, ' 32': -2.1894407, ' 34': -2.2689114, ' 36': -2.454304, ' 30': -2.789976}
{' 36': -2.3808026, ' 33': -2.4149032, ' 34': -2.4149852, ' 40': -2.5629592, ' 32': -2.5929122}
{' 33': -2.3582602, ' 34': -2.6121197, ' 40': -2.6562347, ' 36': -2.700798, ' 37': -2.7605228}
{' 33': -2.033895, ' 34': -2.392959, ' 36': -2.478164, ' 32': -2.51102, ' 37': -2.8964398}
