{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.0018516176, 'Yes': -6.6630545, ' No': -7.5839796, ' yes': -10.286536, ' YES': -11.487096}
{' Yes': -0.0069269105, ' No': -5.142123, 'Yes': -6.913814, ' yes': -10.684116, 'No': -11.198696}
{' Yes': -0.003659469, 'Yes': -5.6383758, '\n': -10.496598, ' yes': -10.641221, ' No': -11.210441}
{' Yes': -0.0032037152, 'Yes': -6.0058336, ' Shoes': -7.3826227, ' YES': -10.2634535, ' yes': -10.44864}
{' Yes': -0.0026293558, 'Yes': -6.015095, ' Ghost': -9.40549, ' No': -10.2316, ' yes': -10.651924}
{' Yes': -0.0071111247, ' No': -5.294232, 'Yes': -6.2259297, '\n': -10.525379, ' yes': -10.694557}
{' Yes': -0.0041850954, ' Shirt': -6.2272053, 'Yes': -6.266003, ' Sure': -8.833036, '\n': -9.689856}
{' Yes': -0.0018260019, 'Yes': -6.6509786, ' Shirt': -7.8514543, ' Sure': -10.178844, ' YES': -10.543541}
{' Yes': -0.014307169, 'Yes': -4.658495, ' No': -6.096931, ' Pants': -6.100961, ' yes': -9.630426}
{' Yes': -0.01790031, ' No': -4.7158732, 'Yes': -4.8403473, ' Pants': -7.401699, ' yes': -9.534009}
{' Yes': -0.0043188822, 'Yes': -5.9907074, ' Board': -7.087294, ' No': -7.366537, ' yes': -8.716133}
{' Yes': -0.0051318537, 'Yes': -5.509322, ' No': -7.225762, ' yes': -8.78501, ' Board': -9.224158}
{' Yes': -0.006838029, 'Yes': -5.332985, ' Leave': -6.9814415, ' No': -7.526357, ' yes': -8.708821}
{' Yes': -0.006057495, 'Yes': -5.7669063, ' No': -6.104825, ' Leave': -7.87877, ' yes': -9.140993}
{' Yes': -0.11743409, ' No': -2.2223668, 'Yes': -6.2904243, 'No': -8.082762, ' Nope': -9.019477}
{' Yes': -0.0015207303, 'Yes': -6.6391315, ' Sure': -9.403122, ' No': -9.750795, '\n': -10.729957}
{' Yes': -0.058894232, ' No': -2.981038, 'Yes': -5.5370736, ' Sn': -6.681559, ' yes': -7.9238844}
{' Yes': -0.028310776, ' No': -3.9033487, 'Yes': -5.654323, ' Sn': -5.8465, ' yes': -7.499903}
{' Yes': -0.054293785, ' No': -3.0632389, 'Yes': -5.8586435, ' Bride': -6.2602453, ' Bridge': -7.4193597}
{' Yes': -0.08517591, ' Bride': -2.9453044, ' Bridge': -3.8516898, 'Yes': -6.1569357, ' No': -6.3257813}
{' Yes': -0.00073353574, 'Yes': -7.3149476, ' No': -10.020602, ' yes': -11.553105, '\n': -12.339546}
{' Yes': -0.0015024042, 'Yes': -7.1771684, ' No': -7.509211, '\n': -9.492458, ' Throw': -10.06937}
{' Yes': -0.0015201324, 'Yes': -6.640369, ' No': -9.329591, ' Yep': -10.341826, ' YES': -10.381902}
{' Yes': -0.0010757406, 'Yes': -6.9033427, ' YES': -10.827665, ' yes': -11.392328, ' Yep': -11.752501}
{' Yes': -0.10484984, ' No': -2.4530706, 'Yes': -4.7284417, ' yes': -6.8656106, 'No': -7.251018}
{' Yes': -0.34194934, ' No': -1.2570475, 'Yes': -5.7885203, 'No': -6.840204, ' Nope': -7.6329327}
{' Yes': -0.117545165, ' No': -2.24743, 'Yes': -6.3286104, ' Nope': -6.703273, ' Los': -7.0938}
{' Yes': -0.02401827, ' No': -4.2491746, ' Lo': -5.8312144, 'Yes': -6.0443797, ' Los': -6.070868}
{' Yes': -0.0010405928, 'Yes': -6.9065104, ' No': -11.247295, ' YES': -11.557845, ' yes': -12.031714}
{' Yes': -0.0015666961, 'Yes': -6.8872156, ' No': -7.5619454, ' yes': -11.419328, ' YES': -12.163376}
{' Yes': -0.0021555563, 'Yes': -6.2813363, ' Shark': -9.182064, ' Sure': -9.201312, '\n': -10.510009}
{' Yes': -0.00203281, 'Yes': -6.3198442, ' Shark': -8.925466, ' yes': -10.4663315, ' Sure': -10.689931}
{' Yes': -0.0016726077, 'Yes': -6.4624023, ' No': -9.793413, ' yes': -10.52668, ' YES': -11.536561}
{' Yes': -0.0028941375, 'Yes': -6.044179, ' Lemon': -8.043648, ' No': -9.498103, ' yes': -10.070488}
{' Yes': -0.037727084, ' No': -3.3869836, 'Yes': -6.03371, '\n': -7.8715315, 'No': -8.852867}
{' No': -0.25667986, ' Yes': -1.5081999, 'No': -5.9587555, ' Nope': -6.378763, 'Yes': -7.4062347}
{' Yes': -0.0029070505, ' No': -6.536287, 'Yes': -6.6103435, '\n': -10.614056, ' yes': -10.643721}
{' Yes': -0.0029817154, 'Yes': -5.935843, ' No': -8.665123, ' yes': -9.606155, '\n': -9.938381}
{' Yes': -0.020002268, ' Sm': -4.0333858, 'Yes': -6.3740516, ' yes': -9.191624, ' No': -9.379876}
{' Yes': -0.0014039734, 'Yes': -6.8846717, ' Spell': -9.211498, ' YES': -9.4309225, ' yes': -9.997009}
{' Yes': -0.13045548, ' Your': -2.6718752, ' No': -3.563057, 'Yes': -4.3928027, ' Y': -5.588052}
{' Yes': -0.050099745, ' Your': -3.9312508, ' No': -4.3737645, 'Yes': -4.686403, ' Y': -5.758554}
{' No': -0.006463313, 'No': -5.1011553, ' Nope': -8.65393, ' Yes': -8.802838, '\n': -11.19708}
{' Yes': -0.12235865, ' No': -2.179745, 'Yes': -6.9995255, ' Wrong': -7.11784, 'No': -8.409903}
{' Yes': -0.122513056, ' Devil': -2.3080065, 'Yes': -5.6181493, ' Dev': -6.1027856, ' No': -6.202154}
{' Yes': -0.0049207453, 'Yes': -6.1203647, ' Devil': -6.685495, ' No': -6.7539268, ' yes': -8.690123}
{' Yes': -0.0010010353, 'Yes': -6.9439707, ' yes': -11.044133, '\n': -11.878425, ' YES': -12.327967}
{' Yes': -0.004254471, ' No': -6.087701, 'Yes': -6.3090525, ' yes': -9.582618, '\n': -10.281711}
{' Yes': -0.06700213, ' Major': -3.262448, ' No': -3.7465923, 'Yes': -6.299994, ' Maj': -8.416779}
{' Yes': -0.046445016, ' No': -3.138173, 'Yes': -6.747938, ' Major': -7.474009, 'No': -9.00077}
{' Yes': -0.15286486, ' No': -1.9784073, 'Yes': -6.5159516, ' Worst': -6.6975503, 'No': -7.8008175}
{' Yes': -0.004472381, ' No': -5.845359, 'Yes': -6.578137, ' Worst': -9.18665, ' yes': -10.540088}
{' Yes': -0.07753241, ' No': -2.631493, 'Yes': -6.2983785, ' P': -8.456554, 'No': -8.507761}
{' Yes': -0.015826205, ' No': -4.3146253, 'Yes': -6.218598, '\n': -9.411105, ' Pound': -9.750871}
{' Yes': -0.014425381, ' No': -4.4849586, 'Yes': -6.0391707, ' Dirty': -8.03351, 'No': -9.654884}
{' Yes': -0.01102509, ' Dirty': -5.115109, 'Yes': -5.705237, ' No': -7.207556, ' Dirt': -7.803507}
{' Yes': -0.0035316322, 'Yes': -5.731999, ' yes': -9.371254, ' YES': -9.760701, '\n': -10.101953}
{' Yes': -0.001810655, 'Yes': -6.4216943, ' No': -9.946997, ' yes': -9.953989, ' YES': -10.4310665}
{' Yes': -0.011085537, 'Yes': -5.10234, ' Up': -6.8892503, 'rupt': -7.1614523, ' erupt': -7.2533484}
{' Yes': -0.030694747, 'Yes': -4.8553433, ' Up': -5.176083, 'rupt': -5.425571, ' No': -5.695652}
{' Yes': -0.0042535122, 'Yes': -6.1497436, ' Yep': -7.136709, ' No': -7.5722446, ' Swamp': -7.860008}
{' Yes': -0.0041273986, 'Yes': -5.8556514, ' No': -7.807739, ' Yep': -7.9142866, ' yes': -8.758418}
{' Yes': -0.14621346, ' Armor': -2.5451488, ' No': -2.954191, ' Armour': -6.106779, 'Yes': -6.356149}
{' Yes': -0.17768316, ' No': -1.8660814, ' Armor': -5.110365, 'Yes': -6.71611, 'No': -7.5993323}
{' Yes': -0.013972922, ' No': -4.4394126, 'Yes': -6.2856226, ' Ex': -9.994739, 'No': -10.094733}
{' Yes': -0.05686901, ' No': -2.9445872, 'Yes': -6.714641, ' Ex': -7.064449, ' Nope': -8.859281}
{' Yes': -0.011191436, ' Still': -4.842803, 'Yes': -6.006257, ' YES': -8.509166, ' yes': -8.604072}
{' Yes': -0.0019309843, 'Yes': -6.784081, ' Still': -7.861497, ' No': -8.175595, ' yes': -9.918297}
{' Yes': -0.0019755936, 'Yes': -6.296684, ' Hello': -9.718835, ' yes': -10.697669, ' YES': -11.260817}
{' Yes': -0.0012304124, 'Yes': -6.7783394, ' Hello': -10.105255, ' yes': -10.911966, '\n': -11.673976}
{' Yes': -0.0065626036, 'Yes': -5.336137, ' Pur': -7.5105214, ' Sure': -7.748009, ' Purs': -7.992139}
{' Yes': -0.024603266, ' No': -4.5697308, 'Yes': -4.948347, ' Sure': -5.726843, ' Purs': -6.2909317}
{' Yes': -0.63347113, ' No': -0.77686936, ' Actor': -5.6191583, 'No': -6.0682216, 'Yes': -6.389056}
{' Yes': -0.52966714, ' No': -0.9013216, 'No': -6.52373, 'Yes': -6.541482, ' Actor': -6.9152975}
{' Yes': -0.0057076495, 'Yes': -5.2194963, ' No': -8.714121, ' yes': -10.05688, '\n': -10.977663}
{' Yes': -0.0025769463, 'Yes': -6.313673, ' No': -7.4596705, ' Sure': -9.794497, ' yes': -9.997591}
{' No': -0.23009914, ' Yes': -1.6115611, 'No': -5.970343, ' Nope': -6.089497, 'Yes': -7.3548527}
{' No': -0.045793124, ' Yes': -3.2759373, 'No': -5.286802, ' Nope': -6.6576242, 'Yes': -8.384464}
{' No': -0.003542579, 'No': -5.7063274, ' Yes': -9.327794, '\n': -9.759673, ' Nope': -9.970412}
{' No': -0.23005909, ' Yes': -1.5909942, 'No': -6.8733006, 'Yes': -7.814188, '\n': -8.419199}
{' Yes': -0.0024073652, 'Yes': -6.6714664, ' No': -6.8341975, '\n': -11.140367, ' yes': -11.281461}
{' Yes': -0.0009804507, 'Yes': -7.0917983, ' No': -8.998804, ' yes': -11.433459, '\n': -12.275261}
{' Yes': -0.0031075676, 'Yes': -6.068297, ' No': -7.8789344, ' Spice': -9.067028, ' yes': -9.508764}
{' Yes': -0.008791976, ' No': -5.0527124, 'Yes': -6.2040887, ' Nope': -8.936513, ' Sure': -9.404668}
{' Yes': -0.0024478745, 'Yes': -6.174119, ' yes': -9.259458, ' Under': -9.534527, ' YES': -9.88039}
{' Yes': -0.0017479578, 'Yes': -6.477614, ' No': -9.489854, ' yes': -9.977668, '\n': -10.352462}
{' Yes': -0.013189339, ' Crack': -4.7557087, 'Yes': -6.184793, ' No': -6.3800616, ' Cr': -7.4879413}
{' Yes': -0.0032941317, ' No': -6.0351634, 'Yes': -7.075826, ' yes': -10.962345, ' YES': -11.890249}
{' Yes': -0.035785787, ' Ag': -4.7776446, ' Sure': -4.9932137, ' Ar': -5.0046253, ' No': -5.163086}
{' Yes': -0.13422322, ' Ar': -3.094703, ' Arg': -3.809769, ' Ag': -4.1155443, ' No': -4.2033606}
{' Yes': -0.0015978592, 'Yes': -6.697669, ' No': -8.793193, ' yes': -9.380807, ' YES': -9.975493}
{' Yes': -0.0012588807, 'Yes': -7.0569987, ' No': -7.9461765, ' yes': -10.625385, ' YES': -11.7915745}
{' Yes': -0.0053573255, 'Yes': -5.743051, ' Early': -7.239102, ' Yeah': -8.410066, ' yes': -8.671091}
{' Yes': -0.006265301, 'Yes': -5.7325053, ' Early': -7.6883397, ' No': -7.8567667, ' Ear': -7.888581}
{' Yes': -0.0066209813, 'Yes': -5.3675885, ' No': -6.654824, ' Goose': -7.734509, ' yes': -9.346549}
{' Yes': -0.0030327132, 'Yes': -6.335983, ' No': -6.781038, '\n': -9.96959, ' yes': -10.695392}
{' No': -0.719039, ' Yes': -1.2960978, ' Ocean': -1.4693308, ' Nope': -5.853864, 'No': -5.903201}
{' No': -0.016073119, ' Yes': -4.832844, 'No': -5.1270733, ' Nope': -6.8765297, ' Co': -8.217145}
{' Yes': -0.023371628, ' No': -3.939107, 'Yes': -5.8074484, ' Trash': -8.702962, 'No': -9.246069}
{' Yes': -0.019515857, ' No': -4.049406, 'Yes': -6.4379783, 'No': -9.653538, ' Nope': -9.853907}
{' Yes': -0.019861568, ' No': -4.3300095, 'Yes': -5.536377, ' Gro': -6.6166863, ' Gross': -7.2785015}
{' Yes': -0.0052567767, ' No': -5.911085, 'Yes': -6.311716, ' Gross': -8.024303, ' yes': -9.078367}
{' Yes': -0.00088911335, 'Yes': -7.0679607, ' YES': -11.481538, ' yes': -11.526729, ' Sure': -12.224933}
{' Yes': -0.00093875016, 'Yes': -7.0307827, '\n': -10.854923, ' yes': -11.614766, ' Sure': -11.856922}
{' Yes': -0.009129487, ' Guard': -5.5323606, 'Yes': -5.7224703, ' No': -6.49692, '\n': -9.0760975}
{' Yes': -0.035862572, ' Guard': -3.6298585, 'Yes': -5.3938546, ' No': -6.1362643, ' Guardian': -7.5953927}
{' Yes': -0.004475914, 'Yes': -5.4554644, ' No': -9.648637, ' yes': -9.988101, ' YES': -10.844436}
{' Yes': -0.0034399368, 'Yes': -5.723931, ' yes': -9.990952, ' YES': -10.317366, ' Swe': -10.513195}
{' Yes': -0.041964743, ' Grass': -3.4942849, ' No': -4.8401384, 'Yes': -6.070283, '\n': -9.051556}
{' Yes': -0.026579672, ' No': -3.9201534, 'Yes': -5.7558007, ' Grass': -5.954716, ' Gr': -8.45283}
{' Yes': -0.003936849, 'Yes': -5.9237704, ' No': -6.8416553, ' yes': -9.207592, ' YES': -10.607989}
{' Yes': -0.0043501295, 'Yes': -5.856326, ' No': -6.640481, ' yes': -9.052545, ' YES': -10.85363}
{' Yes': -0.017256873, ' Girls': -4.7016134, 'Yes': -5.162738, ' No': -6.4667497, ' YES': -8.982756}
{' Yes': -0.020391766, ' No': -5.0710297, 'Yes': -5.1389446, ' Gr': -5.4699516, ' Girls': -6.0048223}
{' Yes': -0.0024747648, 'Yes': -6.2352295, ' No': -8.005522, ' YES': -9.795468, ' yes': -10.453548}
{' Yes': -0.0032660847, 'Yes': -6.119042, ' No': -7.757147, ' Light': -7.951378, ' YES': -9.187303}
{' Yes': -0.03421037, ' No': -3.4741287, 'Yes': -6.105463, 'No': -9.222507, ' Spoon': -9.453536}
{' Yes': -0.0015056266, ' No': -7.162323, 'Yes': -7.270592, ' yes': -11.441873, '\n': -11.758783}
{' Yes': -0.020972822, ' No': -4.033689, 'Yes': -6.1401, ' Lo': -8.171569, ' Nope': -8.502477}
{' Yes': -0.26812053, ' No': -1.947461, ' Lo': -2.978806, ' Lose': -3.322266, 'Yes': -5.9288793}
{' Yes': -0.0076806103, 'Yes': -5.409824, ' No': -5.8149657, ' yes': -9.457202, ' Plant': -10.561293}
{' Yes': -0.008789751, 'Yes': -4.9573045, ' No': -6.5795975, ' Plant': -9.092247, ' yes': -9.429334}
{' Yes': -0.018494252, ' No': -4.119242, 'Yes': -6.3405685, 'No': -9.570423, ' yes': -10.109624}
{' Yes': -0.008892878, 'Yes': -5.4295855, ' No': -5.4604783, '\n': -9.303592, ' yes': -10.067986}
{' Yes': -0.0035525078, 'Yes': -5.683907, ' yes': -10.212483, ' No': -10.586477, ' YES': -10.708921}
{' Yes': -0.002196475, 'Yes': -6.374228, ' No': -7.913897, ' yes': -10.538522, '\n': -10.705999}
{' Yes': -0.028496211, ' Rough': -3.6462593, 'Yes': -6.4021606, ' No': -8.825464, ' Tough': -9.888655}
{' Rough': -0.37285566, ' Yes': -1.176208, 'Yes': -6.8646517, ' Tough': -6.9653783, ' Rou': -8.632982}
{' Yes': -0.0067363116, 'Yes': -5.211572, ' Dance': -6.9813075, ' yes': -9.132625, ' YES': -9.514842}
{' Yes': -0.026657902, ' No': -4.525439, ' Dance': -4.796387, 'Yes': -5.0306764, '\n': -9.0464735}
{' Yes': -0.0039606034, 'Yes': -5.794448, ' Salad': -7.481808, ' yes': -8.822522, ' No': -9.322297}
{' Yes': -0.0023408674, 'Yes': -6.6288896, ' No': -6.9847455, ' yes': -10.1122055, ' YES': -11.164633}
{' Yes': -0.008317778, 'Yes': -5.269148, ' No': -5.919042, ' Looks': -8.444702, ' yes': -9.552993}
{' Yes': -0.011894679, ' No': -5.04798, 'Yes': -5.3211136, ' Looks': -8.7323265, ' yes': -9.491727}
{' Store': -0.43910939, ' Yes': -1.1265769, ' Sure': -3.5444062, 'Yes': -6.804769, 'Store': -7.1241255}
{' Yes': -0.006310526, ' Sure': -5.2873483, 'Yes': -7.079127, ' Store': -8.408931, ' No': -9.883968}
{' Yes': -0.014904662, ' Break': -4.5266137, 'Yes': -5.6552453, ' yes': -8.913785, ' Breach': -10.0261755}
{' Yes': -0.0028600055, 'Yes': -6.05879, ' No': -8.266673, ' Break': -8.945417, ' yes': -9.584749}
{' Yes': -0.0042683575, 'Yes': -6.096958, ' No': -6.290878, ' yes': -9.916703, ' Parts': -10.207612}
{' Yes': -0.0026841606, 'Yes': -6.0735645, ' No': -8.1329155, ' yes': -10.616919, ' Sure': -10.715891}
{' Yes': -0.0041618715, 'Yes': -5.858078, ' No': -7.0690413, ' Sure': -8.948012, ' yes': -9.813205}
{' Yes': -0.007832403, 'Yes': -5.552832, ' Sure': -6.7796144, ' No': -6.790829, ' Sh': -7.471932}
{' Yes': -0.0025923646, 'Yes': -6.0335975, ' No': -9.753912, ' yes': -9.928551, ' Sy': -10.104107}
{' Yes': -0.003657554, 'Yes': -5.7315397, ' No': -8.612281, ' Sy': -9.213241, ' yes': -9.4922285}
{' Yes': -0.0024509823, 'Yes': -6.4329696, ' Learn': -7.4444404, ' yes': -9.107337, ' YES': -9.442924}
{' Yes': -0.001182911, 'Yes': -6.8127384, ' yes': -10.528276, ' No': -10.626614, ' YES': -11.021727}
{' Yes': -0.10633992, ' No': -2.3304913, ' Minor': -5.9754133, 'Yes': -7.191867, 'No': -8.356469}
{' Yes': -0.0007729657, 'Yes': -7.431969, ' No': -8.910807, ' yes': -10.829351, ' Sure': -11.818905}
{' Yes': -0.0016820412, 'Yes': -6.4082694, ' yes': -11.589516, ' No': -11.788278, ' YES': -12.210998}
{' Yes': -0.0015820393, 'Yes': -6.6499543, ' No': -8.465956, ' Sure': -10.326477, '\n': -10.698145}
{' Yes': -0.0037979083, 'Yes': -6.2603207, ' Arrow': -6.8682747, ' No': -7.2044716, ' yes': -10.644452}
{' Yes': -0.009513685, ' Arrow': -5.341282, 'Yes': -6.022623, ' No': -6.2119823, ' yes': -9.785381}
{' Yes': -0.0044200523, 'Yes': -6.002297, ' No': -6.3558373, ' yes': -10.061384, ' Nope': -10.42473}
{' Yes': -0.0031794952, 'Yes': -6.2030463, ' No': -6.920147, ' Sure': -10.435783, ' yes': -10.491771}
{' Yes': -0.0005991576, 'Yes': -7.545463, ' No': -10.233345, ' yes': -10.803022, ' Sure': -12.219141}
{' Yes': -0.057509974, ' No': -2.920087, 'Yes': -6.4672503, 'No': -8.94855, ' Coral': -8.993709}
{' Yes': -0.010696393, ' Heart': -4.8717647, 'Yes': -5.899172, '\n': -9.805929, ' YES': -10.030294}
{' Yes': -0.008780732, ' Heart': -5.0837374, 'Yes': -6.0731344, ' YES': -9.715061, ' Sure': -10.368555}
{' Yes': -0.0020285102, 'Yes': -6.3175607, ' Sure': -8.980807, ' Horse': -10.042087, '\n': -11.156231}
{' Yes': -0.001765214, 'Yes': -6.371747, ' YES': -10.993552, ' yes': -11.469726, ' Sure': -11.474925}
{' Yes': -0.050571878, ' No': -3.0459578, 'Yes': -6.5668626, 'No': -8.896564, ' Nope': -9.17256}
{' Yes': -0.013543382, ' No': -4.5089407, 'Yes': -6.2315855, ' Right': -8.489682, 'No': -9.90126}
{' Yes': -0.045947947, ' No': -3.2552829, 'Yes': -5.8722153, ' Pizza': -6.321985, ' Nope': -7.2771277}
{' Yes': -0.26250997, ' No': -1.4906269, 'Yes': -6.083558, ' Nope': -6.7364073, 'No': -6.796338}
{' Yes': -0.031946562, ' Snake': -4.3078194, 'Yes': -4.4043846, ' Sn': -5.757505, ' No': -7.4055376}
{' Yes': -0.019061998, ' Snake': -4.5488605, 'Yes': -5.1177006, ' Sn': -7.029424, ' No': -7.5363183}
{' Yes': -0.18345939, ' No': -1.851119, ' Nope': -5.2834883, 'Yes': -6.314247, ' Laugh': -6.8120613}
{' Yes': -0.526669, ' No': -0.9513402, ' Laugh': -4.8746204, ' Nope': -4.9121823, 'No': -5.562266}
{' Yes': -0.23770235, ' No': -1.5851545, 'Yes': -5.65008, 'No': -6.0295496, ' Nope': -7.8769}
{' No': -0.39884952, ' Yes': -1.1473962, 'No': -4.948051, 'Yes': -6.3954635, ' Nope': -6.542808}
{' No': -0.08390213, ' Yes': -2.566379, 'No': -5.998905, ' Nope': -6.9960856, 'Yes': -8.678868}
{' Yes': -0.011881287, ' No': -5.060902, 'Yes': -5.5937366, ' Sure': -6.7921505, ' Yeah': -9.042352}
{' Yes': -0.4775708, ' Plane': -1.0039647, 'Yes': -5.1428638, ' No': -5.497018, ' Pl': -7.176534}
{' Yes': -0.08588731, ' Plane': -2.6925058, ' No': -4.631547, 'Yes': -5.5718985, ' Nope': -8.539793}
{' Yes': -0.36214256, ' Found': -1.2569599, ' Sound': -5.3804884, ' No': -6.026489, ' Round': -6.0779552}
{' Yes': -0.026734605, ' Found': -3.9529731, 'Yes': -5.9401712, ' No': -6.571945, ' Sound': -7.6240234}
{' No': -0.36879063, ' Yes': -1.4972237, ' Uncle': -2.7306795, ' Nope': -5.087058, ' Unc': -5.2520204}
{' No': -0.07935867, ' Yes': -2.8077426, ' Nope': -5.0186114, 'No': -5.419971, ' Unc': -6.2108274}
{' Yes': -0.0034535765, 'Yes': -6.135654, ' No': -6.9400797, ' Sure': -8.972655, ' yes': -10.177166}
{' Yes': -0.021132555, ' Stamp': -4.536109, 'Yes': -5.390158, ' No': -6.0762267, ' St': -6.5332885}
{' Yes': -0.052066512, ' Sleep': -3.0901144, 'Yes': -5.840648, ' Sle': -6.7548933, ' yes': -8.160133}
{' Yes': -0.01105263, ' Sleep': -4.9952884, 'Yes': -5.760532, ' yes': -8.194276, ' Sle': -8.346748}
{' No': -0.45392752, ' Yes': -1.0215087, 'No': -5.848949, 'Yes': -6.440446, ' Nope': -8.337659}
{' Yes': -0.042911507, ' No': -3.6706886, ' Close': -4.6352463, 'Yes': -5.150429, ' Nope': -7.7683444}
{' Yes': -0.012636564, ' No': -4.7186184, 'Yes': -5.840704, ' Te': -8.691273, ' Nope': -9.019537}
{' Yes': -0.005034738, 'Yes': -5.8322916, ' No': -6.4497094, ' Yeah': -9.555953, ' Nope': -9.9655485}
{' Yes': -0.0015409667, 'Yes': -6.8622584, ' Sure': -7.7720923, ' No': -10.036263, ' yes': -12.003177}
{' Yes': -0.0010978768, 'Yes': -6.9953465, ' Sure': -9.012721, ' No': -10.378539, ' yes': -11.793546}
{' Yes': -0.00428865, 'Yes': -5.7099876, ' No': -7.22818, ' yes': -9.310972, ' Drunk': -9.910868}
