{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' Yes': -0.12765855, 'Yes': -2.3259177, '\n': -4.8814406, ' ': -5.405851, ' yes': -5.706034}
{' Yes': -0.025009222, 'Yes': -4.24193, ' yes': -5.508575, ' ': -5.97386, '\n': -6.279451}
{' Yes': -0.025481496, 'Yes': -4.137925, ' yes': -5.2724295, ' ': -6.4639153, '\n': -6.580694}
{' Yes': -0.025870377, 'Yes': -4.10979, ' yes': -5.2721295, ' ': -6.365614, '\n': -6.661794}
{' Yes': -0.02718669, 'Yes': -3.97186, ' yes': -5.2288847, '\n': -6.936777, ' ': -6.964498}
{' Yes': -0.036537826, 'Yes': -4.02566, ' No': -4.3965173, ' yes': -6.2828946, ' An': -6.8395104}
{' Yes': -0.025601406, 'Yes': -3.9159591, ' yes': -6.0121775, ' No': -6.72206, ' An': -7.2299175}
{' Yes': -0.022337496, 'Yes': -3.97938, ' yes': -6.0126705, ' Ant': -7.9713573, ' Generally': -8.021853}
{' Yes': -0.03916399, 'Yes': -3.3887138, ' yes': -5.753144, ' Ant': -7.753252, ' Generally': -7.955888}
{' No': -0.7051568, ' Yes': -0.9460205, 'No': -2.355755, 'Yes': -3.9063988, ' yes': -6.7552395}
{' Yes': -0.5830114, ' No': -1.0452325, 'No': -2.8418882, 'Yes': -3.5575671, ' yes': -6.1516395}
{' Yes': -0.061147496, 'Yes': -2.853189, ' yes': -6.666698, 'yes': -8.883861, ' ': -9.551006}
{' Yes': -0.1872254, ' No': -2.4118652, 'Yes': -2.8248498, 'No': -3.987505, ' yes': -6.4107757}
{' Yes': -0.18432133, ' No': -2.1267996, 'Yes': -3.4572663, 'No': -4.3118386, ' yes': -6.092446}
{' Yes': -0.082701445, ' No': -3.2735832, 'Yes': -3.3799179, 'No': -5.43549, ' yes': -6.192429}
{' Yes': -0.08508154, 'Yes': -2.5345197, ' yes': -6.6613717, ' ': -7.94912, '\n': -8.557359}
{' Yes': -0.07904337, 'Yes': -2.683322, ' No': -5.5212274, ' yes': -6.1735554, 'No': -7.143307}
{' Yes': -0.22099307, ' No': -1.6797849, 'Yes': -4.9796214, 'No': -5.6263843, ' yes': -7.4958153}
{' Yes': -0.068176195, ' No': -2.9408166, 'Yes': -4.569982, 'No': -6.4797854, ' yes': -7.2970138}
{' Yes': -0.015897544, 'Yes': -4.2438045, ' yes': -6.805036, ' ': -9.156972, 'yes': -9.363493}
{' Yes': -0.0084603485, 'Yes': -4.850202, ' yes': -8.05212, ' No': -8.84579, ' Generally': -9.820357}
{' No': -0.27227235, 'No': -1.4781344, ' Yes': -5.5354996, ' An': -6.006082, '\n': -6.6969056}
{' No': -0.40970656, 'No': -1.4698795, ' Yes': -2.393845, 'Yes': -4.550682, ' An': -6.640466}
{' Yes': -0.18807332, 'Yes': -1.8374492, ' Ant': -5.7292714, ' No': -5.973391, 'No': -6.2064238}
{' Yes': -0.14710814, 'Yes': -2.2527695, ' No': -3.9123175, 'No': -4.877081, ' Ant': -6.203632}
{' No': -0.61985844, ' Yes': -1.1866367, 'No': -2.4598167, ' An': -3.0491302, 'Yes': -4.311896}
{' No': -0.45822182, ' Yes': -1.4044594, 'No': -2.3329778, 'Yes': -4.6445336, ' An': -4.936766}
{' Yes': -0.054575063, 'Yes': -3.023689, ' yes': -5.6862144, '\n': -8.057562, 'yes': -8.210536}
{' Yes': -0.11336747, 'Yes': -2.7389646, ' No': -3.5239987, 'No': -4.987015, ' yes': -5.3949685}
{' Yes': -0.03221669, ' yes': -3.638538, 'Yes': -5.689052, ' ': -6.7191253, ' No': -8.0841}
{' Yes': -0.031614877, ' yes': -3.6244395, 'Yes': -5.8742356, ' ': -6.792359, '\n': -8.21309}
{' Yes': -0.024244618, ' yes': -3.8859274, 'Yes': -5.9977894, ' ': -7.594351, '\n': -8.466752}
{' Yes': -0.016887024, ' yes': -4.3436937, 'Yes': -5.7896, ' ': -8.165444, '\n': -8.205384}
{' Yes': -0.035269525, 'Yes': -3.7721925, ' yes': -5.2075734, '\n': -6.122416, ' No': -6.1403484}
{' Yes': -0.032424893, 'Yes': -3.7744539, ' yes': -5.1747074, '\n': -6.621946, ' ': -7.064537}
{' Yes': -0.036358986, 'Yes': -3.714513, ' yes': -4.7803774, '\n': -6.4051585, ' ': -7.268489}
{' Yes': -0.036298346, 'Yes': -3.670709, ' yes': -4.726785, '\n': -7.2290606, ' ': -8.225112}
{' Yes': -0.55442166, ' No': -1.7171986, '\n': -1.809726, 'Yes': -3.34896, 'No': -3.8353813}
{' Yes': -0.14323555, '\n': -2.8509858, 'Yes': -2.9619172, ' ': -4.7673335, ' No': -5.01155}
{' Yes': -0.09077569, 'Yes': -2.9947577, '\n': -3.7142477, ' yes': -4.8206377, ' ': -5.811204}
{' Yes': -0.06579819, 'Yes': -3.1981282, '\n': -4.439739, ' yes': -4.711651, ' ': -6.723577}
{' Yes': -0.015266575, 'Yes': -4.6808567, ' yes': -5.819718, '\n': -6.81715, ' ': -7.305816}
{' Yes': -0.010717902, 'Yes': -4.8935723, ' yes': -6.0942154, '\n': -7.9028373, ' ': -8.147985}
{' Yes': -0.011077884, 'Yes': -4.8301253, ' yes': -6.064295, '\n': -7.9063773, ' ': -8.663887}
{' Yes': -0.00937331, 'Yes': -4.862786, ' yes': -6.598232, '\n': -9.137218, 'yes': -10.119465}
{' No': -0.35687733, 'No': -1.8124571, '\n': -2.2662172, ' Yes': -4.0019712, ' ': -4.723756}
{' Yes': -0.5755013, ' No': -1.484969, '\n': -2.45143, 'Yes': -2.9283242, 'No': -2.9999702}
{' Yes': -0.15557647, 'Yes': -2.4655702, '\n': -3.655456, ' yes': -3.7980113, ' ': -5.2587943}
{' Yes': -0.13391401, 'Yes': -2.494048, ' yes': -3.6043537, '\n': -4.5690985, ' ': -6.3140535}
{' Yes': -0.11403062, ' yes': -2.4705923, 'Yes': -4.016292, '\n': -6.1919985, ' ': -6.462223}
{' Yes': -0.105766505, ' yes': -2.5238857, 'Yes': -4.17132, '\n': -6.1167984, ' ': -6.654452}
{' Yes': -0.12797797, ' yes': -2.397841, 'Yes': -3.9537227, '\n': -5.3942037, 'yes': -5.9195733}
{' Yes': -0.072460465, ' yes': -2.9458332, 'Yes': -4.2473207, '\n': -6.6073327, 'yes': -7.145682}
{' Yes': -0.015829233, '\n': -5.1855984, 'Yes': -5.3524895, ' No': -6.1871014, ' ': -6.229692}
{' Yes': -0.009332516, 'Yes': -5.6383967, '\n': -6.088892, ' yes': -6.745847, ' ': -6.878568}
{' Yes': -0.010755859, 'Yes': -5.332283, '\n': -5.6538963, ' ': -6.624993, ' yes': -7.0364003}
{' Yes': -0.009676411, 'Yes': -5.4145145, '\n': -5.7890987, ' ': -6.902855, ' yes': -7.0924587}
{' Yes': -0.11115749, '\n': -2.7928703, 'Yes': -3.7411146, ' ': -4.419848, ' No': -5.344857}
{' Yes': -0.053567834, 'Yes': -3.8136253, '\n': -4.1429806, ' No': -5.3809867, ' ': -5.5985904}
{' Yes': -0.062345788, '\n': -3.4880373, 'Yes': -3.7935238, ' ': -5.1446266, ' yes': -6.9187913}
{' Yes': -0.05608347, '\n': -3.6020982, 'Yes': -3.85733, ' ': -5.5554056, ' yes': -6.515771}
{' No': -0.34165353, '\n': -1.8196789, ' Yes': -2.8374152, 'No': -3.3416266, ' ': -3.710092}
{' Yes': -0.34501627, ' No': -1.8456972, '\n': -2.559017, ' ': -3.9959562, 'Yes': -4.1223426}
{' Yes': -0.03276992, '\n': -4.3151774, 'Yes': -4.3939853, ' ': -5.3662047, ' yes': -6.75229}
{' Yes': -0.040119063, '\n': -3.976961, 'Yes': -4.282367, ' ': -5.5744286, ' yes': -6.5296416}
{' Yes': -0.048123706, '\n': -3.6270554, ' ': -4.432193, 'Yes': -5.2741594, ' No': -6.1657624}
{' Yes': -0.024255428, '\n': -4.5507827, ' ': -5.2509737, 'Yes': -5.519937, ' An': -6.1821966}
{' Yes': -0.030145366, '\n': -4.063642, 'Yes': -5.0666175, ' ': -5.1881843, ' yes': -7.7540717}
{' Yes': -0.019694138, '\n': -4.574034, 'Yes': -5.214644, ' ': -5.853432, ' yes': -7.6271977}
{' No': -0.1581011, ' Yes': -2.89556, 'No': -3.2550912, '\n': -3.3156538, ' ': -4.568883}
{' Yes': -0.5330656, ' No': -1.1968458, '\n': -2.947761, 'Yes': -4.1804237, 'No': -4.2079964}
{' Yes': -0.028462851, 'Yes': -4.224355, '\n': -4.9255958, ' ': -5.517999, ' yes': -6.9404798}
{' Yes': -0.036885455, 'Yes': -3.9613144, '\n': -4.728265, ' ': -5.8115053, ' Ant': -6.056445}
{' Yes': -0.043968096, 'Yes': -4.3123183, '\n': -4.3712687, ' ': -4.8185916, ' yes': -5.260767}
{' Yes': -0.06609381, '\n': -3.830269, 'Yes': -4.197897, ' ': -4.697985, ' yes': -4.9458394}
{' Yes': -0.038223434, 'Yes': -3.9987166, '\n': -4.9936924, ' yes': -5.0319386, ' ': -5.3327427}
{' Yes': -0.03699295, 'Yes': -4.043478, '\n': -4.872217, ' yes': -4.9382663, ' ': -5.798048}
{' No': -0.02083716, 'No': -4.0796633, ' Yes': -6.9024053, ' An': -6.994161, ' Generally': -7.4157043}
{' No': -0.021083489, 'No': -3.9837492, ' An': -7.3201113, ' Generally': -8.060387, ' A': -8.192761}
{' No': -0.019613776, 'No': -4.3606553, ' Ant': -5.8341947, ' Generally': -6.1491184, ' Not': -8.038385}
{' No': -0.07312592, ' Ant': -3.5975132, 'No': -3.7617378, ' Generally': -4.823122, ' Yes': -5.811527}
{' No': -0.082690954, 'No': -2.5799003, ' Generally': -6.4707923, ' ': -7.867531, ' Yes': -8.000796}
{' No': -0.046751317, 'No': -3.1094093, ' ': -8.259715, ' Generally': -8.581539, ' An': -8.8058405}
{' No': -0.049091738, 'No': -3.2354872, ' Ant': -5.6171246, ' Generally': -5.977363, ' ': -7.288289}
{' No': -0.040354986, 'No': -3.4674122, ' Ant': -5.7717795, ' Generally': -6.633056, ' Not': -6.744746}
{' No': -0.06510735, 'No': -2.8424776, '\n': -5.6827617, ' ': -7.089372, ' An': -8.809784}
{' No': -0.10929476, 'No': -2.4335823, '\n': -4.2731113, ' ': -6.6991134, ' An': -8.193885}
{' No': -0.08143483, 'No': -2.7449784, '\n': -4.80333, ' Ant': -6.0423017, ' ': -6.3448963}
{' No': -0.10374752, 'No': -2.6884775, '\n': -3.7736557, ' Ant': -5.597543, ' ': -6.1137166}
{' No': -0.03529694, 'No': -3.4006588, ' An': -7.5029497, ' Generally': -7.8886404, ' ': -8.84611}
{' No': -0.035442363, 'No': -3.4377573, ' An': -6.3419604, ' A': -7.9415126, ' Generally': -8.835545}
{' No': -0.045280907, 'No': -3.2939417, ' Ant': -5.4234524, ' Generally': -6.322883, ' ': -8.409132}
{' No': -0.07037565, 'No': -3.3239021, ' Ant': -3.7815535, ' Generally': -5.3350086, ' Yes': -6.9566097}
{' No': -0.14171138, 'No': -2.1251214, '\n': -4.733758, ' ': -6.181125, ' Generally': -7.312673}
{' No': -0.1156846, 'No': -2.2442741, '\n': -6.228784, ' ': -7.116127, ' An': -9.093743}
{' No': -0.111329235, 'No': -2.4859288, '\n': -4.67052, ' Ant': -5.44341, ' ': -5.5003633}
{' No': -0.11662051, 'No': -2.4328856, '\n': -4.7290854, ' Ant': -5.024892, ' ': -6.1423397}
{' No': -0.12932134, 'No': -2.1438687, ' Generally': -6.637328, ' ': -6.927355, '\n': -7.0531907}
{' No': -0.08140774, 'No': -2.5998821, ' An': -6.844627, '\n': -7.2733903, ' ': -7.4242196}
{' No': -0.07769795, 'No': -2.8142245, ' Ant': -5.2106743, ' Generally': -5.372484, ' ': -6.7126484}
{' No': -0.06760628, 'No': -2.9260943, ' Ant': -5.1219387, ' Generally': -6.006609, ' Not': -6.9462447}
{' No': -0.0059431433, 'No': -5.3614287, ' ': -7.2283645, '\n': -7.815482, ' An': -10.333628}
{' No': -0.0064649926, 'No': -5.3229914, ' ': -7.132134, '\n': -7.54118, ' An': -8.910636}
{' No': -0.007895648, 'No': -5.2876863, '\n': -6.708924, ' ': -7.212216, ' Ant': -7.2950125}
{' No': -0.008918858, 'No': -4.9810367, '\n': -7.0435505, ' ': -7.633102, ' Ant': -7.859899}
{' No': -0.07214056, 'No': -2.835881, '\n': -4.901099, ' ': -5.7775545, ' A': -8.851094}
{' No': -0.063510835, 'No': -2.9346292, '\n': -5.2684684, ' ': -6.091367, ' An': -7.6939907}
{' No': -0.049433116, 'No': -3.309128, '\n': -5.2879524, ' ': -5.570049, ' Ant': -6.159235}
{' No': -0.046201907, 'No': -3.268217, ' Ant': -5.7058907, ' ': -6.6580935, '\n': -6.994602}
{' No': -0.15304919, 'No': -2.703876, '\n': -2.7272696, ' ': -4.781642, ' A': -7.532908}
{' No': -0.1128055, 'No': -2.7573693, '\n': -3.306121, ' ': -5.2047186, ' A': -7.6651683}
{' No': -0.1922198, '\n': -2.2095423, 'No': -3.0389605, ' ': -4.342334, ' Ant': -5.905596}
{' No': -0.11870845, 'No': -2.8874707, '\n': -3.0685487, ' ': -5.1221433, ' Ant': -6.0476956}
{' No': -0.010354677, 'No': -4.668012, ' ': -7.3740306, '\n': -8.737473, ' An': -9.725626}
{' No': -0.0086521795, 'No': -4.8368607, ' ': -7.7337184, ' An': -9.208157, '\n': -9.543228}
{' No': -0.008881394, 'No': -4.928454, ' ': -7.3691196, ' Ant': -7.562981, '\n': -7.9592423}
{' No': -0.01594829, 'No': -4.2133474, ' Ant': -7.850703, ' ': -8.530356, ' A': -9.045253}
{' No': -0.23578732, 'No': -1.777873, '\n': -3.5501087, ' ': -4.6095705, ' A': -6.9758024}
{' No': -0.18142869, 'No': -1.9127499, '\n': -4.5781245, ' ': -5.3490367, ' A': -6.5679293}
{' No': -0.19843495, 'No': -2.1803074, '\n': -3.1015322, ' ': -4.2098045, ' Ant': -5.5037756}
{' No': -0.18659489, 'No': -1.9088143, '\n': -4.7530217, ' ': -5.0962415, ' Ant': -5.660344}
{' No': -0.07436777, 'No': -2.7559798, ' ': -5.4926434, '\n': -6.016256, ' An': -7.3213673}
{' No': -0.06756775, 'No': -2.853237, ' ': -5.9346576, ' An': -6.2414446, '\n': -6.33678}
{' No': -0.082390726, 'No': -2.923083, ' ': -4.7597, ' Ant': -4.9068027, '\n': -5.055047}
{' No': -0.082791574, 'No': -2.848485, ' Ant': -4.404464, ' ': -5.591283, '\n': -6.1592536}
{' No': -0.079081886, 'No': -2.6037858, ' A': -7.354268, ' ': -7.5670004, ' Generally': -8.47236}
{' No': -0.091363795, 'No': -2.4900339, ' An': -6.486989, ' A': -6.683856, ' ': -7.3809967}
{' No': -0.09977558, 'No': -2.4219706, ' Ant': -5.798577, ' Generally': -6.7483926, ' ': -7.5055046}
{' No': -0.15427607, 'No': -2.0294402, ' Ant': -5.2292404, ' Yes': -6.2513433, ' Generally': -6.776678}
{' No': -0.19272782, 'No': -1.7446402, ' ': -8.398409, ' no': -8.931458, '\n': -9.668866}
{' No': -0.12142954, 'No': -2.1712475, ' ': -8.730587, ' no': -9.773838, 'no': -10.483509}
{' No': -0.24730885, 'No': -1.5248241, ' Ant': -7.9658318, ' ': -8.348997, '\n': -8.509881}
{' No': -0.22719206, 'No': -1.5995713, ' Yes': -7.9335785, ' ': -8.856081, ' Not': -9.072683}
{' No': -0.13083048, 'No': -2.1069598, ' ': -7.8143544, '\n': -8.103286, ' no': -8.847031}
{' No': -0.109305665, 'No': -2.2765572, ' ': -7.9749975, '\n': -8.39441, ' no': -8.803156}
{' No': -0.26631284, 'No': -1.4736952, '\n': -6.5625763, ' Ant': -6.5801706, ' ': -7.138879}
{' No': -0.21159834, 'No': -1.6702452, '\n': -6.879242, ' ': -7.924452, ' Yes': -8.042287}
{' No': -0.031807557, 'No': -3.4762979, ' ': -8.440138, ' An': -10.317051, ' no': -10.460553}
{' No': -0.028462851, 'No': -3.5857995, ' ': -8.70564, ' no': -10.144646, ' A': -10.324803}
{' No': -0.06445706, 'No': -2.796066, ' Ant': -7.582424, ' ': -8.031265, ' Generally': -8.399894}
{' No': -0.046462998, 'No': -3.1171148, ' Yes': -8.087614, ' Ant': -8.182009, ' Generally': -8.664684}
{' No': -0.4177443, 'No': -1.0799948, '\n': -7.029108, ' ': -7.4424024, ' An': -9.156941}
{' No': -0.3647589, 'No': -1.1884971, ' ': -7.790992, '\n': -8.575992, ' AN': -9.299841}
{' No': -0.61671984, 'No': -0.821304, ' Ant': -4.6543956, '\n': -5.0777183, ' ': -6.302401}
{' No': -0.36817655, 'No': -1.1975908, ' Ant': -5.982524, '\n': -6.767295, ' ': -7.3648033}
{' No': -0.1650112, 'No': -1.9033381, '\n': -7.0666394, ' An': -7.098609, ' ': -7.431326}
{' No': -0.14401996, 'No': -2.0251958, '\n': -7.2720485, ' no': -7.860503, ' ': -7.973462}
{' No': -0.18674617, 'No': -1.8858048, ' Ant': -4.306747, '\n': -5.8145537, ' ': -7.1067343}
{' No': -0.15329109, 'No': -1.9824841, '\n': -5.8634257, ' ': -7.5920324, ' Ant': -7.7347894}
{' No': -0.0046414766, 'No': -5.907398, ' ': -6.5392194, ' no': -8.280312, '\n': -8.816098}
{' No': -0.0074183447, 'No': -5.5153337, ' ': -6.083352, ' no': -7.439774, '\n': -8.335456}
{' No': -0.0032909026, 'No': -6.2441106, ' ': -7.29892, ' no': -7.778971, '\n': -8.816189}
{' No': -0.006866534, 'No': -5.2920265, ' ': -7.411751, ' no': -7.674349, ' Ant': -8.034757}
{' No': -0.092112616, 'No': -2.4785852, '\n': -6.1307893, ' ': -6.511128, ' no': -8.374099}
{' No': -0.08885259, 'No': -2.5109773, '\n': -6.2512193, ' ': -6.6649156, ' no': -8.062411}
{' No': -0.09195931, 'No': -2.5523474, '\n': -5.170122, ' ': -5.997169, ' Ant': -7.269899}
{' No': -0.06857126, 'No': -2.763132, '\n': -6.478827, ' ': -7.0322394, ' no': -7.904646}
{' No': -0.16660409, 'No': -2.2056398, '\n': -3.2753973, ' ': -5.426543, ' no': -7.8142514}
{' No': -0.15006562, 'No': -2.260749, '\n': -3.5155728, ' ': -5.4576807, ' A': -7.9443154}
{' No': -0.19890004, 'No': -2.2209642, '\n': -2.774595, ' ': -5.096704, ' Ant': -6.452538}
{' No': -0.118491754, 'No': -2.4327292, '\n': -4.0349, ' ': -5.9880533, ' Ant': -6.300468}
{' No': -0.034300547, 'No': -3.4769197, ' ': -6.6598883, '\n': -6.7510586, ' no': -8.477293}
{' No': -0.023596974, 'No': -3.8450937, ' ': -7.088935, '\n': -7.324942, ' no': -8.415556}
{' No': -0.034685347, 'No': -3.474594, '\n': -6.580157, ' ': -7.0441647, ' no': -7.899231}
{' No': -0.042828016, 'No': -3.2222369, ' Ant': -6.932251, '\n': -7.780981, ' ': -8.28302}
{' No': -0.32618698, 'No': -1.63739, '\n': -2.621107, ' ': -4.8057847, ' no': -6.5974035}
{' No': -0.28292716, 'No': -1.6025834, '\n': -3.26619, ' ': -5.3149695, ' no': -6.9716907}
{' No': -0.30426946, 'No': -1.7370832, '\n': -2.7023196, ' ': -4.5683823, ' no': -5.631685}
{' No': -0.23645619, 'No': -1.7234918, '\n': -3.8020859, ' ': -5.277399, ' no': -6.2579746}
{' No': -0.058596887, 'No': -3.0763142, ' no': -5.252631, ' ': -5.9810266, '\n': -6.093772}
{' No': -0.059669677, 'No': -3.1312792, ' no': -5.0309777, '\n': -5.823238, ' ': -5.9458117}
{' No': -0.07560032, 'No': -3.0909846, ' no': -4.303206, '\n': -5.1473184, ' ': -5.302467}
{' No': -0.098791495, 'No': -2.6923585, ' no': -4.37637, '\n': -5.3006215, ' ': -5.693448}
{' No': -0.017058713, 'No': -4.8194914, '\n': -5.2269835, ' ': -5.8058863, ' An': -8.471912}
{' No': -0.015267846, 'No': -4.991735, '\n': -5.314872, ' ': -6.101456, ' An': -7.1065354}
{' No': -0.026123824, '\n': -4.4551687, 'No': -4.7897043, ' ': -5.4238763, ' Ant': -6.7717533}
{' No': -0.022523291, '\n': -4.7830057, 'No': -4.8119426, ' Ant': -5.9180365, ' ': -5.993315}
{' No': -0.12492626, 'No': -2.887427, '\n': -2.9709973, ' ': -4.6407743, ' An': -8.218151}
{' No': -0.09579075, 'No': -2.8638475, '\n': -3.6655958, ' ': -5.106674, ' An': -6.3473277}
{' No': -0.17475969, '\n': -2.296147, 'No': -3.0881755, ' ': -4.457747, ' Ant': -6.3409977}
{' No': -0.17360695, '\n': -2.3321056, 'No': -3.0516603, ' ': -4.825121, ' Ant': -5.2061596}
{' No': -0.12795027, '\n': -2.7896874, 'No': -3.0746245, ' ': -4.5335536, ' A': -6.9587436}
{' No': -0.086278066, 'No': -3.1781971, '\n': -3.4406576, ' ': -5.0116982, ' A': -6.9142537}
{' No': -0.05891402, 'No': -3.7711272, '\n': -3.8380525, ' ': -4.8613944, ' Ant': -5.622133}
{' No': -0.07353891, '\n': -3.6135035, 'No': -3.6236618, ' Ant': -4.6794024, ' ': -5.1173754}
{' No': -0.034658875, 'No': -4.3711586, '\n': -4.3990655, ' ': -4.7810006, ' An': -7.711817}
{' No': -0.032018255, 'No': -4.351825, '\n': -4.620172, ' ': -5.048145, ' An': -6.298627}
{' No': -0.062033202, '\n': -3.4490778, 'No': -4.0755424, ' ': -4.644047, ' Ant': -6.5422654}
{' No': -0.04046304, 'No': -3.987288, '\n': -4.3627, ' ': -5.5228963, ' Ant': -5.6327577}
{' No': -0.047233533, 'No': -3.463802, '\n': -4.695314, ' ': -5.4045315, ' A': -7.3230634}
{' No': -0.052237943, 'No': -3.3703413, '\n': -4.6084533, ' ': -5.452882, ' A': -6.732244}
{' No': -0.04388334, 'No': -3.8988562, '\n': -4.4524846, ' ': -4.8263154, ' Ant': -6.0947337}
{' No': -0.04751789, 'No': -3.586723, '\n': -4.9925513, ' Ant': -5.1541824, ' ': -5.3280697}
{' No': -0.05075704, 'No': -3.4374547, ' ': -4.789372, '\n': -4.9682355, ' An': -6.845832}
{' No': -0.073258094, 'No': -3.18974, '\n': -4.4809003, ' An': -4.783375, ' ': -4.995192}
{' No': -0.056958538, 'No': -3.4860053, '\n': -4.5968733, ' ': -4.609887, ' Ant': -5.885996}
{' No': -0.07923653, 'No': -3.224914, '\n': -4.109138, ' Ant': -4.600679, ' ': -4.935699}
{' Yes': -0.08655256, ' No': -2.6268682, 'Yes': -5.202506, 'No': -6.387131, ' A': -7.134194}
{' Yes': -0.20757873, ' No': -1.7760849, 'Yes': -5.1579227, 'No': -5.545934, ' A': -5.9226794}
