{' Yes': -0.0005849042, 'Yes': -7.5844274, ' yes': -10.218534, ' Spider': -10.872956, ' The': -11.29661}
{' Yes': -0.18878393, ' No': -1.8729249, ' Bl': -4.176298, 'Yes': -6.2770553, 'No': -7.385099}
{' Yes': -0.0021874553, 'Yes': -6.2550087, ' No': -8.900119, ' yes': -9.249061, ' YES': -11.64985}
{' Yes': -0.0013990775, 'Yes': -6.64351, ' No': -9.800998, ' yes': -10.809509, ' The': -11.0396185}
{' Yes': -0.0016792956, 'Yes': -6.433163, ' yes': -10.377878, ' No': -10.977023, ' ': -11.574925}
{' Yes': -0.0005752417, 'Yes': -7.484294, ' yes': -11.728208, ' No': -12.740304, ' ': -14.501967}
{' Yes': -0.0013125349, 'Yes': -6.690056, ' The': -10.04962, ' yes': -10.854181, '\n': -13.522433}
{' Yes': -0.0006190786, 'Yes': -7.487023, ' The': -10.119025, ' yes': -11.321528, ' ': -13.010695}
{' Yes': -0.0013824248, 'Yes': -6.641994, ' yes': -10.403333, ' Parent': -11.035102, ' No': -11.126475}
{' Yes': -0.0015228798, 'Yes': -6.531132, ' No': -10.82884, ' yes': -10.872032, ' Super': -11.808698}
{' Yes': -0.0024297123, 'Yes': -6.0512877, ' No': -10.15949, ' yes': -11.1208105, ' ': -11.398283}
{' Yes': -0.018925313, ' No': -4.102183, 'Yes': -6.374562, ' The': -7.832257, 'No': -9.973703}
{' Yes': -0.2364303, ' No': -1.5691901, 'Yes': -6.638491, 'No': -7.520233, ' Not': -7.94007}
{' Yes': -0.009066569, ' No': -5.094376, 'Yes': -5.9575577, ' The': -8.371395, ' yes': -10.579649}
{' Yes': -0.0060735657, 'Yes': -5.1656246, ' The': -9.040454, ' yes': -9.562183, ' St': -9.768967}
{' Yes': -0.001974042, 'Yes': -6.2574153, ' yes': -10.246347, ' The': -11.088443, ' YES': -13.473715}
{' Yes': -0.0017169083, 'Yes': -6.7105713, ' Doctor': -8.058695, ' No': -9.358612, ' yes': -9.595238}
{' Yes': -0.009071623, ' No': -5.0328617, 'Yes': -6.0868607, ' Spo': -9.724998, ' yes': -9.866861}
{' Yes': -0.0026119072, 'Yes': -6.006302, ' No': -9.30969, ' yes': -10.681956, ' The': -10.86299}
{' Yes': -0.030050712, ' No': -3.5775647, 'Yes': -6.503313, 'No': -9.60973, ' Tennis': -10.189657}
{' Yes': -0.025192887, ' No': -3.8092866, 'Yes': -5.9846272, 'No': -9.502586, ' The': -9.523943}
{' Yes': -0.03854619, ' No': -3.343184, 'Yes': -6.135183, 'No': -9.0907, ' Not': -9.859825}
{' Yes': -0.0025803526, ' No': -6.6697626, 'Yes': -6.7174697, ' yes': -10.120706, ' ': -10.9505625}
{' Yes': -0.0020745604, 'Yes': -6.2135415, ' The': -10.148152, ' yes': -10.951077, ' No': -12.238532}
{' Yes': -0.0032346295, 'Yes': -6.1145205, ' No': -7.0004344, ' The': -9.609966, ' yes': -10.679102}
{' Yes': -0.0013685169, 'Yes': -6.6461167, ' No': -10.135516, ' The': -11.438571, ' yes': -11.448573}
{' Yes': -0.0030815576, 'Yes': -5.803614, ' No': -10.679399, ' The': -11.0157, ' yes': -11.640628}
{' No': -0.06700927, ' Yes': -3.430775, ' In': -3.5599387, 'No': -5.989393, ' Not': -7.55598}
{' Yes': -0.089436956, ' In': -2.7776256, ' No': -4.2272277, 'Yes': -5.202827, ' The': -6.9848514}
{' Yes': -0.0050853016, 'Yes': -5.4398904, ' Loving': -7.5309634, ' yes': -9.063202, ' ': -10.188722}
{' Yes': -0.002379642, 'Yes': -6.563023, ' No': -7.1327124, ' The': -9.085898, ' yes': -10.715909}
{' Yes': -0.07285202, ' No': -2.6757345, 'Yes': -6.7413826, 'No': -9.191668, ' ': -10.337503}
{' Yes': -0.0033788737, ' No': -6.159119, 'Yes': -6.9333315, ' The': -8.4039135, ' yes': -10.528203}
{' Yes': -0.0048418622, 'Yes': -5.7825513, ' Butter': -6.739403, ' ': -8.474166, ' No': -8.638834}
{' Yes': -0.0031472694, 'Yes': -5.7698936, ' yes': -11.029978, 'yes': -13.707779, ' YES': -13.745595}
{' No': -0.0078122783, 'No': -5.547979, ' Yes': -5.5616775, ' ': -11.13112, 'Yes': -11.346001}
{' Yes': -0.0040220045, ' No': -6.0243464, 'Yes': -6.608346, ' The': -8.690297, ' yes': -10.9702425}
{' Yes': -0.020778919, ' No': -4.0043354, 'Yes': -6.4145427, ' The': -7.417516, 'No': -10.241345}
{' Yes': -0.36080658, ' No': -1.2039653, 'Yes': -6.283946, 'No': -7.196492, ' The': -8.702838}
{' Yes': -0.0068569332, 'Yes': -5.241462, ' She': -7.004175, ' No': -7.710047, ' The': -9.275015}
{' Yes': -0.0061589032, 'Yes': -5.170595, ' No': -7.8600345, ' yes': -10.400706, '\n': -11.2576475}
{' Yes': -0.0017530931, 'Yes': -6.4237237, ' The': -9.36911, ' No': -10.818302, ' yes': -10.922434}
{' Yes': -0.0015131489, 'Yes': -6.5464063, ' The': -10.175251, ' yes': -10.634397, '\n': -12.31832}
{' Yes': -0.0030878352, ' No': -6.483572, 'Yes': -6.4959254, ' yes': -11.359138, ' Sun': -12.080329}
{' Yes': -0.0012185966, 'Yes': -6.7611933, ' No': -10.353337, ' yes': -11.241542, ' The': -11.770953}
{' Yes': -0.060780115, ' No': -2.8939118, 'Yes': -6.2861176, ' The': -7.132269, ' Minute': -7.428461}
{' Yes': -0.058737203, ' No': -2.959498, ' Minute': -6.0340505, 'Yes': -6.0933595, 'No': -8.66136}
{' Yes': -0.0028425504, 'Yes': -5.9890313, ' No': -8.240449, ' Car': -10.480928, ' yes': -10.994998}
{' Yes': -0.0024554033, 'Yes': -6.0527782, ' No': -9.803713, ' The': -10.812706, ' yes': -11.332004}
{' Yes': -0.00096947496, 'Yes': -7.1549625, ' The': -9.041594, ' yes': -9.845022, ' No': -11.490192}
{' Yes': -0.0023149382, 'Yes': -6.229874, ' The': -8.439839, ' No': -9.516025, ' yes': -10.208224}
{' Yes': -0.002291638, 'Yes': -6.4920526, ' No': -7.954458, ' The': -8.367916, ' ': -9.8247385}
{' Yes': -0.5973279, ' No': -0.8133733, 'No': -6.194038, 'Yes': -6.3390727, ' Not': -6.6158857}
{' No': -0.57357293, ' Yes': -0.83817756, ' The': -6.646445, 'No': -6.731147, 'Yes': -7.1612673}
{' No': -0.6630048, ' Yes': -0.7364359, ' Length': -6.0140862, ' Not': -6.517762, 'No': -7.289969}
{' Yes': -0.00074665993, 'Yes': -7.2389836, ' yes': -11.2429285, ' The': -11.399847, '\n': -13.366699}
{' Yes': -0.0010167877, 'Yes': -6.918057, ' yes': -10.9449215, ' The': -12.373174, ' ': -13.257192}
{' Yes': -0.004585367, 'Yes': -5.454069, ' France': -8.702979, ' yes': -9.554204, ' ': -10.938279}
{' Yes': -0.00062313356, 'Yes': -7.417046, ' yes': -11.288566, ' ': -12.510186, '\n': -12.726073}
{' Yes': -0.00078000367, 'Yes': -7.236511, ' No': -10.769342, ' yes': -10.856707, ' The': -11.0989}
{' Yes': -0.0038742581, 'Yes': -5.857134, ' Muscle': -7.8266654, ' No': -8.444508, ' The': -8.96233}
{' Yes': -0.001192519, 'Yes': -7.243975, ' No': -7.9304805, ' The': -9.550135, ' yes': -10.832571}
{' Yes': -0.002986678, ' Empire': -6.256349, 'Yes': -6.927793, ' The': -10.176178, ' yes': -11.095831}
{' Yes': -0.0070021767, ' No': -5.1566257, 'Yes': -6.8022227, ' The': -9.770063, ' yes': -10.673267}
{' No': -0.009681829, 'No': -5.17507, ' Yes': -5.5503726, ' The': -10.791912, ' Unfortunately': -10.910196}
{' Yes': -0.001760915, 'Yes': -6.613205, ' Hunger': -8.338083, ' No': -9.239837, ' The': -10.618866}
{' Yes': -0.0009048029, 'Yes': -7.0407734, ' yes': -11.246323, ' The': -11.812813, ' No': -12.389875}
{' Yes': -0.00101094, 'Yes': -6.9307804, ' yes': -11.099483, ' No': -11.695243, ' The': -12.453692}
{'\n': -0.03343888, ' Yes': -3.7967217, ' ': -4.9826307, ' No': -5.7884436, 'Yes': -8.707246}
{' Yes': -0.0013109824, 'Yes': -6.7923684, ' No': -9.1106615, ' The': -10.29423, ' yes': -10.324}
{' Yes': -0.008500624, ' No': -5.083402, 'Yes': -6.1326075, ' The': -10.290442, 'No': -10.618787}
{' Yes': -0.32906187, ' No': -1.2791886, 'Yes': -6.823168, 'No': -7.2189026, ' The': -8.795719}
{' Yes': -0.0021183435, 'Yes': -6.2162538, ' yes': -10.20511, ' ': -10.606826, ' Direct': -10.942458}
{' Yes': -0.0014034958, 'Yes': -6.6814227, ' No': -9.701808, ' The': -9.869586, ' yes': -10.46087}
{' Yes': -0.0012298144, 'Yes': -6.851495, ' No': -9.266303, ' The': -9.813649, ' yes': -11.068831}
{' Yes': -0.0016609647, 'Yes': -6.8423147, ' The': -7.5631247, ' No': -10.198812, ' yes': -10.783849}
{' Yes': -0.0016235905, 'Yes': -6.5147367, ' No': -10.045004, ' The': -10.199778, ' ': -10.61829}
{' Yes': -0.086122595, ' No': -2.5394878, ' Behind': -6.124347, 'Yes': -7.1146393, ' The': -7.806295}
{' Yes': -0.09206616, ' No': -2.449181, 'Yes': -6.701187, 'No': -9.073858, '\n': -9.253027}
{' Yes': -0.031290855, ' No': -3.5439558, 'Yes': -6.712245, ' The': -7.5695105, 'No': -9.874938}
{' Yes': -0.004269855, 'Yes': -5.9764814, ' No': -6.4383707, ' The': -9.555114, ' yes': -10.315499}
{' No': -0.04304454, ' Yes': -3.4294295, 'No': -4.7432723, 'Yes': -8.019891, '\n': -8.496623}
{' Yes': -0.0061846306, ' No': -5.459952, 'Yes': -6.2935386, ' yes': -10.351941, ' The': -11.417672}
{' Yes': -0.0015943956, 'Yes': -6.760909, ' No': -7.9648666, ' The': -10.203955, ' yes': -10.227414}
{' Yes': -0.00794167, ' No': -5.0923038, 'Yes': -6.433417, ' The': -9.446546, ' yes': -10.404378}
{' Yes': -0.3674712, ' No': -1.192367, 'Yes': -5.7648306, 'No': -7.3865557, ' The': -8.986991}
{' No': -0.42305925, ' Yes': -1.0776021, 'Yes': -6.1367846, 'No': -6.2248983, ' The': -8.553502}
{' Yes': -0.0061731176, 'Yes': -5.4332876, ' The': -6.842877, ' No': -7.778176, ' Sne': -8.978557}
{' Yes': -0.08980914, ' No': -2.5210242, 'Yes': -5.5248103, ' The': -7.4543166, ' Sne': -7.896112}
{' No': -0.08265056, ' Yes': -2.6281219, 'No': -5.1853004, ' Not': -7.088889, 'Yes': -7.655038}
{' Yes': -0.00127947, 'Yes': -6.687509, ' yes': -10.984235, ' The': -11.906275, '\n': -12.574385}
{' Yes': -0.0008058335, 'Yes': -7.168742, ' No': -11.361311, ' Purple': -11.615146, ' yes': -11.685858}
{' Yes': -0.0025357741, 'Yes': -6.5182676, ' Purple': -6.9748807, ' yes': -10.348859, ' No': -10.651523}
{' Yes': -0.0011359475, 'Yes': -6.8379946, ' yes': -10.163226, ' The': -11.116808, ' Animal': -13.016483}
{' Yes': -0.0031022474, 'Yes': -5.8015947, ' yes': -10.343441, ' No': -10.678634, ' The': -11.368034}
{' Yes': -0.0035658472, 'Yes': -6.2495413, ' The': -6.914269, ' No': -8.517488, ' yes': -8.922968}
{' Yes': -0.0026105922, 'Yes': -6.0096946, ' yes': -9.720401, ' No': -9.824019, ' The': -10.696101}
{' Yes': -0.002265352, ' No': -6.646135, 'Yes': -6.9672933, ' yes': -11.63617, 'No': -12.524337}
{' Yes': -0.0013625489, 'Yes': -6.6576295, ' The': -10.334706, ' No': -10.693449, ' yes': -11.1270685}
{' Yes': -0.0014014654, 'Yes': -6.6240706, ' No': -10.36993, ' yes': -10.526406, ' The': -11.832145}
{' Yes': -0.0010053325, 'Yes': -7.0875926, ' ': -9.526024, ' yes': -10.49483, ' YES': -10.748042}
{' Yes': -0.0030125028, 'Yes': -5.834138, '\n': -10.803669, ' Pretty': -11.165547, ' yes': -11.252342}
{' Yes': -0.0021620067, 'Yes': -6.3050294, ' No': -8.112418, ' yes': -10.929113, ' The': -12.292358}
{' No': -0.08105124, ' Yes': -2.8689384, 'No': -3.9822924, 'Yes': -6.888872, ' Dis': -6.982767}
{' Yes': -0.066060245, ' No': -2.7677507, 'Yes': -7.016227, 'No': -9.222768, ' The': -9.796685}
{' Yes': -0.6324556, ' No': -0.76155835, 'No': -7.020545, 'Yes': -7.137502, ' The': -10.340601}
{' Yes': -0.010566693, ' No': -4.845783, 'Yes': -5.9716697, 'No': -10.325266, ' The': -10.377613}
{' Yes': -0.0015684888, 'Yes': -6.5056458, ' The': -10.423954, ' yes': -10.599783, ' No': -11.525507}
{' Yes': -0.0013239939, 'Yes': -6.6591144, ' yes': -11.030075, ' The': -11.161182, ' No': -12.676042}
{' Yes': -0.0031066102, ' No': -6.4233146, 'Yes': -6.8421607, ' The': -8.010539, ' Second': -10.286878}
{' Yes': -0.0012920629, 'Yes': -6.7015195, ' The': -10.3759365, ' yes': -10.574093, ' YES': -13.159409}
{' Yes': -0.54943264, ' No': -0.8764361, ' The': -5.6967983, 'Yes': -6.532945, 'No': -6.55504}
{' Yes': -0.0019413161, 'Yes': -6.5229616, ' No': -8.341556, ' The': -8.545663, ' yes': -10.571467}
{' Yes': -0.0009151844, 'Yes': -7.1588798, ' The': -9.311805, ' No': -10.571204, ' yes': -11.262279}
{' No': -0.6287099, ' Yes': -0.773985, 'No': -6.5365944, 'Yes': -6.688072, ' Ex': -6.758661}
{' Yes': -0.0009903572, 'Yes': -6.9413304, ' yes': -11.397362, ' No': -12.403586, ' The': -12.908405}
{' Yes': -0.0011946685, 'Yes': -6.7791576, ' yes': -10.462101, ' ': -11.346268, '\n': -11.974781}
{' Yes': -0.0036552807, 'Yes': -6.379265, ' No': -6.6711106, ' Planet': -7.500323, '\n': -10.030788}
{' Yes': -0.0033720564, 'Yes': -5.702945, ' yes': -11.014576, '\n': -12.780143, ' No': -12.857215}
{' Yes': -0.0032942507, 'Yes': -5.739082, ' yes': -10.307663, ' C': -11.245319, ' No': -11.3945055}
{' Yes': -0.0011166714, 'Yes': -6.8421445, ' yes': -10.519855, ' The': -11.553351, ' No': -12.280831}
{' Yes': -0.0012126296, 'Yes': -6.7312136, ' yes': -11.588939, ' The': -12.490308, ' ': -12.760921}
{' Yes': -0.006091378, 'Yes': -5.1524286, ' No': -8.409715, '\n': -10.74572, ' yes': -11.147131}
{' Yes': -0.0024383771, 'Yes': -6.2772446, ' No': -7.606343, ' Circus': -10.649443, ' The': -11.051716}
{' Yes': -0.0010161897, 'Yes': -7.024438, ' No': -9.162261, '\n': -12.091889, ' yes': -12.132228}
{' Yes': -0.0010116551, 'Yes': -6.921839, ' yes': -11.490761, ' No': -11.660713, '\n': -13.07342}
{' Yes': -0.0018626666, 'Yes': -6.300469, ' yes': -11.117465, ' The': -12.686483, ' ': -12.964082}
{' Yes': -0.0009982907, 'Yes': -7.1927514, ' No': -8.647235, ' The': -10.418642, ' yes': -10.679819}
{' Yes': -0.0034262398, ' No': -6.351046, 'Yes': -6.6714883, ' Finger': -8.141186, ' yes': -10.232221}
{' Yes': -0.003239356, 'Yes': -5.7456017, ' yes': -10.783466, ' ': -12.046383, ' The': -12.311105}
{' Yes': -0.0019710534, 'Yes': -6.265507, ' yes': -10.462225, ' The': -10.510782, ' ': -12.211999}
{' Yes': -0.0010107015, 'Yes': -6.91258, ' yes': -11.582664, ' ': -12.893525, ' YES': -13.64927}
{' Yes': -0.0014887346, 'Yes': -6.7317433, ' The': -8.414876, ' Sure': -10.172502, ' yes': -10.705766}
{' Yes': -0.0054952228, 'Yes': -5.3142657, ' No': -7.6922016, ' The': -10.154935, ' yes': -10.426292}
{' Yes': -0.0034912573, 'Yes': -6.170922, ' No': -6.615727, ' yes': -10.996495, ' The': -11.046184}
{' Yes': -0.01837932, ' Sc': -4.3930397, 'Yes': -5.61346, ' yes': -6.92464, ' YES': -8.159368}
{' Yes': -0.0077510066, 'Yes': -5.385116, ' Sc': -6.0161643, ' No': -8.314462, ' yes': -8.481532}
{' No': -0.24252144, ' Yes': -1.5692807, 'No': -5.2010517, 'Yes': -6.6198497, ' ': -9.443293}
{' No': -0.1348397, ' Yes': -2.123855, 'No': -5.4285655, 'Yes': -7.201659, ' ': -7.27347}
{' Yes': -0.0017287907, 'Yes': -6.376168, ' yes': -12.1633625, ' The': -12.255036, ' ': -12.471509}
{' Yes': -0.001089046, 'Yes': -6.8886123, ' No': -10.784659, ' The': -10.914582, ' yes': -11.45189}
{' Yes': -0.0014720791, 'Yes': -6.634182, ' No': -9.11291, ' The': -10.672186, ' yes': -10.970784}
{' Yes': -0.0012370355, 'Yes': -6.820916, ' No': -9.3126955, ' yes': -10.237569, ' The': -11.295046}
{' Yes': -0.00050910533, 'Yes': -7.610702, ' yes': -11.548967, ' ': -13.417533, ' YES': -13.632797}
{' Yes': -0.0027494258, 'Yes': -5.908108, ' yes': -11.205111, '\n': -12.490028, ' The': -12.495493}
{' Yes': -0.001974042, 'Yes': -6.2656856, ' The': -10.502276, ' yes': -10.730663, ' No': -11.090489}
{' Yes': -0.0051772064, ' No': -5.6855164, 'Yes': -6.416718, ' The': -9.495348, ' yes': -11.127896}
{' Yes': -0.0035070493, 'Yes': -6.163369, ' No': -6.7677073, ' The': -8.815688, ' yes': -10.028951}
{' Yes': -0.0014997778, 'Yes': -6.627632, ' The': -9.419634, ' No': -9.951118, ' yes': -10.440811}
{' Yes': -0.00083399017, 'Yes': -7.2447248, ' No': -9.901764, ' Repeat': -10.190584, ' yes': -11.183377}
{' Yes': -0.0005823989, 'Yes': -7.480616, ' yes': -11.424934, ' The': -12.375488, ' YES': -13.977576}
{' Yes': -0.0018443328, 'Yes': -6.436245, ' Spider': -9.596527, ' yes': -9.68169, ' No': -9.791246}
{' Yes': -0.002612981, 'Yes': -5.9730625, ' yes': -10.261868, ' The': -11.1322, ' ': -12.247352}
{' Yes': -0.0015081347, 'Yes': -6.5312414, ' yes': -10.964536, ' No': -11.215544, ' ': -11.972539}
{' Yes': -0.007846686, 'Yes': -5.6260314, ' Candle': -6.361976, ' No': -6.535852, ' Cand': -7.4017215}
{' Yes': -0.012955151, ' No': -4.617716, 'Yes': -5.9952245, ' The': -8.097347, ' yes': -9.529371}
{' Yes': -0.39709502, ' No': -1.1328719, 'Yes': -5.853237, 'No': -6.118356, ' The': -8.308949}
{' Yes': -0.007305521, 'Yes': -5.0636716, ' No': -7.0996394, ' The': -9.791897, ' yes': -10.058281}
{' Yes': -0.006186011, 'Yes': -5.332194, ' No': -6.826906, ' The': -9.058847, ' yes': -9.691873}
{' Yes': -0.0053768624, 'Yes': -5.3635936, ' No': -7.518722, ' yes': -9.80806, ' The': -10.289402}
{' Yes': -0.0013175473, 'Yes': -6.7158766, ' yes': -9.988181, ' No': -10.513755, ' The': -10.729992}
{' No': -0.038968757, ' Yes': -3.4409993, 'No': -5.1573544, 'Yes': -8.681153, ' Not': -9.582857}
{' Yes': -0.0052431156, 'Yes': -5.514402, ' No': -6.931239, ' The': -8.933221, ' yes': -9.932841}
{' Yes': -0.05506454, ' No': -2.9812539, 'Yes': -6.067931, 'No': -8.30272, ' The': -8.594844}
{' Yes': -0.20099437, ' No': -1.7881906, 'Yes': -4.576036, 'No': -5.5300765, ' The': -8.169532}
{' Yes': -0.07969272, ' No': -2.6465073, 'Yes': -5.389251, 'No': -7.2312446, ' Orange': -8.785228}
{' Yes': -0.005785882, 'Yes': -5.1764517, ' No': -9.725796, ' yes': -10.622499, ' ': -10.8449745}
{' No': -0.11936804, ' Yes': -2.5094552, 'No': -3.5871205, 'Yes': -6.313111, ' Hungry': -6.7130733}
{' Yes': -0.0023712185, 'Yes': -6.305025, ' No': -7.6485963, ' yes': -10.544067, ' The': -10.81233}
{' No': -0.008855414, 'No': -4.8709064, ' Yes': -6.878677, ' ': -9.831758, ' Unfortunately': -11.008561}
{' No': -0.031273387, ' Yes': -3.8126416, 'No': -4.792008, 'Yes': -8.960424, ' ': -9.035841}
{' Yes': -0.2688587, ' No': -1.4599006, 'Yes': -6.5975447, 'No': -7.046351, ' The': -7.2235937}
{' No': -0.23501867, ' Yes': -1.5915593, 'No': -5.4095826, 'Yes': -7.2702413, ' Not': -8.465757}
{' Yes': -0.013981262, 'Yes': -4.2807164, ' yes': -10.545465, ' ': -11.555785, '\n': -12.305808}
{' Yes': -0.0028635918, 'Yes': -5.874448, ' yes': -10.412427, ' ': -11.94117, ' The': -12.230222}
{' Yes': -0.012332562, ' No': -4.828504, 'Yes': -5.5885553, ' The': -7.934539, 'No': -9.867074}
{' Yes': -0.013474933, 'Yes': -4.888948, ' No': -5.1885295, 'No': -9.310611, ' yes': -9.586495}
{' Yes': -0.0048891804, 'Yes': -5.347279, ' No': -10.17369, ' yes': -10.420301, ' ': -10.511245}
{' Yes': -0.0045478237, 'Yes': -5.6012273, ' No': -7.225296, ' The': -9.912067, ' yes': -10.515667}
{' Yes': -0.02384288, 'Yes': -4.702712, ' No': -4.9913545, ' Nep': -5.0360193, ' ': -7.275851}
{' Yes': -0.0061930283, 'Yes': -5.304256, ' No': -6.8278475, ' The': -10.368516, ' ': -10.606521}
{' No': -0.008635888, 'No': -5.167619, ' Yes': -5.878083, ' ': -10.43604, ' Not': -10.564586}
{' No': -0.23092867, ' Yes': -1.5943567, 'No': -6.0274315, 'Yes': -7.7033024, ' Not': -8.653572}
{' Yes': -0.0070046987, 'Yes': -5.0046587, ' No': -8.625909, ' yes': -10.179387, ' ': -10.65209}
{' Yes': -0.0027863043, 'Yes': -5.909023, ' yes': -10.423436, ' ': -11.272331, ' The': -11.592246}
{' Yes': -0.010669165, 'Yes': -4.8656917, ' No': -5.9202356, ' The': -9.172498, ' yes': -10.2307825}
{' Yes': -0.013131784, ' No': -4.90608, 'Yes': -5.215017, ' The': -9.428462, ' yes': -10.324555}
