{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Up': -0.16995329, ' Down': -2.0892725, ' up': -3.7781456, ' down': -4.966735, 'Up': -6.9625173}
{' Down': -0.10072223, ' down': -2.4239988, ' Up': -5.82743, 'Down': -5.8528066, 'down': -7.2599416}
{' Down': -0.12588365, ' down': -2.1879237, 'Down': -5.715202, ' Up': -6.736004, 'down': -6.9452267}
{' Up': -0.072908305, ' Down': -3.3467405, ' up': -3.5243528, ' down': -5.882537, 'Up': -6.787549}
{' Up': -0.07882369, ' up': -2.6344, ' Down': -6.697212, ' UP': -6.952097, 'Up': -7.0445046}
{' Down': -0.34359473, ' down': -1.2469455, 'Down': -6.158643, 'down': -7.093129, ' ': -8.940126}
{' Up': -0.32950646, ' up': -1.3141904, ' Down': -5.4571443, ' down': -5.6045856, ' UP': -6.3386674}
{' Down': -0.3126565, ' down': -1.3313389, 'Down': -5.951401, 'down': -6.824394, ' DOWN': -8.354058}
{' Up': -0.21410176, ' Down': -1.9824427, ' up': -3.3157136, ' down': -4.291572, 'Up': -6.4776783}
{' Down': -0.17870618, ' down': -1.8580675, 'Down': -5.4016633, 'down': -6.6435056, ' Up': -6.8389974}
{' Down': -0.19928212, ' down': -1.7626861, 'Down': -5.246838, 'down': -6.4050717, ' Up': -6.8824406}
{' Up': -0.15148698, ' Down': -2.5540137, ' up': -3.0310662, ' down': -4.737512, 'Up': -6.247919}
{' Up': -0.014851243, ' up': -4.70773, ' Down': -5.53126, 'Up': -7.3709183, ' UP': -7.575024}
{' Down': -0.059599712, ' down': -2.8913257, 'Down': -6.4664564, 'down': -7.6330023, ' ': -9.074953}
{' Up': -0.39233407, ' Down': -1.4511204, ' up': -3.0830212, ' down': -3.2441175, ' ': -6.48822}
{' Down': -0.05438907, ' down': -3.0186355, 'Down': -6.1718125, ' Up': -7.290049, 'down': -7.307267}
{' Up': -0.14597456, ' up': -2.3155532, 'Up': -4.0856276, ' Down': -4.59518, 'up': -5.629968}
{' Down': -0.48193386, ' down': -1.1056255, 'Down': -3.4221134, 'down': -4.068119, ' ': -7.1562805}
{' Up': -1.1983615, ' Down': -1.22602, ' down': -1.4329424, ' up': -2.154094, 'Down': -4.0201883}
{' Down': -0.46340853, ' down': -1.1571609, 'Down': -3.3864067, 'down': -3.9598649, ' Up': -6.92879}
{' Up': -0.11776166, ' up': -2.202507, ' UP': -8.086361, 'Up': -8.794468, 'up': -10.092259}
{' Down': -0.1993201, ' down': -1.7147849, 'Down': -7.9685307, 'down': -8.342084, '\n': -9.657015}
{' Up': -0.06447811, ' up': -2.7839258, ' UP': -7.940513, 'Up': -8.695443, '\n': -9.646164}
{' Down': -0.42281014, ' down': -1.0675017, 'down': -7.7048416, 'Down': -8.062935, '\n': -9.446965}
{' Up': -0.04206669, ' up': -3.2089307, 'Up': -7.8066726, ' UP': -8.13649, 'up': -9.5369625}
{' Down': -0.08032059, ' down': -2.5784492, 'Down': -7.035757, 'down': -8.020987, ' DOWN': -10.090222}
{' Up': -0.018735204, ' up': -4.0283422, 'Up': -7.7358007, ' UP': -8.416827, 'up': -9.695523}
{' Down': -0.24707852, ' down': -1.5280938, 'down': -6.9671865, 'Down': -6.9979324, ' ': -10.101807}
{' Up': -0.034496598, ' up': -3.4060802, 'Up': -7.794924, ' UP': -8.363537, 'up': -9.855476}
{' Down': -0.08292982, ' down': -2.554842, 'Down': -6.5967, 'down': -7.814522, ' DOWN': -10.037711}
{' Up': -0.01852291, ' up': -4.048666, 'Up': -7.460971, ' UP': -8.5098915, 'up': -9.736037}
{' Down': -0.22513196, ' down': -1.6170673, 'Down': -6.357296, 'down': -6.7241554, ' ': -9.510106}
{' Up': -0.3509721, ' up': -1.2226857, ' UP': -7.493411, 'Up': -7.529408, 'up': -8.330646}
{' Down': -0.41389447, ' down': -1.0889986, 'Down': -6.778901, 'down': -6.985812, '\n': -8.818158}
{' Up': -0.1332094, ' up': -2.0955794, 'Up': -7.296201, ' UP': -7.4294696, 'up': -8.539723}
{' Down': -0.48732904, ' down': -0.9596249, 'Down': -6.748126, 'down': -6.7825866, '\n': -8.64765}
{' Up': -0.08022888, ' up': -2.5905304, 'Up': -6.7484455, ' UP': -7.427925, 'up': -8.672819}
{' Down': -0.1207489, ' down': -2.2089849, 'Down': -5.82785, 'down': -7.2175765, ' DOWN': -9.278947}
{' Up': -0.029914424, ' up': -3.5950577, 'Up': -6.5539536, ' UP': -8.119399, 'up': -8.765273}
{' Down': -0.17378487, ' down': -1.8648363, 'Down': -5.7413507, 'down': -6.7447667, ' ': -9.402103}
{' Up': -0.028477872, ' up': -3.6036844, ' UP': -7.8782682, 'Up': -8.081149, 'up': -9.874279}
{' Down': -0.072577685, ' down': -2.6790516, 'Down': -7.12674, 'down': -7.9082227, '\n': -9.470414}
{' Up': -0.016225042, ' up': -4.18933, ' UP': -7.6976247, 'Up': -8.035516, '\n': -9.757485}
{' Down': -0.16280219, ' down': -1.9066814, 'down': -7.2377777, 'Down': -7.2469945, ' ': -9.423102}
{' Up': -0.51306695, ' up': -0.947004, 'Up': -4.813232, 'up': -5.5226607, ' UP': -7.124756}
{' Down': -0.51451415, ' down': -0.9824955, 'Down': -4.179675, 'down': -4.4198318, ' ': -8.34571}
{' Up': -0.26776794, ' up': -1.5004702, 'Up': -4.855054, 'up': -5.8671136, ' UP': -7.029974}
{' down': -0.57280874, ' Down': -0.9083667, 'down': -3.9323993, 'Down': -4.357253, ' ': -8.157754}
{' Up': -0.067956455, ' up': -2.766708, ' Down': -6.295823, ' down': -7.842195, 'Up': -8.57318}
{' Down': -0.2551718, ' down': -1.4942732, 'Down': -7.706534, 'down': -8.355609, '\n': -9.993498}
{' Up': -0.20088843, ' up': -1.7128322, ' Down': -7.662415, ' UP': -7.701213, ' down': -8.340571}
{' Down': -0.20602024, ' down': -1.6856021, 'Down': -7.642654, 'down': -8.319021, ' DOWN': -10.022539}
{' Up': -0.018230107, ' up': -4.116424, ' Down': -7.011829, 'Up': -7.490568, ' UP': -9.24425}
{' Down': -0.13716583, ' down': -2.0707328, 'Down': -6.5334096, 'down': -7.53716, ' ': -10.151305}
{' Up': -0.076922506, ' up': -2.6211998, 'Up': -7.512339, ' UP': -8.0305, ' Down': -8.442233}
{' Down': -0.098494865, ' down': -2.3906853, 'Down': -6.4293127, 'down': -7.6545706, ' DOWN': -9.492713}
{' Up': -0.024111379, ' up': -3.8803635, ' Down': -6.411236, 'Up': -7.004168, ' down': -8.794181}
{' Down': -0.123327985, ' down': -2.183461, 'Down': -6.0146008, 'down': -7.1847634, ' ': -9.461009}
{' Up': -0.10923885, ' up': -2.2866013, 'Up': -7.178017, ' UP': -7.7947445, ' Down': -8.077291}
{' Down': -0.1292634, ' down': -2.1343217, 'Down': -6.2059555, 'down': -7.2921352, ' DOWN': -9.118776}
{' Up': -0.0828742, ' up': -2.5960538, ' Down': -6.0243225, 'Up': -7.2130795, ' down': -7.3000064}
{' Down': -0.287186, ' down': -1.3998665, 'Down': -6.2352104, 'down': -7.147613, ' ': -9.372722}
{' Up': -0.37247762, ' up': -1.1805125, ' Down': -6.957654, ' down': -7.000825, 'Up': -7.1776934}
{' Down': -0.31141832, ' down': -1.3299463, 'Down': -6.290741, 'down': -6.9661083, '\n': -9.190023}
{' Up': -0.028524118, ' up': -3.7278879, ' Down': -6.363612, 'Up': -6.5565424, ' ': -8.424415}
{' Down': -0.20760177, ' down': -1.7021143, 'Down': -5.5779266, 'down': -6.7795596, ' ': -8.935282}
{' Up': -0.11854785, ' up': -2.2496133, ' Down': -6.124697, 'Up': -6.4698033, ' UP': -7.044279}
{' Down': -0.15447207, ' down': -1.982351, 'Down': -5.543615, 'down': -6.8169017, ' DOWN': -8.64688}
{' Up': -0.018243702, ' up': -4.4357333, ' Down': -5.332126, 'Up': -7.727897, ' ': -8.13062}
{' Down': -0.060936008, ' down': -2.8616047, 'Down': -6.64562, 'down': -7.8167605, ' ': -9.120181}
{' Up': -0.1396358, ' Down': -2.665078, ' up': -3.0312335, ' down': -4.637198, ' ': -7.2663207}
{' Down': -0.0519496, ' down': -3.022378, 'Down': -6.714038, 'down': -7.7173605, ' DOWN': -9.308109}
{' Up': -0.18886629, ' up': -1.938769, 'Up': -4.02253, 'up': -5.1881166, ' ': -6.0853925}
{' Down': -0.68304324, ' down': -0.85744923, 'Down': -3.2085369, 'down': -3.5365474, ' ': -7.1394906}
{' Up': -0.6220502, ' up': -0.81713575, 'Up': -4.446866, 'up': -5.072171, ' ': -6.670445}
{' Down': -0.63214934, ' down': -0.8639362, 'Down': -3.6901574, 'down': -3.8658853, ' ': -7.406711}
{' Down': -0.81824523, ' Up': -0.8875488, ' down': -2.2747557, ' up': -3.1577532, ' "': -7.7488637}
{' Down': -0.111784846, ' down': -2.3813865, ' Up': -4.5345025, ' up': -6.5607934, 'Down': -7.1871557}
{' Down': -0.4165487, ' Up': -1.5721788, ' down': -2.3269987, ' up': -3.384074, 'Down': -7.3729024}
{' Down': -0.29220873, ' down': -1.5066862, ' Up': -3.6368437, ' up': -5.5679536, 'Down': -7.2261605}
{' Down': -0.1422822, ' down': -2.10478, ' Up': -5.051521, 'Down': -5.869865, 'down': -7.4098907}
{' Up': -0.15051027, ' Down': -2.3330035, ' up': -3.3523476, ' down': -5.153327, 'Up': -7.0786014}
{' Down': -0.09103341, ' down': -2.5839093, ' Up': -4.994161, 'Down': -5.797292, ' up': -7.243959}
{' Up': -0.17856067, ' Down': -2.54839, ' up': -2.6976511, ' down': -4.245325, ' UP': -6.7337704}
{' Down': -0.097077735, ' down': -2.4455807, 'Down': -5.7117314, ' Up': -6.4385653, 'down': -7.4885077}
{' Up': -0.058121726, ' Down': -3.346154, ' up': -4.0241575, ' down': -6.492057, 'Up': -6.8453736}
{' Down': -0.058834236, ' down': -2.9989147, 'Down': -5.7025723, ' Up': -5.84087, 'down': -7.500635}
{' Up': -0.12914912, ' Down': -2.8190103, ' up': -3.0372605, ' down': -4.6023145, 'Up': -6.5478935}
{' Down': -0.43940973, ' down': -1.5020242, ' Up': -2.2094598, ' up': -4.025273, 'Down': -5.87838}
{' Up': -0.6221673, ' Down': -1.163574, ' up': -2.5574336, ' down': -2.675302, 'Down': -6.557964}
{' Down': -0.38399112, ' down': -1.6626928, ' Up': -2.3170795, ' up': -3.6960292, 'Down': -5.7626247}
{' Up': -0.37856418, ' up': -1.8509402, ' Down': -2.3560386, ' down': -2.8628266, ' UP': -6.341405}
{' Down': -0.1455045, ' down': -2.0553498, 'Down': -5.21048, 'down': -6.8177896, ' Up': -8.021902}
{' Up': -0.073153496, ' Down': -3.2448623, ' up': -3.6749656, ' down': -5.9311643, 'Up': -6.292246}
{' Down': -0.17811798, ' Up': -2.5800326, ' down': -2.6272185, 'Down': -5.0554166, ' up': -5.1024685}
{' Down': -0.22349472, ' down': -1.9298126, ' Up': -3.1573482, 'Down': -5.1460943, ' up': -5.6012387}
{' Down': -0.33843118, ' Up': -1.484227, ' down': -3.01599, ' up': -4.7172837, 'Down': -6.84712}
{' Down': -0.15142298, ' Up': -2.1836038, ' down': -3.7843115, ' up': -5.8255258, 'Down': -6.6230016}
{' Down': -0.5373555, ' Up': -0.9617177, ' down': -3.9909573, ' up': -4.377884, 'Down': -6.883253}
{' Down': -0.0937819, ' down': -2.7864528, ' Up': -3.7159858, 'Down': -6.547315, ' up': -6.828826}
{' Down': -0.22162098, ' down': -1.8653129, 'Down': -3.5064929, ' Up': -5.1919384, 'down': -5.251913}
{' Down': -0.24553269, ' down': -2.3859859, ' Up': -2.575321, 'Down': -3.4820168, ' up': -4.662124}
{' Down': -0.22544527, ' down': -1.9000154, 'Down': -3.3139005, 'down': -4.8943124, ' Up': -5.2281404}
{' Up': -0.9256575, ' Down': -1.0226557, ' down': -2.0692942, ' up': -2.6200812, 'Down': -3.8959177}
{' Down': -0.23313811, ' down': -1.5740995, 'Down': -7.775082, 'down': -8.323881, '\n': -10.218866}
{' Up': -0.21791928, ' up': -1.634366, ' UP': -7.7766957, 'Up': -8.660043, 'up': -9.76166}
{' Down': -0.42681655, ' down': -1.0601192, 'Down': -7.689779, 'down': -7.8308764, '\n': -9.80177}
{' Up': -0.15780862, ' up': -1.930247, ' UP': -7.624804, 'Up': -8.452858, 'up': -9.590025}
{' Down': -0.12396854, ' down': -2.166117, 'Down': -6.5881863, 'down': -7.640827, ' DOWN': -9.971617}
{' Up': -0.106591254, ' up': -2.301692, 'Up': -7.5849442, ' UP': -8.006283, 'up': -9.080479}
{' Down': -0.19036542, ' down': -1.7664915, 'Down': -6.509665, 'down': -7.1483216, ' ': -9.812993}
{' Up': -0.05260647, ' up': -2.992235, 'Up': -7.437204, ' UP': -8.152968, 'up': -9.078271}
{' Down': -0.10973833, ' down': -2.2834082, 'Down': -6.5390267, 'down': -7.7378907, ' ': -10.076212}
{' Up': -0.09327559, ' up': -2.4292397, 'Up': -7.6107974, ' UP': -8.100143, 'up': -9.325155}
{' Down': -0.23176648, ' down': -1.5919883, 'Down': -6.1143246, 'down': -6.9486623, ' ': -9.342628}
{' Up': -0.04068613, ' up': -3.2512784, 'Up': -7.2589827, ' UP': -8.365993, 'up': -9.212642}
{' Down': -0.5044472, ' down': -0.93368256, 'Down': -6.4318132, 'down': -6.7680483, '\n': -9.06556}
{' Up': -0.45411178, ' up': -1.0125147, 'Up': -7.4099393, ' UP': -7.444163, 'up': -8.239753}
{' Down': -0.44590446, ' down': -1.0337741, 'Down': -6.097415, 'down': -6.466139, '\n': -9.248995}
{' Up': -0.24752098, ' up': -1.5283723, 'Up': -6.966629, ' UP': -7.2706604, 'up': -7.9183865}
{' Down': -0.19431435, ' down': -1.7601522, 'Down': -5.720046, 'down': -6.871522, ' DOWN': -9.282369}
{' Up': -0.18429562, ' up': -1.7959173, 'Up': -6.836822, ' UP': -7.3169513, 'up': -8.225598}
{' Down': -0.23406582, ' down': -1.59716, 'Down': -5.3877864, 'down': -6.583273, ' ': -9.159103}
{' Up': -0.06598766, ' up': -2.7870188, 'Up': -6.5605454, ' UP': -7.9352727, 'up': -8.214387}
{' Down': -0.04845275, ' down': -3.0818484, 'Down': -6.9221883, 'down': -8.029562, ' DOWN': -10.120018}
{' Up': -0.034569032, ' up': -3.4086647, ' UP': -7.7479267, 'Up': -7.9695435, 'up': -9.864326}
{' Down': -0.09562677, ' down': -2.4181707, 'Down': -6.718972, 'down': -7.2314854, ' ': -9.528469}
{' Up': -0.020261105, ' up': -3.9672039, 'Up': -7.6739144, ' UP': -7.7051744, 'up': -9.440634}
{' Down': -0.40547967, ' down': -1.2226108, 'Down': -3.72279, 'down': -4.275984, ' ': -7.635271}
{' Up': -0.4515564, ' up': -1.0519116, 'Up': -4.786933, 'up': -5.6485662, ' UP': -6.826272}
{' Down': -0.6230797, ' down': -0.8639701, 'Down': -3.777445, 'down': -3.979668, ' ': -7.8127055}
{' Up': -0.25847065, ' up': -1.5568715, 'Up': -4.5008316, 'up': -5.5536156, ' UP': -6.568527}
{' Down': -0.380004, ' down': -1.1559592, 'Down': -7.1634245, 'down': -7.649464, '\n': -10.023071}
{' Up': -0.10072716, ' up': -2.3590565, ' UP': -7.1502686, 'Up': -8.01941, '\n': -9.581095}
{' Down': -0.24842177, ' down': -1.522769, 'Down': -6.861802, 'down': -7.5252004, ' DOWN': -9.093855}
{' Up': -0.275906, ' up': -1.4290547, ' UP': -6.9771037, 'Up': -7.974886, 'up': -8.867233}
{' Down': -0.1997394, ' down': -1.7240428, 'Down': -6.30829, 'down': -7.1950583, ' ': -9.786504}
{' Up': -0.030804334, ' up': -3.5334842, 'Up': -7.3425694, ' UP': -7.9638143, 'up': -9.301585}
{' Down': -0.12772809, ' down': -2.148604, 'Down': -6.0747685, 'down': -7.23783, ' DOWN': -8.814877}
{' Up': -0.11954676, ' up': -2.2001798, 'Up': -6.9886913, ' UP': -7.4226146, 'up': -8.216227}
{' Down': -0.103158884, ' down': -2.359594, 'Down': -5.8931003, 'down': -7.3610816, ' ': -9.589167}
{' Up': -0.015300587, ' up': -4.2957892, 'Up': -7.200577, ' UP': -7.278862, 'up': -9.749934}
{' Down': -0.09033491, ' down': -2.4930792, 'Down': -5.922925, 'down': -7.1540112, ' DOWN': -8.736042}
{' Up': -0.047382824, ' up': -3.1250746, 'Up': -6.780958, ' UP': -7.000935, 'up': -8.593729}
{' Down': -0.45880163, ' down': -1.0107673, 'Down': -5.9642277, 'down': -6.822683, ' ': -8.936701}
{' Up': -0.19802912, ' up': -1.7316632, 'Up': -6.785614, ' UP': -6.9969735, 'up': -8.025827}
{' Down': -0.4630571, ' down': -1.0088888, 'Down': -5.716713, 'down': -6.1789174, ' DOWN': -8.468709}
{' Up': -0.45481333, ' up': -1.0159534, 'Up': -6.7093887, ' UP': -6.858408, 'up': -7.27188}
{' Down': -0.25652108, ' down': -1.5191706, 'Down': -5.220899, 'down': -6.4182544, ' DOWN': -8.823571}
{' Up': -0.06899738, ' up': -2.7672606, ' UP': -6.345177, 'Up': -6.427176, 'up': -8.33541}
{' Down': -0.17583416, ' down': -1.8729318, 'Down': -5.2218165, 'down': -6.480762, ' DOWN': -7.791664}
{' Up': -0.2532261, ' up': -1.5217217, 'Up': -6.1063733, ' UP': -6.3117967, 'up': -6.968232}
{' Down': -0.07376269, ' down': -2.6753058, 'Down': -6.447858, 'down': -7.7339897, ' ': -9.505343}
{' Up': -0.019577244, ' up': -4.0087357, ' UP': -7.361073, 'Up': -7.6917744, ' ': -9.833096}
{' Down': -0.050541468, ' down': -3.0693784, 'Down': -6.2118816, 'down': -7.610502, ' DOWN': -8.620655}
{' Up': -0.05659737, ' up': -2.9406514, ' UP': -6.8056545, 'Up': -7.180424, 'up': -8.5998535}
{' down': -0.62390745, ' Down': -0.92623764, 'Down': -3.363646, 'down': -3.4307003, ' ': -7.238048}
{' Up': -0.2734031, ' up': -1.5199202, 'Up': -4.349855, 'up': -5.526205, ' UP': -6.013103}
{' Down': -0.6863238, ' down': -0.8445346, 'Down': -3.3494, 'down': -3.4902213, ' DOWN': -7.5834827}
{' Up': -0.5705326, ' up': -0.88905406, 'Up': -4.278018, 'up': -4.9983735, ' UP': -6.190426}
{' Down': -0.33965808, ' down': -1.8403407, ' Up': -2.2933493, ' up': -3.6424894, 'Down': -7.0365114}
{' Up': -0.29196277, ' up': -2.0557663, ' Down': -2.3842077, ' down': -3.4741335, ' UP': -7.1892667}
{' Up': -0.363135, ' up': -1.9734826, ' Down': -2.1725185, ' down': -3.0206933, ' UP': -6.873492}
{' Down': -0.18701562, ' down': -1.8236122, ' Up': -5.167265, ' up': -6.3850894, 'Down': -7.0685534}
{' Down': -0.061306488, ' down': -2.8883138, 'Down': -6.1143565, ' Up': -6.9627533, 'down': -8.00252}
{' Up': -0.055734593, ' up': -2.9966238, ' Down': -6.1165285, 'Up': -7.173776, ' UP': -7.183109}
{' Down': -0.37388486, ' Up': -1.7338874, ' down': -2.15412, ' up': -4.185263, 'Down': -6.197809}
{' Up': -0.6028534, ' Down': -0.9156738, ' up': -3.686506, ' down': -3.7051938, 'Down': -6.866283}
{' Down': -0.32361922, ' Up': -1.5377516, ' down': -3.0227594, ' up': -4.6215925, 'Down': -6.2908416}
{' Up': -0.7503337, ' Down': -0.7868671, ' down': -2.9671037, ' up': -4.0193653, 'Down': -6.7845664}
{' Up': -0.23953024, ' Down': -1.9549556, ' up': -3.139936, ' down': -3.7024608, ' UP': -6.9347587}
{' Down': -0.0665048, ' down': -2.8376648, 'Down': -5.9216714, ' Up': -6.1627774, 'down': -7.711653}
{' Down': -0.3884491, ' Up': -1.7450985, ' down': -2.182917, ' up': -3.5438292, 'Down': -5.808571}
{' Up': -0.20543082, ' up': -2.1077116, ' Down': -3.124153, ' down': -4.1311297, ' UP': -6.57051}
{' Up': -0.1967291, ' up': -1.802993, ' Down': -5.101133, ' down': -5.857762, ' UP': -6.015313}
{' Down': -0.29050452, ' down': -1.5408133, ' Up': -3.6557462, ' up': -4.9980145, 'Down': -5.731201}
{' Down': -0.2990119, ' Up': -1.9675852, ' down': -2.3151746, ' up': -4.3637533, 'Down': -5.448754}
{' Down': -0.27772793, ' down': -1.9375694, ' Up': -2.4481075, ' up': -5.1427774, 'Down': -5.725583}
{' Up': -0.116309516, ' up': -2.3432288, ' Down': -5.1118727, ' UP': -5.8865104, ' down': -6.1475043}
{' Down': -0.15460202, ' down': -2.0060213, 'Down': -5.1084957, 'down': -6.6078434, ' DOWN': -7.3058333}
{' Down': -0.026114032, ' down': -4.01426, ' Up': -5.1621804, 'Down': -6.5816593, 'down': -8.455914}
{' Up': -0.038015313, ' up': -3.8493402, ' Down': -4.298338, ' UP': -7.0513053, ' down': -7.174451}
{' Up': -0.06710673, ' up': -3.2712004, ' Down': -3.7881434, ' down': -6.1948094, ' UP': -6.6861076}
{' Down': -0.041963812, ' down': -3.7775307, ' Up': -4.1652374, 'Down': -6.500515, ' up': -7.645551}
{' Up': -0.2301167, ' up': -2.1430423, ' Down': -3.0664377, 'Up': -3.9786592, ' down': -4.4516435}
{' Down': -0.3420872, ' down': -1.4484982, 'Down': -3.3475995, 'down': -4.538981, ' Up': -5.3805623}
{' Up': -0.3648727, ' up': -1.3005397, 'Up': -3.8281124, 'up': -4.956038, ' UP': -5.891484}
{' Down': -0.33406404, ' down': -1.505794, 'Down': -3.111614, 'down': -4.139016, ' ': -7.481268}
{' Up': -0.1443881, ' up': -2.0133607, ' UP': -7.742803, 'Up': -8.251283, 'up': -9.692011}
{' Down': -0.15996057, ' down': -1.9202622, 'Down': -7.2395954, 'down': -7.8912454, '\n': -9.690383}
{' Up': -0.10207704, ' up': -2.3408275, 'Up': -8.11937, ' UP': -8.317676, 'up': -9.088981}
{' Down': -0.25196314, ' down': -1.5088278, 'Down': -7.263663, 'down': -7.389265, '\n': -9.476284}
{' Up': -0.051920407, ' up': -3.0143435, 'Up': -7.089815, ' UP': -7.7289777, 'up': -9.139201}
{' Down': -0.057740685, ' down': -2.940324, 'Down': -6.003154, 'down': -7.361976, ' DOWN': -9.854471}
{' Up': -0.012235474, ' up': -4.533043, 'Up': -6.9311366, ' UP': -8.225003, 'up': -9.020415}
{' Down': -0.12594882, ' down': -2.1756122, 'Down': -5.755275, 'down': -6.557523, ' ': -9.416617}
{' Up': -0.05480164, ' up': -2.991819, 'Up': -6.677322, ' UP': -7.1696424, ' Down': -7.5151}
{' Down': -0.07211628, ' down': -2.7417061, 'Down': -5.5441294, 'down': -7.002558, ' DOWN': -9.052595}
{' Up': -0.016665002, ' up': -4.24753, 'Up': -6.489693, ' UP': -7.854691, 'up': -8.624794}
{' Down': -0.13966143, ' down': -2.093206, 'Down': -5.3458705, 'down': -6.249187, ' ': -8.911981}
{' Up': -0.15989573, ' up': -1.9335852, 'Up': -6.6027536, ' UP': -7.1965146, ' Down': -8.056918}
{' Down': -0.23828886, ' down': -1.5809821, 'Down': -5.477474, 'down': -6.445438, '\n': -9.00851}
{' Up': -0.10989313, ' up': -2.2935536, 'Up': -6.304429, ' UP': -7.5975027, 'up': -7.678412}
{' Down': -0.21260071, ' down': -1.6932774, 'Down': -5.247246, 'down': -6.254024, ' ': -8.985249}
{' Up': -0.07772256, ' up': -2.7310505, ' Down': -5.5873218, 'Up': -6.136218, ' UP': -6.6871963}
{' Down': -0.12274592, ' down': -2.2317545, 'Down': -5.140507, 'down': -6.359262, ' DOWN': -8.282927}
{' Up': -0.022846194, ' up': -3.9815214, 'Up': -5.8783774, ' UP': -7.692676, 'up': -7.853863}
{' Down': -0.13728891, ' down': -2.1254709, 'Down': -5.0682693, 'down': -6.1674285, ' ': -8.637292}
