{' Yes': -0.0022212046, 'Yes': -6.1538434, ' yes': -10.02856, '\n': -10.890599, ' YES': -11.135205}
{' Yes': -0.0015680111, 'Yes': -6.6008205, ' Strong': -9.118851, '\n': -9.770185, ' yes': -10.718302}
{' Yes': -0.0019386887, 'Yes': -6.3272862, ' yes': -9.89164, ' No': -9.982035, ' YES': -10.882214}
{' Yes': -0.0016212026, 'Yes': -6.4748454, ' yes': -9.983896, ' YES': -11.332829, '\n': -11.655765}
{' Yes': -0.0037317956, ' Bl': -6.3349614, 'Yes': -6.3461504, ' yes': -9.392743, ' No': -9.891181}
{' Yes': -0.007370067, ' Bl': -5.416683, 'Yes': -5.929582, ' yes': -9.029589, ' No': -10.2782}
{' Yes': -0.0017782893, 'Yes': -6.374993, ' yes': -10.093774, '\n': -11.304904, ' YES': -11.38714}
{' Yes': -0.0022011315, 'Yes': -6.189798, ' yes': -9.826199, '\n': -10.130189, ' YES': -10.7603445}
{' Yes': -0.0015208486, 'Yes': -6.576851, ' yes': -9.861774, ' YES': -10.332844, ' No': -11.135894}
{' Yes': -0.004541657, 'Yes': -5.5378137, ' No': -8.457186, ' Prince': -8.962402, ' yes': -9.324303}
{' Yes': -0.0015837118, 'Yes': -6.5313835, '\n': -9.506319, ' yes': -10.493612, ' YES': -11.178534}
{' Yes': -0.0022685763, 'Yes': -6.215031, '\n': -8.910322, ' yes': -10.095703, ' YES': -10.350323}
{' Yes': -0.0017061626, 'Yes': -6.433865, ' yes': -10.356752, ' YES': -10.777364, ' Sure': -10.863204}
{' Yes': -0.0013044775, 'Yes': -6.713575, '\n': -9.942885, ' yes': -10.6542635, ' YES': -11.751134}
{' Yes': -0.004574768, 'Yes': -5.6694036, ' Weight': -7.0928254, ' No': -9.069322, '\n': -9.531378}
{' Yes': -0.002401629, ' No': -6.656786, 'Yes': -6.9536686, ' Weight': -9.611425, ' We': -11.037006}
{' Yes': -0.023915157, ' St': -4.328524, 'Yes': -4.8404965, ' Stars': -6.6767263, ' No': -7.829707}
{' Yes': -0.0036252497, 'Yes': -5.742078, ' No': -9.117675, ' Stars': -9.287143, ' yes': -9.665214}
{' Yes': -0.0016884304, 'Yes': -6.4147625, ' yes': -10.400204, ' YES': -11.476068, '\n': -12.693775}
{' Yes': -0.0028866057, 'Yes': -5.8996754, ' yes': -9.587757, '\n': -10.292044, ' YES': -11.499708}
{' Yes': -0.00490583, 'Yes': -5.441696, ' No': -8.864632, '\n': -8.879648, ' yes': -9.199312}
{' Yes': -0.004104415, 'Yes': -5.654617, ' No': -8.323358, ' yes': -9.315166, '\n': -9.5586195}
{' Yes': -0.027767543, ' No': -3.7181075, 'Yes': -6.0118866, ' Tennis': -7.823765, '\n': -9.485523}
{' Yes': -0.008403846, 'Yes': -5.461935, ' No': -6.240484, ' Tennis': -6.4152813, ' Tenn': -8.534193}
{' Yes': -0.0026116688, 'Yes': -6.0501943, ' Bucket': -9.20092, ' yes': -9.908188, ' No': -10.127987}
{' Yes': -0.004610277, 'Yes': -5.575754, ' Bucket': -7.4205146, ' yes': -9.437004, '\n': -10.454411}
{' Yes': -0.006638862, 'Yes': -5.1219797, ' States': -8.010015, ' yes': -9.318308, '\n': -9.700096}
{' Yes': -0.0035660865, 'Yes': -5.81428, ' No': -7.9327707, '\n': -9.377286, ' yes': -9.706136}
{' Yes': -0.0019746372, 'Yes': -6.2711663, ' No': -10.447693, ' YES': -11.13968, ' yes': -11.163483}
{' Yes': -0.002421765, 'Yes': -6.0458894, ' Sure': -11.128593, ' No': -11.445081, ' yes': -11.857809}
{' In': -0.15189369, ' Yes': -2.5105782, ' No': -3.0875857, ' inh': -4.9080696, ' inhal': -5.749613}
{' Yes': -0.39051408, ' In': -1.1709287, ' No': -5.27996, 'Yes': -5.8175445, ' inh': -5.944343}
{' Yes': -0.0028589286, 'Yes': -5.9764113, ' yes': -9.194107, ' YES': -9.551473, ' Loving': -9.851975}
{' Yes': -0.0015020455, 'Yes': -6.528975, ' yes': -11.331452, ' YES': -11.543042, ' Sure': -12.011212}
{' Yes': -0.0026377821, 'Yes': -6.0762405, ' No': -9.010832, ' Turtle': -9.403682, ' yes': -10.000328}
{' Yes': -0.0022977928, 'Yes': -6.317296, ' No': -7.7952914, ' yes': -10.496858, ' YES': -11.211211}
{' Yes': -0.002570492, 'Yes': -5.981732, ' yes': -11.131011, ' YES': -11.768391, '\n': -11.800237}
{' Yes': -0.005634276, 'Yes': -5.8059344, ' Butter': -6.0411353, ' yes': -9.8253565, ' But': -10.050693}
{' Yes': -0.004719684, 'Yes': -6.0616856, ' No': -6.5352345, ' B': -7.3542695, ' Bor': -9.288719}
{' Yes': -0.044338692, ' No': -3.1913626, 'Yes': -6.4041595, 'No': -8.873552, ' yes': -8.976618}
{' Yes': -0.0050306064, 'Yes': -5.3788424, ' No': -9.258691, ' yes': -9.333314, '\n': -9.397481}
{' Yes': -0.02073151, ' No': -4.23922, 'Yes': -5.276566, '\n': -8.031279, ' yes': -8.583014}
{' Yes': -0.0034023796, 'Yes': -5.7332244, '\n': -9.641766, ' She': -10.182778, ' yes': -10.642527}
{' Yes': -0.0037734387, 'Yes': -5.649773, ' She': -9.420349, '\n': -9.440209, ' yes': -10.253576}
{' Yes': -0.0024705213, 'Yes': -6.0510373, '\n': -10.048344, ' yes': -10.434637, ' YES': -10.950197}
{' Yes': -0.0020852494, 'Yes': -6.2269726, '\n': -9.96081, ' yes': -10.4801445, ' YES': -11.110227}
{' Yes': -0.0032422235, 'Yes': -5.9632025, ' No': -7.3716574, ' yes': -11.147527, ' YES': -11.539018}
{' Yes': -0.0035004073, 'Yes': -5.7563233, ' No': -8.446707, ' yes': -10.536005, '\n': -10.664139}
{' Yes': -0.019751525, ' No': -4.038888, 'Yes': -6.3120103, 'No': -9.787282, '\n': -10.593604}
{' Yes': -0.0084574055, ' No': -5.155636, 'Yes': -6.22056, ' Minute': -7.905571, '\n': -8.641716}
{' Yes': -0.0009272348, 'Yes': -7.0286613, ' yes': -11.157425, ' YES': -11.741749, '\n': -12.011597}
{' Yes': -0.0009973361, 'Yes': -6.9687815, ' yes': -11.177112, ' Sure': -11.591117, ' No': -11.795059}
{' Yes': -0.01524158, ' Wa': -4.6988444, ' No': -5.8686404, 'Yes': -6.0651164, ' Wait': -8.01955}
{' Yes': -0.002560992, 'Yes': -6.1227107, ' Wa': -8.942132, ' yes': -9.501733, ' Water': -10.006031}
{' Yes': -0.05100402, ' Fr': -3.7385936, ' Flight': -3.9252505, 'Yes': -5.700675, ' No': -7.2438626}
{' Yes': -0.014717194, ' No': -4.5943394, 'Yes': -5.988607, ' Fr': -7.000761, '\n': -7.4172873}
{' Yes': -0.003640086, ' No': -6.285139, 'Yes': -6.924679, ' Length': -7.1925035, ' yes': -11.128218}
{' Yes': -0.006922769, ' Length': -5.457692, 'Yes': -6.5456777, ' No': -6.8277135, ' YES': -10.828354}
{' Yes': -0.0011171491, 'Yes': -6.8779135, ' yes': -10.184803, '\n': -10.400239, ' YES': -11.651037}
{' Yes': -0.00070639845, 'Yes': -7.3341813, ' yes': -10.422752, ' YES': -11.589628, ' Sure': -12.071006}
{' Yes': -0.0018637412, 'Yes': -6.356127, ' yes': -9.925419, ' France': -10.070873, ' YES': -11.307163}
{' Yes': -0.002731615, 'Yes': -5.972294, '\n': -9.133465, ' yes': -10.45752, ' No': -10.99412}
{' Yes': -0.0033099188, 'Yes': -5.905625, ' Muscle': -8.155091, ' Mus': -9.2115965, ' No': -9.5851755}
{' Yes': -0.003310756, 'Yes': -5.8602896, ' No': -8.561364, '\n': -9.082803, ' yes': -9.963281}
{' Yes': -0.038054198, ' Empire': -3.4931, ' Em': -5.7606316, 'Yes': -5.8162904, ' Emperor': -7.831425}
{' Yes': -0.07199547, ' Empire': -2.722609, 'Yes': -5.937869, ' Em': -7.207516, ' Emperor': -8.787579}
{' Yes': -0.02591344, ' Kid': -4.396303, ' No': -4.764475, 'Yes': -5.5682564, ' yes': -8.387117}
{' No': -0.57082653, ' Yes': -0.8440942, 'No': -6.042603, 'Yes': -6.173272, ' Nope': -8.134598}
{' Yes': -0.003461411, 'Yes': -6.050975, ' Hunger': -6.9506526, '\n': -10.015215, ' yes': -10.334882}
{' Yes': -0.002377611, 'Yes': -6.313584, ' Hunger': -7.752925, ' yes': -10.026197, ' YES': -10.644698}
{' Yes': -0.0012024237, 'Yes': -6.8001146, ' No': -10.299633, ' yes': -10.672963, ' YES': -11.310352}
{' Yes': -0.0030892706, 'Yes': -5.963849, ' No': -7.9366903, ' yes': -9.331771, ' YES': -10.437873}
{' Yes': -0.008669316, 'Yes': -5.357165, ' Dagger': -6.008632, ' No': -7.202152, ' yes': -8.255684}
{' Yes': -0.002815531, 'Yes': -5.9932804, ' No': -8.185732, ' yes': -11.064217, ' YES': -12.211053}
{' Yes': -0.0012754104, 'Yes': -6.7806363, ' No': -9.448827, ' yes': -10.341722, ' YES': -10.98549}
{' Yes': -0.004165043, 'Yes': -5.8761735, ' Direct': -7.0258512, ' yes': -9.329793, '\n': -9.475625}
{' Yes': -0.0070034973, 'Yes': -5.467979, ' No': -5.9770613, ' yes': -9.597647, '\n': -10.212663}
{' Yes': -0.004303975, 'Yes': -5.56997, ' No': -8.056966, ' yes': -9.729653, '\n': -10.09525}
{' Yes': -0.0042681196, 'Yes': -5.6663084, ' No': -7.641595, ' Off': -9.156575, ' yes': -9.61675}
{' Yes': -0.0047048335, 'Yes': -5.666938, ' No': -6.9723444, '\n': -9.387435, ' yes': -9.639493}
{' No': -0.04047825, ' Yes': -3.3880334, 'No': -5.3083673, ' Nope': -7.30315, 'Yes': -9.1553}
{' Yes': -0.0034906587, 'Yes': -5.839506, ' No': -7.659963, '\n': -10.034054, ' yes': -10.582169}
{' Yes': -0.0013399285, 'Yes': -6.725421, '\n': -9.921247, ' No': -10.3358345, ' yes': -10.367028}
{' Yes': -0.034170154, ' No': -3.45343, 'Yes': -6.4783053, '\n': -8.866473, 'No': -9.294928}
{' Yes': -0.019074755, 'Yes': -4.5255804, ' T': -5.5061245, ' Tess': -6.8121314, ' No': -7.121931}
{' Yes': -0.34648207, ' No': -1.245076, 'Yes': -5.840815, 'No': -6.592175, '\n': -7.778353}
{' Yes': -0.0034480118, 'Yes': -5.8465757, ' Sure': -8.21675, ' No': -8.974412, ' yes': -9.441691}
{' Yes': -0.005278586, 'Yes': -5.7540193, ' No': -6.3121285, ' yes': -9.215495, '\n': -9.758376}
{' Yes': -0.0073671835, 'Yes': -5.4015474, ' Fl': -6.1557336, ' No': -7.6664224, ' yes': -9.277177}
{' Yes': -0.010436647, 'Yes': -4.945604, ' No': -6.3081565, ' Fl': -6.74796, ' yes': -9.35477}
{' Yes': -0.007293632, 'Yes': -5.598865, ' No': -5.988298, ' Sne': -7.478063, ' Sn': -8.457817}
{' Yes': -0.07140494, ' No': -2.7393909, 'Yes': -5.6532016, 'No': -8.619582, ' Sne': -8.665475}
{' Yes': -0.0022161263, 'Yes': -6.353454, ' Better': -7.9305315, ' YES': -10.206348, ' yes': -10.741104}
{' Yes': -0.008980081, 'Yes': -5.431727, ' Better': -5.484844, ' yes': -9.378428, ' YES': -9.418253}
{' Yes': -0.0021462955, 'Yes': -6.205584, ' yes': -10.177769, ' Sure': -10.698048, ' YES': -10.775713}
{' Yes': -0.0023764167, 'Yes': -6.1907024, ' No': -9.382999, ' Purple': -9.614058, ' yes': -9.918085}
{' Yes': -0.0029855422, 'Yes': -5.9804, ' Animal': -8.061281, ' yes': -9.501616, ' YES': -10.430283}
{' Yes': -0.002539359, 'Yes': -6.071749, ' yes': -9.575075, ' Animal': -9.734396, ' No': -9.855428}
{' Hel': -0.12720755, ' Yes': -2.1732452, 'Helper': -5.856877, ' Help': -7.004724, 'Yes': -7.5542502}
{' Yes': -0.00945959, ' Hel': -4.9838324, 'Yes': -6.0953283, ' yes': -9.331581, ' Help': -9.421727}
{' Yes': -0.13634801, ' No': -2.076587, 'Yes': -6.4775743, 'No': -7.605279, ' yes': -10.606526}
{' Yes': -0.0016341578, 'Yes': -6.479873, '\n': -10.261495, ' yes': -10.282632, ' YES': -11.4028}
{' Yes': -0.0020013934, 'Yes': -6.2904706, ' Branch': -9.883314, ' yes': -10.084854, '\n': -10.522459}
{' Yes': -0.0036099344, 'Yes': -5.692309, ' yes': -9.5587015, ' No': -9.800881, ' Branch': -9.803222}
{' Yes': -0.003099974, 'Yes': -5.819811, ' yes': -10.139259, ' Sure': -10.451828, ' Yep': -10.969843}
{' Yes': -0.003746873, 'Yes': -5.6910353, ' Pretty': -8.366953, ' yes': -10.451893, ' Yep': -10.470863}
{' Yes': -0.09423626, ' No': -2.559242, ' Ignore': -4.8401546, 'Yes': -5.801515, 'No': -7.4093738}
{' Yes': -0.07574201, ' Ignore': -2.822345, ' No': -4.687299, ' Ign': -6.0886335, 'Yes': -6.542863}
{' Yes': -0.057495203, ' Divide': -2.9532754, 'Yes': -6.149765, ' No': -6.7654986, ' Div': -8.639948}
{' Yes': -0.24595916, ' Divide': -1.5522068, ' No': -5.7802486, 'Yes': -6.248414, ' Div': -7.184754}
{' Yes': -0.002011848, 'Yes': -6.3341155, ' Hammer': -8.535302, ' YES': -11.116226, ' yes': -11.34577}
{' Yes': -0.0043989224, ' Hammer': -6.141621, 'Yes': -6.1444364, ' yes': -10.326601, ' YES': -11.076605}
{' Yes': -0.0027611991, 'Yes': -5.9275966, '\n': -10.25987, ' No': -10.561843, ' yes': -11.389023}
{' Yes': -0.004078141, 'Yes': -5.574671, ' Second': -9.149996, '\n': -9.505264, ' yes': -10.24085}
{' Yes': -0.036927942, ' No': -3.7681003, 'Yes': -5.328378, ' Amount': -5.5428004, ' Mount': -5.676189}
{' Yes': -0.0048665395, 'Yes': -5.8464785, ' No': -6.3411183, ' yes': -9.987738, ' YES': -10.54439}
{' Yes': -0.0045288405, 'Yes': -5.767697, ' No': -7.3555613, ' Ex': -7.39136, ' yes': -9.787765}
{' Yes': -0.08856561, ' No': -2.5230384, 'Yes': -6.227891, ' Ex': -6.3708315, '\n': -8.163915}
{' Yes': -0.0020133997, 'Yes': -6.2863603, ' yes': -9.819508, ' No': -10.255725, '\n': -10.374148}
{' Yes': -0.000961183, 'Yes': -7.058864, ' yes': -10.415853, '\n': -10.738932, ' YES': -10.785784}
{' Yes': -0.0032968828, 'Yes': -5.927426, ' Planet': -7.7217546, ' No': -9.454526, ' yes': -9.777788}
{' Yes': -0.0025395984, 'Yes': -6.086648, ' Planet': -8.825573, '\n': -10.1418495, ' yes': -10.432089}
{' Yes': -0.007829459, 'Yes': -5.477922, ' No': -6.1542945, ' Car': -6.945535, ' C': -8.873712}
{' Yes': -0.0034547702, 'Yes': -5.923493, ' No': -7.9136505, ' Car': -9.116442, ' yes': -9.238103}
{' Yes': -0.0010584347, 'Yes': -6.9947257, ' Ass': -9.394667, ' No': -11.094326, ' yes': -11.236735}
{' Yes': -0.0024989033, 'Yes': -6.46363, ' No': -7.5073605, ' Ass': -8.293781, '\n': -9.684664}
{' Yes': -0.0052838004, 'Yes': -5.746392, ' Circus': -6.391619, ' Circ': -9.0708685, '\n': -9.453254}
{' Yes': -0.00493674, 'Yes': -5.883227, ' No': -6.9784417, ' Circus': -7.0651402, ' Circ': -8.955433}
{' Yes': -0.0016730854, 'Yes': -6.426003, ' yes': -11.188762, '\n': -11.3491535, ' No': -11.608292}
{' Yes': -0.002314223, 'Yes': -6.1122346, ' yes': -9.878836, ' YES': -10.885925, 'yes': -12.043294}
{' Yes': -0.0021744927, 'Yes': -6.3158836, ' Finger': -8.750025, ' yes': -9.615713, ' No': -9.846559}
{' Yes': -0.0018778943, 'Yes': -6.9386396, ' No': -7.1629167, ' yes': -9.906559, ' YES': -10.764046}
{' Yes': -0.0016553525, 'Yes': -6.4566493, ' yes': -10.130836, ' YES': -10.7923565, ' Law': -11.970757}
{' Yes': -0.0023329207, 'Yes': -6.1070824, ' yes': -10.426435, ' Law': -10.99951, ' No': -11.331657}
{' Yes': -0.0015657406, 'Yes': -6.485988, '\n': -11.301407, ' yes': -11.302985, ' YES': -12.092468}
{' Yes': -0.0018258818, 'Yes': -6.3425794, ' YES': -11.04874, ' yes': -11.101944, '\n': -11.272427}
{' Yes': -0.013842433, ' No': -4.8907137, 'Yes': -5.2233915, ' Cancer': -7.786, ' yes': -8.876743}
{' Yes': -0.026402853, ' No': -3.9160514, 'Yes': -5.5185823, ' Cancer': -6.4126287, 'No': -9.122981}
{' Yes': -0.0075292005, 'Yes': -5.2678175, ' Sc': -6.3309674, ' yes': -8.677333, ' YES': -8.8092165}
{' Yes': -0.0032715863, 'Yes': -5.8776135, ' No': -8.087425, ' yes': -9.900005, '\n': -10.09816}
{' Yes': -0.01032601, 'Yes': -5.1106577, ' No': -5.5234556, ' yes': -9.197956, 'No': -9.837871}
{' Yes': -0.00973401, ' No': -5.234853, 'Yes': -5.5068707, ' yes': -9.289651, '\n': -9.580066}
{' Yes': -0.0018494673, 'Yes': -6.4097657, '\n': -9.589536, ' No': -9.604867, ' Exc': -10.768388}
{' Yes': -0.0062175593, 'Yes': -5.8375278, ' No': -6.021899, '\n': -7.5713625, ' Ex': -8.81586}
{' Yes': -0.0013361082, 'Yes': -6.970885, ' No': -7.996314, ' yes': -10.299445, ' YES': -11.594982}
{' Yes': -0.001792203, 'Yes': -6.9990683, ' No': -7.135991, ' yes': -9.877009, '\n': -11.666214}
{' No': -0.06867736, ' Yes': -2.7744, 'No': -5.645406, 'Yes': -8.522422, ' Nope': -8.633485}
{' Yes': -0.0026877464, 'Yes': -5.9930515, ' No': -9.329216, ' yes': -9.994991, '\n': -10.698423}
{' Yes': -0.017306114, ' No': -4.980387, 'Yes': -5.2869344, ' Finish': -5.4012036, '\n': -7.8966317}
{' Yes': -0.0031183874, 'Yes': -6.023277, ' No': -7.3778453, ' yes': -10.743092, '\n': -10.884242}
{' Yes': -0.0037158828, 'Yes': -5.6898804, ' Puzzle': -8.909349, ' yes': -9.623894, ' YES': -10.01354}
{' Yes': -0.0041701915, 'Yes': -5.6146855, ' Puzzle': -8.116865, ' yes': -9.635169, ' No': -9.950949}
{' Yes': -0.0014671822, 'Yes': -6.601799, ' Repeat': -9.779322, ' yes': -10.899288, ' YES': -11.045042}
{' Yes': -0.0017411498, 'Yes': -6.553262, ' Repeat': -8.37097, '\n': -10.30465, ' yes': -10.537884}
{' Yes': -0.0022123044, 'Yes': -6.2573824, ' Spider': -8.923148, ' yes': -9.536239, ' Sure': -10.364633}
{' Yes': -0.0020378882, 'Yes': -6.681637, ' No': -7.855141, ' Sure': -7.9765477, ' yes': -11.269496}
{' Yes': -0.014780645, ' Candle': -4.6789136, 'Yes': -6.02993, ' Cand': -6.1730137, ' Sure': -8.253199}
{' Yes': -0.0033656566, 'Yes': -6.3177476, ' Candle': -7.492718, ' Sure': -7.611697, ' Cand': -8.84937}
{' Yes': -0.21336782, ' Th': -2.014952, ' Thr': -3.0316794, 'Yes': -5.373575, 'Th': -6.799567}
{' Yes': -0.0029641401, 'Yes': -6.0854588, ' No': -7.492939, ' yes': -9.968565, '\n': -11.000078}
{' Yes': -0.0021291538, 'Yes': -6.4352117, ' No': -7.744834, ' yes': -9.696123, ' YES': -11.871402}
{' Yes': -0.00771683, ' No': -5.2398143, 'Yes': -6.2516794, ' Bleach': -8.83052, ' yes': -9.457364}
{' Yes': -0.0015472951, 'Yes': -6.507042, ' yes': -10.325886, ' YES': -11.860626, 'yes': -12.2789955}
{' Yes': -0.0032646495, 'Yes': -5.8017225, ' Flower': -9.469268, ' Sure': -9.728034, ' yes': -10.192261}
{' Yes': -0.0027063908, ' No': -6.456711, 'Yes': -6.852306, ' yes': -10.653699, ' Sure': -11.070569}
{' Yes': -0.008955362, ' No': -4.9009, 'Yes': -6.577648, 'No': -10.756886, ' yes': -10.92597}
{' Yes': -0.0062128208, 'Yes': -5.382609, ' No': -7.0133953, ' Indian': -7.8065114, ' yes': -9.0236435}
{' Yes': -0.22301777, ' No': -1.723937, ' Indian': -4.786584, ' Ind': -5.141198, 'Yes': -5.6523123}
{' Yes': -0.0071436637, ' No': -5.4235234, ' Orange': -6.7536926, 'Yes': -6.8739643, ' Sure': -7.806732}
{' Yes': -0.0041034576, 'Yes': -6.268511, ' Orange': -6.5527005, ' Sure': -7.3570232, ' No': -9.927837}
{' Yes': -0.0018139994, 'Yes': -6.5756435, ' No': -7.979471, ' yes': -10.703033, ' YES': -10.754211}
{' Yes': -0.0020119674, 'Yes': -6.762204, ' No': -7.13508, ' yes': -11.035375, ' YES': -11.464493}
{' Yes': -0.028775353, ' No': -3.6096945, 'Yes': -6.784024, 'No': -9.610947, ' Nope': -10.881788}
{' No': -0.057934187, ' Yes': -2.971848, 'No': -5.5852222, ' Nope': -7.1562824, ' Number': -8.092659}
{' Yes': -0.004689741, 'Yes': -5.8647814, ' Mirror': -6.8773203, ' No': -7.377877, ' yes': -9.130643}
{' Yes': -0.026984593, ' No': -3.6954472, 'Yes': -6.6510324, ' Mirror': -8.065232, 'No': -9.160224}
{' Yes': -0.00072936155, 'Yes': -7.267203, ' yes': -10.902773, ' YES': -11.51093, 'yes': -13.575205}
{' Yes': -0.0013142048, 'Yes': -6.661152, ' yes': -11.107439, ' YES': -11.978401, 'yes': -12.481041}
{' Yes': -0.004904991, 'Yes': -5.639735, ' No': -6.769208, ' Pepper': -9.612348, ' yes': -9.91598}
{' Yes': -0.0072449404, 'Yes': -5.5399714, ' No': -6.244302, ' Pepper': -7.0911446, ' Pe': -8.765995}
{' Yes': -0.0021606935, 'Yes': -6.225389, ' Sure': -9.444995, ' yes': -10.417382, ' No': -11.112693}
{' Yes': -0.0010740688, 'Yes': -6.9573092, ' Sure': -9.466334, ' No': -10.990487, ' yes': -11.3991585}
{' Yes': -0.39505708, ' No': -1.1279501, 'Yes': -6.686637, 'No': -6.716523, ' Nope': -8.898574}
{' Yes': -0.08217017, ' No': -2.6176717, 'Yes': -6.0937686, ' Nope': -6.1262817, ' Yep': -7.1740985}
{' Yes': -0.028039366, ' No': -3.939912, ' Square': -5.4745975, 'Yes': -5.9974437, ' Squ': -6.9176536}
