{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' One': -6.758039, '\n': -6.746107, ' Yes': -0.01376079, ' yes': -7.043797, 'Yes': -4.716785}
{'\n': -5.4299326, ' ': -5.8113503, ' Yes': -0.024752945, ' yes': -6.7250524, 'Yes': -4.306424}
{'\n': -7.8092275, ' ': -7.429892, ' Yes': -0.00274566, ' yes': -8.849823, 'Yes': -6.49656}
{' No': -4.877565, '\n': -4.4284873, ' ': -5.621797, ' Yes': -0.05197691, 'Yes': -3.7682223}
{'\n': -5.7181563, ' ': -6.085823, ' Yes': -0.031848166, ' yes': -4.3796396, 'Yes': -4.54478}
{' No': -0.005908306, '\n': -8.27273, ' ': -8.110305, 'No': -5.266555, ' It': -9.926843}
{' No': -0.029079176, '\n': -8.701713, ' ': -7.4435854, 'No': -3.5955575, ' Yes': -8.405654}
{' No': -0.045245115, '\n': -6.432982, ' ': -7.036443, 'No': -3.2026772, ' Yes': -7.2479043}
{' No': -0.0067966804, ' ': -8.16209, 'No': -5.1655183, ' Yes': -8.214538, ' It': -9.237184}
{' No': -0.028928846, '\n': -6.478002, ' ': -6.839435, 'No': -3.8560371, ' Yes': -5.513476}
{' No': -0.853086, '\n': -5.995462, 'No': -3.6529174, ' Yes': -0.6351294, 'Yes': -4.840305}
{' No': -0.0031482272, '\n': -8.173536, ' ': -6.549441, 'No': -6.680081, ' no': -9.430804}
{' No': -0.06942274, '\n': -5.379798, ' ': -5.8211794, 'No': -3.0038824, ' Yes': -4.706586}
{' No': -0.08864253, '\xa0': -7.856772, '\n': -3.8080008, ' ': -4.6230946, 'No': -2.9682372}
{' No': -0.0074649444, '\n': -8.770439, ' ': -6.7711535, 'No': -5.1627955, ' Yes': -8.366295}
{' No': -0.21502094, '\n': -4.1042275, ' ': -4.4802117, 'No': -1.8202475, ' no': -6.828119}
{' No': -1.3474647, ' ': -5.08949, 'No': -4.509345, ' Yes': -0.35371494, 'Yes': -4.619158}
{' No': -0.06501556, '\n': -7.2836657, ' ': -6.4799433, 'No': -2.8782995, ' no': -5.6600943}
{' No': -0.045667525, ' ': -7.6543803, 'No': -3.1300638, ' Yes': -9.644683, ' no': -8.815791}
{' No': -0.09182457, ' ': -7.221334, 'No': -2.4596417, ' Yes': -7.384881, ' no': -8.110197}
{' No': -0.02528867, '\xa0': -10.250966, ' ': -7.700303, 'No': -3.7192616, ' no': -9.285054}
{' No': -0.23846571, '\n': -7.5067544, ' ': -6.960277, 'No': -1.5670694, ' Yes': -6.8041773}
{' No': -0.07712909, ' ': -8.289751, 'No': -2.6091688, ' Yes': -9.043693, ' no': -9.215692}
{' No': -0.021821985, '\n': -6.562173, ' ': -5.3020325, 'No': -5.5790496, ' no': -4.533083}
{' No': -0.047100388, '\n': -5.917473, ' ': -5.469532, 'No': -3.3074722, ' Yes': -6.3565054}
{' No': -0.11933258, '\n': -4.104411, ' ': -4.875656, 'No': -2.4593916, ' no': -6.2646017}
{' No': -0.035493437, '\n': -6.9507475, ' ': -6.0787535, 'No': -3.4705596, ' no': -8.209844}
{' No': -0.22120571, '\n': -3.2150908, ' ': -4.6713467, 'No': -1.9901456, ' no': -4.7984285}
{' No': -0.1779061, '\n': -3.896328, 'No': -3.2805011, ' Yes': -2.606104, ' no': -4.1256413}
{' No': -0.0074135996, '\n': -6.6490455, ' ': -6.3545375, 'No': -5.5019336, ' no': -8.949849}
{' No': -0.03869481, '\n': -5.6880875, ' ': -5.891638, 'No': -3.4595244, ' no': -8.945523}
{' No': -0.060787145, '\n': -4.3543277, ' ': -4.7441115, 'No': -3.3193147, ' no': -7.842956}
{' No': -0.009492806, '\n': -6.598581, ' ': -6.1745887, 'No': -5.140978, ' no': -10.068735}
{' No': -0.081481, '\n': -3.677886, ' ': -4.8312445, 'No': -3.1536057, ' no': -7.2899632}
{' No': -0.09342956, '\n': -3.5736504, ' ': -4.5663853, 'No': -3.3852134, ' Yes': -4.348811}
{' No': -0.013913086, '\n': -9.684665, ' ': -8.651105, 'No': -4.3117685, ' Two': -8.954207}
{' No': -0.0542695, '\n': -10.5162735, ' ': -7.923984, 'No': -2.9511774, ' Two': -10.271905}
{' No': -0.043794587, '\xa0': -10.553921, '\n': -8.031748, ' ': -7.411865, 'No': -3.1757295}
{' No': -0.008262904, ' ': -9.056173, 'No': -4.829136, ' Yes': -11.683701, ' Two': -9.490179}
{' No': -0.068954855, '\n': -7.507891, ' ': -6.8210325, 'No': -2.745312, ' Two': -7.7391376}
{' That': -8.69536, ' No': -0.05610554, ' ': -8.423868, 'No': -2.92183, ' Two': -9.141776}
{' No': -0.0028744107, '\n': -8.72694, ' ': -7.034773, 'No': -6.426534, ' Two': -9.354018}
{' No': -0.032096293, '\n': -6.6792307, ' ': -6.318252, 'No': -3.5660677, ' no': -9.175738}
{' No': -0.054511424, '\n': -4.7271876, ' ': -4.9219165, 'No': -3.317613, ' no': -8.631088}
{' No': -0.0026714308, '\n': -10.746463, ' ': -7.649617, 'No': -6.15347, ' no': -10.615715}
{' No': -0.16731605, '\n': -4.515207, ' ': -4.74213, 'No': -2.0198302, ' no': -7.4258323}
{' No': -0.03334342, '\n': -8.445291, ' ': -6.7001963, 'No': -3.50138, ' no': -7.217123}
{' No': -0.1034672, '\n': -7.923255, ' ': -6.451492, 'No': -2.4137356, ' no': -5.1751757}
{' No': -0.07790373, ' ': -7.622495, 'No': -2.6033685, 'no': -9.942888, ' no': -8.3579445}
{' No': -0.110453315, '\n': -9.019503, ' ': -7.341129, 'No': -2.2712429, ' no': -8.039518}
{' No': -0.022586083, ' ': -7.6599045, 'No': -3.838523, ' no': -8.570417, ' NO': -10.706769}
{' No': -0.32589152, '\n': -8.371649, ' ': -7.2098083, 'No': -1.2861004, ' Two': -8.170279}
{' No': -0.08558138, ' ': -8.313881, 'No': -2.508475, 'no': -9.283669, ' no': -8.726353}
{' No': -0.017587123, '\n': -7.578777, ' ': -5.5288763, 'No': -5.3261957, ' no': -4.849349}
{' No': -0.039800603, '\n': -6.4440703, ' ': -5.9080715, 'No': -3.417854, ' no': -6.374761}
{' No': -0.08589771, '\n': -4.3981056, ' ': -4.969164, 'No': -2.810341, ' no': -6.1000266}
{' No': -0.02244764, '\n': -7.2541575, ' ': -6.0418334, 'No': -4.011169, ' no': -7.0587306}
{' No': -0.22206973, '\n': -3.0264099, ' ': -4.863906, 'No': -1.9790543, ' no': -5.7546763}
{' No': -0.07998892, '\n': -5.506534, ' ': -5.5719566, 'No': -3.6663897, ' no': -3.1730251}
{' No': -0.0047858628, '\n': -7.767588, ' ': -6.714213, 'No': -5.8122845, ' no': -9.503279}
{' No': -0.028484374, '\n': -6.019628, ' ': -5.928699, 'No': -3.7850626, ' no': -9.4655285}
{' No': -0.037040945, '\n': -5.3021946, ' ': -5.254198, 'No': -3.6656592, ' no': -8.914577}
{' No': -0.0067292294, '\n': -7.5311713, ' ': -6.29153, 'No': -5.4718475, ' no': -10.133304}
{' No': -0.04034593, '\n': -5.101751, ' ': -5.70252, 'No': -3.5177493, ' no': -8.580969}
{' No': -0.03442602, '\n': -5.615204, ' ': -5.435091, 'No': -3.7765524, ' no': -6.204839}
{'\n': -10.153847, ' ': -9.423122, ' Yes': -0.0042583626, ' yes': -9.896445, 'Yes': -5.509049}
{'\n': -9.9880295, ' ': -7.929794, ' Yes': -0.01474387, ' yes': -8.239332, 'Yes': -4.279106}
{'\n': -7.752862, ' ': -7.326804, ' Yes': -0.026094275, ' yes': -7.709506, 'Yes': -3.729368}
{' ': -9.337726, ' Absolutely': -11.015727, ' Yes': -0.00191468, ' yes': -9.814004, 'Yes': -6.364358}
{'\n': -7.781342, ' ': -7.257552, ' Yes': -0.033204276, ' yes': -8.02603, 'Yes': -3.4755547}
{'\n': -8.41581, ' ': -7.829716, ' Yes': -0.014833518, ' yes': -7.743274, 'Yes': -4.3110237}
{'\n': -7.8108773, ' ': -6.6584835, ' Yes': -0.0037846272, ' yes': -8.087778, 'Yes': -6.36903}
{'\n': -6.648341, ' ': -6.6650376, ' Yes': -0.028779464, ' yes': -7.1270423, 'Yes': -3.7057889}
{'\n': -4.126547, ' ': -4.865473, ' Yes': -0.08192075, ' yes': -6.2665553, 'Yes': -2.9617307}
{'\n': -9.539723, ' ': -7.272814, ' Yes': -0.003338924, ' yes': -8.633626, 'Yes': -6.0579}
{'\n': -4.7768736, ' ': -4.9985127, ' Yes': -0.17466627, ' yes': -5.0192323, 'Yes': -2.0007885}
{'\n': -7.2705226, ' ': -6.250531, ' Yes': -0.027164211, ' yes': -5.2277083, 'Yes': -4.0138717}
{'\n': -7.2818475, ' ': -6.430754, ' Yes': -0.051812112, ' yes': -4.6515512, 'Yes': -3.2858114}
{' ': -7.713981, ' Yes': -0.032129407, ' yes': -6.8913608, 'Yes': -3.5138152, 'yes': -9.232164}
{' No': -7.4898562, ' ': -6.868684, ' Yes': -0.06070626, ' yes': -6.076497, 'Yes': -2.9143765}
{' YES': -9.466004, ' ': -7.426347, ' Yes': -0.017167248, ' yes': -7.117121, 'Yes': -4.1796045}
{' ': -6.9109488, ' Yes': -0.16019498, ' yes': -6.568038, 'Yes': -1.9332224, 'yes': -7.7440553}
{' ': -7.8967037, ' Yes': -0.03144301, ' yes': -6.4098206, 'Yes': -3.552288, 'yes': -8.7398205}
{'\n': -6.644995, ' ': -5.479284, ' Yes': -0.034937456, ' yes': -3.9797425, 'Yes': -4.689957}
{'\n': -5.7847056, ' ': -5.53494, ' Yes': -0.0502904, ' yes': -5.437036, 'Yes': -3.3037827}
{'\n': -4.172755, ' ': -4.902524, ' Yes': -0.10162074, ' yes': -4.7076006, 'Yes': -2.7722905}
{'\n': -7.411015, ' ': -6.6490083, ' Yes': -0.025061658, ' yes': -6.1289186, 'Yes': -3.8959627}
{'\n': -3.8184042, ' ': -5.077881, ' Yes': -0.1941559, ' yes': -4.005727, 'Yes': -2.0885403}
{'\n': -5.1441035, ' ': -5.5095086, ' Yes': -0.108777694, ' yes': -2.650785, 'Yes': -3.943108}
{'\n': -6.4768934, ' ': -6.764973, ' Yes': -0.008029148, ' yes': -7.4773207, 'Yes': -5.388633}
{'\n': -5.8419642, ' ': -6.1772304, ' Yes': -0.029434098, ' yes': -7.1410575, 'Yes': -3.7780702}
{'\n': -4.9028053, ' ': -5.2518253, ' Yes': -0.04601503, ' yes': -6.2328215, 'Yes': -3.5255775}
{'\n': -6.7482815, ' ': -6.0326, ' Yes': -0.008548898, ' yes': -7.9624476, 'Yes': -5.4062634}
{'\n': -4.544324, ' ': -5.390992, ' Yes': -0.07225555, ' yes': -6.157078, 'Yes': -2.968282}
{'\n': -4.876976, ' ': -5.0769186, ' Yes': -0.043756727, ' yes': -4.479376, 'Yes': -4.1166134}
{' No': -10.118313, ' ': -10.185749, ' Yes': -0.0018788489, ' yes': -9.810236, 'Yes': -6.376476}
{' No': -3.9043932, ' Yes': -0.060969394, ' 2': -6.7809305, ' Two': -3.660102, 'Yes': -4.618718}
{' No': -1.3075624, 'No': -5.028195, ' Yes': -0.47900245, ' Two': -2.439446, 'Yes': -4.9216237}
{' No': -5.842962, ' ': -10.081976, ' Yes': -0.00819764, ' Two': -5.5089684, 'Yes': -6.879991}
{' No': -1.5919644, 'No': -5.5654693, ' Yes': -0.502836, ' Two': -1.760986, 'Yes': -5.1891017}
{' No': -3.0357924, ' Yes': -0.44306287, ' Two': -1.220403, 'Yes': -5.1713877, 'Two': -5.477725}
{' No': -8.839348, ' ': -8.155693, ' Yes': -0.0016582182, ' yes': -7.8456974, 'Yes': -7.340496}
{' No': -4.9187937, '\n': -5.529502, ' Yes': -0.0440264, ' Two': -4.1325006, 'Yes': -4.541606}
{' No': -3.485219, '\n': -3.4554086, ' ': -4.2821565, ' Yes': -0.11497963, 'Yes': -3.6542747}
{' No': -6.762842, ' ': -7.2080474, ' Yes': -0.0056666466, ' Two': -6.055015, 'Yes': -6.848928}
{' No': -0.857104, '\n': -2.6643512, 'No': -2.9680707, ' Yes': -1.1937261, ' Two': -2.5367932}
{' Yes': -0.27940902, ' yes': -5.239898, ' Two': -1.548656, 'Yes': -4.9608283, ' two': -5.032429}
{' No': -2.707182, 'No': -5.668121, ' Yes': -0.10577605, ' yes': -4.6974497, 'Yes': -4.153511}
{' No': -0.6042355, 'No': -4.054463, ' Yes': -0.93024534, ' 2': -4.2679944, ' Two': -3.9853215}
{' No': -0.73200136, 'No': -3.982272, ' Yes': -0.7358638, ' Two': -5.399514, 'Yes': -4.7164545}
{' No': -0.3377006, ' ': -7.3654675, 'No': -4.676743, ' Yes': -1.2950408, 'Yes': -6.2063227}
{' No': -0.2291628, 'No': -2.025189, ' Yes': -2.957732, ' Two': -4.4966207, 'Yes': -5.4993787}
{' No': -0.20357691, 'No': -3.6005323, ' Yes': -2.2510202, ' 2': -4.62268, ' Two': -3.3144855}
{'\n': -6.391934, ' ': -6.0641837, ' Yes': -0.053963143, ' yes': -3.1443884, 'Yes': -5.8616705}
{' No': -4.8355637, '\n': -4.597571, ' Yes': -0.06962247, ' Two': -4.3283353, 'Yes': -3.9527574}
{' No': -1.7651613, '\n': -1.5807284, ' ': -3.2477977, ' Yes': -0.6834047, ' Two': -3.525063}
{' No': -3.9646447, ' ': -5.5878763, ' Yes': -0.06231635, ' Two': -3.6369967, 'Yes': -5.1709356}
{' No': -0.6679622, '\n': -1.2762691, ' ': -3.8135483, 'No': -2.571603, ' Yes': -2.5941648}
{'\n': -3.8081837, ' Yes': -0.37729672, ' yes': -2.2151759, ' Two': -2.6182482, ' two': -2.8743248}
{'\n': -7.5410542, ' ': -7.9351735, ' Yes': -0.00395049, ' yes': -7.3388176, 'Yes': -6.158386}
{'\n': -3.812342, ' ': -4.592314, ' Yes': -0.5879732, ' Two': -0.9352994, 'Yes': -4.820641}
{' No': -2.5773177, '\n': -3.4125397, ' ': -4.047208, ' Yes': -0.23833795, ' Two': -2.6911175}
{'\n': -6.5450306, ' ': -5.6349874, ' Yes': -0.04170681, ' Two': -3.429873, 'Yes': -6.2719593}
{' No': -1.2494379, '\n': -1.9813066, ' ': -3.8982518, ' Yes': -1.1766858, ' Two': -1.5702404}
{'\n': -4.2135725, ' ': -4.4380045, ' Yes': -0.48890322, ' Two': -1.1756288, ' two': -4.090523}
{' No': -0.0062457467, '\n': -8.690584, ' ': -8.23533, 'No': -5.161876, ' no': -11.488235}
{' No': -0.04235537, '\xa0': -10.213329, '\n': -8.937005, ' ': -7.233708, 'No': -3.2076404}
{' No': -0.036498383, '\xa0': -9.251595, '\n': -6.8191247, ' ': -7.109893, 'No': -3.392978}
{' No': -0.004948301, '\xa0': -10.942284, '\n': -11.276996, ' ': -8.536718, 'No': -5.363663}
{' No': -0.02612994, ' One': -8.712546, '\n': -7.0148597, ' ': -7.0871196, 'No': -3.748544}
{' No': -0.0568027, '\n': -7.4104614, ' ': -7.247247, 'No': -2.9336755, ' Yes': -8.386353}
{' No': -0.0032404289, '\n': -7.837738, ' ': -6.586429, 'No': -6.613733, ' no': -9.779896}
{' No': -0.046788417, '\n': -5.4845705, ' ': -6.056485, 'No': -3.2505255, ' no': -8.872712}
{' No': -0.07141583, '\xa0': -8.233216, '\n': -3.8836966, ' ': -4.9144125, 'No': -3.2182987}
{' No': -0.0062709404, '\n': -8.733418, ' ': -6.7854376, 'No': -5.3239684, ' no': -10.292536}
{' No': -0.14430746, '\n': -4.118683, ' ': -4.7073526, 'No': -2.2361329, ' no': -7.2318125}
{' No': -0.046820022, '\n': -6.2578955, ' ': -5.5101876, 'No': -3.301834, ' no': -6.6953773}
{' No': -0.058475927, '\n': -7.423146, ' ': -6.506742, 'No': -2.959744, ' no': -6.0709224}
{' No': -0.036986887, ' ': -7.651607, 'No': -3.3391278, 'no': -10.406304, ' no': -8.686334}
{' No': -0.08324402, '\n': -8.660458, ' ': -7.2492037, 'No': -2.5462396, ' no': -8.3609915}
{' No': -0.020484539, '\xa0': -10.120683, ' ': -7.611064, 'No': -3.937045, ' no': -9.147367}
{' No': -0.23530845, '\n': -6.954099, ' ': -6.928715, 'No': -1.5752856, ' no': -8.299543}
{' No': -0.07084093, ' ': -7.820823, 'No': -2.691496, 'no': -10.077203, ' no': -9.466177}
{' No': -0.01766362, '\n': -6.8444285, ' ': -5.3564696, 'No': -5.3390365, ' no': -5.0215926}
{' No': -0.049660478, '\n': -5.531139, ' ': -5.3188615, 'No': -3.2601764, ' no': -7.022933}
{' No': -0.10477854, '\n': -3.7341747, ' ': -5.04908, 'No': -2.7021143, ' no': -6.5706058}
{' No': -0.030969515, '\n': -6.3706336, ' ': -5.862138, 'No': -3.6836948, ' no': -7.3538175}
{' No': -0.18178111, '\n': -3.1991313, ' ': -4.790426, 'No': -2.2198308, ' no': -5.1256666}
{' No': -0.07760043, '\n': -4.451706, ' ': -5.232854, 'No': -3.6123846, ' no': -3.5430517}
{' No': -0.008289649, '\n': -6.257117, ' ': -6.1126366, 'No': -5.539305, ' no': -9.069688}
{' No': -0.036852308, '\n': -5.122767, ' ': -5.8402505, 'No': -3.609356, ' no': -9.329966}
{' No': -0.05154209, '\n': -4.1829166, ' ': -4.8401084, 'No': -3.6417613, ' no': -8.363231}
{' No': -0.010897272, '\n': -6.091946, ' ': -5.652703, 'No': -5.3117566, ' no': -9.9070215}
{' No': -0.071056634, '\n': -3.6182156, ' ': -5.0721464, 'No': -3.372082, ' no': -7.648658}
{' No': -0.048601408, '\n': -4.389015, ' ': -4.9892025, 'No': -3.669554, ' no': -6.25595}
{' No': -0.012263231, '\n': -8.425124, ' ': -7.62505, 'No': -4.5039873, ' Three': -8.508834}
{' No': -0.042929053, ' ': -6.9462724, 'No': -3.262217, ' Yes': -6.086462, ' Three': -8.866333}
{' No': -0.037616543, '\n': -7.1631494, ' ': -6.3558416, 'No': -3.4440417, ' Yes': -6.2708735}
{' No': -0.009790768, ' ': -7.8306065, 'No': -4.8672085, ' Yes': -6.7661858, ' Three': -7.7870827}
{' No': -0.05190741, '\n': -6.552233, ' ': -5.822341, 'No': -3.1074798, ' Three': -7.482021}
{' No': -0.050955784, ' ': -7.257187, 'No': -3.0638855, ' Yes': -6.6405263, ' Three': -7.96761}
{' No': -0.0042397445, '\n': -7.657991, ' ': -6.056096, 'No': -6.9548903, ' Three': -8.524166}
{' No': -0.025405623, '\n': -5.8125973, ' ': -5.6647677, 'No': -4.0055003, ' no': -9.133878}
{' No': -0.0822684, '\n': -3.5024896, ' ': -4.1409802, 'No': -3.4590843, '  ': -7.8233213}
{' No': -0.0026590584, '\n': -9.690707, ' ': -7.0395465, 'No': -6.405046, ' no': -10.38736}
{' No': -0.14809144, '\n': -4.181943, ' ': -4.5808325, 'No': -2.2054186, ' no': -7.633511}
{' No': -0.031876963, '\n': -7.2009044, ' ': -5.6811733, 'No': -3.6745844, ' no': -6.755358}
{' No': -0.08045604, ' ': -5.7795157, 'No': -2.8842926, ' Yes': -4.525909, ' no': -5.4487314}
{' No': -0.0706881, ' ': -7.0008874, 'No': -2.709667, ' Yes': -9.091811, ' no': -8.211483}
{' No': -0.22175339, ' ': -5.8236265, 'No': -2.8495133, ' Yes': -2.0476353, 'Yes': -5.203867}
{' No': -0.02426996, ' ': -7.1273456, 'No': -3.9040263, ' Yes': -5.95139, ' no': -8.782166}
{' No': -0.30373746, '\n': -7.1830087, ' ': -6.7426963, 'No': -1.3495882, 'no': -8.891125}
{' No': -0.08593466, ' ': -7.349901, 'No': -2.5111876, 'no': -8.748674, ' no': -8.495195}
{' No': -0.016311912, '\n': -6.8571243, ' ': -5.054144, 'No': -5.802353, ' no': -5.3653545}
{' No': -0.040130295, '\n': -5.348367, ' ': -5.053869, 'No': -3.6850736, ' no': -5.9745626}
{' No': -0.1062715, '\n': -3.2722774, ' ': -4.286264, 'No': -3.0767148, ' no': -6.2660804}
{' No': -0.02537047, '\n': -5.9882035, ' ': -5.534577, 'No': -4.066584, ' no': -6.7905025}
{' No': -0.21022606, '\n': -2.69425, ' ': -4.440778, 'No': -2.2570515, ' no': -5.655162}
{' No': -0.113241106, '\n': -4.140871, ' ': -4.6645308, 'No': -3.96416, ' no': -2.8635936}
{' No': -0.006184031, '\n': -6.79974, ' ': -5.961115, 'No': -6.093695, ' no': -9.449253}
{' No': -0.0280862, '\n': -4.9347343, ' ': -5.3516393, 'No': -4.1785855, ' no': -9.289358}
{' No': -0.049273368, '\n': -4.2142606, ' ': -4.5192137, 'No': -3.8478382, '  ': -8.628164}
{' No': -0.009622669, '\n': -6.5622444, ' ': -5.367866, 'No': -5.7228374, ' Three': -9.256341}
{' No': -0.049280636, '\n': -4.1351056, ' ': -5.0846562, 'No': -3.6816866, ' no': -8.414357}
{' No': -0.038267646, '\n': -4.690792, ' ': -4.6392484, 'No': -4.2311673, ' no': -6.1743317}
{'\n': -10.754444, ' ': -9.720696, ' Yes': -0.003342154, ' yes': -10.15449, 'Yes': -5.7423177}
{'\n': -10.058349, ' ': -7.6967473, ' Yes': -0.017605748, ' yes': -8.278099, 'Yes': -4.096711}
{'\n': -8.111002, ' ': -7.21765, ' Yes': -0.019630859, ' yes': -8.134036, 'Yes': -4.0207963}
{'\xa0': -12.378484, ' ': -9.258372, ' Yes': -0.0018076692, ' yes': -10.085366, 'Yes': -6.4064717}
{'\n': -7.7782183, ' ': -6.9891224, ' Yes': -0.024191065, ' yes': -8.605594, 'Yes': -3.8063107}
{'\n': -8.868442, ' ': -7.938254, ' Yes': -0.014281107, ' yes': -8.260108, 'Yes': -4.3178964}
{'\n': -7.112412, ' ': -6.2707233, ' Yes': -0.0046030316, ' yes': -7.9032254, 'Yes': -6.5319333}
{'\n': -6.7011447, ' ': -6.3942447, ' Yes': -0.020328257, ' yes': -7.3958373, 'Yes': -4.110424}
{'\n': -4.2717156, ' ': -5.0334535, ' Yes': -0.06089851, ' yes': -6.7102804, 'Yes': -3.3087354}
{'\n': -9.180341, ' ': -6.935534, ' Yes': -0.0033102774, ' yes': -8.600807, 'Yes': -6.2111654}
{'\n': -4.878583, ' ': -5.0811834, ' Yes': -0.11607949, ' yes': -5.8323965, 'Yes': -2.3919868}
{'\n': -7.3762317, ' ': -6.1689196, ' Yes': -0.019063333, ' yes': -5.758954, 'Yes': -4.3755426}
{'\n': -7.5325956, ' ': -6.5948343, ' Yes': -0.039893128, ' yes': -5.1325955, 'Yes': -3.483086}
{' ': -7.2048507, ' Yes': -0.029472774, ' yes': -6.5902195, 'Yes': -3.6274705, 'yes': -9.009318}
{'\n': -7.27011, ' ': -6.347227, ' Yes': -0.060471635, ' yes': -5.619138, 'Yes': -2.9680395}
{'\n': -9.774326, ' ': -7.2650766, ' Yes': -0.013779761, ' yes': -7.0967546, 'Yes': -4.432931}
{'\n': -7.8309617, ' ': -6.588299, ' Yes': -0.1527959, ' yes': -6.6714497, 'Yes': -1.9804115}
{' ': -7.0913854, ' Yes': -0.034827285, ' yes': -5.9111657, 'Yes': -3.497895, 'yes': -8.231033}
{'\n': -6.3510275, ' ': -5.3122907, ' Yes': -0.029028675, ' yes': -4.1563725, 'Yes': -5.185944}
{'\n': -5.297066, ' ': -5.332867, ' Yes': -0.053238746, ' yes': -5.5463285, 'Yes': -3.2903218}
{'\n': -3.8750758, ' ': -4.743631, ' Yes': -0.09573335, ' yes': -4.8294244, 'Yes': -2.9603536}
{'\n': -6.638758, ' ': -6.1218777, ' Yes': -0.02145063, ' yes': -6.087519, 'Yes': -4.18928}
{'\n': -3.5880475, ' ': -4.96234, ' Yes': -0.16814671, ' yes': -4.2547917, 'Yes': -2.2924564}
{'\n': -4.797214, ' ': -5.152147, ' Yes': -0.09303849, ' yes': -2.8651807, 'Yes': -4.173842}
{'\n': -6.5767627, ' ': -6.5786724, ' Yes': -0.0067735757, ' yes': -7.5780997, 'Yes': -5.6971188}
{'\n': -5.409048, ' ': -5.833778, ' Yes': -0.022857597, ' yes': -7.36433, 'Yes': -4.2460437}
{'\n': -4.728868, ' ': -5.195287, ' Yes': -0.03926646, ' yes': -6.7003646, 'Yes': -3.8048453}
{'\n': -7.1496544, ' ': -6.1729984, ' Yes': -0.006025593, ' yes': -8.449913, 'Yes': -5.850729}
{'\n': -4.560951, ' ': -5.6562753, ' Yes': -0.056343216, ' yes': -6.188143, 'Yes': -3.2701454}
{'\n': -5.402723, ' ': -5.3316073, ' Yes': -0.026063867, ' yes': -5.2978644, 'Yes': -4.5251575}
{' No': -6.025888, ' ': -9.302599, ' Yes': -0.004167796, ' yes': -9.763483, 'Yes': -6.5042725}
{' No': -1.5379381, ' Yes': -0.30578518, ' 3': -4.940081, 'Yes': -5.0385575, ' Three': -3.6167705}
{' No': -1.3127867, ' Yes': -0.51545954, ' 3': -4.9450917, 'Yes': -5.3838105, ' Three': -2.2154756}
