{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Yes': -0.4696402, ' No': -0.9998907, ' Skin': -5.7140856, ' Nope': -6.570913, 'Yes': -6.686736}
{' Yes': -0.58100516, ' No': -0.8291874, 'Yes': -6.691421, ' Nope': -6.8601494, 'No': -6.8737903}
{' Yes': -0.1849381, ' No': -1.8054482, 'Yes': -6.226674, ' Nope': -6.3031754, 'No': -7.668418}
{' Yes': -0.36781168, ' No': -1.1965814, ' Nope': -6.0603566, 'Yes': -6.2464905, 'No': -6.997044}
{' Yes': -0.0012183582, 'Yes': -6.920316, ' No': -8.845174, ' Sure': -10.15841, '\n': -10.882945}
{' Yes': -0.0021530474, ' No': -6.7599864, 'Yes': -6.9946246, '\n': -10.619858, ' yes': -11.100434}
{' Yes': -0.0017706478, 'Yes': -6.741551, ' No': -7.907852, ' Male': -9.5871525, ' yes': -9.591789}
{' Yes': -0.002907528, 'Yes': -6.543694, ' No': -6.730982, ' yes': -9.197592, ' YES': -9.949297}
{' Yes': -0.4130797, ' No': -1.0963224, 'Yes': -6.1274304, 'No': -6.445012, ' Nope': -7.8493085}
{' Yes': -0.13741049, ' No': -2.063829, 'Yes': -6.952653, ' Nope': -8.397775, 'No': -8.746823}
{' Yes': -0.00754079, ' No': -5.4252577, 'Yes': -6.3304467, ' Bike': -6.7814794, ' yes': -9.976474}
{' Yes': -0.0668293, ' No': -2.7991729, 'Yes': -6.3831186, ' Bike': -6.4550104, 'No': -8.582721}
{' No': -0.6772111, ' Yes': -0.7159227, ' Nope': -6.6383677, 'No': -6.9444623, 'Yes': -7.233205}
{' Yes': -0.16077998, ' No': -1.9170437, 'Yes': -6.8761954, 'No': -8.324728, ' Nope': -9.389145}
{' Yes': -0.0023084267, 'Yes': -6.1605515, ' yes': -9.422594, ' YES': -10.075083, ' Sure': -10.742588}
{' Yes': -0.061131846, ' Cave': -2.9793024, ' No': -5.5440626, 'Yes': -5.8697577, ' yes': -7.901586}
{' Yes': -0.004650815, 'Yes': -6.093485, ' Moon': -6.4680924, ' No': -7.355366, ' yes': -9.341669}
{' Yes': -0.019751826, ' No': -4.072564, 'Yes': -6.1912813, ' Moon': -8.794602, ' yes': -9.127231}
{' Yes': -0.37148187, ' No': -1.1985579, ' Nope': -5.771519, ' Pain': -6.3286223, 'Yes': -6.628301}
{' Yes': -0.08581749, ' No': -2.5179176, 'Yes': -6.7741127, 'No': -8.4456625, ' Nope': -8.664521}
{' No': -0.5530012, ' Yes': -0.8713912, ' Plus': -6.1803946, ' Nope': -6.248939, 'Yes': -6.858115}
{' No': -0.270209, ' Yes': -1.4554507, 'No': -6.628031, ' Nope': -6.673233, 'Yes': -7.3221955}
{' Yes': -0.026669286, ' No': -3.7002056, 'Yes': -6.732725, ' Sure': -8.594139, 'No': -10.009838}
{' Yes': -0.019788546, ' No': -4.154699, 'Yes': -6.4451385, ' Area': -6.948634, ' Sure': -7.186}
{' Yes': -0.09623219, ' Dive': -2.4444299, 'Yes': -5.4512277, ' No': -8.282845, ' Sure': -9.145999}
{' Yes': -0.14465691, ' Dive': -2.2083201, ' No': -3.911802, 'Yes': -6.1751347, ' Divide': -7.4875603}
{' Yes': -0.0015307589, 'Yes': -6.7815657, ' No': -8.117174, ' ': -10.891583, ' yes': -11.063577}
{' Yes': -0.0020724107, 'Yes': -6.6029973, ' Hear': -7.9134297, ' No': -8.985608, ' Yeah': -9.434505}
{' Yes': -0.007222968, ' Bush': -5.275207, 'Yes': -6.3194327, ' yes': -9.53836, '\n': -9.584159}
{' Yes': -0.002798916, 'Yes': -6.493075, ' Bush': -7.1623926, ' No': -7.9950356, ' yes': -9.914561}
{' Yes': -0.38513198, ' No': -1.372305, ' Near': -2.787903, ' Ne': -6.7798405, 'No': -6.854987}
{' No': -0.05860333, ' Yes': -2.9063928, 'No': -6.2750316, ' Nope': -8.375204, 'Yes': -9.689906}
{' Yes': -0.51903594, ' Mile': -1.1788125, ' No': -2.4229856, ' Miles': -5.563443, 'Yes': -6.72883}
{' Yes': -0.032273628, ' No': -3.5213387, 'Yes': -6.450751, ' Mile': -7.9172487, 'No': -9.381493}
{' Yes': -0.17827646, ' Navy': -2.3087296, ' No': -3.1972182, 'Yes': -5.206212, ' N': -5.3801637}
{' Yes': -0.2520495, ' No': -1.6469089, ' Navy': -4.1216116, 'Yes': -5.4145784, ' Nope': -6.0154347}
{' No': -0.0067921793, ' Nope': -5.552599, 'No': -5.9601955, ' Yes': -8.405365, ' N': -10.00786}
{' No': -0.0025758697, 'No': -6.2603416, ' Yes': -7.9813714, ' Nope': -8.374151, '\n': -10.138369}
{' Yes': -0.010834486, ' No': -4.6364446, 'Yes': -7.011296, ' Math': -10.214504, 'No': -10.658631}
{' Yes': -0.040218033, ' No': -3.2674346, 'Yes': -7.0710464, ' Nope': -8.527717, 'No': -9.614311}
{' No': -0.010047998, ' Yes': -4.931625, 'No': -6.214983, ' Nope': -7.232136, ' Not': -11.240858}
{' No': -0.0044810018, ' Yes': -6.138401, 'No': -6.2452145, ' Nope': -8.001556, '\n': -11.534545}
{' Yes': -0.0025058333, 'Yes': -6.0780935, ' Milk': -9.066983, ' yes': -9.946567, ' No': -10.557334}
{' Yes': -0.036318254, ' No': -3.3869, 'Yes': -6.436684, 'No': -9.189329, ' Milk': -9.237877}
{' Yes': -0.09579357, ' No': -2.4322288, 'Yes': -5.9304647, 'No': -7.729123, ' Nope': -8.804573}
{' Yes': -0.03392773, ' No': -3.5013463, 'Yes': -5.8849826, 'No': -8.710523, ' Nope': -9.213061}
{' Yes': -0.0015226415, 'Yes': -6.7531815, ' Bird': -8.487726, ' yes': -9.875381, ' No': -10.0885105}
{' Yes': -0.014725542, ' Bird': -5.070016, ' No': -5.1598115, 'Yes': -6.1301637, ' yes': -8.852031}
{' Yes': -0.014002659, ' No': -4.5541596, 'Yes': -5.916079, ' YES': -8.404087, ' yes': -8.825828}
{' Yes': -0.0084827095, ' No': -4.9988027, 'Yes': -6.4901643, ' yes': -9.676991, ' YES': -10.105431}
{' Yes': -0.01350798, ' No': -4.448019, 'Yes': -6.548948, ' yes': -9.275804, ' Need': -10.1715355}
{' Yes': -0.0031000942, ' No': -6.2438297, 'Yes': -6.9077086, ' yes': -9.637968, ' Need': -10.567393}
{' Yes': -0.0016153528, 'Yes': -6.796088, ' No': -7.726274, ' yes': -10.787427, '\n': -11.641708}
{' Yes': -0.011641375, ' No': -4.702311, 'Yes': -6.297117, ' Too': -8.137917, ' Tool': -8.72428}
{' Yes': -0.002773095, 'Yes': -6.141916, ' No': -8.121138, ' Po': -8.405805, ' yes': -10.400842}
{' Yes': -0.005375244, ' No': -5.634344, 'Yes': -6.48773, ' Po': -8.842445, ' Nope': -10.443337}
{' Yes': -0.0023612399, ' No': -6.4625244, 'Yes': -7.2022114, ' yes': -10.511848, '\n': -11.818143}
{' Yes': -0.013608274, ' No': -4.591344, 'Yes': -6.3593097, ' Cro': -6.987008, ' yes': -8.340467}
{' Yes': -0.06291995, ' No': -2.8444235, 'Yes': -5.9821835, 'No': -8.33387, ' yes': -10.833151}
{' Yes': -0.00920203, ' No': -5.2681704, 'Yes': -5.5700307, ' yes': -9.764242, ' Last': -10.306748}
{' Yes': -0.017672721, ' Door': -4.4731817, 'Yes': -5.664683, ' No': -6.247172, ' yes': -7.9022565}
{' Yes': -0.039748438, ' Door': -3.9508674, ' No': -4.115937, 'Yes': -5.9537053, ' yes': -7.9014864}
{' Yes': -0.02740359, ' No': -4.0006833, 'Yes': -4.9790483, ' To': -7.6372447, ' yes': -8.409971}
{' Yes': -0.5143406, ' No': -0.9367803, ' Nope': -5.356065, 'Yes': -5.6438346, 'No': -6.7903714}
{' Yes': -0.065142974, ' No': -3.3699503, ' Maze': -3.6736634, 'Yes': -6.0597734, ' Nope': -8.638146}
{' Yes': -0.1901513, ' No': -1.7670612, 'Yes': -6.4929066, 'No': -8.08412, ' Nope': -8.226225}
{' Yes': -0.33916128, ' No': -1.3854393, ' Monk': -3.5455287, ' Nope': -5.8603196, 'Yes': -5.9169393}
{' Yes': -0.07366472, ' No': -2.6953382, 'Yes': -6.020806, ' Mon': -8.214643, ' Nope': -8.23722}
{' Yes': -0.0045783618, ' No': -5.6886244, 'Yes': -6.9451184, ' yes': -9.343426, ' Yep': -10.273828}
{' Yes': -0.004893254, ' No': -5.620379, 'Yes': -6.882893, ' yes': -9.530401, ' Yep': -10.318556}
{' Yes': -0.0043237894, ' Most': -5.977027, 'Yes': -6.469602, ' No': -8.694001, ' yes': -10.477208}
{' Yes': -0.016588215, ' Most': -4.2085605, 'Yes': -6.830265, ' No': -7.975107, ' yes': -10.268707}
{' Yes': -0.0014196705, 'Yes': -6.8076215, ' No': -8.888275, ' yes': -9.360142, ' Trip': -10.208859}
{' Yes': -0.0019728462, 'Yes': -6.8723454, ' No': -7.1107006, ' yes': -9.529465, ' Yep': -10.937196}
{' Yes': -0.2693505, ' No': -1.4595836, 'Yes': -5.958673, 'No': -7.209409, ' Nope': -8.842827}
{' No': -0.08674086, ' Yes': -2.5481477, 'No': -5.4824777, 'Yes': -8.017197, ' Nope': -8.089708}
{' Yes': -0.013459648, ' No': -4.42786, 'Yes': -7.0912695, ' Hell': -8.617503, ' Hello': -9.035627}
{' Yes': -0.0015608473, ' No': -7.1418176, 'Yes': -7.297833, ' ': -10.776448, ' yes': -10.846246}
{' No': -0.047631215, ' Yes': -3.1407478, 'No': -5.906781, ' Nope': -8.00692, 'Yes': -9.391549}
{' No': -0.07611569, ' Yes': -2.8367605, ' Lawn': -5.4668055, ' Nope': -5.6217875, 'No': -5.6678925}
{' Yes': -0.11724775, ' No': -2.2171433, 'Yes': -7.066399, 'No': -8.021325, ' Hill': -8.547641}
{' Yes': -0.087694116, ' No': -2.5146427, ' Hill': -6.696789, 'Yes': -6.9608, 'No': -8.067636}
{' Yes': -0.092440635, ' No': -2.4501603, 'Yes': -6.4676886, ' Nope': -8.771159, 'No': -8.772153}
{' Yes': -0.017995218, ' No': -4.250699, 'Yes': -6.334115, ' Take': -6.672666, ' Nope': -8.907873}
{' Yes': -0.007914932, ' No': -5.0409064, 'Yes': -6.65161, ' yes': -10.203219, 'No': -10.991975}
{' Yes': -0.005938165, ' No': -5.4234014, 'Yes': -6.597737, ' yes': -9.854529, '\n': -10.073604}
{' No': -0.14765504, ' Yes': -2.0037894, 'No': -6.418926, ' Nope': -7.834361, 'Yes': -8.146109}
{' Yes': -0.14027648, ' No': -2.048533, 'Yes': -6.616138, 'No': -8.01436, ' Nope': -8.478237}
{' Yes': -0.0033396413, 'Yes': -6.0113564, ' No': -7.254368, '\n': -9.957338, ' Sure': -10.203454}
{' Yes': -0.0055952566, ' No': -5.4280863, 'Yes': -6.8054013, ' yes': -10.738347, '\n': -10.85016}
{' No': -0.015049448, ' Yes': -4.4831753, 'No': -5.9149666, ' Nope': -7.0627637, 'Yes': -10.613721}
{' No': -0.38578004, ' Yes': -1.1500336, 'No': -6.309226, ' Nope': -7.151944, 'Yes': -7.3460245}
{' Yes': -0.66297865, ' No': -0.7297054, 'Yes': -6.603497, 'No': -6.9942737, ' Nope': -8.51747}
{' No': -0.104507335, ' Yes': -2.3458784, 'No': -6.104151, ' Nope': -7.1243663, 'Yes': -8.08388}
{' No': -0.2784377, ' Yes': -1.4302531, 'No': -6.542935, ' Nope': -6.6069145, 'Yes': -7.5545654}
{' Yes': -0.42037234, ' No': -1.0774807, 'Yes': -6.602119, 'No': -7.1168423, ' Nope': -7.778359}
{' Yes': -0.062021155, ' No': -2.829269, 'Yes': -7.1370463, ' Nope': -8.793035, 'No': -9.7749195}
{' No': -0.44351628, ' Yes': -1.0312009, ' Nope': -7.3070374, 'No': -7.49831, 'Yes': -8.143852}
{' Yes': -0.0024777516, 'Yes': -6.6334896, ' No': -7.102396, ' Sure': -9.304652, ' yes': -9.45269}
{' Yes': -0.0039181155, ' No': -6.098187, 'Yes': -6.6397915, ' Sure': -8.805041, ' Fire': -9.829377}
{' Yes': -0.0008899478, 'Yes': -7.1321015, ' yes': -10.134845, ' No': -10.927741, ' YES': -11.402555}
{' Yes': -0.0007352056, 'Yes': -7.4582467, ' No': -9.258218, ' yes': -10.067498, ' YES': -12.014358}
{' Yes': -0.043560967, ' No': -3.1994233, 'Yes': -6.489947, ' Nope': -8.926182, 'No': -9.578753}
{' No': -0.60657495, ' Yes': -0.7970371, ' Nope': -6.2059145, 'No': -6.912002, 'Yes': -6.9370036}
{' Yes': -0.2571782, ' No': -1.5025662, 'Yes': -6.301632, 'No': -6.9695497, ' Nope': -7.2972927}
{' Yes': -0.462819, ' No': -1.1197555, ' Stop': -3.5416706, ' Nope': -4.5747705, 'No': -6.098603}
{' Late': -0.53264105, ' Yes': -1.308251, ' Plate': -2.2345471, ' No': -3.8950484, 'Late': -5.1324973}
{' Yes': -0.19344129, ' No': -1.7662963, 'Yes': -6.316797, ' Late': -6.336725, 'No': -7.3359838}
{' Yes': -0.010685429, ' No': -4.7061462, 'Yes': -6.5230503, ' Sure': -10.454108, ' yes': -10.483649}
{' Yes': -0.04311878, ' No': -3.3116906, 'Yes': -5.3515825, 'No': -8.184688, ' Nope': -8.581218}
{' Yes': -0.0073564365, ' No': -5.2389164, 'Yes': -6.250165, 'No': -10.499393, ' Sure': -11.0736}
{' No': -0.12710616, ' Yes': -2.1655793, 'No': -5.9689755, ' Nope': -6.4119115, 'Yes': -7.881308}
{' Yes': -0.019497015, ' No': -4.0751057, 'Yes': -6.1937313, ' yes': -9.420371, 'No': -9.702349}
{' Yes': -0.19890207, ' No': -1.72509, 'Yes': -6.570869, 'No': -7.6545672, ' Nope': -8.666828}
{' Yes': -0.0030874766, 'Yes': -6.057809, ' No': -7.3725104, ' yes': -9.878438, ' Duck': -10.765874}
{' No': -0.60917807, ' Yes': -0.7945342, 'No': -6.122821, 'Yes': -6.843145, ' Nope': -7.20382}
{' Yes': -0.09775658, ' No': -2.429517, 'Yes': -5.576005, 'No': -7.313643, ' Nope': -8.247278}
{' No': -0.26704833, ' Yes': -1.4625764, 'No': -6.19636, 'Yes': -7.5656533, ' Nope': -9.031256}
{' Yes': -0.003659349, 'Yes': -5.948786, ' No': -6.953213, ' yes': -10.751165, ' Sure': -11.390001}
{' Yes': -0.023685409, ' No': -3.9465199, 'Yes': -5.752866, ' Test': -7.7433505, ' Nest': -9.400296}
{' Yes': -0.16064297, ' No': -1.9314083, 'Yes': -6.0720744, 'No': -7.509329, ' Stay': -8.011804}
{' No': -0.65287274, ' Yes': -0.7409351, 'No': -6.550028, 'Yes': -6.837046, ' Nope': -8.939232}
{' Yes': -0.32106096, ' No': -1.3102558, 'Yes': -5.832673, 'No': -6.503678, ' Nope': -8.473343}
{' East': -0.80434567, ' Yes': -0.8670479, ' No': -3.1652875, ' Eas': -3.7153966, ' Ye': -4.2259283}
{' No': -0.010329805, ' Yes': -5.0603023, 'No': -5.5562463, ' Nope': -10.160872, 'Yes': -10.812728}
{' No': -0.008210801, ' Yes': -5.5583644, 'No': -5.716642, ' Nope': -6.913772, 'Yes': -11.867993}
{' No': -0.20063925, ' Yes': -1.718799, 'No': -6.2800894, 'Yes': -8.102035, ' Nope': -8.525631}
{' Yes': -0.62042755, ' No': -0.95571285, ' Draw': -2.7646937, 'No': -5.747143, 'Yes': -5.861722}
{' Yes': -0.33493325, ' King': -1.2825899, 'King': -5.7384515, 'Yes': -5.938296, ' Kings': -7.4223676}
{' Yes': -0.52149916, ' No': -0.9096294, 'No': -6.408763, 'Yes': -6.6924467, ' Nope': -7.4174395}
{' No': -0.06551304, ' Yes': -2.808923, 'No': -6.1507463, ' Nope': -7.200166, 'Yes': -8.879912}
{' No': -0.07477781, ' Yes': -2.686861, 'No': -6.215025, ' Nope': -6.651308, ' Lose': -7.823605}
{' Yes': -0.0021159528, 'Yes': -6.8595433, ' No': -7.5341077, ' Sure': -7.9140725, ' Yep': -10.049182}
{' Yes': -0.002161528, 'Yes': -6.6231074, ' Sure': -7.584547, ' No': -8.314846, ' Yep': -10.877392}
