{' Yes': -0.008686332, ' No': -5.233551, ' Spider': -6.134765, 'Yes': -7.0355487, ' The': -8.79744}
{' Yes': -0.040255573, ' No': -3.355149, 'Yes': -5.558642, ' The': -8.066664, 'No': -9.040569}
{' No': -0.041380238, ' Yes': -3.3061335, 'No': -6.247923, ' Ex': -6.4900036, ' The': -8.931807}
{' No': -0.33590922, ' Yes': -1.3319706, 'No': -4.851574, ' Nope': -6.039008, 'Yes': -6.0786552}
{' Yes': -0.010177693, 'Yes': -5.078171, ' Loving': -5.755876, ' No': -8.160981, ' yes': -8.610566}
{' Yes': -0.40907788, ' No': -1.107135, 'Yes': -6.48252, 'No': -6.7148733, ' Unfortunately': -6.954118}
{' No': -0.04368481, ' Yes': -3.1872582, 'No': -6.6691766, 'Yes': -9.555127, ' ': -10.4007015}
{' No': -0.0757575, ' Yes': -2.6852622, 'No': -6.2550616, ' Unfortunately': -6.491422, ' The': -7.0080957}
{' Yes': -0.5334979, ' No': -0.918376, ' Butter': -5.088994, 'No': -5.767197, 'Yes': -5.945195}
{' Yes': -0.008609735, ' No': -5.425813, 'Yes': -5.500112, 'No': -10.3868475, ' yes': -10.649734}
{' No': -0.011576371, 'No': -4.478253, ' Yes': -8.960358, ' ': -11.237808, ' Not': -12.194101}
{' Yes': -0.03138083, ' No': -3.5788298, 'Yes': -6.0349364, ' The': -8.198606, 'No': -8.717698}
{' No': -0.012909139, ' Yes': -4.741703, 'No': -5.626533, ' Not': -8.322681, ' The': -8.854298}
{' No': -0.0053282613, 'No': -5.6013627, ' Yes': -6.5052533, ' Not': -10.272115, ' ': -10.288048}
{' No': -0.20545608, ' Yes': -1.739443, 'No': -5.2898235, 'Yes': -6.470122, ' She': -6.504158}
{' No': -0.519407, ' Yes': -0.9363247, 'No': -5.0149074, 'Yes': -5.3790946, ' Not': -6.7157955}
{' Yes': -0.20890006, ' No': -1.6926208, 'Yes': -6.014177, 'No': -7.05787, ' The': -7.1110244}
{' Yes': -0.14608252, ' No': -2.0205789, 'Yes': -6.179261, ' The': -7.413279, 'No': -7.731396}
{' Yes': -0.48818728, ' No': -0.961368, 'Yes': -6.377915, 'No': -6.6137896, ' Not': -7.286519}
{' Yes': -0.010063469, ' No': -4.8677807, 'Yes': -6.130827, ' The': -10.106328, ' Unfortunately': -10.64329}
{' Yes': -0.17706509, ' No': -1.831219, 'Yes': -6.6509185, ' The': -7.995847, 'No': -8.093181}
{' No': -0.008159477, ' Yes': -5.305061, 'No': -5.967941, ' Minute': -7.8741736, ' Not': -9.781628}
{' Yes': -0.46220315, ' No': -1.0073615, 'Yes': -6.049205, 'No': -6.3895764, ' Not': -7.4200406}
{' No': -0.5031687, ' Yes': -0.9413629, 'No': -5.780815, 'Yes': -6.4068513, ' Not': -8.330191}
{' Yes': -0.021208594, ' No': -3.9826894, 'Yes': -6.6138687, ' The': -7.2109337, ' yes': -9.490799}
{' Yes': -0.24417357, ' No': -1.5563111, 'Yes': -6.060816, ' The': -6.6334777, 'No': -6.846132}
{' Yes': -0.29564202, ' No': -1.3878393, ' Not': -6.0376883, 'Yes': -6.182539, 'No': -6.665467}
{' No': -0.015751906, 'No': -4.7279844, ' Yes': -5.249854, ' Not': -6.6261144, '\n': -9.609508}
{' No': -0.0054712486, 'No': -5.74593, ' Yes': -6.444712, ' Unfortunately': -8.1643505, ' Not': -8.447035}
{' No': -0.012236741, ' Yes': -4.675332, 'No': -6.274272, ' Not': -7.063239, ' Unfortunately': -10.606738}
{' Yes': -0.0008880386, 'Yes': -7.122739, ' No': -10.317313, ' The': -10.485963, ' yes': -11.278847}
{' Yes': -0.006412863, ' No': -5.322584, 'Yes': -6.583927, ' The': -9.59557, ' yes': -10.819847}
{' Yes': -0.004995502, 'Yes': -5.398487, ' No': -8.670742, ' France': -9.016611, '\n': -9.819263}
{' Yes': -0.0016718914, 'Yes': -6.465289, ' No': -9.848065, ' yes': -10.863856, ' The': -10.880187}
{' Yes': -0.56049454, ' No': -0.8524657, 'Yes': -6.8762956, 'No': -6.9803414, ' The': -8.032715}
{' Yes': -0.22869092, ' No': -1.6439035, 'Yes': -5.7427416, ' Muscle': -6.1455603, ' Mus': -6.2151394}
{' No': -0.27319732, ' Yes': -1.4408132, 'No': -6.6538105, ' The': -7.7778416, 'Yes': -8.259291}
{' Yes': -0.11264986, ' No': -2.4480724, ' Empire': -4.2093997, 'Yes': -6.4655433, ' Em': -6.6520386}
{' No': -0.002937476, 'No': -5.9089065, ' Yes': -8.568489, ' Not': -11.776227, ' ': -12.279235}
{' No': -0.007270999, 'No': -4.951559, ' Yes': -9.703251, ' Unfortunately': -9.978583, ' Not': -10.710346}
{' Yes': -0.0041198554, 'Yes': -6.2192874, ' No': -6.305763, ' Hunger': -8.678232, ' The': -10.210406}
{' Yes': -0.0040220045, ' No': -6.054288, 'Yes': -6.451323, ' The': -10.182395, ' yes': -10.593141}
{' Yes': -0.20376885, ' No': -1.7049075, 'Yes': -6.4910607, 'No': -7.325682, ' Unfortunately': -8.332289}
{'\n': -0.017039374, ' No': -4.617667, ' ': -5.416604, ' Yes': -6.102374, '\n\n': -8.861461}
{' Yes': -0.06614946, ' No': -2.8003507, 'Yes': -5.977862, 'No': -8.313145, ' The': -8.393511}
{' No': -0.06713382, ' Yes': -2.8858821, 'No': -4.806678, 'Yes': -7.993029, ' Unfortunately': -8.218947}
{' No': -0.008058829, ' Yes': -5.1824875, 'No': -6.069622, ' Not': -10.336994, ' Unfortunately': -10.842133}
{' Yes': -0.034780443, ' No': -3.45034, 'Yes': -6.1589203, 'No': -9.085962, ' ': -9.567913}
{' Yes': -0.15525946, ' No': -1.9562142, 'Yes': -6.440272, ' The': -7.9572644, 'No': -8.084214}
{' Yes': -0.34947413, ' No': -1.2323991, 'Yes': -6.466046, 'No': -7.062837, ' The': -7.4731255}
{' Yes': -0.68445176, ' No': -0.7158524, ' The': -5.5661635, 'Yes': -6.7410727, 'No': -7.23825}
{' No': -0.51868814, ' Yes': -0.9127787, 'Yes': -6.897016, 'No': -6.9889045, ' The': -7.8059664}
{' No': -0.08406964, ' Yes': -2.544271, 'No': -6.3272467, 'Yes': -8.731492, ' The': -9.9536085}
{' No': -0.14128773, ' Yes': -2.0552433, 'No': -6.137805, 'Yes': -7.8614273, '\n': -7.864302}
{' No': -0.1894592, ' Yes': -1.7720988, 'No': -6.5632076, ' The': -7.787113, 'Yes': -7.91}
{' Yes': -0.13571252, ' No': -2.0959804, 'Yes': -5.85014, ' The': -7.463759, 'No': -7.972054}
{' No': -0.0049950224, 'No': -5.4733057, ' Yes': -7.2875094, '\n': -10.534815, ' Nope': -11.071778}
{' No': -0.4921927, ' Yes': -0.9501719, 'No': -6.8717036, 'Yes': -6.986915, ' ': -10.658141}
{' Yes': -0.055877157, ' No': -2.953117, 'Yes': -6.3914003, ' The': -8.452361, 'No': -9.018216}
{' No': -0.33158612, ' Yes': -1.2830365, 'No': -5.9395723, 'Yes': -7.1184626, ' Unfortunately': -7.175214}
{' No': -0.020439947, ' Yes': -4.040129, 'No': -6.073451, 'Yes': -9.213866, ' Unfortunately': -9.261427}
{' No': -0.004377311, 'No': -5.80611, ' Yes': -6.848996, ' Unfortunately': -8.697819, ' Not': -9.597485}
{' Yes': -0.11903913, ' No': -2.2475486, 'Yes': -5.292011, ' The': -7.145084, 'No': -7.841466}
{' No': -0.034853328, ' Yes': -3.4368403, 'No': -6.360499, 'Yes': -9.021223, ' Not': -9.27294}
{' No': -0.01737871, 'No': -4.06936, ' Unfortunately': -9.583371, ' Not': -10.56743, ' ': -10.61986}
{' Yes': -0.0451671, ' No': -3.2144918, 'Yes': -5.7644525, ' Not': -8.280244, 'No': -8.38942}
{' No': -0.47687593, ' Yes': -0.9753214, 'No': -6.596012, 'Yes': -7.243998, ' Purple': -9.867268}
{' No': -0.17877118, ' Yes': -1.8367093, 'No': -6.2011156, ' Purple': -6.4304967, 'Yes': -7.877562}
{' Yes': -0.0073497137, ' No': -5.1754155, 'Yes': -6.565239, ' The': -9.47113, ' Animal': -9.605531}
{' Yes': -0.018034484, ' No': -4.279078, 'Yes': -5.5893044, 'No': -9.348058, ' The': -9.36976}
{' Yes': -0.008937682, ' No': -5.444, 'Yes': -6.0393076, ' The': -6.368106, ' yes': -9.243139}
{' Yes': -0.0038578026, 'Yes': -5.661491, ' No': -8.328923, ' yes': -9.777921, ' The': -9.988103}
{' Yes': -0.0018812377, 'Yes': -6.76503, ' No': -7.2568817, ' yes': -11.612008, ' ': -12.756933}
{' Yes': -0.0037245585, ' No': -6.1481547, 'Yes': -6.529662, ' The': -9.616828, ' yes': -10.945853}
{' Yes': -0.083295904, ' No': -2.5665874, 'Yes': -5.9468684, 'No': -8.061964, ' The': -9.352208}
{' Yes': -0.0015753532, 'Yes': -6.6782413, ' No': -8.838936, ' ': -10.073599, ' yes': -10.125788}
{' No': -0.44628486, ' Yes': -1.0613399, ' Not': -5.3929286, 'No': -5.4660354, ' Unfortunately': -5.7961836}
{' No': -0.2881122, ' Yes': -1.3996329, 'No': -5.913057, 'Yes': -7.257423, ' Not': -9.322409}
{' No': -0.035160307, 'No': -3.466719, ' Yes': -6.149524, ' Dis': -7.017778, 'Yes': -9.474422}
{' No': -0.040024452, ' Yes': -3.3100479, 'No': -6.080491, ' Not': -8.633757, 'Yes': -9.282885}
{' Yes': -0.68118674, ' No': -0.70975703, 'No': -6.8538933, 'Yes': -6.8928905, ' The': -9.74544}
{' Yes': -0.12962541, ' No': -2.1311855, 'Yes': -6.070902, 'No': -7.940247, ' The': -8.936703}
{' Yes': -0.014781917, ' No': -4.487865, 'Yes': -5.7768703, ' The': -8.825547, 'No': -9.779258}
{' Yes': -0.0035063312, ' No': -6.288838, 'Yes': -6.471638, ' The': -10.440933, ' yes': -10.785349}
{' No': -0.5510377, ' Yes': -0.8728151, 'No': -6.119843, ' The': -6.26492, 'Yes': -7.080714}
{' Yes': -0.0071294345, ' No': -5.3163486, 'Yes': -6.2518725, ' The': -8.675471, ' yes': -10.112765}
{' No': -0.022261675, ' Yes': -4.064479, 'No': -5.456208, ' The': -8.306615, ' Unfortunately': -8.889579}
{' Yes': -0.6459541, ' No': -0.7496223, 'Yes': -6.6847987, 'No': -6.740566, ' The': -7.481443}
{' Yes': -0.048409387, ' No': -3.0824041, 'Yes': -6.7485604, ' The': -8.965336, 'No': -9.593687}
{' No': -0.0044424473, 'No': -5.763578, ' Yes': -6.857567, ' Not': -9.314688, ' Unfortunately': -9.716578}
{' Yes': -0.30970484, ' No': -1.3309507, 'Yes': -6.9889812, 'No': -7.163201, ' The': -8.99785}
{' Yes': -0.022469277, ' No': -3.8901374, 'Yes': -6.47535, 'No': -9.603453, ' yes': -9.975428}
{' No': -0.15137103, ' Yes': -2.0409527, ' Planet': -5.230251, 'No': -5.5973635, ' Not': -7.331079}
{' No': -0.15439181, ' Yes': -2.007896, 'No': -4.9607863, 'Yes': -6.9788885, ' Not': -7.375316}
{' Yes': -0.3004714, ' No': -1.3764238, 'Yes': -5.3698187, 'No': -6.272185, ' Not': -8.685752}
{' Yes': -0.006752752, ' No': -5.266312, 'Yes': -6.545161, ' yes': -9.887005, ' The': -10.394989}
{' Yes': -0.016354991, ' No': -4.4280233, 'Yes': -5.5024004, 'No': -9.805549, ' Pres': -10.215047}
{' No': -0.05497958, ' Yes': -3.2051277, 'No': -4.4217606, 'Yes': -7.3299346, '\n': -8.64488}
{' No': -0.017916694, ' Yes': -4.161298, 'No': -6.2236166, 'Yes': -9.914319, ' Not': -10.149313}
{' No': -0.029795658, ' Yes': -3.5858297, 'No': -6.700431, ' Not': -8.905995, ' Unfortunately': -9.174487}
{' No': -0.68306506, ' Yes': -0.7159516, ' Not': -6.157514, 'No': -6.2489853, 'Yes': -6.4668097}
{' Yes': -0.010887088, ' No': -5.0333343, 'Yes': -5.5052676, ' The': -9.169402, 'No': -10.137087}
{' No': -0.6369671, ' Yes': -0.7610231, 'No': -6.2256646, 'Yes': -7.0426197, ' Not': -8.142582}
{' Yes': -0.50574976, ' No': -0.9384146, 'No': -5.9441705, 'Yes': -6.3613667, ' Finger': -7.2270436}
{' Yes': -0.0067666145, 'Yes': -5.1292505, ' No': -7.525451, ' The': -8.752585, ' yes': -9.996066}
{' Yes': -0.063080944, ' No': -2.945733, 'Yes': -5.6151342, ' The': -6.1708, ' Unfortunately': -6.5941586}
{' Yes': -0.10047057, ' No': -2.3861473, 'Yes': -5.8966475, 'No': -8.071214, ' Not': -8.5642}
{' Yes': -0.02294182, ' No': -4.008192, 'Yes': -6.1128287, ' The': -6.3397484, ' Unfortunately': -8.2887125}
{' No': -0.33024165, ' Yes': -1.3146701, 'No': -4.629825, 'Yes': -6.3096533, ' The': -7.769305}
{' Yes': -0.13145134, ' No': -2.1333432, 'Yes': -5.735575, ' The': -7.2212815, 'No': -7.686911}
{' Yes': -0.012853714, ' Sc': -4.954048, 'Yes': -5.613923, ' yes': -7.0139174, ' No': -7.8949237}
{' Yes': -0.008050781, ' No': -5.223406, 'Yes': -5.9879055, ' yes': -10.02013, ' The': -10.760347}
{' No': -0.008509641, 'No': -4.9466696, ' Yes': -6.718972, ' Unfortunately': -9.544882, ' ': -10.152509}
{' No': -0.004390361, 'No': -5.5838003, ' Yes': -7.653497, ' ': -9.565839, ' Not': -10.079125}
{' No': -0.048693527, ' Yes': -3.2128398, 'No': -5.0747056, ' Unfortunately': -7.9924264, 'Yes': -8.358258}
{' No': -0.27860996, ' Yes': -1.4276674, 'No': -6.2091365, 'Yes': -7.277032, ' Unfortunately': -8.103398}
{' No': -0.30217397, ' Yes': -1.3589653, 'No': -5.9484196, 'Yes': -7.3094997, ' Unfortunately': -8.5753975}
{' No': -0.20927633, ' Yes': -1.6866837, 'No': -5.8748155, 'Yes': -7.4170437, ' Not': -9.329847}
{' Yes': -0.0026014468, ' No': -6.355361, 'Yes': -7.0917773, ' yes': -11.504239, ' ': -12.275046}
{' Yes': -0.0955545, ' No': -2.4416869, 'Yes': -5.698522, 'No': -7.8403583, ' The': -9.006754}
{' Yes': -0.0027461387, 'Yes': -6.0103827, ' No': -8.368983, ' The': -10.44086, ' yes': -10.859731}
{' Yes': -0.087451704, ' No': -2.523523, 'Yes': -5.85378, 'No': -8.065486, ' The': -8.677848}
{' No': -0.13883191, ' Yes': -2.106634, 'No': -5.473825, ' Unfortunately': -6.1152124, 'Yes': -7.7208877}
{' No': -0.49987018, ' Yes': -0.9450626, 'No': -6.4008555, ' The': -6.911426, 'Yes': -7.0891933}
{' No': -0.20553227, ' Yes': -1.6942312, 'No': -6.491535, 'Yes': -8.199352, ' Not': -9.478209}
{' Yes': -0.09853591, ' No': -2.3785174, 'Yes': -7.15761, ' The': -8.740051, 'No': -8.82304}
{' No': -0.46023288, ' Yes': -1.0213635, ' Spider': -5.6623297, 'No': -5.7140417, 'Yes': -6.689725}
{' Yes': -0.13267614, ' No': -2.1224527, 'Yes': -5.8586206, ' The': -7.2603116, 'No': -7.445021}
{' Yes': -0.6694534, ' No': -0.7230136, 'Yes': -6.676893, 'No': -6.7317467, ' The': -9.32639}
{' No': -0.23117365, ' Candle': -2.2991056, ' Yes': -2.6038733, ' Cand': -3.7887144, 'No': -5.242617}
{' No': -0.039487425, ' Yes': -3.543241, 'No': -4.689304, 'Yes': -8.6358, ' The': -9.002301}
{' No': -0.013052127, 'No': -4.7418747, ' Yes': -5.525221, ' Not': -9.722219, ' ': -9.766644}
{' No': -0.0598299, ' Yes': -3.1838093, 'No': -4.150366, 'Yes': -7.4884872, ' The': -8.894655}
{' Yes': -0.21983062, ' No': -1.6658907, 'Yes': -5.156804, 'No': -6.180903, ' The': -8.400128}
{' No': -0.23474668, ' Yes': -1.6367471, 'No': -4.4033604, 'Yes': -6.407005, ' The': -7.9769683}
{' Yes': -0.08139564, ' No': -2.5808177, 'Yes': -6.419206, ' The': -7.711929, 'No': -8.388993}
{' No': -0.01024965, 'No': -4.651658, ' Unfortunately': -7.6127157, ' Yes': -9.758229, ' ': -10.287467}
{' No': -0.022390522, ' Yes': -4.146925, 'No': -5.2293053, ' Unfortunately': -8.06402, ' The': -8.131823}
{' No': -0.009657634, 'No': -5.3392873, ' Yes': -5.3833184, ' Unfortunately': -9.621681, ' Not': -9.940096}
{' No': -0.014418547, 'No': -4.432662, ' Yes': -6.089431, ' Not': -10.031621, ' The': -10.202877}
{' Yes': -0.10754032, ' No': -2.3530464, 'Yes': -5.2436485, 'No': -6.8113403, ' Orange': -8.627995}
{' Yes': -0.15370525, ' No': -1.9975505, 'Yes': -5.2165675, 'No': -6.773988, ' The': -9.391133}
{' No': -0.042609174, 'No': -3.600356, ' Yes': -4.2900343, 'Yes': -8.106904, ' ': -8.945312}
{' No': -0.3559713, ' Yes': -1.224597, 'No': -5.6839094, 'Yes': -6.782334, ' Unfortunately': -7.19171}
{' No': -0.009641927, 'No': -4.662943, ' Yes': -9.328091, ' ': -10.05793, ' Unfortunately': -12.062019}
{' No': -0.015106994, 'No': -4.3208547, ' Yes': -6.460781, ' ': -9.892834, ' Not': -10.706532}
{' No': -0.018205158, ' Yes': -4.243093, 'No': -5.789094, ' The': -8.646173, ' ': -8.91331}
{' No': -0.011530183, 'No': -4.878235, ' Yes': -5.6700077, ' Unfortunately': -8.618475, ' Not': -9.471052}
{' Yes': -0.0137549285, 'Yes': -4.301524, ' No': -9.81865, ' yes': -10.598472, ' ': -11.341235}
{' Yes': -0.012067865, ' No': -4.830072, 'Yes': -5.579736, ' The': -9.597925, 'No': -9.855505}
{' No': -0.111041196, ' Yes': -2.3263674, 'No': -5.099443, 'Yes': -7.525685, ' The': -7.927605}
{' No': -0.029204424, ' Yes': -4.204402, 'No': -4.3063073, 'Yes': -8.724319, ' ': -9.579473}
{' Yes': -0.074081525, ' No': -2.736782, 'Yes': -5.1315575, 'No': -7.754291, ' The': -9.437342}
{' No': -0.24010296, ' Yes': -1.5732499, 'No': -5.484865, 'Yes': -6.9518914, ' Unfortunately': -7.68053}
{' No': -0.03253523, 'No': -3.7158391, ' Yes': -5.07311, ' ': -7.439052, ' Nep': -8.3220005}
{' Yes': -0.47233915, ' No': -1.0069252, 'Yes': -5.0598674, 'No': -5.4685073, ' The': -8.4324255}
{' No': -0.015612332, ' Yes': -4.646811, 'No': -5.16326, 'Yes': -9.874785, ' The': -10.355364}
{' No': -0.0147989765, ' Yes': -4.6544223, 'No': -5.2979026, 'Yes': -9.917901, ' Not': -10.00785}
{' Yes': -0.3348822, ' No': -1.305118, 'Yes': -4.7752357, 'No': -5.37314, ' ': -9.218865}
{' Yes': -0.0037975498, 'Yes': -5.742629, ' No': -7.6169443, ' The': -10.430007, ' yes': -10.573697}
{' Yes': -0.15574765, ' No': -2.017814, 'Yes': -4.642316, 'No': -6.9592524, ' The': -7.7879167}
{' No': -0.44890893, ' Yes': -1.0307437, 'Yes': -5.997044, 'No': -6.159884, ' The': -8.604552}
