{' Right': -0.023665998, ' right': -3.813581, 'Right': -7.2528434, ' "': -7.8961616, 'right': -8.905826}
{' Right': -0.04119041, ' right': -3.3663323, ' Left': -5.706443, ' "': -6.9368234, 'Right': -7.036555}
{' Right': -0.036305826, ' right': -3.755668, ' Left': -4.6303973, 'Right': -7.0587087, ' left': -7.100486}
{' Right': -0.043876734, ' right': -3.4530735, ' Left': -4.812847, ' "': -6.6106663, ' left': -7.0889316}
{' Right': -0.041495483, ' right': -3.4159744, ' Left': -5.228898, ' "': -6.9799337, ' left': -7.28579}
{' Left': -0.054861516, ' left': -2.9513247, 'Left': -7.738299, ' "': -7.892912, 'left': -8.147106}
{' Left': -0.16864258, ' left': -1.8778939, ' "': -6.908064, 'Left': -7.3891835, 'left': -7.4071636}
{' Left': -0.13716461, ' left': -2.0710082, ' "': -6.9925265, 'Left': -7.3842998, 'left': -7.519841}
{' Left': -0.0692033, ' left': -2.7287776, 'Left': -7.3089814, ' "': -7.6282296, 'left': -7.855735}
{' Left': -0.12262032, ' left': -2.1968544, ' "': -6.0069966, 'Left': -6.9263387, 'left': -7.1745872}
{' Left': -0.0932625, ' left': -2.441161, ' "': -7.1556935, 'Left': -7.233052, 'left': -7.6747866}
{' Left': -0.09968293, ' left': -2.3871107, ' "': -6.486827, 'Left': -7.090416, 'left': -7.4309855}
{' Left': -0.117316864, ' left': -2.2240329, ' "': -6.636779, 'Left': -7.286519, 'left': -7.6015186}
{' Right': -0.15728511, ' Left': -2.2088177, ' right': -3.6466877, ' left': -4.816043, 'Right': -7.2390494}
{' Right': -0.1398986, ' right': -2.476254, ' Left': -3.3012772, ' left': -4.9011307, 'Right': -6.889696}
{' Right': -0.15194745, ' right': -2.733803, ' Left': -2.75951, ' left': -4.5285263, 'Right': -7.0072293}
{' Right': -0.066190094, ' right': -3.2037232, ' Left': -3.908452, ' left': -6.2212243, 'Right': -7.1877775}
{' Right': -0.055345647, ' right': -3.1351836, ' Left': -4.9320354, 'Right': -6.6402245, ' left': -6.9317813}
{' Right': -0.06748199, ' right': -3.2831497, ' Left': -3.7439325, ' left': -5.979521, 'Right': -7.0505657}
{' Right': -0.14724605, ' Left': -2.4700458, ' right': -3.2033315, ' left': -4.6934934, 'Right': -6.811244}
{' Right': -0.08556054, ' right': -3.0348535, ' Left': -3.5523171, ' left': -5.565577, 'Right': -7.1443214}
{' Left': -0.051795915, ' left': -3.017864, 'Left': -7.452441, 'left': -7.790685, ' "': -7.9101043}
{' Left': -0.08141466, ' left': -2.574632, ' "': -7.3206697, 'Left': -7.391536, 'left': -7.612468}
{' Left': -0.068615876, ' left': -2.7361515, 'Left': -7.3855042, 'left': -7.6979623, ' "': -8.076552}
{' Left': -0.06106519, ' left': -2.8538694, 'Left': -7.376548, 'left': -7.788344, ' "': -7.9800115}
{' Left': -0.08870674, ' left': -2.496496, ' "': -6.9320674, 'Left': -7.143438, 'left': -7.421695}
{' Left': -0.073971316, ' left': -2.6664052, 'Left': -7.214279, 'left': -7.6083283, ' "': -7.8756504}
{' Left': -0.061509553, ' left': -2.8525825, 'Left': -7.3201766, ' "': -7.347133, 'left': -7.647834}
{' Left': -0.119376294, ' left': -2.204095, ' "': -7.174849, 'Left': -7.4163713, 'left': -7.500228}
{' Right': -0.03398212, ' right': -3.4619284, 'Right': -6.8821898, ' "': -7.364285, 'right': -8.452285}
{' Right': -0.04201285, ' right': -3.2643352, 'Right': -6.6437716, ' "': -6.8926854, 'right': -8.104786}
{' Right': -0.03669011, ' right': -3.3897514, 'Right': -6.762367, ' "': -7.1999626, 'right': -8.23691}
{' Right': -0.0321195, ' right': -3.5450702, 'Right': -6.7542815, ' "': -6.7961116, 'right': -8.204551}
{' Right': -0.11345279, ' right': -2.27075, 'Right': -6.4768133, ' "': -6.5421233, 'right': -7.371406}
{' Right': -0.08608115, ' right': -2.532519, 'Right': -6.67045, ' "': -6.846258, 'right': -7.678107}
{' Right': -0.054485492, ' right': -2.9948997, 'Right': -6.6793633, ' "': -6.767648, 'right': -7.9403687}
{' Right': -0.04942754, ' right': -3.0892415, 'Right': -6.721323, ' "': -6.9473953, 'right': -8.098835}
{' Left': -0.20056029, ' left': -1.7119663, 'Left': -7.815867, ' "': -7.8247147, 'left': -7.827959}
{' Left': -0.33540797, ' left': -1.2636153, ' "': -6.9811964, 'Left': -7.254477, 'left': -7.340424}
{' Left': -0.37067226, ' left': -1.17869, ' "': -7.20874, 'left': -7.3168426, 'Left': -7.3946238}
{' Left': -0.27213204, ' left': -1.4433967, ' "': -7.017817, 'Left': -7.4097753, 'left': -7.449834}
{' Left': -0.47793576, ' left': -0.97951317, ' "': -5.871652, 'left': -6.9984717, 'Left': -7.3156676}
{' Left': -0.5301078, ' left': -0.8937038, ' "': -7.0379796, 'left': -7.10302, 'Left': -7.4756813}
{' Left': -0.33722842, ' left': -1.2584778, ' "': -6.952821, 'left': -7.4100575, 'Left': -7.474649}
{' Left': -0.5539936, ' left': -0.8607048, ' "': -6.7214465, 'left': -7.246406, 'Left': -7.564989}
{' Right': -0.028327577, ' right': -3.809976, ' Left': -5.497173, 'Right': -7.1221995, ' left': -8.011584}
{' Right': -0.047299962, ' right': -3.1731696, ' Left': -6.171884, 'Right': -6.8086104, ' "': -7.8070064}
{' Right': -0.040484015, ' right': -3.3429341, ' Left': -5.976807, 'Right': -7.005614, ' left': -8.101042}
{' Right': -0.034163125, ' right': -3.5742552, ' Left': -5.584408, 'Right': -7.2129507, ' left': -7.833449}
{' Right': -0.05908132, ' right': -2.9821138, ' Left': -6.0007277, 'Right': -6.4741755, ' "': -6.5062394}
{' Right': -0.043392885, ' right': -3.3850312, ' Left': -5.230435, ' "': -6.7979946, 'Right': -6.851708}
{' Right': -0.049956746, ' right': -3.2677815, ' Left': -4.8759646, 'Right': -6.9022746, ' left': -6.9329863}
{' Right': -0.037348904, ' right': -3.4505684, ' Left': -5.8734555, 'Right': -7.0759797, ' "': -7.427289}
{' Left': -0.06297652, ' left': -2.8303561, ' "': -7.009866, 'Left': -7.214418, 'left': -7.875652}
{' Left': -0.08211789, ' left': -2.568528, ' "': -6.7364774, 'Left': -7.353527, 'left': -7.99623}
{' Left': -0.08030082, ' left': -2.5871272, ' "': -7.1121345, 'Left': -7.2423263, 'left': -7.886871}
{' Left': -0.088841446, ' left': -2.489333, ' "': -6.9152765, 'Left': -7.3776636, 'left': -7.800032}
{' Left': -0.16855362, ' left': -1.8901666, ' "': -6.072394, 'Left': -6.93826, 'left': -7.214705}
{' Left': -0.12636386, ' left': -2.1528473, ' "': -6.7018394, 'Left': -7.148103, 'left': -7.594513}
{' Left': -0.06986987, ' left': -2.725847, 'Left': -7.0959716, ' "': -7.174651, 'left': -7.9091005}
{' Left': -0.16126968, ' left': -1.9233946, ' "': -6.4571524, 'Left': -7.3035645, 'left': -7.516851}
{' Right': -0.017749468, ' right': -4.0973773, 'Right': -7.498595, ' "': -8.465421, 'right': -9.37728}
{' Right': -0.019475618, ' right': -4.051481, 'Right': -7.4107413, ' Left': -7.508249, ' "': -7.6503024}
{' Right': -0.023233196, ' right': -3.820413, 'Right': -7.480085, ' "': -8.388703, 'right': -9.11391}
{' Right': -0.027039586, ' right': -3.6760683, 'Right': -7.3791814, ' "': -7.9662743, ' Left': -8.733595}
{' Right': -0.049557123, ' right': -3.0767024, ' "': -7.01705, 'Right': -7.0594387, 'right': -8.432354}
{' Right': -0.0504253, ' right': -3.044167, 'Right': -7.1393876, ' "': -7.8179955, 'right': -8.5018215}
{' Right': -0.039047282, ' right': -3.3056335, 'Right': -7.1454463, ' "': -7.6166873, 'right': -8.6887245}
{' Right': -0.026387613, ' right': -3.6996853, 'Right': -7.438588, ' "': -7.6264334, 'right': -9.23803}
{' Left': -0.09463377, ' left': -2.4184349, 'Left': -7.542523, ' "': -7.7846184, 'left': -8.195175}
{' Left': -0.10042371, ' left': -2.36824, ' "': -7.1705756, 'Left': -7.181335, 'left': -7.9604053}
{' Left': -0.13644502, ' left': -2.0732012, 'Left': -7.3193, ' "': -7.3224626, 'left': -7.765677}
{' Left': -0.08662621, ' left': -2.5064528, 'Left': -7.433386, ' "': -7.5440636, 'left': -8.155863}
{' Left': -0.46006545, ' left': -1.0061833, ' "': -6.5364714, 'left': -6.95053, 'Left': -7.270936}
{' Left': -0.35552627, ' left': -1.2144245, ' "': -7.0096188, 'left': -7.286274, 'Left': -7.2906055}
{' Left': -0.16688958, ' left': -1.8870776, ' "': -6.963234, 'Left': -7.18021, 'left': -7.6958466}
{' Left': -0.16023716, ' left': -1.9269073, ' "': -6.730229, 'Left': -7.222103, 'left': -7.60125}
{' Right': -0.027184239, ' right': -4.3319726, ' Left': -4.3875318, ' left': -7.5494123, 'Right': -7.616541}
{' Right': -0.023011042, ' right': -4.237729, ' Left': -4.941708, 'Right': -7.6046643, ' left': -7.9483643}
{' Right': -0.030304048, ' right': -3.8113496, ' Left': -5.0491467, 'Right': -7.4541297, ' left': -7.7263107}
{' Right': -0.02221286, ' right': -4.21068, ' Left': -5.0967445, 'Right': -7.6733837, ' left': -8.0712}
{' Right': -0.024645114, ' right': -3.869688, ' Left': -6.3005238, 'Right': -6.9250484, 'right': -8.42078}
{' Right': -0.026410991, ' right': -3.8270621, ' Left': -5.7725477, 'Right': -7.4136367, ' left': -8.232262}
{' Right': -0.03930589, ' right': -3.6860476, ' Left': -4.466712, ' left': -6.986554, 'Right': -7.298223}
{' Right': -0.028655002, ' right': -3.74084, ' Left': -5.7313676, 'Right': -7.3375726, ' left': -8.203205}
{' Left': -0.029362895, ' left': -3.5799875, 'Left': -7.4145455, ' "': -8.370694, 'left': -8.755764}
{' Left': -0.036643796, ' left': -3.3615756, 'Left': -7.353471, ' "': -7.7166433, 'left': -8.705962}
{' Left': -0.050850417, ' left': -3.025881, 'Left': -7.4265065, ' "': -8.352215, 'left': -8.552164}
{' Left': -0.041648958, ' left': -3.2266734, 'Left': -7.4396796, ' "': -8.092642, 'left': -8.653568}
{' Left': -0.07211525, ' left': -2.6902125, 'Left': -7.161129, ' "': -7.4497337, 'left': -8.071375}
{' Left': -0.07169696, ' left': -2.6893134, 'Left': -7.327821, ' "': -8.020161, 'left': -8.317136}
{' Left': -0.06409501, ' left': -2.8021777, 'Left': -7.291683, ' "': -7.732241, 'left': -8.396324}
{' Left': -0.07000481, ' left': -2.7120872, 'Left': -7.3544564, ' "': -8.196605, 'left': -8.3377695}
{' Left': -0.16602175, ' Right': -2.157633, ' left': -3.4427798, ' "': -5.919962, ' right': -6.413328}
{' Left': -0.09100461, ' left': -3.070947, ' Right': -3.3348725, ' "': -5.8146462, ' right': -7.1624784}
{' Left': -0.07499924, ' left': -3.2059445, ' Right': -3.610495, ' "': -5.7370915, 'Left': -7.321604}
{' Left': -0.04848603, ' left': -3.2605412, ' Right': -5.068967, ' "': -6.5034533, 'Left': -7.249383}
{' Left': -0.12680237, ' Right': -2.7308786, ' left': -3.0367618, ' "': -5.7659473, ' right': -6.4978313}
{' Left': -0.058303554, ' left': -2.9242854, ' "': -6.4258285, 'Left': -7.216018, 'left': -7.9660645}
{' Left': -0.059788387, ' left': -2.9156768, ' "': -5.9781055, 'Left': -7.183098, 'left': -7.962059}
{' Left': -0.11668039, ' Right': -2.8966258, ' left': -3.0466099, ' "': -5.3193626, ' right': -6.7469215}
{' Left': -0.070154734, ' left': -2.7993016, ' Right': -5.4872837, ' "': -6.266257, 'Left': -7.633646}
{' Right': -0.068982825, ' right': -2.772022, ' "': -6.2170253, 'Right': -7.130349, ' Left': -7.1483355}
{' Right': -0.06669236, ' right': -2.7829435, ' "': -6.603002, 'Right': -7.2254176, 'right': -8.2687025}
{' Right': -0.08145365, ' right': -2.5861266, ' "': -6.532597, 'Right': -7.3452764, ' Left': -7.837334}
{' Right': -0.1491956, ' right': -2.8314464, ' Left': -2.8761623, ' left': -4.2690682, ' "': -4.8509207}
{' Right': -0.08668308, ' right': -2.571655, ' "': -5.7450747, ' Left': -6.459953, 'Right': -6.9993954}
{' Right': -0.069718525, ' right': -2.8755388, ' "': -5.3869443, ' Left': -5.4614897, ' left': -6.980115}
{' Left': -0.32610795, ' Right': -1.74434, ' left': -2.5032854, ' "': -4.1660657, ' right': -5.28699}
{' Left': -0.1130057, ' Right': -2.5962934, ' left': -3.51275, ' "': -7.0558457, ' right': -7.0916224}
{' Left': -0.06257121, ' left': -3.4151292, ' Right': -3.6619115, ' "': -7.0974965, 'Left': -7.395972}
{' Left': -0.0871131, ' left': -2.679421, ' Right': -4.385892, ' "': -7.0633163, 'Left': -7.2363095}
{' Left': -0.062419254, ' left': -2.949296, ' Right': -5.031207, ' "': -7.4476523, 'Left': -7.4917}
{' Left': -0.3859417, ' Right': -1.3296673, ' left': -3.090829, ' right': -5.075162, ' "': -5.98717}
{' Left': -0.09400353, ' left': -2.4678094, ' Right': -5.962602, ' "': -6.9822783, 'Left': -7.116281}
{' Left': -0.058565985, ' left': -2.9314315, ' Right': -6.3906164, 'Left': -7.036113, ' "': -7.386027}
{' Left': -0.19207835, ' Right': -2.008864, ' left': -3.3248775, ' right': -6.3061643, ' "': -6.401959}
{' Right': -0.52222735, ' Left': -1.0927098, ' left': -3.152881, ' right': -3.8391943, ' "': -5.1312814}
{' Left': -0.58736914, ' Right': -1.0164101, ' left': -2.820424, ' right': -4.5020037, ' "': -4.593131}
{' Right': -0.18216708, ' Left': -2.1945076, ' right': -3.487951, ' left': -4.098615, ' "': -4.9837623}
{' Right': -0.03913982, ' right': -3.6319685, ' Left': -4.8467355, ' "': -6.1242623, ' left': -6.9684315}
{' Left': -0.3330867, ' Right': -1.584601, ' left': -2.7574317, ' "': -4.967299, ' right': -5.066876}
{' Right': -0.018744316, ' right': -4.113766, ' "': -6.815394, 'Right': -7.173232, ' Left': -8.607527}
{' Right': -0.022866199, ' right': -3.9272046, ' "': -6.3063455, 'Right': -7.0963655, 'right': -8.923327}
{' Right': -0.7425344, ' Left': -0.8080023, ' left': -2.9994543, ' right': -4.2228904, ' "': -4.3820777}
{' Left': -0.05810417, ' left': -2.9819646, ' Right': -5.5907254, ' "': -7.0085626, 'Left': -7.370779}
{' Left': -0.114967994, ' left': -2.530173, ' Right': -3.6775327, ' "': -6.605665, ' right': -6.9138355}
{' Left': -0.081253044, ' left': -2.6581612, ' Right': -5.267765, ' "': -6.565311, 'Left': -7.289001}
{' Left': -0.05577518, ' left': -2.997849, ' Right': -6.2466054, ' "': -6.6387887, 'Left': -7.3178253}
{' Left': -0.12618999, ' left': -2.1601102, ' "': -6.7489657, 'Left': -7.1111145, ' Right': -7.417579}
{' Left': -0.06519495, ' left': -2.8246057, ' Right': -6.5379634, ' "': -6.753265, 'Left': -7.2715073}
{' Left': -0.09714375, ' left': -2.5210311, ' Right': -4.7171597, ' "': -6.5472527, 'Left': -7.1505647}
{' Left': -0.10847884, ' left': -2.3489459, ' Right': -5.383314, ' "': -6.6971817, 'Left': -7.2495823}
{' Right': -0.09548006, ' right': -2.4169657, ' "': -7.2558074, 'Right': -7.259496, 'right': -7.8543925}
{' Right': -0.11663264, ' right': -2.2287273, ' "': -6.998003, 'Right': -7.030138, 'right': -7.5630093}
{' Right': -0.077026665, ' right': -2.6268752, ' "': -7.1973825, 'Right': -7.222681, 'right': -8.066851}
{' Right': -0.04839781, ' right': -3.081517, ' "': -7.4436, 'Right': -7.4546804, 'right': -8.715555}
{' Right': -0.10963024, ' right': -2.2898917, 'Right': -6.9132075, ' "': -6.942819, 'right': -7.5498595}
{' Right': -0.091432564, ' right': -2.4616108, 'Right': -7.0209804, ' "': -7.2279816, 'right': -7.7909107}
{' Right': -0.115546696, ' right': -2.2387824, 'Right': -6.917537, ' "': -6.996391, 'right': -7.5042872}
{' Right': -0.08500262, ' right': -2.5336416, ' "': -7.081645, 'Right': -7.0990653, 'right': -7.8313746}
{' Left': -0.07986024, ' left': -2.6207576, ' Right': -6.0076704, 'Left': -7.256883, 'left': -7.725482}
{' Left': -0.052634865, ' left': -3.0555966, ' Right': -5.9494677, 'Left': -7.1837096, ' "': -7.809335}
{' Left': -0.063454375, ' left': -2.8330712, ' Right': -6.971867, 'Left': -7.0114427, 'left': -7.813086}
{' Left': -0.03192521, ' left': -3.5017624, 'Left': -7.2330656, ' "': -8.139665, 'left': -8.546578}
{' Left': -0.0563371, ' left': -2.9447587, 'Left': -6.94707, ' "': -7.234367, 'left': -7.8646197}
{' Left': -0.056470033, ' left': -2.939458, 'Left': -6.968463, ' "': -7.5920663, 'left': -7.883555}
{' Left': -0.060076654, ' left': -2.9143877, ' Right': -6.121215, 'Left': -7.0313287, ' "': -7.556355}
{' Left': -0.047221728, ' left': -3.1148007, 'Left': -7.0550413, ' "': -7.841056, 'left': -8.12153}
{' Right': -0.025419744, ' right': -3.7611065, 'Right': -7.0222797, ' "': -7.3600616, 'right': -8.642021}
{' Right': -0.018687654, ' right': -4.0921054, 'Right': -7.057697, ' "': -7.2984285, 'right': -8.802915}
{' Right': -0.017634198, ' right': -4.131078, 'Right': -7.2258987, ' "': -7.555029, 'right': -9.141409}
{' Right': -0.011566, ' right': -4.5695014, 'Right': -7.4324584, ' "': -7.765016, 'right': -9.717645}
{' Right': -0.0125339525, ' right': -4.533244, ' "': -7.1738977, 'Right': -7.2132096, ' RIGHT': -9.2789545}
{' Right': -0.013616431, ' right': -4.407221, 'Right': -7.2666507, ' "': -7.649343, 'right': -9.354033}
{' Right': -0.020052316, ' right': -4.0150414, 'Right': -7.011381, ' "': -7.3278995, 'right': -8.807201}
{' Right': -0.012304442, ' right': -4.50947, 'Right': -7.4483733, ' "': -7.5764637, 'right': -9.532107}
{' Left': -0.1767107, ' Right': -2.2799687, ' left': -2.9611955, ' right': -5.4260793, ' "': -5.932184}
{' Left': -0.16127437, ' left': -2.6166632, ' Right': -2.6886926, ' right': -5.486513, ' "': -5.995781}
{' Left': -0.11253905, ' left': -2.6249368, ' Right': -3.5898817, ' "': -5.6312556, ' right': -6.389871}
{' Left': -0.21826035, ' Right': -2.1674485, ' left': -2.675379, ' right': -5.069866, ' "': -5.27335}
{' Left': -0.14021476, ' left': -2.5496595, ' Right': -3.0914454, ' right': -5.760616, ' "': -5.7993236}
{' Left': -0.15225945, ' left': -2.4172626, ' Right': -3.1150603, ' right': -5.6704187, ' "': -5.8111873}
{' Left': -0.16699277, ' left': -2.53443, ' Right': -2.744473, ' right': -5.3592973, ' "': -5.4337487}
{' Left': -0.18951663, ' Right': -2.479485, ' left': -2.5382676, ' right': -5.2748, ' "': -5.5948853}
{' Right': -0.082397975, ' right': -2.5652776, 'Right': -7.0038376, ' "': -7.2152157, 'right': -8.09606}
{' Right': -0.113630004, ' right': -2.2602708, 'Right': -6.529142, ' "': -7.086589, 'right': -7.4712744}
{' Right': -0.09595837, ' right': -2.4193091, ' "': -6.866842, 'Right': -6.8787374, 'right': -7.94021}
{' Right': -0.09670014, ' right': -2.4180405, ' "': -6.585511, 'Right': -6.7709823, 'right': -7.708968}
{' Right': -0.07320249, ' right': -2.6903956, 'Right': -6.698713, ' "': -6.9066677, 'right': -7.7624946}
{' Right': -0.103522986, ' right': -2.3455904, 'Right': -6.7525973, ' "': -7.0573783, 'right': -7.6951675}
{' Right': -0.08898542, ' right': -2.49238, 'Right': -6.8446016, ' "': -7.051773, 'right': -7.9237003}
{' Right': -0.08080849, ' right': -2.585657, 'Right': -6.96686, ' "': -7.0393696, 'right': -7.8985705}
{' Left': -0.07509644, ' left': -2.7306175, ' Right': -5.1869106, 'Left': -7.3532963, 'left': -7.875214}
{' Left': -0.099760175, ' left': -2.5046024, ' Right': -4.56932, 'Left': -7.021133, ' right': -7.0465736}
{' Left': -0.11130125, ' left': -2.3268623, ' Right': -5.2431865, 'Left': -6.9950867, 'left': -7.5302005}
{' Left': -0.08555203, ' left': -2.6178205, ' Right': -5.0545516, 'Left': -7.0421214, ' "': -7.1373253}
{' Left': -0.054245774, ' left': -3.005738, ' Right': -6.7052307, 'Left': -6.886061, ' "': -7.527365}
{' Left': -0.08536759, ' left': -2.5517926, ' Right': -6.306317, 'Left': -6.8667965, 'left': -7.5166116}
{' Left': -0.078830004, ' left': -2.6551507, ' Right': -5.6558256, 'Left': -7.0078998, ' "': -7.6820307}
{' Left': -0.09145216, ' left': -2.4860425, ' Right': -6.003494, 'Left': -7.1962204, 'left': -7.8782086}
{' Right': -0.04310845, ' right': -3.2154925, ' "': -7.0107136, 'Right': -7.095164, 'right': -8.766312}
{' Right': -0.049202308, ' right': -3.0818105, 'Right': -6.991123, ' "': -7.2221284, 'right': -8.579571}
{' Right': -0.049571965, ' right': -3.0776079, ' "': -6.8452926, 'Right': -7.036455, 'right': -8.656342}
{' Right': -0.049544975, ' right': -3.0910184, 'Right': -6.9458327, ' "': -6.988485, ' Left': -7.3659396}
{' Right': -0.034319792, ' right': -3.4520254, 'Right': -6.978728, ' "': -7.047541, 'right': -8.911563}
{' Right': -0.035410002, ' right': -3.41021, 'Right': -7.0227585, ' "': -7.326217, 'right': -9.003382}
{' Right': -0.030846631, ' right': -3.5699587, ' "': -6.887931, 'Right': -6.982913, 'right': -8.946603}
{' Right': -0.033303425, ' right': -3.477485, ' "': -7.0673857, 'Right': -7.177703, 'right': -8.988253}
{' Left': -0.25308576, ' Right': -1.6557481, ' left': -3.5692575, ' right': -5.7284083, 'Left': -7.6336417}
{' Left': -0.30144614, ' Right': -1.5428592, ' left': -3.245122, ' right': -5.2298326, ' "': -7.0425406}
{' Left': -0.05583707, ' left': -3.2739365, ' Right': -4.2374067, ' "': -7.192598, 'Left': -7.2698774}
{' Left': -0.04019284, ' left': -3.5487814, ' Right': -4.726842, 'Left': -7.2070813, ' "': -7.346398}
{' Left': -0.09486706, ' Right': -3.0853665, ' left': -3.179086, ' right': -6.847588, 'Left': -6.975497}
{' Left': -0.0626954, ' left': -2.9907463, ' Right': -4.8057814, 'Left': -7.0096307, ' "': -7.0562544}
{' Left': -0.0994553, ' Right': -2.9346757, ' left': -3.2744946, ' "': -6.6531167, ' right': -6.722994}
{' Left': -0.40962297, ' Right': -1.2422435, ' left': -3.2662036, ' right': -4.9840875, ' "': -6.7210546}
{' Right': -0.08372784, ' Left': -3.2048175, ' right': -3.3684452, ' left': -5.475594, 'Right': -7.4328713}
{' Right': -0.050043724, ' right': -3.3133435, ' Left': -4.6439576, ' left': -6.7624726, 'Right': -7.122455}
{' Right': -0.033751275, ' right': -3.458121, 'Right': -7.1762166, ' "': -7.7508683, ' Left': -8.194426}
{' Right': -0.020732364, ' right': -4.0447702, ' Left': -6.457315, 'Right': -7.294755, ' "': -7.606147}
{' Right': -0.045161173, ' right': -3.1808136, 'Right': -6.8735394, ' "': -7.1842575, ' Left': -7.808323}
{' Right': -0.0381646, ' right': -3.3445265, 'Right': -6.919033, ' "': -7.1345735, 'right': -8.395237}
{' Right': -0.03237182, ' right': -3.5964549, ' Left': -6.0641823, 'Right': -7.0412064, ' "': -7.120625}
{' Right': -0.16345255, ' Left': -2.3241448, ' right': -3.3039498, ' left': -4.3148003, ' "': -6.4081383}
{' Left': -0.05034788, ' left': -3.3420997, ' Right': -4.361879, 'Left': -7.587978, ' right': -8.452774}
{' Left': -0.087533474, ' Right': -3.1500254, ' left': -3.242727, ' right': -7.060302, 'Left': -7.429828}
{' Left': -0.040374286, ' left': -3.314809, ' Right': -6.14425, 'Left': -7.269788, 'left': -8.546763}
{' Left': -0.028506026, ' left': -3.678376, ' Right': -6.315724, 'Left': -7.305802, 'left': -8.59779}
{' Left': -0.040795088, ' left': -3.4723954, ' Right': -4.9036202, 'Left': -7.052191, ' "': -8.2095375}
{' Left': -0.038282327, ' left': -3.3524475, ' Right': -6.739263, 'Left': -7.0259867, 'left': -8.266836}
