{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Down': -0.18970035, ' down': -2.3808815, ' Up': -2.6074326, ' up': -5.2523603, 'Down': -7.156993}
{' Up': -0.6121666, ' Down': -0.9649154, ' down': -2.9048188, ' up': -3.9484494, 'Down': -6.9252825}
{' Down': -0.16118957, ' down': -1.9214395, 'down': -6.7661486, 'Down': -6.780101, ' DOWN': -9.461114}
{' Down': -0.19094777, ' down': -1.7671233, 'down': -6.515439, 'Down': -6.6934023, ' "': -8.736426}
{' Down': -0.2765031, ' Up': -1.9229034, ' down': -2.4518075, ' up': -4.9992642, 'Down': -6.7822747}
{' Up': -0.29255214, ' Down': -2.2309484, ' up': -2.4840384, ' down': -2.7878675, ' UP': -7.654738}
{' Down': -0.2997481, ' down': -1.3536135, 'Down': -7.8015523, 'down': -8.432627, ' DOWN': -9.946072}
{' Down': -0.60844105, ' down': -0.7878998, 'Down': -7.912205, 'down': -8.091282, ' "': -9.0103855}
{' Down': -0.3808691, ' down': -1.1537648, ' Up': -7.743339, 'Down': -7.951687, 'down': -8.23708}
{' Down': -0.30186647, ' Up': -1.6017339, ' down': -2.9682004, ' up': -5.4519176, 'Down': -6.1707726}
{' Down': -0.14392188, ' down': -2.044364, 'Down': -5.941687, 'down': -6.4866853, ' Up': -8.3151455}
{' Down': -0.052784465, ' down': -3.0037942, 'Down': -6.74943, 'down': -7.523035, ' "': -10.091492}
{' Down': -0.07009661, ' Up': -2.9164402, ' down': -4.4157343, 'Down': -7.2816763, ' up': -7.743325}
{' Down': -0.68329483, ' Up': -0.73130476, ' down': -4.610127, ' up': -5.7180314, 'Down': -8.347214}
{' Down': -0.021826189, ' down': -3.8544602, 'Down': -8.138531, 'down': -9.372213, ' DOWN': -10.752815}
{' Down': -0.050145306, ' down': -3.0278256, 'Down': -8.227411, 'down': -8.844409, ' "': -10.292546}
{' Down': -0.025963785, ' down': -4.1402955, ' Up': -4.6930623, 'Down': -8.228542, ' up': -9.010024}
{' Up': -0.56955457, ' Down': -0.9570764, ' down': -3.5795832, ' up': -4.0561113, 'Down': -6.0399237}
{' Down': -0.1540395, ' down': -1.9983501, 'Down': -5.3910904, 'down': -5.976696, ' DOWN': -9.568077}
{' Down': -0.24115308, ' down': -1.5747902, 'Down': -5.483714, 'down': -5.828517, ' DOWN': -9.42216}
{' Down': -0.15288973, ' Up': -2.6328282, ' down': -2.8090842, ' up': -5.4497814, 'Down': -5.6475487}
{' Up': -0.03052961, ' up': -3.5537593, ' Down': -6.9115467, ' down': -8.524265, ' UP': -9.164043}
{' Down': -0.019747086, ' down': -3.94421, 'Down': -8.759695, 'down': -10.777426, ' DOWN': -12.258252}
{' Up': -0.022559382, ' up': -3.9920778, ' Down': -5.6521254, ' down': -8.287351, 'Up': -10.156547}
{' Down': -0.0645894, ' down': -2.7743728, 'Down': -9.18419, 'down': -10.0072775, ' "': -12.063718}
{' Up': -0.013048747, ' up': -4.555451, ' Down': -6.273126, 'Up': -8.181053, ' down': -8.898843}
{' Down': -0.014148162, ' down': -4.305341, 'Down': -7.6505218, 'down': -9.621166, ' DOWN': -11.690445}
{' Up': -0.019675536, ' up': -3.9752743, ' Down': -7.890282, 'Up': -8.416041, ' UP': -10.088711}
{' Down': -0.047972582, ' down': -3.0701435, 'Down': -8.189476, 'down': -8.868547, ' DOWN': -12.335884}
{' Down': -0.087725475, ' Up': -3.1682746, ' down': -3.2185733, 'Down': -6.9520044, ' "': -7.9461155}
{' Down': -0.012718057, ' down': -4.4366283, 'Down': -7.2759433, 'down': -9.3726635, ' DOWN': -11.103994}
{' Up': -0.12424966, ' Down': -2.2631085, ' up': -4.9153547, ' down': -5.352887, 'Up': -8.171935}
{' Down': -0.042800143, ' down': -3.1920235, 'Down': -7.462116, 'down': -8.451205, ' "': -11.722518}
{' Up': -0.08976937, ' up': -2.562439, ' Down': -5.3321133, ' down': -5.6895676, ' UP': -8.275952}
{' Down': -0.13354921, ' down': -2.0827487, 'Down': -8.086449, 'down': -9.254227, ' DOWN': -10.9370365}
{' Up': -0.13720351, ' up': -2.0917134, ' Down': -5.8900266, ' down': -6.3763504, ' UP': -9.199047}
{' Down': -0.315427, ' down': -1.3091118, 'Down': -8.278155, 'down': -8.624724, ' DOWN': -11.076974}
{' Down': -0.11666948, ' down': -2.525973, ' Up': -3.6426952, 'Down': -6.024367, 'down': -7.702288}
{' Down': -0.0097155925, ' down': -4.7443614, 'Down': -7.048011, 'down': -9.654588, ' DOWN': -10.586123}
{' Up': -0.2619469, ' Down': -1.6113521, ' down': -4.1399813, ' up': -4.3644133, 'Up': -7.1308618}
{' Down': -0.027839307, ' down': -3.6296647, 'Down': -7.1902533, 'down': -8.767488, ' DOWN': -11.285489}
{' Down': -0.035519563, ' Up': -3.9952993, ' down': -4.1331434, 'Down': -8.316974, ' up': -9.755128}
{' Down': -0.004455738, ' down': -5.4650574, 'Down': -8.602768, 'down': -10.870799, ' DOWN': -11.556004}
{' Up': -0.20364213, ' Down': -1.7226794, ' up': -5.687221, ' down': -6.176243, ' UP': -9.89354}
{' Down': -0.0152879385, ' down': -4.19933, 'Down': -9.06732, 'down': -10.047585, ' DOWN': -12.31848}
{' Down': -0.049026255, ' down': -3.202154, 'Down': -5.422298, ' Up': -6.135772, 'down': -7.796262}
{' Down': -0.029649952, ' down': -3.6936152, 'Down': -5.5432434, 'down': -7.916202, ' DOWN': -10.04736}
{' Up': -0.042522345, ' Down': -3.6915014, ' up': -4.336849, ' down': -6.4509, 'Up': -6.4755144}
{' Down': -0.06567184, ' down': -2.832199, 'Down': -5.563421, 'down': -7.128066, ' DOWN': -10.58014}
{' Down': -0.39385653, ' down': -1.347794, ' Up': -2.8196206, ' up': -5.3256016, 'Down': -7.3266296}
{' Down': -0.23459044, ' down': -1.5698011, 'Down': -7.4534388, 'down': -7.7795706, ' DOWN': -11.41876}
{' down': -0.31316736, ' Down': -1.3179128, 'down': -7.236203, 'Down': -8.090322, ' Up': -9.646466}
{' Down': -0.49969757, ' down': -0.9357213, 'down': -7.713231, 'Down': -7.736075, ' Up': -9.812747}
{' Down': -0.17286193, ' down': -2.2364721, ' Up': -3.0477493, 'Down': -6.1352334, ' up': -6.5816164}
{' Down': -0.027140144, ' down': -3.6514783, 'Down': -7.284525, 'down': -8.977324, ' DOWN': -12.059353}
{' Down': -0.09534584, ' down': -2.4147027, 'Down': -6.970505, 'down': -7.8010907, ' "': -9.153657}
{' Down': -0.04306097, ' down': -3.187647, 'Down': -7.312237, 'down': -8.610815, ' DOWN': -11.240812}
{' Down': -0.040233854, ' down': -3.425728, ' Up': -5.4424896, 'Down': -6.185526, 'down': -7.8697143}
{' Down': -0.02522314, ' down': -3.7640514, 'Down': -6.522819, 'down': -8.41721, ' DOWN': -11.215103}
{' Down': -0.14693472, ' down': -2.0115337, 'Down': -6.320209, 'down': -7.1257033, ' "': -8.507141}
{' Down': -0.06375951, ' down': -2.8152986, 'Down': -6.5682416, 'down': -7.8392754, ' "': -10.105036}
{' Down': -0.35030457, ' down': -1.2892312, ' Up': -4.082368, 'Down': -6.6235266, ' up': -6.8210993}
{' Down': -0.1597588, ' down': -1.9172032, 'Down': -7.649286, 'down': -8.918147, ' DOWN': -11.117899}
{' Down': -0.6850315, ' down': -0.7029376, 'Down': -7.8617277, 'down': -8.05062, ' "': -10.153016}
{' Down': -0.26035035, ' down': -1.4764242, 'Down': -7.74923, 'down': -8.29993, ' Up': -9.924637}
{' Down': -0.13088307, ' down': -2.2195957, 'Down': -5.0246744, ' Up': -5.159371, 'down': -6.564238}
{' Down': -0.08138595, ' down': -2.619058, 'Down': -5.4049025, 'down': -7.2107763, ' DOWN': -9.984235}
{' Down': -0.20139118, ' down': -1.7455349, 'Down': -5.168995, 'down': -6.2573905, ' DOWN': -8.993716}
{' Down': -0.08122906, ' down': -2.6172855, 'Down': -5.5022416, 'down': -7.0732217, ' DOWN': -9.675612}
{' Down': -0.027941968, ' Up': -3.9464483, ' down': -4.8560863, 'Down': -7.9725585, ' up': -9.976972}
{' Down': -0.008086772, ' down': -4.8603354, 'Down': -8.24101, 'down': -10.273736, ' DOWN': -11.974448}
{' Down': -0.031298112, ' down': -3.4940038, 'Down': -8.065943, 'down': -9.327332, ' "': -11.164681}
{' Down': -0.011561356, ' down': -4.4903574, 'Down': -8.46723, 'down': -10.241894, ' Up': -10.820653}
{' Down': -0.28407687, ' Up': -1.6987727, ' down': -3.000288, 'Down': -4.6481347, ' up': -5.9310246}
{' Down': -0.063823946, ' down': -2.9399471, 'Down': -4.8478184, 'down': -6.8411617, ' DOWN': -10.635107}
{' Down': -0.26368335, ' down': -1.5304317, 'Down': -4.5785427, 'down': -5.3059025, ' DOWN': -10.098683}
{' Down': -0.100925684, ' down': -2.4502985, 'Down': -4.8960075, 'down': -6.1649423, ' Up': -9.395523}
{' Up': -0.007941068, ' up': -5.3482637, ' Down': -5.842814, ' UP': -8.828185, ' down': -9.83406}
{' Up': -0.6902066, ' Down': -0.7110081, ' down': -5.5501246, ' up': -5.7101784, ' UP': -9.424126}
{' Up': -0.06887809, ' Down': -2.8448007, ' up': -4.8782406, ' down': -7.3339653, ' UP': -9.099797}
{' Up': -0.17299585, ' Down': -1.9312091, ' up': -4.7572985, ' down': -5.3068137, ' "': -8.605044}
{' Up': -0.0046851304, ' up': -5.677922, ' Down': -6.973925, ' UP': -8.666836, 'Up': -9.211348}
{' Up': -0.13351533, ' Down': -2.1144476, ' up': -5.701964, ' down': -7.351502, ' UP': -8.817217}
{' Up': -0.23493688, ' Down': -1.6039095, ' up': -5.106145, ' down': -6.3128915, ' UP': -8.800101}
{' Up': -0.007100081, ' up': -5.2397523, ' Down': -6.59894, ' UP': -8.497721, 'Up': -9.07888}
{' Up': -0.0074504125, ' up': -5.198456, ' Down': -6.800281, ' UP': -7.843878, 'Up': -8.34692}
{' Down': -0.6618861, ' Up': -0.7588672, ' down': -4.6603737, ' up': -5.2882023, 'Down': -7.331516}
{' Down': -0.2816509, ' Up': -1.5421432, ' down': -3.7153018, ' up': -5.26219, 'Down': -6.8563957}
{' Up': -0.033207297, ' Down': -3.9756033, ' up': -4.4564843, ' down': -6.9795895, ' "': -7.2536716}
{' Up': -0.019285407, ' up': -4.0212955, ' UP': -7.10638, ' Down': -8.59721, ' "': -9.313028}
{' Down': -0.6285114, ' Up': -0.86385727, ' down': -3.7014408, ' up': -3.92325, ' "': -8.151694}
{' Up': -0.097861946, ' Down': -2.8152769, ' up': -3.4887004, ' down': -6.0721984, ' UP': -8.149213}
{' Up': -0.07104825, ' up': -2.8226523, ' Down': -4.9968348, ' down': -6.6093664, ' UP': -7.607452}
{' Up': -0.017637473, ' Down': -4.5317383, ' up': -5.332649, ' "': -7.393629, 'Up': -7.556919}
{' Down': -0.57976276, ' Up': -0.84362733, ' down': -5.2414846, ' up': -6.15441, 'Down': -6.6268315}
{' Up': -0.42453843, ' Down': -1.0961713, ' up': -5.293675, ' down': -5.346768, 'Down': -7.199511}
{' Up': -0.31157288, ' Down': -1.3866613, ' down': -4.8857474, ' up': -5.18325, ' "': -5.832525}
{' Up': -0.0019444221, ' up': -6.726958, ' Down': -7.6844697, ' UP': -8.410185, 'Up': -10.197485}
{' Down': -0.46482095, ' Up': -0.99694264, ' down': -6.51197, ' up': -6.9531245, ' UP': -9.120174}
{' Up': -0.030269213, ' Down': -3.6044402, ' up': -6.077649, ' UP': -8.577235, ' down': -9.441003}
{' Up': -0.28571272, ' Down': -1.4079871, ' up': -6.163974, ' down': -6.6640944, ' "': -8.429542}
{' Up': -0.0125561645, ' up': -4.7254524, ' Down': -6.343904, 'Up': -6.6056647, ' UP': -7.961256}
{' Up': -0.16948648, ' Down': -1.9390157, ' up': -4.79959, ' down': -6.3687377, 'Up': -6.9721513}
{' Up': -0.022931147, ' up': -4.387082, ' Down': -4.782443, 'Up': -6.727492, ' UP': -7.9561205}
{' Up': -0.6154889, ' Down': -0.87571424, ' down': -3.7306583, ' up': -4.269246, 'Down': -5.9187245}
{' Down': -0.014475331, ' down': -4.252104, 'Down': -9.089457, 'down': -11.026255, ' DOWN': -12.15675}
{' Up': -0.013942822, ' up': -4.300104, ' UP': -8.421825, 'Up': -9.916692, ' "': -12.076105}
{' Down': -0.06213094, ' down': -2.812966, 'Down': -8.810061, 'down': -9.79569, ' DOWN': -12.177501}
{' Up': -0.01445489, ' up': -4.2535257, ' UP': -9.145827, 'Up': -10.511947, 'up': -13.042879}
{' Down': -0.019621314, ' down': -3.9688609, 'Down': -7.738306, 'down': -9.40424, ' DOWN': -11.598349}
{' Up': -0.007972429, ' up': -4.8765063, ' UP': -8.790896, 'Up': -8.817506, 'up': -11.596716}
{' Down': -0.0703644, ' down': -2.7005656, 'Down': -7.514206, 'down': -8.418928, ' DOWN': -11.851822}
{' Up': -0.012054894, ' up': -4.4437237, 'Up': -8.909786, ' UP': -9.445772, 'up': -11.133379}
{' Down': -0.014477932, ' down': -4.3092203, 'Down': -7.151743, 'down': -9.033938, ' DOWN': -11.174346}
{' Up': -0.0059116045, ' up': -5.195811, 'Up': -8.577824, ' UP': -8.965219, ' "': -10.64501}
{' Down': -0.034361493, ' down': -3.4193769, 'Down': -7.0864887, 'down': -8.5708275, ' DOWN': -11.577329}
{' Up': -0.0047447183, ' up': -5.4199724, 'Up': -8.624392, ' UP': -9.111235, 'up': -11.319503}
{' Down': -0.2646873, ' down': -1.4606386, 'Down': -8.145382, 'down': -8.974412, ' "': -10.708316}
{' Up': -0.18897003, ' up': -1.763801, ' UP': -7.3955736, 'Up': -9.098971, ' "': -10.163179}
{' Down': -0.3443256, ' down': -1.2354445, 'Down': -7.9745555, 'down': -8.437491, ' "': -10.932906}
{' Up': -0.13164625, ' up': -2.0965874, ' UP': -7.9379854, 'Up': -9.322232, 'up': -10.750529}
{' Down': -0.020647783, ' down': -3.9997945, 'Down': -6.2809033, 'down': -8.612453, ' DOWN': -9.904135}
{' Up': -0.017981078, ' up': -4.0890408, 'Up': -7.487177, ' UP': -7.7333145, 'up': -10.075748}
{' Down': -0.040725555, ' down': -3.2716386, 'Down': -6.38557, 'down': -8.27526, ' DOWN': -11.047948}
{' Up': -0.005806266, ' up': -5.2468343, 'Up': -7.9828644, ' UP': -8.788094, 'up': -10.75692}
{' Down': -0.0023466034, ' down': -6.155628, 'Down': -8.54777, 'down': -11.076651, ' DOWN': -11.9556875}
{' Up': -0.001549684, ' up': -6.6171594, ' UP': -8.808042, 'Up': -9.859751, ' "': -12.005895}
{' Down': -0.0080392435, ' down': -4.8600326, 'Down': -8.465135, 'down': -10.163154, ' DOWN': -12.218098}
{' Up': -0.0027401613, ' up': -5.974616, ' UP': -8.904017, 'Up': -9.871631, 'up': -12.604256}
{' Down': -0.04194311, ' down': -3.3028643, 'Down': -5.5902557, 'down': -7.5697746, ' DOWN': -10.341251}
{' Up': -0.05004918, ' up': -3.0777094, 'Up': -6.242813, ' UP': -7.3681607, 'up': -8.861912}
{' Down': -0.13545996, ' down': -2.1201801, 'Down': -5.2595463, 'down': -6.549143, ' DOWN': -10.276389}
{' Up': -0.026426658, ' up': -3.733311, 'Up': -6.506428, ' UP': -7.501423, 'up': -9.128366}
{' Down': -0.02720084, ' down': -3.627447, 'Down': -8.57213, 'down': -10.412093, ' Up': -10.838554}
{' Up': -0.0042356723, ' up': -5.5136485, ' UP': -8.771932, 'Up': -10.369554, ' Down': -11.867237}
{' Down': -0.021892166, ' down': -3.8484075, 'Down': -8.182679, 'down': -10.15953, ' DOWN': -10.92833}
{' Up': -0.025781628, ' up': -3.716503, ' UP': -6.880611, 'Up': -9.341651, 'up': -11.7951}
{' Down': -0.037570495, ' down': -3.3185456, 'Down': -7.52411, 'down': -9.123097, ' DOWN': -11.484646}
{' Up': -0.0059890146, ' up': -5.1653094, 'Up': -8.855217, ' UP': -9.164404, 'up': -11.828319}
{' Down': -0.019407796, ' down': -3.988173, 'Down': -7.450973, 'down': -9.403967, ' DOWN': -10.877396}
{' Up': -0.0106135, ' up': -4.5977163, ' UP': -8.3104925, 'Up': -8.475297, 'up': -10.843554}
{' Down': -0.037132185, ' down': -3.3591077, 'Down': -6.5842433, 'down': -8.372821, ' "': -10.104787}
{' Up': -0.004476153, ' up': -5.515878, 'Up': -8.399114, ' UP': -8.543872, 'up': -11.24568}
{' Down': -0.021171639, ' down': -3.9446008, 'Down': -6.6260796, 'down': -8.532298, ' DOWN': -10.1292305}
{' Up': -0.015858905, ' up': -4.2010646, ' UP': -7.9181743, 'Up': -8.028771, 'up': -10.261119}
{' Down': -0.080849394, ' down': -2.560437, 'Down': -8.081063, 'down': -9.723472, ' "': -11.143002}
{' Up': -0.037990548, ' up': -3.3005905, ' UP': -7.977604, 'Up': -9.694748, 'up': -11.930913}
{' Down': -0.13707963, ' down': -2.0608182, 'Down': -7.530176, 'down': -8.800589, ' DOWN': -10.130027}
{' Up': -0.17953046, ' up': -1.8116087, ' UP': -7.323722, 'Up': -8.55693, 'up': -9.987157}
{' Down': -0.03290222, ' down': -3.5088255, 'Down': -6.1658077, 'down': -8.235708, ' DOWN': -10.116964}
{' Up': -0.0053493553, ' up': -5.4728327, ' UP': -7.424916, 'Up': -7.5975046, 'up': -10.53935}
{' Down': -0.044311907, ' down': -3.195992, 'Down': -6.215791, 'down': -8.001415, ' DOWN': -9.507943}
{' Up': -0.06761769, ' up': -2.7583888, 'Up': -6.8954234, ' UP': -7.1964207, 'up': -8.650997}
{' Down': -0.0027772784, ' down': -5.9835796, 'Down': -8.434195, 'down': -11.095265, ' "': -11.451259}
{' Up': -0.00084741286, ' up': -7.4762683, ' UP': -8.339837, 'Up': -10.194765, ' "': -13.356319}
{' Down': -0.0024546862, ' down': -6.1477165, 'Down': -8.220061, 'down': -10.861002, ' DOWN': -11.031399}
{' Up': -0.003945044, ' up': -5.705452, ' UP': -7.6082306, 'Up': -9.254846, ' "': -11.6075325}
{' Down': -0.053641856, ' down': -3.198299, 'Down': -4.5699363, 'down': -6.94507, ' DOWN': -9.747766}
{' Up': -0.031301, ' up': -3.5993648, 'Up': -5.929912, ' UP': -7.353622, 'up': -8.771829}
{' Down': -0.12110918, ' down': -2.2565901, 'Down': -4.9349694, 'down': -6.288484, ' DOWN': -8.522106}
{' Up': -0.19698454, ' up': -1.75999, 'Up': -5.5169916, ' UP': -6.265794, 'up': -7.238295}
{' Up': -0.23679005, ' Down': -1.6338161, ' up': -4.3415737, ' down': -6.0150266, ' UP': -9.1082535}
{' Up': -0.03793266, ' up': -3.44007, ' Down': -5.430705, ' UP': -7.9424176, ' down': -8.2599125}
{' Up': -0.0919782, ' up': -3.1028688, ' Down': -3.2640152, ' down': -5.531725, ' UP': -7.701874}
{' Down': -0.12392537, ' Up': -2.3315973, ' down': -4.093501, ' up': -5.9770913, 'Down': -9.122851}
{' Up': -0.15463778, ' Down': -2.1023517, ' up': -3.984357, ' down': -6.137157, ' UP': -9.127063}
{' Up': -0.017399453, ' up': -4.227961, ' Down': -6.0914364, ' UP': -8.801472, 'Up': -8.950201}
{' Up': -0.045501582, ' Down': -3.7938113, ' up': -3.8971307, ' down': -6.728868, ' UP': -8.740508}
{' Down': -0.31876808, ' Up': -1.374907, ' down': -4.2541814, ' up': -5.2572083, 'Down': -7.80222}
{' Up': -0.34806442, ' Down': -1.3116703, ' up': -4.1609893, ' down': -4.8525944, 'Down': -8.035834}
{' Up': -0.025243435, ' up': -4.3024917, ' Down': -4.6013484, ' down': -7.70535, ' "': -7.841092}
{' Up': -0.04074604, ' Down': -3.834987, ' up': -4.1737585, ' down': -6.665686, ' "': -7.059275}
{' Down': -0.0989473, ' Up': -2.6765974, ' down': -3.8106267, ' up': -6.4742546, 'Down': -6.9160438}
{' Up': -0.24621934, ' Down': -1.800924, ' up': -3.1000667, ' down': -4.8914905, ' UP': -8.096097}
{' Up': -0.06320614, ' up': -2.8044474, ' UP': -8.064442, ' Down': -8.542776, 'Up': -9.224794}
{' Up': -0.115494646, ' up': -2.2415037, ' Down': -6.489033, ' down': -7.6010294, ' UP': -7.6375623}
{' Up': -0.55111676, ' Down': -1.1048276, ' up': -2.7993658, ' down': -3.474449, ' UP': -8.401609}
{' Down': -0.20840982, ' Up': -1.7493091, ' down': -4.582868, ' up': -6.3411818, 'Down': -6.5059657}
{' Up': -0.011845219, ' up': -4.81292, ' Down': -6.155731, 'Up': -7.3444276, ' UP': -7.588557}
{' Up': -0.018962005, ' Down': -4.771901, ' up': -4.799651, ' UP': -7.3352513, 'Up': -7.367049}
{' Down': -0.07399661, ' Up': -2.7849739, ' down': -4.9488115, 'Down': -6.4452105, ' up': -7.7802567}
{' Up': -0.33643496, ' Down': -1.2648044, ' up': -6.018855, ' down': -7.105659, ' UP': -9.994208}
{' Up': -0.0027614387, ' up': -6.154872, ' Down': -7.628577, ' UP': -9.231257, 'Up': -10.252246}
{' Up': -0.01399571, ' Down': -4.7460837, ' up': -5.330714, ' UP': -8.635019, ' down': -9.159911}
{' Up': -0.58792704, ' Down': -0.8270361, ' up': -5.4391384, ' down': -5.9380474, ' UP': -9.646559}
{' Up': -0.038453765, ' up': -3.7331593, ' Down': -4.4661436, 'Up': -6.432533, ' down': -8.127234}
{' Up': -0.06814652, ' Down': -3.0783374, ' up': -4.160414, 'Up': -6.3490644, ' down': -6.380747}
{' Up': -0.04688386, ' up': -3.4990168, ' Down': -4.463235, 'Up': -6.0712953, ' down': -7.004082}
{' Down': -0.63762796, ' Up': -0.8386396, ' up': -4.0192046, ' down': -4.0692496, 'Down': -6.006854}
{' Down': -0.6388326, ' Up': -1.4606977, ' down': -1.4996763, ' up': -4.1231866, 'Down': -8.517268}
{' Down': -0.069081366, ' down': -2.7133894, ' Up': -8.582897, 'Down': -8.688058, 'down': -9.653192}
{' Up': -0.06549612, ' up': -2.8029494, ' Down': -6.1035175, ' down': -7.8565, ' UP': -9.792188}
{' Down': -0.24075072, ' down': -1.5435691, 'Down': -8.805102, 'down': -8.822738, ' "': -10.260077}
{' Down': -0.19081353, ' Up': -2.2456553, ' down': -2.73387, ' up': -6.4204698, 'Down': -7.155504}
{' Down': -0.045357123, ' down': -3.16754, ' Up': -6.9668527, 'Down': -6.988262, 'down': -8.028067}
{' Up': -0.017399332, ' up': -4.30728, ' Down': -5.728163, 'Up': -8.466871, ' down': -8.651508}
{' Down': -0.057683036, ' down': -2.8985908, 'Down': -7.4593706, 'down': -7.958087, ' DOWN': -11.335574}
{' Down': -0.043592595, ' down': -3.2232683, 'Down': -6.2289023, 'down': -7.579475, ' Up': -8.40728}
{' Down': -0.015845764, ' down': -4.2728496, 'Down': -6.592418, 'down': -8.416113, ' Up': -9.121401}
{' Up': -0.077510126, ' Down': -2.7110665, ' up': -5.19872, ' down': -6.284369, 'Up': -8.021543}
{' Down': -0.029713254, ' down': -3.5848756, 'Down': -6.861378, 'down': -7.7784824, ' "': -10.097464}
{' Down': -0.4274107, ' down': -1.0695959, ' Up': -5.713721, 'Down': -7.499693, 'down': -7.9203343}
{' Down': -0.17388053, ' down': -1.9109887, ' Up': -4.5808706, 'Down': -7.477574, ' up': -7.566617}
{' Up': -0.10267547, ' up': -2.3469417, ' Down': -6.7927184, ' down': -7.6981416, 'Up': -8.918368}
{' Down': -0.34554848, ' down': -1.2328871, 'Down': -7.931801, 'down': -8.127898, ' "': -10.294614}
{' Down': -0.040156543, ' down': -3.3412905, 'Down': -5.8739552, 'down': -7.433361, ' DOWN': -8.160059}
{' Down': -0.017600471, ' down': -4.238553, 'Down': -6.038384, 'down': -8.06393, ' Up': -8.849069}
{' Up': -0.060172297, ' Down': -2.9106512, ' up': -6.161635, ' down': -7.1379023, 'Up': -7.538871}
