{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' No': -0.17709492, 'No': -1.9030757, '\n': -4.879897, ' ': -5.3879, ' S': -8.228405}
{' Yes': -0.2758636, ' No': -1.6039524, ' A': -4.3684325, 'Yes': -4.944111, 'No': -5.0959315}
{' Yes': -0.04424555, 'Yes': -4.256413, ' No': -4.491772, ' A': -4.9303465, ' yes': -4.938174}
{' Yes': -0.06709111, ' No': -3.4597378, 'Yes': -4.2075458, ' yes': -4.925535, ' Sn': -5.114082}
{' No': -0.3468285, ' Yes': -1.4320316, 'No': -3.3824615, 'Yes': -5.194454, ' ': -5.486725}
{' Yes': -0.31824696, ' No': -1.6478063, 'No': -3.7204592, 'Yes': -3.737978, ' A': -4.4645033}
{' Yes': -0.05896517, 'Yes': -3.4703212, ' yes': -4.7561903, ' No': -4.881063, ' A': -4.9998736}
{' Yes': -0.09517872, 'Yes': -3.2061157, ' No': -3.9841824, ' yes': -4.2584267, ' Sn': -4.73252}
{' Yes': -0.3790351, ' No': -1.5607119, 'Yes': -3.1096506, 'No': -3.3071182, ' yes': -4.630603}
{' No': -0.18722461, 'No': -1.8981333, ' Yes': -4.0234327, 'Yes': -6.9232354, ' Sn': -7.5796638}
{' No': -0.1814464, 'No': -2.3696215, ' Yes': -2.7120707, 'Yes': -5.778803, ' ': -6.77326}
{' Yes': -0.6367866, ' No': -1.1579314, 'No': -2.3778126, 'Yes': -3.2552292, ' Sn': -3.917844}
{' No': -0.26290917, 'No': -1.761839, ' Yes': -2.9234486, 'Yes': -5.322598, ' ': -8.438267}
{' No': -0.18259297, 'No': -1.8687252, ' Yes': -4.6029706, 'Yes': -7.290028, ' Generally': -7.448817}
{' No': -0.77071524, ' Yes': -0.7794643, 'No': -2.9503434, 'Yes': -3.8454604, ' ': -6.273191}
{' Yes': -0.8137026, ' No': -0.9095487, 'No': -2.2540426, 'Yes': -3.378644, ' Sn': -4.782023}
{' No': -0.27261308, 'No': -1.7667955, ' Yes': -2.833942, 'Yes': -5.09987, ' ': -7.171093}
{' No': -0.22511002, ' Yes': -1.7175244, 'No': -3.9779806, 'Yes': -6.247656, ' A': -7.7582626}
{' Yes': -0.023346975, ' No': -4.375619, 'Yes': -4.768075, ' yes': -6.9508843, ' A': -7.913949}
{' Yes': -0.10239097, ' No': -2.7182183, 'Yes': -4.0089407, ' Sn': -4.9107537, 'No': -5.46638}
{' No': -0.097333334, ' Yes': -2.8562102, 'No': -3.411573, 'Yes': -6.713681, ' ': -8.138865}
{' No': -0.5517221, 'No': -0.87595606, ' Sn': -5.6438656, ' Generally': -7.255369, '\n': -7.271492}
{' No': -0.39663643, 'No': -1.1324095, '\n': -6.448613, ' ': -6.943598, ' A': -7.211421}
{' No': -1.0937357, 'No': -1.1060991, ' Yes': -1.9224995, ' Sn': -2.166795, 'Yes': -3.4793463}
{' No': -0.6811984, 'No': -0.71286035, ' S': -7.0203066, '\n': -7.444333, ' Generally': -7.584293}
{' Yes': -0.33848587, ' No': -1.5034162, 'No': -4.046482, ' Sn': -4.1066685, 'Yes': -4.107504}
{' Yes': -0.13082817, ' No': -3.108888, 'Yes': -3.8187017, ' A': -4.1032324, ' yes': -4.2197905}
{' Yes': -0.18218745, ' No': -2.6520152, 'Yes': -3.1535084, ' Sn': -3.6566935, 'No': -4.154195}
{' No': -0.3728578, ' Yes': -1.8686998, 'No': -2.0875547, 'Yes': -4.3962283, ' Sn': -4.499271}
{' Yes': -0.04328302, ' yes': -3.4172285, 'Yes': -5.5254474, ' No': -5.6920257, ' ': -6.48535}
{' Yes': -0.045546748, ' yes': -3.2554846, 'Yes': -5.470065, ' ': -6.885911, 'yes': -8.193685}
{' Yes': -0.035228528, ' yes': -3.590095, 'Yes': -5.4408298, ' No': -6.583148, ' ': -7.2592897}
{' Yes': -0.11321621, ' No': -2.5707777, ' yes': -3.8121066, 'Yes': -5.6227813, ' ': -5.9983478}
{' No': -0.230547, ' Yes': -2.125557, 'No': -2.731161, ' A': -5.0093975, ' ': -5.6768317}
{' Yes': -0.045609318, 'Yes': -3.6913877, ' yes': -4.3277593, ' ': -6.3040514, ' No': -6.5236335}
{' No': -0.73937213, ' Yes': -0.80249196, 'No': -3.110838, 'Yes': -4.0630875, ' yes': -5.6298485}
{' No': -0.3057848, ' Yes': -1.6593919, 'No': -2.9505792, 'Yes': -4.925736, '\n': -5.1262975}
{' No': -0.20118724, 'No': -1.9078963, '\n': -4.092619, ' Yes': -5.0129566, ' ': -5.5177383}
{' Yes': -0.5001192, ' No': -1.7593452, '\n': -2.645751, 'Yes': -2.9230223, ' A': -3.1831827}
{' No': -0.19021703, 'No': -2.059636, '\n': -3.8133037, ' Yes': -4.349721, ' ': -5.3501863}
{' No': -0.22081436, 'No': -2.0601127, '\n': -2.8519692, ' ': -5.061341, ' Yes': -5.4834065}
{' Yes': -0.05841299, ' No': -3.128342, 'Yes': -4.9269543, ' yes': -5.9516735, ' ': -6.9523234}
{' Yes': -0.020128151, 'Yes': -4.7558837, ' No': -5.1291924, ' yes': -5.5840816, ' ': -7.305902}
{' Yes': -0.03360869, ' No': -3.772651, 'Yes': -5.076028, ' Sn': -6.474847, ' yes': -6.650769}
{' No': -0.032221552, ' Yes': -4.080212, 'No': -4.2807074, ' ': -7.730433, 'Yes': -8.521574}
{' No': -0.33228007, 'No': -1.3268461, '\n': -4.8138423, ' no': -5.5867276, ' ': -5.7906804}
{' No': -0.24982743, 'No': -1.6239043, '\n': -4.3682213, ' ': -5.229332, ' no': -5.7615066}
{' No': -0.31841728, 'No': -1.3699769, '\n': -4.709744, ' ': -5.5357194, ' no': -5.7865014}
{' No': -0.25979573, 'No': -1.5863718, '\n': -4.0679164, ' ': -5.5556226, ' no': -6.2469983}
{' Yes': -0.19859487, ' yes': -2.367071, ' No': -2.8433702, 'Yes': -4.3154244, ' ': -5.9156017}
{' Yes': -0.13223515, ' yes': -2.2654347, 'Yes': -4.263663, ' ': -6.562461, 'yes': -6.642916}
{' Yes': -0.120926134, ' yes': -2.3999786, 'Yes': -4.0803723, 'yes': -6.2569923, ' No': -6.6932054}
{' Yes': -0.21444, ' yes': -2.4061513, ' No': -2.828955, 'Yes': -3.730927, '\n': -5.2463927}
{' Yes': -0.007185806, ' No': -5.815015, 'Yes': -6.116631, '\n': -7.2494035, ' ': -7.6852937}
{' Yes': -0.0040403735, 'Yes': -5.9832444, ' yes': -7.3754787, ' No': -8.16907, ' ': -8.326342}
{' Yes': -0.031551212, ' No': -3.7175803, '\n': -5.9140253, 'Yes': -6.135538, ' ': -6.89388}
{' No': -0.071824975, ' Yes': -2.749054, 'No': -5.8593845, '\n': -6.5629325, ' ': -7.2148833}
{' No': -0.109425016, 'No': -2.9844804, ' Yes': -3.6399977, '\n': -4.160523, ' ': -5.4061685}
{' Yes': -0.082093045, ' No': -3.4870994, 'Yes': -3.9641864, '\n': -4.238606, ' A': -5.1162934}
{' No': -0.073935956, 'No': -3.1218448, '\n': -4.0448313, ' ': -5.592544, ' Yes': -5.6018}
{' No': -0.070077114, 'No': -3.2014267, '\n': -3.856963, ' ': -5.661307, ' Yes': -6.273492}
{' No': -0.1049157, 'No': -2.870142, '\n': -4.1918674, ' A': -4.5075455, ' Yes': -4.605028}
{' Yes': -0.14577761, ' No': -2.9126613, ' A': -3.5230148, 'Yes': -3.7736938, '\n': -4.104298}
{' No': -0.061393056, 'No': -3.299516, '\n': -4.4338846, ' ': -5.384956, ' Sn': -5.6476827}
{' No': -0.055084944, 'No': -3.270699, '\n': -4.5048814, ' ': -5.7456007, ' Yes': -7.2001004}
{' Yes': -0.48889962, ' No': -1.0279278, ' A': -4.7401466, ' ': -5.0182133, '\n': -5.1857243}
{' Yes': -0.034025226, ' No': -4.0539627, 'Yes': -5.3280735, ' A': -5.4352493, ' ': -5.698869}
{' No': -0.21344684, ' Yes': -1.8793329, 'No': -4.341365, ' Sn': -4.4856443, '\n': -4.7535353}
{' No': -0.024021994, 'No': -4.0870957, '\n': -5.7878785, ' ': -6.2774487, ' Yes': -6.291821}
{' No': -0.068248875, 'No': -2.859438, ' ': -5.558153, '\n': -6.217901, ' A': -6.5728097}
{' No': -0.06551705, 'No': -2.8996675, ' ': -5.6943026, '\n': -6.1638613, ' A': -6.202123}
{' No': -0.06166392, 'No': -3.0704737, ' ': -5.3136663, '\n': -5.634755, ' Yes': -5.7622685}
{' No': -0.03996837, 'No': -3.4473684, ' ': -5.639112, '\n': -5.682529, ' Yes': -8.967415}
{' Yes': -0.062224243, ' No': -3.4635265, 'Yes': -4.7793946, ' A': -5.081692, ' yes': -5.4754987}
{' Yes': -0.029795842, 'Yes': -4.654868, ' No': -5.167491, ' yes': -5.2394037, ' A': -5.738703}
{' Yes': -0.05283028, ' No': -3.564612, 'Yes': -4.685028, ' yes': -5.6465344, ' ': -5.6572323}
{' Yes': -0.6512377, ' No': -0.81361425, 'No': -4.3868546, 'Yes': -4.9756145, ' ': -5.2113094}
{' No': -0.03370011, 'No': -3.4445028, ' Generally': -7.044825, ' A': -9.156185, ' ': -9.623329}
{' No': -0.029304892, 'No': -3.570843, ' Generally': -7.591774, ' A': -9.518924, ' ': -9.557325}
{' No': -0.03268856, 'No': -3.5419564, ' Generally': -6.5117927, ' Sn': -7.6950083, ' Ravens': -7.9911566}
{' No': -0.03125906, 'No': -3.4887707, '\n': -9.373906, ' ': -9.447311, ' Generally': -10.148154}
{' No': -0.056985356, 'No': -2.9089599, ' Generally': -7.769187, ' ': -8.63103, ' A': -9.202917}
{' No': -0.0519874, 'No': -2.9977498, ' Generally': -8.329049, ' ': -8.358345, ' A': -8.679754}
{' No': -0.07733456, 'No': -2.6151514, ' Sn': -7.8057065, ' Generally': -7.9347806, ' ': -8.375891}
{' No': -0.08340812, 'No': -2.5298555, ' ': -8.330995, '\n': -9.767566, ' Generally': -11.437356}
{' No': -0.0897948, 'No': -2.4824052, '\n': -6.7868824, ' ': -7.2748227, ' Generally': -8.795474}
{' No': -0.06214572, 'No': -2.8522785, ' ': -7.0826607, '\n': -7.1097074, ' A': -7.4551563}
{' No': -0.0894717, 'No': -2.4975965, '\n': -6.5959773, ' ': -6.998956, ' Sn': -7.404556}
{' No': -0.07789052, 'No': -2.627283, '\n': -6.587114, ' ': -6.931438, '\xa0': -9.676697}
{' No': -0.03864816, 'No': -3.3269095, ' Generally': -6.545938, ' A': -8.259697, ' ': -9.480517}
{' No': -0.027694007, 'No': -3.6257124, ' Generally': -8.093904, ' A': -8.3588295, ' ': -9.563794}
{' No': -0.044533238, 'No': -3.189644, ' Generally': -6.9614563, ' Sn': -7.0821643, ' ': -9.218337}
{' No': -0.03025269, 'No': -3.5180514, ' ': -9.640822, ' Generally': -10.7244215, ' Sn': -10.964692}
{' No': -0.13278198, 'No': -2.1326714, '\n': -5.661519, ' ': -6.6324983, ' Generally': -7.984669}
{' No': -0.11315853, 'No': -2.282941, '\n': -5.927251, ' ': -6.5016637, ' Generally': -8.256564}
{' No': -0.12481409, 'No': -2.232646, ' Sn': -5.7848144, '\n': -5.8244357, ' ': -6.308767}
{' No': -0.1609655, 'No': -1.9433085, '\n': -6.031651, ' ': -6.2483273, ' S': -8.59168}
{' No': -0.04988914, 'No': -3.0873933, ' Generally': -6.6519437, ' A': -7.6834264, ' ': -7.7002316}
{' No': -0.044880666, 'No': -3.2046952, ' Generally': -6.747214, ' A': -6.8092103, ' ': -7.5641646}
{' No': -0.08104309, 'No': -2.6419694, ' Sn': -5.7198133, ' Generally': -6.959714, ' ': -7.1655455}
{' No': -0.09990059, 'No': -2.3710854, ' ': -7.3837247, ' Generally': -8.376743, '\n': -8.539531}
{' No': -0.0077041555, 'No': -4.9696465, ' ': -7.758873, '\n': -8.509964, ' A': -9.866039}
{' No': -0.0073314607, 'No': -5.00069, ' ': -8.101548, '\n': -8.7354555, ' A': -9.594817}
{' No': -0.008451573, 'No': -4.9213123, ' ': -7.4837494, '\n': -7.624424, ' no': -10.6688}
{' No': -0.0037444807, 'No': -5.772028, ' ': -8.027739, '\n': -8.21735, ' no': -11.379602}
{' No': -0.07207547, 'No': -2.7069707, '\n': -6.7081056, ' ': -6.851044, ' A': -7.956179}
{' No': -0.059820466, 'No': -2.8976786, ' ': -6.630821, '\n': -7.0484924, ' A': -7.521242}
{' No': -0.041001175, 'No': -3.266835, ' ': -6.7219377, '\n': -7.2589135, ' Sn': -9.562144}
{' No': -0.042350955, 'No': -3.2136915, ' ': -7.198372, '\n': -7.7816463, ' S': -10.719774}
{' No': -0.122556716, 'No': -2.4350662, '\n': -3.7743852, ' ': -5.6389694, ' A': -7.0342393}
{' No': -0.10824714, 'No': -2.5732322, '\n': -3.9146225, ' ': -5.408847, ' A': -6.521875}
{' No': -0.19991176, '\n': -2.4061306, 'No': -2.5470817, ' ': -4.4350247, ' Sn': -8.200458}
{' No': -0.1613809, '\n': -2.6477718, 'No': -2.6513615, ' ': -4.9408455, ' S': -9.248152}
{' No': -0.008737258, 'No': -4.7893715, ' ': -8.06038, ' no': -10.8372345, ' A': -10.841718}
{' No': -0.0075947223, 'No': -4.934255, ' ': -8.10505, ' A': -10.3291855, ' no': -10.992971}
{' No': -0.0092593, 'No': -4.737134, ' ': -8.028882, '\n': -9.535476, ' Sn': -10.38058}
{' No': -0.00730294, 'No': -4.94478, ' ': -8.975844, '\n': -11.20589, ' no': -12.032515}
{' No': -0.24750488, 'No': -1.5648247, '\n': -5.496983, ' ': -5.5144477, ' A': -6.7995496}
{' No': -0.19657268, 'No': -1.7945111, '\n': -5.2651415, ' ': -5.3779893, ' A': -6.450614}
{' No': -0.22319306, 'No': -1.6878918, '\n': -4.9250154, ' ': -5.0261927, ' Sn': -8.083812}
{' No': -0.17261384, 'No': -1.9126403, '\n': -5.1276517, ' ': -5.4672203, ' no': -8.629878}
{' No': -0.037088387, 'No': -3.419727, ' ': -6.6468143, ' A': -6.7550664, ' no': -7.4738555}
{' No': -0.040501148, 'No': -3.3725495, ' A': -5.8125, ' ': -6.69255, ' no': -7.683495}
{' No': -0.05637632, 'No': -2.994231, ' ': -6.034995, '\n': -6.941339, ' no': -7.6294065}
{' No': -0.052236564, 'No': -3.0481129, ' ': -6.400698, '\n': -7.02818, ' no': -7.632039}
{' No': -0.14099121, 'No': -2.0591128, ' A': -6.7729683, ' no': -7.0141673, ' ': -7.2719955}
{' No': -0.10152857, 'No': -2.4025939, ' A': -5.933847, ' no': -6.776466, ' ': -6.9370184}
{' No': -0.14433502, 'No': -2.0552351, ' no': -6.535373, ' ': -6.681409, ' Sn': -6.9692707}
{' No': -0.13880691, 'No': -2.0769935, ' ': -6.7335243, ' no': -6.7661552, '\n': -6.82207}
{' No': -0.16602316, 'No': -1.8817767, ' ': -8.369639, ' no': -8.528081, 'no': -9.244107}
{' No': -0.12684608, 'No': -2.1349103, ' ': -7.9961386, ' no': -8.233504, 'no': -9.404896}
{' No': -0.21392909, 'No': -1.6510514, ' Sn': -7.832735, ' ': -8.780222, ' Generally': -10.046305}
{' No': -0.19617791, 'No': -1.7264761, ' ': -9.09399, '\n': -10.7727165, 'no': -10.971293}
{' No': -0.1918898, 'No': -1.7507695, ' ': -7.7728405, '\n': -8.377475, ' no': -9.746996}
{' No': -0.1040961, 'No': -2.324448, ' ': -7.5500093, ' A': -8.816312, '\n': -8.885943}
{' No': -0.2208417, 'No': -1.6283449, ' Sn': -7.1238084, ' ': -7.9067893, '\n': -8.472928}
{' No': -0.19811502, 'No': -1.7231299, ' ': -7.5232496, '\n': -8.160845, ' S': -9.302892}
{' No': -0.029208476, 'No': -3.5573378, ' ': -9.091633, ' no': -9.856039, ' A': -10.077862}
{' No': -0.02037309, 'No': -3.9316032, ' A': -8.246737, ' ': -8.845122, ' no': -9.783547}
{' No': -0.05415164, 'No': -2.955162, ' Sn': -8.048621, ' ': -8.648307, ' no': -10.319361}
{' No': -0.031579874, 'No': -3.479183, ' ': -8.889873, ' no': -10.310516, ' S': -11.203399}
{' No': -0.622336, 'No': -0.7768656, ' Sn': -6.85044, '\n': -6.959344, ' ': -7.4662037}
{' No': -0.4729802, 'No': -0.98752946, '\n': -6.2579427, ' ': -6.837963, ' A': -7.996741}
{' No': -0.61761546, 'No': -0.79777604, ' Sn': -5.291564, '\n': -6.4116817, ' ': -7.2077336}
{' No': -0.59368247, 'No': -0.80906606, '\n': -6.983553, ' ': -7.440522, ' S': -8.28708}
{' No': -0.07714518, 'No': -2.6413884, ' Sn': -6.5815434, ' A': -7.39851, ' ': -8.107704}
{' No': -0.079908855, 'No': -2.649096, ' A': -6.0168633, ' Sn': -6.685781, '\n': -7.304705}
{' No': -0.1835495, 'No': -1.8532273, ' Sn': -5.034778, ' It': -7.225098, ' Generally': -7.397712}
{' No': -0.16399196, 'No': -1.8991089, '\n': -7.816072, ' ': -7.8165207, ' Sn': -8.527142}
{' No': -0.0077189323, 'No': -5.5347533, ' no': -6.249798, ' ': -6.460758, '\n': -8.92784}
{' No': -0.011872059, 'No': -5.1801095, ' no': -5.7093716, ' ': -6.1169076, ' A': -7.888345}
{' No': -0.008173061, 'No': -5.345215, ' no': -6.3150597, ' ': -6.682424, '\n': -8.436794}
{' No': -0.0069168294, 'No': -5.406703, ' ': -6.70142, ' no': -6.935639, '\n': -8.739856}
{' No': -0.08755631, 'No': -2.5308163, ' ': -6.3170886, '\n': -6.658475, ' no': -7.187777}
{' No': -0.07013037, 'No': -2.7619066, ' ': -6.246815, '\n': -6.7513947, ' no': -7.0477405}
{' No': -0.07852874, 'No': -2.647792, '\n': -6.035266, ' ': -6.271409, ' no': -8.100635}
{' No': -0.06499253, 'No': -2.8368008, '\n': -6.21578, ' ': -6.2902546, ' no': -7.9932346}
{' No': -0.17326908, 'No': -1.9673877, '\n': -4.2590823, ' ': -5.756553, ' no': -6.927155}
{' No': -0.16589424, 'No': -2.0485063, '\n': -4.0179543, ' ': -5.561138, ' A': -6.877895}
{' No': -0.15769145, 'No': -2.187883, '\n': -3.5794384, ' ': -5.319566, ' no': -7.733179}
{' No': -0.19097921, 'No': -2.0829203, '\n': -3.1526415, ' ': -5.198057, ' no': -7.4618564}
{' No': -0.017611023, 'No': -4.127045, ' ': -7.1641235, ' no': -7.9407496, '\n': -8.94994}
{' No': -0.01783963, 'No': -4.104101, ' ': -7.336687, ' no': -8.328831, ' A': -8.827435}
{' No': -0.020008229, 'No': -3.9845793, ' ': -7.3800416, '\n': -8.067081, ' no': -8.447983}
{' No': -0.018994562, 'No': -4.0024614, ' ': -8.043782, ' no': -9.112132, '\n': -9.314837}
{' No': -0.36686116, 'No': -1.2385882, '\n': -4.6411095, ' ': -5.7893143, ' no': -5.8938346}
{' No': -0.29976642, 'No': -1.4779147, '\n': -3.877424, ' ': -5.248445, ' no': -5.8040996}
{' No': -0.32742608, 'No': -1.3497572, '\n': -4.3333654, ' ': -5.4901934, ' no': -6.535064}
{' No': -0.3181756, 'No': -1.3980364, '\n': -4.010844, ' ': -5.4369287, ' no': -6.3382254}
{' No': -0.0674334, 'No': -3.0196085, ' no': -4.4746523, ' ': -6.1619096, '\n': -6.7156663}
{' No': -0.054810517, 'No': -3.3300314, ' no': -4.470372, ' ': -6.162567, ' A': -6.2003417}
{' No': -0.076005906, 'No': -2.828243, ' no': -4.810243, '\n': -5.933422, ' ': -6.09368}
{' No': -0.08086206, 'No': -2.773697, ' no': -4.7023964, '\n': -5.90442, ' ': -6.0269537}
{' No': -0.010713263, 'No': -4.8164763, '\n': -6.508733, ' ': -7.161912, ' A': -8.578711}
{' No': -0.0055651683, 'No': -5.382848, ' ': -7.8448987, '\n': -8.211858, ' A': -8.406226}
{' No': -0.008448388, 'No': -5.2502465, '\n': -6.1531625, ' ': -6.9502664, ' Sn': -10.580736}
{' No': -0.005782765, 'No': -5.470655, '\n': -6.8835044, ' ': -7.628496, ' no': -10.862891}
{' No': -0.08102532, 'No': -2.8016503, '\n': -4.3271894, ' ': -5.67139, ' A': -8.309505}
{' No': -0.064121954, 'No': -3.0589836, '\n': -4.558699, ' ': -5.5533223, ' A': -7.458443}
{' No': -0.0688357, 'No': -3.2876675, '\n': -3.704297, ' ': -5.4426417, ' Sn': -9.076971}
{' No': -0.057297997, 'No': -3.2681627, '\n': -4.2244277, ' ': -5.8632708, ' no': -10.83816}
{' No': -0.07637647, 'No': -2.829041, '\n': -4.6892514, ' ': -5.6674004, ' A': -6.5484204}
{' No': -0.058949172, 'No': -3.0582907, '\n': -5.1635957, ' ': -5.827386, ' A': -6.628078}
{' No': -0.05945794, 'No': -3.2486935, '\n': -4.284582, ' ': -5.418661, ' Sn': -7.6699204}
{' No': -0.05006697, 'No': -3.298215, '\n': -4.745082, ' ': -5.823262, ' S': -9.910125}
{' No': -0.013967964, 'No': -4.47345, ' ': -6.546295, '\n': -7.362423, ' A': -8.0926075}
{' No': -0.018596627, 'No': -4.203825, ' ': -6.2006207, '\n': -6.9620776, ' A': -7.8376594}
{' No': -0.020301858, 'No': -4.11512, '\n': -6.204649, ' ': -6.4515877, ' Sn': -9.165967}
{' No': -0.020359097, 'No': -4.1014423, '\n': -6.171886, ' ': -6.535259, ' no': -10.992764}
{' No': -0.048489783, 'No': -3.1490602, ' ': -5.979144, '\n': -6.835515, ' A': -7.417489}
{' No': -0.047204792, 'No': -3.2487867, ' ': -5.6115336, '\n': -6.1015205, ' A': -6.741688}
{' No': -0.047848962, 'No': -3.262082, ' ': -5.2832994, '\n': -5.8307004, ' Sn': -8.617599}
{' No': -0.030160418, 'No': -3.6959772, ' ': -5.8942943, '\n': -6.24549, ' no': -10.131999}
{' No': -0.035515856, 'No': -3.6242628, ' ': -5.7744627, '\n': -6.031805, ' A': -6.333346}
{' No': -0.038740724, 'No': -3.6313977, ' ': -5.5506244, '\n': -5.6615663, ' A': -5.825155}
{' No': -0.03990913, 'No': -3.4674795, ' ': -5.5276847, '\n': -5.799141, ' Sn': -7.690417}
{' No': -0.03497165, 'No': -3.5276911, ' ': -6.096262, '\n': -6.1492233, ' no': -8.067477}
{' Yes': -0.00630519, 'Yes': -5.5503283, ' Generally': -6.674827, ' No': -7.1777544, ' yes': -8.885695}
{' Yes': -0.0074238693, 'Yes': -5.2262115, ' Generally': -6.3822594, ' yes': -8.83964, ' A': -10.5056715}
{' Yes': -0.007162814, 'Yes': -5.497273, ' Generally': -7.0392823, ' No': -7.043417, ' Ravens': -7.16926}
{' Yes': -0.0058209533, 'Yes': -5.58727, ' Generally': -6.7054777, ' Ravens': -7.599479, ' yes': -8.854127}
{' Yes': -0.023303965, 'Yes': -4.13669, ' Generally': -5.679664, ' No': -6.1401362, ' A': -7.668788}
