{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' No': -0.05503878, ' Yes': -3.0171928, 'No': -5.7982254, ' Pen': -7.2309856, ' Nope': -7.616328}
{' Yes': -0.06867181, ' No': -2.7511363, 'Yes': -6.315763, 'No': -8.403517, ' Pen': -8.651393}
{' Yes': -0.00619111, ' Street': -5.498733, 'Yes': -6.3857417, ' No': -8.933982, ' yes': -9.298093}
{' Yes': -0.0060287113, ' No': -5.582542, 'Yes': -6.225535, '\n': -9.828332, ' yes': -9.839313}
{' Yes': -0.00069983635, 'Yes': -7.301963, '\n': -11.815614, ' yes': -12.0906725, ' No': -12.101932}
{' Yes': -0.0016318901, 'Yes': -7.0129957, ' Strong': -7.4178796, '\n': -9.594853, ' No': -10.4843855}
{' Yes': -0.003632847, ' Seller': -6.072781, 'Yes': -7.014497, ' No': -8.182454, ' yes': -9.486734}
{' Yes': -0.0015589362, 'Yes': -6.917286, ' No': -8.218213, ' Seller': -8.627524, ' yes': -9.654617}
{' Yes': -0.048246868, ' No': -3.10035, 'Yes': -6.624302, ' Bl': -8.02429, ' Nope': -8.93256}
{' Yes': -0.020251252, ' No': -4.0721955, 'Yes': -6.2790318, ' Bl': -7.377234, ' yes': -8.54015}
{' Yes': -0.0020959435, ' No': -6.7591295, 'Yes': -7.026599, ' yes': -10.803542, '\n': -11.778814}
{' Yes': -0.0032638113, ' No': -6.4257565, 'Yes': -6.5163674, ' yes': -9.891657, '\n': -10.026636}
{' Yes': -0.0012073187, 'Yes': -7.064237, ' No': -8.182224, ' yes': -10.277645, ' YES': -10.694345}
{' Yes': -0.07092315, ' No': -2.7363188, 'Yes': -6.3926735, ' Nope': -7.00176, ' Prince': -7.2543335}
{' Yes': -0.0011166714, 'Yes': -6.8985467, ' No': -9.624262, ' yes': -10.911326, '\n': -11.610533}
{' Yes': -0.0027724968, 'Yes': -6.274892, ' No': -7.282328, ' Parent': -9.791505, ' yes': -9.8850565}
{' Yes': -0.0015772633, 'Yes': -6.576599, ' No': -8.986818, '\n': -11.087709, ' yes': -11.147938}
{' Yes': -0.001445995, 'Yes': -6.851503, ' No': -8.096022, '\n': -10.50386, ' yes': -10.941233}
{' Yes': -0.36699322, ' No': -1.190367, 'Yes': -6.4482555, 'No': -7.004053, ' Nope': -7.7704825}
{' Yes': -0.503965, ' No': -0.93551785, ' Nope': -6.151622, 'Yes': -7.3508763, 'No': -7.5614023}
{' Yes': -0.120676406, ' Stars': -3.0792542, ' St': -3.6381304, ' No': -3.6597846, 'Yes': -4.4886246}
{' Yes': -0.07313823, ' No': -3.7184265, ' Stars': -3.876084, ' St': -4.270591, 'Yes': -4.681634}
{' Yes': -0.0020627934, 'Yes': -6.8085694, ' Doctor': -7.096867, ' yes': -9.596466, ' No': -10.626872}
{' Yes': -0.004098069, ' Doctor': -6.375569, 'Yes': -6.40416, ' No': -7.4534097, ' yes': -9.562577}
{' No': -0.6048529, ' Yes': -0.8023664, 'No': -6.1619606, 'Yes': -6.472528, ' Nope': -7.1015716}
{' Yes': -0.6043751, ' No': -0.8186714, ' Not': -5.3118105, ' Nope': -6.1752625, 'Yes': -6.1899056}
{' No': -0.3344363, ' Yes': -1.275116, 'No': -6.123741, 'Yes': -6.6785445, ' Nope': -7.43655}
{' Yes': -0.5710759, ' Tennis': -1.1479287, ' No': -2.779324, ' Tenn': -3.3386195, 'Yes': -5.028069}
{' Yes': -0.5468079, ' No': -0.87196887, 'No': -6.5838313, 'Yes': -6.6920576, '\n': -8.390237}
{' Yes': -0.06963558, ' No': -2.7495062, 'Yes': -5.95224, 'No': -8.01823, ' Bucket': -9.27411}
{' Yes': -0.051232923, ' No': -3.8277795, 'Yes': -4.3870215, ' St': -4.8985796, ' States': -5.0473337}
{' Yes': -0.036451954, ' No': -3.5201497, 'Yes': -5.2601094, ' States': -7.8220654, '\n': -8.460104}
{' Yes': -0.0015958281, 'Yes': -6.606796, ' No': -8.764415, ' Sure': -10.436635, ' yes': -11.206987}
{' Yes': -0.0056488425, ' No': -5.5136614, 'Yes': -6.5192785, ' Nope': -10.196082, ' Sure': -10.454434}
{' Yes': -0.06791122, ' In': -3.4608915, ' No': -3.5455835, 'Yes': -5.6497707, ' inh': -7.318233}
{' No': -0.16197981, ' Yes': -2.031248, ' Nope': -4.660795, 'No': -5.2508793, ' In': -6.7390976}
{' Yes': -0.001750466, 'Yes': -6.421041, ' YES': -10.080493, ' yes': -10.267652, ' Loving': -11.085362}
{' Yes': -0.004164923, 'Yes': -6.106261, ' No': -6.3088083, ' yes': -10.629109, ' YES': -10.833427}
{' Yes': -0.04631347, ' No': -3.2876308, ' Turtle': -5.293353, 'Yes': -6.034827, 'No': -8.979401}
{' No': -0.26495802, ' Yes': -1.4715066, 'No': -6.1293817, 'Yes': -7.4573197, ' Nope': -8.414836}
{' Yes': -0.0069052465, ' No': -5.839541, 'Yes': -5.924388, ' Butter': -6.792893, ' yes': -10.056625}
{' Yes': -0.22485557, ' No': -1.6576959, ' Butter': -4.920492, 'Yes': -6.227371, 'No': -7.146414}
{' Yes': -0.2102691, ' No': -1.6782029, 'Yes': -6.205809, 'No': -7.254004, '\n': -9.231816}
{' Yes': -0.02756864, ' No': -3.653631, 'Yes': -6.766905, 'No': -9.418022, ' yes': -10.63518}
{' Yes': -0.13788334, ' No': -2.06886, 'Yes': -6.4587903, 'No': -8.046009, ' Nope': -8.479745}
{' Yes': -0.68902606, ' No': -0.70646113, 'No': -6.763234, ' Nope': -6.924981, 'Yes': -7.0315013}
{' Yes': -0.0042271744, 'Yes': -5.7944317, ' No': -6.916841, '\n': -9.616923, ' yes': -10.207085}
{' Yes': -0.0051787035, 'Yes': -5.438324, ' No': -7.438183, '\n': -9.38536, ' yes': -9.872673}
{' Yes': -0.002755162, 'Yes': -6.431897, ' No': -6.918196, '\n': -9.652889, ' yes': -9.916571}
{' Yes': -0.009167442, ' No': -4.9635606, 'Yes': -6.275237, '\n': -9.177859, ' yes': -9.733628}
{' Yes': -0.002798677, 'Yes': -6.2760234, ' No': -7.1053815, ' yes': -10.629203, ' YES': -10.77861}
{' Yes': -0.03479964, ' No': -3.6087167, 'Yes': -5.0891304, ' Sunset': -8.071471, 'No': -8.869871}
{' Yes': -0.14893399, ' No': -1.987702, 'Yes': -6.955172, 'No': -8.366064, ' Nope': -9.566566}
{' Yes': -0.6132804, ' No': -0.78786963, 'No': -6.7672734, 'Yes': -6.839757, ' Minute': -7.3214974}
{' Yes': -0.01768643, ' No': -4.1192145, 'Yes': -6.7505317, '\n': -10.513654, 'No': -10.560767}
{' No': -0.37551692, ' Yes': -1.169735, 'No': -6.724052, ' Nope': -7.220739, 'Yes': -7.5373225}
{' Yes': -0.11492145, ' No': -2.276289, 'Yes': -5.8007064, 'No': -7.216863, ' Water': -7.3716044}
{' Yes': -0.004599677, ' No': -6.088763, 'Yes': -6.2214417, ' Water': -9.055567, ' yes': -9.56559}
{' Yes': -0.33183601, ' No': -1.2727426, 'Yes': -6.886855, 'No': -7.243069, ' Nope': -8.297417}
{' No': -0.15613714, ' Yes': -1.9569926, 'No': -5.9998584, ' Nope': -8.124152, 'Yes': -8.2737055}
{' No': -0.5693677, ' Yes': -0.83901143, 'No': -6.8672233, 'Yes': -7.554002, ' Length': -8.653214}
{' No': -0.50368166, ' Yes': -0.9413933, ' Nope': -5.7847786, 'No': -6.5528393, 'Yes': -7.4533525}
{' Yes': -0.0016602494, 'Yes': -6.73984, ' No': -8.031554, ' yes': -9.688744, '\n': -10.716989}
{' Yes': -0.0010635663, 'Yes': -7.149005, ' No': -8.488811, ' yes': -10.474255, ' Sure': -11.320573}
{' Yes': -0.0026120264, 'Yes': -6.4155507, ' No': -7.3435845, ' France': -8.965954, ' yes': -9.297185}
{' Yes': -0.0600081, ' No': -2.9069488, 'Yes': -5.8090024, 'No': -8.36054, '\n': -9.224321}
{' Yes': -0.115099125, ' No': -2.2368088, 'Yes': -6.5904098, 'No': -8.3518505, ' Nope': -8.919939}
{' Yes': -0.026855335, ' No': -3.6936452, 'Yes': -6.580261, '\n': -9.545567, 'No': -9.815111}
{' Yes': -0.15349405, ' Empire': -2.102217, ' No': -4.7193604, ' Emperor': -5.361603, ' Em': -5.7803593}
{' Yes': -0.1945962, ' Empire': -1.8547561, ' Em': -4.9251695, ' No': -4.998887, ' Emperor': -5.844786}
{' No': -0.032056905, ' Nope': -3.8979185, ' Yes': -5.0497646, 'No': -5.3825874, ' N': -9.211908}
{' No': -0.02121249, ' Nope': -4.6130853, ' Yes': -5.0185437, 'No': -5.4424334, 'Yes': -10.462614}
{' Yes': -0.0016904599, 'Yes': -6.712658, ' No': -7.818491, ' yes': -10.934033, ' YES': -10.937447}
{' Yes': -0.0057756905, ' No': -5.3891335, 'Yes': -6.7961426, ' yes': -10.853567, ' YES': -11.019608}
{' Yes': -0.0009922674, 'Yes': -7.0840244, ' No': -9.219618, ' yes': -10.92437, ' YES': -10.960095}
{' Yes': -0.021457208, ' No': -4.0867553, 'Yes': -5.6207266, ' Nope': -8.505001, ' yes': -8.765717}
{' Yes': -0.1193219, ' No': -2.2122726, 'Yes': -6.1847243, 'No': -7.9429226, ' Dagger': -8.333789}
{' Yes': -0.1306449, ' No': -2.1268435, 'Yes': -6.0078363, 'No': -7.436324, ' Nope': -9.415385}
{' Yes': -0.075736284, ' No': -2.6462376, 'Yes': -6.3832808, 'No': -8.483933, ' yes': -10.157353}
{' Yes': -0.0047290265, ' No': -5.755017, 'Yes': -6.533385, ' yes': -10.244124, ' YES': -10.827945}
{' Yes': -0.60687304, ' No': -0.79255337, 'No': -6.785588, 'Yes': -7.1114545, ' Nope': -8.92327}
{' Yes': -0.043552622, ' No': -3.185213, 'Yes': -6.8981495, 'No': -9.518709, ' yes': -10.098526}
{' No': -0.64116174, ' Yes': -0.775027, ' Nope': -4.8064795, 'Yes': -6.6848965, 'No': -6.695836}
{' Yes': -0.042680334, ' No': -3.2784457, 'Yes': -6.0279512, ' Office': -7.420643, ' Nope': -7.773941}
{' No': -0.11544005, ' Yes': -2.2689645, 'No': -5.557428, ' Nope': -6.766433, 'Yes': -8.279639}
{' Yes': -0.06747427, ' No': -2.782148, 'Yes': -5.933231, 'No': -8.248812, ' Nope': -9.0797}
{' Yes': -0.020331664, ' No': -3.9544556, 'Yes': -7.1087885, ' yes': -10.124024, 'No': -10.493191}
{' Yes': -0.033030104, ' No': -3.4617639, 'Yes': -7.2496896, ' yes': -9.219832, ' Nope': -9.398565}
{' Yes': -0.28568178, ' No': -1.4673394, 'Yes': -5.102774, ' Nope': -5.500717, '\n': -6.1867723}
{' No': -0.46663073, ' Yes': -0.9969212, 'No': -6.2658057, 'Yes': -6.8158164, '\n': -7.7493486}
{' Yes': -0.016783433, ' No': -4.3033853, ' Sure': -6.550663, 'Yes': -6.5521703, '\n': -9.433368}
{' Yes': -0.020980433, ' No': -4.236053, ' Sure': -5.5005774, 'Yes': -6.376569, '\n': -9.060146}
{' Yes': -0.30573672, ' No': -1.3540193, 'Yes': -5.583292, 'No': -7.206183, ' Nope': -8.37796}
{' Yes': -0.49047792, ' No': -0.96132976, 'Yes': -5.708129, 'No': -6.6907554, ' Nope': -7.724975}
{' Yes': -0.2163776, ' No': -1.6610035, 'Yes': -5.9221497, ' Nope': -6.9766426, 'No': -7.697425}
{' Yes': -0.5707717, ' No': -0.8414111, 'Yes': -6.4271517, ' Nope': -6.8994513, 'No': -6.99969}
{' Yes': -0.0034940678, ' No': -6.2342772, 'Yes': -6.5460463, ' YES': -10.906774, ' yes': -11.0571995}
{' Yes': -0.041468833, ' No': -3.273757, 'Yes': -6.2360244, '\n': -8.596013, 'No': -8.756705}
{' Yes': -0.039306015, ' No': -3.2888405, 'Yes': -6.811439, 'No': -9.566607, ' yes': -10.686515}
{' Yes': -0.12646891, ' No': -2.151358, 'Yes': -6.667219, ' Purple': -7.586128, ' Nope': -8.31212}
{' Yes': -0.00919343, 'Yes': -5.499668, ' No': -6.032678, ' Animal': -6.0479026, ' yes': -8.94565}
{' Yes': -0.07821654, ' No': -2.739708, ' Animal': -5.2703247, 'Yes': -5.440489, 'No': -7.598978}
{' Hel': -0.12866025, ' Yes': -2.2008953, 'Helper': -5.735204, ' Help': -5.9268494, ' Helic': -6.767288}
{' Yes': -0.09772522, ' Hel': -2.4456732, 'Yes': -5.554594, ' yes': -7.658724, 'Helper': -7.802557}
{' Yes': -0.037551932, ' No': -3.3280659, 'Yes': -7.0711417, 'No': -9.256131, ' yes': -10.980268}
{' Yes': -0.0018129237, 'Yes': -6.793343, ' No': -7.3707395, '\n': -10.860826, ' yes': -10.879348}
{' Yes': -0.006024873, ' No': -5.5223074, 'Yes': -6.2752376, '\n': -10.047152, ' yes': -10.874251}
{' Yes': -0.073759295, ' No': -2.7032814, 'Yes': -5.802168, 'No': -7.801439, ' Branch': -7.931782}
{' Yes': -0.06751617, ' No': -2.7775323, 'Yes': -5.9981074, 'No': -8.186271, ' Nope': -8.773477}
{' Yes': -0.24831793, ' No': -1.5359632, 'Yes': -6.148306, ' Nope': -7.0202045, 'No': -7.060295}
{' No': -0.013315454, ' Yes': -4.5964584, 'No': -6.0311847, ' Nope': -7.5033493, '\n': -9.091272}
{' No': -0.12611514, ' Yes': -2.1477482, 'No': -7.076447, ' Nope': -7.4104624, 'Yes': -9.189971}
{' Yes': -0.65880436, ' Divide': -1.312079, ' No': -1.5617299, ' Div': -6.723856, 'Yes': -6.860131}
{' Yes': -0.57920754, ' Divide': -0.9769203, ' No': -2.840625, ' Div': -6.0481796, 'Yes': -6.825431}
{' Yes': -0.0025234038, 'Yes': -6.6786976, ' Hammer': -6.8298435, ' No': -9.370003, ' yes': -10.581562}
{' Yes': -0.03152814, ' Hammer': -3.5506778, 'Yes': -6.48731, ' No': -7.6102824, ' yes': -9.613549}
{' Yes': -0.0022906836, 'Yes': -6.4523463, ' No': -7.366768, ' yes': -10.644413, '\n': -10.97089}
{' Yes': -0.0023725326, 'Yes': -6.19503, ' No': -8.503694, ' yes': -10.073164, '\n': -10.136059}
{' No': -0.44581354, ' Yes': -1.0505308, 'No': -5.389241, 'Yes': -6.3271885, ' Nope': -6.7632966}
{' No': -0.6578165, ' Yes': -0.75059766, 'No': -5.3605123, 'Yes': -5.8627734, ' Nope': -6.777712}
{' Yes': -0.005065472, ' Ex': -5.874458, 'Yes': -6.42471, ' No': -7.754167, ' yes': -9.606498}
{' No': -0.20625375, ' Yes': -1.7176787, ' Nope': -5.650343, 'No': -5.963646, 'Yes': -7.909523}
{' Yes': -0.00149315, 'Yes': -7.1691217, ' No': -7.3151813, ' yes': -10.97181, '\n': -11.169116}
{' Yes': -0.028482778, ' No': -3.6228604, 'Yes': -6.821626, 'No': -9.68716, '\n': -9.962452}
{' Yes': -0.015582908, ' No': -4.852272, ' Planet': -5.2211304, 'Yes': -6.196567, ' yes': -9.663827}
{' Yes': -0.045890342, ' No': -3.1693738, 'Yes': -6.2356806, ' Planet': -7.4004197, 'No': -8.813035}
{' Yes': -0.052830085, ' No': -3.0140843, 'Yes': -6.3487105, ' Car': -8.725689, 'No': -8.754568}
{' Yes': -0.003623574, ' No': -6.089696, 'Yes': -6.6859484, ' yes': -10.044706, ' YES': -11.148223}
{' Yes': -0.01439708, ' No': -5.1782365, ' Ass': -5.2357063, 'Yes': -5.8035207, '\n': -9.697943}
{' Yes': -0.10543522, ' No': -2.377423, 'Yes': -5.6010957, ' Ass': -6.2778015, 'No': -7.6686606}
{' No': -0.23677479, ' Yes': -1.6620734, ' Circ': -4.8626156, ' Circus': -5.0238686, ' Cir': -6.058064}
{' No': -0.3312302, ' Circ': -2.140705, ' Yes': -2.4672718, ' Circus': -3.0332718, ' Cir': -3.6859622}
{' Yes': -0.0147221545, ' No': -4.39108, 'Yes': -6.201497, ' yes': -9.8114195, 'No': -10.020545}
{' Yes': -0.00982977, ' No': -5.1146, 'Yes': -5.712049, ' yes': -8.7198715, ' YES': -9.469382}
{' Yes': -0.013406366, ' No': -4.4033904, 'Yes': -6.951131, ' Nope': -10.254485, 'No': -10.514718}
{' Yes': -0.090807475, ' No': -2.463942, 'Yes': -6.89012, ' Nope': -8.029672, 'No': -8.548873}
{' Yes': -0.14540683, ' No': -2.3257828, ' Law': -4.006016, 'Yes': -5.446075, ' L': -6.0356193}
{' Yes': -0.076192364, ' No': -2.8316014, 'Yes': -5.4872427, ' Law': -6.530523, ' Nope': -6.720524}
{' Yes': -0.2920062, ' No': -1.3974254, ' Nope': -5.799387, 'Yes': -6.392236, 'No': -7.1427}
{' Yes': -0.3308557, ' No': -1.3241991, ' Smooth': -4.931363, ' Nope': -5.9531593, 'Yes': -5.9647703}
{' Yes': -0.11335546, ' No': -3.0969157, ' Cancer': -3.0978599, 'Yes': -4.830463, ' Cance': -5.267404}
{' Yes': -0.11530372, ' No': -2.3310993, 'Yes': -5.1654677, 'No': -7.2186956, ' Dance': -7.3411922}
{' Yes': -0.0047159716, 'Yes': -5.699357, ' Sc': -7.3194265, ' No': -8.017594, ' yes': -8.802972}
{' Yes': -0.010090686, ' No': -4.713027, 'Yes': -6.9079027, 'No': -11.058031, ' yes': -11.076584}
{' No': -0.04248528, ' Yes': -3.2552383, 'No': -5.968617, ' Nope': -8.172686, 'Yes': -9.219494}
{' Yes': -0.41463354, ' No': -1.0909432, 'Yes': -6.303839, 'No': -6.8086934, ' Nope': -7.747193}
{' No': -0.17415293, ' Yes': -1.8511093, 'No': -6.2469254, 'Yes': -7.8535924, ' Nope': -8.038}
{' No': -0.49868056, ' Yes': -0.9453091, 'No': -6.3332896, 'Yes': -6.733928, ' Nope': -7.7627983}
{' No': -0.217285, ' Yes': -1.6483705, 'No': -6.4202704, ' Nope': -7.049606, 'Yes': -8.084387}
{' No': -0.045805413, ' Yes': -3.160021, 'No': -6.2723846, ' Nope': -8.044264, 'Yes': -9.533474}
{' No': -0.0072261505, 'No': -5.579745, ' Yes': -5.9125447, ' Nope': -7.3500943, '\n': -10.763231}
{' No': -0.07887799, ' Yes': -2.626512, 'No': -5.813316, ' Nope': -8.218659, 'Yes': -8.7177}
{' Yes': -0.23798037, ' No': -1.7615895, ' Finish': -3.4106467, 'Yes': -5.439717, 'No': -6.5331306}
{' Yes': -0.057438947, ' No': -3.0450408, 'Yes': -5.372876, ' Finish': -6.0541315, 'No': -7.7618265}
{' Yes': -0.3478933, ' No': -1.2447802, 'Yes': -6.176291, ' Nope': -6.5475545, 'No': -6.6064606}
{' Yes': -0.54595906, ' No': -0.8850607, 'No': -6.0238924, 'Yes': -6.0837545, ' Nope': -6.1820936}
{' Yes': -0.0017785287, 'Yes': -6.709, ' No': -7.568499, ' yes': -10.949266, ' YES': -11.720795}
{' Yes': -0.0021580644, 'Yes': -6.865208, ' No': -6.9572186, ' Repeat': -9.16927, ' yes': -10.663533}
{' Yes': -0.066713005, ' No': -3.2922375, ' Spider': -3.883659, 'Yes': -5.6014934, ' Sp': -6.4691076}
{' Yes': -0.5505947, ' No': -0.87263334, ' Nope': -5.8460693, 'No': -6.744461, 'Yes': -6.8416905}
{' Yes': -0.14850928, ' No': -1.9997133, 'Yes': -6.7567563, ' Candle': -6.9366007, 'No': -8.63502}
{' Yes': -0.1629765, ' No': -1.9181625, ' Candle': -6.486444, 'Yes': -6.6809087, 'No': -8.2674265}
{' Yes': -0.25158817, ' Th': -2.4051812, ' No': -2.783176, ' Thr': -2.7939026, 'Yes': -5.586877}
{' Yes': -0.11714884, ' No': -2.2260146, 'Yes': -6.215514, 'No': -7.87497, ' Nope': -9.125168}
{' Yes': -0.09033406, ' No': -2.4940796, 'Yes': -6.0805206, ' Beach': -7.5552163, 'No': -7.5898976}
{' Yes': -0.07434133, ' No': -2.6674523, 'Yes': -6.5170307, 'No': -8.054211, ' Beach': -8.712796}
{' Yes': -0.0025030877, 'Yes': -6.3749027, ' No': -7.2497888, ' yes': -10.218413, ' Flower': -10.922908}
{' Yes': -0.008693668, ' No': -5.1860886, 'Yes': -5.9863124, ' Flower': -7.8847613, 'No': -9.966608}
{' No': -0.014084203, ' Yes': -4.532852, 'No': -5.795027, ' Nope': -9.234957, ' Not': -10.029278}
{' No': -0.08281365, ' Yes': -2.5557084, 'No': -6.440407, 'Yes': -8.947742, ' Nope': -9.612486}
{' No': -0.05459993, ' Yes': -3.1675737, 'No': -4.8991547, ' Indian': -6.369802, ' Nope': -7.3115005}
{' No': -0.057789497, ' Yes': -3.2803333, ' Indian': -4.8840585, 'No': -5.117331, ' India': -6.7614136}
{' Yes': -0.0068917396, ' Orange': -5.633909, ' No': -6.284935, 'Yes': -6.811985, ' Sure': -8.400724}
{' Yes': -0.053500485, ' Orange': -3.075599, ' No': -5.848249, 'Yes': -6.0859313, ' Sure': -7.567399}
{' Yes': -0.11153245, ' No': -2.2747443, 'Yes': -6.218509, 'No': -7.7015624, ' Nope': -9.339215}
{' Yes': -0.36317655, ' No': -1.1966536, 'Yes': -6.695793, 'No': -7.081548, ' Nope': -8.973944}
{' Yes': -0.41540456, ' No': -1.0851452, 'Yes': -6.9752517, 'No': -7.2382193, ' Nope': -8.483634}
{' No': -0.010781104, ' Yes': -4.8283963, 'No': -6.1028886, ' Nope': -7.873293, ' Number': -10.006979}
{' Yes': -1.0796251, ' Mirror': -1.1318103, ' No': -1.1462051, ' Mir': -4.9091997, 'No': -5.5583897}
{' Yes': -0.2688436, ' No': -1.4910611, ' Mirror': -4.9499216, 'Yes': -6.565957, 'No': -7.1363907}
{' Yes': -0.0009565282, 'Yes': -7.0121255, ' yes': -10.4116125, ' YES': -11.002645, ' No': -12.524622}
{' Yes': -0.0018722811, 'Yes': -6.3104978, ' yes': -10.935939, ' YES': -11.632061, ' No': -12.022251}
{' Yes': -0.44253582, ' No': -1.0465969, 'Yes': -5.915682, 'No': -6.083769, ' Nope': -7.1607003}
{' Yes': -0.34761077, ' No': -1.2485125, 'Yes': -5.9246926, 'No': -6.2247157, ' Nope': -6.6627355}
{' Yes': -0.017366517, ' Cheese': -4.843191, 'Yes': -5.2583084, ' No': -6.005935, ' Che': -7.0645056}
{' Yes': -0.0041901227, 'Yes': -6.1306105, ' No': -6.503261, ' Cheese': -8.8279505, ' Sure': -8.950987}
{' No': -0.023644455, ' Yes': -4.0512037, 'No': -5.756392, ' Nope': -5.914891, 'Yes': -10.126787}
{' No': -0.05181312, ' Yes': -3.0851994, 'No': -5.7020507, ' Nope': -6.6676955, 'Yes': -9.10293}
{' Yes': -0.6124921, ' No': -1.1048074, ' Sure': -2.5082421, ' Squ': -3.6696632, ' Square': -4.338509}
{' Sure': -1.0616581, ' Yes': -1.3358796, ' Squ': -1.5529511, ' No': -2.2704442, ' Square': -2.7264721}
