{' Yes': -0.0061298776, 'Yes': -5.340942, ' Generally': -7.020786, ' yes': -8.552528, ' An': -10.049665}
{' Yes': -0.4647173, '\n': -1.8946851, ' No': -2.0426667, 'Yes': -3.4011755, ' ': -3.6616757}
{' Yes': -0.078643315, 'Yes': -3.1418145, '\n': -3.7691414, ' ': -5.1471777, ' yes': -6.18777}
{' Yes': -0.0061283167, 'Yes': -5.4755034, ' yes': -7.3163657, ' No': -7.4323187, ' ': -7.683482}
{' Yes': -0.005538136, 'Yes': -5.6179986, ' No': -6.9107313, ' yes': -7.828824, ' ': -8.282745}
{' Yes': -0.004033255, 'Yes': -5.727658, ' yes': -7.7611113, ' No': -9.0164795, ' ': -9.076566}
{' Yes': -0.0031971964, 'Yes': -5.8672585, ' yes': -8.265114, ' ': -9.690901, '\n': -10.986162}
{' No': -0.5988579, 'No': -1.6346073, ' Yes': -1.7852858, 'Yes': -3.6365018, '\n': -3.674959}
{' No': -0.33336467, 'No': -1.6230813, ' Yes': -3.5238552, '\n': -3.5807822, ' ': -4.40481}
{' No': -0.322248, 'No': -1.8240045, ' Yes': -3.147283, '\n': -3.6641858, ' ': -4.0655894}
{' Yes': -0.19564924, 'Yes': -2.2729635, '\n': -4.109172, ' No': -4.1533365, ' ': -4.393596}
{' Yes': -0.037413564, 'Yes': -4.105891, ' yes': -4.663085, ' No': -5.1107335, ' ': -6.121626}
{' Yes': -0.02317299, 'Yes': -4.2657495, ' yes': -5.190394, ' ': -6.6823993, ' An': -7.4998345}
{' Yes': -0.033388156, 'Yes': -4.002313, ' yes': -4.652315, ' ': -6.439318, ' YES': -6.505038}
{' Yes': -0.02936486, 'Yes': -4.178193, ' yes': -4.670322, ' ': -6.5275493, '\n': -7.1848397}
{' Yes': -0.06025795, 'Yes': -3.3754969, ' yes': -3.9298756, ' No': -7.152365, ' An': -7.166064}
{' Yes': -0.079374604, 'Yes': -3.0080266, ' yes': -4.2934327, ' No': -5.9192104, ' AN': -5.996941}
{' Yes': -0.09770478, 'Yes': -2.9209218, ' yes': -3.4830613, ' Ant': -6.0456595, 'yes': -6.858228}
{' Yes': -0.10471679, 'Yes': -2.7756877, ' yes': -3.5554478, ' AN': -5.972714, ' Ant': -6.7550893}
{' Yes': -0.042208996, 'Yes': -3.5599775, ' No': -4.788747, ' yes': -5.9699545, 'No': -6.9550786}
{' Yes': -0.27090588, ' No': -1.7251867, 'Yes': -3.5516865, 'No': -3.7063496, ' yes': -6.0702024}
{' Yes': -0.06848955, 'Yes': -2.8900928, ' No': -4.965727, 'No': -6.3911347, ' yes': -6.984116}
{' Yes': -0.042885132, 'Yes': -3.220568, ' yes': -7.076893, ' Generally': -7.716762, ' No': -8.3346195}
{' Yes': -0.053083107, 'Yes': -3.1261973, ' No': -5.4778514, ' yes': -6.419886, 'No': -7.2547183}
{' Yes': -0.06039096, 'Yes': -3.0563378, ' No': -4.891264, 'No': -6.6530843, ' yes': -6.7164807}
{' Yes': -0.09113015, 'Yes': -2.6578472, ' No': -4.5215483, 'No': -5.888204, ' yes': -6.6559386}
{' Yes': -0.061647747, 'Yes': -2.8759978, ' yes': -6.6638513, ' No': -7.416353, ' AN': -7.8420715}
{' Yes': -0.036587596, 'Yes': -4.0835996, ' No': -4.1368265, ' yes': -6.5409875, 'No': -7.22014}
{' Yes': -0.021612445, 'Yes': -4.2095795, ' No': -5.3399963, ' yes': -7.014187, 'No': -8.322609}
{' Yes': -0.025448972, 'Yes': -3.9778259, ' No': -5.3881063, ' yes': -7.2246747, 'No': -8.041916}
{' Yes': -0.017947216, 'Yes': -4.1181, ' yes': -6.9137697, ' Generally': -9.005492, ' ': -9.034932}
{' No': -0.44947952, 'No': -1.173511, ' Yes': -3.6137424, ' An': -4.7883964, 'Yes': -5.5244627}
{' No': -0.5550274, 'No': -1.0452847, ' AN': -2.927336, ' Yes': -4.802294, ' An': -5.676326}
{' Yes': -0.29366034, 'Yes': -2.0536356, ' Ant': -3.0364373, ' No': -3.2611933, 'No': -3.7790499}
{' Yes': -0.6338172, ' No': -1.9781775, 'No': -2.1835704, 'Yes': -2.2154784, ' AN': -2.5171523}
{' Yes': -0.05058153, 'Yes': -3.4067523, ' yes': -4.8240876, ' No': -5.110478, 'No': -7.298264}
{' Yes': -0.7063517, ' No': -0.97140265, 'No': -2.7954533, ' AN': -3.3215268, 'Yes': -3.861627}
{' Yes': -0.05014925, 'Yes': -3.2865555, ' yes': -5.5575433, ' No': -5.6402273, ' Ant': -6.286657}
{' Yes': -0.0553151, 'Yes': -3.0221767, ' yes': -5.567199, ' Generally': -8.323852, ' ': -8.326138}
{' Yes': -0.08705561, ' yes': -2.6279967, 'Yes': -4.9274716, ' ': -6.193405, 'yes': -6.915783}
{' Yes': -0.07669298, ' yes': -2.7416615, 'Yes': -5.000132, ' ': -6.6876736, 'yes': -7.4443502}
{' Yes': -0.057546657, ' yes': -3.0000286, 'Yes': -5.404972, ' ': -7.366406, ' YES': -7.5909286}
{' Yes': -0.06589337, ' yes': -2.8906343, 'Yes': -5.048897, ' ': -7.326876, 'yes': -7.595097}
{' Yes': -0.04292109, 'Yes': -3.6411855, ' yes': -4.7315826, ' No': -5.8035183, ' ': -6.5019045}
{' Yes': -0.03656818, 'Yes': -3.6997724, ' yes': -4.841149, '\n': -6.696574, ' ': -6.95933}
{' Yes': -0.036447443, 'Yes': -3.6632478, ' yes': -4.8062415, '\n': -7.4576087, ' ': -7.524667}
{' Yes': -0.04048855, 'Yes': -3.5182106, ' yes': -4.8330336, '\n': -7.0399427, ' ': -7.4139667}
{' Yes': -0.16806081, 'Yes': -2.7328362, '\n': -3.2097514, ' No': -3.8667128, ' yes': -4.2955155}
{' Yes': -0.30626187, '\n': -2.2519462, 'Yes': -2.693652, ' No': -3.065703, ' ': -4.228139}
{' Yes': -0.088729866, 'Yes': -2.9790456, '\n': -4.2830124, ' yes': -4.3760962, ' ': -6.015203}
{' Yes': -0.081537455, 'Yes': -2.854641, ' yes': -4.665022, '\n': -4.761223, ' ': -6.51531}
{' Yes': -0.029805116, 'Yes': -4.33496, ' No': -4.766886, ' yes': -5.183013, ' ': -6.936826}
{' Yes': -0.017102674, 'Yes': -4.353177, ' yes': -5.738221, ' ': -8.128091, '\n': -8.2474165}
{' Yes': -0.0142228855, 'Yes': -4.5854073, ' yes': -5.712148, ' No': -8.744215, ' ': -8.978196}
{' Yes': -0.0144540435, 'Yes': -4.4979935, ' yes': -5.850672, 'yes': -9.177697, '\n': -9.25506}
{' No': -0.33187714, 'No': -1.4746251, '\n': -3.6082902, ' Yes': -4.5998425, ' ': -4.9084234}
{' No': -0.38715437, 'No': -1.3803968, '\n': -3.2028396, ' Yes': -4.2461867, ' ': -4.950326}
{' No': -0.3390566, 'No': -1.828137, ' Yes': -2.7684748, '\n': -3.5009866, 'Yes': -4.631197}
{' Yes': -0.21145268, 'Yes': -2.1909866, ' yes': -3.6896303, '\n': -3.8516448, ' No': -4.31332}
{' Yes': -0.20593762, ' yes': -1.8420001, 'Yes': -4.0149918, 'yes': -6.051902, '\n': -6.096036}
{' Yes': -0.0884915, ' yes': -2.7238445, 'Yes': -4.2563972, ' ': -6.3322673, '\n': -6.540497}
{' Yes': -0.17641464, ' yes': -2.0287077, 'Yes': -3.7747765, 'yes': -5.9221587, ' YES': -6.360064}
{' Yes': -0.16517514, ' yes': -2.1567693, 'Yes': -3.6007447, 'yes': -5.6971946, '\n': -5.7773085}
{' Yes': -0.0074947285, 'Yes': -5.35092, ' yes': -6.5981884, '\n': -7.3310585, ' ': -7.7470226}
{' Yes': -0.005212437, 'Yes': -5.801664, ' yes': -7.066575, '\n': -7.2748237, ' ': -7.646985}
{' Yes': -0.006613363, 'Yes': -5.6255093, '\n': -6.537794, ' yes': -7.215412, ' ': -7.5424733}
{' Yes': -0.006963403, 'Yes': -5.436111, ' yes': -6.9538856, '\n': -7.0401506, ' ': -7.6994834}
{' Yes': -0.04617232, 'Yes': -3.6651964, '\n': -4.479165, ' ': -5.4787283, ' No': -6.533862}
{' Yes': -0.031799436, 'Yes': -3.848814, '\n': -5.3087845, ' ': -6.2180996, ' yes': -6.603824}
{' Yes': -0.05112546, 'Yes': -3.843804, '\n': -4.117577, ' No': -5.140105, ' ': -5.596335}
{' Yes': -0.023376448, 'Yes': -4.142774, '\n': -5.3967915, ' ': -6.575819, ' yes': -7.077614}
{' Yes': -0.04725903, 'Yes': -3.5819762, '\n': -4.6656537, ' ': -5.4818063, ' yes': -6.306599}
{' Yes': -0.055541396, 'Yes': -3.557809, '\n': -4.384517, ' ': -5.374946, ' An': -5.853545}
{' Yes': -0.09909189, '\n': -3.6622667, ' No': -3.6742659, 'Yes': -3.9089653, ' Ant': -4.3844485}
{' Yes': -0.023077525, 'Yes': -4.126139, '\n': -5.9298215, ' ': -6.508265, ' yes': -6.598782}
{' Yes': -0.012400091, 'Yes': -5.346581, ' ': -5.909275, '\n': -5.9968414, ' No': -6.7055473}
{' Yes': -0.0096592605, 'Yes': -5.6158834, '\n': -5.7309074, ' ': -6.18842, ' yes': -7.7340035}
{' Yes': -0.013936595, '\n': -5.222591, 'Yes': -5.324529, ' ': -6.1875744, ' No': -7.092431}
{' Yes': -0.010073586, 'Yes': -5.2298956, '\n': -5.948369, ' ': -6.5733075, ' yes': -7.535023}
{' Yes': -0.4110668, ' No': -1.3194531, 'Yes': -3.6895282, 'No': -3.9589105, ' ': -4.6299043}
{' No': -0.4486548, ' Yes': -1.3322455, 'No': -2.8955178, '\n': -4.2259107, 'Yes': -4.4044094}
{' No': -0.33404922, ' Yes': -1.5573539, 'No': -3.399578, '\n': -4.1809826, ' ': -4.465168}
{' Yes': -0.053550985, 'Yes': -3.8193932, ' No': -4.138466, ' ': -5.4099636, '\n': -5.5483265}
{' Yes': -0.029771892, 'Yes': -4.28718, ' yes': -4.8680916, ' ': -5.753552, '\n': -5.7704515}
{' Yes': -0.021846596, 'Yes': -4.6288853, ' yes': -5.2883162, '\n': -5.7983036, ' ': -5.9168587}
{' Yes': -0.025564227, 'Yes': -4.152948, ' yes': -5.315126, '\n': -6.2153587, ' ': -6.420719}
{' Yes': -0.023082772, 'Yes': -4.485588, ' yes': -4.8048835, ' ': -6.6235614, '\n': -6.821218}
{' No': -0.029303173, 'No': -3.601561, ' Generally': -7.232888, ' Not': -8.680901, ' ': -8.692953}
{' No': -0.13791597, ' Yes': -2.4834054, 'No': -3.6130495, ' Generally': -4.8117895, ' An': -6.067536}
{' No': -0.019626662, 'No': -4.000107, ' Generally': -7.592349, ' Ant': -8.368804, '\n': -8.857051}
{' No': -0.07530638, 'No': -3.0318892, ' Generally': -4.3105984, ' AN': -5.5314274, ' It': -6.4461613}
{' No': -0.078478, 'No': -2.6088927, ' Generally': -7.364425, ' ': -7.552585, ' It': -9.323319}
{' No': -0.08294626, 'No': -2.5651085, ' Generally': -6.8257627, ' An': -8.145678, ' ': -8.1663475}
{' No': -0.06666019, 'No': -2.7647536, ' ': -7.3582535, ' Ant': -7.9181557, ' Generally': -8.473817}
{' No': -0.07134438, 'No': -2.707018, ' Generally': -7.4465847, ' ': -7.4981213, ' AN': -7.5748553}
{' No': -0.078779764, 'No': -2.6342378, '\n': -6.1143937, ' ': -6.8314595, ' An': -8.561247}
{' No': -0.061190777, 'No': -2.875968, '\n': -6.771727, ' ': -7.133166, ' An': -7.8891954}
{' No': -0.077827126, 'No': -2.6508174, '\n': -6.183126, ' ': -6.6065307, ' Ant': -7.6297307}
{' No': -0.08784371, 'No': -2.5328567, '\n': -6.6867085, ' ': -6.8555975, ' AN': -7.0017085}
{' No': -0.024970353, 'No': -3.723487, ' Generally': -8.512834, ' ': -9.08754, ' An': -9.661216}
{' No': -0.033644315, 'No': -3.4956038, ' Generally': -7.2183347, ' An': -7.456671, ' AN': -7.7218785}
{' No': -0.021905145, 'No': -3.9247677, ' Ant': -6.7879133, ' Generally': -7.579379, ' ': -8.93994}
{' No': -0.051919654, 'No': -3.0362258, ' Generally': -6.632488, ' Ant': -7.4618883, ' AN': -8.586332}
{' No': -0.1445644, 'No': -2.1551788, '\n': -4.6490006, ' ': -5.646854, ' An': -6.610636}
{' No': -0.13127305, 'No': -2.1562552, '\n': -5.9863005, ' ': -6.2574835, ' AN': -7.0748296}
{' No': -0.14234419, 'No': -2.166985, '\n': -4.8431745, ' ': -5.209121, ' Ant': -6.00869}
{' No': -0.15779166, 'No': -2.0671601, ' AN': -4.5776486, '\n': -5.65621, ' ': -5.745526}
{' No': -0.09345757, 'No': -2.4834569, ' Generally': -6.295155, ' An': -6.873632, ' ': -7.0315557}
{' No': -0.12809625, 'No': -2.223391, ' Generally': -5.5626435, ' Yes': -6.281254, ' An': -6.369019}
{' No': -0.09198669, 'No': -2.528283, ' Ant': -5.4061084, ' ': -6.5256014, ' Generally': -7.12239}
{' No': -0.11633629, 'No': -2.2877784, ' AN': -6.103348, ' Generally': -6.2799315, ' Ant': -6.430918}
{' No': -0.0066848835, 'No': -5.218341, ' ': -7.0865984, '\n': -8.099021, ' no': -9.940404}
{' No': -0.006408123, 'No': -5.272952, ' ': -7.5038886, '\n': -8.227493, ' An': -8.726036}
{' No': -0.006464152, 'No': -5.290125, '\n': -7.3343983, ' ': -7.4314303, ' no': -9.620935}
{' No': -0.008977677, 'No': -5.087459, '\n': -6.595962, ' ': -6.860206, ' Generally': -9.169085}
{' No': -0.08372563, 'No': -2.6280122, '\n': -5.409989, ' ': -5.8218503, ' An': -8.820643}
{' No': -0.069830686, 'No': -2.8035858, '\n': -5.858258, ' ': -6.380759, ' AN': -7.177976}
{' No': -0.0509911, 'No': -3.1136189, ' ': -6.0061374, '\n': -6.15141, ' Ant': -7.862026}
{' No': -0.06342021, 'No': -2.9028423, ' ': -5.97284, '\n': -6.237389, ' AN': -6.6849146}
{' No': -0.17599364, 'No': -2.3621602, '\n': -2.885981, ' ': -4.6681333, ' An': -7.662893}
{' No': -0.15235864, 'No': -2.3770614, '\n': -3.2106853, ' ': -5.0752745, ' An': -7.395712}
{' No': -0.24681789, '\n': -2.0799515, 'No': -2.5469906, ' ': -4.391818, ' Ant': -6.3670974}
{' No': -0.21568859, 'No': -2.2508485, '\n': -2.5801752, ' ': -4.614282, ' AN': -6.604097}
{' No': -0.013208969, 'No': -4.410977, ' ': -7.175961, '\n': -9.326553, ' no': -9.972592}
{' No': -0.010784056, 'No': -4.59222, ' ': -7.856042, '\n': -9.476107, ' An': -10.186563}
{' No': -0.010423456, 'No': -4.6387076, ' ': -7.794236, '\n': -8.908117, ' Ant': -9.657254}
{' No': -0.015218341, 'No': -4.236013, ' ': -7.940104, '\n': -9.0491, ' AN': -9.913768}
{' No': -0.33265108, 'No': -1.3661976, '\n': -4.230568, ' ': -4.7849708, ' An': -6.455525}
{' No': -0.26479256, 'No': -1.5500689, '\n': -4.425317, ' ': -5.031829, ' An': -7.6584706}
{' No': -0.25201944, 'No': -1.6763531, '\n': -3.9270394, ' ': -4.5875745, ' Ant': -6.0540047}
{' No': -0.255999, 'No': -1.6116432, '\n': -4.392346, ' ': -4.7738156, ' AN': -5.813229}
{' No': -0.0557489, 'No': -3.0451174, ' ': -5.7800026, ' no': -6.866113, ' An': -7.040633}
{' No': -0.05647842, 'No': -3.1031322, ' An': -5.909044, ' ': -6.1442823, ' AN': -6.649955}
{' No': -0.068497464, 'No': -2.8902977, ' ': -5.6129065, ' Ant': -6.254451, ' no': -6.2929807}
{' No': -0.06979503, 'No': -2.9367611, ' ': -5.465595, ' AN': -5.63214, '\n': -6.1181936}
{' No': -0.11470464, 'No': -2.309357, ' no': -5.563561, ' ': -6.514609, ' An': -7.046579}
{' No': -0.19456877, 'No': -1.8337879, ' AN': -5.438734, ' An': -5.8332953, ' Yes': -6.171842}
{' No': -0.18104577, 'No': -1.9224225, ' no': -4.851511, ' ': -5.7085323, ' Ant': -5.9270096}
{' No': -0.1948125, 'No': -1.8814523, ' AN': -4.4327693, ' no': -5.8854017, '\n': -6.0952487}
{' No': -0.11452977, 'No': -2.2323847, ' ': -7.8025384, ' no': -8.17059, ' NO': -9.314574}
{' No': -0.127704, 'No': -2.127662, ' AN': -8.264546, ' ': -8.407565, ' no': -9.120794}
{' No': -0.18468046, 'No': -1.7874273, ' ': -7.5651107, ' Generally': -8.830693, '\n': -8.970996}
{' No': -0.14008619, 'No': -2.0510032, ' AN': -6.8115377, ' Generally': -7.966123, ' ': -8.184618}
{' No': -0.15339774, 'No': -1.9640018, ' ': -6.981633, '\n': -8.073141, ' no': -8.394455}
{' No': -0.17091313, 'No': -1.8652223, ' AN': -7.3240075, ' ': -7.620184, ' Yes': -7.910079}
{' No': -0.2227155, 'No': -1.6268808, ' ': -6.7326937, '\n': -7.2924356, ' Ant': -7.9142504}
{' No': -0.21576801, 'No': -1.6898166, ' AN': -5.0468664, ' ': -7.1439443, '\n': -7.2935224}
{' No': -0.04261701, 'No': -3.1954849, ' ': -7.9888206, ' no': -8.623791, ' NO': -9.566472}
{' No': -0.04604755, 'No': -3.1143, ' ': -8.617628, ' AN': -9.298978, ' no': -9.484149}
{' No': -0.051245097, 'No': -3.0207329, ' ': -7.7378125, ' Ant': -8.168625, ' no': -8.908186}
{' No': -0.03963501, 'No': -3.2804565, ' ': -7.9448457, ' AN': -8.493148, ' Generally': -8.511363}
{' No': -0.42226717, 'No': -1.077924, ' ': -6.882865, ' An': -7.1251774, ' Ant': -7.4055123}
{' No': -0.5136462, 'No': -0.94559205, ' AN': -4.5853186, ' ': -7.032052, '\n': -7.3540106}
{' No': -0.50303394, 'No': -0.9648412, ' Ant': -4.907159, '\n': -6.0881853, ' ': -6.402027}
{' No': -0.6449838, 'No': -0.78924227, ' AN': -4.1353498, '\n': -6.488079, ' ': -6.681226}
{' No': -0.08099196, 'No': -2.5792522, ' no': -7.210549, ' ': -7.5631795, ' An': -8.112247}
{' No': -0.1318074, 'No': -2.24189, ' AN': -4.196844, '\n': -7.407968, ' ': -7.8261485}
{' No': -0.16272727, 'No': -1.9907073, ' Ant': -4.765572, ' ': -6.6234684, ' Generally': -6.799629}
{' No': -0.23582715, 'No': -1.6063411, ' AN': -5.293612, ' Generally': -7.0601387, ' Ant': -7.065146}
{' No': -0.020225704, 'No': -4.741783, ' no': -4.992435, ' ': -5.5741234, '\n': -7.9364076}
{' No': -0.01921723, 'No': -4.5429673, ' no': -5.448565, ' ': -5.7868867, '\n': -7.308683}
{' No': -0.013625012, ' no': -5.185771, 'No': -5.2306128, ' ': -6.2929463, '\n': -7.926909}
{' No': -0.024948293, 'No': -4.3142986, ' no': -4.9871864, ' ': -5.9464855, '\n': -6.78304}
{' No': -0.09167542, 'No': -2.5322976, ' ': -5.556862, '\n': -5.984636, ' no': -6.6683216}
{' No': -0.11697864, 'No': -2.2508574, '\n': -6.179162, ' ': -6.4029546, ' no': -7.381731}
{' No': -0.09463501, 'No': -2.528473, '\n': -5.2051964, ' ': -5.8231673, ' no': -6.5300384}
{' No': -0.12435758, 'No': -2.2399008, '\n': -5.3295517, ' ': -5.707995, ' no': -6.9061575}
{' No': -0.17574626, 'No': -2.087436, '\n': -3.5808134, ' ': -5.0610514, ' no': -6.4003725}
{' No': -0.24057737, 'No': -1.7377945, '\n': -3.4495409, ' ': -5.403011, ' no': -7.2496004}
{' No': -0.17754364, 'No': -2.2063253, '\n': -3.1636944, ' ': -5.2529, ' Ant': -6.1683097}
{' No': -0.2683602, 'No': -1.7581882, '\n': -2.9710042, ' ': -4.915352, ' AN': -6.2971168}
{' No': -0.03305623, 'No': -3.5193596, ' ': -6.44041, ' no': -7.257732, '\n': -7.741327}
{' No': -0.035803944, 'No': -3.3918161, ' ': -7.319997, '\n': -7.767108, ' no': -8.205054}
{' No': -0.0321323, 'No': -3.5509522, ' no': -6.812109, ' ': -7.101018, '\n': -7.2364545}
{' No': -0.046465617, 'No': -3.135407, ' ': -7.2974453, ' no': -7.5376396, '\n': -7.8702683}
{' No': -0.32546175, 'No': -1.4249338, '\n': -3.7317212, ' ': -5.1366973, ' no': -5.361302}
{' No': -0.37581846, 'No': -1.2666705, '\n': -3.7100546, ' ': -5.522387, ' no': -6.330975}
{' No': -0.2792789, 'No': -1.5920877, '\n': -3.824775, ' no': -4.8434534, ' ': -4.9646587}
{' No': -0.32638118, 'No': -1.3792472, '\n': -4.210954, ' ': -5.208687, ' no': -5.6497374}
{' No': -0.10408135, 'No': -2.9748583, ' no': -3.3101263, ' ': -5.329157, '\n': -5.6995673}
{' No': -0.086313285, 'No': -2.822561, ' no': -4.371044, ' ': -5.651182, '\n': -5.7957892}
{' No': -0.13181514, 'No': -2.7542822, ' no': -3.174984, '\n': -4.976509, ' ': -5.395422}
{' No': -0.16339016, 'No': -2.3407297, ' no': -3.5689363, ' AN': -4.801381, '\n': -4.8254824}
{' No': -0.017778164, 'No': -4.52103, '\n': -5.4741645, ' ': -6.129331, ' NO': -8.982811}
{' No': -0.011893169, 'No': -4.8704367, '\n': -6.3505177, ' ': -6.8092217, ' An': -7.873114}
{' No': -0.019876888, '\n': -4.6886215, 'No': -4.811686, ' ': -6.241923, ' Ant': -8.718808}
{' No': -0.01778296, 'No': -4.71164, '\n': -5.1390576, ' ': -6.2868905, ' Ant': -7.730638}
{' No': -0.114193566, 'No': -2.5653732, '\n': -3.7390368, ' ': -5.0465074, ' An': -8.3974}
{' No': -0.07867002, 'No': -2.848119, '\n': -4.3624454, ' ': -5.6462607, ' An': -7.5114455}
{' No': -0.12859598, '\n': -2.7619233, 'No': -3.0293238, ' ': -4.7775917, ' Ant': -7.914092}
{' No': -0.08424399, 'No': -3.0086384, '\n': -3.6889307, ' ': -5.319952, ' Ant': -7.2079973}
{' No': -0.099656455, 'No': -2.7392266, '\n': -3.7695708, ' ': -5.1380873, ' An': -7.7315707}
{' No': -0.079033114, 'No': -2.8134193, '\n': -4.5908227, ' ': -5.5470905, ' An': -7.2768583}
{' No': -0.10217691, '\n': -3.1057892, 'No': -3.1544857, ' ': -4.9338036, ' Ant': -6.3395967}
{' No': -0.06092594, 'No': -3.1488793, '\n': -4.5917697, ' ': -5.580985, ' Ant': -6.732869}
{' No': -0.024938395, 'No': -4.107309, ' ': -5.4862494, '\n': -5.651436, ' An': -8.164493}
{' No': -0.02153607, 'No': -4.2463207, '\n': -5.7221546, ' ': -5.7612114, ' An': -8.284669}
{' No': -0.030819582, 'No': -4.1836915, '\n': -4.5623746, ' ': -5.5034013, ' Ant': -7.8375616}
{' No': -0.029469151, 'No': -4.0025525, '\n': -5.015843, ' ': -5.6621246, ' Ant': -7.6692257}
{' No': -0.05134542, 'No': -3.1693645, ' ': -5.491401, '\n': -5.838234, ' An': -8.022016}
{' No': -0.0587989, 'No': -3.0099003, ' ': -5.6866517, '\n': -5.7069464, ' An': -7.912307}
{' No': -0.062446155, 'No': -3.2211127, '\n': -4.552711, ' ': -4.775678, ' Ant': -6.9669714}
{' No': -0.054930154, 'No': -3.1415906, ' ': -5.3349366, '\n': -5.6472645, ' Ant': -7.141145}
{' No': -0.060076777, 'No': -3.12432, ' ': -5.11374, '\n': -5.231056, ' An': -6.7466598}
{' No': -0.044882968, 'No': -3.5690486, ' ': -5.2476225, '\n': -5.384797, ' An': -5.760623}
{' No': -0.05964437, 'No': -3.2346742, '\n': -4.693502, ' ': -5.0907817, ' Ant': -6.261171}
{' No': -0.0475227, 'No': -3.4627352, ' ': -5.22843, '\n': -5.4205666, ' Ant': -6.045676}
{' Yes': -0.0046774056, 'Yes': -5.630178, ' Generally': -7.087572, ' yes': -9.008596, ' A': -10.720237}
{' Yes': -0.015091623, ' Generally': -5.0387425, 'Yes': -5.078934, ' No': -7.0400796, ' It': -7.486332}
