{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.6548866, ' Right': -0.7701305, ' left': -4.267115, ' right': -5.7878704, 'Left': -8.755079}
{' Right': -0.3968652, ' Left': -1.1438096, ' left': -5.2225623, ' right': -5.7392817, 'Right': -8.625043}
{' Right': -0.0019453774, ' right': -6.539535, ' Left': -8.297264, 'Right': -8.489358, ' "': -10.696567}
{' Right': -0.009857342, 'Right': -4.991743, ' right': -6.0511556, ' Left': -7.760193, 'right': -8.471736}
{' Right': -0.19631463, ' Left': -1.9417828, ' right': -4.2659802, 'Right': -4.4838605, ' left': -5.0786424}
{' Right': -0.09414005, ' Left': -3.0623178, ' right': -3.7800872, 'Right': -4.218957, ' left': -5.9738107}
{' Right': -0.018659234, 'Right': -4.5244193, ' right': -5.434776, ' Left': -5.9024763, 'right': -7.808364}
{' Left': -0.042439133, ' left': -3.1881871, 'Left': -8.636214, 'left': -9.0150585, ' Right': -12.20117}
{' Right': -0.0032203388, ' right': -5.7838025, 'Right': -8.981779, 'right': -11.740314, ' RIGHT': -12.719569}
{' Left': -0.16530453, ' left': -1.8892863, ' Right': -7.498457, 'left': -8.028624, 'Left': -8.250931}
{' Right': -0.04386552, ' right': -3.152733, 'Right': -8.962748, 'right': -9.985445, ' RIGHT': -12.472348}
{' Left': -0.05745347, ' left': -2.9030895, 'Left': -7.4312763, 'left': -7.8684807, ' Right': -12.417568}
{' Right': -0.006541724, ' right': -5.1257586, 'Right': -7.543191, 'right': -10.145408, ' RIGHT': -12.218881}
{' Left': -0.17496407, ' left': -1.8434345, 'left': -6.8071394, 'Left': -6.8896, ' Right': -9.321019}
{' Right': -0.06766081, ' right': -2.7409472, 'Right': -7.2696886, 'right': -8.492415, ' RIGHT': -11.924094}
{' Left': -0.10432704, ' left': -2.3314064, 'Left': -6.872168, 'left': -7.054816, ' "': -12.234994}
{' Right': -0.010032404, ' right': -4.6960063, 'Right': -7.2127256, 'right': -9.462724, ' "': -10.867909}
{' Left': -0.10616637, ' left': -2.3217843, 'Left': -6.4558673, 'left': -6.935083, ' "': -9.969045}
{' Right': -0.040912498, ' right': -3.2539878, 'Right': -6.736232, 'right': -8.249017, ' RIGHT': -11.5899105}
{' Left': -0.4743959, ' left': -0.9753438, 'left': -7.922193, 'Left': -8.091219, ' Right': -12.589729}
{' Right': -0.119405776, ' right': -2.1890984, 'Right': -7.858703, 'right': -9.087389, ' RIGHT': -11.184205}
{' Left': -0.6045365, ' left': -0.7937244, 'left': -7.2695384, 'Left': -7.711325, ' Right': -8.431259}
{' Right': -0.34221822, ' right': -1.2407644, 'Right': -8.020589, 'right': -8.195921, ' RIGHT': -10.991493}
{' Left': -0.105445296, ' left': -2.3338063, 'Left': -6.142674, 'left': -6.914981, ' "': -12.703092}
{' Right': -0.014653199, ' right': -4.347779, 'Right': -6.5289507, 'right': -8.984871, ' RIGHT': -11.430949}
{' Left': -0.13011584, ' left': -2.1398222, 'Left': -5.819468, 'left': -6.660292, ' Right': -9.970221}
{' Right': -0.035969894, ' right': -3.393712, 'Right': -6.5275545, 'right': -8.227139, ' RIGHT': -11.550148}
{' Left': -0.011593315, ' left': -4.491778, 'Left': -8.257479, 'left': -9.666534, ' Right': -12.969776}
{' Right': -0.0012745768, ' right': -6.885004, 'Right': -8.368123, 'right': -11.684021, ' RIGHT': -12.492126}
{' Left': -0.03734463, ' left': -3.3257184, 'Left': -7.717723, 'left': -8.491757, ' Right': -9.826592}
{' Right': -0.0060986937, ' right': -5.1427336, 'Right': -8.518773, 'right': -10.413466, ' RIGHT': -12.469848}
{' Left': -0.11267734, ' left': -2.336541, 'Left': -4.8379903, 'left': -6.2442937, ' Right': -10.434742}
{' Right': -0.025251506, ' right': -4.118021, 'Right': -4.8340373, 'right': -7.3078628, ' RIGHT': -10.692853}
{' Left': -0.11450171, ' left': -2.3450792, 'Left': -4.5743384, 'left': -6.223571, ' Right': -10.096298}
{' Right': -0.06554557, ' right': -2.9893258, 'Right': -4.4831614, 'right': -6.324054, ' RIGHT': -10.930507}
{' Left': -0.033815023, ' left': -3.4184966, ' Right': -8.238786, 'Left': -8.745225, 'left': -9.739568}
{' Right': -0.0050010746, ' right': -5.359024, 'Right': -8.621109, ' Left': -9.424367, 'right': -11.077556}
{' Left': -0.018077696, ' left': -4.03174, 'Left': -8.925712, 'left': -10.221583, ' Right': -12.991048}
{' Right': -0.003011188, ' right': -5.887323, 'Right': -8.672351, ' Left': -10.064502, 'right': -11.51668}
{' Left': -0.021340717, ' left': -3.8869696, 'Left': -7.652253, 'left': -9.040605, ' Right': -11.388943}
{' Right': -0.011665314, ' right': -4.5181446, 'Right': -7.4107094, 'right': -9.514946, ' RIGHT': -12.422694}
{' Left': -0.021758143, ' left': -3.8660135, 'Left': -7.7092943, 'left': -8.936217, ' ': -14.166506}
{' Right': -0.0058601648, ' right': -5.3054624, 'Right': -7.179415, 'right': -9.832326, ' Left': -10.146804}
{' Left': -0.082174115, ' left': -2.5667987, 'Left': -6.6031566, 'left': -7.3211946, ' Right': -9.612511}
{' Right': -0.01802174, ' right': -4.1459203, 'Right': -6.3191133, 'right': -8.47797, ' RIGHT': -11.379477}
{' Left': -0.035070047, ' left': -3.4067605, 'Left': -6.931215, 'left': -8.024283, ' Right': -11.995063}
{' Right': -0.0063645733, ' right': -5.3205047, 'Right': -6.719995, 'right': -9.24173, ' "': -9.647657}
{' Left': -0.13087893, ' left': -2.1012175, 'Left': -8.544312, 'left': -8.948103, ' Right': -10.258656}
{' Right': -0.14446723, ' right': -2.0095623, 'Right': -8.045094, 'right': -8.975259, ' RIGHT': -11.636231}
{' Left': -0.13685516, ' left': -2.0600748, 'Left': -8.12378, 'left': -8.745959, ' Right': -13.265975}
{' Right': -0.068154246, ' right': -2.7315242, 'Right': -7.5980673, 'right': -8.978477, ' Left': -9.690986}
{' Left': -0.042173684, ' left': -3.2688217, 'Left': -5.886526, 'left': -7.7047963, ' "': -11.766988}
{' Right': -0.0096097905, ' right': -5.027859, 'Right': -5.8756866, 'right': -8.613024, ' RIGHT': -11.322179}
{' Left': -0.051288325, ' left': -3.0532641, 'Left': -6.101863, 'left': -7.511264, ' ': -12.731964}
{' Right': -0.015433386, ' right': -4.4839754, 'Right': -5.744773, ' Left': -7.9316335, 'right': -8.121207}
{' Left': -0.0076342416, ' left': -4.914647, 'Left': -8.585697, ' Right': -10.087841, 'left': -10.23546}
{' Right': -0.0020532378, ' right': -6.3041677, 'Right': -8.521777, 'right': -11.356515, ' Left': -12.122973}
{' Left': -0.003933195, ' left': -5.591177, 'Left': -8.672981, 'left': -10.734234, ' "': -13.754742}
{' Right': -0.0011544465, ' right': -7.0894356, 'Right': -8.202377, ' "': -10.823753, 'right': -11.484167}
{' Left': -0.05805445, ' left': -3.0011656, 'Left': -5.143963, 'left': -7.385563, ' Right': -8.49893}
{' Right': -0.04249193, ' right': -3.8696725, 'Right': -3.9693623, 'right': -6.3235254, ' RIGHT': -10.522706}
{' Left': -0.06686747, ' left': -2.8841965, 'Left': -4.8933287, 'left': -6.749858, ' Right': -9.186946}
{' Right': -0.038600452, ' right': -3.902486, 'Right': -4.2497077, ' Left': -6.303757, 'right': -6.581294}
{' Left': -0.38110462, ' Right': -1.209304, ' left': -4.144019, ' right': -6.0310597, 'Left': -9.27414}
{' Right': -0.004590216, ' Left': -6.0753984, ' right': -6.1527853, 'Right': -9.114995, ' left': -10.435603}
{' Right': -0.004993467, ' right': -5.4681315, ' Left': -7.516016, 'Right': -8.639401, ' left': -11.105418}
{' Left': -0.059293233, ' left': -3.4620678, ' Right': -3.6679893, ' right': -7.6824484, 'Left': -8.910289}
{' Right': -0.55519617, ' Left': -0.9348862, ' left': -3.969007, ' right': -4.3219905, 'Right': -7.4977884}
{' Right': -0.0041873707, ' right': -5.761442, 'Right': -7.235485, ' Left': -8.330692, 'right': -9.958542}
{' Right': -0.011668631, ' right': -4.5666595, 'Right': -6.948953, ' Left': -9.080558, 'right': -9.1715555}
{' Left': -0.1706081, ' Right': -2.2026038, ' left': -3.17571, ' right': -5.660083, 'Left': -7.6622014}
{' Right': -0.73181105, ' Left': -1.0017428, ' left': -2.5198245, ' right': -2.723476, 'Right': -6.1838202}
{' Right': -0.031232372, ' right': -3.61548, 'Right': -6.290921, ' Left': -6.6185503, 'right': -7.8392477}
{' Right': -0.02719851, ' right': -3.7456565, 'Right': -6.122642, 'right': -7.66349, ' Left': -8.208829}
{' Left': -0.17463355, ' left': -2.0198922, ' Right': -3.7925646, ' right': -6.1692796, 'left': -6.4480095}
{' Left': -0.5393006, ' Right': -1.154308, ' left': -2.5779166, ' right': -3.6922011, 'left': -8.391622}
{' Right': -0.019592501, ' right': -3.9879856, ' Left': -7.8570957, 'Right': -7.926422, 'right': -9.691311}
{' Right': -0.04709757, ' right': -3.0988057, 'Right': -7.707235, ' Left': -8.379603, 'right': -9.0201235}
{' Left': -0.19890004, ' left': -2.1213129, ' Right': -2.9331758, ' right': -5.038568, 'Left': -7.9188895}
{' Left': -0.23326996, ' Right': -1.9026557, ' left': -3.0123227, ' right': -5.2404413, 'Left': -6.208087}
{' Right': -0.01677452, ' right': -4.410545, 'Right': -5.6747184, ' Left': -7.457008, 'right': -7.8847017}
{' Right': -0.015508627, ' right': -4.6307487, 'Right': -5.324692, 'right': -7.601761, ' Left': -8.887312}
{' Left': -0.0777464, ' left': -2.90565, ' Right': -4.1531305, 'Left': -6.114588, 'left': -6.5979643}
{' Right': -0.51367384, ' Left': -0.93356335, ' left': -5.1490955, ' right': -6.016067, 'Right': -8.746567}
{' Right': -0.0018267182, ' right': -6.907613, ' Left': -7.400052, 'Right': -8.559651, 'right': -11.688377}
{' Right': -0.0027816424, ' right': -6.1151853, ' Left': -8.003212, 'Right': -8.548711, 'right': -11.1009445}
{' Left': -0.19347237, ' Right': -1.8472484, ' left': -4.094994, ' right': -6.6377873, 'Left': -8.875919}
{' Right': -0.19648169, ' Left': -1.9517325, ' right': -3.9591274, 'Right': -4.838602, ' left': -4.903389}
{' Right': -0.016365048, 'Right': -5.070574, ' Left': -5.101549, ' right': -5.653531, 'right': -8.450962}
{' Right': -0.012124759, 'Right': -5.0465198, ' right': -5.5105324, ' Left': -6.7023215, 'right': -8.18994}
{' Left': -0.14048855, ' Right': -2.4274626, ' left': -3.387021, 'Left': -5.3460565, ' right': -6.096131}
{' Right': -0.070881054, ' Left': -2.854662, ' right': -4.7201443, ' left': -6.3762665, 'Right': -8.7270565}
{' Left': -0.01363063, ' left': -4.3856626, ' Right': -7.1988897, 'Left': -8.545915, 'left': -8.918546}
{' Right': -0.008938344, ' right': -4.7940373, ' Left': -7.9899864, 'Right': -8.551786, 'right': -9.522017}
{' Left': -0.052178532, ' left': -2.9909542, 'left': -8.31331, 'Left': -8.530944, ' Right': -8.798334}
{' Left': -0.07050164, ' Right': -2.9323256, ' left': -4.289515, 'Left': -7.590384, ' right': -8.163109}
{' Left': -0.024101853, ' left': -3.7904153, 'Left': -7.248863, 'left': -7.725668, ' Right': -9.516008}
{' Right': -0.014450779, ' right': -4.364022, 'Right': -7.129828, ' Left': -7.624882, 'right': -8.099245}
{' Left': -0.028724315, ' left': -3.608419, 'Left': -7.1453733, 'left': -7.7864466, ' Right': -11.333547}
{' Left': -0.055169526, ' Right': -3.3547645, ' left': -4.083989, 'Left': -6.877029, 'left': -7.5174155}
{' Left': -0.021317761, ' left': -3.9718792, 'Left': -6.7787523, 'left': -7.3047037, ' Right': -7.7426953}
{' Right': -0.015275954, ' right': -4.375126, 'Right': -6.4528847, 'right': -7.4784446, ' Left': -7.8762603}
{' Left': -0.037728816, ' left': -3.351989, 'Left': -6.7110724, 'left': -7.1776304, ' "': -10.82618}
{' Left': -0.19841903, ' Right': -1.872928, ' left': -3.7677798, ' right': -5.931979, 'Left': -8.215417}
{' Left': -0.048356712, ' left': -3.3084333, ' Right': -4.643333, 'Left': -7.807165, 'left': -7.9534755}
{' Right': -0.042283174, ' right': -3.2591271, ' Left': -6.1857057, 'Right': -7.6763453, 'right': -8.118394}
{' Left': -0.07031573, ' left': -2.7013028, 'Left': -7.7971926, 'left': -8.04175, ' Right': -10.0898905}
{' Left': -0.017420439, ' left': -4.334616, ' Right': -6.1233273, 'Left': -6.5001683, 'left': -7.721018}
{' Left': -0.015542286, ' left': -4.345098, 'Left': -6.4428434, 'left': -7.5318346, ' Right': -8.065621}
{' Right': -0.010131566, ' right': -5.3131537, ' Left': -5.797784, 'Right': -6.3561106, 'right': -8.151124}
{' Left': -0.022921694, ' left': -3.8820293, 'Left': -6.479565, 'left': -7.6143174, ' "': -11.115615}
{' Left': -0.12748241, ' Right': -2.2131052, ' left': -4.6555657, ' right': -7.9478846, 'Left': -8.356425}
