{'\n': -11.393823, ' ': -10.280131, ' Yes': -0.004631475, ' yes': -10.561475, 'Yes': -5.4026356}
{'\n': -4.4400387, ' ': -5.476361, ' Yes': -0.1554583, ' yes': -4.2799826, 'Yes': -2.2356088}
{' No': -4.873875, '\n': -6.324162, ' Yes': -0.052538622, ' yes': -3.6590924, 'Yes': -4.3255925}
{' No': -4.3749638, ' ': -7.7706127, ' Yes': -0.016282955, ' yes': -7.9365406, 'Yes': -6.1288524}
{' No': -4.8630314, '\n': -7.028991, ' ': -7.0125237, ' Yes': -0.023191594, 'Yes': -4.378643}
{' No': -6.2744174, '\n': -6.017682, ' ': -6.2002444, ' Yes': -0.02981672, 'Yes': -3.8071816}
{' No': -2.479129, '\n': -6.778711, ' ': -6.0316153, ' Yes': -0.097310536, 'Yes': -5.6385145}
{' No': -5.9817863, '\n': -6.1049623, ' ': -6.029908, ' Yes': -0.042287715, 'Yes': -3.4043233}
{' No': -5.6423097, '\n': -5.856044, ' Yes': -0.022377906, ' yes': -5.914511, 'Yes': -4.53951}
{' No': -0.3657924, 'No': -4.416009, ' January': -7.799528, ' Yes': -1.2382805, 'Yes': -6.4881887}
{' False': -9.219341, ' No': -0.050544098, ' ': -7.660888, 'No': -3.0429716, ' Yes': -7.441413}
{' No': -0.06101463, '\xa0': -9.716517, '\n': -7.73834, ' ': -7.3464384, 'No': -2.8502526}
{' No': -0.018083889, ' Not': -9.604798, ' ': -9.334223, 'No': -4.1735973, ' Yes': -6.1742167}
{' No': -0.10157178, '\n': -6.747629, ' ': -6.510649, 'No': -2.374212, ' Yes': -8.089381}
{' No': -0.067903824, '\n': -7.714079, ' ': -7.5648885, 'No': -2.7803497, ' Yes': -6.2186437}
{' No': -0.0041512805, '\n': -9.059146, ' ': -7.127761, 'No': -5.765257, ' no': -10.650357}
{' No': -0.029391991, '\n': -7.963734, ' ': -6.881997, 'No': -3.59761, ' no': -9.980167}
{' No': -0.049584247, '\xa0': -8.874447, '\n': -5.873723, ' ': -5.7009225, 'No': -3.1767144}
{' No': -0.0053434223, '\n': -10.475635, ' ': -7.001576, 'No': -5.4422765, ' no': -10.708051}
{' No': -0.14107947, '\n': -5.5478635, ' ': -4.9937243, 'No': -2.1206422, ' no': -8.119798}
{' No': -0.047827266, '\n': -7.536031, ' ': -6.460005, 'No': -3.374974, ' Yes': -4.699211}
{' No': -0.08606146, '\n': -7.6501575, ' ': -6.762141, 'No': -2.561819, ' no': -5.990289}
{' No': -0.11252905, ' ': -7.520173, 'No': -2.2515633, ' Yes': -9.25125, ' no': -8.6069355}
{' No': -0.1340289, '\n': -8.384315, ' ': -6.7552137, 'No': -2.0934956, ' Yes': -8.648324}
{' False': -9.801711, ' No': -0.03353922, ' ': -8.023486, 'No': -3.4321463, ' no': -9.141187}
{' No': -0.37532815, '\n': -7.372164, ' ': -7.25912, 'No': -1.1689187, 'no': -8.678301}
{' No': -0.11349132, ' ': -8.223278, 'No': -2.238104, 'no': -9.70563, ' no': -8.94793}
{' No': -0.027522014, '\n': -7.4238224, ' ': -5.162102, 'No': -5.1278195, ' no': -4.2680383}
{' No': -0.0420905, '\n': -7.633408, ' ': -6.237704, 'No': -3.2856815, ' no': -6.8055425}
{' No': -0.101201855, '\n': -5.396942, ' ': -5.110782, 'No': -2.4800186, ' no': -6.6693807}
{' No': -0.021107778, '\n': -8.351157, ' ': -6.4856005, 'No': -4.0159655, ' no': -7.0618005}
{' No': -0.2476362, '\n': -3.9234486, ' ': -4.804021, 'No': -1.6914055, ' no': -5.3521185}
{' No': -0.087075636, '\n': -5.3764315, ' ': -5.855411, 'No': -3.2039938, ' no': -3.4221928}
{' No': -0.006345978, '\n': -7.569843, ' ': -6.592367, 'No': -5.498966, ' no': -8.997098}
{' No': -0.0353456, '\n': -6.079817, ' ': -6.15353, 'No': -3.509272, ' no': -9.179132}
{' No': -0.035650253, '\n': -5.9352183, ' ': -5.83836, 'No': -3.539215, ' no': -9.273863}
{' No': -0.012272404, '\n': -7.7755013, ' ': -5.915983, 'No': -4.7241096, ' no': -9.809774}
{' No': -0.050251853, '\n': -5.710554, ' ': -5.5891423, 'No': -3.1792057, ' no': -8.981132}
{' No': -0.04485392, '\n': -5.6441765, ' ': -5.698919, 'No': -3.3533728, ' no': -7.128349}
{' No': -0.0358559, 'No': -4.3231807, ' Yes': -4.3216357, ' February': -6.1613913, ' Chron': -5.9990063}
{' No': -0.04981227, ' ': -7.537745, 'No': -3.0605733, ' Yes': -7.9038057, ' February': -8.435277}
{' No': -0.06600734, '\n': -8.046578, ' ': -7.385539, 'No': -2.7784247, ' Yes': -7.921576}
{' No': -0.011735211, 'No': -4.689534, ' Yes': -7.227875, ' February': -7.75676, ' Chron': -7.317858}
{' No': -0.12394358, '\n': -5.8611755, ' ': -6.3308196, 'No': -2.213961, ' Yes': -6.7192316}
{' No': -0.109535605, ' ': -7.2566047, 'No': -2.6045363, ' Yes': -3.6361048, ' February': -7.4668565}
{' No': -0.006483109, '\n': -8.171078, ' ': -6.725902, 'No': -5.358553, ' no': -9.534518}
{' No': -0.035581447, '\n': -7.3252006, ' ': -6.638703, 'No': -3.4271846, ' no': -9.16791}
{' No': -0.06318671, '\n': -5.5901585, ' ': -5.6732974, 'No': -2.9272726, ' no': -8.81522}
{' No': -0.0068158833, ' ': -7.0144544, 'No': -5.1676583, ' February': -9.751, ' no': -9.835257}
{' No': -0.19414108, '\n': -4.779042, ' ': -4.819899, 'No': -1.8430573, ' no': -7.4011316}
{' No': -0.042800143, ' ': -6.353668, 'No': -3.3322346, ' February': -6.741699, ' no': -6.6722913}
{' No': -0.071361095, '\n': -7.3838854, ' ': -6.6212764, 'No': -2.8133388, ' no': -5.2602777}
{' No': -0.094156496, ' ': -7.6296854, 'No': -2.4369338, ' Yes': -7.043595, ' no': -7.9211025}
{' No': -0.1660164, ' ': -7.1350327, 'No': -2.0768955, ' Yes': -3.7316618, 'Yes': -6.5816994}
{' No': -0.03086341, ' ': -7.7185793, 'No': -3.5425363, ' Yes': -8.242053, ' no': -8.1184435}
{' No': -0.41016015, '\n': -6.7476654, ' ': -6.956045, 'No': -1.1089917, ' Yes': -6.085767}
{' No': -0.07390586, ' ': -8.28976, 'No': -2.6754475, ' Yes': -6.6576147, ' no': -7.8134975}
{' No': -0.03886731, '\n': -7.187974, ' ': -4.8636885, 'No': -4.6278243, ' no': -3.9494545}
{' No': -0.0516405, '\n': -7.193009, ' ': -5.9375796, 'No': -3.1173468, ' no': -6.069778}
{' No': -0.11466413, '\n': -5.0844927, ' ': -5.0423756, 'No': -2.3841114, ' no': -5.942692}
{' No': -0.032573283, '\n': -7.7452507, ' ': -5.983089, 'No': -3.6085353, ' no': -6.377464}
{' No': -0.2387587, '\n': -3.949301, ' ': -4.775762, 'No': -1.7433993, ' no': -4.9224887}
{' No': -0.07731692, '\n': -5.8643026, ' ': -5.823677, 'No': -3.494779, ' no': -3.3257413}
{' No': -0.005758484, '\n': -7.986598, ' ': -6.771074, 'No': -5.5575542, ' no': -8.826073}
{' No': -0.040063538, '\n': -6.012161, ' ': -6.2855525, 'No': -3.3648505, ' no': -9.17544}
{' No': -0.052712206, '\n': -5.819651, ' ': -5.8720517, 'No': -3.101397, ' no': -8.759274}
{' No': -0.012532986, '\n': -7.601201, ' ': -5.898523, 'No': -4.7273345, ' February': -9.13847}
{' No': -0.06784112, '\n': -5.4037633, ' ': -5.405085, 'No': -2.881899, ' no': -8.470639}
{' No': -0.051513597, '\n': -5.588689, ' ': -5.6743407, 'No': -3.3089235, ' Yes': -5.693931}
{'\n': -11.276005, ' ': -10.708725, ' Yes': -0.0048739067, ' yes': -10.438804, 'Yes': -5.3440156}
{'\n': -10.184019, ' ': -8.584826, ' Yes': -0.01611243, ' yes': -8.758799, 'Yes': -4.168633}
{'\n': -8.872367, ' ': -8.222407, ' Yes': -0.0222735, ' yes': -8.742689, 'Yes': -3.8476136}
{' ': -11.4190645, ' Of': -12.104995, ' Yes': -0.0018595605, ' yes': -10.599722, 'Yes': -6.318689}
{'\n': -7.2115307, ' ': -7.4123344, ' Yes': -0.032477904, ' yes': -8.5618, 'Yes': -3.50168}
{'\n': -8.549154, ' ': -8.420563, ' Yes': -0.016168036, ' yes': -7.91098, 'Yes': -4.1929445}
{'\n': -9.495272, ' ': -8.032153, ' Yes': -0.0018529918, ' yes': -8.800725, 'Yes': -6.664611}
{'\n': -8.042756, ' ': -7.433669, ' Yes': -0.014461363, ' yes': -7.9513044, 'Yes': -4.344318}
{'\n': -5.4367037, ' ': -5.7269197, ' Yes': -0.0412742, ' yes': -7.357634, 'Yes': -3.4489985}
{'\n': -11.201404, ' ': -8.4729805, ' Yes': -0.0025697742, ' yes': -9.297211, 'Yes': -6.103836}
{'\n': -5.19612, ' ': -5.203895, ' Yes': -0.11654731, ' yes': -6.113882, 'Yes': -2.3485534}
{'\n': -8.207263, ' ': -7.1842146, ' Yes': -0.017614905, ' yes': -5.8757463, 'Yes': -4.3239293}
{' ': -7.441439, ' Yes': -0.042585038, ' yes': -4.5081515, 'Yes': -3.543268, 'yes': -7.737481}
{' No': -9.0441675, ' ': -8.688931, ' Yes': -0.028752472, ' yes': -6.9684577, 'Yes': -3.6148727}
{' No': -5.948118, ' ': -7.644195, ' Yes': -0.0508639, ' yes': -6.6377587, 'Yes': -3.117535}
{' No': -6.860444, ' ': -8.928759, ' Yes': -0.011661095, ' yes': -7.255992, 'Yes': -4.651773}
{' No': -6.7826257, ' ': -7.5428653, ' Yes': -0.119606964, ' yes': -6.854077, 'Yes': -2.2199907}
{' No': -7.1569805, ' ': -8.80162, ' Yes': -0.01976587, ' yes': -6.1819587, 'Yes': -4.114813}
{'\n': -7.7657986, ' ': -6.685968, ' Yes': -0.046138305, ' yes': -3.269723, 'Yes': -5.3456817}
{'\n': -7.350436, ' ': -6.6056337, ' Yes': -0.03394654, ' yes': -5.0441165, 'Yes': -3.7075229}
{'\n': -5.275478, ' ': -5.8579054, ' Yes': -0.084935725, ' yes': -5.1440825, 'Yes': -2.7101798}
{' ': -8.112478, ' Yes': -0.013605615, ' yes': -5.9889493, 'Yes': -4.5607853, 'yes': -8.944775}
{'\n': -4.10685, ' ': -5.193663, ' Yes': -0.18871194, ' yes': -4.186929, 'Yes': -2.0429485}
{'\n': -6.04012, ' ': -6.509383, ' Yes': -0.09506643, ' yes': -2.6882517, 'Yes': -4.089852}
{'\n': -8.883449, ' ': -8.4138365, ' Yes': -0.003110437, ' yes': -7.9539714, 'Yes': -6.0883303}
{'\n': -6.689566, ' ': -7.086251, ' Yes': -0.01910088, ' yes': -7.699415, 'Yes': -4.1264653}
{'\n': -6.197214, ' ': -6.2157364, ' Yes': -0.027570967, ' yes': -7.3177414, 'Yes': -3.8108847}
{'\n': -8.707393, ' ': -7.3000283, ' Yes': -0.0045726746, ' yes': -8.619892, 'Yes': -5.68108}
{'\n': -5.570598, ' ': -5.7413745, ' Yes': -0.045062907, ' yes': -7.195064, 'Yes': -3.327463}
{'\n': -6.137738, ' ': -6.306081, ' Yes': -0.02248397, ' yes': -5.4511166, 'Yes': -4.318434}
{'\n': -11.2686205, ' ': -10.304585, ' Yes': -0.0036849515, ' yes': -10.486598, 'Yes': -5.6327124}
{' No': -5.6310706, ' ': -8.720329, 'No': -8.538724, ' Yes': -0.015170776, 'Yes': -4.528053}
{' No': -5.589147, ' ': -7.6373696, 'No': -8.049403, ' Yes': -0.026603665, 'Yes': -3.8530176}
{' No': -8.631699, ' ': -10.731125, ' Yes': -0.002075159, ' yes': -10.287013, 'Yes': -6.318699}
{'\n': -7.6626935, ' ': -7.3940744, ' Yes': -0.038698528, ' yes': -8.412165, 'Yes': -3.3166106}
{'\n': -9.284332, ' ': -8.717171, ' Yes': -0.016237337, ' yes': -8.225269, 'Yes': -4.172024}
{' No': -1.6299314, ' ': -6.5070863, 'No': -7.4565134, ' Yes': -0.22267446, 'Yes': -7.023293}
{' No': -3.2919886, ' ': -6.689739, 'No': -6.345232, ' Yes': -0.05519901, 'Yes': -4.3788}
{' No': -7.3067813, '\n': -5.488614, ' ': -5.75425, ' Yes': -0.041621435, 'Yes': -3.443305}
{' No': -0.08039584, ' ': -6.2901735, 'No': -4.8604975, ' Yes': -2.70086, 'Yes': -8.261779}
{' No': -3.3090794, '\n': -4.649009, ' ': -4.458341, ' Yes': -0.1578477, 'Yes': -2.5521557}
{' No': -6.080269, ' ': -7.1417522, ' Yes': -0.01747163, ' yes': -6.187374, 'Yes': -4.479862}
{' No': -2.8782356, 'No': -5.498782, ' Yes': -0.09679876, ' yes': -4.491529, 'Yes': -4.017661}
{' No': -3.0088189, 'No': -5.453, ' Yes': -0.078704126, ' yes': -6.885141, 'Yes': -3.8927622}
{' No': -5.6470175, 'No': -7.6696, ' Yes': -0.04242085, ' yes': -6.94835, 'Yes': -3.3301442}
{' No': -0.24650788, ' ': -7.264245, 'No': -3.7196524, ' Yes': -1.6590654, 'Yes': -6.0743914}
{' No': -5.9796195, 'No': -6.606306, ' Yes': -0.11400811, ' yes': -6.9457946, 'Yes': -2.283789}
{' No': -0.2580785, ' ': -7.4145904, 'No': -2.3649452, ' Yes': -2.0610075, 'Yes': -5.4888062}
{' No': -2.6266298, ' ': -5.475486, ' Yes': -0.101273805, ' yes': -4.2236586, 'Yes': -5.8720713}
{' No': -7.0524044, ' ': -6.323437, ' Yes': -0.029469028, ' yes': -5.568842, 'Yes': -3.8292909}
{'\n': -4.9691787, ' ': -5.4398074, ' Yes': -0.077806056, ' yes': -5.418161, 'Yes': -2.851459}
{' No': -0.080873825, '\n': -6.9004307, ' ': -5.794955, 'No': -3.3672106, ' Yes': -3.2783031}
{' No': -3.4045289, '\n': -3.824122, ' Yes': -0.19414657, ' yes': -4.4515824, 'Yes': -2.4093468}
{' No': -1.8767862, 'No': -4.9704623, ' Yes': -0.23028454, ' yes': -3.6689801, 'Yes': -4.5812163}
{' No': -2.3162684, ' ': -6.9087977, 'No': -7.174273, ' Yes': -0.109841764, 'Yes': -6.07513}
{' No': -4.8729577, '\n': -6.246039, ' ': -6.4371705, ' Yes': -0.030520272, 'Yes': -4.0271497}
{' No': -6.0696373, '\n': -5.6025295, ' ': -5.9625382, ' Yes': -0.033791408, 'Yes': -3.739495}
{' No': -0.07159477, '\n': -6.664432, ' ': -5.30654, 'No': -4.086825, ' Yes': -3.0906968}
{' No': -3.16455, '\n': -4.725665, ' ': -4.936141, ' Yes': -0.1108733, 'Yes': -3.1847868}
{' No': -3.787256, '\n': -5.116432, ' ': -5.653364, ' Yes': -0.048539903, 'Yes': -4.5803113}
{' No': -0.24320063, ' ': -8.656094, 'No': -4.3741136, ' Yes': -1.6026862, 'Yes': -6.857462}
{' No': -0.047839463, '\n': -9.738338, ' ': -7.674732, 'No': -3.0843554, ' Yes': -8.708836}
{' No': -0.06499082, '\xa0': -9.540143, '\n': -7.5639167, ' ': -7.174911, 'No': -2.7908208}
{' No': -0.012573849, ' Not': -11.271287, ' ': -9.567468, 'No': -4.408314, ' Yes': -8.6464405}
{' No': -0.09037724, '\n': -6.6485195, ' ': -6.4968486, 'No': -2.4894154, ' Yes': -8.351644}
{' No': -0.05596761, '\n': -7.522128, ' ': -7.38278, 'No': -2.9460754, ' Yes': -8.462727}
{' No': -0.0037062513, '\n': -8.772409, ' ': -6.900911, 'No': -6.0154853, ' no': -10.376094}
{' No': -0.02702403, '\n': -7.397898, ' ': -6.674443, 'No': -3.7040658, ' no': -9.985094}
{' No': -0.047543388, '\xa0': -8.6879, '\n': -5.5128636, ' ': -5.5774064, 'No': -3.2684813}
{' No': -0.004439153, '\n': -10.362792, ' ': -6.9710526, 'No': -5.6776395, ' no': -11.033233}
{' No': -0.13428669, '\n': -5.3202987, ' ': -4.839517, 'No': -2.189861, ' no': -8.300882}
{' No': -0.039737213, '\n': -7.472513, ' ': -6.2377596, 'No': -3.3418765, ' no': -7.3833}
{' No': -0.0724872, '\n': -7.3586745, ' ': -6.4200053, 'No': -2.740431, ' no': -6.110903}
{' No': -0.093106136, ' ': -7.501849, 'No': -2.4320743, 'no': -9.704162, ' no': -8.691072}
{' No': -0.1415518, '\xa0': -8.6931095, '\n': -8.299991, ' ': -6.6551323, 'No': -2.0416696}
{' False': -9.820073, ' No': -0.023862781, ' ': -7.915524, 'No': -3.776928, ' no': -9.00848}
{' No': -0.44186822, '\n': -7.410919, ' ': -7.125603, 'No': -1.0353682, 'no': -8.6029825}
{' No': -0.10360094, '\n': -9.439422, ' ': -7.919395, 'No': -2.3270068, ' no': -8.672992}
{' No': -0.027992044, '\n': -7.319047, ' ': -5.1895156, 'No': -5.30545, ' no': -4.149818}
{' No': -0.036935613, '\n': -7.265695, ' ': -5.997322, 'No': -3.45985, ' no': -6.5773025}
{' No': -0.10677992, '\n': -5.1282277, ' ': -5.1605783, 'No': -2.432614, ' no': -6.8133345}
{' No': -0.023014152, '\n': -7.60233, ' ': -6.2651978, 'No': -3.935516, ' no': -7.3419466}
{' No': -0.22013178, '\n': -3.7218103, ' ': -4.806266, 'No': -1.8427705, ' no': -5.376245}
{' No': -0.08065852, '\n': -5.440594, ' ': -5.7194214, 'No': -3.4065385, ' no': -3.3607028}
{' No': -0.0062657814, '\n': -7.2410536, ' ': -6.44371, 'No': -5.609075, ' no': -9.158856}
{' No': -0.033889934, '\n': -6.0293655, ' ': -6.278558, 'No': -3.5490837, ' no': -9.455095}
{' No': -0.0378216, '\n': -5.491904, ' ': -5.876099, 'No': -3.513871, ' no': -9.425415}
{' No': -0.011462956, '\n': -7.87512, ' ': -5.884965, 'No': -4.816213, ' no': -9.906373}
{' No': -0.05534735, '\n': -5.536503, ' ': -5.4898276, 'No': -3.0934274, ' no': -8.810406}
{' No': -0.03994337, '\n': -5.4957886, ' ': -5.54899, 'No': -3.5217586, ' no': -7.166276}
{' No': -2.9933462, ' March': -6.7338395, 'No': -7.042054, ' Yes': -0.05978712, 'Yes': -5.706664}
{' No': -0.05728947, ' ': -7.652859, 'No': -3.0699122, ' Yes': -4.9176598, ' It': -7.8098965}
{' No': -0.07220981, '\n': -8.3472395, ' ': -7.0579214, 'No': -2.7307713, ' Yes': -5.8159957}
{' No': -0.01847646, ' ': -8.938613, ' March': -8.732032, 'No': -4.2349544, ' Yes': -5.7657256}
{' No': -0.12223101, '\n': -6.190645, ' ': -6.228854, 'No': -2.357102, ' Yes': -4.2198224}
{' No': -0.3410851, ' ': -6.951098, 'No': -3.1791282, ' Yes': -1.4289757, 'Yes': -5.6321983}
{' No': -0.006877756, '\n': -8.289922, ' ': -6.629226, 'No': -5.2893004, ' Yes': -9.93359}
{' No': -0.035772994, '\n': -7.2480764, ' ': -6.4050164, 'No': -3.434727, ' Yes': -8.683354}
{' No': -0.071025275, '\n': -5.2076044, ' ': -5.311311, 'No': -2.857795, ' Yes': -8.772899}
{' No': -0.0069480976, '\n': -9.737985, ' ': -6.5295935, ' March': -10.178664, 'No': -5.238479}
{' No': -0.17990991, '\n': -4.752593, ' ': -4.744958, 'No': -1.9242526, ' no': -7.863332}
{' No': -0.05442041, ' ': -6.02415, ' March': -6.4489627, 'No': -3.224378, ' Yes': -5.0258164}
{' No': -0.0713072, '\n': -7.428792, ' ': -6.3635783, 'No': -2.8051765, ' no': -5.5160074}
{' No': -0.106303446, ' ': -7.502164, 'No': -2.3471158, ' Yes': -5.620677, ' no': -8.281526}
{' No': -0.23203363, ' ': -6.5592923, 'No': -2.288127, ' Yes': -2.328225, 'Yes': -5.2932305}
{' No': -0.033075448, ' ': -7.656775, 'No': -3.493248, ' Yes': -6.819434, ' no': -8.586188}
{' No': -0.40448213, ' ': -7.0214806, 'No': -1.1264288, ' Yes': -5.380331, 'Yes': -7.1942153}
{' No': -0.10594184, ' ': -7.8696427, 'No': -2.3315792, ' Yes': -6.1642246, ' no': -7.8715796}
{' No': -0.029608633, '\n': -7.272233, ' ': -4.844645, 'No': -4.934628, ' no': -4.3494687}
{' No': -0.052835364, '\n': -7.047558, ' ': -5.7064686, 'No': -3.0863454, ' no': -6.6492443}
{' No': -0.13145031, '\n': -4.931005, ' ': -4.9775844, 'No': -2.2417886, ' no': -6.2706356}
{' No': -0.03334138, '\n': -7.5291653, ' ': -5.974269, 'No': -3.5591002, ' no': -6.941761}
{' No': -0.22818069, '\n': -3.9240558, ' ': -4.6800694, 'No': -1.7950102, ' no': -5.07422}
{' No': -0.08621687, '\n': -5.1000547, ' ': -5.567202, 'No': -3.3084056, ' no': -3.4897933}
{' No': -0.007618385, '\n': -7.7117705, ' ': -6.730354, 'No': -5.309126, ' Yes': -7.398375}
{' No': -0.045365673, '\n': -6.2168775, ' ': -5.964751, 'No': -3.2418797, ' Yes': -8.515499}
{' No': -0.060992774, '\n': -5.6208014, ' ': -5.423351, 'No': -3.0468152, ' Yes': -5.8860707}
{' No': -0.01648411, '\n': -7.9047494, ' ': -5.7357845, ' March': -9.033005, 'No': -4.3893}
{' No': -0.07710811, '\n': -5.344682, ' ': -5.1429944, 'No': -2.7711008, ' Yes': -7.6813345}
{' No': -0.04804959, '\n': -5.796638, ' ': -5.5950146, 'No': -3.5275016, ' Yes': -4.8854136}
{'\n': -10.330064, ' ': -10.144341, ' Yes': -0.0048346138, ' yes': -9.76159, 'Yes': -5.3715415}
{' No': -4.1901364, ' ': -8.021625, 'No': -7.409196, ' Yes': -0.029009778, 'Yes': -4.4207087}
{' No': -4.071386, ' ': -7.56814, 'No': -7.145895, ' Yes': -0.039636496, 'Yes': -3.9228017}
{' No': -10.35035, ' ': -11.22211, ' Yes': -0.0018920472, ' yes': -10.311796, 'Yes': -6.3282547}
{' No': -6.0096364, '\n': -7.2136855, ' ': -7.066975, ' Yes': -0.03657226, 'Yes': -3.468644}
{'\n': -8.717435, ' ': -8.454283, ' Yes': -0.013451311, ' yes': -7.656006, 'Yes': -4.397534}
{'\n': -9.463112, ' ': -7.73149, ' Yes': -0.0021794506, ' yes': -8.383243, 'Yes': -6.600711}
{' No': -5.1365128, '\n': -7.1159453, ' ': -6.576488, ' Yes': -0.024757711, 'Yes': -4.169586}
{'\n': -5.2646174, ' ': -5.4465575, ' Yes': -0.041873436, ' yes': -6.99472, 'Yes': -3.5256114}
{' No': -4.4517593, ' ': -7.1051764, ' Yes': -0.0155355055, ' yes': -8.822886, 'Yes': -5.948467}
{' No': -2.979094, '\n': -4.723616, ' ': -4.4490056, ' Yes': -0.17093879, 'Yes': -2.585541}
{'\n': -7.982356, ' ': -6.90792, ' Yes': -0.019491542, ' yes': -5.6069508, 'Yes': -4.3043976}
{' No': -4.0471697, 'No': -6.492286, ' Yes': -0.06281617, ' yes': -4.458801, 'Yes': -3.5794406}
{' No': -3.2545211, 'No': -5.5310807, ' Yes': -0.08217321, ' yes': -6.5772843, 'Yes': -3.380246}
{' No': -1.7399265, 'No': -4.2049665, ' Yes': -0.2573272, ' yes': -6.251487, 'Yes': -3.4386377}
{' No': -0.7418089, ' ': -7.472957, 'No': -4.2434893, ' Yes': -0.6909589, 'Yes': -4.984351}
{' No': -3.9283159, 'No': -4.7505603, ' Yes': -0.1555383, ' yes': -6.611488, 'Yes': -2.1877325}
{' No': -5.750986, ' ': -8.243892, ' Yes': -0.030046105, ' yes': -5.8216567, 'Yes': -3.7870708}
{' ': -6.272316, ' Yes': -0.053810094, ' yes': -3.0923672, 'Yes': -5.500335, 'yes': -8.006388}
{'\n': -7.0767446, ' ': -6.182523, ' Yes': -0.044499334, ' yes': -4.4222574, 'Yes': -3.5821865}
{'\n': -5.275756, ' ': -5.3394165, ' Yes': -0.0867549, ' yes': -4.4200697, 'Yes': -2.8277674}
{' No': -3.6143744, ' ': -6.762081, ' Yes': -0.046068523, ' yes': -5.506323, 'Yes': -4.477167}
{' No': -1.7720162, '\n': -3.108085, 'No': -3.1390235, ' Yes': -0.49293098, 'Yes': -2.3767087}
{'\n': -5.838553, ' ': -6.1755533, ' Yes': -0.1434252, ' yes': -2.218895, 'Yes': -4.0816374}
{'\n': -8.824602, ' ': -8.044146, ' Yes': -0.0035463448, ' yes': -7.49, 'Yes': -6.09606}
{' No': -5.1390963, '\n': -6.3305764, ' ': -6.502974, ' Yes': -0.030747235, 'Yes': -3.92533}
{'\n': -5.73895, ' ': -5.6982512, ' Yes': -0.031613465, ' yes': -6.855311, 'Yes': -3.8186486}
{' No': -1.7090192, ' ': -5.6473165, 'No': -6.4197927, ' Yes': -0.2118269, 'Yes': -5.6647077}
{' No': -2.8038042, '\n': -4.519024, ' ': -4.525762, ' Yes': -0.13099857, 'Yes': -3.3473413}
{' No': -5.9711456, ' ': -6.0978484, ' Yes': -0.024635829, ' yes': -5.556965, 'Yes': -4.37372}
{' ': -10.307782, ' Generally': -11.139093, ' Yes': -0.003770268, ' yes': -10.530793, 'Yes': -5.6134114}
{' No': -0.23230968, ' ': -7.203864, 'No': -3.189396, ' Yes': -1.820387, 'Yes': -6.2015533}
{' No': -0.25002748, ' ': -6.4978604, 'No': -2.7254112, ' Yes': -1.9065043, 'Yes': -5.4503503}
{' No': -1.2120543, 'No': -5.5920286, ' January': -8.389314, ' Yes': -0.36245248, 'Yes': -6.1909394}
