{' Yes': -0.055776756, ' No': -2.984169, ' The': -6.1620555, 'Yes': -6.8753333, '\n': -8.805377}
{' No': -0.18922648, ' Yes': -1.8130707, 'No': -5.0439205, ' The': -6.7557755, 'Yes': -7.496025}
{' No': -0.030969273, ' Yes': -4.1561275, 'No': -4.31879, '\n': -7.6340723, ' The': -7.74582}
{' Yes': -0.0023093822, 'Yes': -6.1046114, ' yes': -10.072528, '\n': -10.859473, ' ': -11.953175}
{' Yes': -0.0025378054, 'Yes': -6.0213227, ' No': -10.225461, ' yes': -10.252467, ' The': -10.985564}
{' No': -0.11611637, ' Yes': -2.2937114, 'No': -5.17528, ' Not': -6.3461723, ' The': -7.1793103}
{' No': -0.018075572, ' Yes': -4.618423, 'No': -4.9110613, ' The': -8.1911955, '\n': -8.797917}
{' Yes': -0.5954235, ' No': -0.8148069, 'No': -6.036801, 'Yes': -6.19065, ' The': -7.090085}
{' No': -0.3721296, ' Yes': -1.1973763, 'No': -5.149292, 'Yes': -6.314813, ' The': -7.314134}
{' No': -0.0061855316, 'No': -5.397957, ' Yes': -6.722454, '\n': -8.252928, ' The': -9.673056}
{' No': -0.012523692, 'No': -4.8047023, ' Yes': -5.5380173, '\n': -9.177984, ' The': -9.659003}
{' No': -0.020272054, 'No': -4.085915, ' Yes': -5.8718705, ' The': -8.550712, ' Not': -9.301433}
{' No': -0.032464974, ' Yes': -3.7460403, 'No': -4.856798, '\n': -8.788433, ' The': -8.932953}
{' No': -0.5136085, ' Yes': -0.9238869, 'No': -6.1836543, ' The': -6.714872, 'Yes': -6.9673934}
{' No': -0.014126763, ' Yes': -4.605422, 'No': -5.5933256, ' The': -8.857936, '\n': -9.425333}
{' No': -0.39068407, ' Yes': -1.1530819, 'No': -5.5049777, 'Yes': -6.1838684, ' The': -6.7309775}
{' No': -0.073264316, ' Yes': -2.7923973, 'No': -4.827403, 'Yes': -7.520879, ' The': -7.734244}
{' No': -0.09126303, ' Yes': -2.5306838, 'No': -5.048836, ' The': -7.672128, 'Yes': -7.9952736}
{' No': -0.03484401, ' Yes': -3.6678755, 'No': -4.8176236, ' The': -8.258986, 'Yes': -8.979063}
{' Yes': -0.21769094, ' No': -1.6541837, 'Yes': -6.0555162, 'No': -6.8781085, ' The': -7.5619745}
{' No': -0.06965718, ' Yes': -2.9465375, 'No': -4.3150773, '\n': -7.385176, 'Yes': -7.6660805}
{' Yes': -0.0017630645, 'Yes': -6.4822526, ' No': -8.708173, ' yes': -9.904544, '\n': -12.111816}
{' Yes': -0.0578356, ' No': -2.9572725, 'Yes': -5.675801, 'No': -7.6276536, ' The': -8.83468}
{' No': -0.008291512, 'No': -5.163149, ' Yes': -6.192335, ' The': -8.636175, ' Not': -8.660463}
{' No': -0.1678183, ' Yes': -1.9148751, 'No': -5.518648, ' The': -6.5027924, ' Not': -7.725527}
{' Yes': -0.0045990795, ' No': -6.116373, 'Yes': -6.1202016, ' yes': -9.708031, ' The': -9.968456}
{' No': -0.083606124, ' Yes': -2.6102633, 'No': -5.319303, '\n': -7.2349505, ' The': -7.670064}
{' Yes': -0.18054259, ' No': -1.831118, 'Yes': -5.9411983, 'No': -6.920422, ' The': -7.243027}
{' Yes': -0.2505008, ' No': -1.5238105, 'Yes': -6.5450006, ' The': -6.7566633, 'No': -7.139317}
{' Yes': -0.16906154, ' No': -1.881479, 'Yes': -6.264425, 'No': -7.2586765, ' The': -8.027807}
{' No': -0.34542453, ' Yes': -1.2518425, 'No': -5.599964, ' The': -6.8928103, 'Yes': -7.2304964}
{' No': -0.029906563, ' Yes': -3.6484005, 'No': -5.950395, ' The': -7.666735, ' Not': -8.928406}
{' No': -0.04915929, ' Yes': -3.1338627, 'No': -5.577916, ' The': -7.961475, 'Yes': -9.113469}
{' Yes': -0.10093708, ' No': -2.3776839, 'Yes': -6.186089, 'No': -7.597322, ' The': -8.1934395}
{' No': -0.36787695, ' Yes': -1.1979551, 'No': -5.4479947, 'Yes': -7.046035, ' The': -7.740424}
{' No': -0.16403255, ' Yes': -1.9319082, 'No': -5.4546304, ' Not': -6.738367, 'Yes': -7.609692}
{' No': -0.048343387, ' Yes': -3.1194112, 'No': -6.2411737, ' The': -7.3861766, '\n': -8.833703}
{' Yes': -0.0025378054, 'Yes': -6.210889, ' No': -7.7321615, ' yes': -10.370654, '\n': -10.514403}
{' Yes': -0.3569798, ' No': -1.2156625, 'Yes': -6.2817707, 'No': -6.735752, '\n': -8.491171}
{' Yes': -0.0203855, ' No': -4.057853, 'Yes': -5.9852705, 'No': -9.054248, ' The': -9.191495}
{' No': -0.4468821, ' Yes': -1.0353277, 'No': -5.728622, 'Yes': -7.1293807, ' The': -7.4652743}
{' No': -0.024019187, 'No': -3.7769547, ' Yes': -7.8483825, ' The': -8.606736, ' Not': -8.782693}
{' No': -0.016240612, 'No': -4.329316, ' Yes': -6.0031867, ' The': -8.766595, '\n': -9.119363}
{' No': -0.0069613624, 'No': -5.342857, ' Yes': -6.301643, '\n': -8.918094, ' The': -9.488051}
{' No': -0.19175258, ' Yes': -1.8026248, 'No': -4.894557, 'Yes': -6.759476, ' The': -7.664059}
{' Yes': -0.0060849595, ' No': -5.619225, 'Yes': -6.0869484, ' yes': -9.634404, ' The': -9.803377}
{' Yes': -0.6889058, ' No': -0.70945174, 'No': -5.8957496, 'Yes': -6.612647, ' The': -6.9498897}
{' No': -0.0154726105, 'No': -4.7918167, ' Yes': -5.083803, ' The': -7.9827423, '\n': -8.3187065}
{' No': -0.05230389, ' Yes': -3.1501396, 'No': -4.9141164, ' The': -8.312565, 'Yes': -8.526602}
{' No': -0.028933324, ' Yes': -3.787194, 'No': -5.2258, ' The': -8.547846, 'Yes': -9.287649}
{' No': -0.04756289, ' Yes': -3.2749856, 'No': -4.9801493, ' The': -6.962613, ' Not': -8.417712}
{' No': -0.017286042, 'No': -4.5090537, ' Yes': -5.323802, '\n': -7.824524, ' The': -8.045901}
{' No': -0.027277768, ' Yes': -4.000239, 'No': -4.835259, ' The': -8.3842945, ' Not': -8.777692}
{' No': -0.02031141, 'No': -4.657791, ' Yes': -4.7128296, '\n': -7.21286, ' The': -7.8026366}
{' No': -0.010547177, ' Yes': -5.282762, 'No': -5.3189445, ' The': -8.249042, '\n': -9.508985}
{' Yes': -0.014395205, ' No': -4.4028454, 'Yes': -6.2837887, ' The': -9.720701, 'No': -9.977388}
{' Yes': -0.22787836, ' No': -1.6191442, 'Yes': -5.6040416, 'No': -6.478534, ' The': -8.034768}
{' Yes': -0.38657448, ' No': -1.1428307, 'Yes': -7.148632, 'No': -7.5873017, ' Not': -8.946144}
{' No': -0.043866895, ' Yes': -3.2910857, 'No': -5.382011, ' The': -7.722436, '\n': -8.0008}
{' Yes': -0.0034500468, 'Yes': -6.149833, ' No': -7.3187613, '\n': -8.329105, ' The': -8.782536}
{' Yes': -0.12388988, ' No': -2.1809864, 'Yes': -6.1048064, 'No': -7.329854, ' The': -7.6772}
{' Yes': -0.5088132, ' No': -0.9253667, 'Yes': -6.878955, 'No': -6.990392, ' The': -8.748908}
{' No': -0.06168978, ' Yes': -2.9190276, 'No': -5.2659817, ' The': -8.218128, 'Yes': -8.531366}
{' Yes': -0.028783388, ' No': -3.6886818, 'Yes': -5.8228292, 'No': -8.758246, '\n': -9.347405}
{' No': -0.6820846, ' Yes': -0.7234092, 'No': -5.1325827, 'Yes': -5.8278937, '\n': -8.649674}
{' No': -0.044636883, ' Yes': -3.2534971, 'No': -5.3725843, ' The': -9.086247, 'Yes': -9.156555}
{' No': -0.08667124, ' Yes': -2.6218712, 'No': -4.666126, 'Yes': -7.956016, '\n': -8.356442}
{' No': -0.014142176, 'No': -4.4306154, ' Yes': -6.737393, ' The': -7.8561525, '\n': -8.03951}
{' No': -0.025030244, ' Yes': -3.8594797, 'No': -5.838196, ' The': -7.5839195, 'Yes': -9.745127}
{' No': -0.025153829, ' Yes': -4.1511188, 'No': -4.870115, '\n': -7.511749, ' The': -7.661634}
{' No': -0.019842414, ' Yes': -4.2875156, 'No': -5.2993183, ' The': -7.612524, '\n': -8.756533}
{' No': -0.10908475, ' Yes': -2.3374, 'No': -5.3891253, ' The': -6.629728, 'Yes': -8.166598}
{' No': -0.07089148, ' Yes': -2.8190355, 'No': -4.99809, ' The': -7.155062, '\n': -7.278039}
{' Yes': -0.0036723886, 'Yes': -5.7530637, ' No': -7.815243, ' yes': -10.09336, ' The': -10.701666}
{' No': -0.08317425, ' Yes': -2.650227, 'No': -4.907536, '\n': -7.395462, ' The': -7.559363}
{' Yes': -0.06674416, ' No': -2.8163245, 'Yes': -5.510025, 'No': -7.563066, '\n': -9.668598}
{' No': -0.029360007, ' Yes': -3.7520332, 'No': -5.287464, '\n': -8.91918, ' The': -8.99663}
{' No': -0.45447144, ' Yes': -1.0194415, 'No': -5.886819, 'Yes': -6.9007072, ' The': -8.08035}
{' No': -0.5605896, ' Yes': -0.85923845, 'No': -5.705384, 'Yes': -6.592437, ' The': -7.639565}
{' Yes': -0.22937606, ' No': -1.6097127, 'Yes': -5.8699684, 'No': -6.406225, ' The': -8.011211}
{' Yes': -0.039860684, ' No': -3.3544967, 'Yes': -5.682734, 'No': -8.112233, ' The': -8.214822}
{' No': -0.019935928, ' Yes': -4.4596195, 'No': -5.0041485, '\n': -7.474806, ' Not': -7.8744335}
{' No': -0.0143365525, 'No': -4.3106413, ' Yes': -7.9467397, '\n': -8.480376, ' Not': -9.153649}
{' No': -0.016983718, 'No': -4.1024404, ' Yes': -8.5938835, '\n': -9.820993, ' The': -10.463049}
{' No': -0.013964882, 'No': -4.3275404, ' Yes': -7.7653947, ' The': -9.630733, '\n': -9.799216}
{' Yes': -0.34306732, ' No': -1.2590925, 'Yes': -6.041818, 'No': -6.0768533, '\n': -6.8058543}
{' No': -0.24794874, ' Yes': -1.5486785, 'No': -5.3737917, '\n': -6.8538423, 'Yes': -7.4107094}
{' Yes': -0.29759508, ' No': -1.3745451, 'Yes': -6.0831513, 'No': -6.4746137, ' The': -8.191554}
{' Yes': -0.65569574, ' No': -0.746993, 'No': -5.7972474, 'Yes': -6.3136373, ' The': -6.509665}
{' No': -0.010855636, ' Yes': -5.226489, 'No': -5.2738314, ' The': -9.174794, '\n': -9.244059}
{' No': -0.010971152, ' Yes': -5.1249137, 'No': -5.389389, '\n': -8.572803, ' ': -9.390435}
{' No': -0.13845834, ' Yes': -2.0849211, 'No': -5.5987606, ' The': -7.5491333, 'Yes': -7.9458556}
{' No': -0.07782777, ' Yes': -2.6681216, 'No': -5.416765, ' The': -7.624765, 'Yes': -8.504589}
{' No': -0.006604603, 'No': -5.203939, ' Yes': -7.195834, ' The': -9.106332, '\n': -9.329665}
{' No': -0.0087589035, 'No': -4.764286, '\n': -9.773767, ' The': -10.014454, ' ': -10.611986}
{' Yes': -0.38479292, ' No': -1.1498343, 'Yes': -6.8477616, 'No': -6.8505654, ' The': -8.086509}
{' No': -0.039072756, ' Yes': -3.6761308, 'No': -4.3747354, 'Yes': -8.486589, '\n': -9.803713}
{' Yes': -0.53626114, ' No': -0.88992566, 'No': -6.3196373, 'Yes': -6.5616055, ' Not': -7.678019}
{' Yes': -0.1892457, ' No': -1.7761979, 'Yes': -6.33429, 'No': -7.1684284, ' The': -7.95558}
{' No': -0.010149812, 'No': -4.9157777, ' Yes': -6.0904393, ' The': -8.715909, '\n': -8.774481}
{' No': -0.015111714, 'No': -4.4138637, ' Yes': -6.2132196, '\n': -7.728906, ' The': -8.717286}
{' No': -0.019819312, ' Yes': -4.2734585, 'No': -5.27075, ' Not': -8.735834, '\n': -8.813236}
{' No': -0.56750834, ' Yes': -0.8460022, 'No': -6.0382533, 'Yes': -7.0077853, '\n': -8.244021}
{' No': -0.019883577, 'No': -4.3511286, ' Yes': -5.0463824, ' The': -8.995509, ' Not': -9.506782}
{' No': -0.028944246, ' Yes': -3.7080805, 'No': -5.669592, ' The': -7.9984016, ' Not': -9.529348}
{' No': -0.075674824, ' Yes': -2.7197826, 'No': -5.125756, 'Yes': -7.949815, ' The': -7.989726}
{' No': -0.04808618, ' Yes': -3.1554298, 'No': -5.597774, ' The': -7.8446155, 'Yes': -8.952777}
{' No': -0.008930947, 'No': -4.9295526, ' Yes': -6.6100273, ' The': -9.145266, '\n': -9.397745}
{' No': -0.0126475515, ' Yes': -4.851717, 'No': -5.427299, ' Not': -9.1461, ' The': -9.391419}
{' No': -0.01488379, ' Yes': -4.8049607, 'No': -5.160641, ' The': -7.60316, ' Not': -8.769068}
{' No': -0.009621405, 'No': -4.918534, ' Yes': -6.4593024, '\n': -7.9067903, ' The': -8.651682}
{' No': -0.011369144, 'No': -4.6763606, ' Yes': -6.4024158, ' The': -8.809022, '\n': -9.211865}
{' No': -0.008366338, 'No': -4.85863, ' Yes': -8.150094, '\n': -9.183996, ' The': -9.402767}
{' No': -0.020785125, 'No': -4.504725, ' Yes': -4.7313943, '\n': -8.267524, ' The': -8.71549}
{' No': -0.014142962, ' Yes': -4.7834015, 'No': -5.2407722, ' The': -8.286211, ' Not': -10.563816}
{' No': -0.011782916, ' Yes': -5.051656, 'No': -5.5189486, '\n': -7.2040753, ' The': -7.9329505}
{' No': -0.011243395, 'No': -4.751964, ' Yes': -6.144958, ' The': -8.735248, '\n': -9.284606}
{' No': -0.028091656, ' Yes': -3.7907581, 'No': -5.425474, ' The': -7.785431, 'Yes': -9.111292}
{' No': -0.0073903627, 'No': -5.285634, ' Yes': -6.212312, ' The': -8.842667, '\n': -9.650849}
{' No': -0.07548429, ' Yes': -2.7764387, 'No': -4.73647, '\n': -6.922173, 'Yes': -8.141563}
{' No': -0.17492518, ' Yes': -1.9504225, 'No': -4.232006, '\n': -6.6855197, 'Yes': -6.8448563}
{' No': -0.04085699, ' Yes': -3.3917902, 'No': -5.1065993, 'Yes': -8.97134, ' The': -9.628095}
{' No': -0.021936277, ' Yes': -3.9884486, 'No': -5.86427, '\n': -8.971686, ' The': -9.416787}
{' Yes': -0.08122428, ' No': -2.5869026, 'Yes': -6.2743835, 'No': -8.028658, ' The': -8.302106}
{' No': -0.057257287, ' Yes': -3.104859, 'No': -4.6661763, ' The': -7.4968534, '\n': -7.8114114}
{' Yes': -0.028456595, ' No': -3.7492857, 'Yes': -5.92285, ' The': -7.277516, '\n': -7.6229253}
{' Yes': -0.5301467, ' No': -0.90863144, 'No': -5.6839833, 'Yes': -5.9313073, ' The': -7.063252}
{' Yes': -0.12740889, ' No': -2.1696396, 'Yes': -5.5392547, 'No': -6.656357, ' ': -9.799973}
{' Yes': -0.47711545, ' No': -0.9804285, 'No': -6.179036, 'Yes': -6.4862227, ' The': -7.943252}
{' No': -0.10448094, ' Yes': -2.3991892, 'No': -4.920397, 'Yes': -7.6747932, '\n': -8.393303}
{' Yes': -0.046352047, ' No': -3.1535316, 'Yes': -6.245378, ' The': -8.059716, 'No': -8.957296}
{' No': -0.09430589, ' Yes': -2.5180595, 'No': -4.7415285, 'Yes': -7.949988, ' The': -9.050532}
{' No': -0.046834446, ' Yes': -3.452899, 'No': -4.302131, 'Yes': -8.217424, ' Not': -9.234832}
{' No': -0.033976693, ' Yes': -3.5711622, 'No': -5.4976244, '\n': -7.4661684, ' The': -8.102614}
{' No': -0.0068211644, 'No': -5.182139, ' Yes': -7.0887833, ' The': -9.089386, '\n': -9.241999}
{' No': -0.014436871, 'No': -4.690546, ' Yes': -5.4119587, '\n': -8.240141, ' The': -8.297067}
{' No': -0.031600546, ' Yes': -3.652227, 'No': -5.3757205, ' The': -8.250308, '\n': -9.133504}
{' Yes': -0.30301508, ' No': -1.3670696, 'Yes': -5.652981, 'No': -6.0993443, ' The': -7.7211165}
{' Yes': -0.32633153, ' No': -1.305158, 'Yes': -5.756931, 'No': -6.0169826, '\n': -7.3391433}
{' No': -0.40609333, ' Yes': -1.1159266, 'No': -5.4506183, 'Yes': -6.776983, '\n': -8.054745}
{' Yes': -0.04068079, ' No': -3.3146408, 'Yes': -5.918921, ' The': -7.852696, 'No': -8.498081}
{' No': -0.009096344, 'No': -4.739088, ' Yes': -8.755262, ' The': -9.159606, '\n': -11.224522}
{' No': -0.012080596, 'No': -4.8893576, ' Yes': -5.610387, '\n': -7.769443, ' The': -8.563924}
{' No': -0.27498376, ' Yes': -1.4375584, 'No': -6.1602793, 'Yes': -7.8415422, ' The': -8.586612}
{' No': -0.01175451, 'No': -4.498332, ' Yes': -8.539481, ' The': -8.903261, '\n': -9.015545}
{' Yes': -0.046723213, ' No': -3.1832187, 'Yes': -5.6957364, 'No': -7.769678, ' The': -8.1929455}
{' Yes': -0.07884342, ' No': -2.626844, 'Yes': -5.9075556, 'No': -7.5266485, ' The': -8.743043}
{' No': -0.009517837, 'No': -5.3628387, ' Yes': -5.4161105, ' The': -8.53433, ' Not': -10.205683}
{' No': -0.15377073, ' Yes': -1.9943392, 'No': -5.195421, 'Yes': -7.6095753, ' The': -8.320162}
{' No': -0.10002726, ' Yes': -2.4162161, 'No': -5.544531, ' Not': -7.493946, '\n': -7.6244063}
{' Yes': -0.33166468, ' No': -1.2803379, 'Yes': -5.9702635, 'No': -6.699989, ' The': -8.454153}
{' No': -0.012995426, 'No': -5.0852532, ' Yes': -5.0982537, '\n': -7.8031526, ' The': -9.234496}
{' No': -0.02575013, 'No': -4.110751, ' Yes': -4.7656164, '\n': -8.538703, ' The': -8.987705}
{' No': -0.0045017805, 'No': -5.8329697, ' Yes': -6.6149945, ' The': -9.146736, '\n': -10.255104}
{' No': -0.009895867, ' Yes': -4.953627, 'No': -5.988074, ' The': -9.0401325, '\n': -9.798723}
{' No': -0.0300356, 'No': -4.0582795, ' Yes': -4.495646, '\n': -7.9666963, ' The': -8.438703}
{' No': -0.06513674, ' Yes': -2.9004216, 'No': -4.963059, '\n': -7.906365, 'Yes': -8.264249}
{' No': -0.67129296, ' Yes': -0.7344529, 'No': -5.1193633, 'Yes': -6.217155, '\n': -7.745307}
{' No': -0.016752215, ' Yes': -4.54441, 'No': -5.177486, ' The': -8.765934, '\n': -9.920367}
{' Yes': -0.10604588, ' No': -2.326993, 'Yes': -6.2029023, 'No': -7.9434595, '\n': -8.314853}
{' No': -0.018515686, ' Yes': -4.3704214, 'No': -5.3292704, ' The': -8.238008, '\n': -8.724694}
{' No': -0.015956528, 'No': -4.53931, ' Yes': -5.4793677, ' The': -7.8305616, '\n': -8.24582}
{' No': -0.014060264, ' Yes': -4.8537326, 'No': -5.145652, ' The': -9.058, '\n': -9.157195}
{' Yes': -0.391062, ' No': -1.140341, 'Yes': -6.4921145, 'No': -6.4978786, ' The': -7.3102913}
{' Yes': -0.6885075, ' No': -0.7069954, 'No': -6.066078, 'Yes': -6.446625, ' The': -8.117249}
{' Yes': -0.43967867, ' No': -1.0415579, 'Yes': -6.9138856, 'No': -6.9400907, ' The': -7.5826054}
{' No': -0.04151288, ' Yes': -3.4659798, 'No': -4.7412004, '\n': -8.611474, ' The': -8.671315}
{' No': -0.011685216, 'No': -4.8740892, ' Yes': -5.6871953, '\n': -7.9885893, ' The': -8.897953}
{' No': -0.014152272, ' Yes': -4.872993, 'No': -5.1074557, ' The': -8.841426, ' Not': -9.589372}
{' No': -0.008104975, 'No': -5.0476384, ' Yes': -6.674191, ' The': -8.710834, '\n': -9.392463}
{' No': -0.005892537, 'No': -5.2289853, ' Yes': -8.132597, ' The': -9.113087, '\n': -9.907241}
{' No': -0.011551226, 'No': -4.6455135, ' Yes': -6.4822826, '\n': -9.08423, ' The': -9.097137}
{' No': -0.010528563, 'No': -4.750461, ' Yes': -6.59588, '\n': -8.791397, ' The': -8.899216}
{' No': -0.006280237, 'No': -5.150239, ' Not': -8.554069, ' The': -9.470315, ' Yes': -9.565302}
{' No': -0.1711538, ' Yes': -1.8985441, 'No': -5.05483, 'Yes': -7.386314, ' The': -8.012868}
{' No': -0.08765091, ' Yes': -2.524037, 'No': -5.778561, ' The': -8.385277, 'Yes': -8.570712}
{' No': -0.38747978, ' Yes': -1.1583539, 'No': -5.240551, 'Yes': -6.464409, ' The': -8.389809}
{' No': -0.021811813, ' Yes': -4.2526736, 'No': -4.9876356, ' The': -8.599999, '\n': -8.970565}
{' No': -0.030236408, ' Yes': -3.686864, 'No': -5.6176534, ' The': -7.9344025, ' Not': -8.143648}
{' Yes': -0.022691682, ' No': -3.995634, 'Yes': -5.911529, '\n': -7.236387, ' "': -8.607923}
{' Yes': -0.29673418, ' No': -1.374924, 'Yes': -6.350632, 'No': -6.4970512, ' The': -7.7727222}
{' No': -0.61126554, ' Yes': -0.82072675, 'No': -5.1064916, ' The': -5.448784, '\n': -5.5915756}
{' No': -0.4353937, ' Yes': -1.0821928, 'No': -4.921441, ' The': -6.039371, 'Yes': -6.2668924}
{' No': -0.24693035, ' Yes': -1.5847445, 'No': -4.6515512, 'Yes': -6.3202696, '\n': -6.749013}
{' No': -0.077162445, ' Yes': -2.760985, 'No': -4.6331983, 'Yes': -7.453293, ' The': -8.140623}
{' No': -0.009205459, 'No': -5.0581436, ' Yes': -6.3739357, ' The': -7.442913, '\n': -8.535067}
{' No': -0.041960515, 'No': -3.3602319, ' Yes': -5.4133, '\n': -7.4614677, ' The': -7.6077785}
{' No': -0.03097585, 'No': -3.8199544, ' Yes': -5.0007195, '\n': -7.0448112, ' The': -7.536335}
{' No': -0.020977754, 'No': -4.0462155, ' Yes': -5.969034, '\n': -8.017321, ' The': -8.5658245}
{' No': -0.09072942, ' Yes': -2.8788629, 'No': -3.5403981, 'Yes': -7.1390457, ' The': -8.226696}
{' No': -0.110031515, ' Yes': -2.462092, 'No': -4.087982, '\n': -7.2678285, 'Yes': -7.3367043}
{' No': -0.022291904, 'No': -3.8500888, ' Yes': -8.136341, ' The': -8.780106, ' Not': -9.251559}
{' No': -0.023216845, 'No': -4.156565, ' Yes': -5.0116067, '\n': -8.456528, ' The': -8.682594}
{' No': -0.043584626, ' Yes': -3.8234324, 'No': -3.9650836, ' The': -7.1334186, '\n': -7.452062}
{' No': -0.020258853, 'No': -4.1156564, ' Yes': -5.9450655, ' The': -7.7952714, '\n': -7.8364687}
{' Yes': -0.09500351, ' No': -2.4700036, 'Yes': -5.4754314, 'No': -7.0704727, ' The': -7.5376763}
{' Yes': -0.025355246, ' No': -4.0089536, 'Yes': -5.2211785, ' The': -7.1231174, 'No': -8.285378}
{' No': -0.024661424, 'No': -4.1281633, ' Yes': -4.9080305, '\n': -8.229102, ' The': -8.711486}
{' No': -0.050688937, 'No': -3.5655587, ' Yes': -4.002776, '\n': -6.4337206, ' The': -7.922908}
{' No': -0.5589265, ' Yes': -0.9401884, 'No': -3.6011817, 'Yes': -4.9547143, '\n': -6.351599}
{' No': -0.0381046, 'No': -3.3041224, '\n': -8.426589, ' Yes': -8.511176, ' ': -9.337974}
{' No': -0.11391565, ' Yes': -2.5821526, 'No': -3.6327775, '\n': -6.077084, ' The': -6.671609}
{' No': -0.04933317, 'No': -3.4106517, ' Yes': -4.5105414, '\n': -5.995046, ' The': -7.5499954}
{' Yes': -0.009081667, 'Yes': -4.7189016, ' yes': -9.582482, '\n': -10.751032, ' ': -11.495741}
{' Yes': -0.011973636, 'Yes': -4.471599, ' No': -8.572797, '\n': -9.268357, ' yes': -9.379031}
{' No': -0.10887951, ' Yes': -2.5605643, 'No': -3.7961943, ' Not': -6.706553, 'Yes': -7.066719}
{' No': -0.04237993, 'No': -3.43751, ' Yes': -4.8047624, ' The': -7.642258, '\n': -8.668608}
{' No': -0.35475644, ' Yes': -1.2579145, 'No': -4.604901, 'Yes': -5.7609816, ' The': -7.53385}
{' No': -0.2512763, ' Yes': -1.6248705, 'No': -3.9157317, 'Yes': -5.6949368, ' The': -7.006492}
{' No': -0.012678216, 'No': -4.469961, ' Yes': -7.232557, '\n': -8.485233, ' The': -9.43795}
{' No': -0.019885218, 'No': -4.1860228, ' Yes': -5.6286607, '\n': -7.5494666, ' ': -8.844245}
{' No': -0.030954948, 'No': -3.5392826, ' Yes': -6.8778553, ' The': -8.704798, '\n': -9.518034}
{' No': -0.036335062, 'No': -3.5142057, ' Yes': -5.232811, '\n': -8.452697, ' The': -8.983085}
{' No': -0.40304458, ' Yes': -1.158948, 'No': -4.578498, 'Yes': -5.851094, ' The': -6.1315336}
{' No': -0.06409844, ' Yes': -3.1109107, 'No': -4.164852, '\n': -6.9955177, ' The': -7.806663}
{' No': -0.33583084, ' Yes': -1.3328382, 'No': -4.3317986, 'Yes': -5.243952, ' The': -6.424764}
{' No': -0.06718673, ' Yes': -3.2660983, 'No': -3.697712, 'Yes': -6.9240036, '\n': -7.7075257}
{' No': -0.13867407, ' Yes': -2.1824248, 'No': -4.2422085, 'Yes': -7.007784, ' The': -7.405105}
{' No': -0.03719052, 'No': -3.8462875, ' Yes': -4.2767577, '\n': -7.7969704, ' The': -8.171477}
{' Yes': -0.27494004, ' No': -1.4727874, 'Yes': -5.213098, 'No': -5.709001, '\n': -6.9297824}
{' No': -0.25044078, ' Yes': -1.6941109, 'No': -3.4751244, 'Yes': -5.5342674, '\n': -6.2962475}
{' Yes': -0.006832207, 'Yes': -5.1915607, ' No': -6.833011, ' yes': -8.953061, 'No': -11.208362}
{' No': -0.5318074, ' Yes': -0.919619, 'No': -4.6123796, 'Yes': -5.831917, '\n': -7.8074136}
{' No': -0.01604871, 'No': -4.2628, ' Yes': -6.563011, ' The': -8.957302, ' Not': -9.180357}
{' No': -0.51697177, ' Yes': -0.9292184, 'No': -5.4790382, 'Yes': -6.3406262, ' The': -6.40226}
