{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{'\n': -10.805199, ' ': -9.983423, ' Yes': -0.003450704, ' yes': -9.351217, 'Yes': -5.7204595}
{' YES': -12.140634, ' ': -11.830806, ' Yes': -0.00096798356, ' yes': -10.07613, 'Yes': -7.001363}
{'\n': -10.957104, ' ': -9.320181, ' Yes': -0.0054157553, ' yes': -9.6802845, 'Yes': -5.255692}
{'\n': -10.179425, ' ': -9.490361, ' Yes': -0.0050599007, ' yes': -8.096387, 'Yes': -5.3816047}
{' YES': -11.239212, ' Yes': -0.0066136043, ' yes': -8.090344, 'Yes': -5.075171, 'yes': -11.450574}
{' ': -12.939764, ' Yes': -0.009364766, ' yes': -10.177691, 'Yes': -4.680408, 'yes': -12.626016}
{' YES': -10.873429, ' ': -10.751754, ' Yes': -0.020686362, ' yes': -8.527847, 'Yes': -3.9012117}
{' YES': -11.582736, ' ': -11.055799, ' Yes': -0.007218466, ' yes': -8.769638, 'Yes': -4.961501}
{' ': -10.180939, ' Yes': -0.01841435, ' yes': -8.927393, 'Yes': -4.0149846, 'yes': -11.017748}
{' ': -9.965221, ' Yes': -0.026677366, ' yes': -7.0731936, 'Yes': -3.6751678, 'yes': -9.891996}
{' YES': -10.956635, ' ': -9.698033, ' Yes': -0.0026410099, ' yes': -7.058881, 'Yes': -6.389245}
{' ': -9.394464, ' Yes': -0.010768089, ' yes': -7.4444337, 'Yes': -4.607356, 'yes': -10.473024}
{'\n': -10.191657, ' ': -9.332541, ' Yes': -0.007867412, ' yes': -8.130347, 'Yes': -4.907848}
{' YES': -10.727038, ' ': -9.596929, ' Yes': -0.004088854, ' yes': -7.2118235, 'Yes': -5.7388983}
{'\n': -9.444146, ' ': -8.705052, ' Yes': -0.012268058, ' yes': -8.433276, 'Yes': -4.4483585}
{'\n': -8.689769, ' ': -8.450238, ' Yes': -0.0152106555, ' yes': -5.4908843, 'Yes': -4.560924}
{' YES': -11.812437, ' ': -10.869799, ' Yes': -0.00050779217, ' yes': -10.32237, 'Yes': -7.7218304}
{'\n': -11.235714, ' ': -10.068388, ' Yes': -0.003933195, ' yes': -9.724398, 'Yes': -5.5742188}
{'\n': -9.164964, ' ': -9.252072, ' Yes': -0.004794666, ' yes': -9.388263, 'Yes': -5.4077754}
{' YES': -11.841131, ' ': -10.405413, ' Yes': -0.0008281433, ' yes': -10.336498, 'Yes': -7.192589}
{'\n': -10.523008, ' ': -9.260088, ' Yes': -0.0055773347, ' yes': -9.889187, 'Yes': -5.225876}
{'\n': -12.32074, ' ': -10.562915, ' Yes': -0.0013131291, ' yes': -9.928947, 'Yes': -6.702056}
{' No': -3.7809896, ' ': -9.5908, 'No': -9.560291, ' Yes': -0.02491291, 'Yes': -6.420052}
{' No': -7.816454, ' ': -10.273472, ' Yes': -0.0071353787, ' yes': -9.830593, 'Yes': -5.020002}
{' No': -9.087102, ' ': -10.319226, ' Yes': -0.007430294, ' yes': -9.70423, 'Yes': -4.935647}
{' No': -5.549999, ' ': -10.232227, ' Yes': -0.006864552, ' yes': -10.198403, 'Yes': -5.8595257}
{' No': -6.8179493, ' ': -9.6544285, ' Yes': -0.008814887, ' yes': -9.739762, 'Yes': -4.8893557}
{' No': -8.718218, ' ': -9.918375, ' Yes': -0.0066147996, ' yes': -8.712796, 'Yes': -5.0828204}
{' YES': -12.743453, ' ': -10.5829115, ' Yes': -0.00056247984, ' yes': -9.016935, 'Yes': -7.8083134}
{' No': -9.535939, ' ': -9.946996, ' Yes': -0.0034170928, ' yes': -9.261685, 'Yes': -5.7488375}
{' No': -8.469115, ' ': -9.04283, ' Yes': -0.0042868545, ' yes': -9.382194, 'Yes': -5.5631876}
{' No': -11.203443, ' ': -10.982807, ' Yes': -0.0010158321, ' yes': -9.812341, 'Yes': -6.984902}
{' No': -9.559662, ' ': -8.106429, ' Yes': -0.0052359854, ' yes': -9.278721, 'Yes': -5.3598633}
{'\n': -9.748125, ' ': -8.878103, ' Yes': -0.003670114, ' yes': -7.573746, 'Yes': -5.8410172}
{' No': -8.404162, ' ': -10.312941, ' Yes': -0.0070393938, ' yes': -7.2806616, 'Yes': -5.1096797}
{' No': -9.020994, ' ': -12.113257, ' Yes': -0.005486532, ' yes': -9.959501, 'Yes': -5.241299}
{' No': -10.670128, ' ': -9.832032, ' Yes': -0.014142962, ' yes': -7.9993687, 'Yes': -4.2976127}
{' No': -7.850463, ' ': -10.44082, ' Yes': -0.004710284, ' yes': -8.6524935, 'Yes': -5.49923}
{' No': -8.435383, ' ': -9.468634, ' Yes': -0.017691163, ' yes': -8.393856, 'Yes': -4.0757165}
{' ': -9.426943, ' Yes': -0.019785143, ' yes': -6.395466, 'Yes': -4.0317326, 'yes': -9.76187}
{' ': -9.17531, ' Yes': -0.0034222356, ' yes': -6.1847534, 'Yes': -6.71562, 'yes': -11.091722}
{' No': -9.995768, ' ': -8.869225, ' Yes': -0.007963178, ' yes': -7.0062537, 'Yes': -4.991148}
{'\n': -9.761442, ' ': -8.183114, ' Yes': -0.008799432, ' yes': -7.5892143, 'Yes': -4.847449}
{' No': -9.675829, ' ': -8.895905, ' Yes': -0.0037103794, ' yes': -6.7229953, 'Yes': -6.091183}
{'\n': -8.855303, ' ': -7.6148014, ' Yes': -0.009014423, ' yes': -7.8234787, 'Yes': -4.84264}
{' No': -8.236528, ' ': -7.2919774, ' Yes': -0.01463971, ' yes': -4.946654, 'Yes': -5.089833}
{' No': -9.417049, ' ': -9.855248, ' Yes': -0.0005699937, ' yes': -9.728039, 'Yes': -7.916862}
{' No': -9.685742, ' ': -9.106767, ' Yes': -0.003199529, ' yes': -9.463246, 'Yes': -5.8354845}
{' No': -7.763225, '\n': -9.359691, ' ': -8.457466, ' Yes': -0.004977711, 'Yes': -5.481157}
{' No': -7.3292823, ' ': -9.144597, ' Yes': -0.0014494567, ' yes': -10.13095, 'Yes': -7.3641753}
{' No': -8.966182, '\n': -9.490315, ' ': -7.920402, ' Yes': -0.0047047134, 'Yes': -5.506482}
{' No': -10.793571, ' ': -9.3866825, ' Yes': -0.001497985, ' yes': -8.978854, 'Yes': -6.682997}
{' No': -0.0030973428, ' ': -9.747677, 'No': -5.7992125, ' no': -13.6349, ' NO': -13.703824}
{' No': -0.0113508785, ' ': -9.708574, 'No': -4.4900684, ' no': -13.392294, ' NO': -12.888127}
{' No': -0.014094541, '\n': -13.566857, ' ': -9.551283, 'No': -4.274596, ' NO': -12.80808}
{' No': -0.003589118, ' ': -10.255729, 'No': -5.642401, ' no': -13.677733, ' NO': -13.892705}
{' No': -0.02144387, '\n': -13.022319, ' ': -8.806489, 'No': -3.8606312, ' no': -12.991979}
{' No': -0.01667088, ' ': -8.39177, 'No': -4.117495, ' no': -11.868773, ' NO': -12.611983}
{' No': -0.00061633304, '\n': -12.162163, ' ': -9.455286, 'No': -7.545904, ' no': -13.115179}
{' No': -0.0030807212, '\n': -12.281651, ' ': -9.217937, 'No': -5.8201523, ' NO': -13.110695}
{' No': -0.004068564, '\n': -10.809333, ' ': -8.856211, 'No': -5.548952, ' NO': -13.148758}
{' No': -0.001580606, '\n': -12.383854, ' ': -9.6715, 'No': -6.4964285, ' NO': -13.395259}
{' No': -0.006267881, '\n': -9.772457, ' ': -7.80936, 'No': -5.1542397, ' NO': -12.730389}
{' No': -0.0041178213, '\n': -9.720985, ' ': -8.309956, 'No': -5.576982, ' no': -11.388292}
{' No': -0.010828521, ' ': -9.2787075, 'No': -4.5444894, ' no': -10.245833, ' NO': -11.860743}
{' No': -0.008240007, ' ': -11.031944, 'No': -4.8051453, ' no': -13.75109, ' NO': -14.313495}
{' No': -0.029965831, '\n': -11.7268305, ' ': -8.735259, 'No': -3.5293498, ' no': -11.41351}
{' No': -0.007803027, ' ': -9.337753, 'No': -4.871519, ' no': -11.296955, ' NO': -12.437915}
{' No': -0.034346625, '\n': -11.486404, ' ': -8.479338, 'No': -3.395957, ' no': -11.237455}
{' No': -0.04660299, ' x': -10.466491, ' ': -7.799819, 'No': -3.1043096, ' no': -8.85277}
{' No': -0.0013840967, '\n': -10.841876, ' ': -8.151244, 'No': -6.893151, ' no': -9.843528}
{' No': -0.00858124, '\n': -10.974275, ' ': -7.9931774, 'No': -4.809168, ' no': -10.615536}
{' No': -0.010778875, '\n': -8.854, ' ': -7.4724545, 'No': -4.6068425, ' no': -11.31637}
{' No': -0.0034763648, '\n': -10.384446, ' ': -7.954482, 'No': -5.801269, ' no': -9.850436}
{' No': -0.00966907, '\n': -8.328526, ' ': -7.102591, 'No': -4.763619, ' no': -11.366368}
{' No': -0.008267413, '\n': -8.111198, ' ': -6.959692, 'No': -5.0284734, ' no': -7.8228574}
{' No': -0.0006026193, '\n': -11.491734, ' ': -9.254264, 'No': -7.614333, ' NO': -13.480066}
{' No': -0.003410095, '\n': -11.576325, ' ': -8.982463, 'No': -5.7248626, ' NO': -12.694089}
{' No': -0.0054410445, '\n': -8.716022, ' ': -8.080281, 'No': -5.309667, ' NO': -12.620249}
{' No': -0.0010861811, '\n': -11.139102, ' ': -8.7077675, 'No': -7.0134134, ' NO': -12.677201}
{' No': -0.005008203, '\n': -8.969834, ' ': -7.7413535, 'No': -5.4206495, ' NO': -12.764087}
{' No': -0.0017754228, '\n': -11.651011, ' ': -8.904716, 'No': -6.423559, ' no': -12.559929}
{' No': -0.0028209116, ' ': -10.343558, 'No': -6.03622, ' Yes': -7.849199, 'Yes': -13.448089}
{' No': -0.08805692, ' ': -8.979883, 'No': -4.879534, ' Yes': -2.5764563, 'Yes': -7.580452}
{' No': -0.035246745, ' ': -8.880618, 'No': -4.376891, ' Yes': -3.832047, 'Yes': -8.277026}
{' No': -0.006116624, ' ': -10.489336, 'No': -5.542682, ' Yes': -6.1471844, 'Yes': -11.384679}
{' No': -0.9126046, ' ': -8.434375, 'No': -5.069637, ' Yes': -0.53405106, 'Yes': -5.160371}
{' No': -2.7670557, 'No': -7.077112, ' Yes': -0.07193026, ' yes': -8.716728, 'Yes': -5.2218995}
{' No': -2.4995096, ' ': -8.782262, ' Yes': -0.08659344, ' yes': -8.872415, 'Yes': -7.6561465}
{' No': -3.339011, ' ': -9.151419, 'No': -9.01282, ' Yes': -0.039568778, 'Yes': -5.809912}
{' No': -3.7063255, ' ': -8.010748, ' Yes': -0.029485846, ' yes': -9.178796, 'Yes': -5.556619}
{' No': -1.3094742, ' ': -8.784468, 'No': -8.061248, ' Yes': -0.31676802, 'Yes': -6.9105954}
{' No': -5.8482547, ' ': -7.832269, ' Yes': -0.008691743, ' yes': -9.158723, 'Yes': -5.2601314}
{' No': -6.456839, ' ': -8.36881, ' Yes': -0.006321923, ' yes': -7.4830937, 'Yes': -5.5641236}
{' No': -0.013070485, ' ': -9.747561, 'No': -4.8004866, ' Yes': -5.3766108, 'Yes': -10.090238}
{' No': -0.19596712, ' ': -9.833681, 'No': -4.783766, ' Yes': -1.784552, 'Yes': -6.4056454}
{' No': -2.8848758, 'No': -6.854184, ' Yes': -0.07378541, ' yes': -8.168826, 'Yes': -4.2935824}
{' No': -2.2219465, 'No': -7.3216124, ' Yes': -0.12058985, ' yes': -8.875356, 'Yes': -5.4594226}
{' No': -1.7717333, ' ': -7.9641366, 'No': -5.3583665, ' Yes': -0.20916834, 'Yes': -4.3104005}
{' No': -3.3815744, 'No': -6.501724, ' Yes': -0.056663726, ' yes': -6.7934604, 'Yes': -4.0135884}
{' No': -1.5334136, ' ': -7.252936, ' Yes': -0.24744509, ' yes': -6.476002, 'Yes': -7.0433655}
{' No': -1.3820784, ' ': -7.090486, 'No': -6.3641944, ' Yes': -0.30021492, 'Yes': -5.2877502}
{' No': -6.234664, ' ': -7.8475695, ' Yes': -0.010096947, ' yes': -7.916087, 'Yes': -4.930246}
{' No': -0.4816479, ' ': -7.015688, 'No': -6.2923756, ' Yes': -0.97397655, 'Yes': -6.6254773}
{' No': -4.989239, ' ': -7.2852116, ' Yes': -0.016201474, ' yes': -7.5234704, 'Yes': -4.8492527}
{' No': -4.5204287, ' ': -6.867232, ' Yes': -0.025475565, ' yes': -5.14436, 'Yes': -4.9740744}
{' No': -4.3008204, ' ': -8.878476, ' Yes': -0.014349856, ' yes': -9.473404, 'Yes': -7.730202}
{' No': -2.5901976, ' ': -7.993054, 'No': -8.669377, ' Yes': -0.08106519, 'Yes': -6.104216}
{' No': -4.934377, '\n': -8.431542, ' ': -7.6439753, ' Yes': -0.012529005, 'Yes': -5.4203696}
{' No': -3.4180982, ' ': -8.11658, ' Yes': -0.034686826, ' yes': -9.814439, 'Yes': -7.010743}
{' No': -7.394616, ' ': -7.9488587, ' Yes': -0.007143902, ' yes': -9.398835, 'Yes': -5.116988}
{' No': -7.280897, ' ': -9.146736, ' Yes': -0.0022663085, ' yes': -9.086048, 'Yes': -6.6165924}
{' YES': -12.301217, ' ': -11.389748, ' Yes': -0.0029387898, ' yes': -10.381837, 'Yes': -5.8479204}
{' YES': -11.694321, ' ': -11.249676, ' Yes': -0.006816243, ' yes': -10.050834, 'Yes': -5.0018625}
{' YES': -11.839275, ' ': -11.369397, ' Yes': -0.008442377, ' yes': -10.220448, 'Yes': -4.785713}
{' YES': -12.459978, ' ': -12.0591755, ' Yes': -0.004290087, ' yes': -10.705338, 'Yes': -5.461436}
{' YES': -12.189988, ' ': -11.141278, ' Yes': -0.009261707, ' yes': -10.214789, 'Yes': -4.693116}
{' YES': -11.854078, ' ': -10.745046, ' Yes': -0.0068981615, ' yes': -9.2929125, 'Yes': -4.99833}
{' YES': -11.81582, ' ': -10.781082, ' Yes': -0.0006261147, ' yes': -9.750803, 'Yes': -7.5323243}
{' YES': -11.863049, ' ': -10.622314, ' Yes': -0.0030696604, ' yes': -9.855991, 'Yes': -5.817885}
{'\n': -10.552544, ' ': -9.896354, ' Yes': -0.0035874434, ' yes': -9.502712, 'Yes': -5.6786957}
{' YES': -12.15196, ' ': -11.690624, ' Yes': -0.0011138085, ' yes': -10.311612, 'Yes': -6.846362}
{'\n': -10.634302, ' ': -9.282359, ' Yes': -0.0057007545, ' yes': -9.761409, 'Yes': -5.203733}
{'\n': -9.8508415, ' ': -9.3622, ' Yes': -0.0052340077, ' yes': -8.097358, 'Yes': -5.3501644}
{' YES': -11.1798525, ' ': -11.15563, ' Yes': -0.0068821386, ' yes': -8.104649, 'Yes': -5.033484}
{' ': -12.795925, ' Yes': -0.010101101, ' yes': -10.331819, 'Yes': -4.604223, 'yes': -12.606931}
{' YES': -10.706217, ' ': -10.190166, ' Yes': -0.021532295, ' yes': -8.319803, 'Yes': -3.8644276}
{' YES': -11.642163, ' ': -10.800688, ' Yes': -0.0074810367, ' yes': -9.028002, 'Yes': -4.92046}
{' ': -10.102209, ' Yes': -0.01532165, ' yes': -9.039499, 'Yes': -4.1985164, 'yes': -11.29932}
{' ': -9.829639, ' Yes': -0.019687695, ' yes': -7.229685, 'Yes': -3.9817429, 'yes': -10.271891}
{' YES': -11.023867, ' ': -9.590572, ' Yes': -0.0023847802, ' yes': -7.288996, 'Yes': -6.440975}
{' ': -9.24961, ' Yes': -0.009417593, ' yes': -7.47189, 'Yes': -4.7503977, 'yes': -10.626633}
{'\n': -9.588636, ' ': -8.948538, ' Yes': -0.009527528, ' yes': -8.0944, 'Yes': -4.7163033}
{' YES': -10.649617, ' ': -9.637586, ' Yes': -0.00453932, ' yes': -7.2801356, 'Yes': -5.5952845}
{'\n': -9.089341, ' ': -8.493948, ' Yes': -0.010673623, ' yes': -8.469231, 'Yes': -4.599458}
{'\n': -8.413685, ' ': -8.156183, ' Yes': -0.017611811, ' yes': -5.301336, 'Yes': -4.4399767}
{'\n': -11.541869, ' ': -10.573118, ' Yes': -0.0005651034, ' yes': -10.311695, 'Yes': -7.6248965}
{'\n': -10.6076565, ' ': -9.747461, ' Yes': -0.0035882806, ' yes': -9.838297, 'Yes': -5.674914}
{'\n': -8.609131, ' ': -8.895718, ' Yes': -0.005314541, ' yes': -9.386848, 'Yes': -5.3237863}
{' YES': -11.841758, ' ': -10.432018, ' Yes': -0.000789669, ' yes': -10.5142355, 'Yes': -7.2378902}
{'\n': -9.7316, ' ': -8.818921, ' Yes': -0.0064562326, ' yes': -9.898715, 'Yes': -5.0892596}
{'\n': -11.938958, ' ': -10.554578, ' Yes': -0.0013497758, ' yes': -10.114697, 'Yes': -6.6675158}
{' No': -4.1531734, ' ': -9.786791, 'No': -9.858736, ' Yes': -0.017784232, 'Yes': -6.3366466}
{' No': -8.189473, ' ': -10.041527, ' Yes': -0.005943383, ' yes': -9.838039, 'Yes': -5.1955223}
{' No': -6.2518034, ' ': -9.784081, ' Yes': -0.009675448, ' yes': -9.956428, 'Yes': -4.884925}
