{' Yes': -0.021824969, ' No': -3.942994, 'Yes': -6.408141, ' The': -8.148902, ' yes': -9.244042}
{' Yes': -0.0012001578, 'Yes': -6.8093433, ' yes': -9.871153, ' The': -10.901878, '\n': -11.292857}
{' Yes': -0.1690537, ' No': -1.8794762, 'Yes': -6.54618, 'No': -7.521655, ' The': -7.7992473}
{' Yes': -0.0030319951, 'Yes': -5.9396334, ' No': -8.804772, ' yes': -9.238414, ' The': -9.60185}
{' No': -0.6475526, ' Yes': -0.77095044, 'No': -4.7063103, 'Yes': -5.9191093, ' The': -6.756614}
{' Yes': -0.0049041524, 'Yes': -5.757505, ' No': -7.2022223, '\n': -7.5144057, ' yes': -8.777763}
{' Yes': -0.5597242, ' No': -0.8582281, 'No': -6.143769, 'Yes': -6.6082244, ' The': -7.400207}
{' No': -0.016667485, ' Yes': -4.230439, 'No': -6.3463445, ' The': -9.493697, ' ': -9.771277}
{' No': -0.01966362, 'No': -4.387433, ' Yes': -5.0271306, ' The': -8.752556, '\n': -9.188811}
{' Yes': -0.004255189, 'Yes': -5.7330513, ' No': -7.134594, ' The': -9.208399, ' yes': -9.6665325}
{' Yes': -0.007999346, ' No': -5.546066, 'Yes': -5.6835113, ' The': -7.835014, ' yes': -9.149433}
{' No': -0.014162006, ' Yes': -4.5737395, 'No': -5.6993346, ' Not': -8.378194, ' The': -9.26879}
{' No': -0.028263196, ' Yes': -3.786846, 'No': -5.3523383, ' The': -8.727371, ' Not': -9.097617}
{' Yes': -0.43174547, ' No': -1.0601004, 'No': -6.3961864, 'Yes': -6.600092, ' The': -7.191282}
{' No': -0.1486933, ' Yes': -2.0111582, 'No': -5.6685023, 'Yes': -8.181629, ' The': -8.200136}
{' Yes': -0.011493765, ' No': -4.7874312, 'Yes': -6.336063, ' The': -7.1102943, '\n': -8.606813}
{' Yes': -0.36916605, ' No': -1.194989, ' The': -6.297623, 'Yes': -6.368586, 'No': -6.476052}
{' No': -0.43924198, ' Yes': -1.0535532, 'No': -5.4822354, 'Yes': -6.749209, ' The': -7.576376}
{' No': -0.3364247, ' Yes': -1.283904, 'No': -5.0779715, 'Yes': -6.686709, ' The': -7.432915}
{' Yes': -0.41066313, ' No': -1.1049571, 'No': -6.1906257, 'Yes': -6.197444, ' The': -7.0826297}
{' Yes': -0.059384372, ' No': -2.9173307, 'Yes': -5.9311953, ' The': -7.7889752, 'No': -8.089152}
{' Yes': -0.0058418177, 'Yes': -5.359164, ' No': -7.059222, ' yes': -9.039178, '\n': -9.443198}
{' Yes': -0.5573305, ' No': -0.86658984, 'No': -5.6647387, 'Yes': -6.072379, ' The': -7.6625223}
{' Yes': -0.0037912694, 'Yes': -5.695266, ' No': -8.467664, ' yes': -9.266404, ' The': -9.960378}
{' Yes': -0.028506517, ' No': -3.6818116, 'Yes': -6.056373, ' The': -8.713395, '\n': -8.952602}
{' No': -0.082655475, ' Yes': -2.6415582, 'No': -5.1507344, ' The': -6.5127163, ' "': -8.26849}
{' No': -0.033675693, ' Yes': -3.729091, 'No': -4.797834, ' The': -8.065064, '\n': -8.386123}
{' Yes': -0.0008789703, 'Yes': -7.1439886, ' The': -10.066886, ' yes': -10.225104, ' No': -12.427069}
{' Yes': -0.0048557576, ' No': -5.8488836, 'Yes': -6.3711066, ' yes': -9.381501, ' The': -9.433286}
{' Yes': -0.0027465564, 'Yes': -5.936611, ' yes': -10.098957, '\n': -10.65824, ' The': -11.063517}
{' Yes': -0.028143458, ' No': -3.7892458, 'Yes': -5.504561, '\n': -7.5648003, 'No': -8.438726}
{' Yes': -0.00366216, ' No': -6.2663693, 'Yes': -6.5789084, ' The': -8.934987, '\n': -9.173748}
{' Yes': -0.004209337, 'Yes': -6.235645, ' No': -6.291675, ' The': -8.410718, ' yes': -9.073812}
{' No': -0.42913562, ' Yes': -1.0666993, 'No': -5.851809, 'Yes': -7.0528436, ' The': -7.4219465}
{' Yes': -0.037848096, ' No': -3.407683, 'Yes': -5.83038, ' The': -8.140718, ' "': -8.173817}
{' Yes': -0.030586518, ' No': -3.627806, 'Yes': -5.8097587, ' The': -8.551287, 'No': -8.599129}
{' No': -0.15700394, ' Yes': -1.9825786, 'No': -5.1318684, ' The': -7.323726, 'Yes': -7.435055}
{' Yes': -0.018849935, ' No': -4.1958804, 'Yes': -5.8434367, '\n': -8.303201, ' The': -8.83801}
{' Yes': -0.017650517, ' No': -4.2753158, 'Yes': -5.77359, ' yes': -8.993526, ' The': -9.085529}
{' No': -0.021867005, ' Yes': -4.3364096, 'No': -5.160758, ' The': -6.4454303, ' Not': -7.2805705}
{' No': -0.10210964, ' Yes': -2.4278047, 'No': -5.0678034, ' The': -6.3099, 'Yes': -7.9826307}
{' Yes': -0.0037979083, 'Yes': -5.700512, ' No': -8.156424, '\n': -9.481325, ' yes': -10.401817}
{' Yes': -0.021060051, ' No': -4.02971, 'Yes': -6.135127, '\n': -7.92188, ' The': -8.54736}
{' Yes': -0.19405262, ' No': -1.7632302, 'Yes': -6.136777, 'No': -6.772179, ' The': -7.1997385}
{' No': -0.027894342, ' Yes': -4.024524, 'No': -4.7382746, ' The': -7.8245053, ' "': -9.017962}
{' Yes': -0.0013713825, 'Yes': -6.7241397, ' yes': -9.539621, ' The': -9.857714, '\n': -10.946974}
{' Yes': -0.009410974, ' No': -5.217924, 'Yes': -5.7187157, '\n': -7.9723277, ' The': -9.287874}
{' Yes': -0.0040273312, 'Yes': -6.131982, ' No': -6.7139764, ' The': -7.6301203, ' yes': -9.55852}
{' Yes': -0.012448309, ' No': -5.0870466, 'Yes': -5.1970015, '\n': -8.417862, ' The': -8.506755}
{' Yes': -0.0013930504, 'Yes': -6.643969, ' yes': -9.947952, ' The': -10.447464, ' YES': -12.340073}
{' Yes': -0.3639889, ' No': -1.202034, 'No': -6.2925186, 'Yes': -6.376299, ' The': -7.397163}
{' Yes': -0.015904082, ' No': -4.327351, 'Yes': -6.1557617, ' The': -8.77202, ' yes': -9.303126}
{' Yes': -0.011112055, ' No': -4.996277, 'Yes': -5.5245705, ' The': -9.235491, 'No': -9.545132}
{' No': -0.026680183, ' Yes': -3.8674185, 'No': -5.280401, ' Not': -8.982435, 'Yes': -9.580753}
{' Yes': -0.36436132, ' No': -1.2070986, 'Yes': -5.92742, 'No': -6.045937, ' The': -7.242451}
{' Yes': -0.41132697, ' No': -1.0977588, 'No': -6.7211657, 'Yes': -6.776342, ' The': -7.0396147}
{' No': -0.5751071, ' Yes': -0.8411594, 'No': -5.7239356, 'Yes': -6.753585, ' The': -6.9240685}
{' Yes': -0.0021931296, 'Yes': -6.421729, ' No': -7.724542, ' yes': -9.946652, ' The': -10.576167}
{' Yes': -0.4873361, ' No': -0.9641809, ' The': -6.3452287, 'No': -6.6178675, 'Yes': -6.8717675}
{' Yes': -0.0026260114, 'Yes': -6.043584, '\n': -9.504828, ' The': -9.868609, ' No': -9.903771}
{' Yes': -0.071445785, ' No': -2.7173903, 'Yes': -6.2145767, 'No': -7.9248505, ' The': -8.195951}
{' Yes': -0.0019162935, 'Yes': -6.4565816, ' No': -8.374278, ' yes': -9.639665, '\n': -10.605195}
{' Yes': -0.0018299423, 'Yes': -6.5202775, ' No': -8.233284, ' yes': -9.771458, ' The': -11.265576}
{' Yes': -0.032936223, ' No': -3.5258942, 'Yes': -6.2487717, ' The': -7.5395904, '\n': -8.599688}
{' Yes': -0.12992516, ' No': -2.1487868, 'Yes': -5.9536266, '\n': -6.8540783, 'No': -7.130415}
{' Yes': -0.004998317, 'Yes': -5.781792, ' No': -6.388432, '\n': -9.388452, ' yes': -9.526757}
{' Yes': -0.042039152, ' No': -3.3027487, 'Yes': -5.6288614, 'No': -8.185285, '\n': -8.571345}
{' Yes': -0.015723007, ' No': -4.301528, 'Yes': -6.5310097, ' The': -8.34962, '\n': -8.668862}
{' No': -0.09675326, ' Yes': -2.4864438, 'No': -4.8547945, 'Yes': -7.6392674, ' The': -7.961992}
{' No': -0.52379453, ' Yes': -0.906691, 'No': -6.4481316, ' The': -6.6643963, 'Yes': -7.4823513}
{' Yes': -0.23424481, ' No': -1.5963262, ' The': -6.1125894, 'Yes': -6.2150335, 'No': -6.752818}
{' Yes': -0.084507555, ' No': -2.5694318, 'Yes': -5.9529476, ' The': -7.4632764, 'No': -7.513781}
{' Yes': -0.004630577, 'Yes': -5.9019885, ' No': -6.426618, ' The': -8.755147, '\n': -10.024182}
{' No': -0.17950428, ' Yes': -1.8317336, 'No': -5.6620383, 'Yes': -7.978168, ' The': -8.609447}
{' Yes': -0.14736927, ' No': -2.017767, 'Yes': -5.962232, 'No': -6.981027, '\n': -8.288875}
{' Yes': -0.13712515, ' No': -2.132122, 'Yes': -5.2005863, 'No': -6.4446793, '\n': -7.094047}
{' No': -0.37222975, ' Yes': -1.1945641, 'No': -5.195384, 'Yes': -6.6378374, ' The': -7.223559}
{' No': -0.076613575, ' Yes': -2.6889355, 'No': -5.3080626, ' The': -7.799681, 'Yes': -8.468417}
{' Yes': -0.39524117, ' No': -1.1368107, 'Yes': -5.8902745, 'No': -5.9545403, ' The': -9.001801}
{' Yes': -0.04695332, ' No': -3.1388721, 'Yes': -6.486285, ' The': -7.2460227, 'No': -9.016823}
{' No': -0.04236569, ' Yes': -3.3664985, 'No': -5.0786204, ' The': -7.784036, 'Yes': -8.83624}
{' Yes': -0.0063359, ' No': -5.3597846, 'Yes': -6.6076975, ' yes': -9.347959, ' The': -9.462316}
{' Yes': -0.022673024, ' No': -3.905474, 'Yes': -6.203463, ' The': -9.278349, 'No': -9.349258}
{' Yes': -0.26251665, ' No': -1.4864354, 'Yes': -6.2483315, 'No': -6.608328, ' The': -6.912814}
{' No': -0.037027214, ' Yes': -3.6309469, 'No': -4.7264285, ' The': -7.442245, 'Yes': -8.933219}
{' Yes': -0.46955916, ' No': -0.99377483, ' The': -6.72052, 'No': -6.752762, 'Yes': -6.9641495}
{' No': -0.063345015, ' Yes': -2.9341848, 'No': -4.977272, ' The': -7.420648, ' Not': -8.361912}
{' Yes': -0.103953965, ' No': -2.448402, 'Yes': -5.208055, '\n': -5.567233, 'No': -6.7570925}
{' No': -0.018296817, ' Yes': -4.5224776, 'No': -5.060106, ' The': -8.250892, ' Not': -8.5021}
{' Yes': -0.2468262, ' No': -1.543152, 'Yes': -6.1591887, 'No': -6.7088313, ' The': -6.8816147}
{' No': -0.24761313, ' Yes': -1.5504904, 'No': -5.4796705, ' The': -6.5983577, 'Yes': -7.293668}
{' Yes': -0.5064192, ' No': -0.9354619, 'Yes': -6.247666, 'No': -6.393714, ' The': -7.2900167}
{' Yes': -0.16278023, ' No': -1.9304004, 'Yes': -5.8545637, 'No': -6.9339156, ' The': -7.1850038}
{' Yes': -0.0022627239, 'Yes': -6.318598, ' No': -8.394971, ' The': -9.472331, ' yes': -9.725109}
{' Yes': -0.22915141, ' No': -1.6158797, 'Yes': -5.697432, 'No': -6.331059, '\n': -7.6967335}
{' Yes': -0.0020643468, 'Yes': -6.589892, ' No': -7.428295, ' yes': -10.165022, ' The': -10.416023}
{' Yes': -0.008296741, ' No': -5.0707893, 'Yes': -6.3958926, ' The': -8.903275, '\n': -9.650171}
{' No': -0.22453104, ' Yes': -1.6418531, 'No': -5.1274543, 'Yes': -7.2544246, '\n': -8.205263}
{' Yes': -0.015019074, ' No': -4.3395543, 'Yes': -6.5217614, ' The': -9.054693, '\n': -9.492096}
{' Yes': -0.090336725, ' No': -2.511727, 'Yes': -5.532412, 'No': -7.1252713, ' The': -8.313532}
{' No': -0.3822922, ' Yes': -1.184998, 'No': -5.1394653, ' The': -6.4834766, '\n': -6.585982}
{' Yes': -0.00661504, ' No': -5.4754925, 'Yes': -6.088038, ' yes': -9.696665, 'No': -10.542797}
{' Yes': -0.119027376, ' No': -2.2433903, 'Yes': -5.424453, 'No': -6.7278943, ' The': -8.756294}
{' No': -0.01402309, 'No': -4.4323635, ' Yes': -6.6536956, ' The': -7.8142962, ' "': -8.726458}
{' No': -0.02266406, 'No': -4.1056123, ' Yes': -5.2613363, ' The': -7.9173946, ' "': -9.048174}
{' Yes': -0.08080707, ' No': -2.6170237, 'Yes': -5.6225605, 'No': -7.3297505, ' The': -9.65184}
{' No': -0.117300235, ' Yes': -2.2506123, 'No': -5.486185, ' The': -7.7734904, ' Not': -8.232961}
{' No': -0.3701926, ' Yes': -1.1929502, 'No': -5.6056695, ' The': -6.9197946, 'Yes': -7.0971}
{' No': -0.09056861, ' Yes': -2.5290222, 'No': -5.231104, '\n': -7.181586, 'Yes': -8.085591}
{' Yes': -0.0015096872, 'Yes': -6.603358, ' No': -10.05612, ' yes': -10.066289, ' The': -10.114922}
{' No': -0.13511167, ' Yes': -2.1477935, 'No': -4.783625, 'Yes': -7.569626, ' The': -7.693661}
{' Yes': -0.032564968, ' No': -3.5473585, 'Yes': -6.0781116, ' The': -7.7064714, 'No': -8.744454}
{' No': -0.5498194, ' Yes': -0.8779501, 'No': -5.4233737, 'Yes': -6.337434, ' The': -7.5427084}
{' Yes': -0.10713661, ' No': -2.3482063, 'Yes': -5.980517, '\n': -6.426604, ' The': -7.1344705}
{' No': -0.114408806, ' Yes': -2.3020651, 'No': -5.0318894, '\n': -7.6038213, 'Yes': -7.836717}
{' Yes': -0.04747026, ' No': -3.122013, 'Yes': -6.263574, 'No': -8.757076, ' The': -9.561427}
{' Yes': -0.0042170594, 'Yes': -5.816122, ' No': -6.901464, ' yes': -9.311234, '\n': -9.768037}
{' Yes': -0.055675928, ' No': -2.9550269, 'Yes': -6.6055107, ' The': -8.047711, ' Not': -8.739037}
{' Yes': -0.002139008, 'Yes': -6.5293336, ' No': -7.8366756, ' The': -8.8624935, ' yes': -9.633781}
{' No': -0.12826993, ' Yes': -2.1801286, 'No': -5.363799, '\n': -6.9375978, ' The': -7.3243504}
{' No': -0.099339835, ' Yes': -2.4637046, 'No': -4.96828, '\n': -7.177409, ' The': -7.334171}
{' No': -0.042919345, ' Yes': -3.3776512, 'No': -5.0451946, ' The': -7.2240214, ' Not': -8.244949}
{' No': -0.53253174, ' Yes': -0.9066505, 'No': -5.5566216, ' The': -6.150203, 'Yes': -6.551578}
{' Yes': -0.0028459583, 'Yes': -5.908466, ' yes': -9.85458, ' No': -10.082308, ' The': -11.72944}
{' Yes': -0.0028659236, 'Yes': -6.254111, ' No': -7.346312, ' The': -9.141394, ' yes': -9.431609}
{' Yes': -0.021379687, ' No': -4.0326595, 'Yes': -5.99357, ' The': -8.177377, ' "': -8.612896}
{' Yes': -0.24820906, ' No': -1.5401955, 'Yes': -6.076633, 'No': -6.635483, '\n': -7.1214194}
{' No': -0.024888165, ' Yes': -4.0198736, 'No': -5.27744, ' The': -6.9083834, ' "': -8.615088}
{' No': -0.27500635, ' Yes': -1.4535952, 'No': -5.3932962, 'Yes': -7.153912, ' The': -7.423127}
{' No': -0.41192874, ' Yes': -1.1129194, 'No': -5.2694, 'Yes': -6.260992, '\n': -6.897482}
{' No': -0.14120199, ' Yes': -2.0800638, 'No': -5.337777, ' The': -7.3568845, 'Yes': -7.613318}
{' Yes': -0.0038466149, 'Yes': -5.9716296, ' No': -6.823184, ' The': -9.267907, ' yes': -9.720447}
{' Yes': -0.26456517, ' No': -1.4849114, 'Yes': -5.666382, 'No': -6.5171685, ' The': -7.482519}
{' No': -0.0790806, ' Yes': -2.6678429, 'No': -5.365394, ' The': -7.0340858, ' Not': -7.5650344}
{' No': -0.47428632, ' Yes': -0.9871438, 'No': -5.8807917, 'Yes': -6.92565, ' The': -6.986981}
{' Yes': -0.0021394857, 'Yes': -6.336297, ' No': -8.942969, '\n': -9.365344, ' yes': -9.563096}
{' Yes': -0.52282, ' No': -0.9152187, 'No': -5.8627434, 'Yes': -6.186709, ' The': -6.895336}
{' No': -0.30557278, ' Yes': -1.3748839, 'No': -5.1499047, '\n': -6.038435, 'Yes': -6.852459}
{' Yes': -0.029368604, ' No': -3.7093022, 'Yes': -5.647344, '\n': -7.891959, 'No': -8.465631}
{' Yes': -0.004021164, 'Yes': -5.970658, ' No': -6.6354833, ' yes': -9.942554, ' The': -10.342675}
{' No': -0.55502516, ' Yes': -0.8649425, 'No': -5.797268, 'Yes': -6.789873, ' The': -8.14678}
{' No': -0.532791, ' Yes': -0.90398383, 'No': -5.4569607, ' The': -6.562525, 'Yes': -6.609453}
{' No': -0.022878578, 'No': -4.20924, ' Yes': -5.203787, '\n': -6.353285, ' ': -8.185546}
{' Yes': -0.014081181, ' No': -4.5531874, 'Yes': -5.938393, ' The': -7.7824216, ' yes': -9.312165}
{' Yes': -0.006901104, ' No': -5.4016056, 'Yes': -6.134317, ' The': -9.398669, ' yes': -9.807728}
{' Yes': -0.09897507, ' No': -2.423764, 'Yes': -5.717257, '\n': -7.0344605, 'No': -7.2708135}
{' No': -0.016779067, ' Yes': -4.7856555, 'No': -4.9046364, ' The': -7.7622566, ' Not': -8.789703}
{' No': -0.207819, ' Yes': -1.7222157, 'No': -5.0233817, 'Yes': -7.1646633, ' The': -7.307197}
{' Yes': -0.09448872, ' No': -2.468739, 'Yes': -5.6521378, ' The': -7.0883985, 'No': -7.285446}
{' Yes': -0.007892705, 'Yes': -5.1049557, ' No': -6.8881183, '\n': -7.5615096, ' ': -9.34719}
{' Yes': -0.0048967833, 'Yes': -5.4548993, ' No': -7.577179, ' yes': -9.922581, '\n': -11.098434}
{' Yes': -0.0063451375, 'Yes': -5.68154, ' No': -5.907016, ' yes': -9.690317, ' The': -10.005961}
{' Yes': -0.066039555, ' No': -2.8088582, 'Yes': -6.177898, ' The': -7.055365, 'No': -8.141151}
{' Yes': -0.6044604, ' No': -0.7981059, 'No': -6.590313, 'Yes': -6.9967933, ' The': -7.086296}
{' Yes': -0.2063007, ' No': -1.6981544, 'Yes': -6.518052, ' The': -7.0999694, 'No': -7.169521}
{' Yes': -0.0026897755, 'Yes': -6.0864263, ' No': -8.078703, ' The': -9.974171, ' yes': -10.359928}
{' Yes': -0.08598429, ' No': -2.5437229, 'Yes': -5.861665, 'No': -7.4258413, ' The': -8.637539}
{' No': -0.30591774, ' Yes': -1.3766268, 'No': -5.151117, ' The': -5.8433948, 'Yes': -6.8330364}
{' No': -0.13999219, ' Yes': -2.0775073, 'No': -5.5568466, ' The': -6.9533157, 'Yes': -8.043528}
{' Yes': -0.1384719, ' No': -2.0749304, 'Yes': -6.3572516, ' The': -7.3114133, 'No': -7.475741}
{' Yes': -0.048835337, ' No': -3.1490414, 'Yes': -5.5074496, 'No': -7.7623005, ' The': -9.210628}
{' Yes': -0.07323103, ' No': -2.7466965, 'Yes': -5.5870037, '\n': -6.652332, 'No': -7.3485603}
{' No': -0.12128721, ' Yes': -2.2532222, 'No': -4.8015313, 'Yes': -7.63703, ' Not': -8.674039}
{' Yes': -0.09464399, ' No': -2.4801974, 'Yes': -5.713432, '\n': -6.230619, 'No': -7.4057245}
{' No': -0.036797643, ' Yes': -3.5216954, 'No': -5.197818, ' The': -7.695864, '\n': -8.655154}
{' Yes': -0.0037231224, 'Yes': -5.6210117, ' yes': -10.05342, '\n': -10.780933, ' No': -11.424616}
{' Yes': -0.0068639517, 'Yes': -5.590701, ' No': -5.9038057, '\n': -8.993215, ' The': -9.144376}
{' Yes': -0.007830121, ' No': -5.3802757, 'Yes': -5.7956223, ' yes': -9.747767, 'No': -10.30146}
{' Yes': -0.11521824, ' No': -2.241744, 'Yes': -6.3613515, 'No': -7.7751126, ' The': -8.236527}
{' Yes': -0.13992232, ' No': -2.1008484, 'Yes': -5.291717, 'No': -6.638217, ' The': -6.980729}
{' Yes': -0.011188602, 'Yes': -4.690672, ' No': -6.752897, '\n': -8.4200945, ' The': -8.427548}
{' Yes': -0.010547779, 'Yes': -4.7661605, ' No': -7.3394656, '\n': -7.421247, ' "': -8.209904}
{' No': -0.31455612, ' Yes': -1.4178143, 'No': -3.909372, 'Yes': -5.957614, ' The': -6.3123603}
{' No': -0.37358776, ' Yes': -1.230508, 'No': -4.779256, ' The': -5.578856, '\n': -5.702105}
{' Yes': -0.12458041, ' No': -2.278059, 'Yes': -4.5445538, 'No': -5.9362082, '\n': -7.444795}
{' No': -0.11105584, ' Yes': -2.5352998, 'No': -3.7497582, 'Yes': -6.9301434, '\n': -7.2933636}
{' Yes': -0.1528343, ' No': -2.0294573, 'Yes': -5.101513, 'No': -6.0678964, ' The': -6.6392817}
{' Yes': -0.0077760564, 'Yes': -5.4131637, ' No': -5.796392, ' yes': -9.459016, ' The': -9.956361}
{' No': -0.1119117, ' Yes': -2.4258974, 'No': -4.1961913, 'Yes': -7.06308, ' The': -7.203375}
{' Yes': -0.017236255, ' No': -4.7208457, 'Yes': -5.0682483, '\n': -6.723998, ' yes': -8.666835}
{' Yes': -0.012531236, 'Yes': -5.007807, ' No': -5.3296623, ' The': -7.8207035, '\n': -8.444281}
{' Yes': -0.1716271, ' No': -1.9037876, 'Yes': -5.2958355, 'No': -6.2557673, ' The': -7.207325}
{' Yes': -0.056391392, ' No': -3.2018838, 'Yes': -4.515036, 'No': -6.4656434, ' The': -7.421543}
{' Yes': -0.02376371, 'Yes': -4.6259365, ' No': -4.7533035, '\n': -5.981424, ' The': -6.751396}
{' Yes': -0.0068713943, 'Yes': -5.389083, ' No': -6.1891026, ' The': -9.534363, ' yes': -9.590427}
{' Yes': -0.01217984, 'Yes': -4.9157386, ' No': -5.4326715, ' yes': -8.875192, ' The': -9.22232}
{' Yes': -0.05335562, ' No': -3.2929928, 'Yes': -4.485925, ' The': -6.79124, 'No': -6.8253036}
{' Yes': -0.020455338, 'Yes': -4.7425337, ' No': -4.752345, '\n': -6.4247866, ' "': -7.6958184}
{' Yes': -0.106396526, ' No': -2.6820533, 'Yes': -3.63288, 'No': -5.444527, '\n': -6.9484777}
{' No': -0.034520663, ' Yes': -3.9843535, 'No': -4.2114863, 'Yes': -8.740198, '\n': -8.79845}
{' Yes': -0.02354364, ' No': -4.06668, 'Yes': -5.3258295, ' The': -7.7809305, ' yes': -7.901536}
{' No': -0.032154154, 'No': -3.5002365, ' Yes': -6.799558, '\n': -9.010603, ' The': -9.755295}
{' No': -0.05759552, 'No': -3.257644, ' Yes': -4.140889, '\n': -7.511361, 'Yes': -8.0755}
{' Yes': -0.024586836, ' No': -3.975028, 'Yes': -5.4089456, ' The': -7.7844834, 'No': -8.255263}
{' No': -0.035510607, 'No': -3.6687617, ' Yes': -4.760711, ' The': -7.895124, ' "': -8.910657}
{' Yes': -0.0072796443, 'Yes': -5.1936445, ' No': -7.2567587, ' The': -7.7784853, '\n': -8.197949}
{' Yes': -0.08583458, ' No': -2.6840897, 'Yes': -4.537752, 'No': -6.282127, ' The': -7.3592734}
{' Yes': -0.020983962, 'Yes': -4.284051, '\n': -5.367507, ' No': -6.859244, ' ': -7.2569304}
{' No': -0.5225122, ' Yes': -0.945606, 'No': -4.3318458, 'Yes': -5.3979106, ' The': -7.876903}
{' Yes': -0.55233777, ' No': -0.94098496, '\n': -4.315689, 'No': -4.4842834, 'Yes': -4.888872}
{' Yes': -0.07082916, ' No': -2.909931, 'Yes': -4.609005, '\n': -6.614957, 'No': -6.749038}
{' Yes': -0.0039029205, 'Yes': -5.6714864, ' No': -8.909274, ' The': -9.003239, ' yes': -9.00437}
{' Yes': -0.20585611, ' No': -1.7261883, 'Yes': -5.4225726, 'No': -6.206527, ' The': -7.2540703}
{' Yes': -0.0103985835, 'Yes': -4.9562984, ' No': -6.002244, ' The': -8.140965, ' yes': -8.656886}
{' No': -0.71866024, ' Yes': -0.7689971, 'No': -3.3646772, 'Yes': -4.741455, ' The': -6.155576}
{' Yes': -0.0122300405, 'Yes': -4.689245, '\n': -6.441892, ' No': -7.6716213, ' yes': -8.02261}
{' Yes': -0.16103755, ' No': -1.9597473, 'Yes': -5.431244, 'No': -6.526632, ' The': -6.935137}
{' No': -0.021216083, 'No': -3.9009156, ' Yes': -7.514557, ' ': -9.461021, '\n': -9.877802}
{' No': -0.05707969, 'No': -3.361021, ' Yes': -3.9368994, 'Yes': -7.9747715, ' The': -8.02388}
