{' Yes': -0.00454453, 'Yes': -5.773289, ' Generally': -6.811503, ' yes': -8.638304, ' An': -10.67748}
{' Yes': -0.0063406397, 'Yes': -5.332209, ' yes': -7.1194615, ' ': -8.194288, '\n': -8.31777}
{' Yes': -0.004310022, 'Yes': -5.8771467, '\n': -7.6477065, ' yes': -7.779781, ' ': -7.92645}
{' Yes': -0.00574152, 'Yes': -5.62655, ' yes': -6.978325, '\n': -7.6314197, ' Generally': -8.129195}
{' Yes': -0.0060499986, 'Yes': -5.5498514, ' yes': -7.160572, '\n': -7.5923843, ' Generally': -7.881826}
{' Yes': -0.025475992, 'Yes': -3.8712404, ' yes': -6.7707515, '\n': -6.807454, ' ': -7.1294603}
{' Yes': -0.06766355, 'Yes': -3.9319115, ' No': -3.9772894, '\n': -4.6099777, ' ': -5.6241264}
{' Yes': -0.014225727, 'Yes': -4.4944005, ' yes': -6.7247434, ' Generally': -7.8594623, ' ': -7.8622417}
{' Yes': -0.017643359, 'Yes': -4.208906, ' yes': -6.8352184, ' ': -7.497589, '\n': -7.7996736}
{' Yes': -0.07421594, 'Yes': -3.1970186, '\n': -3.855069, ' ': -5.1298494, ' yes': -6.211203}
{' Yes': -0.09916151, '\n': -3.185858, 'Yes': -3.255877, ' ': -4.661129, ' yes': -6.2901006}
{' Yes': -0.06762011, 'Yes': -3.4642913, '\n': -3.7611244, ' ': -5.143336, ' yes': -6.128168}
{' Yes': -0.0661536, 'Yes': -3.2907531, '\n': -3.9897509, ' ': -5.2638083, ' yes': -6.2390413}
{' Yes': -0.00470651, 'Yes': -5.536992, ' yes': -7.626093, ' ': -8.814601, ' YES': -9.790992}
{' Yes': -0.0040884945, 'Yes': -5.729939, ' yes': -7.888627, ' ': -8.521174, '\n': -9.325816}
{' Yes': -0.0033142255, 'Yes': -5.9434495, ' yes': -7.583787, ' ': -9.567081, ' Ant': -10.497914}
{' Yes': -0.003446099, 'Yes': -5.8024435, ' yes': -8.21001, ' ': -9.332332, '\n': -10.403804}
{' Yes': -0.14761387, 'Yes': -2.186152, '\n': -4.680109, ' ': -5.1733866, ' yes': -5.183634}
{' Yes': -0.1990236, 'Yes': -2.4168675, ' No': -3.4376156, '\n': -3.8074255, ' ': -4.3132315}
{' Yes': -0.14647397, 'Yes': -2.2204638, '\n': -4.7730527, ' ': -5.111664, ' yes': -5.239995}
{' Yes': -0.14212258, 'Yes': -2.1806185, '\n': -5.0188947, ' ': -5.248773, ' yes': -5.2996836}
{' Yes': -0.0278162, 'Yes': -4.142329, ' yes': -4.722135, ' ': -6.9391694, ' YES': -7.2132006}
{' Yes': -0.02328615, 'Yes': -4.269124, ' yes': -5.1112223, ' ': -6.7019114, '\n': -7.5121517}
{' Yes': -0.02880087, 'Yes': -4.163423, ' yes': -4.6977706, ' ': -6.825072, ' YES': -6.9101634}
{' Yes': -0.030035354, 'Yes': -4.171753, ' yes': -4.5971394, ' ': -6.5753317, '\n': -7.1987305}
{' Yes': -0.07258422, 'Yes': -3.0830822, ' yes': -4.266533, ' Generally': -5.4047976, ' An': -6.052562}
{' Yes': -0.071561925, 'Yes': -3.0617998, ' yes': -4.5101643, ' Generally': -5.53788, ' An': -6.6345754}
{' Yes': -0.10788364, 'Yes': -2.9646504, ' yes': -3.41922, ' Ant': -5.1330824, ' Generally': -5.296895}
{' Yes': -0.11268455, 'Yes': -2.7204401, ' yes': -3.5152783, ' Generally': -5.9465485, ' Ant': -6.452366}
{' Yes': -0.02632666, 'Yes': -3.7989285, ' yes': -6.0667143, ' Generally': -7.3184257, ' No': -8.624449}
{' Yes': -0.06686053, 'Yes': -3.3340836, ' No': -3.8875144, 'No': -5.6021423, ' yes': -6.0946984}
{' Yes': -0.04767854, 'Yes': -3.160267, ' Generally': -6.175502, ' yes': -6.781018, ' Ant': -8.239253}
{' Yes': -0.047493573, 'Yes': -3.124169, ' Generally': -6.912501, ' yes': -7.0330505, ' ': -9.019698}
{' Yes': -0.040562537, 'Yes': -3.3053634, ' yes': -6.3650155, ' Generally': -7.3402796, ' ': -8.403568}
{' Yes': -0.05495584, 'Yes': -3.0217927, ' No': -6.463544, ' yes': -6.6098676, ' ': -7.708878}
{' Yes': -0.06994996, 'Yes': -2.7740304, ' yes': -6.3911166, ' Generally': -6.509602, ' No': -7.6644664}
{' Yes': -0.065558925, 'Yes': -2.8016982, ' yes': -6.717379, ' Generally': -7.8831606, ' ': -8.077069}
{' Yes': -0.014200334, 'Yes': -4.4072037, ' yes': -6.743973, ' Generally': -8.162047, ' ': -8.884108}
{' Yes': -0.015949503, 'Yes': -4.2871475, ' No': -7.2108803, ' yes': -7.3749886, ' Generally': -8.011321}
{' Yes': -0.021412142, 'Yes': -4.0607452, ' Generally': -6.456465, ' yes': -6.8715134, ' Ant': -7.2683005}
{' Yes': -0.019734075, 'Yes': -4.03328, ' yes': -6.925286, ' Generally': -7.619751, ' ': -9.256773}
{' Yes': -0.3437605, ' No': -2.3017433, 'Yes': -2.5255575, 'No': -2.8918352, ' Generally': -4.138242}
{' No': -0.73830414, 'No': -0.8264275, ' AN': -2.9985235, ' Yes': -4.1883945, ' An': -5.48728}
{' Yes': -0.1361209, 'Yes': -2.3492346, ' Ant': -4.42182, ' Generally': -4.528451, ' yes': -5.980077}
{' Yes': -0.2380703, 'Yes': -1.886521, ' AN': -3.810866, ' No': -4.6253457, 'No': -4.6511884}
{' Yes': -0.042183757, 'Yes': -3.3443077, ' yes': -5.235282, 'yes': -8.296533, ' ': -8.805257}
{' Yes': -0.07446248, 'Yes': -3.3458261, ' No': -4.0228457, ' AN': -5.066299, ' yes': -5.0736003}
{' Yes': -0.046010476, 'Yes': -3.2807937, ' yes': -5.281854, ' Generally': -7.2683115, ' Ant': -7.2996902}
{' Yes': -0.0655996, 'Yes': -2.8579903, ' yes': -5.2978764, 'yes': -8.129307, ' Generally': -8.371173}
{' Yes': -0.052005034, ' yes': -3.1817615, 'Yes': -4.9842367, ' ': -7.1699243, ' YES': -7.261134}
{' Yes': -0.0645648, ' yes': -2.9318686, 'Yes': -5.0321474, ' ': -6.7789874, '\n': -7.220832}
{' Yes': -0.07834456, ' yes': -2.6600266, 'Yes': -5.587587, ' YES': -7.3521667, 'yes': -7.652615}
{' Yes': -0.063493185, ' yes': -2.9390764, 'Yes': -5.005103, ' ': -7.4339657, 'yes': -7.482742}
{' Yes': -0.036512543, 'Yes': -3.6362324, ' yes': -4.9097366, ' ': -7.232045, '\n': -7.499645}
{' Yes': -0.03662092, 'Yes': -3.6748674, ' yes': -4.965791, '\n': -6.640654, ' ': -6.8045707}
{' Yes': -0.04079521, 'Yes': -3.506209, ' yes': -4.844043, '\n': -7.351643, ' ': -7.8067346}
{' Yes': -0.039637677, 'Yes': -3.5657568, ' yes': -4.834159, '\n': -6.8138194, ' ': -7.2693887}
{' Yes': -0.11169866, 'Yes': -2.6786618, '\n': -4.02694, ' yes': -4.2950253, ' ': -5.8475204}
{' Yes': -0.18766789, '\n': -2.5659695, 'Yes': -2.6480312, ' yes': -4.559885, ' ': -4.6099205}
{' Yes': -0.08791198, 'Yes': -2.8621259, ' yes': -4.1268163, '\n': -4.9871655, ' ': -6.6566677}
{' Yes': -0.1010079, 'Yes': -2.7268891, '\n': -4.0201955, ' yes': -4.7489815, ' ': -5.938961}
{' Yes': -0.018068895, 'Yes': -4.4209714, ' yes': -5.2884965, ' ': -8.243705, '\n': -8.408743}
{' Yes': -0.017773613, 'Yes': -4.2782965, ' yes': -5.891001, '\n': -7.8518987, ' ': -8.199818}
{' Yes': -0.012602702, 'Yes': -4.790246, ' yes': -5.6070485, 'yes': -9.034153, '\n': -9.074758}
{' Yes': -0.015672693, 'Yes': -4.4163375, ' yes': -5.811962, 'yes': -8.860823, '\n': -8.917488}
{' Yes': -0.1594039, 'Yes': -2.1797209, ' yes': -4.1975822, '\n': -4.536036, ' ': -5.77783}
{' Yes': -0.54451513, ' No': -1.9096919, '\n': -2.3146527, 'Yes': -2.4940598, 'No': -2.794902}
{' Yes': -0.1620581, 'Yes': -2.296015, ' yes': -3.4832325, '\n': -4.911708, 'yes': -5.4951534}
{' Yes': -0.15548873, 'Yes': -2.2062109, ' yes': -3.8894765, '\n': -4.855985, ' ': -5.9270663}
{' Yes': -0.10623007, ' yes': -2.581112, 'Yes': -3.956667, ' YES': -6.3119335, 'yes': -6.500228}
{' Yes': -0.07373126, ' yes': -2.9848561, 'Yes': -4.2120385, ' ': -6.156201, '\n': -6.276875}
{' Yes': -0.16212042, ' yes': -2.155336, 'Yes': -3.735101, 'yes': -5.7086606, '\n': -5.960329}
{' Yes': -0.15578137, ' yes': -2.2125576, 'Yes': -3.6835065, '\n': -5.6289253, 'yes': -5.684352}
{' Yes': -0.00813286, 'Yes': -5.27383, ' yes': -6.824672, '\n': -6.8988247, ' ': -7.437767}
{' Yes': -0.0049919086, 'Yes': -5.8732524, '\n': -7.0889544, ' yes': -7.328064, ' ': -7.651075}
{' Yes': -0.0062106615, 'Yes': -5.7907414, '\n': -6.7455306, ' yes': -7.009596, ' ': -7.4380817}
{' Yes': -0.006363253, 'Yes': -5.5856576, ' yes': -6.869007, '\n': -7.298001, ' ': -7.7746334}
{' Yes': -0.03161094, 'Yes': -3.8497374, '\n': -5.287796, ' ': -6.065932, ' yes': -6.5219636}
{' Yes': -0.030872447, 'Yes': -3.9509735, '\n': -5.1370926, ' ': -5.9960523, ' yes': -6.661832}
{' Yes': -0.035625733, 'Yes': -4.1034985, '\n': -4.426422, ' ': -5.7410407, ' Generally': -6.815904}
{' Yes': -0.022250155, 'Yes': -4.0841856, '\n': -6.069695, ' ': -6.7543263, ' yes': -7.0178266}
{' Yes': -0.04275915, 'Yes': -3.5272448, '\n': -5.0776196, ' ': -5.758747, ' yes': -6.390749}
{' Yes': -0.0499622, 'Yes': -3.6081593, '\n': -4.3169146, ' ': -5.357602, ' yes': -6.466886}
{' Yes': -0.027046872, 'Yes': -4.11385, '\n': -5.673092, ' Ant': -6.1785736, ' ': -6.2469273}
{' Yes': -0.026805315, 'Yes': -3.9564908, '\n': -5.660577, ' ': -6.3992777, ' yes': -6.618373}
{' Yes': -0.011232185, 'Yes': -5.2168555, '\n': -5.9831934, ' ': -6.1948423, ' yes': -7.149608}
{' Yes': -0.009536132, '\n': -5.7010927, 'Yes': -5.752786, ' ': -6.066463, ' yes': -7.6425066}
{' Yes': -0.019077003, '\n': -4.6459765, 'Yes': -5.239307, ' ': -5.918438, ' yes': -7.1880627}
{' Yes': -0.011403208, 'Yes': -5.0944085, '\n': -5.8185353, ' ': -6.518252, ' yes': -7.387358}
{' Yes': -0.03746913, 'Yes': -3.533622, '\n': -5.856662, ' ': -6.042561, ' yes': -6.4589257}
{' Yes': -0.06679419, 'Yes': -3.4205613, ' No': -4.298356, '\n': -4.7532296, ' ': -5.385026}
{' Yes': -0.033353154, 'Yes': -3.7671633, '\n': -5.7621007, ' ': -5.847787, ' yes': -6.415774}
{' Yes': -0.026267793, 'Yes': -3.8721979, ' yes': -6.3941627, ' ': -6.41332, '\n': -6.7805915}
{' Yes': -0.030409604, 'Yes': -4.275845, ' yes': -4.783934, '\n': -5.733301, ' ': -5.795976}
{' Yes': -0.027172666, 'Yes': -4.6546254, ' yes': -4.8618093, ' ': -5.4230504, '\n': -5.468142}
{' Yes': -0.024735471, 'Yes': -4.3530207, ' yes': -4.915801, '\n': -6.5121155, ' ': -6.548077}
{' Yes': -0.024395281, 'Yes': -4.4527016, ' yes': -4.691321, ' ': -6.691688, '\n': -6.9162045}
{' No': -0.07131174, ' Generally': -3.6141353, 'No': -4.0654387, ' It': -4.782881, ' Yes': -4.833732}
{' Yes': -0.08376886, ' No': -3.0966723, ' Generally': -3.8451934, 'Yes': -5.0642967, ' An': -6.2927394}
{' No': -0.061144456, ' Generally': -3.6805537, 'No': -3.9712033, ' Ant': -5.129437, ' It': -5.9206047}
{' No': -0.34292647, ' Generally': -2.0904374, ' It': -3.3823323, 'No': -3.4239485, ' Yes': -3.57782}
{' No': -0.102025285, 'No': -2.7516131, ' Generally': -3.8442523, ' Yes': -5.9979143, ' It': -6.1873975}
{' No': -0.10389795, 'No': -2.823411, ' Yes': -3.9482408, ' Generally': -4.336331, ' An': -6.5341334}
{' No': -0.08462489, 'No': -2.6866453, ' Generally': -5.142904, ' Ant': -5.4278407, ' ': -7.4360886}
{' No': -0.10369336, 'No': -2.5831435, ' Generally': -4.471787, ' Ant': -5.538681, ' Yes': -6.2700253}
{' No': -0.08719432, 'No': -2.7216492, ' Generally': -5.2798476, '\n': -5.599849, ' It': -6.0010257}
{' No': -0.06733495, 'No': -2.8375337, '\n': -6.3821363, ' Yes': -6.7192717, ' ': -6.897891}
{' No': -0.08773575, 'No': -2.5787616, ' Ant': -6.040122, '\n': -6.4124503, ' Generally': -6.4802537}
{' No': -0.09138424, 'No': -2.5822117, ' Generally': -5.768166, ' Ant': -6.2975516, '\n': -6.434775}
{' No': -0.06608286, 'No': -3.4492004, ' Generally': -3.832753, ' An': -6.063956, ' It': -6.364256}
{' No': -0.13414475, ' Yes': -2.6903958, 'No': -3.6578395, ' Generally': -3.9921193, ' An': -5.051631}
{' No': -0.121902235, ' Ant': -3.2881124, 'No': -3.3519816, ' Generally': -3.5750575, ' On': -5.344602}
{' No': -0.09830842, 'No': -2.938007, ' Generally': -3.9578362, ' Ant': -4.3407054, ' On': -6.173574}
{' No': -0.13257474, 'No': -2.2738347, ' Generally': -5.3647923, '\n': -5.371432, ' ': -5.942024}
{' No': -0.15186644, 'No': -2.056541, '\n': -5.618211, ' ': -6.0467396, ' Generally': -6.291743}
{' No': -0.1721982, 'No': -2.1893451, ' Ant': -4.077954, ' Generally': -4.845989, ' ': -5.1721563}
{' No': -0.19016379, 'No': -1.9871112, ' AN': -4.013955, ' Generally': -5.60928, ' ': -5.768676}
{' No': -0.110636786, 'No': -2.7972097, ' Generally': -3.7317836, ' An': -5.16813, ' Yes': -5.749101}
{' No': -0.27945283, ' Yes': -2.2356489, 'No': -2.4934402, ' Generally': -3.5169885, ' An': -4.8677325}
{' No': -0.12183215, 'No': -2.8047812, ' Ant': -3.566885, ' Generally': -4.2945004, ' ': -6.246119}
{' No': -0.17650437, 'No': -2.324547, ' Generally': -3.7886546, ' Ant': -3.8971274, ' AN': -5.303797}
{' No': -0.011872901, 'No': -4.605087, ' ': -7.0864058, '\n': -7.4605327, ' Generally': -8.8498125}
{' No': -0.29026344, ' Yes': -1.436292, 'No': -5.262893, ' ': -6.2100706, ' Generally': -6.227395}
{' No': -0.015516374, 'No': -4.393017, '\n': -6.978406, ' Generally': -7.3160076, ' ': -7.3718524}
{' No': -0.016541554, 'No': -4.52682, ' Generally': -6.3227963, '\n': -6.5226083, ' ': -6.6532063}
{' No': -0.10833614, 'No': -2.3902974, '\n': -5.5998883, ' ': -5.927144, ' Generally': -6.332827}
{' No': -0.079212785, 'No': -2.726233, '\n': -5.6000447, ' ': -6.2562313, ' An': -6.346087}
{' No': -0.070032045, 'No': -2.7866817, ' ': -6.3430243, ' Ant': -6.415536, '\n': -6.8088884}
{' No': -0.074557774, 'No': -2.7557502, ' ': -6.110469, ' Generally': -6.3736777, '\n': -6.497974}
{' No': -0.190879, 'No': -2.2210667, '\n': -2.9513118, ' ': -4.6408987, ' An': -6.5726514}
{' No': -0.19573192, 'No': -2.2889783, '\n': -2.8788772, ' ': -4.6260695, ' An': -5.449613}
{' No': -0.23487368, '\n': -2.3557959, 'No': -2.3828914, ' ': -4.245238, ' Ant': -5.2601066}
{' No': -0.2395487, 'No': -2.228637, '\n': -2.4257517, ' ': -4.415391, ' Ant': -6.515804}
{' No': -0.024367431, 'No': -3.7846153, ' ': -7.1287026, '\n': -8.687183, ' An': -8.894216}
{' No': -0.018155506, 'No': -4.1020555, ' ': -7.4724436, ' An': -8.3411455, ' Yes': -8.599957}
{' No': -0.018070292, 'No': -4.1052127, ' Ant': -7.2064896, ' ': -7.9759135, ' Generally': -9.067127}
{' No': -0.026455548, 'No': -3.7040906, ' ': -7.7368245, ' Generally': -8.010159, ' Ant': -8.065067}
{' No': -0.36463496, 'No': -1.2950644, '\n': -4.1086917, ' ': -4.6795793, ' An': -6.1635528}
{' No': -0.30931884, 'No': -1.4092239, '\n': -4.431832, ' ': -4.955957, ' An': -6.8704696}
{' No': -0.36526853, 'No': -1.3022498, '\n': -4.0924926, ' ': -4.7313943, ' Ant': -5.4840837}
{' No': -0.36023155, 'No': -1.2771493, '\n': -4.3190784, ' ': -4.959177, ' AN': -6.920989}
{' No': -0.07137377, 'No': -2.8977973, ' ': -5.585085, ' An': -5.8301244, ' Generally': -6.357623}
{' No': -0.099364325, 'No': -3.0356665, ' Yes': -3.8643467, ' An': -4.751367, ' ': -5.483683}
{' No': -0.08871775, 'No': -2.7209902, ' Ant': -4.9666667, ' ': -5.308336, '\n': -6.3451633}
{' No': -0.09426174, 'No': -2.9237883, ' Ant': -4.6787286, ' Generally': -5.0578837, ' ': -5.1696725}
{' No': -0.18633194, 'No': -1.9368126, ' An': -4.95975, ' Generally': -5.1126647, ' It': -6.3392496}
{' No': -0.28533658, 'No': -1.9799985, ' Yes': -2.8622293, ' AN': -4.4659863, ' An': -4.5957212}
{' No': -0.18963514, 'No': -2.0814388, ' Ant': -4.012655, ' Generally': -5.1054463, ' no': -5.471163}
{' No': -0.24850345, 'No': -2.0149255, ' Ant': -3.9864137, ' AN': -4.065971, ' Generally': -4.0992937}
{' No': -0.15080678, 'No': -1.9774115, ' Generally': -7.707807, ' ': -8.343512, ' no': -8.618084}
{' No': -0.17894961, 'No': -1.8218671, ' Yes': -6.9000144, ' AN': -8.006529, ' ': -8.086188}
{' No': -0.22541308, 'No': -1.6250483, ' Generally': -5.896075, ' Ant': -7.237131, ' ': -8.143174}
{' No': -0.2542014, 'No': -1.6007857, ' Generally': -4.8971725, ' Yes': -4.9695144, ' AN': -5.4728694}
{' No': -0.20453148, 'No': -1.7188898, ' Yes': -6.2550626, ' Generally': -7.109682, ' It': -7.227262}
{' No': -0.1790104, 'No': -1.8764992, ' Yes': -4.921219, ' AN': -7.11881, ' ': -7.1607795}
{' No': -0.21894133, 'No': -1.6784543, ' Ant': -6.02224, ' Generally': -6.037827, ' ': -6.8029246}
{' No': -0.23253001, 'No': -1.6718762, ' AN': -4.6476626, ' Yes': -5.83661, ' Generally': -6.2521567}
{' No': -0.04790055, 'No': -3.105859, ' Generally': -7.2433944, ' Yes': -7.971431, ' ': -8.1824255}
{' No': -0.056211017, 'No': -2.9583678, ' Yes': -6.2272444, ' ': -8.34407, ' Generally': -8.951487}
{' No': -0.07170349, 'No': -2.8385873, ' Ant': -5.3756065, ' Generally': -5.545072, ' ': -7.8401103}
{' No': -0.066250786, 'No': -2.9697237, ' Generally': -5.07071, ' Ant': -5.7088437, ' Yes': -7.036927}
{' No': -0.5175103, 'No': -0.95284164, ' Generally': -5.5432177, ' It': -5.785747, ' Ant': -5.8717475}
{' No': -0.6565337, 'No': -0.77395195, ' AN': -4.16637, '\n': -6.8011565, ' ': -6.8425226}
{' No': -0.508842, 'No': -1.0857482, ' Ant': -3.3439438, ' Generally': -4.751788, ' It': -5.6635256}
{'No': -0.73166233, ' No': -0.7678313, ' AN': -3.2214122, ' Ant': -5.7285624, ' Generally': -5.9688206}
{' No': -0.12485555, 'No': -2.204415, ' An': -5.913622, ' Ant': -6.574651, ' ': -7.4961815}
{' No': -0.14115901, 'No': -2.2875252, ' AN': -3.6375403, ' Yes': -7.168712, ' An': -7.3171387}
{' No': -0.3041717, 'No': -2.1282473, ' Ant': -2.6392453, ' Generally': -3.884632, ' Yes': -4.1497498}
{' No': -0.25236523, 'No': -1.6557237, ' AN': -4.7174206, ' Yes': -4.791, ' Generally': -5.363324}
{' No': -0.023829268, 'No': -4.2577176, ' no': -5.249911, ' ': -5.8444037, '\n': -7.2638516}
{' No': -0.052952502, ' Yes': -3.7148328, 'No': -4.2826123, ' ': -5.3470197, ' no': -5.6015744}
{' No': -0.018506758, 'No': -4.4772773, ' no': -5.367183, ' ': -6.64496, ' Ant': -8.011998}
{' No': -0.026926301, 'No': -3.9675276, ' no': -5.792925, ' ': -6.0200043, '\n': -6.9022865}
{' No': -0.13510989, 'No': -2.1301525, ' ': -6.0355997, '\n': -6.2049913, ' Generally': -6.8434205}
{' No': -0.14287595, 'No': -2.0955508, '\n': -5.81365, ' ': -5.967407, ' Yes': -6.8915176}
{' No': -0.14981647, 'No': -2.024828, '\n': -5.941118, ' ': -6.1899333, ' no': -6.9544315}
{' No': -0.1579131, 'No': -2.0376737, '\n': -5.432871, ' ': -5.4534125, ' Generally': -5.862707}
{' No': -0.25558692, 'No': -1.7204479, '\n': -3.2820246, ' ': -5.2449045, ' no': -6.8256965}
{' No': -0.29073063, 'No': -1.7316219, '\n': -2.7376149, ' ': -4.922965, ' An': -7.106099}
{' No': -0.27247584, 'No': -1.7482182, '\n': -3.0185082, ' ': -4.9612765, ' Ant': -5.1523786}
{' No': -0.33887583, 'No': -1.5696346, '\n': -2.7221594, ' ': -4.69847, ' Ant': -6.5360355}
{' No': -0.047221974, 'No': -3.1521583, ' ': -6.6783214, '\n': -7.199475, ' no': -7.649664}
{' No': -0.05644147, 'No': -2.9588156, ' ': -7.078131, '\n': -7.114896, ' Generally': -8.3282175}
{' No': -0.059062604, 'No': -2.9084637, ' no': -6.9725466, '\n': -7.248712, ' ': -7.4697924}
{' No': -0.07435037, 'No': -2.7189462, ' Ant': -6.6003356, ' Generally': -6.661026, ' ': -7.192805}
{' No': -0.3666901, 'No': -1.3094639, '\n': -3.6835158, ' ': -5.2162685, ' no': -5.743818}
{' No': -0.40288296, 'No': -1.2208074, '\n': -3.4975274, ' ': -5.463188, ' no': -6.8495874}
{' No': -0.3747404, 'No': -1.2662332, '\n': -4.2112837, ' ': -5.2302194, ' no': -5.257109}
{' No': -0.38504463, 'No': -1.2000567, '\n': -4.4802365, ' ': -5.4886584, ' no': -6.571111}
{' No': -0.13000514, 'No': -2.5849154, ' no': -3.6086419, '\n': -5.1791286, ' ': -5.210639}
{' No': -0.13171369, 'No': -2.616535, ' no': -4.5309033, '\n': -4.7709956, ' ': -4.8014817}
{' No': -0.18307228, 'No': -2.3051825, ' no': -3.4680994, '\n': -4.5676928, ' Ant': -4.6725597}
{' No': -0.1920738, 'No': -2.297182, '\n': -3.9649172, ' no': -4.052375, ' AN': -4.576784}
{' No': -0.02324601, 'No': -4.2182493, '\n': -5.425956, ' ': -6.0605483, ' Generally': -7.629915}
{' No': -0.3547158, ' Yes': -1.3225732, ' Generally': -4.840777, 'No': -5.0213933, '\n': -5.2088757}
{' No': -0.024470406, 'No': -4.4614625, '\n': -5.0101266, ' ': -6.116219, ' Ant': -6.4668455}
{' No': -0.023305248, 'No': -4.4034567, '\n': -5.753524, ' Generally': -5.786416, ' Ant': -6.450854}
{' No': -0.14057238, 'No': -2.3410747, '\n': -3.6661878, ' ': -5.026728, ' An': -6.8956923}
{' No': -0.09375964, 'No': -2.6856976, '\n': -4.6079826, ' ': -5.5323677, ' An': -6.038695}
{' No': -0.1364716, 'No': -2.6870334, '\n': -2.9925528, ' ': -4.8763933, ' Ant': -7.2684245}
{' No': -0.09855604, 'No': -2.7044463, '\n': -4.1066146, ' ': -5.370836, ' Generally': -5.8879824}
{' No': -0.119177245, 'No': -2.5511744, '\n': -3.783169, ' ': -4.8371696, ' An': -6.3208294}
{' No': -0.10350924, 'No': -2.7718003, '\n': -3.7948334, ' ': -4.9738646, ' An': -6.0587997}
{' No': -0.13398255, '\n': -2.8168838, 'No': -3.0003672, ' ': -4.630305, ' Ant': -5.4795556}
{' No': -0.067341454, 'No': -3.116877, '\n': -4.457955, ' ': -5.451651, ' Ant': -6.031855}
{' No': -0.034895364, 'No': -3.71369, ' ': -5.3932004, '\n': -5.4835205, ' An': -7.4067307}
{' No': -0.022981461, 'No': -4.278112, '\n': -5.7206125, ' ': -5.765811, ' Generally': -6.9989424}
{' No': -0.050872304, 'No': -3.6358845, '\n': -4.1387, ' ': -5.261131, ' Ant': -6.8464255}
{' No': -0.038004853, 'No': -3.7135932, '\n': -4.9543943, ' ': -5.69126, ' Generally': -6.8418956}
{' No': -0.09436524, 'No': -2.6236944, '\n': -4.680897, ' ': -5.034028, ' An': -6.902174}
{' No': -0.06643199, 'No': -2.9183645, '\n': -5.248763, ' ': -5.5251513, ' An': -7.714805}
{' No': -0.07300665, 'No': -2.9889116, '\n': -4.7395926, ' ': -4.806157, ' Ant': -6.135714}
{' No': -0.061192233, 'No': -2.9804883, ' ': -5.441096, '\n': -6.0424128, ' Ant': -6.944083}
{' No': -0.07956834, 'No': -3.071216, '\n': -4.544605, ' ': -4.6960387, ' An': -5.305989}
{' No': -0.0964854, 'No': -3.6405315, ' Yes': -3.8053284, '\n': -4.35301, ' ': -4.519989}
