{' No': -0.016526647, ' Yes': -4.539882, 'No': -5.366693, ' Not': -7.1851287, ' Unfortunately': -9.273784}
{' No': -0.10051262, ' Yes': -2.410966, 'No': -5.4650106, ' The': -7.5128126, ' Unfortunately': -7.605582}
{' No': -0.5702956, ' Yes': -0.84186, 'No': -6.344284, 'Yes': -6.886189, ' Not': -7.5148735}
{' Yes': -0.1500812, ' No': -1.9990172, 'Yes': -6.0214458, ' The': -7.3636317, 'No': -7.487781}
{' No': -0.50870913, ' Yes': -0.9309656, 'No': -6.4688435, 'Yes': -6.6562285, ' Unfortunately': -6.926475}
{' No': -0.031998258, ' Yes': -3.6998887, 'No': -5.747229, ' Unfortunately': -5.968613, ' The': -7.7856884}
{' No': -0.005680973, 'No': -5.2127366, ' Yes': -8.658325, ' ': -10.285359, ' Not': -13.065978}
{' No': -0.014100465, ' Yes': -4.9274244, 'No': -5.0450816, ' Not': -9.066192, ' The': -9.652204}
{' Yes': -0.010632113, ' No': -4.757443, 'Yes': -6.460839, ' The': -8.782051, ' Devil': -9.12571}
{' No': -0.14846502, ' Yes': -2.0019023, 'No': -6.4869447, ' Unfortunately': -7.359868, ' The': -8.237353}
{' No': -0.019309103, ' Yes': -4.1206923, 'No': -6.057975, ' Not': -7.9561377, ' The': -8.957393}
{' Yes': -0.01531608, ' No': -4.278583, 'Yes': -6.781553, ' The': -9.291935, 'No': -10.35216}
{' No': -0.24582462, ' Yes': -1.5476797, 'No': -5.513012, 'Yes': -7.0625434, ' The': -9.0954275}
{' No': -0.59173256, ' Yes': -0.813025, 'No': -6.6308575, 'Yes': -6.9576073, ' Not': -7.7852807}
{' No': -0.47814214, ' Yes': -0.9880891, 'No': -5.4672437, 'Yes': -6.476879, ' Unfortunately': -6.574011}
{' Yes': -0.37406054, ' No': -1.1783321, 'Yes': -6.276381, 'No': -6.3807893, ' Not': -8.215303}
{' No': -0.011138033, ' Yes': -5.141392, 'No': -5.293259, ' Not': -9.22151, ' The': -10.146356}
{' No': -0.06588, ' Yes': -2.8651257, 'No': -5.310652, ' Pound': -7.1698375, ' Not': -8.17814}
{' No': -0.011690282, 'No': -4.9340305, ' Yes': -5.9981685, ' Not': -6.899458, ' Unfortunately': -7.0705295}
{' No': -0.13403122, ' Yes': -2.1452637, 'No': -5.030996, ' Not': -6.841554, 'Yes': -7.328205}
{' Yes': -0.020898812, ' No': -4.0175834, 'Yes': -6.0422683, ' The': -9.152042, 'No': -9.768477}
{' Yes': -0.0035578911, 'Yes': -6.093254, ' No': -6.723082, ' The': -10.302917, ' yes': -10.569421}
{' No': -0.17684785, ' Yes': -1.9066471, 'No': -4.6853523, 'Yes': -6.435986, ' Not': -7.4136314}
{' No': -0.01962174, 'No': -3.9497457, ' Not': -9.990176, ' Nope': -10.016223, ' ': -10.078797}
{' Yes': -0.058579825, ' No': -2.9176896, 'Yes': -6.070777, ' The': -8.559819, 'No': -8.715002}
{' No': -0.33818975, ' Yes': -1.2714478, 'No': -5.497989, 'Yes': -6.492157, ' Not': -7.655149}
{' Yes': -0.111805364, ' No': -2.2726808, 'Yes': -6.484009, ' Armor': -7.5146713, 'No': -7.864685}
{' No': -0.27202907, ' Yes': -1.4619665, 'No': -5.708984, ' Not': -7.008544, ' The': -7.128463}
{' No': -0.0038968776, ' Yes': -6.2121167, 'No': -6.314717, ' Not': -10.472971, ' Unfortunately': -11.237685}
{' No': -0.079475604, ' Yes': -2.6386683, 'No': -5.5878277, ' Not': -7.877447, ' Unfortunately': -8.275305}
{' No': -0.029801982, 'No': -4.2670035, ' Yes': -4.544027, ' Still': -5.4814315, ' Not': -8.533288}
{' No': -0.2932589, ' Yes': -1.3896829, 'No': -6.011252, ' Unfortunately': -7.2563133, ' The': -7.270984}
{' No': -0.07561259, ' Yes': -2.7281737, 'No': -4.9885263, 'Yes': -8.022304, ' Unfortunately': -8.290111}
{' Yes': -0.043784067, ' No': -3.2046382, 'Yes': -6.194606, 'No': -8.642143, '\n': -10.981153}
{' Yes': -0.022109443, ' No': -4.185983, 'Yes': -5.219678, ' Purs': -7.1906304, ' Pur': -8.37539}
{' Yes': -0.30027986, ' No': -1.3580781, 'Yes': -6.6203423, 'No': -7.7837677, ' The': -8.503741}
{' No': -0.02568904, ' Yes': -3.8592725, 'No': -5.6201515, ' Not': -7.896979, ' The': -9.252323}
{' No': -0.06615965, ' Yes': -2.8618958, 'No': -5.1904955, ' Not': -7.200581, 'Yes': -8.456353}
{' No': -0.11328009, ' Yes': -2.308234, 'No': -5.2931294, ' The': -7.063935, ' Unfortunately': -7.122552}
{' No': -0.4501518, ' Yes': -1.0266783, 'No': -6.0813007, 'Yes': -6.8432255, ' The': -7.2493267}
{' No': -0.0062541454, 'No': -5.577425, ' Yes': -6.1421695, '\n': -9.239901, ' ': -9.78581}
{' No': -0.014918034, 'No': -4.576451, ' Unfortunately': -6.0922165, ' Yes': -6.278965, ' The': -8.95993}
{' Unt': -0.3618281, ' Un': -1.879925, 'Unt': -2.7593787, ' False': -2.7869399, ' ': -3.9040833}
{' No': -0.067018956, ' Yes': -2.7554612, 'No': -6.8606167, 'Yes': -9.362795, ' The': -9.969416}
{' Yes': -0.33838594, ' No': -1.2610029, 'Yes': -6.265455, 'No': -6.4990664, ' The': -8.606316}
{' Yes': -0.1376266, ' No': -2.0698624, 'Yes': -6.6081066, ' The': -7.6390514, 'No': -8.0665}
{' No': -0.0052611507, 'No': -5.6861444, ' Yes': -6.4935093, ' Not': -8.942209, ' Nope': -9.396804}
{' No': -0.19528005, ' Yes': -1.7530211, 'No': -5.8482165, 'Yes': -7.4459467, ' Not': -7.831556}
{' Yes': -0.001331932, 'Yes': -6.667233, ' yes': -10.863689, ' ': -11.138834, ' No': -11.318554}
{' Yes': -0.07400816, ' No': -2.6985807, 'Yes': -5.7682977, 'No': -7.8591504, '\n': -8.915756}
{' No': -0.33427018, ' Yes': -1.267532, 'No': -6.4941626, 'Yes': -7.50035, ' Not': -8.6902}
{' No': -0.0026555327, 'No': -6.4884095, ' Yes': -6.871926, ' Unfortunately': -10.201744, ' Not': -10.4642935}
{' Yes': -0.19895844, ' No': -1.7693473, 'Yes': -5.244937, '\n': -6.452424, 'No': -6.491803}
{' Yes': -0.16789843, ' No': -1.9086591, 'Yes': -5.2916813, 'No': -7.053112, ' The': -9.199503}
{' Yes': -0.040712826, ' No': -3.2675767, 'Yes': -6.5102158, ' The': -9.0349865, 'No': -9.053955}
{' Yes': -0.21330348, ' No': -1.660508, 'Yes': -6.816722, 'No': -7.693814, ' The': -8.086745}
{' Yes': -0.5660109, ' No': -0.87477624, 'No': -5.012166, 'Yes': -5.017644, ' Not': -7.1927104}
{' Yes': -0.095851555, ' No': -2.462879, 'Yes': -5.7768164, ' Unfortunately': -6.8612, ' Not': -6.9189444}
{' Yes': -0.5587309, ' No': -0.85524917, 'Yes': -6.487554, 'No': -6.751507, '\n': -9.5258255}
{' Yes': -0.15112814, ' No': -1.9796498, 'Yes': -6.3781614, 'No': -8.014951, '\n': -10.322871}
{' No': -0.22562309, ' Yes': -1.6099061, 'No': -6.6988873, 'Yes': -7.9299994, ' The': -7.952779}
{' No': -0.0049300296, 'No': -5.5433383, ' Yes': -7.061118, ' The': -10.450708, ' ': -10.45782}
{' No': -0.015798956, 'No': -4.161761, ' Yes': -10.425674, ' Not': -10.7908, ' ': -10.995785}
{' Yes': -0.17925067, ' No': -1.8361281, 'Yes': -6.174082, ' The': -6.37795, 'No': -7.5472426}
{' No': -0.022973167, 'No': -3.7892199, ' Not': -10.645947, ' Unfortunately': -10.7315, '\n': -10.821782}
{' Yes': -0.016239699, ' No': -4.2857614, 'Yes': -6.267159, ' The': -8.395025, ' Not': -10.045294}
{' Yes': -0.0025646968, 'Yes': -6.4168615, ' No': -7.1012273, ' The': -9.541836, ' yes': -11.212475}
{' Yes': -0.0028516974, 'Yes': -6.3276057, ' No': -6.8796444, ' yes': -11.533094, '\n': -11.837904}
{' Yes': -0.054860067, ' No': -2.9618306, 'Yes': -6.64369, ' The': -8.654211, 'No': -9.088142}
{' No': -0.5530175, ' Yes': -0.8611782, 'No': -6.830958, 'Yes': -7.523684, ' The': -8.657588}
{' Yes': -0.0074505326, ' No': -5.4309216, 'Yes': -5.822861, ' Not': -10.943586, ' Sweet': -11.149111}
{' Yes': -0.0029573229, 'Yes': -5.857224, ' No': -9.70152, ' yes': -10.878962, ' The': -12.180447}
{' Yes': -0.25451648, ' No': -1.5050563, 'Yes': -6.3585105, 'No': -7.6851993, ' Grass': -8.208859}
{' No': -0.009684778, 'No': -5.2517595, ' Yes': -5.4899225, ' Unfortunately': -8.691693, ' Not': -10.582309}
{' Yes': -0.349049, ' No': -1.2398932, 'Yes': -5.8284435, 'No': -6.299963, ' Not': -8.763649}
{' No': -0.016531555, ' Yes': -4.3771977, 'No': -5.6698384, ' Unfortunately': -9.073128, ' Not': -9.215328}
{' No': -0.035127033, ' Yes': -3.6305764, 'No': -5.4491205, ' Unfortunately': -5.887315, ' Not': -7.2392454}
{' No': -0.0060414854, ' Yes': -5.593367, 'No': -6.135451, ' Not': -9.89111, ' ': -10.458642}
{' No': -0.024259824, ' Yes': -4.3345833, 'No': -4.676001, ' Unfortunately': -7.2367096, ' Not': -7.989425}
{' No': -0.28583708, ' Yes': -1.4078139, 'No': -5.963791, 'Yes': -7.194881, ' Not': -7.759472}
{' No': -0.30917716, ' Yes': -1.333473, 'No': -6.488006, 'Yes': -7.4000564, ' The': -8.726705}
{' Yes': -0.3544958, ' No': -1.2209471, 'Yes': -6.3571043, 'No': -6.840114, ' The': -7.490485}
{' No': -0.07016694, ' Yes': -2.7215168, 'No': -6.3424864, 'Yes': -8.935264, ' The': -10.393575}
{' Yes': -0.030232785, ' No': -3.5902762, 'Yes': -6.210628, 'No': -9.589982, ' The': -9.720468}
{' No': -0.01255043, ' Yes': -4.623331, 'No': -6.1258984, ' Not': -8.854156, ' The': -8.983961}
{' No': -0.071926035, ' Yes': -2.7143533, 'No': -5.930954, 'Yes': -8.259058, ' The': -9.35336}
{' Yes': -0.32963943, ' No': -1.2779694, 'Yes': -6.567573, 'No': -7.334993, ' The': -9.755201}
{' Yes': -0.17856957, ' No': -1.8224618, 'Yes': -6.7785106, ' The': -7.689609, 'No': -8.424836}
{' Yes': -0.0020593298, 'Yes': -6.2842093, ' No': -8.866429, ' The': -10.873546, ' yes': -11.0470495}
{' Yes': -0.048509557, ' No': -3.1166437, 'Yes': -6.2691917, ' The': -7.0550823, 'No': -8.9108925}
{' Yes': -0.14419647, ' Rough': -2.3658397, ' No': -3.2528827, 'Yes': -6.6148057, ' ': -9.122505}
{' No': -0.026713364, 'No': -3.6844356, ' Yes': -7.2859964, ' Rough': -8.340022, '\n': -8.440593}
{' Yes': -0.36858124, ' No': -1.2027602, 'Yes': -5.29796, 'No': -6.0677137, ' Not': -8.092116}
{' No': -0.08932694, ' Yes': -2.50062, 'No': -5.8072257, 'Yes': -8.100433, ' The': -10.128362}
{' Yes': -0.017552909, ' No': -4.2221274, 'Yes': -5.9575343, ' yes': -9.93764, 'No': -10.011167}
{' No': -0.5676194, ' Yes': -0.84601605, 'No': -6.1611037, 'Yes': -6.5252094, ' The': -8.218491}
{' Yes': -0.66074604, ' No': -0.7376771, 'Yes': -6.390921, 'No': -6.5266194, ' The': -6.578972}
{' No': -0.18586901, ' Yes': -1.7974449, 'No': -5.9924507, 'Yes': -7.1368103, ' The': -8.077545}
{' Yes': -0.0038684534, 'Yes': -5.9400525, ' No': -6.84129, ' The': -9.565628, ' Store': -10.392977}
{' Yes': -0.021222046, ' No': -3.944083, 'Yes': -6.6517873, ' The': -8.338922, 'No': -10.2039995}
{' Yes': -0.010112181, ' No': -4.8132257, 'Yes': -6.407003, ' The': -8.843352, ' yes': -10.457263}
{' Yes': -0.06926871, ' No': -2.7415442, 'Yes': -6.2512884, 'No': -8.416917, ' The': -8.789952}
{' No': -0.06346422, ' Yes': -2.826209, 'No': -6.336097, ' Unfortunately': -8.780002, ' Not': -9.21598}
{' Yes': -0.335722, ' No': -1.2634373, 'Yes': -6.5517235, 'No': -7.290591, ' Not': -8.635845}
{' Yes': -0.06731959, ' No': -2.8070123, 'Yes': -5.717534, ' The': -6.7611003, 'No': -8.710558}
{' No': -0.016210502, ' Yes': -4.531854, 'No': -5.2947116, ' The': -9.324268, 'Yes': -9.4002695}
{' No': -0.18827808, ' Yes': -1.8814715, 'No': -4.2652264, 'Yes': -6.066673, ' ': -6.409997}
{' No': -0.043165453, ' Yes': -3.228554, 'No': -6.1781387, ' Not': -8.600191, 'Yes': -8.773685}
{' Yes': -0.0015276528, 'Yes': -6.6422195, ' No': -8.597254, ' yes': -10.75704, ' The': -11.668841}
{' Yes': -0.0095205465, ' No': -4.7686296, 'Yes': -7.0058827, ' yes': -10.235568, 'No': -11.1505995}
{' Yes': -0.26700053, ' No': -1.4612391, 'Yes': -6.4677644, 'No': -7.2916265, ' The': -9.664091}
{' Yes': -0.03240956, ' No': -3.5347152, 'Yes': -6.0493197, ' The': -8.819735, 'No': -9.000205}
{' Yes': -0.13408771, ' No': -2.1111443, 'Yes': -5.677243, 'No': -7.055798, ' The': -10.048989}
{' No': -0.22016832, ' Yes': -1.6551449, 'No': -5.2186003, 'Yes': -7.1691065, ' Not': -9.091222}
{' Yes': -0.10633534, ' No': -2.323687, 'Yes': -6.1229935, 'No': -7.431896, ' The': -9.866583}
{' Yes': -0.03434027, ' No': -3.5211718, 'Yes': -5.6086063, 'No': -8.266251, ' The': -9.169735}
{' Yes': -0.3037624, ' No': -1.3509674, 'Yes': -6.698194, 'No': -7.1374125, ' The': -7.2965426}
{' Yes': -0.40955907, ' No': -1.0990522, 'No': -6.7305927, 'Yes': -6.738221, ' The': -8.152026}
{' Yes': -0.32176128, ' No': -1.3018639, 'Yes': -6.399445, 'No': -6.913054, ' The': -8.5495405}
{' No': -0.45005268, ' Yes': -1.018601, 'No': -7.3678207, 'Yes': -8.187798, ' The': -8.785532}
{' Yes': -0.0042638094, 'Yes': -5.550496, ' No': -8.367566, ' The': -9.601529, ' yes': -10.483859}
{' Yes': -0.0077552716, 'Yes': -5.4646664, ' No': -5.9790516, ' Heart': -7.43321, ' The': -8.478354}
{' Yes': -0.0021090235, 'Yes': -6.6105704, ' No': -7.3553305, ' The': -9.329089, ' yes': -11.44613}
{' Yes': -0.0021320216, 'Yes': -6.739681, ' No': -6.993598, ' The': -11.611333, ' yes': -12.174204}
{' No': -0.011433893, 'No': -4.5100565, ' Unfortunately': -9.052342, ' Yes': -9.424785, ' Not': -9.536717}
{' No': -0.0108821485, 'No': -4.771548, ' Yes': -6.3939824, ' Not': -7.629168, ' The': -9.971175}
{' No': -0.026261859, 'No': -3.9359736, ' Yes': -5.09365, 'Yes': -9.27144, ' Not': -9.746749}
{' No': -0.03162226, 'No': -3.4725938, ' Not': -10.451538, ' Yes': -10.464663, ' ': -10.925613}
{' No': -0.33886144, ' Yes': -1.2699661, 'No': -5.613994, 'Yes': -6.421285, ' The': -6.949436}
{' No': -0.045386937, ' Yes': -3.442018, 'No': -4.4649234, 'Yes': -7.66925, ' The': -8.724354}
{' No': -0.015071413, 'No': -4.258737, ' Yes': -7.7456408, ' Nope': -9.092603, ' Unfortunately': -9.144086}
{' No': -0.047952946, ' Yes': -3.1726935, 'No': -5.4154935, 'Yes': -8.795692, ' Unfortunately': -9.169924}
{' No': -0.023405796, 'No': -4.2878556, ' Yes': -4.690171, 'Yes': -9.271374, ' ': -10.310225}
{' No': -0.021942552, 'No': -3.928135, ' Yes': -6.26079, ' ': -10.123585, 'Yes': -10.414814}
{' No': -0.014912044, 'No': -4.250273, ' Yes': -7.8726993, ' Unfortunately': -9.677464, ' The': -10.530148}
{' No': -0.013245087, 'No': -4.7221317, ' Yes': -5.574911, ' Unfortunately': -8.797468, ' The': -9.210264}
{' No': -0.13399053, ' Yes': -2.1385317, 'No': -5.146108, 'Yes': -6.844199, ' The': -8.087279}
{' No': -0.022331765, ' Yes': -4.2371693, 'No': -4.909212, 'Yes': -8.947535, ' The': -10.132395}
{' No': -0.04889211, ' Yes': -3.3194058, 'No': -4.5103865, 'Yes': -8.0488825, ' Not': -9.624402}
{' No': -0.019341191, ' Yes': -4.405995, 'No': -5.0210423, ' The': -8.901682, ' ': -9.656552}
{' No': -0.53170717, ' Yes': -1.2585367, ' Uncle': -2.1776803, 'No': -4.9181986, 'Yes': -6.1877565}
{' No': -0.012358149, 'No': -4.790442, ' Yes': -5.6336884, ' ': -8.7914715, '\n': -9.919989}
{' No': -0.019037332, 'No': -4.0032635, ' Yes': -7.7043724, ' The': -9.8857765, ' Unfortunately': -10.257303}
{' No': -0.041119978, 'No': -3.2174046, ' Yes': -8.820891, ' Not': -10.425509, ' ': -10.773063}
{' No': -0.05337719, ' Yes': -3.305206, 'No': -4.216387, 'Yes': -7.80426, ' Not': -9.932261}
{' Yes': -0.13328403, ' No': -2.1543067, 'Yes': -4.9704876, 'No': -6.7483673, ' The': -7.8408165}
{' No': -0.011512155, 'No': -4.529315, ' Yes': -7.480008, ' Unfortunately': -10.018014, ' ': -11.020999}
{' No': -0.009103261, ' Yes': -5.367292, 'No': -5.46145, ' The': -9.751466, ' ': -10.534358}
{' No': -0.045437083, ' Yes': -3.539055, 'No': -4.246788, 'Yes': -7.587868, ' The': -8.472565}
{' No': -0.11925567, ' Yes': -2.2851434, 'No': -4.737984, 'Yes': -7.049685, ' The': -7.440035}
{' No': -0.04400485, ' Yes': -3.5822601, 'No': -4.2205873, 'Yes': -8.1985855, ' Not': -8.767958}
{' No': -0.33224076, ' Yes': -1.3198602, 'No': -4.4266257, 'Yes': -5.858659, ' Not': -8.454377}
{' No': -0.037668347, 'No': -3.7363586, ' Yes': -4.399889, ' ': -7.9841456, 'Yes': -8.034402}
{' No': -0.11672219, ' Yes': -2.410889, 'No': -4.019821, 'Yes': -6.1288676, ' The': -9.169649}
{' No': -0.045452803, ' Yes': -3.1942353, 'No': -5.778597, 'Yes': -8.642771, ' The': -9.513758}
{' No': -0.023129374, ' Yes': -3.993985, 'No': -5.478141, 'Yes': -9.230738, ' ': -10.112529}
{' Yes': -0.02811213, ' No': -3.7498813, 'Yes': -5.540735, 'No': -8.755073, ' The': -9.987141}
{' Yes': -0.005372967, 'Yes': -5.3629146, ' No': -7.4818134, ' yes': -9.610793, ' ': -11.32291}
{' No': -0.0386945, ' Yes': -3.3578951, 'No': -5.870716, 'Yes': -9.21777, ' Not': -9.284945}
{' No': -0.014019342, 'No': -4.2819786, ' ': -9.829039, '\n': -10.889801, ' Not': -11.469731}
{' Yes': -0.28447962, ' No': -1.4276108, 'Yes': -5.382361, 'No': -5.89481, ' The': -9.01206}
