{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' No': -2.9010382, ' ': -8.064393, 'No': -9.607011, ' Yes': -0.05780503, 'Yes': -7.2031636}
{' No': -0.1867935, ' ': -6.193463, 'No': -4.967004, ' Yes': -1.8323946, 'Yes': -6.897328}
{' No': -1.3907336, ' ': -7.404583, 'No': -7.0535045, ' Yes': -0.29064924, 'Yes': -6.5126934}
{' No': -0.0047620274, ' ': -11.048869, 'No': -5.3533564, ' no': -13.981197, ' NO': -14.529152}
{' No': -0.018586121, ' ': -9.965984, 'No': -3.997552, ' no': -13.066183, ' NO': -13.209706}
{' No': -0.02608014, ' ': -9.628689, 'No': -3.6625834, ' no': -12.759214, ' NO': -12.8237705}
{' No': -0.0071218703, ' ': -10.242801, 'No': -4.953914, ' no': -13.120853, ' NO': -13.675553}
{' No': -0.03597712, '\n': -11.451489, ' ': -8.763531, 'No': -3.3483453, ' no': -12.067561}
{' No': -0.02286821, '\n': -11.603487, ' x': -11.493175, ' ': -8.786622, 'No': -3.7988634}
{' No': -0.000648005, '\n': -14.281754, ' ': -10.895667, 'No': -7.3755293, ' no': -13.4927}
{' No': -0.0043694675, '\n': -13.184015, ' ': -9.977657, 'No': -5.4473376, ' no': -13.296545}
{' No': -0.004164803, '\n': -11.307712, ' ': -9.406377, 'No': -5.5072846, ' no': -13.397591}
{' No': -0.0014415766, '\n': -13.449691, ' ': -10.577401, 'No': -6.5627604, ' no': -13.946859}
{' No': -0.005214654, '\n': -10.856627, ' ': -9.059065, 'No': -5.286636, ' no': -12.855056}
{' No': -0.0055519813, '\n': -10.213433, ' ': -8.714915, 'No': -5.2359867, ' no': -11.60454}
{' No': -0.011655064, ' ': -9.711064, 'No': -4.466861, ' no': -10.437279, ' NO': -12.487697}
{' No': -0.026114278, ' ': -11.438339, 'No': -3.6589952, 'no': -13.38942, ' no': -12.715797}
{' No': -0.057225287, '\n': -10.465766, ' ': -8.403102, 'No': -2.8953962, ' no': -10.200033}
{' No': -0.013720483, ' ': -9.536235, 'No': -4.3034678, ' no': -10.88407, ' NO': -12.262339}
{' No': -0.076338835, '\n': -10.058702, ' ': -8.574061, 'No': -2.6146936, ' no': -10.580543}
{' No': -0.06561278, ' x': -9.45994, ' ': -8.268025, 'No': -2.7670038, ' no': -8.947759}
{' No': -0.00097365293, '\n': -12.674569, ' ': -9.401338, 'No': -7.045239, ' no': -11.202099}
{' No': -0.006957222, '\n': -12.567536, ' ': -9.275241, 'No': -4.987849, ' no': -11.356618}
{' No': -0.007822071, '\n': -10.588385, ' ': -9.071014, 'No': -4.874197, ' no': -11.974483}
{' No': -0.0028337035, '\n': -11.856854, ' ': -9.1125345, 'No': -5.9195127, ' no': -10.717219}
{' No': -0.0077252975, '\n': -9.7347355, ' ': -8.694508, 'No': -4.89943, ' no': -11.280222}
{' No': -0.007087415, '\n': -8.869157, ' ': -7.8945746, 'No': -5.057874, ' no': -8.643382}
{' No': -0.0006619627, '\n': -13.520015, ' ': -10.515622, 'No': -7.367218, ' no': -14.044619}
{' No': -0.006401643, '\n': -11.9663515, ' ': -9.352856, 'No': -5.0698953, ' no': -13.115113}
{' No': -0.0076649925, '\n': -9.6283045, ' ': -8.5472555, 'No': -4.9104204, ' no': -13.0023}
{' No': -0.0013760993, '\n': -12.628096, ' ': -9.5846, 'No': -6.64506, ' no': -13.680868}
{' No': -0.0070341714, '\n': -10.295557, ' ': -8.568631, 'No': -4.9938426, ' no': -12.884389}
{' No': -0.002881046, '\n': -11.6544695, ' ': -9.702771, 'No': -5.8784246, ' no': -12.042796}
{' No': -0.028538592, ' ': -10.756047, 'No': -5.4351163, ' Yes': -3.7434855, 'Yes': -9.458338}
{' No': -0.13320382, ' ': -10.010464, 'No': -4.1085725, ' Yes': -2.2332287, 'Yes': -6.8728595}
{' No': -0.15987623, ' ': -9.157357, 'No': -3.6425648, ' Yes': -2.1234171, 'Yes': -6.311064}
{' No': -0.022054175, ' ': -10.749394, 'No': -5.0434756, ' Yes': -4.1825843, 'Yes': -9.480859}
{' No': -4.7101316, 'No': -7.886416, ' Yes': -0.022015546, ' yes': -9.356267, 'Yes': -4.40368}
{' No': -4.059002, 'No': -7.832613, ' Yes': -0.024752026, ' yes': -7.996187, 'Yes': -5.067957}
{' No': -3.7157683, ' ': -10.680476, ' Yes': -0.025470672, ' yes': -9.152014, 'Yes': -7.3288746}
{' No': -4.207245, 'No': -8.948561, ' Yes': -0.019462556, ' yes': -9.347858, 'Yes': -5.490303}
{' No': -4.7931633, ' ': -9.4495945, ' Yes': -0.012682261, ' yes': -9.309235, 'Yes': -5.504738}
{' No': -4.048537, 'No': -10.211821, ' Yes': -0.019085206, ' yes': -9.707731, 'Yes': -6.629852}
{' No': -5.658431, ' ': -8.460124, ' Yes': -0.009481133, ' yes': -9.046983, 'Yes': -5.196985}
{' No': -7.254851, ' ': -9.546988, ' Yes': -0.005802788, ' yes': -7.7373013, 'Yes': -5.399163}
{' No': -0.38234922, 'No': -4.1642284, ' Yes': -1.2080365, ' yes': -8.103128, 'Yes': -5.8228927}
{' No': -1.8100227, 'No': -5.7275085, ' Yes': -0.1935335, ' yes': -8.821899, 'Yes': -4.7248025}
{' No': -3.0607471, 'No': -6.190126, ' Yes': -0.071819335, ' yes': -7.3179755, 'Yes': -3.935293}
{' No': -1.6545247, 'No': -6.0901136, ' Yes': -0.22150886, ' yes': -8.127749, 'Yes': -5.3278317}
{' No': -8.890458, ' ': -9.99624, ' Yes': -0.024461124, ' yes': -7.6404867, 'Yes': -3.7534935}
{' No': -7.284084, ' Yes': -0.024027245, ' yes': -5.863313, 'Yes': -3.9145472, 'yes': -9.241239}
{' No': -1.3323654, 'No': -8.205332, ' Yes': -0.30892035, ' yes': -7.2492223, 'Yes': -7.260578}
{' No': -3.0433424, 'No': -7.6208625, ' Yes': -0.055545807, ' yes': -7.7561984, 'Yes': -5.2366004}
{' No': -6.2488246, ' ': -9.22173, ' Yes': -0.008303953, ' yes': -8.29215, 'Yes': -5.125493}
{' No': -3.4987953, ' ': -8.790073, ' Yes': -0.034897894, ' yes': -7.157704, 'Yes': -5.8234315}
{' No': -6.9508924, ' ': -8.265307, ' Yes': -0.007320112, ' yes': -7.9759493, 'Yes': -5.171991}
{' No': -5.459521, ' ': -7.9033456, ' Yes': -0.017020034, ' yes': -5.191132, 'Yes': -5.0448637}
{' No': -3.650408, ' ': -9.763252, ' Yes': -0.027092252, ' yes': -9.522959, 'Yes': -7.4400406}
{' No': -2.8447795, ' ': -8.673083, 'No': -7.8482027, ' Yes': -0.06456137, 'Yes': -5.597671}
{' No': -5.406978, ' ': -8.733787, ' Yes': -0.009868236, ' yes': -9.364364, 'Yes': -5.2980742}
{' No': -3.7499354, ' ': -9.182625, ' Yes': -0.025211835, ' yes': -9.601885, 'Yes': -6.762939}
{' No': -6.4471803, ' ': -8.197577, ' Yes': -0.009261466, ' yes': -9.405898, 'Yes': -4.932855}
{' No': -6.3453894, ' ': -9.1348505, ' Yes': -0.0043865293, ' yes': -8.6120405, 'Yes': -6.0743914}
{' YES': -12.784383, ' ': -12.578446, ' Yes': -0.0031967177, ' yes': -10.2280245, 'Yes': -5.761235}
{' YES': -11.962392, ' ': -11.885516, ' Yes': -0.008416949, ' yes': -9.511725, 'Yes': -4.7931004}
{' YES': -11.881201, ' ': -11.635819, ' Yes': -0.01268051, ' yes': -9.478149, 'Yes': -4.3819065}
{' YES': -12.435669, ' ': -12.438712, ' Yes': -0.003938763, ' yes': -10.051336, 'Yes': -5.552488}
{' ': -11.30768, ' Yes': -0.013528822, ' yes': -9.702505, 'Yes': -4.316231, 'yes': -11.669992}
{' YES': -11.735589, ' ': -10.617068, ' Yes': -0.008347105, ' yes': -8.616316, 'Yes': -4.8171577}
{' YES': -12.662352, ' ': -12.022176, ' Yes': -0.0006882656, ' yes': -9.773754, 'Yes': -7.3859215}
{' YES': -12.33444, ' ': -11.362098, ' Yes': -0.004990171, ' yes': -9.553999, 'Yes': -5.3217416}
{'\n': -11.2852745, ' ': -10.440119, ' Yes': -0.0041703717, ' yes': -9.435965, 'Yes': -5.513745}
{' YES': -12.758015, ' ': -12.308216, ' Yes': -0.0011330236, ' yes': -10.155304, 'Yes': -6.8268914}
{'\n': -10.92782, ' ': -9.470878, ' Yes': -0.0065007475, ' yes': -9.499199, 'Yes': -5.0675206}
{'\n': -10.400429, ' ': -9.933136, ' Yes': -0.0058905, ' yes': -7.967109, 'Yes': -5.217089}
{' YES': -11.406049, ' Yes': -0.009083531, ' yes': -7.5453897, 'Yes': -4.7716317, 'yes': -10.7036}
{' YES': -12.930087, ' Yes': -0.014447209, ' yes': -9.186192, 'Yes': -4.252585, 'yes': -11.655333}
{' ': -10.677613, ' Yes': -0.032321032, ' yes': -7.5208592, 'Yes': -3.4683692, 'yes': -9.979533}
{' YES': -11.541057, ' Yes': -0.009293112, ' yes': -7.8849354, 'Yes': -4.729079, 'yes': -10.881458}
{' ': -10.557326, ' Yes': -0.03149431, ' yes': -8.201053, 'Yes': -3.4851213, 'yes': -10.178972}
{' ': -10.169295, ' Yes': -0.029835204, ' yes': -6.215925, 'Yes': -3.603945, 'yes': -9.177814}
{' YES': -11.933266, ' ': -10.883871, ' Yes': -0.0019861637, ' yes': -7.2661877, 'Yes': -6.6834106}
{' ': -10.501945, ' Yes': -0.007535327, ' yes': -7.616401, 'Yes': -4.968055, 'yes': -10.979783}
{'\n': -11.581595, ' ': -10.1914015, ' Yes': -0.005261271, ' yes': -8.574094, 'Yes': -5.2985826}
{' ': -10.882798, ' Yes': -0.004184737, ' yes': -7.431672, 'Yes': -5.644855, 'yes': -10.8710575}
{'\n': -10.384823, ' ': -8.931219, ' Yes': -0.0075694984, ' yes': -8.177331, 'Yes': -4.951627}
{'\n': -9.113432, ' ': -8.768106, ' Yes': -0.015130834, ' yes': -5.3316708, 'Yes': -4.6258616}
{' YES': -12.393576, ' ': -11.08022, ' Yes': -0.00076234766, ' yes': -10.081773, 'Yes': -7.269567}
{'\n': -11.762345, ' ': -10.399106, ' Yes': -0.0053232894, ' yes': -9.586162, 'Yes': -5.260729}
{'\n': -10.017278, ' ': -9.833526, ' Yes': -0.004420711, ' yes': -9.67443, 'Yes': -5.4628935}
{' YES': -12.478898, ' ': -11.014193, ' Yes': -0.0011539687, ' yes': -9.946059, 'Yes': -6.829431}
{'\n': -10.648963, ' ': -9.219275, ' Yes': -0.0071218703, ' yes': -10.004323, 'Yes': -4.9732013}
{'\n': -11.929048, ' ': -10.523745, ' Yes': -0.0022547792, ' yes': -9.506964, 'Yes': -6.146829}
{' No': -4.9941196, 'No': -10.244093, ' Yes': -0.008905386, ' yes': -10.069386, 'Yes': -6.224967}
{' No': -6.344308, ' ': -9.871482, ' Yes': -0.008912245, ' yes': -9.38058, 'Yes': -4.9718485}
{' No': -6.8849225, ' ': -9.985012, ' Yes': -0.010141925, ' yes': -9.628134, 'Yes': -4.7192993}
{' No': -5.4851723, ' ': -10.251958, ' Yes': -0.0070685064, ' yes': -9.774992, 'Yes': -5.8910446}
{' No': -4.4470825, ' ': -8.762684, 'No': -7.9214635, ' Yes': -0.021362757, 'Yes': -4.7320466}
{' No': -4.748515, ' ': -8.482796, 'No': -8.243722, ' Yes': -0.016642759, 'Yes': -4.9395857}
{' No': -9.073889, ' ': -11.246596, ' Yes': -0.00047088155, ' yes': -9.7325, 'Yes': -8.175977}
{' No': -7.117963, ' ': -10.113881, ' Yes': -0.003630812, ' yes': -9.536069, 'Yes': -5.9178567}
{' No': -5.756012, ' ': -8.996278, ' Yes': -0.0067193885, ' yes': -9.5482645, 'Yes': -5.7121005}
{' No': -8.631992, ' ': -11.121582, ' Yes': -0.0009124398, ' yes': -10.036301, 'Yes': -7.304711}
{' No': -6.4756174, ' ': -7.9135146, ' Yes': -0.00610679, ' yes': -9.461377, 'Yes': -5.5144033}
{' No': -9.1452675, ' ': -9.250931, ' Yes': -0.0027374122, ' yes': -8.11116, 'Yes': -6.1188126}
{' No': -6.0700936, 'No': -9.62829, ' Yes': -0.012533347, ' yes': -6.832924, 'Yes': -4.720463}
{' No': -7.747923, 'No': -11.5529995, ' Yes': -0.00872451, ' yes': -8.866474, 'Yes': -4.816784}
{' No': -9.491375, ' ': -9.681915, ' Yes': -0.017094122, ' yes': -7.369896, 'Yes': -4.12645}
{' No': -6.3311124, ' ': -10.133793, ' Yes': -0.0072049582, ' yes': -8.093247, 'Yes': -5.29548}
{' No': -8.712434, ' ': -9.311278, ' Yes': -0.022063863, ' yes': -7.3726053, 'Yes': -3.8692222}
{' No': -9.014347, ' ': -9.475851, ' Yes': -0.019836701, ' yes': -6.0979652, 'Yes': -4.0684776}
{' No': -9.179245, ' ': -10.260969, ' Yes': -0.0011144064, ' yes': -7.4706306, 'Yes': -7.822574}
{' No': -7.351656, ' ': -9.418306, ' Yes': -0.004551177, ' yes': -7.984295, 'Yes': -5.666041}
{' No': -7.4276824, ' ': -8.856972, ' Yes': -0.0049306294, ' yes': -8.376862, 'Yes': -5.538706}
{' No': -6.9796724, ' ': -9.273458, ' Yes': -0.0032764315, ' yes': -7.2098246, 'Yes': -6.5103083}
{' No': -6.608174, ' ': -7.7095213, ' Yes': -0.0057840836, ' yes': -8.236494, 'Yes': -5.617379}
{' No': -7.7847714, ' ': -7.8792353, ' Yes': -0.009110599, ' yes': -5.437779, 'Yes': -5.569665}
{' No': -7.015822, ' ': -9.889648, ' Yes': -0.0013282921, ' yes': -9.84803, 'Yes': -8.045788}
{' No': -6.0029974, ' ': -8.817189, ' Yes': -0.005081108, ' yes': -9.702706, 'Yes': -6.0475473}
{' No': -3.9090478, ' ': -7.56517, 'No': -9.135548, ' Yes': -0.024427472, 'Yes': -5.7200356}
{' No': -5.2373877, ' ': -8.975216, ' Yes': -0.005986016, ' yes': -10.083373, 'Yes': -7.654215}
{' No': -4.519986, '\n': -8.939658, ' ': -7.02711, ' Yes': -0.017371612, 'Yes': -5.2715063}
{' No': -6.3878975, ' ': -8.887516, ' Yes': -0.003115161, ' yes': -9.097651, 'Yes': -6.76536}
{' No': -0.00434181, ' ': -11.103733, 'No': -5.445559, ' no': -14.184969, ' NO': -14.362535}
{' No': -0.01889136, ' ': -10.24805, 'No': -3.9806678, ' no': -13.218965, ' NO': -13.127044}
{' No': -0.02302678, ' ': -9.851031, 'No': -3.785148, ' no': -13.508373, ' NO': -13.236742}
{' No': -0.005480119, ' ': -10.820293, 'No': -5.213686, ' no': -13.505583, ' NO': -13.786441}
{' No': -0.028775843, '\n': -12.400627, ' ': -8.909849, 'No': -3.5680134, ' no': -12.2284975}
{' No': -0.02130199, ' ': -9.159729, 'No': -3.8654525, ' no': -11.824181, ' NO': -12.977084}
{' No': -0.00044404552, ' ': -11.292866, 'No': -7.752518, ' no': -14.012853, ' NO': -14.393156}
{' No': -0.0048419824, '\n': -13.549399, ' ': -10.074043, 'No': -5.3426237, ' no': -13.566521}
{' No': -0.003626207, '\n': -12.084405, ' ': -9.742872, 'No': -5.64043, ' NO': -13.528278}
{' No': -0.0014244454, '\n': -13.483455, ' ': -11.035623, 'No': -6.568179, ' no': -14.086728}
{' No': -0.005610182, '\n': -10.498835, ' ': -8.869101, 'No': -5.217716, ' no': -12.993864}
{' No': -0.004674352, '\n': -10.797624, ' ': -9.252353, 'No': -5.3954763, ' no': -12.008601}
{' No': -0.015953923, ' ': -9.908453, 'No': -4.1517076, ' no': -10.463625, ' NO': -12.372757}
{' No': -0.020155339, ' ': -11.391341, 'No': -3.9152987, 'no': -13.284512, ' no': -12.454273}
{' No': -0.066362366, '\n': -10.964102, ' ': -8.576942, 'No': -2.7498093, ' no': -10.437102}
{' No': -0.010153243, ' ': -10.205046, 'No': -4.601298, ' no': -10.981301, ' NO': -12.603338}
{' No': -0.08390148, '\n': -10.199583, ' ': -8.331971, 'No': -2.5243578, ' no': -10.196954}
{' No': -0.06319039, '\n': -9.6805315, ' ': -8.230174, 'No': -2.8056257, ' no': -8.181204}
{' No': -0.00064371066, '\n': -13.263853, ' ': -9.784426, 'No': -7.4643083, ' no': -11.475264}
{' No': -0.005118493, '\n': -13.123927, ' ': -9.521514, 'No': -5.294532, ' no': -11.769674}
{' No': -0.0066604028, '\n': -11.315645, ' ': -9.284732, 'No': -5.032007, ' no': -12.385794}
{' No': -0.0026431624, '\n': -12.224008, ' ': -9.411817, 'No': -5.9811015, ' no': -10.685412}
{' No': -0.005520334, '\n': -10.2487135, ' ': -8.64912, 'No': -5.244305, ' no': -11.3326645}
{' No': -0.0066319606, '\n': -9.515933, ' ': -8.051348, 'No': -5.1140385, ' no': -8.5515995}
{' No': -0.00057273736, '\n': -13.028368, ' ': -10.310463, 'No': -7.5322537, ' NO': -14.177235}
{' No': -0.0039033992, '\n': -12.7185335, ' ': -9.67597, 'No': -5.565862, ' NO': -13.259676}
{' No': -0.006133894, '\n': -10.274625, ' ': -8.938213, 'No': -5.12532, ' NO': -13.319798}
{' No': -0.0011653648, '\n': -12.57078, ' ': -9.645338, 'No': -6.818498, ' NO': -13.442065}
{' No': -0.006619541, '\n': -10.333051, ' ': -8.7415085, 'No': -5.051345, ' no': -13.255673}
{' No': -0.002122465, '\n': -11.87462, ' ': -9.811204, 'No': -6.1878366, ' no': -12.857198}
{' No': -0.009702953, ' ': -10.831188, 'No': -6.048241, ' Yes': -4.9261703, 'Yes': -10.937115}
{' No': -0.040701468, ' ': -9.5892725, 'No': -4.231089, ' Yes': -3.6876168, 'Yes': -8.341005}
{' No': -0.04942303, ' ': -9.112301, 'No': -3.898937, ' Yes': -3.5951633, 'Yes': -7.8713074}
{' No': -0.015038193, ' ': -10.526712, 'No': -5.26578, ' Yes': -4.6374383, 'Yes': -9.960335}
{' No': -2.8559802, ' ': -8.996002, 'No': -6.3410835, ' Yes': -0.07205049, 'Yes': -4.602568}
{' No': -5.7194643, ' ': -9.298215, ' Yes': -0.009631875, ' yes': -8.194493, 'Yes': -5.142488}
{' No': -2.5984602, ' ': -9.71532, ' Yes': -0.077939175, ' yes': -9.334365, 'Yes': -7.8232393}
{' No': -3.3756707, 'No': -8.614282, ' Yes': -0.038377456, ' yes': -9.206377, 'Yes': -5.7823844}
{' No': -2.3228743, ' ': -8.303968, 'No': -7.7620564, ' Yes': -0.10778286, 'Yes': -5.6959004}
{' No': -0.56435347, ' ': -9.039203, 'No': -7.2100596, ' Yes': -0.84451056, 'Yes': -7.418788}
{' No': -4.083759, ' ': -7.7245593, ' Yes': -0.022142291, ' yes': -9.031073, 'Yes': -5.4505954}
{' No': -5.8106794, ' ': -8.862767, ' Yes': -0.00709678, ' yes': -7.6056433, 'Yes': -5.703187}
{' No': -0.15493503, ' ': -8.813246, 'No': -4.2599344, ' Yes': -2.0564053, 'Yes': -6.7466903}
{' No': -0.3695974, 'No': -4.6500325, ' Yes': -1.2160807, ' yes': -9.798031, 'Yes': -5.8264413}
{' No': -2.9425237, 'No': -6.241706, ' Yes': -0.07675348, ' yes': -7.626031, 'Yes': -3.9905105}
{' No': -1.5096415, 'No': -6.534048, ' Yes': -0.2563628, ' yes': -8.480167, 'Yes': -5.690786}
{' No': -7.331888, ' ': -9.599155, ' Yes': -0.024340255, ' yes': -7.798161, 'Yes': -3.7799304}
{' No': -5.0963464, 'No': -7.7138634, ' Yes': -0.03114782, ' yes': -6.2102833, 'Yes': -3.825108}
{' No': -1.9258536, ' ': -8.096042, ' Yes': -0.15961845, ' yes': -7.243551, 'Yes': -7.3798594}
{' No': -1.4104953, 'No': -6.5894136, ' Yes': -0.28686094, ' yes': -7.7382045, 'Yes': -5.778844}
{' No': -3.6560953, ' ': -7.9897914, ' Yes': -0.03238875, ' yes': -8.325751, 'Yes': -5.255571}
{' No': -0.18662578, ' ': -7.571051, 'No': -5.77872, ' Yes': -1.7970345, 'Yes': -7.361808}
{' No': -4.2162385, ' ': -7.0895066, ' Yes': -0.02069336, ' yes': -8.143848, 'Yes': -5.4338436}
{' No': -1.0107498, 'No': -5.7250595, ' Yes': -0.47340575, ' yes': -5.6809134, 'Yes': -5.550735}
{' No': -1.5859752, ' ': -8.409144, 'No': -9.165584, ' Yes': -0.23014033, 'Yes': -7.7975454}
{' No': -1.6832887, ' ': -7.990602, 'No': -7.2514586, ' Yes': -0.20984855, 'Yes': -6.0426097}
{' No': -3.5223217, ' ': -7.7805324, 'No': -8.5715885, ' Yes': -0.035925034, 'Yes': -5.328787}
{' No': -0.9725413, ' ': -7.999354, 'No': -8.013576, ' Yes': -0.47713986, 'Yes': -7.446473}
{' No': -4.3169856, '\n': -9.060655, ' ': -7.3873014, ' Yes': -0.019897014, 'Yes': -5.2174067}
{' No': -3.2217116, ' ': -8.017114, ' Yes': -0.043035142, ' yes': -8.608409, 'Yes': -6.4634485}
{' YES': -12.680924, ' ': -12.487358, ' Yes': -0.0025804718, ' yes': -10.569001, 'Yes': -5.974277}
{' YES': -11.760521, ' ': -11.731835, ' Yes': -0.007916373, ' yes': -9.787935, 'Yes': -4.8525114}
{' YES': -11.829583, ' ': -11.751359, ' Yes': -0.010547056, ' yes': -9.774871, 'Yes': -4.564494}
{' YES': -12.310643, ' ': -12.39516, ' Yes': -0.0041273986, ' yes': -10.385802, 'Yes': -5.502252}
{' ': -11.387512, ' Yes': -0.011665192, ' yes': -9.85316, 'Yes': -4.4635386, 'yes': -12.026036}
{' YES': -11.828195, ' ': -10.765401, ' Yes': -0.0068145622, ' yes': -9.020499, 'Yes': -5.015157}
{' YES': -12.300914, ' ': -11.829312, ' Yes': -0.0005968926, ' yes': -10.070021, 'Yes': -7.5225477}
{' YES': -11.881339, ' ': -11.108959, ' Yes': -0.0043789865, ' yes': -9.536342, 'Yes': -5.456432}
{'\n': -11.1294985, ' ': -10.461706, ' Yes': -0.0034824652, ' yes': -9.581246, 'Yes': -5.697559}
{' YES': -12.385656, ' ': -12.25765, ' Yes': -0.0011981284, ' yes': -10.324444, 'Yes': -6.7649384}
{'\n': -10.950473, ' ': -9.443675, ' Yes': -0.004617284, ' yes': -9.725408, 'Yes': -5.417434}
{'\n': -10.17708, ' ': -9.847067, ' Yes': -0.004978431, ' yes': -7.999218, 'Yes': -5.401207}
{' YES': -11.063516, ' Yes': -0.010179077, ' yes': -7.417403, 'Yes': -4.6594806, 'yes': -10.635022}
{' YES': -13.037609, ' Yes': -0.014859109, ' yes': -9.525533, 'Yes': -4.2223253, 'yes': -11.775662}
{' ': -10.334112, ' Yes': -0.026853805, ' yes': -7.831051, 'Yes': -3.649523, 'yes': -10.238256}
{' YES': -11.587666, ' Yes': -0.0072672158, ' yes': -8.47484, 'Yes': -4.9614754, 'yes': -11.446116}
{' ': -10.117598, ' Yes': -0.028238975, ' yes': -8.258674, 'Yes': -3.5940728, 'yes': -10.165635}
{' ': -9.992556, ' Yes': -0.02425726, ' yes': -6.609128, 'Yes': -3.795808, 'yes': -9.574906}
{' YES': -11.511172, ' ': -10.541008, ' Yes': -0.0018367484, ' yes': -7.4543695, 'Yes': -6.7176013}
{' ': -10.138229, ' Yes': -0.0066496027, ' yes': -7.7764935, 'Yes': -5.0933366, 'yes': -11.1727915}
{'\n': -11.210066, ' ': -9.929099, ' Yes': -0.0047780154, ' yes': -8.825357, 'Yes': -5.3939114}
{' ': -10.257047, ' Yes': -0.0046286616, ' yes': -7.5370474, 'Yes': -5.520301, 'yes': -10.738656}
{'\n': -10.067093, ' ': -8.623697, ' Yes': -0.007940708, ' yes': -8.340622, 'Yes': -4.9036465}
{'\n': -8.788359, ' ': -8.664209, ' Yes': -0.014641767, ' yes': -5.426608, 'Yes': -4.637164}
{'\n': -12.01023, ' ': -11.01581, ' Yes': -0.00062325277, ' yes': -10.31743, 'Yes': -7.4850073}
{'\n': -11.514572, ' ': -10.313757, ' Yes': -0.003946242, ' yes': -9.651419, 'Yes': -5.5675726}
{'\n': -9.503799, ' ': -9.575447, ' Yes': -0.0054515908, ' yes': -9.448885, 'Yes': -5.259262}
{' YES': -11.960858, ' ': -10.833326, ' Yes': -0.0009885643, ' yes': -10.08164, 'Yes': -6.9958897}
{'\n': -10.537765, ' ': -9.103896, ' Yes': -0.005466036, ' yes': -10.009044, 'Yes': -5.2477145}
{'\n': -12.014249, ' ': -10.763271, ' Yes': -0.001781753, ' yes': -9.760107, 'Yes': -6.382648}
{' No': -4.6398396, 'No': -10.185546, ' Yes': -0.011454514, ' yes': -10.423961, 'Yes': -6.4138074}
{' No': -5.683776, 'No': -9.132897, ' Yes': -0.0132343955, ' yes': -9.376567, 'Yes': -4.6577406}
