{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' No': -0.04801476, ' Yes': -3.1311235, 'No': -5.8967595, ' ': -8.647871, 'Yes': -8.92936}
{' No': -0.3799092, ' Yes': -1.2000215, 'No': -4.465389, 'Yes': -5.792995, ' yes': -8.738119}
{' No': -0.05360896, 'No': -3.6365669, ' Yes': -3.6913574, 'Yes': -7.551135, ' ': -8.2644}
{' No': -0.44958735, ' Yes': -1.0489448, 'No': -4.814896, 'Yes': -5.7725773, ' ': -8.013704}
{' No': -0.5177781, ' Yes': -0.9619805, 'No': -4.2335887, 'Yes': -5.0357776, ' ': -7.3521094}
{' No': -0.15804762, ' Yes': -1.9538965, 'No': -5.5813203, 'Yes': -7.5584755, ' yes': -9.399412}
{' No': -0.09187547, ' Yes': -2.5257688, 'No': -4.998186, 'Yes': -7.567204, ' ': -8.038575}
{' No': -0.525085, ' Yes': -0.93477213, 'No': -4.590715, 'Yes': -5.446565, ' ': -6.942178}
{' No': -0.4931539, ' Yes': -1.0109457, 'No': -4.0579786, 'Yes': -5.0337877, ' ': -6.8588495}
{' Yes': -0.26487893, ' No': -1.5133071, 'Yes': -5.1994205, 'No': -5.8100653, ' yes': -5.9848933}
{' No': -0.07224351, ' Yes': -3.0426278, 'No': -3.9671693, ' ': -6.827653, 'Yes': -7.2614007}
{' Yes': -0.43482268, ' No': -1.0492139, 'Yes': -6.679557, 'No': -7.002518, ' ': -9.0800905}
{' No': -0.10400992, ' Yes': -2.350838, 'No': -5.8292117, 'Yes': -8.134691, ' ': -8.53274}
{' Yes': -0.66919166, ' No': -0.7401489, 'No': -5.0051937, 'Yes': -5.6219997, ' ': -7.9768543}
{' No': -0.04471722, ' Yes': -3.5702183, 'No': -4.211461, 'Yes': -7.9224677, ' ': -8.024738}
{' No': -0.5266699, ' Yes': -0.9162668, 'No': -5.1684833, 'Yes': -5.880288, ' ': -7.3216314}
{' No': -0.102274366, ' Yes': -2.519297, 'No': -4.221678, 'Yes': -6.8536553, ' ': -7.2278733}
{' No': -0.13045894, ' Yes': -2.1223698, 'No': -6.171842, 'Yes': -8.294474, ' ': -8.6073265}
{' No': -0.13029121, ' Yes': -2.138302, 'No': -5.67144, 'Yes': -7.8233433, ' ': -7.823494}
{' Yes': -0.6647585, ' No': -0.7583063, 'No': -4.8277125, 'Yes': -5.17539, ' ': -5.951751}
{' No': -0.13592717, ' Yes': -2.1880016, 'No': -4.3755093, 'Yes': -6.6995716, ' ': -6.973991}
{' Yes': -0.061626006, ' No': -2.8761075, 'Yes': -5.956226, 'No': -7.9771686, ' ': -8.334411}
{' No': -0.044747453, ' Yes': -3.3233309, 'No': -4.9567766, ' ': -7.801785, 'Yes': -8.581344}
{' Yes': -0.0068336474, 'Yes': -5.0713058, ' No': -7.7998743, ' yes': -9.230704, 'No': -11.694729}
{' Yes': -0.008952897, 'Yes': -4.7376494, ' yes': -9.043504, ' YES': -11.071761, ' ': -11.379738}
{' Yes': -0.016965654, 'Yes': -4.14467, ' No': -7.48196, ' yes': -8.087543, ' YES': -10.215553}
{' Yes': -0.025886772, 'Yes': -3.6832542, ' yes': -8.0513, ' YES': -10.327468, 'yes': -10.59897}
{' Yes': -0.039070837, 'Yes': -3.2997916, ' No': -6.9700623, ' yes': -8.298449, 'No': -9.21693}
{' Yes': -0.035327382, 'Yes': -3.372516, ' yes': -8.137633, ' YES': -9.849578, ' ': -10.283849}
{' Yes': -0.0096416855, 'Yes': -4.7665825, ' No': -7.1006613, ' yes': -8.609909, ' YES': -10.437814}
{' Yes': -0.008398495, 'Yes': -4.799488, ' yes': -9.259415, ' YES': -11.147004, ' ': -11.304777}
{' Yes': -0.02842716, 'Yes': -3.592176, ' yes': -8.421639, ' No': -8.864329, ' ': -9.769577}
{' Yes': -0.032389615, 'Yes': -3.4539344, ' yes': -8.680713, ' ': -10.305751, 'yes': -10.74019}
{' Yes': -0.018008934, 'Yes': -4.0722156, ' yes': -7.4616504, ' ': -9.532792, ' YES': -9.673556}
{' Yes': -0.02029833, 'Yes': -3.947878, ' yes': -7.3752284, ' ': -9.495239, ' YES': -9.694866}
{' Yes': -0.010400088, ' No': -4.7106123, 'Yes': -6.762696, ' yes': -8.845331, ' ': -11.093598}
{' Yes': -0.002677885, 'Yes': -5.9990253, ' yes': -8.857182, ' ': -10.925242, ' YES': -10.93045}
{' Yes': -0.03529657, ' No': -3.597684, 'Yes': -5.008973, 'No': -8.003583, ' yes': -8.56724}
{' Yes': -0.011185649, 'Yes': -4.5255895, ' yes': -8.492608, ' ': -10.337268, ' YES': -10.353683}
{' Yes': -0.037916936, ' No': -3.50734, 'Yes': -5.060162, 'No': -8.155231, ' ': -8.188164}
{' Yes': -0.016280409, 'Yes': -4.154195, ' yes': -8.362399, ' ': -9.261678, ' YES': -9.96272}
{' Yes': -0.005053491, ' No': -5.7042356, 'Yes': -6.447567, ' yes': -9.339193, ' ': -11.244736}
{' Yes': -0.002503207, 'Yes': -6.047188, ' yes': -9.1588955, ' YES': -11.219385, ' ': -11.445425}
{' Yes': -0.02414081, ' No': -4.369617, 'Yes': -4.6260924, ' ': -7.243989, '\n': -8.3935}
{' Yes': -0.012481624, 'Yes': -4.4263954, ' yes': -8.591656, ' ': -8.677816, '\n': -10.065138}
{' Yes': -0.011015386, ' No': -5.2259946, 'Yes': -5.3392053, ' yes': -7.839119, ' ': -8.792339}
{' Yes': -0.009468014, 'Yes': -4.7657013, ' yes': -7.306015, ' ': -9.247208, '\n': -9.668392}
{' Yes': -0.018109253, 'Yes': -4.1024804, ' yes': -7.0697255, ' No': -7.72835, ' YES': -10.164058}
{' Yes': -0.03078227, 'Yes': -3.5670483, ' yes': -6.2864237, 'yes': -9.326005, ' YES': -9.442651}
{' Yes': -0.031931914, 'Yes': -3.4842827, ' No': -7.816365, ' yes': -8.223675, 'No': -10.349882}
{' Yes': -0.058491603, 'Yes': -2.884221, ' yes': -7.218107, 'yes': -9.227161, ' YES': -9.687321}
{' Yes': -0.08470312, 'Yes': -2.5324397, ' yes': -6.8021154, ' YES': -8.500803, 'yes': -8.91192}
{' Yes': -0.09482694, 'Yes': -2.423509, ' yes': -6.590443, 'yes': -8.56593, ' YES': -8.788922}
{' Yes': -0.0154590495, 'Yes': -4.35338, ' No': -6.40819, ' yes': -7.2846675, 'No': -9.857319}
{' Yes': -0.019963473, 'Yes': -3.965335, ' yes': -7.256896, 'yes': -10.175273, ' YES': -10.22359}
{' Yes': -0.052998763, 'Yes': -2.9782858, ' yes': -7.6208634, ' ': -9.370776, 'yes': -9.646949}
{' Yes': -0.077353425, 'Yes': -2.610114, ' yes': -7.344113, 'yes': -9.129815, ' ': -9.46966}
{' Yes': -0.050916143, 'Yes': -3.0491328, ' yes': -6.2374945, 'yes': -8.944858, ' YES': -9.6135645}
{' Yes': -0.060164258, 'Yes': -2.935729, ' yes': -5.350394, 'yes': -8.115365, ' YES': -8.887893}
{' Yes': -0.030648835, ' No': -3.6428714, 'Yes': -5.979348, ' yes': -6.7732573, ' ': -8.66311}
{' Yes': -0.0043014605, 'Yes': -5.784987, ' yes': -6.8032875, ' ': -9.857386, ' YES': -10.566792}
{' Yes': -0.02894529, ' No': -4.0387716, 'Yes': -4.620204, ' yes': -7.484957, 'No': -7.9697523}
{' Yes': -0.021363124, 'Yes': -3.9269152, ' yes': -6.6895237, ' ': -9.696697, 'yes': -9.716835}
{' Yes': -0.034598652, ' No': -3.6959336, 'Yes': -4.820792, ' yes': -7.9929876, 'No': -8.01128}
{' Yes': -0.020356847, 'Yes': -3.9432864, ' yes': -7.5047755, ' ': -9.110148, ' YES': -10.15476}
{' Yes': -0.005004608, 'Yes': -5.5783134, ' No': -7.3740873, ' yes': -7.574349, ' ': -10.346448}
{' Yes': -0.0075692586, 'Yes': -5.083806, ' yes': -6.7351003, ' ': -9.55604, 'yes': -10.235596}
{' Yes': -0.016903875, 'Yes': -4.5959406, ' No': -5.2281785, ' ': -7.4043946, ' yes': -7.72616}
{' Yes': -0.016473565, 'Yes': -4.16777, ' yes': -7.499061, ' ': -8.551591, 'yes': -10.227263}
{' Yes': -0.017178161, 'Yes': -4.7299542, ' yes': -5.6199894, ' No': -5.6543293, '\n': -7.7160606}
{' Yes': -0.029350067, 'Yes': -3.9838846, ' yes': -4.6544757, ' ': -8.288889, 'yes': -8.461012}
{' Yes': -0.02817871, ' No': -3.6709437, 'Yes': -6.2730193, ' ': -8.700295, ' yes': -8.807788}
{' Yes': -0.003616933, 'Yes': -5.707901, ' yes': -8.785976, ' ': -9.475143, ' YES': -10.491526}
{' Yes': -0.030227685, ' No': -3.8528707, 'Yes': -4.853279, 'No': -8.123239, ' yes': -8.5023}
{' Yes': -0.012258886, 'Yes': -4.4484158, ' yes': -8.237556, ' ': -9.064313, ' YES': -10.138168}
{' Yes': -0.1166238, ' No': -2.2942972, 'Yes': -5.0046816, 'No': -6.8366437, ' ': -7.0001984}
{' Yes': -0.017006936, 'Yes': -4.1208773, ' ': -8.432946, ' yes': -8.536982, '\n': -8.869437}
{' Yes': -0.007011782, ' No': -5.287277, 'Yes': -6.387871, ' yes': -9.127319, ' ': -9.208923}
{' Yes': -0.0031335757, 'Yes': -5.853034, ' yes': -8.889289, ' ': -9.559785, ' YES': -10.52188}
{' Yes': -0.056703027, ' No': -3.2394214, 'Yes': -4.5097575, ' ': -5.87746, '\n': -6.766443}
{' Yes': -0.011539229, 'Yes': -4.51316, ' ': -8.176126, ' yes': -8.97235, '\n': -9.570923}
{' Yes': -0.008039541, ' No': -5.486101, 'Yes': -5.707741, ' yes': -8.371143, ' ': -8.472387}
{' Yes': -0.004741366, 'Yes': -5.42987, ' yes': -8.378779, ' ': -9.5684805, '\n': -10.855994}
{' Yes': -0.1598409, ' No': -1.9367191, 'Yes': -6.06496, 'No': -6.81861, ' ': -9.557204}
{' Yes': -0.18437682, ' No': -1.8232279, 'Yes': -5.39919, 'No': -6.0975313, ' ': -9.773702}
{' Yes': -0.052281402, ' No': -3.3657901, 'Yes': -4.2380495, 'No': -6.3496447, ' ': -9.221383}
