{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -10.124392, ' ': -10.010285, ' Yes': -0.0035381543, ' yes': -9.563965, 'Yes': -5.6931167}
{' No': -8.878539, ' ': -8.814464, ' Yes': -0.0051090866, ' yes': -9.448752, 'Yes': -5.361455}
{' No': -9.075015, ' ': -9.895773, ' Yes': -0.0010632077, ' yes': -9.694521, 'Yes': -7.093306}
{' No': -7.5975013, ' ': -7.7670684, ' Yes': -0.006582463, ' yes': -9.584959, 'Yes': -5.2017956}
{' No': -11.363351, ' ': -9.748191, ' Yes': -0.0016873558, ' yes': -8.888312, 'Yes': -6.526349}
{' No': -0.005250605, ' ': -10.640109, 'No': -5.257348, ' no': -13.583567, ' NO': -13.737219}
{' No': -0.019099483, ' ': -10.151441, 'No': -3.9702332, ' no': -12.656334, ' NO': -12.518604}
{' No': -0.031799924, ' ': -9.300554, 'No': -3.4674916, ' no': -12.754783, ' NO': -12.369903}
{' No': -0.0069563813, ' ': -10.825869, 'No': -4.974983, ' no': -13.406064, ' NO': -13.85112}
{' No': -0.039113354, ' x': -12.524884, ' ': -9.214496, 'No': -3.2640183, ' no': -12.259622}
{' No': -0.023492744, ' x': -10.722593, ' ': -9.175562, 'No': -3.769817, ' no': -11.409846}
{' No': -0.0012549403, '\n': -13.347198, ' ': -9.978918, 'No': -6.7244124, ' no': -12.729168}
{' No': -0.009245644, '\n': -12.554232, ' ': -9.2026615, 'No': -4.7005906, ' no': -12.755025}
{' No': -0.0074784537, '\n': -10.874214, ' ': -9.010351, 'No': -4.91999, ' no': -12.737827}
{' No': -0.0017925624, '\n': -13.380227, ' ': -10.3860235, 'No': -6.3448644, ' no': -13.60529}
{' No': -0.007052658, '\n': -10.433532, ' ': -8.4614, 'No': -4.9942617, ' no': -12.610433}
{' No': -0.008212661, '\n': -10.302883, ' ': -8.671212, 'No': -4.834747, ' no': -11.130247}
{' No': -0.019282125, ' ': -9.387764, 'No': -3.9658096, ' no': -10.2179165, ' NO': -11.6414795}
{' No': -0.018583206, ' ': -11.297405, 'No': -3.995794, 'no': -13.615652, ' no': -12.650801}
{' No': -0.05933738, '\n': -11.073053, ' ': -8.626923, 'No': -2.8584018, ' no': -10.967866}
{' No': -0.011941245, ' ': -10.076482, 'No': -4.439388, ' no': -11.097597, ' NO': -12.50089}
{' No': -0.06562257, '\n': -11.30463, ' ': -8.529383, 'No': -2.7606258, ' no': -10.816281}
{' No': -0.06363628, ' x': -9.470885, ' ': -8.109225, 'No': -2.7960694, ' no': -9.292266}
{' No': -0.0021120096, '\n': -11.401073, ' ': -8.598593, 'No': -6.2709966, ' no': -10.87982}
{' No': -0.015928973, '\n': -11.402538, ' ': -8.116962, 'No': -4.1694226, ' no': -10.88154}
{' No': -0.016429696, '\n': -9.691638, ' ': -7.9000616, 'No': -4.145086, ' no': -11.616994}
{' No': -0.006209582, '\n': -10.950674, ' ': -8.251435, 'No': -5.1386023, ' no': -10.284579}
{' No': -0.015635941, '\n': -8.690524, ' ': -7.541873, 'No': -4.214683, ' no': -10.694528}
{' No': -0.013618909, '\n': -8.800165, ' ': -7.669792, 'No': -4.3681126, ' no': -8.492458}
{' No': -0.0009968583, '\n': -12.503727, ' ': -9.557267, 'No': -6.992372, ' no': -13.441753}
{' No': -0.0058181947, '\n': -12.471044, ' ': -9.011286, 'No': -5.1725125, ' no': -13.252129}
{' No': -0.007914091, '\n': -9.870539, ' ': -8.361092, 'No': -4.88113, ' no': -12.918392}
{' No': -0.0017392406, '\n': -12.7015705, ' ': -9.373049, 'No': -6.410108, ' no': -13.163033}
{' No': -0.008027286, '\n': -10.323781, ' ': -8.136125, 'No': -4.871614, ' no': -12.841155}
{' No': -0.0031180289, '\n': -11.422366, ' ': -8.864406, 'No': -5.8254113, ' no': -12.015293}
{' No': -0.0065046474, ' ': -11.288809, 'No': -5.2819066, ' Yes': -6.586655, 'Yes': -11.8693285}
{' No': -0.019284436, ' ': -10.318004, 'No': -3.9879103, ' Yes': -7.578212, 'Yes': -11.721826}
{' No': -0.036974207, ' ': -10.042005, 'No': -3.3299255, ' Yes': -7.7372146, 'Yes': -11.255397}
{' No': -0.0069482177, ' ': -11.983095, 'No': -4.988275, ' Yes': -9.237848, ' no': -13.999387}
{' No': -0.06005577, ' ': -9.866074, 'No': -3.5217788, ' Yes': -3.568364, 'Yes': -7.655476}
{' No': -0.26364124, ' ': -8.72212, 'No': -4.333231, ' Yes': -1.5286252, 'Yes': -6.479128}
{' No': -0.05031171, ' ': -9.967638, 'No': -7.2297335, ' Yes': -3.0317264, 'Yes': -9.997468}
{' No': -0.07292446, ' ': -9.345222, 'No': -4.807257, ' Yes': -2.7868545, 'Yes': -7.739091}
{' No': -0.14931102, ' ': -8.172527, 'No': -4.9363766, ' Yes': -2.0390718, 'Yes': -6.9149127}
{' No': -0.005827848, ' ': -10.165803, 'No': -6.4934545, ' Yes': -5.462048, 'Yes': -11.604771}
{' No': -0.07320756, ' ': -7.716426, 'No': -4.8204455, ' Yes': -2.7889478, 'Yes': -7.610074}
{' No': -0.25110683, ' ': -7.8196473, 'No': -4.906806, ' Yes': -1.5488839, 'Yes': -6.5213933}
{' No': -0.022642966, ' ': -10.000103, 'No': -4.0435414, ' Yes': -5.3607316, 'Yes': -9.698179}
{' No': -0.023336118, ' ': -11.799224, 'No': -3.8787322, ' Yes': -6.0609756, 'Yes': -10.026576}
{' No': -0.1055414, ' ': -9.372047, 'No': -3.6467419, ' Yes': -2.6224613, 'Yes': -6.628465}
{' No': -0.050632253, ' ': -10.71542, 'No': -5.0488696, ' Yes': -3.1551547, 'Yes': -8.180087}
{' No': -3.3264618, 'No': -6.3261185, ' Yes': -0.058284916, ' yes': -8.139683, 'Yes': -3.9903677}
{' No': -4.601662, 'No': -7.642558, ' Yes': -0.026932608, ' yes': -6.614531, 'Yes': -4.228917}
{' No': -0.006701146, ' ': -8.771029, 'No': -6.6782722, ' Yes': -5.258343, ' no': -10.360334}
{' No': -0.012514881, ' ': -8.972261, 'No': -4.656956, ' Yes': -5.8916306, 'Yes': -10.461032}
{' No': -0.091742255, ' ': -7.227427, 'No': -4.5880666, ' Yes': -2.5789628, 'Yes': -7.162068}
{' No': -0.0055208136, ' ': -8.664429, 'No': -5.5136323, ' Yes': -6.6745687, ' no': -11.031801}
{' No': -0.023569942, ' ': -7.6822977, 'No': -4.5467157, ' Yes': -4.424447, 'Yes': -8.887101}
{' No': -0.029555155, '\n': -8.359514, ' ': -6.801266, 'No': -4.349406, ' Yes': -4.240414}
{' No': -0.015239704, '\n': -10.981033, ' ': -9.206114, 'No': -7.2189198, ' Yes': -4.250746}
{' No': -0.016112674, ' ': -8.998636, 'No': -5.235511, ' Yes': -4.5602503, 'Yes': -9.681651}
{' No': -0.21482407, ' ': -7.121459, 'No': -5.0778723, ' Yes': -1.689378, 'Yes': -6.608369}
{' No': -0.004044204, ' ': -9.277549, 'No': -6.939711, ' Yes': -5.8217916, 'Yes': -12.294856}
{' No': -0.94936043, ' ': -6.8052273, 'No': -5.5380807, ' Yes': -0.50653523, 'Yes': -5.282908}
{' No': -0.59614366, ' ': -7.3922796, 'No': -6.21948, ' Yes': -0.80933, 'Yes': -6.7843204}
{' YES': -12.342452, ' ': -12.527295, ' Yes': -0.0051324535, ' yes': -9.979855, 'Yes': -5.286037}
{' YES': -11.203203, ' Yes': -0.014176515, ' yes': -9.188375, 'Yes': -4.2729254, 'yes': -11.549213}
{' YES': -11.140233, ' Yes': -0.024457032, ' yes': -9.128947, 'Yes': -3.7291322, 'yes': -11.099458}
{' YES': -12.457241, ' Yes': -0.0069568614, ' yes': -10.004945, 'Yes': -4.9793744, 'yes': -12.757176}
{' YES': -12.1542635, ' Yes': -0.010487726, ' yes': -9.941343, 'Yes': -4.5692205, 'yes': -11.738956}
{' ': -11.187415, ' Yes': -0.009007026, ' yes': -8.909016, 'Yes': -4.7329698, 'yes': -11.725154}
{' YES': -12.102442, ' ': -11.80757, ' Yes': -0.0013823066, ' yes': -9.300421, 'Yes': -6.6663413}
{' ': -11.004048, ' Yes': -0.00862795, ' yes': -9.260924, 'Yes': -4.77257, 'yes': -11.661897}
{'\n': -10.548026, ' ': -10.187099, ' Yes': -0.007129315, ' yes': -8.995605, 'Yes': -4.976749}
{' YES': -12.402828, ' ': -12.057826, ' Yes': -0.0015418039, ' yes': -9.874633, 'Yes': -6.518112}
{'\n': -10.4959135, ' ': -9.657709, ' Yes': -0.008902682, ' yes': -9.402258, 'Yes': -4.7479353}
{'\n': -9.989022, ' ': -9.686326, ' Yes': -0.009751948, ' yes': -7.870017, 'Yes': -4.6919627}
{' YES': -11.2319975, ' Yes': -0.015500154, ' yes': -7.5913115, 'Yes': -4.2127867, 'yes': -10.02027}
{' YES': -12.778961, ' Yes': -0.022763023, ' yes': -9.272863, 'Yes': -3.799086, 'yes': -11.00091}
{' YES': -11.117682, ' Yes': -0.021869076, ' yes': -8.093771, 'Yes': -3.8507702, 'yes': -10.252164}
{' YES': -11.836818, ' Yes': -0.010773754, ' yes': -8.439834, 'Yes': -4.5591955, 'yes': -10.94596}
{' ': -11.243551, ' Yes': -0.023244727, ' yes': -8.504757, 'Yes': -3.784807, 'yes': -10.2052555}
{' ': -10.412353, ' Yes': -0.0255446, ' yes': -6.7158594, 'Yes': -3.7359211, 'yes': -9.300145}
{' ': -10.503347, ' Yes': -0.0032870148, ' yes': -7.308398, 'Yes': -5.971045, 'yes': -11.073135}
{' ': -9.888582, ' Yes': -0.01374127, ' yes': -7.4191537, 'Yes': -4.34837, 'yes': -9.959761}
{' ': -9.879508, ' Yes': -0.012156434, ' yes': -8.2831745, 'Yes': -4.446383, 'yes': -10.630881}
{' ': -10.271633, ' Yes': -0.006331042, ' yes': -7.306105, 'Yes': -5.1955223, 'yes': -10.113382}
{'\n': -9.842066, ' ': -9.290399, ' Yes': -0.012327554, ' yes': -8.580076, 'Yes': -4.4331284}
{'\n': -8.894143, ' ': -8.825297, ' Yes': -0.018166736, ' yes': -5.718316, 'Yes': -4.2494307}
{' YES': -12.000366, ' ': -11.234328, ' Yes': -0.0011445418, ' yes': -9.942129, 'Yes': -6.8403454}
{' YES': -11.576864, ' ': -10.403597, ' Yes': -0.0068077208, ' yes': -9.619072, 'Yes': -5.010819}
{'\n': -10.103815, ' ': -10.170267, ' Yes': -0.006216599, ' yes': -9.609375, 'Yes': -5.1096077}
{' YES': -12.243433, ' ': -11.030354, ' Yes': -0.0013049553, ' yes': -9.930611, 'Yes': -6.7002773}
{'\n': -10.431563, ' ': -9.739659, ' Yes': -0.009538118, ' yes': -9.93118, 'Yes': -4.672994}
{'\n': -11.6635065, ' ': -10.943122, ' Yes': -0.00266396, ' yes': -9.80331, 'Yes': -5.962094}
{' No': -11.48587, ' ': -12.037973, ' Yes': -0.0022540619, ' yes': -9.959855, 'Yes': -6.126445}
{' No': -11.30409, ' ': -10.9635725, ' Yes': -0.01036612, ' yes': -9.1069975, 'Yes': -4.5895476}
{' No': -9.894016, ' ': -10.124992, ' Yes': -0.019840531, ' yes': -9.047161, 'Yes': -3.941809}
{' No': -12.824992, ' ': -12.027878, ' Yes': -0.003352022, ' yes': -10.024036, 'Yes': -5.7171764}
{' No': -9.418892, ' ': -10.469532, ' Yes': -0.015806345, ' yes': -9.33614, 'Yes': -4.1692767}
{' No': -11.337149, ' ': -10.347939, ' Yes': -0.0075482368, ' yes': -8.643137, 'Yes': -4.9217596}
{' YES': -12.555438, ' ': -11.071351, ' Yes': -0.00094232924, ' yes': -9.054727, 'Yes': -7.128057}
{' ': -10.344676, ' Yes': -0.0051151384, ' yes': -9.068389, 'Yes': -5.310739, 'yes': -12.092944}
{'\n': -12.137624, ' ': -10.09873, ' Yes': -0.0050285696, ' yes': -9.078549, 'Yes': -5.330294}
{' YES': -12.795013, ' ': -11.294689, ' Yes': -0.0011169098, ' yes': -9.618316, 'Yes': -6.8776765}
{'\n': -10.911366, ' ': -8.967376, ' Yes': -0.0066614836, ' yes': -9.024217, 'Yes': -5.0583043}
{' ': -9.4909935, ' Yes': -0.0050829044, ' yes': -7.6266823, 'Yes': -5.4132075, 'yes': -10.889244}
{' No': -9.24323, ' ': -10.171933, ' Yes': -0.013521994, ' yes': -7.2430573, 'Yes': -4.380013}
{' No': -11.853353, ' Yes': -0.012931782, ' yes': -9.459805, 'Yes': -4.36211, 'yes': -11.911094}
{' ': -10.857798, ' Yes': -0.01864648, ' yes': -7.982448, 'Yes': -4.0131054, 'yes': -10.616775}
{' ': -11.41636, ' Yes': -0.005660713, ' yes': -8.220615, 'Yes': -5.231872, 'yes': -11.5116}
{' ': -10.3282795, ' Yes': -0.02493155, ' yes': -7.955223, 'Yes': -3.7218344, 'yes': -10.22958}
{' ': -9.885811, ' Yes': -0.021433944, ' yes': -6.78119, 'Yes': -3.9149463, 'yes': -9.828093}
{' ': -9.710136, ' Yes': -0.002374565, ' yes': -6.96149, 'Yes': -6.6153297, 'yes': -11.384861}
{' ': -9.334437, ' Yes': -0.009316936, ' yes': -7.403951, 'Yes': -4.7644362, 'yes': -10.432191}
{' ': -8.91917, ' Yes': -0.010412255, ' yes': -7.9385962, 'Yes': -4.6228027, 'yes': -10.896008}
{' ': -9.104483, ' Yes': -0.0039169188, ' yes': -7.2786145, 'Yes': -5.788987, 'yes': -10.64247}
{'\n': -9.660039, ' ': -8.052989, ' Yes': -0.010779538, ' yes': -7.8588133, 'Yes': -4.6141996}
{' ': -7.9217396, ' Yes': -0.014228086, ' yes': -5.32697, 'Yes': -4.749887, 'yes': -9.034572}
{'\n': -12.402456, ' ': -10.569159, ' Yes': -0.00069458643, ' yes': -9.909857, 'Yes': -7.4017143}
{' No': -12.248588, ' ': -10.086457, ' Yes': -0.0040103337, ' yes': -9.498588, 'Yes': -5.5541387}
{'\n': -10.335591, ' ': -9.047103, ' Yes': -0.005597174, ' yes': -9.390261, 'Yes': -5.23466}
{' No': -10.756189, ' ': -10.10584, ' Yes': -0.0009810467, ' yes': -9.632679, 'Yes': -7.0744977}
{'\n': -9.884243, ' ': -8.311225, ' Yes': -0.0066259624, ' yes': -9.615134, 'Yes': -5.0807624}
{'\n': -11.261892, ' ': -9.858885, ' Yes': -0.0018796852, ' yes': -9.172883, 'Yes': -6.3752446}
{' No': -0.0068880804, ' ': -10.326328, 'No': -4.986935, ' no': -13.3782835, ' NO': -13.510052}
{' No': -0.032102637, ' ': -9.948183, 'No': -3.4566727, ' no': -12.846682, ' NO': -12.331524}
{' No': -0.046410296, ' ': -8.977059, 'No': -3.0964606, ' no': -12.9209175, ' NO': -12.034896}
{' No': -0.00977566, ' ': -10.6695385, 'No': -4.6355267, ' no': -13.539754, ' NO': -13.704333}
{' No': -0.0377381, ' ': -9.371284, 'No': -3.2986329, ' no': -12.658749, ' NO': -12.660229}
{' No': -0.02627269, ' x': -12.248383, ' ': -8.806023, 'No': -3.6593425, ' no': -11.660309}
{' No': -0.0014884952, '\n': -12.702024, ' ': -9.734079, 'No': -6.5579987, ' no': -12.57622}
{' No': -0.00952879, '\n': -12.016035, ' ': -9.07693, 'No': -4.6719465, ' no': -12.816157}
{' No': -0.009389252, '\xa0': -12.606877, '\n': -10.476077, ' ': -8.706159, 'No': -4.695155}
{' No': -0.00217043, '\n': -12.736276, ' ': -9.952578, 'No': -6.1596255, ' no': -13.219705}
{' No': -0.007884774, '\n': -10.00932, ' ': -8.3499365, 'No': -4.8847213, ' no': -12.567917}
{' No': -0.009354056, '\n': -9.739458, ' ': -8.338749, 'No': -4.7124944, ' no': -10.990868}
{' No': -0.025965251, ' ': -9.183122, 'No': -3.6702847, ' no': -10.281241, ' NO': -11.750469}
{' No': -0.020742465, ' ': -11.146318, 'No': -3.8869035, 'no': -13.651346, ' no': -12.792011}
{' No': -0.059275843, '\n': -11.519488, ' ': -8.897426, 'No': -2.8582776, ' no': -11.178657}
{' No': -0.0124930935, ' ': -10.057397, 'No': -4.3941402, ' no': -11.263411, ' NO': -12.437756}
{' No': -0.070693985, '\n': -11.329123, ' ': -8.515195, 'No': -2.6883125, ' no': -11.039617}
{' No': -0.066443905, ' x': -9.724628, ' ': -7.9752083, 'No': -2.7539704, ' no': -9.365339}
{' No': -0.0024896434, '\n': -10.881796, ' ': -8.334818, 'No': -6.1243553, ' no': -10.388336}
{' No': -0.017115828, '\n': -11.128564, ' ': -8.018086, 'No': -4.098666, ' no': -10.96201}
{' No': -0.020596912, '\n': -9.561229, ' ': -7.821286, 'No': -3.917596, ' no': -11.48303}
{' No': -0.0066910647, '\n': -10.907639, ' ': -8.158924, 'No': -5.0639877, ' no': -10.377752}
{' No': -0.017128805, '\n': -8.918618, ' ': -7.552944, 'No': -4.117514, ' no': -10.744868}
{' No': -0.017800491, '\n': -8.236733, ' ': -7.2458644, 'No': -4.1071634, ' no': -8.650119}
{' No': -0.0012352474, '\n': -11.923106, ' ': -9.473258, 'No': -6.7710066, ' no': -13.200559}
{' No': -0.0063079474, '\n': -11.965967, ' ': -8.900482, 'No': -5.0930123, ' NO': -13.009704}
{' No': -0.0077347886, '\n': -9.407538, ' ': -8.309151, 'No': -4.910748, ' no': -12.979092}
{' No': -0.0021736554, '\n': -11.762456, ' ': -9.016227, 'No': -6.1972814, ' NO': -12.732021}
{' No': -0.009691517, '\n': -9.5314045, ' ': -7.9652195, 'No': -4.6869283, ' NO': -12.842738}
{' No': -0.0039721546, '\n': -11.044421, ' ': -8.643483, 'No': -5.58229, ' no': -12.379284}
{' No': -0.0071640145, ' ': -10.505476, 'No': -5.1435413, ' Yes': -6.6746345, 'Yes': -11.765191}
{' No': -0.028218318, ' ': -9.802785, 'No': -3.6171427, ' Yes': -7.036172, 'Yes': -10.853206}
{' No': -0.030593095, ' ': -9.642771, 'No': -3.5256948, ' Yes': -7.4070997, 'Yes': -11.022282}
{' No': -0.007924244, ' ': -11.28434, 'No': -4.8910685, ' Yes': -7.925685, 'Yes': -12.78108}
{' No': -0.03229912, ' ': -9.622866, 'No': -3.5941293, ' Yes': -5.48633, 'Yes': -9.473211}
{' No': -0.056179617, ' ': -8.958369, 'No': -3.913693, ' Yes': -3.3764863, 'Yes': -7.9804535}
{' No': -0.026708588, ' ': -9.296337, 'No': -6.8613806, ' Yes': -3.6824415, 'Yes': -10.245218}
{' No': -0.06335378, ' ': -9.056716, 'No': -4.8627286, ' Yes': -2.9351263, 'Yes': -7.8333445}
{' No': -0.75481904, ' ': -7.462798, 'No': -5.6398168, ' Yes': -0.6498518, 'Yes': -5.671563}
{' No': -0.0117995, ' ': -9.650216, 'No': -6.413079, ' Yes': -4.6054864, 'Yes': -10.735017}
{' No': -0.24646176, ' ': -7.127826, 'No': -4.8198047, ' Yes': -1.5728778, 'Yes': -6.249124}
{' No': -0.15052606, ' ': -7.4260025, 'No': -4.800621, ' Yes': -2.0432606, 'Yes': -6.892114}
{' No': -0.020943912, ' ': -9.657733, 'No': -4.0646048, ' Yes': -5.6823735, 'Yes': -9.957755}
{' No': -0.022341214, ' ': -10.748379, 'No': -3.8662474, ' Yes': -6.8078976, 'Yes': -10.714087}
{' No': -0.20021237, ' ': -9.02803, 'No': -4.0323405, ' Yes': -1.8278254, 'Yes': -5.899942}
{' No': -0.13385063, ' ': -9.780739, 'No': -4.9137197, ' Yes': -2.145825, 'Yes': -7.056983}
{' No': -0.41954502, ' ': -8.369247, 'No': -3.5766857, ' Yes': -1.1790494, 'Yes': -5.003197}
{' No': -1.5793594, 'No': -4.903763, ' Yes': -0.2537768, ' yes': -7.213838, 'Yes': -4.651741}
{' No': -0.011772423, ' ': -8.314253, 'No': -6.509732, ' Yes': -4.6184006, ' no': -9.990217}
{' No': -0.028099503, ' ': -8.156704, 'No': -4.5107155, ' Yes': -4.122917, 'Yes': -8.607073}
{' No': -0.04461849, ' ': -7.184606, 'No': -4.766182, ' Yes': -3.3850818, 'Yes': -7.9553614}
{' No': -0.011074087, ' ': -8.065854, 'No': -5.3012886, ' Yes': -5.1809635, 'Yes': -10.227025}
{' No': -0.030720498, ' ': -7.2662206, 'No': -4.289561, ' Yes': -4.167414, 'Yes': -8.421578}
{' No': -0.049592387, ' ': -6.521074, 'No': -4.4060698, ' Yes': -3.3900006, 'Yes': -7.952235}
{' No': -0.017565345, '\n': -10.768711, ' ': -8.753662, 'No': -7.3673058, ' Yes': -4.0996494}
{' No': -0.011398867, ' ': -8.656225, 'No': -5.1480756, ' Yes': -5.2400327, 'Yes': -10.312018}
{' No': -0.11971156, ' ': -6.850004, 'No': -5.0709767, ' Yes': -2.259055, 'Yes': -7.259587}
{' No': -0.0065171267, ' ': -8.695426, 'No': -6.6221957, ' Yes': -5.3034606, 'Yes': -11.50343}
{' No': -0.3266174, ' ': -6.265086, 'No': -4.8915358, ' Yes': -1.323989, 'Yes': -5.949223}
{' No': -0.17289416, ' ': -7.419382, 'No': -6.151133, ' Yes': -1.860644, 'Yes': -7.912913}
{' YES': -12.260991, ' ': -12.161314, ' Yes': -0.004818144, ' yes': -10.026722, 'Yes': -5.349783}
{' YES': -11.203443, ' ': -11.3315525, ' Yes': -0.016238851, ' yes': -9.24437, 'Yes': -4.1368136}
{' YES': -11.052351, ' Yes': -0.01851951, ' yes': -9.136321, 'Yes': -4.006333, 'yes': -11.27694}
{' YES': -12.337742, ' ': -12.714459, ' Yes': -0.0067619937, ' yes': -10.16087, 'Yes': -5.0070744}
{' ': -11.587157, ' Yes': -0.015077403, ' yes': -9.760671, 'Yes': -4.2077537, 'yes': -11.451755}
{' YES': -11.861508, ' ': -11.031313, ' Yes': -0.009674607, ' yes': -9.077209, 'Yes': -4.6583557}
{' YES': -11.909487, ' ': -11.3341465, ' Yes': -0.0014739883, ' yes': -9.308251, 'Yes': -6.601133}
{' YES': -11.531364, ' ': -10.533396, ' Yes': -0.009447556, ' yes': -9.154135, 'Yes': -4.683579}
{'\n': -10.049231, ' ': -9.9364195, ' Yes': -0.0074610407, ' yes': -9.009364, 'Yes': -4.933862}
{' YES': -12.187854, ' ': -11.754818, ' Yes': -0.0016883104, ' yes': -9.875059, 'Yes': -6.4259667}
{'\n': -9.913911, ' ': -9.157814, ' Yes': -0.010350643, ' yes': -9.138908, 'Yes': -4.6042666}
{'\n': -9.88971, ' ': -9.399984, ' Yes': -0.009916876, ' yes': -7.7687817, 'Yes': -4.6822457}
{' ': -10.99052, ' Yes': -0.012448793, ' yes': -8.024062, 'Yes': -4.424051, 'yes': -10.539763}
{' YES': -12.704154, ' Yes': -0.016869685, ' yes': -9.389171, 'Yes': -4.0967164, 'yes': -11.29663}
{' ': -11.112652, ' Yes': -0.019964753, ' yes': -8.061785, 'Yes': -3.9433236, 'yes': -10.249761}
{' YES': -11.668827, ' Yes': -0.010378768, ' yes': -8.487144, 'Yes': -4.5964856, 'yes': -10.975626}
{' ': -10.911187, ' Yes': -0.021091098, ' yes': -8.539862, 'Yes': -3.8819213, 'yes': -10.306266}
{' ': -10.336636, ' Yes': -0.019887652, ' yes': -6.8509173, 'Yes': -3.9897876, 'yes': -9.588568}
{' ': -10.249802, ' Yes': -0.0036911746, ' yes': -7.069267, 'Yes': -5.8918324, 'yes': -10.898897}
{' ': -9.428532, ' Yes': -0.015287575, ' yes': -7.2517357, 'Yes': -4.2475967, 'yes': -9.812803}
{' ': -9.604471, ' Yes': -0.01060133, ' yes': -8.334499, 'Yes': -4.587151, 'yes': -10.747337}
{' ': -10.046029, ' Yes': -0.007236295, ' yes': -7.394815, 'Yes': -5.0381026, 'yes': -10.077764}
{'\n': -9.596497, ' ': -8.759631, ' Yes': -0.016128479, ' yes': -8.305194, 'Yes': -4.168804}
{'\n': -8.8122835, ' ': -8.436206, ' Yes': -0.018365173, ' yes': -5.797168, 'Yes': -4.2252955}
{'\n': -11.832836, ' ': -10.723397, ' Yes': -0.001030569, ' yes': -9.920802, 'Yes': -6.965867}
{'\n': -11.393169, ' ': -9.911499, ' Yes': -0.00743534, ' yes': -9.610794, 'Yes': -4.9250035}
{'\n': -9.668202, ' ': -9.526996, ' Yes': -0.006575863, ' yes': -9.594699, 'Yes': -5.061961}
{' YES': -11.97511, ' ': -10.569291, ' Yes': -0.0013635035, ' yes': -9.9883375, 'Yes': -6.6610518}
{'\n': -9.634996, ' ': -8.829604, ' Yes': -0.012160414, ' yes': -9.637273, 'Yes': -4.440449}
{'\n': -11.16725, ' ': -10.345859, ' Yes': -0.0029403453, ' yes': -9.676908, 'Yes': -5.8707037}
{' No': -9.271429, ' ': -11.755604, ' Yes': -0.0018603978, ' yes': -10.100133, 'Yes': -6.3698277}
{' No': -9.263122, ' ': -10.524486, ' Yes': -0.008926196, ' yes': -9.210933, 'Yes': -4.750095}
{' No': -10.262645, ' ': -10.451041, ' Yes': -0.016703792, ' yes': -9.179538, 'Yes': -4.1116247}
