{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.007169716, ' Deer': -5.204092, 'Yes': -6.6567497, ' yes': -9.012157, ' Sure': -9.747313}
{' Yes': -0.0059987297, 'Yes': -5.196752, ' No': -8.11681, ' yes': -9.959126, ' YES': -10.378014}
{' Yes': -0.0017360154, 'Yes': -6.381212, ' yes': -10.940653, ' YES': -11.499973, '\n': -12.601883}
{' Yes': -0.004538004, 'Yes': -5.587097, ' No': -7.852335, ' Gl': -8.769298, ' yes': -8.960332}
{' Yes': -0.007520073, 'Yes': -5.3742075, ' Gl': -6.0625525, ' yes': -8.469529, ' YES': -9.442246}
{' Yes': -0.0012464662, 'Yes': -6.706324, ' yes': -11.329017, ' YES': -12.428129, '\n': -12.835403}
{' Yes': -0.004065452, 'Yes': -5.584094, ' yes': -9.126217, ' Less': -9.179744, ' YES': -10.294915}
{' Yes': -0.002176644, 'Yes': -6.194933, ' No': -9.875622, ' yes': -10.410011, ' Sure': -10.853189}
{' Yes': -0.0014396667, 'Yes': -6.6179724, ' Sure': -10.379368, ' yes': -10.497918, ' YES': -11.341221}
{' Yes': -0.0034265993, 'Yes': -5.7055, ' Sure': -10.11688, '\n': -10.759336, ' yes': -10.995821}
{' Yes': -0.002631985, 'Yes': -6.0282207, ' Sure': -8.856481, '\n': -10.38372, ' yes': -10.832342}
{' Yes': -0.10986865, ' Exit': -2.304462, 'Yes': -6.22861, ' No': -6.486755, 'Exit': -8.206922}
{' Yes': -0.0071364576, ' Exit': -5.9214745, 'Yes': -6.08725, ' No': -6.212597, '\n': -9.871}
{' Yes': -0.0050144326, ' Lion': -5.873889, 'Yes': -6.216015, ' No': -9.466786, ' yes': -10.044422}
{' Yes': -0.0018431388, 'Yes': -6.4111276, ' No': -9.0417385, ' yes': -10.170273, ' Lion': -11.023075}
{' Yes': -0.0061461893, ' Roof': -5.815132, 'Yes': -5.86907, '\n': -9.277084, ' yes': -9.288914}
{' Yes': -0.15691407, ' Roof': -1.9690077, 'Yes': -5.462845, ' No': -7.890497, ' yes': -8.290513}
{' Yes': -0.38160858, ' Want': -1.1676728, 'Yes': -6.0319047, 'Want': -6.3491397, ' Wanted': -7.429658}
{' Yes': -0.32684076, ' Want': -1.3061556, 'Yes': -6.2758875, 'Want': -6.455529, ' W': -6.7179756}
{' Yes': -0.0030539967, 'Yes': -6.3481636, ' Wind': -6.6926365, ' yes': -10.889165, '\n': -11.299738}
{' Yes': -0.0033840777, 'Yes': -6.244211, ' Wind': -6.742977, ' No': -8.723942, ' yes': -10.296736}
{' Yes': -0.0009499661, 'Yes': -6.986168, ' yes': -11.230113, ' YES': -11.938314, '\n': -13.509379}
{' Yes': -0.001036658, 'Yes': -6.9121294, ' yes': -10.84888, ' YES': -11.85976, ' No': -12.112487}
{' Yes': -0.16676408, ' No': -2.2639627, ' Hate': -3.0854213, 'Yes': -5.9973316, 'No': -7.1929493}
{' Yes': -0.0314082, ' No': -4.1611195, ' Hate': -4.3864346, 'Yes': -6.0937915, ' Nope': -8.39475}
{' Yes': -0.034514185, ' No': -3.4363334, 'Yes': -6.417704, 'No': -9.428557, ' yes': -11.357145}
{' Yes': -0.0016749966, 'Yes': -6.4369006, ' yes': -10.025559, ' YES': -11.44055, '\n': -11.6428}
{' Yes': -0.028027782, ' Ring': -3.8813753, 'Yes': -5.469536, ' Gr': -7.7763634, '\n': -8.067995}
{' Yes': -0.0008505161, 'Yes': -7.3388, ' No': -9.057193, ' yes': -10.438991, ' Ring': -11.324847}
{' Yes': -0.00084502774, 'Yes': -7.3784556, ' Bear': -8.790152, ' yes': -10.170254, ' YES': -11.709774}
{' Yes': -0.001489449, 'Yes': -6.5639434, ' yes': -10.127875, '\n': -11.262101, ' YES': -11.476754}
{' Yes': -0.002065722, 'Yes': -6.237383, ' yes': -9.88199, '\n': -10.613569, ' YES': -10.82913}
{' Yes': -0.0019522448, 'Yes': -6.31631, ' No': -9.6172285, ' yes': -10.092888, '\n': -11.042657}
{' Yes': -0.0018626666, 'Yes': -6.3513627, ' yes': -9.972815, '\n': -10.799189, ' YES': -11.016821}
{' Yes': -0.002162844, 'Yes': -6.1919875, ' yes': -9.966593, '\n': -9.972753, ' YES': -11.361981}
{' Yes': -0.0029943308, 'Yes': -5.9079695, ' yes': -9.579747, ' Sk': -9.676665, ' Skin': -9.791974}
{' Yes': -0.0039538424, 'Yes': -5.6307063, ' No': -8.433668, ' yes': -9.638296, ' Sk': -10.662557}
{' Yes': -0.002623919, 'Yes': -5.9960113, ' yes': -9.572593, '\n': -10.601321, ' No': -11.049468}
{' Yes': -0.0032385178, 'Yes': -5.8348536, ' yes': -9.35715, '\n': -9.579202, ' No': -9.628598}
{' Yes': -0.0012823958, 'Yes': -6.7068977, ' Sure': -10.34606, ' yes': -11.704469, '\n': -12.008602}
{' Yes': -0.0021668463, 'Yes': -6.1931896, ' Che': -10.145378, ' yes': -10.55562, ' Sure': -10.935519}
{' Yes': -0.0018513782, 'Yes': -6.49787, ' No': -8.826693, ' yes': -9.312297, ' YES': -10.093125}
{' Yes': -0.001442414, 'Yes': -6.691691, ' yes': -9.529674, ' Male': -10.160223, ' YES': -10.40134}
{' Yes': -0.0017660504, 'Yes': -6.402763, ' No': -9.645755, ' yes': -10.70756, ' YES': -11.996636}
{' Yes': -0.0032117867, 'Yes': -5.806562, ' yes': -9.70334, ' No': -10.168326, ' Done': -10.286042}
{' Yes': -0.0068012998, 'Yes': -5.3053775, ' Bike': -6.5965924, ' yes': -8.812375, ' B': -9.595166}
{' Yes': -0.0014387119, 'Yes': -6.684746, ' No': -9.005831, ' yes': -10.902447, ' Bike': -11.228166}
{' Yes': -0.009422285, ' Dead': -5.3076873, 'Yes': -5.7721496, ' No': -8.456038, ' yes': -8.51528}
{' Yes': -0.0034161364, 'Yes': -5.878297, ' Dead': -8.388473, ' No': -8.867247, ' yes': -9.096665}
{' Yes': -0.0035994668, 'Yes': -5.731095, ' yes': -8.76936, ' YES': -9.204309, ' Cave': -10.4399185}
{' Yes': -0.0014098212, 'Yes': -6.631407, ' yes': -10.432106, ' YES': -10.828615, ' Sure': -10.859873}
{' Yes': -0.0054993588, 'Yes': -5.3439755, ' No': -7.70953, ' Moon': -9.188387, ' yes': -9.690908}
{' Yes': -0.040143576, ' No': -3.4847903, 'Yes': -5.159614, ' Moon': -6.3898616, 'No': -7.5195117}
{' Yes': -0.002553401, 'Yes': -6.2040567, ' No': -8.514064, ' Pain': -8.907959, ' yes': -9.786424}
{' Yes': -0.0023983438, 'Yes': -6.2742586, ' No': -8.011911, ' yes': -9.893123, '\n': -10.263334}
{' Yes': -0.0029694594, 'Yes': -5.9075675, ' Plus': -8.94975, ' No': -9.836104, ' yes': -10.315228}
{' Yes': -0.0032275738, 'Yes': -6.0936146, ' Plus': -7.202951, ' No': -9.0051155, ' yes': -10.2375965}
{' Yes': -0.006092876, 'Yes': -5.6821127, ' Area': -6.5498757, ' No': -7.1634126, ' Sure': -8.667507}
{' Yes': -0.00249771, 'Yes': -6.757548, ' Sure': -7.245219, ' Area': -8.025453, ' No': -8.9679165}
{' Yes': -0.18398099, ' Dive': -1.8306046, 'Yes': -5.1495795, ' D': -7.833553, ' yes': -8.227319}
{' Yes': -0.3464785, ' Dive': -1.2478666, 'Yes': -5.6019297, ' D': -7.3308973, ' YES': -8.341737}
{' Yes': -0.0007005525, 'Yes': -7.3207316, ' Sure': -11.532338, ' yes': -11.703429, ' Hear': -12.319432}
{' Yes': -0.0058385804, ' Hear': -5.7588325, 'Yes': -5.995266, ' Hearth': -10.362545, '\n': -10.396153}
{' Yes': -0.0027634718, 'Yes': -5.9737062, ' Bush': -8.960893, ' yes': -9.806968, ' YES': -11.466407}
{' Yes': -0.012380961, ' Bush': -4.8226933, 'Yes': -5.589103, '\n': -8.722872, ' yes': -9.096453}
{' Yes': -0.001255418, 'Yes': -6.817669, ' No': -9.718142, ' yes': -10.082188, ' Near': -10.345154}
{' Yes': -0.00201985, 'Yes': -6.7269187, ' No': -7.3682036, ' Near': -9.187788, ' yes': -10.18294}
{' Yes': -0.31322688, ' Mile': -1.3474962, ' Miles': -5.984033, ' No': -6.022912, 'Yes': -6.4042244}
{' Yes': -0.0036335648, 'Yes': -6.031429, ' Mile': -7.1166797, ' No': -8.710247, ' Miles': -9.406138}
{' Yes': -0.06577687, ' Navy': -2.806915, 'Yes': -5.846166, ' yes': -9.259028, ' YES': -9.924473}
{' Yes': -0.0028653257, 'Yes': -5.917383, ' Navy': -9.722956, ' yes': -9.7909775, ' YES': -10.655336}
{' Yes': -0.19235258, ' No': -1.7692778, 'Yes': -6.0578594, ' Nope': -7.2342625, 'No': -7.4034348}
{' Yes': -0.6724918, ' No': -0.7334925, ' Okay': -5.688054, 'Yes': -6.069981, 'No': -6.175394}
{' Yes': -0.0014259979, 'Yes': -6.871636, ' No': -8.257255, ' Math': -10.333249, ' yes': -10.582113}
{' Yes': -0.0010977585, 'Yes': -6.9353757, ' No': -10.042253, '\n': -10.241816, ' yes': -10.925315}
{' Yes': -0.003126101, 'Yes': -6.3413334, ' Beef': -6.9738674, ' Bee': -8.432978, ' No': -9.453999}
{' Yes': -0.007302579, ' Bee': -5.9844127, ' No': -6.2205, 'Yes': -6.495818, ' Beef': -6.901704}
{' Yes': -0.0028692707, 'Yes': -5.932022, ' Milk': -8.770241, ' yes': -10.321955, ' YES': -11.60821}
{' Yes': -0.0028646085, 'Yes': -6.0911574, ' Milk': -7.786905, ' No': -9.075921, ' yes': -10.063991}
{' Yes': -0.0059511787, 'Yes': -5.235159, ' Bass': -7.7895007, ' yes': -9.3947935, ' YES': -10.09962}
{' Yes': -0.003094175, 'Yes': -5.8329544, ' Bass': -9.424261, ' yes': -10.3041, ' YES': -10.731426}
{' Yes': -0.0023661996, 'Yes': -6.167893, ' Bird': -9.210347, ' yes': -9.317975, ' YES': -10.325374}
{' Yes': -0.0078042285, ' Bird': -5.146465, 'Yes': -6.402791, ' yes': -8.830144, ' YES': -10.314845}
{' Yes': -0.0032355874, 'Yes': -5.9665456, ' YES': -8.048512, ' yes': -9.070563, ' Live': -9.931202}
{' Yes': -0.0027714204, 'Yes': -5.9527774, ' yes': -9.6484, ' YES': -9.704438, '\n': -11.092192}
{' Yes': -0.011755897, ' Need': -4.8141203, 'Yes': -5.980298, ' yes': -7.845784, ' No': -8.9230175}
{' Yes': -0.0012453914, 'Yes': -6.8675423, ' Need': -9.1860485, ' yes': -9.785968, ' YES': -11.358909}
{' Yes': -0.0013231566, 'Yes': -6.668124, ' yes': -10.731198, '\n': -11.275102, ' YES': -11.88961}
{' Yes': -0.001443607, 'Yes': -6.6002727, ' yes': -10.254128, ' YES': -11.141908, ' No': -11.821735}
{' Yes': -0.0107238665, ' No': -5.4277215, 'Yes': -5.5885487, ' Po': -6.0954766, ' yes': -9.788055}
{' Yes': -0.010418037, ' Po': -5.0342255, 'Yes': -5.7968597, ' No': -7.487949, '\n': -9.918061}
{' Yes': -0.0044755545, 'Yes': -5.6513586, ' Cro': -7.4662175, ' yes': -8.991196, ' Rock': -9.49502}
{' Yes': -0.08257248, ' Cro': -2.6181693, 'Yes': -5.4130697, ' Rock': -7.6935186, ' yes': -7.82845}
{' Yes': -0.002612505, 'Yes': -6.0183845, ' yes': -9.650537, ' No': -10.041348, ' Last': -10.592689}
{' Yes': -0.0039406787, 'Yes': -5.596863, ' yes': -9.2304, ' Last': -10.172153, ' YES': -10.470992}
{' Yes': -0.003994117, 'Yes': -6.2671046, ' Door': -6.279705, ' yes': -9.23774, ' Sure': -10.039513}
{' Yes': -0.01274945, ' Door': -4.763835, 'Yes': -5.6176405, ' yes': -8.490454, ' Sure': -9.911543}
{' Yes': -0.0058410987, 'Yes': -5.1990685, ' No': -9.025008, ' yes': -9.865294, ' YES': -10.360687}
{' Yes': -0.013883348, 'Yes': -4.8584895, ' No': -5.2819133, '\n': -8.119744, ' To': -8.188232}
{' Yes': -0.013052491, ' Maze': -4.624205, 'Yes': -5.857594, ' yes': -9.135822, ' YES': -9.723755}
{' Yes': -0.003090467, 'Yes': -5.87534, ' Maze': -8.718332, '\n': -10.129383, ' yes': -10.4604225}
{' Yes': -0.014827953, ' Monk': -5.3504677, 'Yes': -5.3546524, ' No': -5.9444118, ' Mon': -6.4007907}
{' Yes': -0.00809512, 'Yes': -5.5746255, ' Mon': -5.856207, ' Monk': -7.8528275, ' Monkey': -8.198151}
{' Yes': -0.0010990717, 'Yes': -7.0408173, ' Yep': -9.229147, ' yes': -9.691463, ' Camp': -10.491331}
{' Yes': -0.0027858256, 'Yes': -6.262311, ' Camp': -7.388085, ' yes': -9.042325, ' Yep': -9.893109}
{' Yes': -0.009726787, ' Most': -4.966386, 'Yes': -5.963187, ' yes': -9.865848, '\n': -10.323789}
{' Yes': -0.0070291883, ' Most': -5.264359, 'Yes': -6.3807583, '\n': -9.775841, ' yes': -10.115938}
{' Yes': -0.0025452743, 'Yes': -6.5390816, ' Trip': -6.9733987, ' yes': -9.681244, ' YES': -10.055775}
{' Yes': -0.0014614556, 'Yes': -6.6426444, ' yes': -9.759214, ' Trip': -10.079586, ' YES': -10.895617}
{' Yes': -0.27498376, ' Dusk': -1.4905123, 'Yes': -4.671479, ' D': -5.315131, ' yes': -8.497913}
{' Yes': -0.0030552521, 'Yes': -5.86576, ' No': -8.6945505, ' yes': -10.480652, '\n': -11.580018}
{' Yes': -0.001133738, 'Yes': -7.083319, ' No': -8.8395605, ' yes': -10.332791, ' YES': -10.48852}
{' Yes': -0.0011634555, 'Yes': -6.843878, ' yes': -10.636429, ' Hell': -10.7179985, ' YES': -10.9529915}
{' Yes': -0.0013071621, 'Yes': -6.7245693, ' No': -9.637987, ' yes': -11.353976, ' YES': -11.758767}
{' Yes': -0.021202201, ' Lawn': -4.6229076, ' No': -4.806059, 'Yes': -6.074316, ' lawn': -8.825041}
{' Yes': -0.03843983, ' Hill': -3.3286521, 'Yes': -6.600156, ' yes': -8.790575, ' No': -9.228659}
{' Yes': -0.0013229182, 'Yes': -6.910662, ' No': -8.488246, ' yes': -9.985713, ' Hill': -10.312856}
{' Yes': -0.0012803064, 'Yes': -6.750604, ' No': -9.354227, ' yes': -11.70269, ' Sure': -12.344542}
{' Yes': -0.0017497487, 'Yes': -6.46884, ' Take': -9.716845, ' yes': -10.061913, ' YES': -10.6891985}
{' Yes': -0.0012933752, 'Yes': -6.7457767, ' Part': -10.326305, ' yes': -10.384525, '\n': -10.898088}
{' Yes': -0.0012736212, 'Yes': -6.746949, ' yes': -10.095847, '\n': -10.190532, ' YES': -11.719125}
{' Yes': -0.0016371437, 'Yes': -6.56394, ' No': -8.745407, '\n': -10.857876, ' Sure': -10.87044}
{' Yes': -0.0022959406, 'Yes': -6.211496, ' No': -9.009112, ' Pick': -9.658504, ' yes': -10.016879}
{' Yes': -0.002287934, 'Yes': -6.179122, ' Jane': -9.72606, ' Sure': -9.869508, ' yes': -10.1243925}
{' Yes': -0.0011222807, 'Yes': -6.8901043, ' Sure': -10.182114, ' yes': -10.602079, ' No': -11.595481}
{' Yes': -0.008015089, 'Yes': -5.5275745, ' No': -6.381367, ' Dead': -6.8078694, ' De': -6.978815}
{' Yes': -0.012977069, 'Yes': -5.4701858, ' Dead': -5.5429587, ' De': -5.740918, ' No': -6.985173}
{' Yes': -0.0037652426, 'Yes': -5.638865, ' yes': -9.116931, ' YES': -10.272697, ' Kiss': -10.85151}
{' Yes': -0.0076349624, 'Yes': -5.066135, ' Kiss': -7.8503504, ' yes': -7.9225593, ' No': -8.196591}
{' Yes': -0.0022341672, 'Yes': -6.2379513, ' Soda': -8.546156, ' yes': -10.325954, ' No': -10.735861}
{' Yes': -0.0032290092, 'Yes': -5.7825346, ' No': -9.749093, ' yes': -10.254338, ' Sure': -10.838185}
{' Yes': -0.002391412, 'Yes': -6.1506395, ' No': -8.79247, ' yes': -9.763581, ' YES': -11.119114}
{' Yes': -0.020669991, ' No': -4.064914, 'Yes': -5.9960766, ' Gone': -7.600954, ' yes': -9.3909855}
{' Yes': -0.0036154971, 'Yes': -6.054019, ' Fire': -7.2869496, ' Sure': -8.590301, '\n': -8.761062}
{' Yes': -0.0016485482, 'Yes': -6.660504, ' Sure': -8.933513, ' Fire': -9.632208, ' yes': -9.740177}
{' Yes': -0.0029179894, 'Yes': -5.9237895, ' yes': -8.859281, ' YES': -10.010833, '\n': -11.392998}
{' Yes': -0.0031473888, 'Yes': -5.9014945, ' yes': -8.310362, ' YES': -9.921636, '\n': -10.612595}
{' Yes': -0.0021001252, 'Yes': -6.3098507, ' No': -8.451977, ' yes': -10.079355, ' Yep': -12.151624}
{' Yes': -0.024620006, ' Push': -4.0589995, 'Yes': -5.27754, ' P': -7.8460546, ' No': -8.136916}
{' Yes': -0.01841866, ' No': -4.181266, 'Yes': -6.2627726, ' Stop': -7.0731883, 'No': -9.613961}
{' Yes': -0.033748627, ' Stop': -3.7360952, ' No': -5.1111507, 'Yes': -6.0955367, ' Nope': -7.4734}
{' Yes': -0.018199453, ' Late': -4.253553, 'Yes': -5.770915, ' Sure': -8.856606, ' yes': -9.209135}
{' Yes': -0.0021485663, 'Yes': -6.578051, ' Late': -7.6738515, ' No': -8.480277, ' Sure': -10.418104}
{' Yes': -0.0042389072, 'Yes': -5.6330338, ' No': -8.321766, ' yes': -8.551573, ' Sure': -9.774004}
{' Yes': -0.009518441, 'Yes': -4.869866, ' West': -7.3847117, ' yes': -8.009001, ' No': -8.144699}
{' Yes': -0.0017384043, 'Yes': -6.3937626, ' YES': -10.584747, ' yes': -10.745075, 'yes': -12.245432}
{' Yes': -0.008235499, ' No': -5.271398, 'Yes': -6.1079893, ' Wife': -7.362588, ' Sure': -10.3515625}
{' Yes': -0.0033505866, 'Yes': -6.0445867, ' No': -7.5606375, ' Frog': -8.408673, ' yes': -8.972472}
{' Yes': -0.002077544, 'Yes': -6.308846, ' Frog': -9.60862, ' yes': -9.688593, ' No': -10.00569}
{' Yes': -0.0026542188, 'Yes': -6.06796, ' Duck': -8.907443, ' yes': -9.831044, ' Absolutely': -10.065942}
{' Yes': -0.0030658336, 'Yes': -5.952454, ' yes': -9.187691, ' No': -9.404356, ' Duck': -9.525095}
{' Yes': -0.007955847, 'Yes': -5.4491196, ' Bank': -5.6937995, ' yes': -8.889887, ' YES': -10.075085}
{' Yes': -0.0015450263, 'Yes': -6.508594, ' yes': -10.737253, ' YES': -11.403166, ' Sure': -11.417449}
{' Yes': -0.0016496202, 'Yes': -6.4250727, ' yes': -11.23676, ' Sure': -12.12743, ' YES': -12.844984}
{' Yes': -0.005458244, 'Yes': -5.545978, ' Test': -6.761258, ' yes': -8.90718, ' Best': -10.238862}
{' Yes': -0.0037874996, 'Yes': -5.742086, ' Stay': -7.5897818, ' yes': -10.514922, ' YES': -11.42753}
{' Yes': -0.01179751, ' Stay': -4.856932, 'Yes': -5.606467, ' yes': -9.760796, ' Sure': -9.762002}
{' Yes': -0.00852545, 'Yes': -5.5360484, ' Ye': -6.0337343, ' No': -6.859939, ' East': -7.7949224}
{' East': -0.95817167, ' Yes': -0.99040204, ' Ye': -2.9579437, ' Feast': -3.399343, ' Le': -3.5017352}
{' Yes': -0.003496939, 'Yes': -6.3141317, ' No': -6.431422, ' Sure': -10.917351, ' yes': -11.156463}
{' Yes': -0.045366667, ' High': -3.4075243, ' No': -5.18157, 'Yes': -5.9350567, ' Yeah': -6.523307}
{' Yes': -0.005157733, ' No': -5.724487, 'Yes': -6.3665366, ' Draw': -9.988411, ' Sure': -10.025167}
{' Draw': -0.57549775, ' Yes': -0.88185406, ' No': -5.386775, ' Drew': -5.4921007, ' Drawn': -5.7891726}
{' King': -0.5678635, ' Yes': -0.88836676, 'King': -4.5544662, ' Kings': -5.4152746, 'Yes': -6.0500116}
{' Yes': -0.008527975, ' King': -5.627296, 'Yes': -5.7787037, ' No': -6.4843864, 'King': -9.975648}
{' Yes': -0.63131, ' No': -0.76546526, 'Yes': -6.847531, 'No': -6.9517345, ' Nope': -7.1185875}
