{' Right': -0.019237828, ' right': -3.9719508, 'Right': -9.226725, ' "': -9.861021, 'right': -10.116972}
{' Right': -0.32894966, ' right': -1.2728963, 'right': -8.534932, 'Right': -9.268566, ' RIGHT': -11.907322}
{' Left': -0.18810835, ' left': -1.7657375, 'left': -8.236188, 'Left': -8.907794, ' "': -11.272697}
{' Right': -0.051823538, ' right': -2.9975686, 'Right': -7.8231206, 'right': -8.794959, ' RIGHT': -10.861964}
{' Left': -0.2186039, ' left': -1.6350659, 'left': -6.9675374, 'Left': -7.661549, ' "': -12.452356}
{' Right': -0.22148246, ' right': -1.620269, 'right': -7.6716866, 'Right': -7.995248, ' RIGHT': -11.592175}
{' Left': -0.2144193, ' left': -1.6513833, 'left': -7.194682, 'Left': -7.838366, ' "': -9.776836}
{' Right': -0.069723636, ' right': -2.7181113, 'Right': -7.0746574, 'right': -7.800513, ' "': -10.036596}
{' Left': -0.33488402, ' left': -1.26596, 'left': -6.3398066, 'Left': -7.099315, ' "': -11.7428}
{' Right': -0.25078684, ' right': -1.5149183, 'right': -6.8161306, 'Right': -7.0889153, ' RIGHT': -10.784991}
{' Left': -0.2636081, ' left': -1.4731685, 'left': -6.567118, 'Left': -6.8612504, ' "': -9.854362}
{' right': -0.47460386, ' Right': -0.97504246, 'right': -7.869379, 'Right': -8.4191, ' RIGHT': -10.098724}
{' left': -0.2872578, ' Left': -1.3919102, 'left': -7.0592966, 'Left': -8.512235, ' "': -11.494731}
{' right': -0.17417087, ' Right': -1.8376822, 'right': -7.4908953, 'Right': -9.361312, ' RIGHT': -12.071506}
{' left': -0.22265935, ' Left': -1.6164583, 'left': -7.131255, 'Left': -8.93747, ' "': -9.650759}
{' Right': -0.27303317, ' right': -1.443487, 'Right': -6.348422, 'right': -6.990121, ' "': -9.375929}
{' left': -0.6073937, ' Left': -0.7994256, 'left': -5.5582886, 'Left': -6.3581123, '\n': -10.800034}
{' Right': -0.50344616, ' right': -0.93331105, 'right': -6.745897, 'Right': -6.843868, ' ': -10.238235}
{' Left': -0.5668772, ' left': -0.85032254, 'left': -5.8087177, 'Left': -6.0691276, ' "': -9.656138}
{' Right': -0.03842713, ' right': -3.2925925, 'Right': -7.9412284, 'right': -8.9831705, ' RIGHT': -10.239612}
{' Left': -0.13130301, ' left': -2.1032403, 'left': -7.4420075, 'Left': -7.8723364, '\n': -11.716652}
{' Right': -0.18430157, ' right': -1.7868156, 'right': -7.722036, 'Right': -8.049524, ' ': -10.571586}
{' Left': -0.136018, ' left': -2.07187, 'left': -7.30008, 'Left': -7.650838, ' "': -10.277972}
{' Right': -0.42244056, ' right': -1.1454613, 'right': -4.1881533, 'Right': -4.494508, ' RIGHT': -9.604927}
{' left': -0.602159, ' Left': -0.85804516, 'left': -4.0258837, 'Left': -4.556413, ' ': -10.5489}
{' Right': -0.6131077, ' right': -0.8767356, 'right': -3.72426, 'Right': -4.019533, ' ': -9.572636}
{' Left': -0.70548725, ' left': -0.73025805, 'Left': -4.3971066, 'left': -4.424332, ' ': -10.008297}
{' Right': -0.026677491, ' right': -3.645961, 'Right': -8.759054, 'right': -9.772521, ' RIGHT': -11.576713}
{' Left': -0.1315032, ' left': -2.107644, ' Right': -7.167128, 'Left': -7.621651, 'left': -7.8317437}
{' Right': -0.05167094, ' right': -2.9934661, 'Right': -8.835178, 'right': -9.924299, ' RIGHT': -10.723366}
{' Left': -0.1365941, ' left': -2.0615685, 'left': -8.429982, 'Left': -8.518523, ' Right': -13.168612}
{' Right': -0.050438587, ' right': -3.0280747, 'Right': -7.63536, 'right': -8.185462, ' RIGHT': -11.511315}
{' Left': -0.11898253, ' left': -2.2098162, 'Left': -6.6487346, 'left': -6.8414397, ' Right': -9.473736}
{' Right': -0.048413575, ' right': -3.0689232, 'Right': -7.4860682, 'right': -8.874024, ' RIGHT': -10.101169}
{' Left': -0.12582023, ' left': -2.1464882, 'left': -7.250816, 'Left': -7.3936687, ' "': -12.184875}
{' Right': -0.075802125, ' right': -2.6451266, 'Right': -6.68474, 'right': -7.2619967, ' RIGHT': -10.566098}
{' Left': -0.15643951, ' left': -1.9560324, 'Left': -6.2646103, 'left': -6.545277, ' "': -10.427437}
{' Right': -0.055293992, ' right': -2.9489858, 'Right': -6.994539, 'right': -8.015481, ' "': -9.46301}
{' Left': -0.17876491, ' left': -1.8258406, 'left': -6.5574994, 'Left': -6.7547917, ' "': -10.734734}
{' Right': -0.47512203, ' right': -0.9750553, 'right': -7.366053, 'Right': -7.9985538, ' RIGHT': -11.060078}
{' Left': -0.5706294, ' left': -0.85145974, ' Right': -5.4229774, ' right': -6.3276505, 'left': -6.7793164}
{' Right': -0.49867243, ' right': -0.93693537, 'Right': -7.9320865, 'right': -7.992904, ' RIGHT': -9.6471}
{' left': -0.5141731, ' Left': -0.9141956, 'left': -7.0486135, 'Left': -8.148845, ' "': -12.30639}
{' Right': -0.12436771, ' right': -2.169034, 'Right': -6.2656236, 'right': -7.2515035, ' ': -10.795724}
{' Left': -0.24500337, ' left': -1.5597368, 'Left': -5.3579583, 'left': -6.046607, ' Right': -10.854957}
{' Right': -0.17095797, ' right': -1.8737283, 'Right': -5.9790745, 'right': -7.0690064, ' RIGHT': -9.010355}
{' Left': -0.35807738, ' left': -1.2165291, 'Left': -6.0366693, 'left': -6.072745, ' ': -11.157534}
{' Right': -0.022401923, ' right': -3.8286326, 'Right': -8.191744, 'right': -9.022366, ' RIGHT': -11.722568}
{' Left': -0.10908342, ' left': -2.283148, 'Left': -7.286182, 'left': -7.383186, ' Right': -9.61482}
{' Right': -0.025964947, ' right': -3.6856635, 'Right': -7.9792085, 'right': -9.215307, ' RIGHT': -9.718519}
{' Left': -0.055818986, ' left': -2.9240003, 'Left': -8.116787, 'left': -8.239599, ' "': -12.140475}
{' Right': -0.19778049, ' right': -1.9212872, 'Right': -3.7843568, 'right': -4.588114, ' ': -9.154597}
{' Left': -0.3620448, ' left': -1.2646499, 'Left': -4.171724, 'left': -5.125459, ' ': -10.360379}
{' Right': -0.34687614, ' right': -1.3367558, 'Right': -4.1413436, 'right': -4.2499156, ' RIGHT': -9.352555}
{' left': -0.6410094, ' Left': -0.8386145, 'left': -3.7069483, 'Left': -4.11514, ' ': -10.011132}
{' right': -0.68631375, ' left': -1.4474794, ' Right': -1.5670797, ' Left': -3.04492, 'right': -5.852003}
{' left': -0.94418806, ' Left': -1.0147772, ' Right': -1.9792299, ' right': -2.2299337, 'left': -6.404647}
{' Right': -0.6280884, ' right': -1.1553463, ' Left': -2.3996243, ' left': -2.8354077, 'right': -6.700306}
{' Right': -0.9769152, ' right': -1.1498468, ' left': -1.7533778, ' Left': -2.036577, ' "': -6.767366}
{' Right': -1.003567, ' left': -1.4552901, ' Left': -1.60907, ' right': -1.6767942, 'left': -5.4806614}
{' Left': -0.29861942, ' left': -1.4734241, ' Right': -3.9438374, 'left': -5.4571543, ' right': -5.582503}
{' Left': -0.39700866, ' left': -1.1830328, ' Right': -4.458118, 'left': -5.340713, ' right': -5.692346}
{' Right': -0.48128715, ' right': -1.5500796, ' Left': -2.4149287, ' left': -2.6723557, ' "': -5.1861663}
{' left': -0.7866703, ' Left': -1.3292652, ' Right': -1.9659077, ' right': -2.092054, 'left': -4.7974277}
{' Left': -0.7952906, ' left': -0.8813636, ' Right': -2.5781333, ' right': -3.0447528, 'left': -4.96806}
{' Left': -0.28855953, ' left': -1.409268, 'left': -5.5621133, 'Left': -6.4936943, ' Right': -7.335352}
{' Right': -0.48270145, ' right': -1.25591, ' Left': -3.151059, ' left': -3.1788454, ' "': -5.2590575}
{' right': -0.65597373, ' Right': -1.4414428, ' left': -1.717398, ' Left': -2.8388445, 'right': -5.7204614}
{' left': -0.25222024, ' Left': -1.6737177, ' right': -3.6732845, ' Right': -5.0795536, 'left': -5.7963047}
{' left': -1.026538, ' right': -1.1979059, ' Left': -1.6706954, ' Right': -1.9293396, 'right': -6.0002704}
{' left': -0.779593, ' right': -1.3620152, ' Left': -1.9279257, ' Right': -2.023501, ' "': -5.812823}
{' left': -0.8654008, ' right': -1.5835024, ' Left': -1.6662564, ' Right': -1.8783175, 'left': -4.430737}
{' Left': -0.7113854, ' left': -0.71511626, 'left': -4.2495246, 'Left': -5.6042147, ' Right': -6.757852}
{' Left': -0.39661965, ' left': -1.1752775, 'left': -4.7002087, 'Left': -5.4658446, ' Right': -5.580358}
{' Right': -1.0067225, ' right': -1.4970578, ' left': -1.5450584, ' Left': -1.7992182, 'right': -4.8165503}
{' left': -0.27367094, ' Left': -1.9307164, ' right': -2.825501, ' Right': -3.7532985, 'left': -4.828631}
{' left': -0.35773814, ' Left': -1.5097138, ' right': -3.0191092, ' Right': -3.849153, 'left': -4.9478927}
{' Left': -0.3024176, ' left': -1.3602904, 'left': -5.932267, 'Left': -7.2618136, ' Right': -7.55133}
{' Right': -0.2382055, ' right': -1.8641952, ' Left': -3.3255565, ' left': -4.287884, ' "': -5.5768185}
{' Right': -0.47055456, ' right': -1.2766516, ' Left': -3.3355544, ' left': -3.5566103, 'right': -3.99007}
{' left': -0.71711874, ' Left': -1.0538135, ' Right': -2.7190242, ' right': -2.7476707, 'left': -4.0002074}
{' left': -0.6269668, ' Left': -0.96678, ' right': -3.6177278, 'left': -3.7496667, ' Right': -3.7620585}
{' Right': -0.805933, ' right': -0.93332297, ' left': -2.5922678, ' Left': -2.9976728, 'right': -3.8362331}
{' left': -0.55558497, ' Left': -0.85562414, 'left': -6.823083, 'Left': -8.780189, ' Right': -13.204503}
{' Right': -0.25707558, ' right': -1.4863198, 'right': -8.430154, 'Right': -8.440085, ' RIGHT': -10.778024}
{' left': -0.5327839, ' Left': -0.8866638, 'left': -7.1017385, 'Left': -8.666035, ' "': -12.8930855}
{' Right': -0.5009901, ' right': -0.9325927, 'right': -7.913305, 'Right': -8.779586, ' RIGHT': -11.617276}
{' Left': -0.2654743, ' left': -1.4683819, 'left': -6.12318, 'Left': -7.3230586, ' "': -12.447335}
{' Right': -0.047527704, ' right': -3.0903685, 'Right': -7.397945, 'right': -8.228197, ' RIGHT': -10.793196}
{' Left': -0.45557326, ' left': -1.0132343, 'left': -6.128717, 'Left': -7.3270025, ' "': -10.674424}
{' Right': -0.21020599, ' right': -1.6688223, 'right': -7.4511228, 'Right': -7.5867543, ' ': -11.338687}
{' Left': -0.32766253, ' left': -1.2856703, 'left': -6.1522965, 'Left': -7.1489286, ' ': -11.93773}
{' Right': -0.05597303, ' right': -2.9358327, 'Right': -7.054044, 'right': -7.837707, ' "': -10.377865}
{' Left': -0.23705727, ' left': -1.5682777, 'left': -6.507208, 'Left': -6.7880554, ' ': -11.162508}
{' Right': -0.09612286, ' right': -2.4058666, 'Right': -7.0781345, 'right': -7.463819, ' ': -10.805562}
{' left': -0.1674202, ' Left': -1.885205, 'left': -6.122786, 'Left': -8.754099, ' "': -12.544519}
{' right': -0.524447, ' Right': -0.89925253, 'right': -7.1673927, 'Right': -7.8671646, ' RIGHT': -10.144026}
{' left': -0.14950861, ' Left': -1.9840976, 'left': -6.7385187, 'Left': -8.739935, ' ': -11.457338}
{' right': -0.21563621, ' Right': -1.6463382, 'right': -6.8798285, 'Right': -8.750068, ' ': -11.153837}
{' left': -0.62334937, ' Left': -0.7857964, 'left': -5.081462, 'Left': -6.2836156, ' ': -11.4784565}
{' Right': -0.28879803, ' right': -1.4000269, 'Right': -6.0706196, 'right': -6.377459, ' "': -9.15074}
{' Left': -0.55872214, ' left': -0.86657566, 'left': -5.366307, 'Left': -5.8236985, ' ': -10.595271}
{' Right': -0.23394862, ' right': -1.581742, 'Right': -6.372847, 'right': -6.709067, ' ': -10.422892}
{' Left': -0.11077375, ' left': -2.2658622, 'left': -7.1568875, 'Left': -8.007162, ' ': -12.845764}
{' Right': -0.020133747, ' right': -3.9347055, 'Right': -8.29066, 'right': -9.361503, ' "': -11.032956}
{' Left': -0.21349385, ' left': -1.6587014, 'left': -6.691368, 'Left': -7.4388866, ' ': -11.002661}
{' Right': -0.034644127, ' right': -3.3944426, 'Right': -8.239297, 'right': -8.527137, ' ': -10.991755}
{' Left': -0.5892189, ' left': -0.84991336, 'left': -4.478766, 'Left': -5.05238, ' ': -10.156063}
{' Right': -0.17968431, ' right': -1.8971962, 'Right': -4.753964, 'right': -5.159991, ' RIGHT': -9.767758}
{' Left': -0.67072207, ' left': -0.7691451, 'Left': -4.209344, 'left': -4.569633, ' ': -10.35709}
{' Right': -0.36402705, ' right': -1.3044683, 'Right': -3.8856065, 'right': -4.331112, ' ': -9.352755}
{' Left': -0.64831555, ' left': -0.7422696, 'left': -7.3099647, 'Left': -7.9770904, ' Right': -10.971256}
{' Right': -0.060222495, ' right': -2.8472514, 'Right': -8.191069, 'right': -8.942294, ' RIGHT': -10.776842}
{' Left': -0.07173711, ' left': -2.674978, 'Left': -8.610135, 'left': -8.927367, ' Right': -14.019214}
{' Right': -0.023406709, ' right': -3.7793272, 'Right': -8.56026, 'right': -9.882116, ' RIGHT': -10.37568}
{' Left': -0.3390376, ' left': -1.2553279, 'left': -6.47107, 'Left': -6.9208755, ' "': -10.786459}
{' Right': -0.09758879, ' right': -2.3889608, 'Right': -7.293971, 'right': -7.509621, ' RIGHT': -11.259622}
{' Left': -0.06342338, ' left': -2.8063583, 'Left': -7.462734, 'left': -7.7097588, ' "': -12.188247}
{' Right': -0.016333299, ' right': -4.172442, 'Right': -7.5091004, 'right': -8.914501, ' "': -9.6142025}
{' Left': -0.4091666, ' left': -1.1059364, 'left': -5.881481, 'Left': -6.196276, ' "': -9.976105}
{' Right': -0.06404157, ' right': -2.8163185, 'Right': -6.542509, 'right': -7.2435794, ' RIGHT': -10.441898}
{' Left': -0.07240715, ' left': -2.685553, 'Left': -6.9039264, 'left': -7.361843, ' "': -10.756237}
{' Right': -0.014619813, ' right': -4.3582745, 'Right': -6.7027454, 'right': -8.387063, ' "': -8.6356}
{' left': -0.29727933, ' Left': -1.3628387, 'left': -7.073692, 'Left': -8.050826, ' right': -10.255849}
{' right': -0.32956967, ' Right': -1.2743194, 'right': -7.0771008, 'Right': -8.255121, ' RIGHT': -10.971104}
{' Left': -0.5896673, ' left': -0.8110418, 'left': -7.3027544, 'Left': -7.7961245, ' "': -12.318187}
{' Right': -0.26873213, ' right': -1.4529533, 'right': -7.1085167, 'Right': -7.1644707, ' RIGHT': -9.547308}
{' Left': -0.2770897, ' left': -1.4517226, 'Left': -5.4465156, 'left': -5.657336, ' ': -10.8887205}
{' Right': -0.09310247, ' right': -2.4792032, 'Right': -5.743483, 'right': -6.3144197, ' ': -10.08874}
{' Left': -0.11441963, ' left': -2.2646081, 'Left': -5.877975, 'left': -6.5533667, ' ': -11.530051}
{' Right': -0.032056723, ' right': -3.6363046, 'Right': -5.5077457, 'right': -7.1440578, ' RIGHT': -8.930032}
{' Left': -0.19046834, ' left': -1.7619424, 'left': -6.939325, 'Left': -7.237295, ' "': -11.154634}
{' Right': -0.029371733, ' right': -3.5633662, 'Right': -7.8422375, 'right': -8.655661, ' ': -11.125547}
{' Left': -0.04198134, ' left': -3.2058587, 'Left': -7.960079, 'left': -8.38163, ' "': -11.809809}
{' Right': -0.018832989, ' right': -4.034652, 'Right': -7.3644867, 'right': -8.409561, ' RIGHT': -9.92297}
{' left': -0.6552178, ' Left': -0.7707001, 'left': -4.6581283, 'Left': -4.7717896, ' ': -10.678137}
{' Right': -0.33144745, ' right': -1.419626, 'right': -3.8907604, 'Right': -3.9281938, ' ': -8.904477}
{' Left': -0.23510867, ' left': -1.6512065, 'Left': -4.4971056, 'left': -5.0406904, ' ': -9.521014}
{' Right': -0.16245483, ' right': -2.1972904, 'Right': -3.6854553, 'right': -4.3280907, ' ': -8.318765}
{' Left': -0.59813184, ' left': -0.80797637, ' Right': -6.1313252, 'left': -6.920967, ' right': -6.9826703}
{' Right': -0.21636896, ' right': -1.9542859, ' Left': -3.3488019, ' left': -4.065757, 'Right': -7.9317446}
{' Right': -0.9842343, ' left': -1.4411454, ' right': -1.4594827, ' Left': -1.8582081, 'left': -7.81979}
{' Left': -1.2081747, ' left': -1.2100154, ' Right': -1.4676046, ' right': -1.7640256, 'left': -7.480426}
{' Left': -0.19391991, ' left': -1.7566526, 'left': -6.036049, 'Left': -7.122373, ' Right': -7.8136215}
{' Right': -0.073480725, ' right': -2.8332233, ' Left': -4.7235675, ' left': -6.399646, 'Right': -7.0572224}
{' Right': -0.5113816, ' Left': -1.6576372, ' right': -2.1432025, ' left': -2.4236856, 'right': -6.881056}
{' Right': -0.33927122, ' right': -1.9823737, ' Left': -2.148546, ' left': -3.4821124, 'right': -6.7252364}
{' Left': -0.18067096, ' left': -1.8414012, ' Right': -5.9014444, 'left': -5.913411, 'Left': -6.965152}
{' Right': -0.081483975, ' right': -2.7903538, ' Left': -4.477419, ' left': -6.1788993, 'Right': -6.332338}
{' Right': -0.42227736, ' Left': -1.5460033, ' right': -2.6498432, ' left': -2.8826463, 'right': -6.525443}
{' Right': -0.3347495, ' Left': -1.8827803, ' right': -2.3589709, ' left': -3.3896103, 'right': -6.2448525}
{' left': -0.62989414, ' Left': -0.7725943, ' Right': -6.288027, 'left': -6.301376, ' right': -6.6112337}
{' Right': -0.27391118, ' right': -1.6048151, ' Left': -3.7315927, ' left': -4.3157907, 'Right': -7.4667687}
{' Right': -0.8553365, ' right': -1.0287431, ' left': -2.0048308, ' Left': -2.518087, 'right': -7.117641}
{' right': -0.7760351, ' left': -1.4491478, ' Right': -1.6241931, ' Left': -2.2467191, 'right': -6.8562675}
{' left': -0.6812574, ' Left': -0.7340108, 'left': -4.4905934, 'Left': -6.277464, ' Right': -7.3965297}
{' Right': -0.47442713, ' right': -1.306672, ' left': -3.0368376, ' Left': -3.097754, 'right': -5.017405}
{' left': -1.0898508, ' Left': -1.207889, ' Right': -1.4547075, ' right': -2.1574433, 'left': -4.807767}
{' left': -0.63193214, ' Left': -0.95473945, ' Right': -3.254374, ' right': -3.4209127, 'left': -4.6777296}
{' Left': -0.11854067, ' left': -2.2083673, 'left': -6.921561, ' Right': -7.688872, 'Left': -7.76961}
{' Right': -0.036117516, ' right': -3.457239, ' Left': -5.8510966, 'Right': -7.7646403, ' left': -7.8823366}
{' Left': -0.6526385, ' Right': -1.1296779, ' left': -2.045411, ' right': -3.7171335, 'left': -6.757754}
{' Right': -0.11192223, ' right': -2.3680048, ' Left': -4.719231, ' left': -6.181409, 'right': -7.4142957}
{' left': -0.61478806, ' Left': -0.9776383, ' Right': -3.4279878, ' right': -3.6879308, 'left': -3.978893}
{' Left': -0.92274016, ' left': -1.2824606, ' Right': -1.4578164, ' right': -2.5802643, 'left': -4.8156157}
{' Right': -0.32929614, ' right': -1.6521245, ' Left': -3.244484, ' left': -3.7722147, 'right': -4.199436}
{' Left': -0.64441717, ' left': -0.8300251, 'left': -4.1826463, ' Right': -4.4261327, ' right': -5.181256}
{' Right': -0.06584161, ' right': -2.7601964, 'Right': -8.69131, 'right': -8.739938, ' Left': -9.671022}
{' Left': -0.35475075, ' left': -1.2213776, ' Right': -6.37864, 'left': -6.4721556, ' right': -7.8715234}
{' Right': -0.3361815, ' right': -1.2570894, 'right': -7.0715117, 'Right': -8.735971, ' RIGHT': -11.40927}
{' Left': -0.25019264, ' left': -1.5711765, ' Right': -4.541034, ' right': -6.2336254, 'left': -7.165945}
{' Right': -0.013749791, ' right': -4.3789344, 'Right': -7.192262, 'right': -8.507985, ' Left': -9.453958}
{' Left': -0.19430935, ' left': -1.7528534, 'left': -6.0356197, 'Left': -7.262666, ' Right': -8.600053}
{' Right': -0.11664302, ' right': -2.2204256, 'right': -6.936486, 'Right': -7.5313745, ' RIGHT': -11.507015}
{' Left': -0.1507758, ' left': -1.9869268, 'left': -6.395643, ' Right': -7.4347744, 'Left': -7.615228}
{' Right': -0.0065026665, ' right': -5.202374, 'Right': -7.3342514, 'right': -8.909957, ' "': -9.0434}
{' Left': -0.058008213, ' left': -2.9161723, 'left': -6.6299148, 'Left': -7.115228, ' Right': -9.829306}
{' Right': -0.06898557, ' right': -2.736382, 'Right': -7.0001335, 'right': -7.0089917, ' RIGHT': -11.064594}
{' Left': -0.061411314, ' left': -2.89975, ' Right': -6.0262375, 'left': -6.696007, 'Left': -7.299755}
{' Right': -0.14457962, ' right': -2.0182807, 'Right': -7.15036, 'right': -7.271136, ' "': -8.922827}
{' Left': -0.46624538, ' left': -1.0054394, ' Right': -5.916202, 'left': -6.0552783, ' right': -6.8057685}
{' Right': -0.6691519, ' right': -0.7217967, 'right': -6.446606, 'Right': -7.9479566, ' RIGHT': -11.14525}
{' Left': -0.49661565, ' left': -0.9553178, ' Right': -5.801612, ' right': -6.410939, 'left': -6.451829}
{' Right': -0.007755032, ' right': -5.1427574, 'Right': -6.6237307, ' "': -8.386121, 'right': -8.767129}
{' Left': -0.035526913, ' left': -3.4370577, 'Left': -6.4964356, 'left': -6.8013096, ' Right': -9.628721}
{' Right': -0.03183328, ' right': -3.6569228, ' Left': -5.7927794, 'Right': -6.65232, 'right': -7.03572}
{' Left': -0.08774884, ' left': -3.0857232, ' Right': -3.3889036, 'left': -6.2262087, 'Left': -6.7831697}
{' Right': -0.012850452, ' right': -4.406718, 'Right': -8.259701, ' "': -8.711935, 'right': -9.252785}
