{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.15839255, ' No': -2.0204854, 'Yes': -4.673638, 'No': -5.7843366, ' yes': -7.2416997}
{' No': -0.02493326, ' Yes': -4.330715, 'No': -4.533051, ' ': -7.622038, 'Yes': -8.935217}
{' Yes': -0.6847252, ' No': -0.74385685, 'No': -4.5931478, 'Yes': -4.9272065, ' ': -5.974659}
{' Yes': -0.22668178, ' No': -1.6214458, 'Yes': -5.904259, 'No': -6.8692274, ' ': -7.221379}
{' Yes': -0.091674246, ' No': -2.5007873, 'Yes': -5.75957, ' ': -6.9244623, ' yes': -6.9557867}
{' No': -0.031656772, ' Yes': -3.9470143, 'No': -4.5741735, ' ': -6.7520204, 'Yes': -8.697397}
{' Yes': -0.6050796, ' No': -0.8463248, 'No': -4.6157646, 'Yes': -4.7736893, ' ': -5.2412543}
{' Yes': -0.07799272, ' No': -2.7748196, 'Yes': -5.1342783, ' yes': -5.9301367, ' ': -6.1110315}
{' Yes': -0.02309564, 'Yes': -4.7508903, ' yes': -5.0585074, ' No': -5.1209884, ' ': -6.6159067}
{' Yes': -0.27278477, ' No': -1.4402366, ' ': -7.2578826, 'Yes': -7.296659, 'No': -8.044072}
{' Yes': -0.018742554, ' No': -4.092578, 'Yes': -6.6270685, ' ': -7.9630632, ' yes': -9.084952}
{' No': -0.2819331, ' Yes': -1.431164, 'No': -5.280709, 'Yes': -7.0793915, ' ': -7.330549}
{' Yes': -0.5272895, ' No': -0.9174777, 'No': -5.413575, 'Yes': -5.468993, ' ': -6.574929}
{' No': -0.015625164, ' Yes': -4.8289757, 'No': -4.9821453, ' ': -7.5476036, '\n': -9.686798}
{' No': -0.23337159, ' Yes': -1.6634405, 'No': -4.476871, ' ': -5.515615, 'Yes': -6.171895}
{' No': -0.19095686, ' Yes': -1.7628886, 'No': -6.646476, ' ': -7.2281747, 'Yes': -8.504782}
{' Yes': -0.46376526, ' No': -1.0020438, ' ': -6.258452, 'Yes': -6.83557, 'No': -7.095559}
{' No': -0.018008264, 'No': -4.4578714, ' Yes': -5.419133, ' ': -6.5539255, '\n': -8.003911}
{' No': -0.13869454, ' Yes': -2.1851976, 'No': -4.472242, ' ': -5.59698, 'Yes': -6.755195}
{' Yes': -0.34489095, ' No': -1.2470382, ' ': -6.468538, 'Yes': -6.620245, 'No': -6.717699}
{' No': -0.6945611, ' Yes': -0.7082426, 'No': -5.6885624, ' ': -6.0262623, 'Yes': -6.322893}
{' No': -0.010370275, 'No': -4.5770607, ' ': -10.985563, ' NO': -11.735128, ' Not': -13.012541}
{' No': -0.008605466, 'No': -4.7626624, ' ': -10.793801, ' NO': -13.016691, ' no': -13.375395}
{' No': -0.04836441, 'No': -3.0563524, ' NO': -9.460236, ' ': -9.910058, ' no': -12.006117}
{' No': -0.042303383, 'No': -3.1856081, ' ': -9.908785, ' NO': -11.596069, ' no': -12.296768}
{' No': -0.06160559, 'No': -2.8220062, ' NO': -8.9294815, ' ': -9.2556305, 'NO': -11.633618}
{' No': -0.0685156, 'No': -2.7171593, ' ': -9.07721, ' NO': -10.779103, ' no': -11.748523}
{' No': -0.018240726, 'No': -4.018109, ' ': -10.1148615, ' NO': -10.337261, ' no': -11.793572}
{' No': -0.0069999555, 'No': -4.969915, ' ': -10.553959, ' NO': -12.81054, ' no': -13.124845}
{' No': -0.0945518, 'No': -2.4082456, ' ': -8.7946, ' NO': -9.919535, '\n': -11.552249}
{' No': -0.07414918, 'No': -2.64145, ' ': -8.755252, ' X': -11.04976, ' NO': -11.700245}
{' No': -0.05014167, 'No': -3.0292008, ' ': -8.821978, ' X': -9.023271, ' NO': -9.1116495}
{' No': -0.0427421, 'No': -3.183033, ' ': -8.383455, ' X': -9.492062, ' no': -10.404372}
{' No': -0.0009382724, 'No': -6.995462, ' ': -11.267998, ' NO': -12.1530695, ' no': -12.886447}
{' No': -0.0013455388, 'No': -6.639504, ' ': -10.382238, ' no': -13.074566, ' NO': -13.134722}
{' No': -0.0072896723, 'No': -4.9353175, ' ': -9.868794, ' NO': -11.14113, ' no': -12.649766}
{' No': -0.008133821, 'No': -4.8256445, ' ': -9.634565, ' NO': -12.338598, '\n': -12.443502}
{' No': -0.004972139, 'No': -5.3293014, ' ': -9.440118, ' NO': -11.012401, '\n': -11.353438}
{' No': -0.010438816, 'No': -4.5892525, ' ': -8.673031, '\n': -10.186688, ' NO': -11.9080925}
{' No': -0.0017905312, 'No': -6.3399034, ' ': -11.014911, ' NO': -12.228251, ' no': -13.428874}
{' No': -0.002316731, 'No': -6.0852537, ' ': -10.352834, ' NO': -13.127398, ' no': -13.238637}
{' No': -0.012346984, 'No': -4.432671, ' ': -8.151444, '\n': -9.669641, ' NO': -10.601645}
{' No': -0.012469191, 'No': -4.417615, ' ': -8.267266, '\n': -9.824788, ' NO': -11.778179}
{' No': -0.006309087, 'No': -5.0958514, ' ': -9.234986, '\n': -10.16682, ' NO': -10.987763}
{' No': -0.007684634, 'No': -4.914909, ' ': -8.46225, '\n': -9.554735, ' no': -10.757288}
{' No': -0.028482657, 'No': -3.5760098, ' NO': -10.13266, ' ': -10.500407, ' Not': -11.514682}
{' No': -0.035616778, 'No': -3.359431, ' no': -9.34198, ' ': -9.401801, ' NO': -10.048017}
{' No': -0.081857935, 'No': -2.544548, ' NO': -10.265753, ' ': -10.668999, ' no': -11.728889}
{' No': -0.078317225, 'No': -2.5879912, ' ': -9.792415, ' no': -10.09335, ' NO': -10.60713}
{' No': -0.17998682, 'No': -1.808874, ' ': -7.9924045, ' NO': -8.14058, '\n': -9.364405}
{' No': -0.18415932, 'No': -1.7870797, ' ': -8.028428, ' no': -8.947505, ' NO': -9.354147}
{' No': -0.024143925, 'No': -3.743237, ' NO': -9.406998, ' ': -9.75476, ' no': -10.611006}
{' No': -0.014527822, 'No': -4.253835, ' ': -9.25426, ' no': -9.412459, ' NO': -10.619531}
{' No': -0.15720335, 'No': -1.9298303, ' ': -8.710732, ' NO': -9.699088, '\n': -10.493613}
{' No': -0.15842752, 'No': -1.9232152, ' ': -8.457931, ' no': -9.94201, '\n': -10.311873}
{' No': -0.15400904, 'No': -1.9516507, ' ': -8.506648, ' NO': -8.870379, ' no': -9.364511}
{' No': -0.12910028, 'No': -2.1225715, ' ': -7.6729918, ' no': -7.914974, '\n': -8.791604}
{' No': -0.0018271959, 'No': -6.38838, ' ': -9.215385, ' no': -10.780782, ' NO': -11.232743}
{' No': -0.002118701, 'No': -6.240464, ' ': -8.9925785, ' no': -10.507726, '\n': -11.592599}
{' No': -0.011998611, 'No': -4.442241, ' ': -9.217217, ' NO': -10.274968, ' no': -11.154416}
{' No': -0.023284564, 'No': -3.7836354, ' ': -8.496268, ' no': -10.170596, ' NO': -11.19402}
{' No': -0.011577516, 'No': -4.479191, ' ': -9.090633, '\n': -10.633582, ' NO': -10.740377}
{' No': -0.023874318, 'No': -3.7648184, ' ': -8.159494, '\n': -9.152104, ' no': -11.267679}
{' No': -0.0050167097, 'No': -5.327429, ' ': -9.374691, ' NO': -10.557976, ' no': -10.627853}
{' No': -0.0053216117, 'No': -5.2803016, ' ': -8.794131, ' no': -10.0578785, '\n': -11.371126}
{' No': -0.0138738, 'No': -4.3163867, ' ': -8.119034, '\n': -9.534661, ' NO': -10.234954}
{' No': -0.023794355, 'No': -3.783129, ' ': -7.6215987, '\n': -8.36351, ' no': -10.798504}
{' No': -0.014452047, 'No': -4.3000793, ' ': -7.8837657, '\n': -8.619153, ' no': -9.027658}
{' No': -0.017539201, 'No': -4.118907, ' ': -7.6444764, ' no': -8.070666, '\n': -8.159698}
{' No': -0.0014305355, 'No': -6.590847, ' ': -10.068552, ' NO': -11.884605, '\n': -12.413286}
{' No': -0.0021987446, 'No': -6.1723075, ' ': -9.296035, '\n': -11.295169, ' NO': -12.797563}
{' No': -0.007079611, 'No': -4.965686, ' ': -9.645013, ' NO': -11.460348, '\n': -12.917782}
{' No': -0.009816889, 'No': -4.6437755, ' ': -9.010674, '\n': -11.222154, ' NO': -11.951655}
{' No': -0.005803508, 'No': -5.1793647, ' ': -8.971005, '\n': -11.063615, ' NO': -11.626989}
{' No': -0.012171939, 'No': -4.4647474, ' ': -7.8442655, '\n': -8.602191, ' NO': -12.241131}
{' No': -0.0019386887, 'No': -6.2903996, ' ': -9.620737, ' NO': -11.501849, '\n': -12.636173}
{' No': -0.0026956939, 'No': -5.97375, ' ': -8.941092, '\n': -11.804559, ' NO': -12.311317}
{' No': -0.013225456, 'No': -4.384641, ' ': -7.5650325, '\n': -8.981548, ' NO': -11.0978775}
{' No': -0.013582896, 'No': -4.3436704, ' ': -7.8222036, '\n': -9.346209, ' NO': -12.136079}
{' No': -0.0036644344, 'No': -5.639017, ' ': -9.4265995, '\n': -11.726978, ' NO': -11.787307}
{' No': -0.0052425154, 'No': -5.2974234, ' ': -8.694814, '\n': -10.261272, ' no': -11.27244}
{' No': -0.17099382, ' Yes': -1.9125403, 'No': -4.76127, 'Yes': -7.09518, ' ': -9.999973}
{' No': -0.02821298, ' Yes': -4.001546, 'No': -4.673356, 'Yes': -8.902126, ' ': -10.033459}
{' No': -0.19762369, ' Yes': -2.0150504, 'No': -3.1551163, 'Yes': -5.7665586, ' ': -9.173444}
{' No': -0.046075262, 'No': -3.2011387, ' Yes': -5.5058165, 'Yes': -9.08401, ' ': -9.203464}
{' No': -0.62357783, ' Yes': -0.89758956, 'No': -3.1736264, 'Yes': -4.2663503, ' ': -8.166134}
{' No': -0.21653213, ' Yes': -2.0298333, 'No': -2.8474123, 'Yes': -5.331215, ' ': -7.8823524}
{' No': -0.07355983, ' Yes': -2.9060888, 'No': -4.160561, 'Yes': -7.556807, ' ': -9.632467}
{' No': -0.02101172, 'No': -4.2589536, ' Yes': -5.030579, 'Yes': -9.628452, ' ': -9.990861}
{' Yes': -0.43312275, ' No': -1.1842481, 'No': -3.6660426, 'Yes': -3.9560163, ' ': -7.6153316}
{' Yes': -0.29331183, ' No': -1.5227333, 'Yes': -3.9099839, 'No': -4.176143, ' ': -7.785922}
{' Yes': -0.037378974, ' No': -3.7102818, 'Yes': -4.5601163, 'No': -6.9207306, ' yes': -7.5157685}
{' Yes': -0.13889937, ' No': -2.1873612, 'Yes': -4.457047, 'No': -5.3971562, ' yes': -7.098114}
{' Yes': -0.19035071, ' No': -1.7605335, 'Yes': -7.041072, 'No': -8.419706, ' yes': -8.553416}
{' No': -0.17975658, ' Yes': -1.81852, 'No': -6.3370824, 'Yes': -8.039915, ' ': -9.096411}
{' Yes': -0.38633677, ' No': -1.1599994, 'Yes': -5.54128, 'No': -5.923526, ' ': -8.658771}
{' No': -0.20131144, ' Yes': -1.7800297, 'No': -4.4569535, 'Yes': -6.329533, ' ': -8.352783}
{' Yes': -0.63697475, ' No': -0.7711891, 'No': -5.496842, 'Yes': -5.5864244, ' ': -7.6362877}
{' No': -0.23122817, ' Yes': -1.6553462, 'No': -4.4139824, 'Yes': -5.9953747, ' ': -7.4754467}
{' No': -0.22258778, ' Yes': -1.6222117, 'No': -6.416193, 'Yes': -7.8778324, ' ': -10.067192}
{' No': -0.040763855, ' Yes': -3.2899683, 'No': -6.0084624, 'Yes': -9.073023, ' ': -9.261302}
{' Yes': -0.5571324, ' No': -0.88257754, 'Yes': -5.1615825, 'No': -5.198322, ' ': -6.5052314}
{' No': -0.2725773, ' Yes': -1.5040263, 'No': -4.397938, 'Yes': -5.8781643, ' ': -6.949262}
{' Yes': -0.071906626, ' No': -2.755033, 'Yes': -5.4711356, ' yes': -7.548814, 'No': -7.558805}
{' Yes': -0.6246568, ' No': -0.79357165, 'No': -5.125014, 'Yes': -5.3811855, ' ': -7.073377}
{' No': -0.4140768, ' Yes': -1.1604205, 'No': -3.8846576, 'Yes': -5.3995237, ' yes': -7.775664}
{' No': -0.26747802, ' Yes': -1.7262392, 'No': -2.9662218, 'Yes': -5.410346, ' yes': -7.7779946}
{' No': -0.1313003, ' Yes': -2.7410223, 'No': -2.8809643, 'Yes': -6.087484, ' ': -9.675587}
{' No': -0.12035634, 'No': -2.5156696, ' Yes': -3.4843395, 'Yes': -6.405358, ' ': -9.627696}
{' Yes': -0.3981214, ' No': -1.4310784, 'Yes': -2.983044, 'No': -3.3237844, ' yes': -6.6618824}
{' Yes': -0.0884484, 'Yes': -2.9309814, ' No': -3.664481, 'No': -5.64131, ' yes': -6.4441376}
{' No': -0.13445343, ' Yes': -2.2933679, 'No': -3.7673726, 'Yes': -6.5157623, ' ': -9.134802}
{' No': -0.15451464, ' Yes': -2.066107, 'No': -4.2164216, 'Yes': -6.524079, ' ': -9.03528}
{' Yes': -0.09503129, ' No': -3.1138663, 'Yes': -3.2143474, 'No': -5.331451, ' yes': -7.2743692}
{' Yes': -0.053903505, 'Yes': -3.1285627, ' No': -5.022802, ' yes': -7.017413, 'No': -7.061185}
{' Yes': -0.051019195, 'Yes': -3.4713547, ' No': -4.3091025, ' yes': -5.726447, 'No': -6.5142455}
{' Yes': -0.05315998, 'Yes': -3.3166087, ' yes': -4.815512, ' No': -5.135016, 'No': -7.148171}
{' Yes': -0.16227168, ' No': -1.9204179, 'Yes': -6.582399, ' yes': -6.684812, 'No': -8.16609}
{' No': -0.29180205, ' Yes': -1.3851477, 'No': -6.5572214, 'Yes': -7.602896, ' yes': -7.7994366}
{' Yes': -0.23438442, ' No': -1.6122415, 'Yes': -5.0800223, 'No': -6.0102196, ' yes': -7.639353}
{' No': -0.30131844, ' Yes': -1.4261523, 'No': -4.170821, 'Yes': -5.657771, ' ': -7.5185194}
{' Yes': -0.19434279, ' No': -1.7876234, 'Yes': -5.0557966, 'No': -6.3455977, ' ': -7.4529715}
{' Yes': -0.11301177, ' No': -2.3994305, 'Yes': -4.374608, 'No': -6.276908, ' yes': -7.14915}
{' No': -0.17450203, ' Yes': -1.8580632, 'No': -5.7378087, 'Yes': -7.491879, ' ': -8.5874815}
{' No': -0.14686967, ' Yes': -2.0491924, 'No': -5.174083, ' ': -6.9770794, 'Yes': -7.147964}
{' Yes': -0.117334686, ' No': -2.2965052, 'Yes': -4.9603066, ' ': -6.6861076, 'No': -6.709786}
{' Yes': -0.38457897, ' No': -1.1953318, 'Yes': -4.7744503, 'No': -5.1553993, ' ': -6.4343967}
{' Yes': -0.10262739, ' No': -2.4678445, 'Yes': -5.0840306, ' yes': -5.584883, 'No': -6.860489}
{' No': -0.49604005, ' Yes': -1.0035188, 'No': -4.431148, 'Yes': -5.335214, ' yes': -5.6007395}
{' Yes': -0.26650664, ' No': -1.4611802, 'Yes': -6.7716827, 'No': -7.7860274, ' ': -8.340078}
{' No': -0.31682742, ' Yes': -1.3129803, 'No': -6.477065, 'Yes': -7.534473, ' ': -7.990346}
{' Yes': -0.16899244, ' No': -1.9085057, 'Yes': -5.338592, 'No': -6.430196, ' ': -7.527297}
{' No': -0.14377047, ' Yes': -2.0887167, 'No': -4.7634773, 'Yes': -6.848478, ' ': -7.8727016}
{' Yes': -0.3513399, ' No': -1.2462296, 'Yes': -5.39881, 'No': -5.9939218, ' ': -6.6866436}
{' No': -0.51548856, ' Yes': -0.94525623, 'No': -4.8095636, 'Yes': -5.5011415, ' ': -6.563895}
{' No': -0.12132745, ' Yes': -2.1883383, 'No': -6.450845, ' ': -8.060149, 'Yes': -8.481679}
{' No': -0.2840264, ' Yes': -1.4140159, 'No': -5.976716, 'Yes': -7.215949, ' ': -7.2589297}
{' Yes': -0.47387788, ' No': -1.021716, 'Yes': -5.017619, 'No': -5.191293, ' ': -5.5383058}
{' No': -0.27141827, ' Yes': -1.5019119, 'No': -4.5879674, 'Yes': -6.0474253, ' ': -6.25178}
{' Yes': -0.0940161, ' No': -2.4556284, 'Yes': -5.993659, ' ': -7.4769316, 'No': -7.708033}
{' No': -0.25420117, ' Yes': -1.5289263, 'No': -5.2978716, ' ': -6.6549373, 'Yes': -6.9333787}
{' Yes': -0.005346779, 'Yes': -5.293316, ' No': -8.605122, ' yes': -9.211256, ' YES': -11.513884}
{' Yes': -0.00692667, 'Yes': -4.9966764, ' yes': -9.184481, ' YES': -10.745306, ' ': -11.381656}
{' Yes': -0.015939387, 'Yes': -4.1816955, ' yes': -8.323749, ' No': -8.484778, ' YES': -10.02036}
{' Yes': -0.01891019, 'Yes': -3.9959898, ' yes': -8.316143, ' YES': -10.018724, ' ': -10.5435295}
{' Yes': -0.03808782, 'Yes': -3.3060398, ' No': -8.104225, ' yes': -8.411175, ' YES': -9.303527}
{' Yes': -0.03263375, 'Yes': -3.44942, ' yes': -8.425434, ' YES': -9.547986, ' ': -10.429}
{' Yes': -0.0076680556, 'Yes': -4.929871, ' No': -8.519756, ' yes': -8.790054, ' YES': -10.308495}
{' Yes': -0.0074106, 'Yes': -4.92574, ' yes': -9.357235, ' YES': -10.714426, ' ': -11.3591585}
{' Yes': -0.032224078, 'Yes': -3.4621155, ' yes': -8.541562, ' ': -9.918473, ' No': -10.178073}
{' Yes': -0.0302396, 'Yes': -3.5215495, ' yes': -8.834412, ' ': -10.150505, ' YES': -10.612621}
{' Yes': -0.015031176, 'Yes': -4.255122, ' yes': -7.4953375, ' ': -9.650729, ' YES': -9.806076}
{' Yes': -0.01647726, 'Yes': -4.1561027, ' yes': -7.5734553, ' ': -9.500027, ' YES': -9.760005}
{' Yes': -0.003409257, ' No': -6.0889535, 'Yes': -6.9367127, ' yes': -8.917914, ' YES': -11.368162}
{' Yes': -0.0018757439, 'Yes': -6.3928437, ' yes': -8.910734, ' ': -10.599684, ' YES': -10.657775}
{' Yes': -0.014769819, ' No': -4.7361727, 'Yes': -5.19328, ' yes': -8.661347, 'No': -9.405025}
{' Yes': -0.010056365, 'Yes': -4.6361356, ' yes': -8.500356, ' YES': -10.014699, ' ': -10.223311}
{' Yes': -0.008176606, 'Yes': -5.157619, ' No': -6.2167773, ' yes': -8.68065, ' ': -9.096528}
{' Yes': -0.011791237, 'Yes': -4.487133, ' yes': -8.375066, ' ': -9.237413, '\n': -9.686159}
{' Yes': -0.0018154328, 'Yes': -6.529239, ' No': -8.29913, ' yes': -9.36246, ' YES': -11.478039}
{' Yes': -0.0029505673, 'Yes': -5.8753486, ' yes': -9.196989, ' YES': -10.942739, ' ': -11.334872}
{' Yes': -0.010467907, 'Yes': -4.7380624, ' No': -7.164045, ' ': -7.621132, ' yes': -8.672777}
{' Yes': -0.010609584, 'Yes': -4.5912123, ' ': -8.775812, ' yes': -8.78959, '\n': -9.813791}
{' Yes': -0.0059303143, 'Yes': -5.333742, ' No': -7.5913677, ' yes': -7.9244256, '\n': -9.238289}
{' Yes': -0.010021686, 'Yes': -4.7157426, ' yes': -7.2554946, ' ': -9.000496, '\n': -9.288954}
{' Yes': -0.018076299, 'Yes': -4.085379, ' yes': -7.2255573, ' No': -8.26152, ' YES': -10.22621}
{' Yes': -0.032746144, 'Yes': -3.5079982, ' yes': -6.21884, ' YES': -9.076077, 'yes': -9.17967}
{' Yes': -0.03040174, 'Yes': -3.5219328, ' yes': -8.413685, ' No': -8.962565, 'yes': -10.755263}
{' Yes': -0.049355276, 'Yes': -3.04794, ' yes': -7.5225105, ' YES': -9.565389, 'yes': -9.64434}
{' Yes': -0.07170394, 'Yes': -2.6909416, ' yes': -7.0235267, ' YES': -8.484784, 'yes': -9.202419}
{' Yes': -0.09297405, 'Yes': -2.4406092, ' yes': -6.7391677, ' YES': -8.500589, 'yes': -8.720717}
{' Yes': -0.013536071, 'Yes': -4.4235682, ' No': -7.2285514, ' yes': -7.3800025, ' YES': -10.211077}
{' Yes': -0.017569106, 'Yes': -4.0938554, ' yes': -7.3568845, ' YES': -10.068213, 'yes': -10.298519}
{' Yes': -0.05432041, 'Yes': -2.950759, ' yes': -7.9308953, ' ': -9.611403, 'yes': -9.769004}
{' Yes': -0.06827281, 'Yes': -2.7302964, ' yes': -7.532889, 'yes': -9.230624, ' ': -9.551419}
{' Yes': -0.046654634, 'Yes': -3.1302614, ' yes': -6.416978, 'yes': -9.069384, ' YES': -9.871339}
{' Yes': -0.0615351, 'Yes': -2.8935585, ' yes': -5.5781837, 'yes': -8.245272, ' YES': -8.944177}
{' Yes': -0.008273785, ' No': -5.328786, 'Yes': -6.2268476, ' yes': -6.7051005, ' ': -9.0007305}
{' Yes': -0.003581041, 'Yes': -6.0381, ' yes': -6.8444967, ' ': -9.732338, ' YES': -10.251044}
{' Yes': -0.011905294, 'Yes': -4.74213, ' No': -6.0432353, ' yes': -7.4426184, ' ': -9.917466}
{' Yes': -0.020196574, 'Yes': -3.990951, ' yes': -6.6539125, ' ': -9.538277, ' YES': -9.542173}
{' Yes': -0.0077247564, 'Yes': -5.036962, ' No': -7.29136, ' yes': -8.140754, ' ': -8.965864}
{' Yes': -0.017310785, 'Yes': -4.107267, ' yes': -7.6557937, ' ': -9.064636, ' YES': -9.813956}
{' Yes': -0.004504294, 'Yes': -5.5948906, ' yes': -7.3828745, ' No': -9.555131, ' ': -10.260455}
{' Yes': -0.007826456, 'Yes': -5.0478177, ' yes': -6.724613, ' ': -9.542208, ' YES': -10.061119}
{' Yes': -0.010617171, 'Yes': -4.669707, ' yes': -7.6891336, ' ': -7.852179, ' No': -8.515176}
{' Yes': -0.018491821, 'Yes': -4.0526543, ' yes': -7.5244975, ' ': -8.348621, '\n': -9.373171}
{' Yes': -0.013123087, 'Yes': -4.7833996, ' yes': -5.62036, ' No': -8.049273, ' ': -8.111687}
{' Yes': -0.028351, 'Yes': -3.889, ' yes': -5.032139, ' ': -8.056901, '\n': -8.12468}
{' Yes': -0.011024124, ' No': -4.680818, 'Yes': -6.5571914, ' yes': -9.032019, ' ': -9.25304}
{' Yes': -0.0029403453, 'Yes': -5.939437, ' yes': -8.839314, ' ': -9.419608, ' YES': -10.360133}
{' Yes': -0.017654158, ' No': -4.59316, 'Yes': -4.979692, ' yes': -8.607406, ' ': -8.792516}
{' Yes': -0.011738347, 'Yes': -4.4970727, ' yes': -8.358673, ' ': -8.838266, ' YES': -9.914726}
{' Yes': -0.014003144, ' No': -4.913667, 'Yes': -5.1625495, ' ': -7.6682825, '\n': -8.849208}
{' Yes': -0.012982925, 'Yes': -4.392976, ' ': -8.544944, ' yes': -8.822019, '\n': -9.010327}
{' Yes': -0.0022632007, 'Yes': -6.617989, ' No': -7.1735578, ' yes': -9.436963, ' ': -9.805123}
{' Yes': -0.0030459247, 'Yes': -5.877198, ' yes': -9.076446, ' ': -9.530786, ' YES': -10.608216}
{' Yes': -0.015075649, 'Yes': -4.53527, ' No': -6.304943, ' ': -6.4379478, '\n': -7.4931064}
{' Yes': -0.010836775, 'Yes': -4.5829496, ' ': -8.0907545, '\n': -9.146051, ' yes': -9.155101}
{' Yes': -0.00433253, 'Yes': -5.795686, ' No': -7.0881333, ' yes': -8.397037, ' ': -8.799788}
{' Yes': -0.0056802537, 'Yes': -5.2487354, ' yes': -8.275671, ' ': -9.312344, '\n': -10.422001}
{' Yes': -0.41814846, ' No': -1.085299, 'No': -6.252081, 'Yes': -6.337496, ' ': -8.647615}
{' Yes': -0.033631437, ' No': -3.5456629, 'Yes': -5.5656214, 'No': -8.191662, ' ': -9.636913}
