{' Yes': -0.0008259966, 'Yes': -7.33266, ' Spider': -9.466446, ' yes': -10.101548, ' The': -10.42057}
{' Yes': -0.0021126084, 'Yes': -6.469417, ' No': -7.5923276, ' yes': -10.5212345, ' The': -11.9660425}
{' Yes': -0.0014917175, 'Yes': -6.527635, ' yes': -11.147311, ' No': -12.462002, ' ': -12.721198}
{' Yes': -0.44721726, ' No': -1.0349456, 'Yes': -5.872386, 'No': -6.0654407, ' ': -9.341701}
{' Yes': -0.32383895, ' No': -1.2988889, 'Yes': -6.4975715, ' The': -6.7985415, 'No': -7.244397}
{' No': -0.06472637, ' Yes': -2.8410497, 'No': -5.7315674, ' Not': -7.174385, 'Yes': -8.66988}
{' Yes': -0.057208184, ' No': -2.9678295, 'Yes': -5.699351, ' The': -7.8022375, 'No': -8.401168}
{' Yes': -0.007963779, 'Yes': -5.1787686, ' No': -6.572438, ' The': -7.780094, ' Stars': -8.036457}
{' Yes': -0.0027690297, 'Yes': -5.9232893, ' yes': -10.151247, ' The': -10.346015, ' No': -11.588733}
{' Yes': -0.019866979, ' No': -4.0868855, 'Yes': -6.496973, ' Doctor': -6.758049, ' yes': -9.539818}
{' No': -0.011387893, 'No': -4.9964113, ' Yes': -6.4716787, ' Spo': -6.690697, ' Rot': -6.733426}
{' Yes': -0.028257864, ' No': -3.695822, 'Yes': -5.947206, ' The': -8.455318, 'No': -9.322174}
{' Yes': -0.4960751, ' No': -0.94817775, 'Yes': -6.3619294, 'No': -6.737927, ' Tennis': -7.6799035}
{' Yes': -0.15577063, ' No': -1.979192, 'Yes': -5.4740233, 'No': -7.1876817, ' The': -7.289104}
{' No': -0.16755185, ' Yes': -1.900687, 'No': -5.581223, 'Yes': -7.400662, ' Not': -8.591878}
{' No': -0.13406883, ' Yes': -2.100412, 'No': -6.102048, 'Yes': -8.057832, ' Not': -8.900429}
{' Yes': -0.0029117134, 'Yes': -6.1393495, ' No': -7.521611, ' The': -8.703737, ' yes': -10.690271}
{' Yes': -0.07409994, ' No': -2.7008736, 'Yes': -5.7331305, ' The': -7.2307577, 'No': -8.7228365}
{' Yes': -0.016777067, ' No': -4.1917415, 'Yes': -6.5470867, ' The': -10.494319, 'No': -10.593697}
{' Yes': -0.10304482, ' No': -2.358124, 'Yes': -5.952396, 'No': -8.314899, ' The': -8.613874}
{' No': -0.002937715, 'No': -6.1682496, ' Yes': -7.2198086, ' Not': -10.048437, ' Ex': -10.848345}
{' Yes': -0.30460623, ' No': -1.3812778, 'Yes': -5.2604012, 'No': -5.907336, ' The': -7.288166}
{' Yes': -0.005701234, 'Yes': -5.4053726, ' Loving': -7.0369754, ' yes': -8.847492, ' ': -9.665535}
{' Yes': -0.01766629, ' No': -4.177952, 'Yes': -6.3605595, ' The': -8.296512, 'No': -9.907593}
{' No': -0.30519047, ' Yes': -1.341617, 'No': -6.896722, 'Yes': -7.802542, ' ': -10.02448}
{' Yes': -0.15121606, ' No': -1.9868561, ' The': -6.602575, 'Yes': -6.8023906, ' Unfortunately': -8.240033}
{' Yes': -0.12594374, ' No': -2.2482104, ' Butter': -5.040931, 'Yes': -5.5534754, 'No': -7.0194407}
{' Yes': -0.003496341, 'Yes': -5.9418564, ' No': -7.1019897, ' yes': -10.888422, ' The': -11.731921}
{' No': -0.0058963145, 'No': -5.175656, ' Yes': -8.481152, ' ': -11.446567, ' Not': -12.7868805}
{' Yes': -0.017839994, ' No': -4.1953683, 'Yes': -6.118799, ' The': -8.398237, 'No': -9.489544}
{' Yes': -0.66166264, ' No': -0.7344128, 'Yes': -6.4249034, 'No': -6.667455, ' The': -6.897802}
{' No': -0.16850218, ' Yes': -1.892402, 'No': -5.7692437, 'Yes': -7.2600393, ' The': -8.681399}
{' Yes': -0.1670387, ' No': -1.9480293, 'Yes': -5.0424676, ' She': -6.074565, ' The': -6.922293}
{' Yes': -0.04470151, ' No': -3.3609262, 'Yes': -4.7840734, 'No': -8.026503, ' The': -9.400524}
{' Yes': -0.021089211, ' No': -4.0446906, 'Yes': -5.8400455, ' The': -8.215005, 'No': -9.413402}
{' Yes': -0.0050246753, ' No': -6.0211296, 'Yes': -6.0542145, ' The': -8.849729, ' yes': -9.914659}
{' No': -0.57749826, ' Yes': -0.83504176, 'No': -6.2054567, 'Yes': -6.5377088, ' Not': -6.8191724}
{' Yes': -0.004603272, ' No': -5.83136, 'Yes': -6.4502926, ' The': -10.582233, ' yes': -10.873358}
{' Yes': -0.012145694, ' No': -4.5566554, 'Yes': -6.6434417, ' The': -8.542733, 'No': -10.803563}
{' No': -0.24643102, ' Yes': -1.5401227, 'No': -6.124123, ' Minute': -6.986455, 'Yes': -7.4588847}
{' Yes': -0.097695455, ' No': -2.413825, 'Yes': -5.8493357, 'No': -7.772807, ' Not': -8.920552}
{' Yes': -0.024487996, ' No': -3.832246, 'Yes': -6.0560007, 'No': -9.604049, ' The': -9.787427}
{' Yes': -0.0046606977, ' No': -5.9004564, 'Yes': -6.597605, ' The': -7.7972093, ' yes': -9.563811}
{' Yes': -0.042869262, ' No': -3.2542875, 'Yes': -6.0859504, ' The': -7.342519, 'No': -8.8088255}
{' Yes': -0.026138201, ' No': -3.793102, 'Yes': -6.0666156, ' The': -8.115649, ' Not': -8.677068}
{' No': -0.06967527, ' Yes': -2.8229365, 'No': -5.234907, ' Not': -6.1954756, 'Yes': -8.363256}
{' No': -0.05182975, ' Yes': -3.0546656, 'No': -6.12794, ' Not': -7.5635366, ' The': -8.23049}
{' No': -0.33982047, ' Yes': -1.2574059, ' Not': -6.224704, 'No': -6.8411956, 'Yes': -7.700351}
{' Yes': -0.0008010614, 'Yes': -7.1768637, ' The': -10.998204, ' yes': -11.223753, '\n': -12.991232}
{' Yes': -0.0009166149, 'Yes': -7.040581, ' yes': -10.811553, ' The': -11.714446, ' No': -12.002174}
{' Yes': -0.0033643406, 'Yes': -5.7321086, ' yes': -9.949733, ' France': -10.528548, '\n': -11.232421}
{' Yes': -0.0012114957, 'Yes': -6.748853, ' yes': -10.960599, '\n': -11.939512, ' ': -12.337189}
{' Yes': -0.18762697, ' No': -1.7744111, 'Yes': -6.999383, 'No': -8.344619, ' The': -8.69876}
{' Yes': -0.31030083, ' No': -1.4371299, ' Muscle': -4.2233753, ' Mus': -4.9104652, 'Yes': -5.8163795}
{' Yes': -0.45100364, ' No': -1.0185142, 'Yes': -7.3798437, 'No': -7.498468, ' The': -7.7704005}
{' Yes': -0.05053062, ' No': -3.1766312, ' Empire': -5.466085, 'Yes': -6.5027966, ' The': -7.2375994}
{' No': -0.008174863, ' Yes': -5.109447, 'No': -6.188228, 'Yes': -11.098628, ' ': -11.178706}
{' No': -0.00679386, 'No': -5.0774837, ' Yes': -7.766895, ' Unfortunately': -10.144866, ' Not': -10.612348}
{' Yes': -0.0017124891, 'Yes': -6.513601, ' No': -9.540204, ' Hunger': -9.630179, ' The': -10.363122}
{' Yes': -0.0010635663, 'Yes': -6.8945336, ' yes': -10.89784, ' No': -10.9789915, ' The': -11.548203}
{' Yes': -0.010424963, ' No': -4.759368, 'Yes': -6.3823876, 'No': -10.351774, ' yes': -10.825763}
{'\n': -0.045280352, ' No': -3.429422, ' Yes': -5.109821, ' ': -5.240284, 'No': -8.563109}
{' Yes': -0.013758795, ' No': -4.522134, 'Yes': -6.0044656, ' The': -8.669554, ' yes': -9.782213}
{' Yes': -0.35271874, ' No': -1.2305875, 'Yes': -5.8411846, 'No': -6.3453484, ' The': -8.768524}
{' No': -0.049873166, ' Yes': -3.0875125, 'No': -5.9054008, ' Not': -9.023238, 'Yes': -9.273735}
{' Yes': -0.0042204685, ' No': -6.0835996, 'Yes': -6.3177705, ' ': -10.280494, ' yes': -10.289048}
{' Yes': -0.02056789, ' No': -3.9991386, 'Yes': -6.360308, ' The': -8.70411, ' yes': -9.808801}
{' Yes': -0.23151754, ' No': -1.5894219, 'Yes': -6.518558, 'No': -7.5765095, ' The': -7.8700733}
{' Yes': -0.016014244, ' No': -4.3871446, 'Yes': -6.2581024, ' The': -6.5641174, ' yes': -10.509232}
{' Yes': -0.08805647, ' No': -2.5225236, 'Yes': -5.9240375, ' The': -7.3790565, 'No': -8.570288}
{' No': -0.1602755, ' Yes': -1.922185, 'No': -6.6043706, 'Yes': -8.241247, ' The': -9.727918}
{' No': -0.26400524, ' Yes': -1.4727054, 'No': -6.592288, 'Yes': -7.629758, ' Not': -8.065703}
{' Yes': -0.13387455, ' No': -2.0939765, 'Yes': -6.6090713, ' The': -7.710134, 'No': -8.6547}
{' Yes': -0.009244082, ' No': -5.11963, 'Yes': -5.905957, ' The': -7.844302, ' yes': -9.732553}
{' No': -0.012145452, ' Yes': -4.949714, 'No': -5.387584, ' The': -9.190049, '\n': -9.387165}
{' Yes': -0.05026276, ' No': -3.0545483, 'Yes': -6.344345, 'No': -9.602705, ' yes': -10.711105}
{' Yes': -0.006242871, ' No': -5.403187, 'Yes': -6.4857125, ' The': -9.11767, ' yes': -10.109301}
{' Yes': -0.05437371, ' No': -2.9915416, 'Yes': -6.1560025, ' The': -8.479506, 'No': -8.768653}
{' No': -0.05019168, ' Yes': -3.0644526, 'No': -6.311052, 'Yes': -8.290965, ' The': -9.399896}
{' No': -0.011081919, ' Yes': -4.771645, 'No': -6.0784416, ' Unfortunately': -9.295383, ' Not': -9.878103}
{' Yes': -0.026607154, ' No': -3.912969, 'Yes': -5.315166, ' The': -6.927106, ' yes': -9.137748}
{' No': -0.54093206, ' Yes': -0.8831791, 'Yes': -6.2998004, 'No': -6.5757713, ' The': -7.594717}
{' No': -0.011003937, 'No': -4.5237007, ' Unfortunately': -10.170933, ' Not': -10.786119, ' ': -11.076101}
{' Yes': -0.00260354, 'Yes': -6.253809, ' No': -7.4517665, ' The': -9.950519, ' yes': -10.813538}
{' Yes': -0.013440498, ' No': -4.392429, 'Yes': -6.9848433, ' Purple': -11.115872, 'No': -11.165057}
{' No': -0.38900715, ' Yes': -1.1459862, ' Purple': -6.089383, 'No': -6.7308226, 'Yes': -7.512168}
{' Yes': -0.0014505325, 'Yes': -6.690436, ' No': -9.067346, ' yes': -10.174888, ' The': -10.338653}
{' Yes': -0.0052951854, 'Yes': -5.597601, ' No': -6.531393, ' The': -10.04458, ' yes': -10.083948}
{' Yes': -0.004227354, 'Yes': -6.1215844, ' The': -6.8399262, ' No': -7.65153, ' Hel': -9.030741}
{' Yes': -0.0044873506, 'Yes': -5.4917097, ' No': -8.392581, ' yes': -9.545941, ' The': -10.36745}
{' Yes': -0.010058956, ' No': -4.7457404, 'Yes': -6.6753135, 'No': -10.39347, ' yes': -11.531585}
{' Yes': -0.0019358222, 'Yes': -6.6935606, ' No': -7.408057, ' The': -9.872153, ' yes': -10.950198}
{' Yes': -0.0029716126, 'Yes': -6.407821, ' No': -6.678135, ' yes': -10.449341, ' The': -11.331244}
{' Yes': -0.0011587427, 'Yes': -6.9314632, ' No': -9.808275, ' ': -10.027851, ' yes': -10.260615}
{' Yes': -0.0063867066, 'Yes': -5.565661, ' No': -6.1572933, ' Pretty': -8.989983, ' Not': -10.069627}
{' Yes': -0.05687431, ' No': -2.9470053, 'Yes': -5.9980173, 'No': -8.501048, ' The': -10.466722}
{' No': -0.020788046, 'No': -4.165605, ' Yes': -5.510555, ' Dis': -7.1706977, 'Yes': -9.491418}
{' No': -0.17557126, ' Yes': -1.8405739, 'No': -6.3396482, 'Yes': -8.11879, ' Not': -9.184273}
{' Yes': -0.024575228, ' No': -3.7759082, 'Yes': -6.664656, 'No': -10.168358, ' The': -11.120841}
{' Yes': -0.014570583, ' No': -4.4239106, 'Yes': -6.044224, 'No': -10.131079, ' The': -10.372711}
{' Yes': -0.0034115305, 'Yes': -6.198426, ' No': -6.6763387, ' The': -9.872424, ' yes': -10.385833}
{' Yes': -0.0021549584, 'Yes': -6.2734103, ' No': -8.453692, ' The': -10.895351, ' yes': -11.020452}
{' Yes': -0.23646367, ' No': -1.5768852, ' The': -6.50704, 'Yes': -6.6949496, 'No': -7.408752}
{' Yes': -0.0018362708, 'Yes': -6.434856, ' The': -9.040263, ' No': -9.771011, ' yes': -10.140206}
{' No': -0.06654806, ' Yes': -2.8187377, 'No': -5.592173, ' The': -7.547404, 'Yes': -8.417776}
{' Yes': -0.43837407, ' No': -1.0450064, 'Yes': -6.540924, 'No': -7.0670877, ' The': -7.4168606}
{' Yes': -0.01974143, ' No': -4.00128, 'Yes': -6.8141637, ' The': -9.197292, 'No': -10.602062}
{' No': -0.01872865, ' Yes': -4.150606, 'No': -5.9833703, ' Not': -9.229122, 'Yes': -10.098322}
{' Yes': -0.020114832, ' No': -3.9810903, 'Yes': -6.821899, 'No': -9.89306, ' The': -10.163721}
{' Yes': -0.0018920472, 'Yes': -6.692886, ' No': -7.5109935, ' yes': -10.110298, ' ': -10.79486}
{' No': -0.46870494, ' Yes': -1.0159423, ' Planet': -4.8989472, 'No': -6.1264462, ' Not': -6.6350484}
{' Yes': -0.024341416, ' No': -3.9385295, 'Yes': -5.447328, 'No': -8.894204, ' The': -10.182053}
{' Yes': -0.008491427, 'Yes': -5.4494, ' No': -5.5158424, ' yes': -9.954675, 'No': -10.580655}
{' Yes': -0.0020850103, 'Yes': -6.5988126, ' No': -7.356364, ' yes': -10.124123, ' The': -10.749134}
{' Yes': -0.0022306428, 'Yes': -6.132523, ' No': -10.939621, ' yes': -11.177286, ' The': -11.626094}
{' Yes': -0.38750842, ' No': -1.1713849, 'Yes': -4.921379, 'No': -5.662456, '\n': -7.9857025}
{' No': -0.030070491, ' Yes': -3.6060495, 'No': -6.1632857, 'Yes': -9.224977, ' Not': -9.562846}
{' No': -0.24626195, ' Yes': -1.5357078, 'No': -6.671759, 'Yes': -7.5131307, ' Circ': -7.782572}
{' Yes': -0.041927572, ' No': -3.2580318, 'Yes': -6.1494927, ' Not': -8.519676, 'No': -9.020124}
{' Yes': -0.0029048382, 'Yes': -5.8997283, ' No': -9.271173, ' yes': -10.420052, ' The': -10.831302}
{' Yes': -0.16469763, ' No': -1.8986186, 'Yes': -6.759542, 'No': -7.721479, ' The': -8.75459}
{' Yes': -0.020583892, ' No': -4.0028415, 'Yes': -6.425546, ' Finger': -8.508985, 'No': -9.469832}
{' Yes': -0.0034535765, 'Yes': -5.6821237, ' yes': -10.781049, ' The': -11.997271, ' ': -12.158809}
{' Yes': -0.005326464, 'Yes': -5.710562, ' No': -6.957429, ' The': -7.256245, ' Unfortunately': -9.216676}
{' Yes': -0.0030800032, 'Yes': -6.20466, ' No': -6.910903, ' yes': -10.689715, ' ': -11.2541065}
{' Yes': -0.0030707368, 'Yes': -6.3838706, ' The': -7.358095, ' No': -7.397516, ' yes': -10.070673}
{' Yes': -0.028694628, ' No': -3.777481, 'Yes': -5.3183904, 'No': -8.340675, ' The': -8.971287}
{' Yes': -0.20317623, ' No': -1.7102506, 'Yes': -6.1809626, 'No': -7.5780244, ' The': -8.551936}
{' Yes': -0.026831765, ' Sc': -3.9442472, 'Yes': -5.5410967, ' yes': -6.450806, ' The': -7.9624796}
{' Yes': -0.005492827, 'Yes': -5.513244, ' No': -7.2367887, ' Sc': -7.8811107, ' yes': -8.551661}
{' No': -0.008861068, 'No': -4.9405394, ' Yes': -6.5019045, ' Unfortunately': -9.624568, ' ': -10.140843}
{' No': -0.0066392226, 'No': -5.225553, ' Yes': -6.8263392, ' ': -9.613896, ' Not': -10.069118}
{' No': -0.35755482, ' Yes': -1.2198995, 'No': -5.6650934, 'Yes': -6.6075454, ' P': -8.784625}
{' Yes': -0.08928921, ' No': -2.4917016, 'Yes': -6.149418, 'No': -8.52293, ' The': -8.936508}
{' Yes': -0.13266566, ' No': -2.1058524, 'Yes': -6.2624683, 'No': -7.725855, ' The': -9.634401}
{' Yes': -0.5159618, ' No': -0.9164191, 'Yes': -6.4238424, 'No': -6.640494, ' The': -9.811774}
{' Yes': -0.00069458643, 'Yes': -7.304226, ' yes': -11.438913, ' No': -12.3855, ' ': -12.821814}
{' Yes': -0.006627582, ' No': -5.7190757, 'Yes': -5.7422194, ' The': -10.421435, ' yes': -10.530498}
{' Yes': -0.0022796309, 'Yes': -6.199175, ' No': -8.579384, ' The': -10.430916, ' yes': -10.855577}
{' Yes': -0.032712087, ' No': -3.5245504, 'Yes': -6.0448103, ' The': -8.991063, 'No': -9.251761}
{' No': -0.6383728, ' Yes': -0.76255834, 'No': -6.3374863, 'Yes': -6.7013683, ' Unfortunately': -7.067047}
{' Yes': -0.0423836, ' No': -3.2384076, 'Yes': -6.5224495, ' The': -7.5985584, 'No': -9.4320755}
{' Yes': -0.020892302, ' No': -3.9560747, 'Yes': -7.055955, ' Repeat': -7.5254393, 'No': -10.441966}
{' Yes': -0.0007080683, 'Yes': -7.3438783, ' No': -10.052485, ' yes': -11.668431, ' The': -11.884785}
{' Yes': -0.0044878894, ' No': -5.9937134, 'Yes': -6.458973, ' Spider': -8.508841, ' The': -9.269236}
{' Yes': -0.0023314874, 'Yes': -6.1211643, ' yes': -10.075768, ' No': -10.172924, ' The': -10.2501}
{' Yes': -0.004429035, ' No': -5.9262695, 'Yes': -6.391899, ' yes': -10.828642, ' The': -10.897436}
{' Yes': -0.44915202, ' No': -1.0521756, ' Candle': -5.035164, 'Yes': -5.781826, 'No': -6.675394}
{' No': -0.41942236, ' Yes': -1.0892508, 'No': -5.5505767, 'Yes': -6.6263366, ' The': -7.7456536}
{' No': -0.24965465, ' Yes': -1.5399855, 'No': -5.293733, 'Yes': -6.878261, ' The': -8.610684}
{' No': -0.64615697, ' Yes': -0.7693812, 'No': -4.8739953, 'Yes': -5.437346, ' The': -8.106684}
{' Yes': -0.018193563, ' No': -4.418433, 'Yes': -5.1807547, 'No': -9.075339, ' The': -9.183074}
{' Yes': -0.28073174, ' No': -1.4415841, 'Yes': -5.336182, 'No': -5.8415704, ' The': -8.549722}
{' Yes': -0.007097141, ' No': -5.200071, 'Yes': -6.6001754, ' The': -9.248176, ' yes': -9.781983}
{' No': -0.009799195, 'No': -4.9324985, ' Yes': -6.1806593, ' Unfortunately': -7.9353776, ' Not': -10.194989}
{' No': -0.56043726, ' Yes': -0.86607265, 'No': -5.5319643, 'Yes': -5.8493257, ' The': -6.8782334}
{' No': -0.08127283, ' Yes': -2.6038156, 'No': -5.6251397, 'Yes': -8.550007, ' The': -9.179213}
{' No': -0.068519935, ' Yes': -3.0544395, 'No': -4.009754, 'Yes': -7.465456, ' The': -8.711037}
{' Yes': -0.14012514, ' No': -2.079168, 'Yes': -5.5017924, 'No': -6.8573294, ' Orange': -8.279101}
{' Yes': -0.024202975, ' No': -4.1184373, 'Yes': -4.923857, 'No': -8.483032, ' ': -9.900063}
{' No': -0.07432861, ' Yes': -3.2508862, 'No': -3.4634469, 'Yes': -7.06697, ' Hungry': -8.4627695}
{' Yes': -0.14355227, ' No': -2.0326457, 'Yes': -6.173314, 'No': -7.792489, ' Unfortunately': -9.23746}
{' No': -0.008635767, 'No': -4.8242407, ' Yes': -7.6432676, ' ': -10.027591, ' The': -11.464473}
{' No': -0.011543326, 'No': -4.675985, ' Yes': -6.2145743, ' ': -9.729934, ' Not': -10.409082}
{' No': -0.0964554, ' Yes': -2.4289806, 'No': -5.9480557, ' The': -8.107136, ' Not': -8.2710285}
{' No': -0.02833377, ' Yes': -3.805046, 'No': -5.296131, ' Not': -7.9724994, 'Yes': -9.285433}
{' Yes': -0.013930914, 'Yes': -4.2843127, ' yes': -10.48246, ' ': -11.693743, '\n': -12.455779}
{' Yes': -0.003288929, 'Yes': -5.746315, ' yes': -10.11869, ' No': -10.9212055, ' The': -11.356328}
{' Yes': -0.6193965, ' No': -0.7868559, 'No': -5.9161167, 'Yes': -6.007641, ' The': -7.2633605}
{' No': -0.17741452, ' Yes': -1.8799787, 'No': -4.776665, 'Yes': -6.714487, ' The': -9.20697}
{' Yes': -0.047626022, ' No': -3.1832821, 'Yes': -5.3843875, 'No': -8.441447, ' ': -9.428168}
{' Yes': -0.13854249, ' No': -2.0796263, 'Yes': -5.7155356, 'No': -7.442175, ' The': -8.192173}
{' No': -0.4195488, ' Yes': -1.546149, ' Nep': -2.3353071, 'No': -3.8287854, ' ': -5.474536}
{' Yes': -0.013054484, 'Yes': -4.879935, ' No': -5.2752995, ' The': -9.467903, 'No': -9.747303}
{' No': -0.024515789, ' Yes': -3.9656472, 'No': -5.294564, 'Yes': -9.360557, ' Not': -9.796362}
{' No': -0.3630207, ' Yes': -1.2036655, 'No': -5.820492, 'Yes': -6.8365593, ' Not': -9.020672}
{' Yes': -0.016308518, 'Yes': -4.7811627, ' No': -4.8884034, 'No': -9.183158, ' ': -10.03225}
{' Yes': -0.0027031654, 'Yes': -6.011175, ' No': -8.641827, ' yes': -10.304649, ' ': -11.036108}
{' Yes': -0.08223592, ' No': -2.6656995, 'Yes': -4.769018, 'No': -7.6706696, ' The': -8.412943}
{' No': -0.28816983, ' Yes': -1.4075794, 'No': -5.7166934, 'Yes': -6.2560515, ' The': -8.372841}
{' No': -0.028150385, 'No': -3.5952373, ' Yes': -8.950628, ' Unfortunately': -9.241907, ' ': -10.223916}
