{'\n': -9.868756, ' ': -9.318076, ' Yes': -0.0024784687, ' yes': -8.480762, 'Yes': -6.177218}
{'\n': -6.394748, ' ': -6.8212028, ' Yes': -0.014335827, ' yes': -6.8427806, 'Yes': -4.6022224}
{'\n': -5.157501, ' ': -5.8424683, ' Yes': -0.024658373, ' yes': -6.0646834, 'Yes': -4.3593807}
{'\n': -7.1009264, ' ': -6.6408477, ' Yes': -0.0056819324, ' yes': -7.295984, 'Yes': -5.916708}
{'\n': -5.1405177, ' ': -6.0423007, ' Yes': -0.03345299, ' yes': -6.662242, 'Yes': -3.777546}
{'\n': -5.085997, ' ': -5.6817436, ' Yes': -0.04588161, ' yes': -3.8908198, 'Yes': -4.3341336}
{' No': -0.0077310037, '\n': -8.306488, ' ': -7.8209224, 'No': -4.9646535, ' no': -10.917649}
{' No': -0.021239338, '\n': -8.869303, ' ': -7.14378, 'No': -3.9165428, ' no': -10.150837}
{' No': -0.032000348, '\xa0': -9.483915, '\n': -7.462746, ' ': -7.26205, 'No': -3.5111947}
{' No': -0.0061242976, '\n': -8.777181, ' ': -7.464169, 'No': -5.2685733, ' no': -9.440469}
{' No': -0.033638895, '\n': -6.7815943, ' ': -6.8934565, 'No': -3.4998863, ' Nope': -9.352379}
{' No': -0.042146016, '\n': -7.2539625, ' ': -7.2296, 'No': -3.23516, ' no': -8.651088}
{' No': -0.005818315, '\n': -6.8401723, ' ': -5.9717107, 'No': -6.2340965, ' no': -8.94636}
{' No': -0.028614827, '\n': -5.8811855, ' ': -5.903486, 'No': -3.8131893, ' no': -8.195483}
{' No': -0.072707854, '\n': -3.8731685, ' ': -4.5777316, 'No': -3.2888181, ' no': -7.544116}
{' No': -0.006606282, '\n': -8.537834, ' ': -5.964268, 'No': -5.6085687, ' no': -9.335707}
{' No': -0.15668021, '\n': -4.2787457, ' ': -4.7322755, 'No': -2.130769, ' no': -6.519408}
{' No': -0.029870946, '\n': -6.1586323, ' ': -5.5453415, 'No': -3.9080884, ' no': -5.9319572}
{' No': -0.07624935, '\n': -7.1779737, ' ': -6.268138, 'No': -2.7681668, ' no': -4.9738455}
{' No': -0.07022628, ' ': -6.8223047, 'No': -2.7193332, ' no': -8.023146, ' NO': -9.229796}
{' No': -0.14160405, ' ': -6.638832, 'No': -2.0475507, 'no': -8.111263, ' no': -7.2128115}
{' No': -0.02073571, ' ': -7.260997, 'No': -3.9506612, 'no': -9.99004, ' no': -8.059341}
{' No': -0.31204808, '\n': -7.381934, ' ': -6.59429, 'No': -1.3287812, ' no': -7.630343}
{' No': -0.10678032, ' ': -8.212274, 'No': -2.2964184, 'no': -9.301532, ' no': -8.555535}
{' No': -0.075890094, '\n': -5.5185547, ' ': -4.896976, 'No': -4.8020415, ' no': -2.961733}
{' No': -0.06373456, '\n': -5.017883, ' ': -4.9009194, 'No': -3.1805558, ' no': -5.294357}
{' No': -0.12389062, '\n': -3.5289273, ' ': -4.567248, 'No': -2.7298133, ' no': -4.6788926}
{' No': -0.02198398, '\n': -6.5896564, ' ': -5.638818, 'No': -4.167419, ' no': -6.8060317}
{' No': -0.21698038, '\n': -2.9758036, ' ': -4.4163346, 'No': -2.1650128, ' no': -4.3373685}
{' No': -0.14324833, '\n': -4.373737, ' ': -5.16874, 'No': -3.8332422, ' no': -2.403365}
{' No': -0.01227723, '\n': -5.6240954, ' ': -5.6058607, 'No': -5.4052825, ' no': -8.122042}
{' No': -0.035761815, '\n': -5.0977635, ' ': -5.382081, 'No': -3.7411165, ' no': -7.9908233}
{' No': -0.06190149, '\n': -4.2394643, ' ': -4.82048, 'No': -3.338608, ' no': -6.889617}
{' No': -0.015546041, '\n': -5.7854676, ' ': -5.2926035, 'No': -4.9686537, ' no': -8.52004}
{' No': -0.06832648, '\n': -3.8520875, ' ': -4.654493, 'No': -3.4339728, ' no': -6.392462}
{' No': -0.047867164, '\n': -4.3915887, ' ': -5.0243235, 'No': -3.7917902, ' no': -5.489066}
{' No': -0.009905982, '\n': -9.187337, ' ': -8.004153, 'No': -4.6730905, ' Yes': -10.491417}
{' No': -0.030291516, '\n': -9.785317, ' ': -7.3252516, 'No': -3.551791, ' Yes': -8.130957}
{' No': -0.034370128, '\n': -8.217924, ' ': -6.982906, 'No': -3.4426856, ' Yes': -7.883908}
{' That': -12.016084, ' No': -0.0048280875, ' ': -8.795931, 'No': -5.4430656, ' Yes': -8.117346}
{' No': -0.05186359, '\n': -7.034503, ' ': -6.2251053, 'No': -3.0641465, ' Yes': -7.671765}
{' No': -0.036774326, '\n': -9.31854, ' ': -7.621296, 'No': -3.3735528, ' Yes': -6.9622555}
{' No': -0.0044814814, '\n': -7.86757, ' ': -5.9688363, 'No': -6.658198, ' Yes': -9.138806}
{' No': -0.024274725, '\n': -6.1540675, ' ': -5.8325267, 'No': -3.9964235, ' Yes': -8.527266}
{' No': -0.07875746, '\n': -3.6159866, ' ': -4.2132354, 'No': -3.4362516, ' Yes': -7.7901134}
{' No': -0.0032668028, '\n': -9.8416195, ' ': -6.696639, 'No': -6.256312, ' no': -10.628772}
{' No': -0.16054259, '\n': -4.1219473, ' ': -4.2769527, 'No': -2.1584008, ' no': -7.2640076}
{' No': -0.026948957, '\n': -7.2343607, ' ': -5.869489, 'No': -3.865797, ' no': -6.8585467}
{' No': -0.0813122, ' ': -6.255721, 'No': -2.64481, ' Yes': -6.9547467, ' no': -5.798422}
{' No': -0.059772186, '\n': -9.841255, ' ': -7.2995653, 'No': -2.867185, ' no': -8.682323}
{' No': -0.1516622, ' ': -6.101902, 'No': -2.3850968, ' Yes': -3.1920235, 'Yes': -5.9880614}
{' No': -0.013851557, ' ': -7.3112907, 'No': -4.41782, ' Yes': -7.572813, ' no': -8.170928}
{' No': -0.29582348, '\n': -7.6398253, ' ': -6.704124, 'No': -1.3716233, ' no': -8.678169}
{' No': -0.08283988, ' ': -8.020796, 'No': -2.5401456, 'no': -9.489462, ' no': -8.822477}
{' No': -0.016208502, '\n': -7.1494303, ' ': -5.1478214, 'No': -5.5702367, ' no': -5.255697}
{' No': -0.03913672, '\n': -5.890392, ' ': -5.3538723, 'No': -3.5604932, ' no': -6.1797285}
{' No': -0.111487545, '\n': -3.3081865, ' ': -4.3302803, 'No': -2.987605, ' no': -5.6395006}
{' No': -0.017841633, '\n': -6.9506245, ' ': -5.585949, 'No': -4.421387, ' no': -7.2379827}
{' No': -0.23001347, '\n': -2.893149, ' ': -4.4874654, 'No': -2.0190244, ' no': -5.658021}
{' No': -0.099421, '\n': -4.8813953, ' ': -5.08505, 'No': -4.009995, ' no': -2.8655913}
{' No': -0.007716349, '\n': -6.6763163, ' ': -5.846841, 'No': -5.708497, ' no': -9.453133}
{' No': -0.03108172, '\n': -5.6211233, ' ': -5.2943664, 'No': -3.8492122, ' Yes': -8.32489}
{' No': -0.054728482, '\n': -4.33306, ' ': -4.5059233, 'No': -3.5876417, ' no': -8.164292}
{' No': -0.011062573, '\n': -6.9715843, ' ': -5.3615317, 'No': -5.2656536, ' Yes': -9.611729}
{' No': -0.05511933, '\n': -4.223479, ' ': -4.8539624, 'No': -3.5022168, ' no': -7.862454}
{' No': -0.052629907, '\n': -4.742016, ' ': -4.741033, 'No': -3.8064444, ' Yes': -5.015445}
{'\n': -9.569593, ' ': -8.671376, ' Yes': -0.0045466856, ' yes': -8.819472, 'Yes': -5.4974933}
{' YES': -9.960384, ' ': -7.8332653, ' Yes': -0.012457423, ' yes': -7.711674, 'Yes': -4.476261}
{'\n': -8.152431, ' ': -7.5534754, ' Yes': -0.024917617, ' yes': -7.4876113, 'Yes': -3.770273}
{' YES': -10.576002, ' ': -8.714258, ' Yes': -0.0036592295, ' yes': -8.71286, 'Yes': -5.7275376}
{'\n': -8.022622, ' ': -7.299625, ' Yes': -0.027245305, ' yes': -7.7789273, 'Yes': -3.6821048}
{'\n': -8.361581, ' ': -7.756192, ' Yes': -0.017829677, ' yes': -7.1197996, 'Yes': -4.138305}
{'\n': -6.093998, ' ': -5.9291406, ' Yes': -0.010031201, ' yes': -7.2207103, 'Yes': -5.4936523}
{'\n': -6.8786073, ' ': -6.6818395, ' Yes': -0.023095151, ' yes': -7.1397266, 'Yes': -3.9419603}
{'\n': -4.5042667, ' ': -5.2180176, ' Yes': -0.067218855, ' yes': -6.512227, 'Yes': -3.0767727}
{'\n': -9.366504, ' ': -7.099826, ' Yes': -0.004077423, ' yes': -8.174224, 'Yes': -5.876563}
{'\n': -4.7783036, ' ': -5.036247, ' Yes': -0.14035946, ' yes': -5.11811, 'Yes': -2.2324653}
{'\n': -7.084453, ' ': -6.286424, ' Yes': -0.024406334, ' yes': -5.144119, 'Yes': -4.223274}
{' ': -6.393437, ' Yes': -0.055300545, ' yes': -4.289099, 'Yes': -3.3113182, 'yes': -7.299395}
{' YES': -8.822811, ' ': -7.412701, ' Yes': -0.03501184, ' yes': -6.4259, 'Yes': -3.4505203}
{' ': -7.00821, ' Yes': -0.06717391, ' yes': -5.2204237, 'Yes': -2.8592176, 'yes': -7.546075}
{' YES': -9.17633, ' ': -7.4477687, ' Yes': -0.01694013, ' yes': -6.766722, 'Yes': -4.2173853}
{' ': -7.115015, ' Yes': -0.14388753, ' yes': -6.319022, 'Yes': -2.036395, 'yes': -7.683259}
{' ': -8.3106365, ' Yes': -0.040160514, ' yes': -5.7103624, 'Yes': -3.3410294, 'yes': -8.066806}
{'\n': -6.00889, ' ': -5.469041, ' Yes': -0.051004834, ' yes': -3.5282402, 'Yes': -4.4229355}
{'\n': -5.3884025, ' ': -5.2912126, ' Yes': -0.054522246, ' yes': -4.941241, 'Yes': -3.3582327}
{'\n': -4.091888, ' ': -4.8710165, ' Yes': -0.11026183, ' yes': -3.9816055, 'Yes': -2.8511846}
{'\n': -7.3606744, ' ': -6.525427, ' Yes': -0.020225704, ' yes': -5.654022, 'Yes': -4.2683454}
{'\n': -3.848266, ' ': -5.145398, ' Yes': -0.17118663, ' yes': -3.9455507, 'Yes': -2.2532272}
{'\n': -5.4505525, ' ': -5.8500595, ' Yes': -0.11527402, ' yes': -2.5266795, 'Yes': -3.9973521}
{'\n': -5.9505258, ' ': -6.225121, ' Yes': -0.012829624, ' yes': -6.9465466, 'Yes': -4.9850507}
{'\n': -5.3913984, ' ': -5.902911, ' Yes': -0.03362564, ' yes': -6.308249, 'Yes': -3.7614067}
{'\n': -4.600339, ' ': -5.1741757, ' Yes': -0.051596753, ' yes': -5.7080946, 'Yes': -3.5139017}
{'\n': -5.542808, ' ': -5.5892572, ' Yes': -0.01799352, ' yes': -7.1607046, 'Yes': -4.6955657}
{'\n': -4.4830995, ' ': -5.196709, ' Yes': -0.06519101, ' yes': -5.7495503, 'Yes': -3.175851}
{'\n': -4.7581053, ' ': -5.2953625, ' Yes': -0.048732135, ' yes': -4.350013, 'Yes': -3.9560766}
{'\n': -10.423161, ' ': -9.699579, ' Yes': -0.002018535, ' yes': -9.136848, 'Yes': -6.3220563}
{' ': -8.643094, ' Yes': -0.011951017, ' yes': -7.8433924, 'Yes': -4.497318, ' True': -9.953269}
{'\n': -8.868162, ' ': -8.386456, ' Yes': -0.013754022, ' yes': -7.9857993, 'Yes': -4.356659}
{' ': -10.68325, ' Yes': -0.001190729, ' yes': -9.686081, 'Yes': -6.827755, ' True': -11.703983}
{'\n': -8.481818, ' ': -7.7606874, ' Yes': -0.013142534, ' yes': -8.630185, 'Yes': -4.412659}
{'\n': -9.007585, ' ': -8.415085, ' Yes': -0.017097762, ' yes': -7.407997, 'Yes': -4.145037}
{'\n': -9.413372, ' ': -7.8550625, ' Yes': -0.0020872818, ' yes': -7.9029465, 'Yes': -6.7411804}
{'\n': -6.9950085, ' ': -7.0894723, ' Yes': -0.01356761, ' yes': -6.994673, 'Yes': -4.549376}
{'\n': -4.3158803, ' ': -5.410437, ' Yes': -0.04304199, ' yes': -6.2500806, 'Yes': -3.8291345}
{'\n': -10.57214, ' ': -8.3777485, ' Yes': -0.0014541133, ' yes': -8.265646, 'Yes': -6.994217}
{'\n': -5.212969, ' ': -5.706789, ' Yes': -0.08734612, ' yes': -6.013787, 'Yes': -2.6374428}
{'\n': -7.906171, ' ': -7.069267, ' Yes': -0.022326281, ' yes': -4.7286344, 'Yes': -4.498919}
{' ': -7.0925446, ' Yes': -0.045168098, ' yes': -4.030241, 'Yes': -3.7286434, 'yes': -7.3702574}
{' No': -2.9444196, 'No': -6.1311717, ' Yes': -0.07716566, ' yes': -5.8469944, 'Yes': -4.1903033}
{' No': -4.0909395, 'No': -6.728762, ' Yes': -0.062125426, ' yes': -4.765521, 'Yes': -3.463767}
{' No': -8.226083, ' ': -8.497574, ' Yes': -0.0072965752, ' yes': -6.929923, 'Yes': -5.1760683}
{' ': -7.800084, ' Yes': -0.08962182, ' yes': -6.8806024, 'Yes': -2.4817615, 'yes': -8.195844}
{' No': -5.6249123, ' ': -8.438028, ' Yes': -0.02282394, ' yes': -6.209297, 'Yes': -4.1105504}
{'\n': -7.2174153, ' ': -6.1339087, ' Yes': -0.04349753, ' yes': -3.3631806, 'Yes': -5.5157504}
{'\n': -5.3362827, ' ': -5.9593573, ' Yes': -0.0446127, ' yes': -4.434692, 'Yes': -3.758215}
{'\n': -3.5304072, ' ': -5.1369157, ' Yes': -0.09657527, ' yes': -4.098799, 'Yes': -3.259516}
{'\n': -8.138874, ' ': -7.594022, ' Yes': -0.011000682, ' yes': -5.799222, 'Yes': -4.974477}
{'\n': -3.4401412, ' ': -5.4899616, ' Yes': -0.18156768, ' yes': -4.04863, 'Yes': -2.230161}
{'\n': -5.154948, ' Yes': -0.18596168, ' yes': -1.966006, 'Yes': -4.1350074, 'yes': -5.592994}
{'\n': -6.4161334, ' ': -6.9178824, ' Yes': -0.007946174, ' yes': -6.7525406, 'Yes': -5.5668926}
{'\n': -5.7548885, ' ': -6.624897, ' Yes': -0.01834763, ' yes': -6.8195457, 'Yes': -4.401753}
{'\n': -4.658574, ' ': -5.5616236, ' Yes': -0.032184005, ' yes': -6.2176275, 'Yes': -4.1503325}
{'\n': -6.978056, ' ': -6.458639, ' Yes': -0.006351736, ' yes': -7.383285, 'Yes': -5.783319}
{'\n': -4.6862226, ' ': -5.813111, ' Yes': -0.040554654, ' yes': -6.782127, 'Yes': -3.652806}
{'\n': -5.1647305, ' ': -5.5221825, ' Yes': -0.045799803, ' yes': -3.9509375, 'Yes': -4.275618}
{' No': -0.006678163, '\n': -8.455711, ' ': -7.6207294, 'No': -5.132811, ' no': -11.363704}
{' No': -0.02368962, '\xa0': -10.205508, '\n': -8.687429, ' ': -6.814951, 'No': -3.8179438}
{' No': -0.03658772, '\xa0': -9.381482, '\n': -6.897862, ' ': -6.7938733, 'No': -3.397471}
{' No': -0.006681344, '\n': -9.986222, ' ': -7.629804, 'No': -5.1057143, ' no': -11.070759}
{' No': -0.057639845, '\xa0': -9.753153, '\n': -5.816318, ' ': -6.22191, 'No': -2.9856715}
{' No': -0.041408256, '\n': -7.3823133, ' ': -6.90758, 'No': -3.2554314, ' no': -8.9727125}
{' No': -0.0046941745, '\n': -6.772335, ' ': -6.1587715, 'No': -6.6607323, ' no': -9.487631}
{' No': -0.030608827, '\n': -5.284963, ' ': -5.7755694, 'No': -3.8415446, ' no': -8.385487}
{' No': -0.08337676, '\n': -3.3083637, ' ': -4.7172303, 'No': -3.406636, ' no': -7.992334}
{' No': -0.0035323505, '\n': -8.3869705, ' ': -6.663343, 'No': -6.2473636, ' no': -10.051555}
{' No': -0.12391444, '\n': -3.9952874, ' ': -4.5346828, 'No': -2.4646564, ' no': -7.0730443}
{' No': -0.031644776, '\n': -6.2748075, ' ': -5.530654, 'No': -3.782293, ' no': -6.221734}
{' No': -0.05735607, '\n': -6.863401, ' ': -6.1984477, 'No': -3.0451298, ' no': -5.479649}
{' No': -0.04851913, '\n': -8.978798, ' ': -6.849265, 'No': -3.0875378, ' no': -8.282252}
{' No': -0.13533814, '\n': -7.620226, ' ': -6.570088, 'No': -2.0917, ' no': -7.6690164}
{' No': -0.0127073135, '\n': -9.67335, ' ': -7.3523545, 'No': -4.467131, ' no': -8.351348}
{' No': -0.29106182, '\n': -6.3651304, ' ': -6.3008633, 'No': -1.3947222, ' no': -7.903515}
{' No': -0.09802333, ' ': -7.576893, 'No': -2.3847094, 'no': -8.655556, ' no': -7.9683585}
{' No': -0.03578875, '\n': -5.658922, ' ': -5.3182483, 'No': -4.9716153, ' no': -3.9773026}
{' No': -0.07639912, '\n': -4.1439085, ' ': -4.637508, 'No': -3.182789, ' no': -5.25473}
{' No': -0.12044192, '\n': -3.0511708, ' ': -4.6388803, 'No': -3.0093806, ' no': -5.212136}
{' No': -0.01915313, '\n': -6.3206906, ' ': -5.770507, 'No': -4.3777595, ' no': -6.6724296}
{' No': -0.19431603, '\n': -2.7833977, ' ': -4.26637, 'No': -2.400361, ' no': -5.018656}
{' No': -0.10812574, '\n': -4.509324, ' ': -5.088354, 'No': -3.8015003, ' no': -2.8132105}
{' No': -0.015213621, '\n': -5.167567, ' ': -5.4726033, 'No': -5.374247, ' no': -7.8558803}
{' No': -0.042021435, '\n': -4.479777, ' ': -5.252461, 'No': -3.7359052, ' no': -8.048753}
{' No': -0.06566993, '\n': -3.6876962, ' ': -4.690315, 'No': -3.5869274, ' no': -7.2804675}
{' No': -0.019752435, '\n': -5.138834, ' ': -4.9825497, 'No': -5.0506816, ' no': -8.474174}
{' No': -0.07161584, '\n': -3.5343328, ' ': -4.529799, 'No': -3.625092, ' no': -6.7465878}
{' No': -0.05496365, '\n': -4.114141, ' ': -4.79978, 'No': -3.7341552, ' no': -5.5268292}
{' No': -0.014807202, '\n': -6.9916434, ' ': -6.8382, 'No': -4.9035287, ' Yes': -5.303696}
{' No': -0.052512173, ' ': -6.303921, 'No': -3.622071, ' Yes': -3.8273246, 'Yes': -7.895427}
{' No': -0.06742511, '\n': -6.595256, ' ': -6.0610433, 'No': -3.4211218, ' Yes': -3.589598}
{' No': -0.026543437, ' ': -7.335797, 'No': -4.855555, ' Yes': -4.0505834, ' 3': -9.032645}
{' No': -0.054229412, '\n': -5.983072, ' ': -5.4203653, 'No': -3.153909, ' Yes': -6.2381444}
{' No': -0.058414884, '\n': -7.886566, ' ': -6.559376, 'No': -3.4002576, ' Yes': -3.8849013}
{' No': -0.010650067, '\n': -6.4150596, ' ': -5.4053836, 'No': -7.0954204, ' Yes': -5.7028875}
{' No': -0.024230268, '\n': -5.3914843, ' ': -5.3324385, 'No': -4.2949038, ' Yes': -7.7731175}
{' No': -0.098923415, '\n': -3.068629, ' ': -3.9565952, 'No': -3.6392086, ' Yes': -7.3567553}
{' No': -0.0031802736, '\n': -8.88099, ' ': -6.4428434, 'No': -6.6126924, ' Yes': -10.2213545}
{' No': -0.138534, '\n': -3.8784304, ' ': -4.259446, 'No': -2.388578, ' no': -7.4178686}
{' No': -0.026498633, '\n': -6.318027, ' ': -5.270312, 'No': -4.171291, ' no': -6.452995}
{' No': -0.1854664, ' ': -5.2096314, 'No': -3.000629, ' Yes': -2.3213305, ' no': -5.537539}
{' No': -0.08172371, ' ': -6.474048, 'No': -2.5841403, ' Yes': -7.359725, ' no': -8.3339205}
{' No': -2.1759806, 'No': -4.597781, ' Yes': -0.20179276, ' yes': -4.6965904, 'Yes': -3.1846876}
{' No': -0.02912452, ' ': -6.582931, 'No': -4.632737, ' Yes': -4.0898237, ' no': -7.942489}
{' No': -0.24503832, '\n': -7.006617, ' ': -6.3036356, 'No': -1.5444176, ' Yes': -7.65191}
{' No': -0.08079925, ' ': -7.450074, 'No': -2.570061, 'no': -8.944595, ' no': -8.337514}
{' No': -0.0222401, '\n': -6.2857356, ' ': -4.6636376, 'No': -5.9569225, ' no': -5.1056523}
{' No': -0.04150673, '\n': -5.046044, ' ': -4.7958837, 'No': -3.770247, ' no': -6.2232127}
{' No': -0.12028569, '\n': -2.902409, ' ': -4.033612, 'No': -3.3539205, ' no': -5.793018}
{' No': -0.017022034, '\n': -6.2237077, ' ': -5.3403897, 'No': -4.7374506, ' no': -7.162626}
{' No': -0.21357295, '\n': -2.6054718, ' ': -4.128842, 'No': -2.3707385, ' no': -5.2339892}
{' No': -0.14981973, '\n': -3.8520005, ' ': -4.410758, 'No': -4.1105895, ' no': -2.6660998}
{' No': -0.01230257, '\n': -5.568365, ' ': -5.279186, 'No': -6.070503, ' Yes': -7.1880684}
{' No': -0.03921569, '\n': -4.5074983, ' ': -4.6998773, 'No': -4.1128316, ' Yes': -6.9259324}
{' No': -0.061435457, '\n': -3.7811735, ' ': -4.2126803, 'No': -3.928127, ' Yes': -7.104536}
{' No': -0.015549309, '\n': -6.059708, ' ': -4.7611566, 'No': -5.6620884, ' Yes': -7.1969323}
{' No': -0.06328139, '\n': -3.7328503, ' ': -4.6122746, 'No': -3.6478992, ' no': -7.9777765}
{' No': -0.091772564, '\n': -3.9181378, ' ': -4.1191616, 'No': -4.1503234, ' Yes': -3.6695426}
{'\n': -9.460773, ' ': -8.816574, ' Yes': -0.0039506108, ' yes': -9.487377, 'Yes': -5.620569}
{'\n': -9.92031, ' ': -7.6196513, ' Yes': -0.013349461, ' yes': -7.9355884, 'Yes': -4.4008327}
{'\n': -8.104904, ' ': -7.462053, ' Yes': -0.023947146, ' yes': -7.8006344, 'Yes': -3.8084338}
{' YES': -11.582466, ' ': -9.007548, ' Yes': -0.002329693, ' yes': -9.421367, 'Yes': -6.16701}
{'\n': -7.6808624, ' ': -7.0352383, ' Yes': -0.02164162, ' yes': -7.9212723, 'Yes': -3.9375615}
{'\n': -8.400058, ' ': -7.737528, ' Yes': -0.017653428, ' yes': -7.1724496, 'Yes': -4.142745}
{'\n': -6.227169, ' ': -5.8911476, ' Yes': -0.0075552035, ' yes': -7.485466, 'Yes': -6.1592307}
{'\n': -6.7281733, ' ': -6.548281, ' Yes': -0.016215287, ' yes': -7.3388166, 'Yes': -4.376054}
{'\n': -4.1906447, ' ': -5.258533, ' Yes': -0.05673356, ' yes': -6.6628966, 'Yes': -3.4193757}
{'\n': -8.8987665, ' ': -6.957563, ' Yes': -0.0035933047, ' yes': -8.309045, 'Yes': -6.1163177}
{'\n': -4.95841, ' ': -5.152723, ' Yes': -0.09324994, ' yes': -5.6841364, 'Yes': -2.6398578}
{'\n': -6.740983, ' ': -6.0598235, ' Yes': -0.022109747, ' yes': -5.401977, 'Yes': -4.3280373}
{'\n': -7.4313207, ' ': -6.724655, ' Yes': -0.039749928, ' yes': -4.714339, 'Yes': -3.5987496}
{' ': -7.088718, ' Yes': -0.032970473, ' yes': -6.4566927, 'Yes': -3.520918, 'yes': -8.900923}
{' ': -6.695727, ' Yes': -0.06060221, ' yes': -5.3133087, 'Yes': -2.9740925, 'yes': -7.56323}
{' YES': -9.142078, ' ': -7.2521515, ' Yes': -0.013782904, ' yes': -6.4628334, 'Yes': -4.5077424}
{' ': -7.120756, ' Yes': -0.10429595, ' yes': -6.4112473, 'Yes': -2.346716, 'yes': -7.8262205}
{' ': -8.02222, ' Yes': -0.037601504, ' yes': -5.225048, 'Yes': -3.484455, 'yes': -7.7896533}
{'\n': -5.9253907, ' ': -5.290837, ' Yes': -0.046121452, ' yes': -3.598722, 'Yes': -4.769712}
{'\n': -5.1809874, ' ': -5.27403, ' Yes': -0.04756302, ' yes': -5.138259, 'Yes': -3.545341}
{'\n': -3.745848, ' ': -4.907501, ' Yes': -0.09966285, ' yes': -4.1782036, 'Yes': -3.0841122}
{'\n': -7.1342816, ' ': -6.2934103, ' Yes': -0.016939765, ' yes': -5.747763, 'Yes': -4.541638}
{'\n': -3.6880164, ' ': -5.1757665, ' Yes': -0.1525181, ' yes': -4.1698728, 'Yes': -2.4039352}
{'\n': -4.6955733, ' ': -5.4625463, ' Yes': -0.14721538, ' yes': -2.282639, 'Yes': -4.0563893}
{'\n': -5.581306, ' ': -5.949891, ' Yes': -0.012369191, ' yes': -7.17609, 'Yes': -5.3175206}
{'\n': -5.305311, ' ': -5.913053, ' Yes': -0.026489206, ' yes': -6.579288, 'Yes': -4.096405}
{'\n': -4.316631, ' ': -5.211345, ' Yes': -0.04810857, ' yes': -6.039036, 'Yes': -3.700704}
{'\n': -6.0043745, ' ': -5.6169515, ' Yes': -0.012671877, ' yes': -7.5579004, 'Yes': -5.146091}
{'\n': -4.028923, ' ': -5.352643, ' Yes': -0.062355053, ' yes': -6.0378137, 'Yes': -3.3664415}
{'\n': -4.905892, ' ': -5.330492, ' Yes': -0.038570844, ' yes': -4.5528283, 'Yes': -4.274903}
{'\n': -10.981838, ' ': -9.618877, ' Yes': -0.0017553038, ' yes': -9.130554, 'Yes': -6.480377}
{' No': -6.9267592, ' ': -8.447068, ' Yes': -0.010167516, ' yes': -7.736451, 'Yes': -4.809171}
