{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Up': -0.04621795, ' up': -3.1902187, ' UP': -5.8696103, ' "': -7.038348, 'Up': -8.32912}
{' Up': -0.28457373, ' Down': -1.7830801, ' up': -2.9263945, ' down': -3.7298787, ' "': -6.6606703}
{' Up': -0.08535207, ' up': -2.5109482, ' UP': -8.308718, 'Up': -8.489206, ' "': -8.998397}
{' Up': -0.25624585, ' up': -1.8116105, ' Down': -3.0304081, ' down': -4.319192, ' "': -7.5818696}
{' Up': -0.040465213, ' up': -3.25957, ' Down': -7.7883453, ' UP': -8.143343, ' "': -8.210281}
{' Up': -0.17177798, ' up': -1.8714793, ' "': -5.9204135, ' UP': -7.7715316, ' Down': -8.227022}
{' Down': -0.14446358, ' down': -2.0401905, ' "': -5.880576, 'Down': -7.340619, ' Up': -7.647791}
{' Up': -0.115553916, ' up': -2.2375042, ' Down': -7.1224737, ' "': -7.248725, ' down': -7.928567}
{' Down': -0.20976156, ' down': -1.690398, ' "': -5.6830163, 'Down': -7.3242784, 'down': -7.4748425}
{' Up': -0.123353675, ' up': -2.202539, ' "': -5.459167, ' UP': -7.6178102, 'Up': -8.068917}
{' Down': -0.35557476, ' down': -1.3179829, ' Up': -4.1094084, ' "': -4.575135, ' up': -5.6530924}
{' Up': -0.10506445, ' up': -2.3181782, ' "': -7.4688463, 'Up': -8.376585, ' Down': -8.647308}
{' Down': -0.25363457, ' down': -1.5118667, ' "': -6.137902, 'Down': -7.169488, 'down': -7.646157}
{' Up': -0.09532643, ' up': -2.500575, ' "': -4.982873, ' UP': -6.4759398, 'Up': -8.144706}
{' Down': -0.10146306, ' down': -2.3787324, ' "': -5.8589354, 'Down': -7.5409937, ' DOWN': -8.455804}
{' Up': -0.037356947, ' up': -3.3807845, ' "': -6.751611, ' UP': -6.9454546, 'Up': -8.317615}
{' Down': -0.24228023, ' down': -1.5565443, ' "': -5.755366, 'Down': -7.5540533, ' DOWN': -8.155518}
{' Up': -0.1085569, ' up': -2.3215485, ' "': -5.787472, ' UP': -7.2153454, ' Down': -7.883697}
{' Down': -0.1299399, ' down': -2.1304128, ' "': -6.159299, 'Down': -7.4769144, 'down': -8.38923}
{' Up': -0.061786465, ' up': -2.855207, ' Down': -6.9357963, ' "': -7.491178, ' UP': -7.8282466}
{' Down': -0.10087339, ' down': -2.365823, ' "': -6.6544538, 'Down': -7.554248, 'down': -8.762154}
{' Up': -0.5720171, ' Down': -1.2064869, ' down': -2.7120662, ' up': -2.9420333, ' "': -4.120752}
{' Up': -0.13912204, ' up': -2.0553226, ' "': -6.969278, ' UP': -7.4403853, 'Up': -8.456537}
{' Up': -0.124970905, ' up': -2.719232, ' Down': -3.1428506, ' down': -5.342109, ' "': -5.829824}
{' Up': -0.13546371, ' up': -2.0948257, ' "': -6.1044936, ' UP': -7.4522114, ' Down': -7.829817}
{' Down': -0.152388, ' down': -1.9882015, ' Up': -6.4660754, ' "': -6.578001, 'Down': -7.144243}
{' Up': -0.09707733, ' up': -2.4078436, ' UP': -6.6201386, ' "': -7.199385, 'Up': -8.045147}
{' Down': -0.092305236, ' down': -2.8314235, ' Up': -3.6967516, ' up': -6.289714, ' "': -6.5262384}
{' Up': -0.051165797, ' up': -3.0459623, ' UP': -6.565087, ' "': -7.441823, 'Up': -8.2323675}
{' Down': -0.18596928, ' down': -1.9820433, ' Up': -3.837954, ' "': -5.239541, ' up': -5.922011}
{' Up': -0.1258662, ' up': -2.1633112, ' UP': -6.3691406, ' "': -6.7891407, 'Up': -7.975952}
{' Down': -0.26276064, ' down': -2.0152726, ' Up': -2.5992017, ' up': -4.009489, ' "': -5.6387963}
{' Up': -0.071760744, ' up': -2.7402081, ' UP': -5.789137, ' "': -6.7145905, 'Up': -8.076082}
{' Up': -0.3759361, ' Down': -1.4671512, ' up': -3.0902932, ' down': -3.3729928, ' "': -6.1359434}
{' Up': -0.10813809, ' up': -2.2870417, ' "': -7.920107, ' UP': -8.271072, 'Up': -8.314848}
{' Up': -0.20128417, ' Down': -2.2088697, ' up': -2.8465114, ' down': -4.3246837, ' "': -7.191657}
{' Up': -0.07329574, ' up': -2.7284718, ' Down': -5.6442013, ' down': -7.1862597, ' "': -7.5123267}
{' Up': -0.21272184, ' up': -1.6621598, ' "': -6.8626394, ' UP': -8.147185, 'Up': -8.181649}
{' Down': -0.22422928, ' down': -1.6220526, ' "': -6.1595883, 'Down': -7.5534067, 'down': -7.581055}
{' Up': -0.30102488, ' up': -1.3536086, ' "': -7.6758895, ' down': -7.8071876, ' Down': -7.9139304}
{' Down': -0.25623792, ' down': -1.5031651, ' "': -6.0804486, 'down': -7.391562, 'Down': -7.434832}
{' Up': -0.122375965, ' up': -2.2060018, ' "': -5.4693227, ' UP': -8.076672, 'Up': -8.325537}
{' Down': -0.30657548, ' down': -1.3722607, ' Up': -5.309221, ' "': -5.6286325, ' up': -6.8280954}
{' Up': -0.14226118, ' up': -2.0265765, ' "': -8.087399, 'Up': -8.292061, 'up': -9.220843}
{' Down': -0.32806054, ' down': -1.2826122, ' "': -6.810087, 'Down': -7.285414, 'down': -7.62122}
{' Up': -0.08628716, ' up': -2.5328965, ' "': -6.212626, ' UP': -7.0864987, 'Up': -8.159785}
{' Down': -0.11293576, ' down': -2.265825, ' "': -6.0078826, 'Down': -7.922067, 'down': -8.7676935}
{' Up': -0.038284246, ' up': -3.3139684, ' "': -7.5913577, ' UP': -8.082668, 'Up': -8.318409}
{' Down': -0.19749369, ' down': -1.7330694, ' "': -6.3982167, 'Down': -7.630784, 'down': -8.372709}
{' Up': -0.16482414, ' up': -1.9052815, ' "': -6.1365013, ' UP': -7.6859307, 'Up': -8.223799}
{' Down': -0.2890705, ' down': -1.3924698, ' "': -6.3164115, 'Down': -7.7766647, 'down': -8.153873}
{' Up': -0.11486033, ' up': -2.2356012, ' Down': -7.539194, ' "': -7.776685, 'Up': -8.536214}
{' Down': -0.17695937, ' down': -1.8295414, ' "': -7.0042863, 'Down': -7.5741143, 'down': -8.44267}
{' Down': -0.60958695, ' Up': -1.6011108, ' down': -1.6349032, ' up': -3.2988877, ' "': -3.829729}
{' Up': -0.102583066, ' up': -2.3415434, ' "': -7.466507, ' UP': -7.5437675, 'Up': -8.676712}
{' Up': -0.094057225, ' up': -2.525759, ' Down': -4.966017, ' "': -6.547918, ' down': -6.992782}
{' Up': -0.0898962, ' up': -2.473033, ' "': -7.051827, ' UP': -7.5142655, 'Up': -8.575833}
{' Down': -0.17619175, ' down': -1.8455261, ' "': -6.4060535, ' Up': -7.097515, 'Down': -7.315555}
{' Up': -0.13117136, ' up': -2.1124125, ' "': -6.9361806, ' UP': -7.2442346, 'Up': -8.360277}
{' Down': -0.047162615, ' down': -3.1442163, ' Up': -6.6390815, ' "': -7.164212, 'Down': -7.401836}
{' Up': -0.07790373, ' up': -2.6221638, ' UP': -6.733211, ' "': -7.204084, 'Up': -8.133509}
{' Down': -0.19962128, ' down': -1.905842, ' Up': -3.8531342, ' "': -5.127058, ' up': -5.715742}
{' Up': -0.09184209, ' up': -2.4594054, ' "': -6.925084, ' UP': -7.009333, 'Up': -8.1273985}
{' Down': -0.20137821, ' down': -1.9631218, ' Up': -3.508608, ' up': -4.9601746, ' "': -5.614449}
{' Up': -0.07622098, ' up': -2.6592152, ' UP': -6.230527, ' "': -6.8441577, 'Up': -8.226136}
{' Down': -0.20023873, ' down': -2.3464122, ' Up': -2.561544, ' up': -5.2494116, ' "': -6.107017}
{' Up': -0.074958056, ' up': -2.6400595, ' UP': -7.972876, 'Up': -8.26745, ' "': -8.44191}
{' Up': -0.32224038, ' up': -1.8674101, ' Down': -2.3104777, ' down': -3.908584, ' "': -6.7418323}
{' Up': -0.034469884, ' up': -3.412207, ' UP': -7.7216434, 'Up': -8.380032, ' "': -8.480654}
{' Up': -0.1784181, ' up': -1.8366613, ' "': -5.958243, ' Down': -7.831189, ' UP': -7.8520837}
{' Down': -0.13002129, ' down': -2.126653, ' "': -6.435928, 'Down': -7.4036283, 'down': -7.873269}
{' Up': -0.17390478, ' up': -1.8566289, ' Down': -6.5799174, ' down': -7.097962, ' "': -7.2880726}
{' Down': -0.15359879, ' down': -1.9712925, ' "': -6.2248588, 'Down': -7.4556503, 'down': -7.6769786}
{' Up': -0.10883511, ' up': -2.319723, ' "': -5.6589313, ' Down': -7.7551117, ' UP': -7.8698535}
{' Down': -0.30308402, ' down': -1.4336991, ' Up': -4.3160005, ' "': -5.3069615, ' up': -5.643849}
{' Up': -0.12697764, ' up': -2.1405294, ' Down': -7.6620913, ' "': -7.9121027, 'Up': -8.1053915}
{' Down': -0.23367429, ' down': -1.5794477, ' "': -6.7715197, 'Down': -7.3928075, 'down': -7.7703347}
{' Up': -0.06827606, ' up': -2.7984872, ' "': -5.5641155, ' UP': -7.0747375, 'Up': -8.244059}
{' Down': -0.12847106, ' down': -2.1427798, ' "': -6.0284567, 'Down': -7.6575365, 'down': -8.514118}
{' Up': -0.03291349, ' up': -3.525841, ' "': -6.857136, ' Down': -7.0945396, ' UP': -7.50201}
{' Down': -0.2824999, ' down': -1.4160067, ' "': -6.0069485, 'Down': -7.6641874, 'down': -8.123394}
{' Up': -0.100705944, ' up': -2.4021013, ' "': -5.7292724, ' Down': -7.0713205, ' UP': -7.7201796}
{' Down': -0.14864197, ' down': -1.9979653, ' "': -6.364523, 'Down': -7.6462483, 'down': -8.434909}
{' Up': -0.15053749, ' up': -2.0198421, ' Down': -5.5563984, ' down': -6.563038, ' "': -6.7918644}
{' Down': -0.12007355, ' down': -2.1950722, ' "': -6.911037, 'Down': -7.5322742, 'down': -8.599997}
{' Down': -0.5550136, ' Up': -1.5935173, ' down': -1.7283973, ' up': -3.485468, ' "': -4.3193088}
{' Up': -0.18390639, ' up': -1.7954863, ' UP': -6.954555, ' "': -7.2497234, 'Up': -8.526955}
{' Down': -0.70161116, ' Up': -0.8923422, ' down': -3.1096349, ' up': -3.1139262, ' "': -5.398335}
{' Up': -0.1622529, ' up': -1.9130864, ' "': -6.6233163, ' UP': -7.4728208, 'Up': -8.743253}
{' Down': -0.17095123, ' down': -1.8643372, ' "': -6.7332196, 'Down': -7.4911876, 'down': -8.6670885}
{' Up': -0.12399276, ' up': -2.1681118, ' UP': -6.8341594, ' "': -7.0706935, 'Up': -8.406481}
{' Down': -0.025395045, ' down': -3.7458038, 'Down': -7.427311, ' "': -7.520718, ' Up': -9.04539}
{' Up': -0.053576577, ' up': -2.996108, ' UP': -6.793799, ' "': -7.2355313, 'Up': -8.174697}
{' Down': -0.12971118, ' down': -2.2319622, ' "': -4.8066063, ' Up': -5.5561366, 'Down': -6.7804174}
{' Up': -0.098968364, ' up': -2.3876493, ' "': -6.857915, ' UP': -6.8797145, 'Up': -8.3502245}
{' Down': -0.093623415, ' down': -2.8034012, ' Up': -3.7895384, ' up': -6.087911, ' "': -6.100171}
{' Up': -0.07482591, ' up': -2.718678, ' "': -5.647339, ' UP': -6.1399236, 'Up': -7.9424615}
{' Down': -0.12808351, ' down': -2.3064034, ' Up': -4.057475, ' "': -6.8322477, ' up': -6.9260817}
{' Up': -0.07550016, ' up': -2.6321902, 'Up': -8.203448, ' UP': -8.315196, ' "': -8.405047}
{' Down': -0.0914551, ' Up': -3.0283427, ' down': -3.3421075, ' up': -6.1360755, ' "': -7.3854046}
{' Up': -0.027013928, ' up': -3.6656573, ' UP': -7.5866756, ' "': -8.262383, 'Up': -8.3232}
{' Up': -0.15272105, ' up': -1.9933391, ' "': -5.5381465, ' UP': -7.381852, 'Up': -8.049415}
{' Down': -0.13088477, ' down': -2.1237683, ' "': -6.3364854, 'Down': -7.2131066, 'down': -7.6645436}
{' Up': -0.22108266, ' up': -1.6287057, ' "': -7.176391, ' Down': -7.831739, ' down': -8.173047}
{' Down': -0.19059129, ' down': -1.7793021, ' "': -5.731253, 'down': -7.225026, 'Down': -7.3166475}
{' Up': -0.13345593, ' up': -2.1459584, ' "': -5.1321816, ' UP': -7.28917, ' Down': -7.362729}
{' Down': -0.3215855, ' down': -1.3480422, ' "': -4.860318, ' Up': -5.4184427, ' up': -6.5636983}
{' Up': -0.17329791, ' up': -1.8480223, ' "': -7.5598216, ' UP': -7.867719, 'Up': -8.080586}
{' Down': -0.18781185, ' down': -1.7888327, ' "': -5.87947, 'Down': -7.338519, 'down': -7.72304}
{' Up': -0.08777382, ' up': -2.6008372, ' "': -4.952129, ' UP': -6.115348, 'Up': -8.043092}
{' Down': -0.3754856, ' down': -1.1805203, ' "': -5.3815513, 'Down': -7.6307626, 'down': -7.722296}
{' Up': -0.0788878, ' up': -2.6794145, ' "': -5.433244, ' UP': -6.7774825, ' Down': -6.9864497}
{' Down': -0.3401742, ' down': -1.2675022, ' "': -5.2141037, 'Down': -7.589796, 'down': -7.6627755}
{' Up': -0.14269143, ' up': -2.0818298, ' "': -5.135779, ' UP': -6.3869195, 'Up': -8.036614}
{' Down': -0.24737388, ' down': -1.5400107, ' "': -5.670656, 'Down': -7.4015107, 'down': -7.933312}
{' Up': -0.18324703, ' up': -1.804602, ' "': -6.659336, ' UP': -7.5373573, ' Down': -7.881176}
{' Down': -0.27031127, ' down': -1.4581869, ' "': -5.778677, 'Down': -7.517469, 'down': -7.8657303}
{' Down': -0.52432513, ' Up': -1.6229942, ' down': -1.8074671, ' up': -3.6622872, ' "': -3.9372716}
{' Up': -0.31603542, ' up': -1.314313, ' "': -6.5093637, ' UP': -7.59656, 'Up': -8.641974}
{' Up': -0.46721104, ' Down': -1.3357605, ' up': -2.6783202, ' down': -3.2867107, ' "': -5.734663}
{' Up': -0.13066535, ' up': -2.2782102, ' Down': -4.3578916, ' "': -5.587454, ' down': -5.98902}
{' Down': -0.17474718, ' down': -1.8480164, ' "': -6.3834643, 'Down': -7.395946, 'down': -8.327827}
{' Up': -0.17128919, ' up': -1.8669182, ' UP': -6.5845566, ' "': -6.8766856, 'Up': -8.142823}
{' Down': -0.04173882, ' down': -3.2429867, 'Down': -7.1301575, ' "': -7.4048076, ' DOWN': -8.336748}
{' Up': -0.04596922, ' up': -3.158146, ' UP': -6.5026402, ' "': -7.470913, 'Up': -8.187965}
{' Down': -0.12295384, ' down': -2.202973, ' "': -5.6959, 'Down': -7.031841, ' DOWN': -7.527502}
{' Up': -0.13442515, ' up': -2.1014738, ' UP': -6.2831583, ' "': -6.714364, 'Up': -8.082862}
{' Down': -0.114835076, ' down': -2.247493, ' "': -6.6683397, 'Down': -7.124049, ' DOWN': -7.9889035}
{' Up': -0.066219576, ' up': -2.840704, ' UP': -5.5686812, ' "': -6.537899, 'Up': -7.9968605}
{' Down': -0.15036, ' down': -2.5157812, ' Up': -2.9602659, ' up': -5.8714237, ' "': -5.889488}
{' Up': -0.119445145, ' up': -2.1926603, ' UP': -7.8934426, ' "': -8.104873, 'Up': -8.374486}
{' Up': -0.3021439, ' Down': -1.812827, ' up': -2.5854251, ' down': -3.9278247, ' "': -6.2564034}
{' Up': -0.050225716, ' up': -3.0536149, ' "': -7.4268184, ' UP': -7.614803, ' Down': -7.810296}
{' Up': -0.14816934, ' up': -2.0063045, ' "': -6.1641965, ' UP': -7.8421736, 'Up': -8.018374}
{' Down': -0.15946794, ' down': -1.9433749, ' "': -5.894419, 'Down': -7.216957, 'down': -7.4689007}
{' Up': -0.21424375, ' up': -1.6574944, ' "': -7.3737946, ' Down': -7.4996533, ' down': -7.789803}
{' Down': -0.21211542, ' down': -1.6803142, ' "': -5.7127867, 'down': -7.2451563, 'Down': -7.3300886}
{' Up': -0.098898076, ' up': -2.3896961, ' "': -6.5251727, ' UP': -7.592891, 'Up': -7.989124}
{' Down': -0.27722377, ' down': -1.4703007, ' Up': -5.13097, ' "': -5.607509, ' up': -6.669935}
{' Up': -0.11918034, ' up': -2.1960616, 'Up': -8.080576, ' Down': -8.471767, ' "': -8.510816}
{' Down': -0.16564661, ' down': -1.895709, ' "': -6.6305056, 'Down': -7.341838, 'down': -7.926825}
{' Up': -0.06528402, ' up': -2.8359365, ' "': -5.8341994, ' UP': -6.755397, 'Up': -8.073028}
{' Down': -0.2326945, ' down': -1.5853059, ' "': -6.3262057, 'Down': -7.615894, 'down': -8.08859}
{' Up': -0.06231768, ' up': -2.865464, ' "': -6.376063, ' UP': -7.413998, ' Down': -7.4977818}
{' Down': -0.28862125, ' down': -1.4036001, ' "': -5.5407686, 'Down': -7.5508304, 'down': -7.9037027}
{' Up': -0.13442992, ' up': -2.1162148, ' "': -5.593677, ' UP': -6.9636784, 'Up': -7.994119}
{' Down': -0.20067763, ' down': -1.7252462, ' "': -5.936786, 'Down': -7.4025836, 'down': -8.147198}
{' Up': -0.1686907, ' up': -1.8788863, ' "': -6.9458838, ' Down': -7.6162977, ' UP': -7.979346}
{' Down': -0.20151405, ' down': -1.71539, ' "': -6.385899, 'Down': -7.5203404, 'down': -8.110789}
{' Down': -0.2824724, ' down': -1.4246536, ' "': -5.5320582, 'Down': -7.2489676, 'down': -8.018622}
{' Up': -0.18205458, ' up': -1.8050538, ' UP': -7.0945888, ' "': -7.1750083, 'Up': -8.201167}
{' Down': -0.3870198, ' Up': -1.6236913, ' down': -2.3950212, ' up': -3.6572835, ' "': -5.2028785}
{' Up': -0.08747524, ' up': -2.5062048, ' "': -6.882757, ' UP': -7.0351048, 'Up': -8.405544}
{' Down': -0.2065397, ' down': -1.6907202, ' "': -6.6656327, 'Down': -7.447575, 'down': -8.339775}
{' Up': -0.15106235, ' up': -1.9835035, ' "': -6.80158, ' UP': -6.8051753, 'Up': -8.094944}
{' Down': -0.047444575, ' down': -3.1136198, 'Down': -7.1910615, ' "': -7.6839113, ' Up': -7.990142}
{' Up': -0.06548135, ' up': -2.794336, ' UP': -6.7689857, ' "': -7.2946506, 'Up': -8.04776}
{' Down': -0.15182167, ' down': -1.9979635, ' "': -5.8030076, 'Down': -6.9326253, ' Up': -7.660984}
{' Up': -0.105398595, ' up': -2.3308852, ' UP': -6.701725, ' "': -6.753374, 'Up': -8.027599}
{' Down': -0.09453771, ' down': -2.456421, ' Up': -6.347284, ' "': -6.8199234, 'Down': -7.0637355}
{' Up': -0.0789808, ' up': -2.6314826, ' UP': -6.0481696, ' "': -6.7988276, 'Up': -7.835288}
{' Down': -0.18532343, ' down': -2.284088, ' Up': -2.8333602, ' up': -5.398847, ' "': -5.968356}
{' Up': -0.08707441, ' up': -2.4979668, ' UP': -7.46686, 'Up': -8.1914425, ' "': -8.3634205}
{' Up': -0.48687258, ' Down': -1.5990437, ' up': -1.9671334, ' down': -3.1902244, ' "': -6.4224467}
{' Up': -0.043060657, ' up': -3.1900427, ' UP': -7.7379055, ' "': -8.23667, 'Up': -8.353434}
{' Up': -0.20898864, ' up': -1.6973766, ' "': -5.4507256, ' UP': -7.985453, 'Up': -8.054537}
{' Down': -0.18401895, ' down': -1.8187178, ' "': -5.431331, 'Down': -7.211408, 'down': -7.4021087}
{' Up': -0.23748618, ' up': -1.5715888, ' "': -6.4334774, ' Down': -7.1594887, ' down': -7.3090076}
{' Down': -0.2003693, ' down': -1.7349877, ' "': -5.5812073, 'down': -7.3548355, 'Down': -7.3621535}
{' Up': -0.09663994, ' up': -2.4869654, ' "': -4.945372, ' Down': -7.2773685, ' UP': -7.773588}
{' Down': -0.25726235, ' down': -1.5363456, ' "': -4.6731405, ' Up': -7.1573057, 'Down': -7.2203355}
{' Up': -0.09577311, ' up': -2.4090571, ' "': -7.6132536, 'Up': -8.151868, ' Down': -8.256217}
{' Down': -0.2269982, ' down': -1.6138964, ' "': -5.9518247, 'Down': -7.2565274, 'down': -7.629494}
{' Up': -0.072779074, ' up': -2.7643607, ' "': -5.169665, ' UP': -7.016533, 'Up': -8.083555}
{' Down': -0.1479492, ' down': -2.0085354, ' "': -6.0464144, 'Down': -7.5612297, 'down': -8.344633}
{' Up': -0.051920217, ' up': -3.0620632, ' "': -6.3186665, ' Down': -7.1041584, ' UP': -7.500629}
{' Down': -0.13287014, ' down': -2.1263967, ' "': -5.5377965, 'Down': -7.324045, ' DOWN': -8.267275}
{' Up': -0.13227916, ' up': -2.146895, ' "': -5.2939305, ' UP': -7.1989274, ' Down': -7.5551453}
{' Down': -0.16464311, ' down': -1.9086196, ' "': -6.0035, 'Down': -7.3475413, 'down': -8.312411}
{' Up': -0.1805293, ' up': -1.8264567, ' Down': -6.4314213, ' "': -6.70303, ' down': -7.2138176}
{' Down': -0.28683114, ' down': -1.4024204, ' "': -6.069956, 'Down': -7.4267006, 'down': -7.956333}
{' Down': -0.3761692, ' down': -1.7274284, ' Up': -2.356762, ' "': -3.6713352, ' up': -4.258957}
{' Up': -0.15027444, ' up': -1.9837893, ' "': -6.9261723, ' UP': -7.343063, 'Up': -8.268322}
{' Up': -0.267973, ' up': -2.1596336, ' Down': -2.2993546, ' down': -4.3346786, ' "': -5.186886}
{' Up': -0.06543655, ' up': -2.7973452, ' "': -6.6874394, ' UP': -7.0867105, 'Up': -8.362554}
{' Down': -0.1372859, ' down': -2.084824, ' "': -6.16881, 'Down': -7.0345936, ' Up': -7.6351776}
{' Up': -0.119403765, ' up': -2.2031915, ' "': -6.8519287, ' UP': -7.327955, 'Up': -8.12788}
{' Down': -0.12131003, ' down': -2.300719, ' Up': -4.6562753, ' "': -6.167198, ' up': -6.800478}
{' Up': -0.060850997, ' up': -2.880528, ' UP': -6.6116543, ' "': -6.7442503, 'Up': -8.0450325}
{' Down': -0.1265538, ' down': -2.1954873, ' "': -5.4456396, ' Up': -6.6995096, 'Down': -6.84915}
{' Up': -0.10139221, ' up': -2.373033, ' "': -6.4615107, ' UP': -6.7047963, 'Up': -8.009265}
{' Down': -0.10499813, ' down': -2.4346604, ' Up': -4.927956, ' "': -6.044947, ' up': -6.7497077}
{' Up': -0.061108276, ' up': -2.9014995, ' UP': -5.993117, ' "': -6.56375, 'Up': -7.9696584}
{' Down': -0.41284272, ' Up': -1.402669, ' down': -2.6600828, ' up': -4.1674337, ' "': -5.1865087}
{' Up': -0.13126713, ' up': -2.105001, ' "': -7.4565477, 'Up': -8.234496, ' UP': -8.289731}
{' Up': -0.3777009, ' Down': -1.4445076, ' up': -2.855198, ' down': -3.9840949, ' "': -6.2638736}
{' Up': -0.034998506, ' up': -3.411627, ' UP': -7.5256195, ' "': -7.611816, 'Up': -8.183723}
{' Up': -0.27651024, ' up': -1.438162, ' "': -5.7392035, ' UP': -7.9898806, 'Up': -8.262675}
{' Down': -0.21995442, ' down': -1.6432904, ' "': -5.908928, 'Down': -7.3357263, 'down': -7.3905435}
{' Up': -0.269684, ' up': -1.4596541, ' Down': -6.7174697, ' down': -6.776048, ' "': -6.8273487}
{' Down': -0.30150566, ' down': -1.3635117, ' "': -5.7593546, 'down': -7.3167624, 'Down': -7.516057}
{' Up': -0.14019673, ' up': -2.0735674, ' "': -5.4969625, ' UP': -7.977286, 'Up': -8.3386545}
{' Down': -0.4583779, ' down': -1.0134888, ' "': -5.889194, 'down': -7.451127, ' Up': -7.4924326}
{' Up': -0.16964339, ' up': -1.8651923, ' "': -7.794576, 'Up': -8.350409, ' UP': -8.771379}
{' Down': -0.3972916, ' down': -1.1259979, ' "': -6.1025014, 'Down': -7.3413167, 'down': -7.5240364}
{' Up': -0.09086746, ' up': -2.529737, ' "': -5.1507087, ' UP': -6.9944377, 'Up': -8.15076}
{' Down': -0.25427595, ' down': -1.5142056, ' "': -5.657483, 'Down': -7.546312, 'down': -8.054038}
{' Up': -0.07593973, ' up': -2.6498036, ' "': -6.63307, ' UP': -7.5531178, 'Up': -8.318884}
{' Down': -0.34199673, ' down': -1.2552774, ' "': -5.6100454, 'Down': -7.7106776, 'down': -8.10185}
{' Up': -0.14986563, ' up': -2.0021145, ' "': -5.8931265, ' UP': -7.3241534, 'Up': -8.167513}
{' Down': -0.2632606, ' down': -1.4790864, ' "': -5.953814, 'Down': -7.554793, 'down': -7.9566426}
{' Up': -0.21173005, ' up': -1.677167, ' Down': -6.561549, ' down': -7.0185018, ' "': -7.018967}
{' Down': -0.1949657, ' down': -1.742432, ' "': -6.710649, 'Down': -7.579893, 'down': -8.386654}
{' Up': -0.3860829, ' Down': -1.583978, ' up': -2.8889189, ' down': -3.1812718, ' "': -4.067361}
{' Up': -0.24682741, ' up': -1.531524, ' "': -6.3490343, ' UP': -7.6688924, 'Up': -8.577035}
{' Up': -0.24646853, ' up': -1.7608824, ' Down': -3.4122953, ' down': -4.5741262, ' "': -5.9109764}
{' Up': -0.19514102, ' up': -1.8660089, ' Down': -4.3710155, ' down': -5.2961082, ' "': -5.4318867}
{' Down': -0.19220968, ' down': -1.7635978, ' "': -6.233277, 'Down': -7.281601, ' DOWN': -8.167222}
