{' !': -8.781245e-05, '!': -9.38345, ' @': -12.985971, ' ': -13.820295, '!.': -15.134049}
{' $': -0.023012936, ' !': -4.3011518, '$': -4.7027826, ' ': -10.147164, '$.': -10.356541}
{' !': -0.00092663785, '!': -7.678872, ' @': -7.701583, ' <': -12.422798, '@': -12.575353}
{' !': -0.028369209, ' @': -3.600486, '!': -7.6871233, '@': -8.5940275, ' ': -12.029379}
{' #': -0.002517846, ' @': -6.073719, '#': -8.653356, ' ': -11.188227, '\n': -11.208809}
{' #': -0.011496236, ' @': -4.492516, '#': -8.672212, '@': -10.450672, ' ': -10.979958}
{' $': -0.009551236, ' @': -4.847408, '$': -6.544066, '@': -9.701705, ' $\\': -9.995693}
{' $': -0.16530438, ' @': -1.896826, '$': -6.7517166, '@': -7.003193, '\n': -9.537359}
{' !': -0.0071373587, ' #': -5.0125155, '!': -7.7180634, '#': -11.969732, ' <': -12.702802}
{' !': -0.13523121, ' #': -2.0717564, '!': -7.7394733, '#': -9.490463, ' ': -12.424487}
{' @': -0.14711589, ' #': -2.0015087, '@': -6.476074, ' ': -9.859156, '#': -10.200453}
{' @': -0.40172604, ' #': -1.1103976, '@': -6.6880455, ' ': -9.694693, '#': -9.756878}
{' $': -0.07974288, ' #': -2.578047, '$': -7.444302, ' $\\': -10.149696, '#$': -10.226969}
{' #': -0.36840218, ' $': -1.1786209, '$': -8.454387, '#': -9.144404, '#$': -9.567853}
{' !': -0.00087646506, '!': -7.0645347, ' $': -11.410001, '!.': -12.025064, ' ': -13.106804}
{' !': -0.0012428861, ' $': -7.2797365, '!': -7.53016, '!.': -12.187482, ' ': -12.653597}
{' @': -0.0020805919, '@': -6.5617137, ' $': -7.4382715, ' ': -9.992612, '\n': -11.099873}
{' @': -0.0027384877, ' $': -6.3801565, '@': -6.95638, ' ': -10.044683, '\n': -10.836514}
{' #': -0.00029211643, ' $': -8.650318, '#': -9.570074, ' \\': -11.047507, ' ': -11.133529}
{' #': -0.0008298151, ' $': -7.2227287, '#': -9.899393, ' ': -10.88333, '\n': -11.474348}
{' !': -0.009315191, ' @': -4.692199, '!': -9.32129, '@': -11.606974, ' ': -12.303399}
{' !': -0.002969819, ' @': -5.861028, '!': -9.152063, ' !!': -12.240671, '@': -12.545864}
{' !': -0.053790722, ' #': -2.9525464, '!': -9.114864, '#': -10.113208, ' ': -12.115631}
{' !': -0.06610253, ' #': -2.7528262, '!': -8.836251, '#': -9.763104, ' ': -11.937265}
{' !': -0.0152961705, ' $': -4.2232256, '$': -8.159932, '!': -8.471331, ' ': -11.4034815}
{' !': -0.021784885, ' $': -3.8725138, '$': -7.6431947, '!': -8.497591, ' $$': -10.327143}
{' @': -0.016222313, ' !': -4.1929264, '@': -6.9794216, ' ': -10.265264, ' @@': -11.496032}
{' @': -0.012073958, ' !': -4.5567536, '@': -6.5704045, ' ': -9.877213, ' @@': -10.407269}
{' @': -0.025161527, ' #': -3.7392118, '@': -7.0152025, ' ': -9.5479, '@#': -10.278619}
{' @': -0.02314328, ' #': -3.8419795, '@': -6.7519484, ' ': -9.357047, ' @@': -9.569747}
{' @': -0.002734125, ' $': -6.492736, '@': -6.9435835, ' @@': -9.213421, ' $$': -9.463496}
{' @': -0.00446819, ' $': -5.9432244, '@': -6.681067, ' @@': -8.177009, ' $$': -8.510514}
{' #': -0.011606158, ' !': -4.4823318, '#': -8.463233, ' ': -11.625592, ' !!': -12.329021}
{' #': -0.003933795, ' !': -5.5912714, '#': -8.635282, ' ': -11.843274, ' !!': -12.579567}
{' #': -0.0015414446, ' @': -6.5162773, '#': -10.142589, ' ': -11.253421, '\n': -12.5991125}
{' #': -0.0024805001, ' @': -6.034899, '#': -10.096822, ' ': -10.740123, ' ##': -11.7483425}
{' #': -0.0007399787, ' $': -7.366739, '#$': -10.681297, ' $$': -10.728897, ' ##': -10.860524}
{' #': -0.00085099385, ' $': -7.2578793, ' ##': -10.360933, '#$': -10.5635605, ' $$': -10.587825}
{' $': -0.40221882, ' !': -1.1089983, '$.': -7.363566, '$': -8.093213, '!': -9.045505}
{' $': -0.22986883, ' !': -1.5912808, '$.': -6.9010124, '$': -7.817142, ' ': -9.477394}
{' $': -0.14757006, ' @': -2.0026057, ' $$': -6.6664147, '$.': -7.742625, ' ': -8.678164}
{' $': -0.10824336, ' @': -2.3009636, ' $$': -6.7909513, '$.': -7.267493, ' $\\': -8.5063}
{' $': -0.12308177, ' #': -2.1797144, '$.': -6.1118894, ' $$': -8.558466, ' ': -8.854726}
{' $': -0.08279138, ' #': -2.558213, '$.': -6.766066, ' $$': -7.854703, ' ': -8.716491}
{' !': -0.09263685, ' @': -2.4270408, '@': -9.397312, '!': -9.454235, ' ': -11.301989}
{' !': -0.019060722, ' @': -3.9774597, '!': -9.085613, '@': -10.774973, ' !!': -11.895178}
{' !': -0.25839755, ' #': -1.4809699, '#': -8.720292, '!': -9.111039, ' ': -11.246367}
{' !': -0.1778596, ' #': -1.8164762, '#': -8.706212, '!': -8.780799, ' ': -11.409515}
{' !': -0.13512737, ' $': -2.083112, '$': -6.432315, '!': -8.6915865, ' $$': -10.7411995}
{' !': -0.10725318, ' $': -2.3079844, '$': -6.2570133, '!': -8.557732, ' $$': -9.553823}
{' @': -0.019914525, ' !': -3.974733, '@': -7.098131, ' ': -9.942017, ' @@': -10.269958}
{' @': -0.010058353, ' !': -4.758212, '@': -6.695143, ' @@': -9.240737, ' ': -9.692329}
{' @': -0.041232895, ' #': -3.2277772, '@': -7.443916, ' ': -9.670915, ' @@': -10.326648}
{' @': -0.022090312, ' #': -3.8759356, '@': -7.055163, ' ': -9.413778, ' @@': -9.540408}
{' @': -0.006480051, ' $': -5.274649, '@': -6.898426, ' $$': -8.82832, ' @@': -9.167431}
{' @': -0.0042132274, ' $': -6.025449, '@': -6.8661566, ' @@': -7.925338, ' $$': -8.17126}
{' #': -0.00801569, ' !': -4.862857, '#': -8.358411, ' ': -11.363378, '!': -12.590018}
{' #': -0.0047910726, ' !': -5.3901877, '#': -8.549727, ' ': -11.449425, ' ##': -12.391639}
{' #': -0.004553991, ' @': -5.416316, '#': -9.80156, ' ': -10.537906, ' ##': -11.974631}
{' #': -0.008342718, ' @': -4.809187, '#': -9.630132, ' ': -10.180013, ' ##': -10.65931}
{' #': -0.0018904957, ' $': -6.3426547, '#$': -10.495192, '#': -10.5135, ' $$': -10.530116}
{' #': -0.0023139836, ' $': -6.1552906, ' $$': -9.877752, ' ##': -10.266705, '#$': -10.271532}
{' $': -0.5325194, ' !': -0.8886233, '$.': -6.7760954, '$': -8.581253, '!': -9.06201}
{' $': -0.3391253, ' !': -1.253388, '$.': -6.55958, '$': -8.16504, ' ': -9.140661}
{' $': -0.39022255, ' @': -1.1385041, '$.': -6.667228, ' $$': -6.836567, ' ': -8.695361}
{' $': -0.23785855, ' @': -1.5709445, ' $$': -6.137036, '$.': -7.063272, ' ': -8.195575}
{' $': -0.13964888, ' #': -2.054186, '$.': -6.4656315, ' $$': -8.382052, ' ': -8.848981}
{' $': -0.13676761, ' #': -2.073394, '$.': -6.8612676, ' $$': -7.604865, ' ': -8.514435}
{' @': -0.0024552841, '@': -6.044287, ' ': -9.953421, ' @@': -11.098062, '\n': -12.035889}
{' @': -0.0039455225, '@': -5.5869875, ' !': -9.382478, ' ': -9.916317, ' @@': -10.184887}
{' #': -0.00019607085, '#': -8.768535, ' !': -10.597787, ' ': -11.49005, '\n': -13.4381275}
{' #': -0.00027780765, '#': -8.519481, ' !': -9.719342, ' ': -11.409413, '\n': -12.798797}
{' $': -0.0033325243, '$': -5.7990913, ' $\\': -8.854052, ' !': -10.120605, ' $(': -10.154045}
{' $': -0.0049831616, '$': -5.38029, ' $\\': -9.076631, ' !': -9.479947, ' $$': -9.769017}
{' !': -0.0046065645, ' @': -5.476946, '!': -7.8864913, ' !!': -10.622097, '@': -11.841908}
{' !': -0.010645549, ' @': -4.6002617, '!': -7.6607347, ' !!': -10.366764, '@': -10.5089855}
{' #': -0.001898018, ' @': -6.316113, '#': -9.862812, ' ': -11.260919, '\n': -11.502209}
{' #': -0.007298436, ' @': -4.9401116, '#': -9.752739, ' ': -10.91539, '\n': -10.949148}
{' $': -0.020133259, ' @': -4.004224, '$': -6.9416175, ' $$': -7.9480777, ' $\\': -8.522277}
{' $': -0.045352884, ' @': -3.1611304, '$': -6.8435283, ' $$': -7.530664, '@': -9.089579}
{' !': -0.028953388, ' #': -3.5672853, '!': -8.163255, '#': -11.505018, ' !!': -11.95961}
{' !': -0.19501662, ' #': -1.7332093, '!': -7.905154, '#': -9.668574, ' !!': -10.81107}
{' @': -0.009904234, ' #': -4.7314615, '@': -7.021386, ' ': -9.854969, ' @@': -10.030469}
{' @': -0.067743525, ' #': -2.752371, '@': -6.549484, ' @@': -9.267391, '@#': -9.550611}
{' $': -0.031561602, ' #': -3.5013626, '$': -7.9873815, ' $$': -8.444244, ' $\\': -8.720352}
{' $': -0.17048745, ' #': -1.8605776, ' $$': -7.9233155, '$': -8.000844, ' $\\': -8.6257925}
{' !': -0.0013924524, '!': -7.3121905, ' $': -7.3310184, '!.': -9.876421, ' !!': -11.838502}
{' !': -0.0079326555, ' $': -4.9084086, '!': -7.761146, '!.': -10.102377, '$.': -11.273837}
{' @': -0.0011395275, '@': -7.1353216, ' @@': -8.879158, ' $': -9.009516, ' ': -9.896431}
{' @': -0.0018004444, ' $': -7.195207, '@': -7.2991424, ' @@': -8.383125, ' ': -9.605527}
{' #': -0.00026242502, ' $': -8.812924, ' \\': -10.53036, ' ': -10.55126, '#': -10.583144}
{' #': -0.0007109312, ' $': -7.4573164, ' ': -10.093635, ' ##': -10.411704, '#': -10.890409}
{' @': -0.0035640525, '@': -5.6664433, ' ': -9.729637, ' @@': -11.068045, '\n': -11.951061}
{' @': -0.005812322, '@': -5.174912, ' ': -9.773293, ' !': -10.32865, ' @@': -10.568943}
{' #': -0.0002395332, '#': -8.653228, ' !': -9.969026, ' ': -11.410193, ' "#': -13.047213}
{' #': -0.00041166772, '#': -8.166049, ' !': -9.116153, ' ': -11.472934, '\n': -12.756078}
{' $': -0.002716971, '$': -6.0327806, ' $\\': -8.657401, ' $(': -9.77837, ' $$': -10.400262}
{' $': -0.0038038322, '$': -5.678471, ' $\\': -8.8327465, ' $$': -9.351429, ' $(': -9.984243}
{' !': -0.002339312, ' @': -6.2749066, '!': -7.7404346, ' !!': -11.792509, '@': -12.027736}
{' !': -0.0022101537, ' @': -6.447561, '!': -7.420423, '@': -11.548665, ' !!': -11.715024}
{' #': -0.005258634, ' @': -5.2768764, '#': -9.4532795, '\n': -10.838533, ' ': -10.988603}
{' #': -0.005154079, ' @': -5.2992864, '#': -9.313113, '\n': -10.894871, ' ': -10.993324}
{' $': -0.0083668195, ' @': -4.9660845, '$': -7.141502, ' $$': -8.054221, ' $\\': -9.565513}
{' $': -0.011522405, ' @': -4.626665, '$': -6.8201237, ' $$': -7.982122, ' $\\': -9.593418}
{' !': -0.06736683, ' #': -2.7344885, '!': -8.5677395, '#': -10.927205, ' !!': -11.781728}
{' !': -0.40582678, ' #': -1.098715, '!': -8.67881, '#': -9.390163, ' !!': -11.3133545}
{' @': -0.031000257, ' #': -3.5222454, '@': -7.068342, ' ': -10.071276, '@#': -10.19304}
{' @': -0.2567901, ' #': -1.4905949, '@': -6.9759307, '@#': -9.174161, ' @@': -9.649674}
{' $': -0.10893779, ' #': -2.2797542, '$': -8.189827, ' $\\': -8.572314, ' $$': -8.657844}
{' $': -0.4145999, ' #': -1.0840241, ' $$': -7.9585714, '$': -8.132661, ' $\\': -8.717868}
{' !': -0.00098606, '!': -7.2498407, ' $': -8.407444, '!.': -10.260904, ' !!': -11.723495}
{' !': -0.0012402597, '!': -7.4286256, ' $': -7.4614162, '!.': -9.884859, ' !!': -11.7031765}
{' @': -0.0011457329, '@': -7.3993826, ' $': -8.168035, ' @@': -8.903226, ' ': -9.704501}
{' @': -0.0027882175, ' $': -6.526115, '@': -6.981468, ' @@': -8.590746, ' ': -9.620008}
{' #': -0.00029569364, ' $': -8.757788, ' \\': -10.20769, ' ': -10.437576, '#': -10.525336}
{' #': -0.0006719809, ' $': -7.577267, '#': -10.128656, ' ': -10.263532, '\n': -10.459803}
{' !': -5.8725527e-05, '!': -9.780602, ' ': -13.228785, '\n': -15.508687, ' !!': -16.508137}
{' !': -5.6102934e-05, '!': -9.817629, ' ': -13.550666, '\n': -15.910787, ' !!': -16.420692}
{' !': -7.9112084e-05, '!': -9.46603, ' ': -13.561259, '\n': -15.466306, ' !!': -16.283567}
{' !': -7.958892e-05, '!': -9.458703, ' ': -13.557572, '\n': -15.67075, ' !!': -16.382893}
{' !': -7.708367e-05, '!': -9.492827, ' ': -13.486244, '\n': -15.406146, '!.': -16.755737}
{' !': -6.7307614e-05, '!': -9.639904, ' ': -13.264047, '\n': -15.248851, ' !!': -16.739618}
{' @': -0.0009864176, '@': -7.076483, ' ': -9.148823, '\n': -10.708663, ' "@': -12.111988}
{' @': -0.0009506823, '@': -7.1369295, ' ': -9.052981, '\n': -10.57819, ' "@': -12.277853}
{' @': -0.00061215885, '@': -7.5224876, ' ': -9.957285, '\n': -11.365184, ' @@': -12.337273}
{' @': -0.0006931559, '@': -7.437676, ' ': -9.656942, '\n': -10.968984, ' #': -11.217618}
{' @': -0.00072733505, '@': -7.3838806, ' ': -9.908267, '\n': -10.11613, ' @@': -11.6262455}
{' @': -0.0007264987, '@': -7.402134, ' ': -9.817497, '\n': -10.085455, ' @@': -11.333566}
{' #': -3.965026e-05, '#': -10.701957, ' ': -11.318235, '\n': -12.71789, ' "#': -14.025306}
{' #': -3.7743856e-05, '#': -10.694707, ' ': -11.5210905, '\n': -12.704031, ' "#': -14.212068}
{' #': -1.7595703e-05, '#': -11.685814, ' ': -12.069515, '\n': -12.826163, ' "#': -14.94762}
{' #': -2.5464416e-05, '#': -11.459469, ' ': -11.459988, '\n': -12.664726, ' ##': -15.299601}
{' #': -3.655083e-05, ' ': -11.276814, '#': -11.375602, '\n': -11.486787, ' "#': -14.349574}
{' #': -4.3108244e-05, ' ': -11.023007, '#': -11.26289, '\n': -11.4018755, ' "#': -14.326809}
{' $': -0.00049872854, '$': -8.507893, ' $\\': -9.022148, '$.': -9.478969, ' ': -9.608452}
{' $': -0.0006565927, '$': -8.03702, ' $\\': -8.770248, '$.': -9.521926, ' ': -9.615059}
{' $': -0.0005734527, ' $\\': -8.083045, '$': -8.806865, ' ': -9.842671, '$.': -10.511117}
{' $': -0.0007326985, ' $\\': -7.8407516, '$': -8.62121, ' ': -9.415525, '$.': -10.4611845}
{' $': -0.00024906988, ' $\\': -9.287936, '$': -9.365533, ' ': -10.360433, ' $$': -11.055428}
{' $': -0.00033749174, ' $\\': -8.975356, '$': -8.999087, ' ': -10.091361, ' $$': -10.905313}
{' !': -6.38515e-05, '!': -9.694335, ' ': -13.173353, '\n': -16.319792, ' !!': -16.423027}
{' !': -6.38515e-05, '!': -9.682726, ' ': -13.598148, ' !!': -16.19501, '\n': -16.612797}
{' !': -7.517727e-05, '!': -9.520161, ' ': -13.424942, '\n': -15.823442, ' !!': -16.2756}
{' !': -8.268835e-05, '!': -9.423359, ' ': -13.423565, '\n': -15.910959, ' !!': -16.20315}
{' !': -7.314978e-05, '!': -9.546204, ' ': -13.594715, '\n': -15.434385, '!.': -16.685808}
{' !': -7.744129e-05, '!': -9.495599, ' ': -13.309107, '\n': -15.315045, ' $': -16.509651}
{' @': -0.00082217914, '@': -7.2625613, ' ': -9.301448, '\n': -10.827395, ' "@': -12.814158}
{' @': -0.00088851544, '@': -7.2125564, ' ': -9.101127, '\n': -10.446908, ' @@': -12.747691}
{' @': -0.0007313909, '@': -7.393431, ' ': -9.586433, ' #': -10.637766, '\n': -11.239677}
{' @': -0.00072142907, '@': -7.466948, ' ': -9.6158695, ' #': -9.726208, '\n': -11.167131}
{' @': -0.00077356264, '@': -7.342599, ' ': -9.701255, '\n': -10.075803, ' @@': -11.109107}
{' @': -0.0008623262, '@': -7.2393703, ' ': -9.648396, '\n': -9.869348, ' @@': -11.101501}
{' #': -5.109523e-05, '#': -10.415207, ' ': -11.029467, '\n': -12.77112, ' "#': -14.192793}
{' #': -4.716134e-05, '#': -10.449729, ' ': -11.259365, '\n': -12.835627, ' !': -14.0082655}
{' #': -3.3212986e-05, '#': -10.982564, ' ': -11.34004, '\n': -12.9059, ' ##': -14.536495}
{' #': -3.4403198e-05, '#': -11.079166, ' ': -11.152178, '\n': -12.807185, ' ##': -14.537761}
{' #': -4.0009756e-05, '#': -11.175402, ' ': -11.179942, '\n': -11.632892, ' ##': -13.652856}
{' #': -5.4314798e-05, '#': -10.832326, ' ': -10.887956, '\n': -11.358802, ' ##': -13.644414}
{' $': -0.00038471434, '$.': -9.208417, '$': -9.236816, ' $\\': -9.41463, ' ': -9.570844}
{' $': -0.00071558316, '$': -8.1538315, '$.': -8.867134, ' $\\': -8.893715, ' ': -9.281001}
{' $': -0.00036742157, ' $\\': -8.840471, '$.': -9.419795, ' ': -9.791312, '$': -9.834573}
{' $': -0.0008054749, ' $\\': -7.8048763, '$': -8.564621, ' ': -9.163747, '$.': -10.070126}
{' $': -0.00022707166, ' $\\': -9.518417, '$': -9.699542, ' ': -10.229923, '$.': -10.698376}
{' $': -0.00030082333, ' $\\': -9.343292, '$': -9.358239, ' ': -9.956623, ' #': -10.200975}
{' @': -0.0021772392, '@': -6.164311, ' ': -9.77166, '\n': -11.795499, ' @@': -12.688469}
{' @': -0.0017650947, '@': -6.378701, ' ': -9.886475, '\n': -11.692214, ' @@': -12.776833}
{' #': -0.00015648511, '#': -8.925765, ' ': -11.016502, '\n': -12.694868, ' "#': -13.447136}
{' #': -0.00012238578, '#': -9.263563, ' ': -10.8718605, '\n': -12.331484, '\xa0': -13.471464}
{' $': -0.0019443019, '$': -6.3222413, ' $\\': -9.061734, ' ': -11.327035, ' $$': -11.968043}
{' $': -0.002023613, '$': -6.28533, ' $\\': -9.389921, ' !': -10.060395, ' ': -11.127294}
{' !': -0.00028424585, '!': -8.171907, ' ': -13.801109, ' !!': -15.321021, ' @': -15.605426}
{' !': -0.00028341232, '!': -8.176389, ' ': -13.58437, '\n': -15.053204, ' @': -15.084108}
{' #': -8.5905114e-05, '#': -9.699417, ' ': -11.092101, '\n': -12.21666, ' @': -13.333963}
{' #': -8.8051806e-05, '#': -9.826574, ' ': -10.790489, '\n': -11.783904, ' @': -12.711235}
{' $': -0.0012445559, '$': -6.8286767, ' $\\': -9.333389, ' $$': -10.608839, '\n': -10.697212}
{' $': -0.00136434, '$': -6.7354836, ' $\\': -9.554675, ' $$': -10.263666, '\n': -10.31239}
{' !': -0.00021586417, '!': -8.447166, ' ': -14.095952, ' #': -15.537626, ' !!': -15.934628}
{' !': -0.00036849445, '!': -7.9147663, ' ': -13.418238, ' #': -13.845623, '\n': -15.097836}
{' @': -0.0013624298, '@': -6.6383033, ' ': -10.558057, ' @@': -11.643833, '\n': -11.710439}
{' @': -0.0009676259, '@': -7.0067782, ' ': -10.701487, ' #': -10.758106, ' @@': -11.651371}
{' $': -0.0005611666, '$': -7.771755, ' #': -9.68262, ' $\\': -9.935223, ' $$': -11.3874}
{' $': -0.0012840637, ' #': -7.214508, '$': -7.7172565, ' $\\': -9.884951, ' $$': -10.913557}
{' !': -0.000591287, '!': -7.4368663, ' ': -13.886832, '!.': -14.384175, '\n': -15.320712}
{' !': -0.000591883, '!': -7.43751, ' ': -13.4601345, '!.': -14.202246, '\n': -14.716951}
{' @': -0.0012876457, '@': -6.691046, ' ': -10.632774, '\n': -11.413683, ' @@': -12.038726}
