{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' Generally': -5.739181, ' Yes': -0.18341951, ' Ant': -5.2990565, ' yes': -6.371446, 'Yes': -1.8755885}
{' ': -8.113832, ' Generally': -8.527695, ' Yes': -0.028879702, ' yes': -5.5235295, 'Yes': -3.7529662}
{' Generally': -7.6049523, ' Yes': -0.038135126, ' Ant': -7.504091, ' yes': -5.6449113, 'Yes': -3.4363377}
{' ': -6.533248, ' Yes': -0.06603465, ' yes': -2.925194, 'Yes': -4.908177, 'yes': -7.3897433}
{' ': -6.963647, ' Yes': -0.071138866, ' yes': -2.8193686, 'Yes': -4.965214, 'yes': -7.466062}
{'\n': -7.0543923, ' ': -7.108498, ' Yes': -0.03636974, ' yes': -4.847798, 'Yes': -3.657406}
{'\n': -7.2954526, ' ': -7.557715, ' Yes': -0.036994122, ' yes': -5.010125, 'Yes': -3.5723486}
{'\n': -4.3083615, ' ': -5.6313906, ' Yes': -0.099129654, ' yes': -4.7466936, 'Yes': -2.6951666}
{'\n': -4.4811325, ' ': -6.169834, ' Yes': -0.082783215, ' yes': -4.7236443, 'Yes': -2.889969}
{'\n': -8.410673, ' ': -8.211817, ' Yes': -0.0160627, ' yes': -5.6811514, 'Yes': -4.43274}
{'\n': -9.05855, ' Yes': -0.016153496, ' yes': -5.4982224, 'Yes': -4.4602127, 'yes': -9.014414}
{' No': -2.6859024, '\n': -2.7377934, 'No': -3.7647367, ' Yes': -0.31852216, 'Yes': -2.4113622}
{' No': -5.1192846, '\n': -4.3718514, ' Yes': -0.16380405, ' yes': -4.1768994, 'Yes': -2.2205284}
{'\n': -6.402513, ' Yes': -0.11834018, ' yes': -2.4194646, 'Yes': -4.054951, 'yes': -6.362478}
{'\n': -6.453469, ' Yes': -0.14879635, ' yes': -2.2347224, 'Yes': -3.6852021, 'yes': -5.8399153}
{'\n': -7.0933013, ' ': -7.646103, ' Yes': -0.0068190643, ' yes': -6.9450336, 'Yes': -5.4250546}
{'\n': -6.506534, ' ': -7.5718136, ' Yes': -0.0075476365, ' yes': -7.3260274, 'Yes': -5.354702}
{'\n': -5.5739365, ' ': -6.5841327, ' Yes': -0.024471568, ' yes': -7.136898, 'Yes': -4.016169}
{'\n': -5.357399, ' ': -6.844484, ' Yes': -0.024078349, ' yes': -7.3099437, 'Yes': -4.0706306}
{'\n': -5.6190276, ' ': -6.3117023, ' Yes': -0.029546376, ' yes': -6.825828, 'Yes': -3.8143423}
{'\n': -5.566664, ' ': -6.2344174, ' Yes': -0.030056976, ' Ant': -6.2563024, 'Yes': -3.9207718}
{'\n': -6.5944867, ' ': -6.6006036, ' Yes': -0.0066191815, ' yes': -7.8963475, 'Yes': -5.6798387}
{'\n': -5.447335, ' ': -6.4168625, ' Yes': -0.012146538, ' yes': -7.83742, 'Yes': -5.1799817}
{' No': -4.9464717, '\n': -4.778026, ' ': -5.4990516, ' Yes': -0.056816015, 'Yes': -3.3991427}
{' No': -2.7570555, '\n': -5.0693417, ' ': -5.095881, ' Yes': -0.11316321, 'Yes': -3.717228}
{'\n': -6.4298153, ' ': -6.5334873, ' Yes': -0.020588337, ' yes': -5.1698384, 'Yes': -4.4918804}
{'\n': -6.857433, ' ': -6.8197, ' Yes': -0.020854015, ' yes': -5.230168, 'Yes': -4.3634043}
{' An': -5.5697403, ' No': -3.1179047, ' Generally': -5.666984, ' Yes': -0.061515704, 'Yes': -5.2912617}
{' No': -8.019825, ' Generally': -7.0661407, ' Yes': -0.006523366, ' Ant': -6.633806, 'Yes': -5.677969}
{' An': -6.0555315, ' No': -4.896938, ' Generally': -4.5951304, ' Yes': -0.045631155, 'Yes': -3.9084544}
{' No': -8.483339, ' Generally': -6.567144, ' Yes': -0.013400928, ' Ant': -7.155435, 'Yes': -4.5776215}
{' An': -6.6391163, ' No': -4.9794965, '\n': -6.4443746, ' Yes': -0.028853202, 'Yes': -4.177897}
{'\n': -7.4388957, ' Generally': -7.5876546, ' Yes': -0.0148726, ' Ant': -7.269427, 'Yes': -4.454282}
{' An': -7.114563, ' No': -7.85416, ' Generally': -6.007669, ' Yes': -0.010233031, 'Yes': -5.128956}
{' Generally': -7.751032, ' Yes': -0.0055447887, ' Ant': -7.556635, ' yes': -8.574728, 'Yes': -5.453203}
{' An': -4.6349235, ' No': -0.31771296, ' Generally': -4.396467, 'No': -2.3312168, ' Yes': -2.0639517}
{'\n': -6.139105, ' Generally': -6.089037, ' Yes': -0.028547175, ' Ant': -5.968868, 'Yes': -4.0509663}
{' An': -7.158428, ' No': -6.929218, ' Generally': -5.3686824, ' Yes': -0.029206757, 'Yes': -3.9171631}
{' Generally': -6.2459345, ' Yes': -0.017791392, ' Ant': -7.7634177, ' yes': -7.7563214, 'Yes': -4.2655025}
{' No': -1.9374166, '\n': -6.46953, ' ': -6.4480386, ' Yes': -0.16491559, 'Yes': -6.017235}
{'\n': -8.350025, ' ': -8.907864, ' Yes': -0.0023121918, ' yes': -8.196074, 'Yes': -6.416534}
{' No': -2.7419424, '\n': -4.284221, ' ': -5.3522134, ' Yes': -0.11270437, 'Yes': -4.2246294}
{'\n': -7.5713415, ' ': -7.709655, ' Yes': -0.009385583, ' yes': -7.354945, 'Yes': -4.9801817}
{' No': -1.7084407, '\n': -1.662241, ' ': -3.450798, ' Yes': -0.5905533, 'Yes': -3.827938}
{'\n': -3.4049761, ' ': -4.9842134, ' Yes': -0.06454503, ' yes': -6.757561, 'Yes': -3.8809533}
{' No': -3.0782425, ' ': -7.0599184, 'No': -7.8748307, ' Yes': -0.05250087, 'Yes': -5.830636}
{'\n': -10.077649, ' ': -9.510862, ' Yes': -0.001765334, ' yes': -8.745156, 'Yes': -6.5486283}
{' No': -0.63977337, '\n': -2.9475086, 'No': -2.2903528, ' Yes': -1.3308935, 'Yes': -3.821679}
{'\n': -4.252069, ' ': -5.0447497, ' Yes': -0.087959096, ' Ant': -6.115091, 'Yes': -2.8629317}
{'\n': -6.6097975, ' ': -6.2881575, ' Yes': -0.019431558, ' yes': -6.061595, 'Yes': -4.396173}
{'\n': -8.053614, ' ': -7.450906, ' Yes': -0.012550188, ' yes': -5.9958754, 'Yes': -4.7692065}
{' An': -6.573162, ' No': -4.892615, ' Yes': -0.031939052, ' yes': -6.4091473, 'Yes': -3.9963536}
{' Generally': -5.7753453, ' Yes': -0.038075436, ' Ant': -5.9309163, ' yes': -6.42331, 'Yes': -3.5411615}
{' No': -0.47109365, ' Generally': -7.246001, 'No': -2.1194737, ' Yes': -1.420486, 'Yes': -4.455856}
{' No': -7.360386, ' Generally': -6.919264, ' Yes': -0.04360449, ' yes': -7.2851663, 'Yes': -3.2269404}
{' No': -0.6512321, ' ': -6.9503465, 'No': -2.6732142, ' Yes': -0.94086117, 'Yes': -4.107821}
{' No': -7.9744, ' Generally': -8.280096, ' Yes': -0.05218205, ' yes': -7.346651, 'Yes': -3.0169952}
{' No': -0.43909836, ' ': -7.537451, 'No': -4.089817, ' Yes': -1.0986538, 'Yes': -5.5461955}
{' ': -9.417597, ' Generally': -8.3101635, ' Yes': -0.009697536, ' yes': -7.8859773, 'Yes': -4.729195}
{' An': -6.1120486, ' No': -0.41277853, '\n': -6.651809, 'No': -1.1133574, ' Yes': -6.003444}
{' No': -3.005436, 'No': -3.538065, ' Yes': -0.26207942, ' Ant': -3.1806066, 'Yes': -2.3246539}
{' An': -3.0043707, ' No': -0.47280797, 'No': -2.0817423, ' Yes': -1.6945392, 'Yes': -4.782775}
{'\n': -7.073053, ' Yes': -0.06794503, ' Ant': -6.2118807, ' yes': -5.663255, 'Yes': -2.8602576}
{' No': -6.902634, ' ': -6.6212544, ' Yes': -0.014414677, ' yes': -4.7565966, 'Yes': -5.915473}
{'\n': -7.923505, ' ': -7.671317, ' Yes': -0.015510261, ' yes': -4.3890643, 'Yes': -6.190238}
{' No': -6.7928004, '\n': -6.149398, ' Yes': -0.03372193, ' yes': -5.3298416, 'Yes': -3.7532022}
{'\n': -7.327254, ' ': -7.82301, ' Yes': -0.0220649, ' yes': -5.3303304, 'Yes': -4.157372}
{' No': -1.3733922, '\n': -1.6231347, 'No': -3.296732, ' Yes': -0.79278964, 'Yes': -3.4845371}
{'\n': -3.557247, ' ': -5.816294, ' Yes': -0.08378176, ' yes': -5.109895, 'Yes': -3.173328}
{' No': -6.3501124, '\n': -6.725233, ' Yes': -0.013996434, ' yes': -6.334799, 'Yes': -4.8636723}
{'\n': -8.162002, ' ': -8.926092, ' Yes': -0.0080521, ' yes': -6.562213, 'Yes': -5.1176634}
{' No': -0.3838511, '\n': -2.6190443, ' ': -4.714715, 'No': -2.0086813, ' Yes': -2.4128008}
{' No': -5.9108095, '\n': -4.2236433, ' Yes': -0.11429894, ' yes': -4.2257032, 'Yes': -2.6512883}
{'\n': -6.2381124, ' ': -6.622139, ' Yes': -0.060392547, ' yes': -3.2089372, 'Yes': -4.2636204}
{'\n': -6.1439705, ' Yes': -0.06828685, ' yes': -3.0257454, 'Yes': -4.332168, 'yes': -6.795283}
{' No': -5.0580664, '\n': -5.1336412, ' ': -6.084203, ' Yes': -0.0197576, 'Yes': -5.594079}
{'\n': -6.003831, ' ': -6.9139304, ' Yes': -0.00814614, ' yes': -7.393707, 'Yes': -5.5456824}
{' No': -4.75912, '\n': -2.983556, ' ': -4.5801992, ' Yes': -0.09512838, 'Yes': -4.03806}
{'\n': -3.976637, ' ': -5.815277, ' Yes': -0.03607018, ' yes': -7.2978806, 'Yes': -4.385229}
{' No': -0.36224255, '\n': -1.7566346, ' ': -3.6522036, 'No': -3.362929, ' Yes': -2.8085084}
{'\n': -4.0264225, ' ': -5.368313, ' Yes': -0.03471213, ' yes': -6.976438, 'Yes': -4.604758}
{' No': -5.880064, '\n': -4.015001, ' ': -4.6210437, ' Yes': -0.036739264, 'Yes': -5.6510596}
{'\n': -4.7465544, ' ': -5.9277925, ' Yes': -0.01604029, ' yes': -7.8798685, 'Yes': -5.5051317}
{' No': -0.13097703, '\n': -3.4007752, ' ': -4.686614, 'No': -3.2655287, ' Yes': -3.4050722}
{' No': -7.1600013, '\n': -5.3498363, ' ': -6.066763, ' Yes': -0.019789033, 'Yes': -4.558733}
{' No': -5.255267, '\n': -4.722733, ' ': -5.0289526, ' Yes': -0.03500826, 'Yes': -4.690892}
{'\n': -6.1111155, ' ': -6.683596, ' Yes': -0.021510735, ' yes': -5.5145793, 'Yes': -4.3078074}
{' No': -0.028775169, ' Not': -8.936585, ' ': -8.887094, ' Generally': -6.365039, 'No': -3.6544843}
{' No': -0.033331092, ' ': -8.442583, ' Generally': -6.4321156, 'No': -3.498203, ' Ant': -8.0791}
{' An': -9.212247, ' No': -0.0819014, ' ': -7.8644347, ' Generally': -7.7255373, 'No': -2.5588777}
{' No': -0.054970197, ' ': -7.474836, ' Generally': -9.004021, 'No': -2.947125, ' Ant': -8.952408}
{' An': -8.050737, ' No': -0.09572536, '\n': -6.8368087, ' ': -6.9154634, 'No': -2.42509}
{' No': -0.09087582, '\n': -6.7810607, ' ': -6.430389, 'No': -2.4857695, ' Ant': -7.5251484}
{' An': -8.68495, ' No': -0.025589788, ' ': -8.819541, ' Generally': -7.948607, 'No': -3.710904}
{' No': -0.04091585, ' ': -8.517534, ' Generally': -7.904786, 'No': -3.2509856, ' Ant': -7.290684}
{' No': -0.15412462, '\n': -4.955278, ' ': -5.7338943, ' Generally': -6.9691715, 'No': -2.045486}
{' No': -0.14527579, '\n': -5.443295, ' ': -5.362696, 'No': -2.1022594, ' Ant': -6.1255503}
{' An': -7.0108776, ' No': -0.090256624, ' ': -7.3001842, ' Generally': -6.1246567, 'No': -2.5119445}
{' No': -0.10301523, ' ': -6.636653, ' Generally': -7.6636806, 'No': -2.3710244, ' Ant': -6.185716}
{' No': -0.0057506924, '\n': -7.8595023, ' ': -7.054317, 'No': -5.425619, ' no': -10.218489}
{' No': -0.008171679, '\n': -7.25693, ' ': -7.3309364, 'No': -5.010262, ' Ant': -10.122069}
{' An': -9.184251, ' No': -0.065013275, '\n': -5.9940495, ' ': -6.2837973, 'No': -2.8429024}
{' No': -0.040541805, '\n': -7.3155446, ' ': -6.6162534, 'No': -3.292615, ' Ant': -7.693337}
{' An': -8.418101, ' No': -0.12583058, '\n': -3.5206022, ' ': -5.1664224, 'No': -2.4992285}
{' No': -0.13646346, '\n': -3.0908434, ' ': -5.064682, 'No': -2.6046336, ' Ant': -6.620115}
{' No': -0.012703207, '\n': -8.974056, ' ': -7.209294, 'No': -4.4490185, ' no': -10.289922}
{' No': -0.010639342, '\n': -9.598213, ' ': -8.087564, 'No': -4.5921006, ' Ant': -10.044284}
{' An': -7.364523, ' No': -0.26341695, '\n': -4.2949605, ' ': -4.801887, 'No': -1.5710417}
{' No': -0.2232067, '\n': -4.4799795, ' ': -4.9619036, 'No': -1.7200232, ' Ant': -6.4361725}
{' An': -7.184348, ' No': -0.041412607, ' ': -5.958353, 'No': -3.3474963, ' no': -7.0889735}
{' No': -0.061989762, ' ': -5.8652415, 'No': -2.9235888, ' Ant': -6.7073145, ' no': -6.8619676}
{' An': -6.9870152, ' No': -0.122520536, ' ': -6.72436, 'No': -2.2064877, ' no': -6.3243876}
{' No': -0.13909231, ' ': -6.294847, 'No': -2.130965, ' Ant': -5.690761, ' no': -5.8232207}
{' No': -0.102434024, ' ': -8.078963, 'No': -2.3343256, 'no': -10.768686, ' no': -9.39353}
{' No': -0.15341851, ' ': -7.7777653, ' Generally': -8.66978, 'No': -1.9565877, ' Ant': -9.469543}
{' An': -9.080898, ' No': -0.15958785, '\n': -8.311249, ' ': -6.932358, 'No': -1.9261111}
{' No': -0.17402439, '\n': -7.864583, ' ': -6.9699965, 'No': -1.8491056, ' Ant': -7.763726}
{' No': -0.04846707, ' ': -7.860153, 'No': -3.065706, 'no': -10.542215, ' no': -9.057642}
{' No': -0.03412994, ' ': -8.194468, 'No': -3.4107049, ' Ant': -9.429264, ' no': -9.520476}
{' No': -0.5651349, ' ': -6.7249937, ' Generally': -6.9638963, 'No': -0.85500413, ' Ant': -6.5032105}
{' No': -0.65389764, ' ': -6.4144983, ' Generally': -6.6077147, 'No': -0.76407385, ' Ant': -4.788205}
{' An': -8.302348, ' No': -0.102443725, ' ': -7.5248747, 'No': -2.3460426, ' no': -8.120614}
{' No': -0.19719106, ' ': -7.0272985, ' Generally': -6.42678, 'No': -1.7707804, ' Ant': -5.3377805}
{' No': -0.023398291, '\n': -7.0543313, ' ': -5.3930097, 'No': -4.555447, ' no': -4.9701467}
{' No': -0.021612933, '\n': -7.2332425, ' ': -5.7762704, 'No': -4.384103, ' no': -5.3746552}
{' No': -0.105821766, '\n': -6.007641, ' ': -5.915512, 'No': -2.366854, ' no': -6.769742}
{' No': -0.09962195, '\n': -5.285781, ' ': -5.906085, 'No': -2.4582245, ' no': -6.931462}
{' No': -0.20372231, '\n': -3.4176905, ' ': -5.003317, 'No': -1.9475634, ' no': -6.7676115}
{' No': -0.2798083, '\n': -3.0878642, ' ': -5.161974, 'No': -1.6669142, ' Ant': -6.4524107}
{' No': -0.03289902, '\n': -7.604324, ' ': -6.4440207, 'No': -3.5176475, ' no': -7.621244}
{' No': -0.040687744, '\n': -7.5921555, ' ': -6.9841914, 'No': -3.272535, ' no': -7.8459797}
{' No': -0.3320968, '\n': -3.6384876, ' ': -5.173264, 'No': -1.4017512, ' no': -5.860851}
{' No': -0.30176145, '\n': -3.6464276, ' ': -4.930618, 'No': -1.510557, ' no': -5.46228}
{' No': -0.08139837, '\n': -5.5026016, ' ': -5.3694906, 'No': -3.0880034, ' no': -3.8264792}
{' No': -0.12827466, '\n': -5.05732, ' ': -5.4167094, 'No': -2.5959623, ' no': -3.526157}
{' No': -0.012054653, '\n': -6.0987363, ' ': -6.476484, 'No': -4.8298225, ' no': -9.165381}
{' No': -0.016903996, '\n': -5.059415, ' ': -6.4645677, 'No': -4.7547255, ' Ant': -9.090875}
{' An': -9.059638, ' No': -0.07307847, '\n': -4.359745, ' ': -5.642866, 'No': -2.9221764}
{' No': -0.07633285, '\n': -3.798089, ' ': -5.5907693, 'No': -3.0628192, ' Ant': -7.7523293}
{' An': -8.061711, ' No': -0.066351734, '\n': -4.5844846, ' ': -5.5396867, 'No': -3.0082843}
{' No': -0.062041383, '\n': -4.3496637, ' ': -5.6654305, 'No': -3.1687555, ' Ant': -6.588532}
{' An': -9.080605, ' No': -0.015793204, '\n': -6.132419, ' ': -5.8409367, 'No': -4.5683174}
{' No': -0.024944076, '\n': -5.2468696, ' ': -5.877788, 'No': -4.11964, ' Ant': -8.40165}
{' An': -8.71227, ' No': -0.05720143, '\n': -5.3771057, ' ': -5.888855, 'No': -3.0404818}
{' No': -0.04868445, '\n': -5.154844, ' ': -5.3982325, 'No': -3.320861, ' Ant': -7.112746}
{' An': -6.9706917, ' No': -0.04415964, '\n': -5.317483, ' ': -5.3405805, 'No': -3.4583118}
{' No': -0.04642241, '\n': -5.2713885, ' ': -5.575979, 'No': -3.3890774, ' Ant': -6.4138913}
{' An': -7.0895925, ' No': -0.018677754, ' Generally': -7.247332, 'No': -4.2130346, ' Yes': -7.709847}
{' No': -0.018927138, '\n': -7.2777963, ' Generally': -6.5081143, 'No': -4.333731, ' Ant': -6.015154}
{' An': -7.7362437, ' No': -0.10144478, ' ': -7.2378583, ' Generally': -6.5543294, 'No': -2.379109}
{' No': -0.040022407, ' ': -7.430087, ' Generally': -6.765213, 'No': -3.3568099, ' Ant': -6.310562}
{' An': -7.6837964, ' No': -0.077784665, '\n': -5.4864893, ' ': -6.6578107, 'No': -2.6854696}
{' No': -0.0599714, '\n': -4.9881177, ' ': -6.25787, 'No': -3.0778985, ' Ant': -6.1562886}
{' An': -7.6948786, ' No': -0.034368403, ' ': -8.429623, ' Generally': -7.8035617, 'No': -3.4286897}
{' No': -0.021706369, ' ': -8.640825, ' Generally': -7.3088264, 'No': -3.984961, ' Ant': -6.3677716}
{' No': -0.1450924, '\n': -4.773543, ' ': -5.8107376, ' Generally': -6.9029016, 'No': -2.11344}
{' No': -0.08573599, '\n': -4.5909524, ' ': -5.6566043, 'No': -2.8258119, ' Ant': -5.363075}
{' No': -0.13462445, '\n': -7.0306573, ' ': -6.797233, ' Generally': -6.178764, 'No': -2.11829}
{' No': -0.06743493, ' ': -6.7582836, ' Generally': -5.630208, 'No': -2.8872092, ' Ant': -5.967066}
{' An': -9.513693, ' No': -0.005040312, '\n': -7.42442, ' ': -7.061396, 'No': -5.6722765}
{' No': -0.005079489, '\n': -6.9897804, ' ': -7.7302513, 'No': -5.8565655, ' Ant': -7.3060493}
{' An': -8.693136, ' No': -0.063499525, '\n': -4.690515, ' ': -5.561279, 'No': -3.03677}
{' No': -0.023225814, '\n': -6.3141403, ' ': -6.6018195, 'No': -3.991022, ' Ant': -6.8951526}
{' No': -0.13685857, '\n': -2.82622, ' ': -4.7856927, 'No': -2.8235002, ' A': -8.136904}
{' No': -0.16750865, '\n': -2.4230015, ' ': -4.5618906, 'No': -2.9600005, ' Ant': -6.177513}
{' An': -10.307544, ' No': -0.009096884, '\n': -8.519905, ' ': -7.3437486, 'No': -4.8120694}
{' No': -0.0038568452, '\n': -9.103189, ' ': -8.382157, 'No': -5.739963, ' Ant': -8.32551}
{' No': -0.19015925, '\n': -3.734625, ' ': -4.629729, 'No': -1.9834695, ' A': -7.5133257}
{' No': -0.14350879, '\n': -3.8309171, ' ': -4.700596, 'No': -2.3082998, ' Ant': -5.990763}
{' An': -7.240488, ' No': -0.051612064, '\n': -6.332471, ' ': -5.7151346, 'No': -3.1249247}
{' No': -0.037763976, '\n': -6.295848, ' ': -5.6762676, 'No': -3.5843582, ' Ant': -5.846434}
{' An': -7.1977715, ' No': -0.061880056, ' ': -7.5477366, ' Generally': -7.911879, 'No': -2.857988}
{' No': -0.1334494, ' Not': -7.168205, ' Generally': -5.5386386, 'No': -2.227779, ' Ant': -4.6216354}
{' No': -0.16018286, ' ': -8.621793, 'No': -1.9131182, 'no': -9.914208, ' no': -9.312008}
{' No': -0.18896392, '\n': -8.490876, ' Generally': -8.50548, 'No': -1.7683687, ' Ant': -7.4665775}
{' No': -0.14961722, '\n': -9.021721, ' ': -8.073195, 'No': -1.9782933, ' no': -9.300097}
{' No': -0.1741901, '\n': -6.9647036, ' ': -7.666087, 'No': -1.8546635, ' Ant': -6.690078}
{' No': -0.03275895, '\n': -10.999457, ' ': -8.421465, 'No': -3.4451773, ' no': -10.522747}
{' No': -0.04335242, ' ': -8.037416, ' Generally': -7.811844, 'No': -3.200152, ' Ant': -7.404196}
{' No': -0.42781162, '\n': -6.9244237, ' ': -7.217648, 'No': -1.0628881, ' Ant': -8.143417}
{' No': -0.48612767, '\n': -5.604175, ' ': -6.5384216, 'No': -1.0191191, ' Ant': -4.18231}
{' An': -7.126245, ' No': -0.15080997, '\n': -7.1208735, ' ': -7.535498, 'No': -1.9859788}
{' No': -0.17703493, '\n': -5.474068, ' ': -7.1516194, 'No': -1.9792237, ' Ant': -4.0574594}
{' No': -0.0037405915, '\n': -8.59714, ' ': -6.628265, 'No': -6.214309, ' no': -8.731553}
{' No': -0.0028414745, '\n': -8.621522, ' ': -7.6830716, 'No': -6.348794, ' no': -7.964179}
{' No': -0.088043906, '\n': -5.8280144, ' ': -6.346466, 'No': -2.5392578, ' no': -7.9679384}
{' No': -0.070128515, '\n': -6.255406, ' ': -6.831553, 'No': -2.7537625, ' no': -7.3394275}
{' No': -0.17054796, '\n': -3.0815203, ' ': -5.2467804, 'No': -2.256886, ' no': -8.022274}
{' No': -0.17793871, '\n': -2.8636744, ' ': -5.414339, 'No': -2.3095744, ' Ant': -6.841716}
{' No': -0.030394675, '\n': -6.2238207, ' ': -6.623761, 'No': -3.6400404, ' no': -8.675187}
{' No': -0.01744494, '\n': -7.405546, ' ': -7.9869313, 'No': -4.141686, ' no': -8.476843}
{' No': -0.26841068, '\n': -2.9819229, ' ': -5.1188326, 'No': -1.7311696, ' no': -7.164004}
{' No': -0.25601783, '\n': -2.9429743, ' ': -5.044428, 'No': -1.8184358, ' no': -5.9291315}
{' No': -0.047218226, '\n': -6.0740542, ' ': -6.0553927, 'No': -3.2723691, ' no': -5.8612323}
{' No': -0.042600214, '\n': -6.0460253, ' ': -6.53875, 'No': -3.568561, ' no': -4.7524195}
{' An': -7.796826, ' No': -0.016507316, '\n': -5.1209345, ' ': -5.6763716, 'No': -5.064746}
{' No': -0.014800126, '\n': -5.1987333, ' ': -6.251185, 'No': -5.0724993, ' Ant': -7.2190194}
{' An': -7.8108106, ' No': -0.088913694, '\n': -3.3244402, ' ': -4.8521147, 'No': -3.2072685}
{' No': -0.14208603, '\n': -2.373928, ' ': -4.8850327, 'No': -3.4937458, ' Ant': -6.9821873}
{' An': -7.429858, ' No': -0.14911686, '\n': -2.4672472, ' ': -4.2175083, 'No': -3.2852976}
{' No': -0.06713446, '\n': -3.3865197, ' ': -4.8859363, 'No': -3.993415, ' Ant': -5.6505065}
{' An': -7.108687, ' No': -0.038363583, '\n': -4.0907927, ' ': -4.662215, 'No': -4.564002}
{' No': -0.024944443, '\n': -4.5785465, ' ': -5.7255683, 'No': -4.5763397, ' Ant': -7.3604007}
{' An': -7.5908732, ' No': -0.047311768, '\n': -4.625736, ' ': -5.563541, 'No': -3.4645672}
{' No': -0.028791364, '\n': -5.181495, ' ': -5.530454, 'No': -4.0633426, ' Ant': -6.6296635}
{' An': -6.199457, ' No': -0.055380236, '\n': -4.530655, ' ': -4.626175, 'No': -3.5007305}
{' No': -0.030543623, '\n': -5.4205046, ' ': -5.7322793, 'No': -3.911319, ' Ant': -6.391257}
{' Generally': -6.812122, ' Yes': -0.005084942, ' yes': -9.306667, 'Yes': -5.5869346, ' It': -10.288187}
