{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -2.2045615, 'No': -4.7508736, ' Yes': -0.17250256, ' yes': -5.0443, 'Yes': -3.5032308}
{' No': -3.0240123, '\n': -7.249902, ' Yes': -0.058003478, ' yes': -6.944915, 'Yes': -5.2814226}
{' No': -0.23318793, ' ': -7.416169, 'No': -1.8182862, ' Yes': -3.2005036, 'Yes': -5.9527755}
{' No': -0.9032706, '\n': -7.253968, 'No': -0.5964888, ' Yes': -3.430496, 'Yes': -4.6980762}
{' No': -2.614002, ' ': -6.2463217, ' Yes': -0.16425668, ' yes': -2.6400828, 'Yes': -6.299575}
{' No': -1.779256, 'No': -5.250745, ' Yes': -0.21592636, ' yes': -4.915536, 'Yes': -4.596044}
{' No': -3.736132, '\n': -4.376139, ' Yes': -0.108116515, ' yes': -3.9582942, 'Yes': -3.2226717}
{' No': -1.7064407, 'No': -5.8073626, ' Yes': -0.21884614, ' yes': -5.89556, 'Yes': -5.2035513}
{' No': -0.42746395, '\n': -3.6886828, 'No': -1.8216194, ' Yes': -2.066794, 'Yes': -4.2010803}
{' No': -4.2431946, '\n': -7.192352, ' Yes': -0.036546916, ' yes': -4.1859074, 'Yes': -5.4123154}
{' No': -4.654581, ' ': -8.546537, ' Yes': -0.0121901, ' yes': -7.129337, 'Yes': -6.577158}
{' No': -2.43703, '\n': -5.866133, 'No': -6.4100733, ' Yes': -0.10852739, 'Yes': -4.7497606}
{' No': -5.6094413, '\n': -5.7105412, ' ': -6.551388, ' Yes': -0.023334593, 'Yes': -4.330612}
{' No': -4.691208, '\n': -7.475879, ' ': -7.1034274, ' Yes': -0.01307121, 'Yes': -6.213182}
{' No': -0.11307524, '\n': -4.8134193, ' ': -5.6343784, 'No': -3.2198904, ' Yes': -2.9443357}
{' No': -7.0817323, ' ': -8.485953, ' Yes': -0.013026339, ' yes': -5.3609095, 'Yes': -4.995816}
{'\n': -10.45079, ' ': -10.713084, ' Yes': -0.0025118706, ' yes': -9.891225, 'Yes': -6.036729}
{'\n': -9.766562, ' ': -9.08581, ' Yes': -0.010884499, ' yes': -8.403717, 'Yes': -4.5732756}
{'\n': -8.076028, ' ': -8.167844, ' Yes': -0.015372916, ' yes': -7.771037, 'Yes': -4.260778}
{' ': -11.572793, ' Yes': -0.0016043067, ' yes': -9.96887, 'Yes': -6.4809165, 'yes': -12.693619}
{'\n': -7.577788, ' ': -8.056675, ' Yes': -0.018853216, ' yes': -9.100345, 'Yes': -4.042821}
{'\n': -9.859604, ' ': -9.275588, ' Yes': -0.00830654, ' yes': -8.276847, 'Yes': -4.8540325}
{'\n': -9.589622, ' ': -8.949076, ' Yes': -0.0010763338, ' yes': -8.513033, 'Yes': -7.3183236}
{'\n': -8.135755, ' ': -7.829132, ' Yes': -0.008031553, ' yes': -7.9463606, 'Yes': -4.98069}
{'\n': -5.2381525, ' ': -5.9248986, ' Yes': -0.027518768, ' yes': -7.1460924, 'Yes': -4.0190954}
{'\n': -12.161856, ' ': -9.832, ' Yes': -0.001026514, ' yes': -9.566299, 'Yes': -7.0285926}
{'\n': -5.1486073, ' ': -5.374243, ' Yes': -0.07142069, ' yes': -5.7752433, 'Yes': -2.9105587}
{'\n': -10.399411, ' ': -9.080551, ' Yes': -0.0037877392, ' yes': -7.016538, 'Yes': -5.9169707}
{' ': -9.89206, ' Yes': -0.008593682, ' yes': -7.542479, 'Yes': -4.842662, 'yes': -10.190983}
{'\n': -7.9848285, ' ': -7.8576674, ' Yes': -0.06053109, ' yes': -6.3583198, 'Yes': -2.8864932}
{'\n': -7.8501735, ' ': -7.7227645, ' Yes': -0.029021496, ' yes': -6.629182, 'Yes': -3.6445515}
{'\n': -8.894252, ' ': -9.308389, ' Yes': -0.008669676, ' yes': -7.852635, 'Yes': -4.840775}
{' No': -7.674751, '\n': -8.256329, ' ': -8.115675, ' Yes': -0.06155025, 'Yes': -2.844925}
{'\n': -9.030937, ' Yes': -0.2355084, ' yes': -5.3274326, 'Yes': -1.6158621, 'yes': -5.113327}
{'\n': -7.861097, ' ': -6.7796326, ' Yes': -0.08568014, ' yes': -2.5506973, 'Yes': -6.147779}
{'\n': -6.987932, ' ': -7.2111855, ' Yes': -0.024209933, ' yes': -5.6945515, 'Yes': -3.9820116}
{'\n': -4.5590525, ' ': -5.8198957, ' Yes': -0.07022615, ' yes': -4.1525793, 'Yes': -3.2867577}
{'\n': -8.150941, ' ': -8.580478, ' Yes': -0.00856152, ' yes': -6.530511, 'Yes': -5.0353937}
{'\n': -3.8593616, ' ': -4.986071, ' Yes': -0.16263434, ' yes': -3.7010844, 'Yes': -2.3748899}
{'\n': -7.417593, ' ': -7.9098873, ' Yes': -0.017313574, ' yes': -4.5160146, 'Yes': -5.290129}
{'\n': -9.273247, ' ': -8.946182, ' Yes': -0.0023461247, ' yes': -8.004971, 'Yes': -6.3545437}
{'\n': -6.1902356, ' ': -7.6376915, ' Yes': -0.0148549955, ' yes': -7.848191, 'Yes': -4.446875}
{'\n': -4.7442, ' ': -5.692911, ' Yes': -0.03184934, ' yes': -7.1371675, 'Yes': -4.007391}
{'\n': -6.2409186, ' ': -6.7059755, ' Yes': -0.0058244905, ' yes': -8.350518, 'Yes': -6.049823}
{'\n': -5.0735497, ' ': -6.3481584, ' Yes': -0.037172705, ' yes': -6.4616528, 'Yes': -3.629221}
{'\n': -7.713522, ' ': -7.472484, ' Yes': -0.013475537, ' yes': -6.0482726, 'Yes': -4.6232586}
{' No': -10.038303, ' Generally': -10.954436, ' Yes': -0.0013656522, ' yes': -9.925099, 'Yes': -6.725677}
{' No': -4.888705, 'No': -8.809777, ' Yes': -0.014200334, ' yes': -7.7091174, 'Yes': -5.189354}
{' No': -2.7381456, '\n': -7.1491103, 'No': -5.9218097, ' Yes': -0.08616807, 'Yes': -4.3560576}
{' No': -7.0986505, ' Generally': -10.496266, ' Yes': -0.0019392848, ' yes': -9.746726, 'Yes': -6.961295}
{' No': -3.6044514, '\n': -7.221971, 'No': -6.507974, ' Yes': -0.044930853, 'Yes': -4.3313537}
{' No': -3.003641, ' Generally': -6.9362082, 'No': -6.189117, ' Yes': -0.06484796, 'Yes': -4.785259}
{' No': -8.3425665, '\n': -9.054359, ' Yes': -0.002538762, ' yes': -6.714893, 'Yes': -7.113254}
{' No': -5.6448927, ' ': -8.074133, ' Yes': -0.011884543, ' yes': -7.0428653, 'Yes': -5.0022597}
{'\n': -5.2901497, ' ': -6.213598, ' Yes': -0.024564844, ' yes': -6.717596, 'Yes': -4.1878777}
{' No': -5.7674274, ' ': -9.852751, ' Yes': -0.0046445313, ' yes': -8.951477, 'Yes': -6.6590066}
{' No': -4.5570636, '\n': -4.761026, ' ': -4.956153, ' Yes': -0.09743049, 'Yes': -2.7977917}
{' No': -8.0141115, ' ': -8.958009, ' Yes': -0.007466565, ' yes': -6.101789, 'Yes': -5.3969374}
{' No': -4.36513, 'No': -8.324023, ' Yes': -0.019939883, ' yes': -6.9101734, 'Yes': -5.242312}
{' No': -2.324085, 'No': -4.280182, ' Yes': -0.17704177, ' yes': -4.723337, 'Yes': -3.2220247}
{' No': -1.2610786, 'No': -3.518504, ' Yes': -0.42392996, ' yes': -5.541499, 'Yes': -3.7186513}
{' No': -8.7145815, '\n': -8.564305, ' Yes': -0.004981965, ' yes': -6.580957, 'Yes': -5.804296}
{' No': -2.082635, '\n': -6.886574, 'No': -3.955926, ' Yes': -0.19689274, 'Yes': -3.4593668}
{' ': -9.033856, ' Yes': -0.03501036, ' yes': -5.357945, 'Yes': -3.5571618, 'yes': -7.0867233}
{' No': -4.638445, ' ': -7.2118626, ' Yes': -0.1637841, ' yes': -1.9940548, 'Yes': -5.9722056}
{' No': -3.1834939, 'No': -6.037866, ' Yes': -0.0815575, ' yes': -4.4107485, 'Yes': -3.9055283}
{' No': -3.4163995, '\n': -4.5141697, ' Yes': -0.115562886, ' yes': -4.0043983, 'Yes': -3.2464812}
{'\n': -7.5245733, ' Yes': -0.013470704, ' yes': -5.279504, 'Yes': -4.9194956, 'yes': -8.418811}
{' No': -3.2141097, '\n': -3.8775876, ' Yes': -0.1929686, ' yes': -4.3362675, 'Yes': -2.5195599}
{'\n': -6.72425, ' Yes': -0.03661115, ' yes': -3.6287, 'Yes': -4.9806895, 'yes': -7.4503546}
{' No': -8.077022, ' ': -9.688053, ' Yes': -0.0031601244, ' yes': -6.464881, 'Yes': -6.79878}
{' No': -6.4075694, '\n': -6.337331, ' Yes': -0.013640782, ' yes': -7.11049, 'Yes': -4.7294}
{'\n': -5.004341, ' ': -6.606851, ' Yes': -0.028257374, ' yes': -6.4999886, 'Yes': -4.047014}
{'\n': -8.359108, ' ': -8.310137, ' Yes': -0.0030444902, ' yes': -7.9569736, 'Yes': -6.203169}
{' No': -6.5981526, '\n': -5.3419013, ' Yes': -0.041833844, ' yes': -5.8403163, 'Yes': -3.5085921}
{'\n': -8.818596, ' Yes': -0.01853056, ' yes': -4.8728433, 'Yes': -4.61904, 'yes': -8.119802}
{' No': -8.8688965, '\n': -9.416389, ' Yes': -0.0026846386, ' yes': -9.399929, 'Yes': -6.0965185}
{' No': -3.0116785, 'No': -6.906988, ' Yes': -0.06002602, 'Yes': -5.049869, ' It': -7.6835833}
{' No': -2.2686217, 'No': -5.672895, ' Yes': -0.12955879, ' yes': -7.4402647, 'Yes': -4.3964844}
{' No': -3.2570605, 'No': -8.256108, ' Yes': -0.04251457, ' yes': -9.245946, 'Yes': -6.1042805}
{' No': -3.284417, '\n': -7.0276628, 'No': -5.9567566, ' Yes': -0.06484682, 'Yes': -3.9355724}
{' No': -6.838593, ' Generally': -9.641689, ' Yes': -0.008669797, ' yes': -8.142076, 'Yes': -4.9773073}
{' No': -4.5063214, ' ': -7.8914714, ' Yes': -0.014397564, ' yes': -6.602618, 'Yes': -6.888131}
{' No': -4.241375, ' ': -7.815479, ' Yes': -0.022827048, ' yes': -7.083267, 'Yes': -5.0665565}
{' No': -6.1993446, '\n': -5.2676086, ' ': -6.339981, ' Yes': -0.02526147, 'Yes': -4.2309003}
{' No': -0.95768696, ' ': -8.233467, 'No': -6.4632177, ' Yes': -0.48984686, 'Yes': -6.653627}
{' No': -0.91139156, '\n': -4.4017334, 'No': -3.1960957, ' Yes': -0.6858208, 'Yes': -3.5555565}
{' No': -6.6368995, ' ': -9.280783, ' Yes': -0.00868044, ' yes': -5.7416453, 'Yes': -5.5601573}
{' No': -3.6901553, 'No': -7.176113, ' Yes': -0.036842782, ' yes': -7.179018, 'Yes': -4.7082176}
{' No': -3.2227075, 'No': -5.0558357, ' Yes': -0.110555634, ' yes': -5.180275, 'Yes': -2.9735448}
{' No': -1.7809439, 'No': -4.1135244, ' Yes': -0.24734794, ' yes': -6.4101696, 'Yes': -3.4948952}
{' No': -0.4165175, ' ': -7.096811, 'No': -4.3168354, ' Yes': -1.1343006, 'Yes': -5.5587406}
{' No': -0.99389154, ' ': -6.845505, 'No': -2.207263, ' Yes': -0.74162364, 'Yes': -3.2340934}
{' ': -8.67563, ' Yes': -0.0444898, ' yes': -6.521067, 'Yes': -3.1863601, 'yes': -8.037072}
{' No': -4.805856, ' ': -6.782972, ' Yes': -0.16622296, ' yes': -1.9699205, 'Yes': -5.9539843}
{' No': -5.680111, ' ': -7.7599955, ' Yes': -0.0405063, ' yes': -4.2393703, 'Yes': -3.8945537}
{' No': -3.0842416, '\n': -4.645889, ' Yes': -0.12606809, ' yes': -4.11446, 'Yes': -3.2618577}
{' No': -7.352955, '\n': -7.683716, ' Yes': -0.016426546, ' yes': -5.2375493, 'Yes': -4.661022}
{' No': -1.5395658, '\n': -3.8341346, 'No': -3.1259353, ' Yes': -0.46920568, 'Yes': -2.7742612}
{' No': -7.7541466, '\n': -7.2799864, ' Yes': -0.0392509, ' yes': -3.4177773, 'Yes': -5.5200014}
{' No': -0.3861887, 'No': -6.2805862, ' Yes': -1.1506902, ' yes': -7.445539, 'Yes': -7.428374}
{' No': -2.0243669, '\n': -5.1200223, 'No': -5.8364143, ' Yes': -0.16562332, 'Yes': -4.63185}
{' No': -4.166419, '\n': -5.0513525, ' ': -6.4874225, ' Yes': -0.041008998, 'Yes': -4.204152}
{' No': -2.5228348, '\n': -7.155752, ' ': -7.5012074, ' Yes': -0.08810243, 'Yes': -6.2639713}
{' No': -1.4039118, '\n': -4.319824, 'No': -4.546452, ' Yes': -0.34823263, 'Yes': -3.950289}
{' No': -4.579176, '\n': -8.187643, ' Yes': -0.025951918, ' yes': -5.1272373, 'Yes': -4.781573}
{' No': -1.4064362, 'No': -6.6616316, ' Yes': -0.28649443, 'Yes': -6.3311906, ' It': -7.996394}
{' No': -0.97060096, 'No': -4.9466863, ' Yes': -0.49910238, 'Yes': -5.3278966, ' It': -7.5770073}
{' No': -0.64592034, '\n': -7.0643826, 'No': -4.0024247, ' Yes': -0.8039708, 'Yes': -4.910805}
{' No': -0.55524194, 'No': -5.475522, ' C': -7.5233164, ' Yes': -0.87088335, 'Yes': -6.5784354}
{' No': -0.35063982, '\n': -6.165127, 'No': -3.231743, ' Yes': -1.4006734, 'Yes': -5.223038}
{' No': -2.1766868, 'No': -5.702996, ' C': -7.065901, ' Yes': -0.13672394, 'Yes': -4.8549757}
{' No': -0.7338003, 'No': -7.4471183, ' Yes': -0.6601213, ' yes': -7.2140684, 'Yes': -7.473336}
{' No': -1.0270964, 'No': -5.523043, ' Yes': -0.45955145, ' yes': -7.029674, 'Yes': -5.551562}
{' No': -2.0805726, '\n': -4.9632688, ' ': -5.975985, ' Yes': -0.16406499, 'Yes': -4.38226}
{' No': -0.53732485, 'No': -6.5705814, ' C': -7.540552, ' Yes': -0.88541037, 'Yes': -7.3122816}
{' No': -0.37566203, '\n': -4.3579426, 'No': -2.7548676, ' Yes': -1.559906, 'Yes': -4.319334}
{' No': -2.842929, ' C': -7.4576535, ' Yes': -0.06779398, ' yes': -6.2182093, 'Yes': -5.657945}
{' No': -0.41723222, 'No': -4.231622, ' Yes': -1.1389846, ' yes': -6.2371383, 'Yes': -5.752792}
{' No': -0.83672667, 'No': -2.6747124, ' Yes': -0.798822, ' yes': -4.4618144, 'Yes': -3.4161677}
{' No': -2.3590999, 'No': -5.2488894, ' Yes': -0.149055, ' yes': -4.844001, 'Yes': -3.5712998}
{' No': -3.9059846, '\n': -7.7093024, ' Yes': -0.028787682, ' yes': -6.5397468, 'Yes': -5.1507874}
{' No': -0.21401198, ' ': -7.65511, 'No': -2.1437643, ' Yes': -2.6619833, 'Yes': -5.465042}
{' No': -2.177626, 'No': -2.0573523, ' Yes': -0.58038735, 'C': -4.29566, 'Yes': -1.7705654}
{' No': -1.9428129, ' ': -5.70949, ' Yes': -0.3295544, ' yes': -2.1016567, ' no': -4.9678693}
{' No': -1.4740683, 'No': -4.8211884, ' Yes': -0.30923536, ' yes': -4.3740606, 'Yes': -4.3787427}
{' No': -1.9430971, '\n': -3.8141432, ' Yes': -0.26819703, ' yes': -3.8735952, 'Yes': -3.411414}
{' No': -1.7833436, 'No': -5.8603473, ' Yes': -0.20644313, ' yes': -5.2038507, 'Yes': -4.96576}
{' No': -0.6247334, '\n': -3.5700927, 'No': -2.2445416, ' Yes': -1.2802778, 'Yes': -3.4661527}
{' No': -3.5830364, '\n': -6.3117776, ' Yes': -0.060991757, ' yes': -3.8371737, 'Yes': -5.2283306}
{' No': -1.2009078, 'No': -7.413777, ' Yes': -0.36390775, ' yes': -6.4888597, 'Yes': -6.7955008}
{' No': -2.6416016, '\n': -5.7462654, ' Yes': -0.092624746, ' yes': -6.2913094, 'Yes': -4.694608}
{' No': -1.9443, '\n': -5.2543397, 'No': -5.800968, ' Yes': -0.18319549, 'Yes': -4.4442296}
{' No': -1.7261766, '\n': -6.7424, ' ': -6.5069036, ' Yes': -0.20416208, 'Yes': -6.1849475}
{' No': -0.9494308, '\n': -4.761029, 'No': -4.3699307, ' Yes': -0.5634998, 'Yes': -4.2346916}
{' No': -2.9744058, 'No': -7.1756144, ' Yes': -0.07268965, ' yes': -4.754395, 'Yes': -4.806412}
{'\n': -10.370075, ' ': -10.8305855, ' Yes': -0.0023350723, ' yes': -9.873686, 'Yes': -6.123062}
{' No': -5.028528, 'No': -8.634552, ' Yes': -0.016592339, ' yes': -8.157814, 'Yes': -4.711277}
{' No': -6.32211, ' ': -8.112565, ' Yes': -0.017829677, ' yes': -7.6255317, 'Yes': -4.2249713}
{' No': -5.796975, 'No': -10.848563, ' Yes': -0.0051237056, ' yes': -9.538886, 'Yes': -6.2532887}
{' No': -2.776431, '\n': -6.3793507, 'No': -5.559912, ' Yes': -0.0919256, 'Yes': -3.9730499}
{' No': -8.841299, ' ': -9.190315, ' Yes': -0.00950815, ' yes': -8.083676, 'Yes': -4.7494564}
{'\n': -8.424375, ' ': -8.512626, ' Yes': -0.0016264562, ' yes': -7.83158, 'Yes': -7.19308}
{' No': -7.065067, ' ': -8.03674, ' Yes': -0.007985646, ' yes': -7.5838747, 'Yes': -5.137256}
{'\n': -5.274599, ' ': -6.2464633, ' Yes': -0.021948036, ' yes': -6.9843917, 'Yes': -4.330487}
{' No': -9.035441, ' ': -10.08095, ' Yes': -0.0012616845, ' yes': -9.293223, 'Yes': -6.9165177}
{'\n': -4.74857, ' ': -5.26232, ' Yes': -0.07382103, ' yes': -5.545628, 'Yes': -2.9768894}
{' No': -8.572432, ' ': -9.097427, ' Yes': -0.0041865325, ' yes': -6.6403975, 'Yes': -6.0030684}
{' No': -9.383788, ' Yes': -0.011806134, ' yes': -6.7254477, 'Yes': -4.5779605, 'yes': -9.555388}
{' No': -4.613569, 'No': -6.3517413, ' Yes': -0.080051415, ' yes': -5.5556273, 'Yes': -2.8122575}
{' No': -6.891226, ' ': -7.8545446, ' Yes': -0.032633197, ' yes': -6.017412, 'Yes': -3.5925314}
{' No': -5.1950526, '\n': -8.02039, ' Yes': -0.015630795, ' yes': -7.4447207, 'Yes': -4.7554665}
{' No': -2.0625083, ' ': -7.4355407, 'No': -4.3324533, ' Yes': -0.19032729, 'Yes': -3.462315}
{'\n': -8.627571, ' Yes': -0.28193894, ' yes': -4.667542, 'Yes': -1.5082077, 'yes': -4.256792}
{' ': -6.271781, ' Yes': -0.2413171, ' yes': -1.5630181, 'Yes': -6.4248896, 'yes': -7.4772024}
{'\n': -7.188311, ' ': -7.440825, ' Yes': -0.031078953, ' yes': -4.5133457, 'Yes': -4.0336404}
{'\n': -4.552863, ' ': -6.080267, ' Yes': -0.07522104, ' yes': -3.7544658, 'Yes': -3.3660743}
{'\n': -7.743322, ' ': -8.580626, ' Yes': -0.012066116, ' yes': -5.825538, 'Yes': -4.7966175}
{'\n': -3.7982535, ' ': -5.217382, ' Yes': -0.15947129, ' yes': -3.4456804, 'Yes': -2.5106256}
{'\n': -7.1051607, ' ': -7.995914, ' Yes': -0.024266358, ' yes': -4.0385637, 'Yes': -5.3547277}
